-6.5599e-05-0.00035745i,0.00070272+0.00034559i,-0.00079833+0.00073633i,-0.0017136+0.0014243i,-0.0011081+0.0022188i,-0.00065824+0.0021013i,-0.00063808+0.0016903i,-0.0012405+0.0012043i,-0.00096043+0.0015341i,0.00013623+0.0021753i,0.00051071+0.0014118i,-0.00025498-0.00022592i,-0.00027552-0.00071653i,6.9931e-05+1.9014e-05i,-0.00024104+0.00033103i,-2.4267e-05-0.00013138i,0.00027984-0.00035177i,0.0002443-0.00026015i,-0.00014377-0.00033783i,2.0677e-05+7.283e-05i,0.00049594+0.00036334i,0.0005076+0.00018317i,-0.00019736-0.00016888i
-0.0016654-0.0021037i,-0.0018363-0.00047957i,-0.0027173+0.00071682i,-0.0026315+0.0024442i,-0.0015873+0.0036916i,0.0004393+0.0027495i,0.0018096+0.00036381i,0.0011194-0.0010945i,-0.00069294-0.00052916i,-0.0014922+0.00055554i,-0.00098474+0.00067052i,0.00019794+0.00095284i,0.0006152+0.0013278i,-0.00014335+0.00077051i,-0.0004148-1.5853e-05i,-0.00050863-0.0006839i,-0.00019273-0.0012366i,0.00048892-0.0011336i,0.0010494-0.0009367i,0.00093389-0.00080329i,0.00083567-1.3389e-05i,8.9558e-05-0.00017863i,-0.00076374-0.00054168i
0.00067623-0.00017265i,-0.0004125+0.00035232i,-0.0012797+0.00142i,-0.0021464+0.0014059i,-0.0020624+0.00086118i,-0.0019227+0.0010846i,-0.0011685+0.00069836i,-0.00070965+0.00073757i,-0.0010713+0.00088702i,-0.00045887-4.8804e-06i,-3.666e-05-0.00037094i,-0.00045744+3.4729e-05i,-0.00033895+6.9234e-05i,0.00015516-6.6144e-05i,0.00025744-0.00056197i,0.00011407-0.00041531i,4.7798e-05-0.00016683i,0.00062403-0.00104i,0.00072009-0.0012949i,-4.4496e-05-0.00072163i,-0.0007877-0.00046262i,-0.00038954-0.00016697i,-6.6947e-05+0.00024618i
0.00049762-0.00059095i,0.00068436+0.00014405i,0.00033598-0.00017186i,-0.00076406+0.00023032i,-0.0011058+0.00024932i,-0.0002844+0.00026509i,3.1891e-05+0.00086701i,-0.00048065-0.00017486i,-0.00091091-0.0010055i,-0.00070026+7.0482e-05i,-0.00024517+0.00094868i,-0.00057957+0.00085892i,-0.00012459-0.00022481i,0.00066701-0.0014714i,0.0002707-0.001483i,0.00016521-0.00052383i,0.000394+0.00017021i,0.0008627+0.00021738i,0.00063263+6.745e-05i,0.00013827+6.0126e-05i,0.00032324-0.00032081i,0.0011801+7.7659e-05i,0.0012743+0.00060501i
-0.0009705-0.0012325i,-0.001275+0.0004243i,-0.00066551+0.00015533i,-0.0015083-0.0009749i,-0.0012461-0.00091197i,-0.00030625+0.00071529i,0.00039419+0.0012008i,0.00063562+0.00013168i,-1.1822e-06-0.00087391i,-4.7516e-05-0.00034515i,-0.00047948+1.7736e-05i,-0.00087915-0.00072175i,-0.00023028-0.00013422i,-6.5767e-05+0.00081405i,-0.00027575+0.00018681i,0.00028917-0.00091947i,0.001438-0.00080189i,0.0012427-0.00032569i,0.00080113-0.00043398i,0.00088104-0.0002078i,0.00080794+0.00057264i,0.00038489+0.00075786i,0.00033742+7.8511e-05i
0.0020687+0.001306i,0.0016121+0.001151i,0.00041238+0.002026i,-0.00012715+0.0019155i,-7.7226e-05+9.7935e-05i,-0.00044488-0.00031794i,-0.00060026-0.00016555i,-0.00026916-0.00025468i,-0.00015378+0.00024376i,7.35e-05+0.0004195i,0.00022984-0.00014357i,-0.00061522-0.00023139i,-0.0006185-7.6556e-05i,0.00033413-0.00016483i,0.00051178+0.0002763i,0.0009448+0.00033752i,0.0011715-0.00034398i,0.00095121-0.00029347i,0.0010108+0.00028288i,0.00025065-0.00030237i,-0.0004766-0.00090192i,-0.00045295-0.00057152i,-0.00047081+2.5201e-05i
-0.0010555-0.00046709i,-0.0011009-0.00036463i,-0.0003359-0.00026903i,-0.00055883-0.00061887i,-0.00090064-0.00083364i,-0.00088834+1.3178e-05i,-0.00079941-3.4102e-06i,-0.00090512-0.00062344i,-0.00079886-0.00096051i,-3.7588e-05-0.00083806i,-8.9596e-05-0.00033055i,-0.00018806+0.00025016i,0.00017809+0.00049119i,0.00064432+0.00029886i,0.00069994+0.00015591i,0.00038744+0.00027256i,0.00051256-0.000237i,0.00071842-0.00060883i,0.0006728-0.00011797i,0.00025336+0.00051668i,0.00071439+0.00065699i,0.00067003+0.00030599i,0.00039475+6.1087e-05i
0.0013603-7.1311e-05i,0.0013035+0.00022263i,0.00018781-0.00040024i,-0.0017132-0.0011915i,-0.0020947-0.00013666i,-0.00091451+0.0011958i,0.00066379+0.0014455i,0.00090954+0.00065737i,0.00060732-0.00014368i,0.00068456-0.00060525i,0.00031491-0.00031307i,0.00028483+0.0008444i,0.00053879+0.0011862i,0.00035908+0.00072287i,4.1887e-06+0.00029014i,-4.677e-05+0.00043279i,-0.00062996+0.0008875i,-0.00060246+0.00057859i,-0.00038994+9.1549e-05i,-0.00010816-0.00053052i,0.00040003-6.8365e-05i,0.00027222+0.00038453i,-8.5126e-05+0.00060287i
0.00083214+0.0001486i,-0.00054865-0.0014197i,0.00015916-0.0021813i,0.00037355-0.0013003i,-0.00077872-0.00082569i,-0.001468-9.5228e-05i,-0.00059029+0.00030592i,0.00025569-0.000393i,0.00028501+5.059e-05i,0.00027036+0.0008264i,-0.00040337+0.00037162i,-0.00039649-0.00027395i,-0.00012598-0.00085484i,-0.00057994-0.0010363i,-0.00078201-0.00094527i,-9.7601e-05-0.00043101i,0.00045963+0.00052641i,0.00022464+0.0012876i,0.00061515+0.0013047i,0.0011857+0.00043798i,0.00048929-0.00015478i,-0.00011665+0.00015051i,-0.00014548+0.00038285i
0.00050032+0.0013044i,0.00015977+0.0013403i,0.00020027+0.0013588i,0.00044591+0.00089746i,0.00014794+0.00027623i,-0.00056949+0.00026639i,-0.00075049+0.0004789i,-0.00077143+0.00024433i,-0.00055653+0.0008501i,0.00019401+0.00084609i,-2.9319e-05-0.00020647i,-0.0011345-0.00093167i,-0.00064985-0.00014589i,0.00079207+0.00082943i,0.001157+0.00076309i,0.0005665+2.6726e-06i,0.00020344-0.0003446i,-0.00017725-0.0003637i,-0.00013639+0.00040278i,0.00073919+0.00061758i,0.00061736-3.1701e-05i,-0.000242+2.0329e-05i,-0.00051944+0.00040523i
-0.00062749+0.00040532i,0.00022129-0.00026858i,0.0016736-0.0015648i,0.0011788-0.0022012i,-0.00019555-0.0018632i,-0.0010288-0.00013223i,-0.00092285+0.001172i,-0.00067314+0.00056994i,-0.00074653-0.00024186i,-0.00046095+0.00016631i,-0.0001968+0.00060164i,-0.00025639+0.00016129i,-0.00047549-0.00028378i,-0.00027984-0.00011199i,0.00016609+0.0006686i,0.00017306+0.00040541i,-7.9448e-05+0.00039549i,0.0006623+0.00017323i,0.0017648-0.0010088i,0.0018361-0.0008367i,0.00076702-0.00046457i,-0.00023477-0.0003312i,0.00037977+0.00036543i
