0.0017697+0.00037413i,0.0023077+0.00023262i,0.0016645-0.00050697i,0.00079809-0.0013094i,-3.2861e-05-0.0012484i,-0.0013722+0.00053276i,-0.00097289+0.0021121i,0.00045267+0.0020311i,0.0014106+0.00092522i,0.0012168+0.00073375i,0.00033447+0.00035543i,0.00037435-0.00049215i,0.0006042-8.4293e-05i,0.00018748+0.00014413i,0.00032751+0.00016377i,0.00022878+0.00094172i,-0.00075398+0.00073361i,-0.0010804+5.7086e-05i,-0.00097259-0.00022233i,-0.001125-0.00018134i,-0.0014218+0.0001373i,-0.0015564+0.00029791i,-0.0014818+0.00026976i
0.00022832+0.00040375i,-0.00022579-0.0013371i,0.00028521-0.0013375i,0.00084795-0.00040487i,0.00037769-0.00027908i,2.9684e-05-0.00058603i,-0.00022366-0.00035463i,0.00047532-0.00016572i,0.0013939-0.00039366i,0.001419-0.00040093i,0.00066019+0.00011136i,0.00029074-1.2873e-05i,0.00045331-0.00086143i,0.00019711-0.00077764i,5.4416e-05-0.00044917i,0.00040716-0.00021633i,0.0001902-0.00046844i,-0.00012299-0.00042107i,-0.00033102-0.00026487i,-0.00022854-0.00011032i,-0.00012634+2.3771e-05i,7.4494e-05-0.00068349i,0.00019418-0.00063199i
6.7081e-05-0.0017313i,-0.00048997-0.00093604i,-0.0015676-0.00091217i,-0.0011771-0.0004558i,-0.00063872+0.00068171i,-0.00037035+0.00078154i,-0.00039606+0.00022702i,-0.00059234+0.00018898i,-0.00061551+0.00029391i,-0.00050598-0.00044987i,-0.00042619-0.00084175i,-0.00031828-0.00022589i,0.00015907+0.00029552i,0.00031585+0.00048477i,0.00047906+0.00011509i,0.00035816-0.0003806i,-9.0217e-05-0.00016446i,-8.1797e-05+0.00079697i,9.6768e-05+0.0012319i,0.00070288+0.0011655i,2.5384e-05+0.00054844i,-7.7635e-05+0.00017489i,0.00020294+0.0001951i
0.0030887-0.00056001i,0.0026686-0.00037362i,0.0020395-0.0012999i,0.0012602-0.0017606i,-9.9184e-05-0.0018986i,-0.00066776-0.00052529i,-0.00013931+0.00097131i,0.00054763+0.0009731i,0.00095702+0.00020089i,0.00057618-0.00036371i,0.00033946-7.0975e-05i,0.00067216+0.00050183i,-1.376e-05+0.00092207i,-0.00038866+0.00057772i,6.36e-05+0.00040431i,0.00056758-0.00023081i,0.00045055-0.00078228i,-1.2677e-05-0.0003882i,-0.00039787+0.00054283i,-0.0014809+0.00094203i,-0.0019561+0.00071446i,-0.0013606+0.00027503i,-0.00035596-0.00045461i
0.0012319-0.00021209i,0.0012989-0.00031873i,0.0012261-0.0006935i,0.00039763-0.00063067i,-0.00083295+0.00012187i,-0.00049993+0.00051061i,0.00028773+0.00060114i,0.0007261+0.00030714i,0.00099801-0.00050378i,0.00086812-0.0006015i,-0.00015101+0.00037167i,-0.00080929+0.00061316i,-0.00076057+0.00031947i,-0.00026309+0.00088475i,-0.00044714+0.0012457i,-0.0010178+0.00083027i,-0.0010963+0.00063693i,-0.00037001+0.00088217i,0.00053039+0.00084695i,0.00040197+0.00071997i,0.00013247+0.00084311i,7.2209e-06+0.00020461i,0.00016768-0.00052991i
-0.00028836+0.00092264i,-0.0004301-0.00013076i,0.0006752-0.0013118i,0.0012201-0.00084023i,0.0010642-0.00034862i,0.00040176-0.00010144i,-0.00064248+0.00021957i,-0.00056239+0.00057983i,0.00023013+5.8902e-05i,0.00034262-0.0006082i,-3.1674e-06-0.00086441i,9.1027e-05-0.00075363i,3.0753e-05+0.0003473i,-0.00049801+0.00052826i,-0.00020823+0.00087895i,3.7971e-05+0.0009882i,-0.00014699+0.001315i,5.6609e-05+0.0014008i,0.00025224+0.00073312i,-0.00012868+0.00034439i,-0.00027583-0.00014549i,0.00046028-0.00024097i,0.00047746-0.00010756i
-0.00071221-0.001068i,0.00080335-0.001851i,0.0011571-0.0010667i,0.00092321-0.00080564i,0.00082226-0.00010481i,0.00074754+0.00071488i,0.00052953+0.00035108i,-9.9286e-05+0.0002366i,-0.00035949+0.00050832i,0.00012665+0.00061025i,0.00078322+0.00081536i,0.00029129+0.00085395i,-0.00063042+0.00026652i,-0.00091706-0.00018497i,-0.00089296+6.6294e-05i,-0.0012031+0.00010713i,-0.0012631+0.00012644i,-0.0011691+0.00035477i,-0.00099011+0.00026342i,-0.00051147-0.00039231i,0.0002335-0.00038033i,0.00040597+0.00030566i,0.0004268-0.00027716i
0.0013616+0.00083553i,0.00099099+0.0010739i,0.0011977-0.00020335i,0.0010304-0.001188i,-1.2646e-05+0.00013627i,-0.00052693+0.00073984i,-0.00057594+0.00021686i,-0.00034579-0.00019788i,-0.00033742-0.001039i,-0.00019044-0.00088438i,2.2488e-05+0.00033458i,0.00031143+0.00048977i,-0.00026408-5.5119e-05i,-0.00044579+0.00046309i,-0.00038548+0.0013414i,-0.00069601+0.00093797i,-8.4553e-05+6.4168e-05i,0.00026069-0.00032348i,-0.00023277+0.00020914i,-0.00041192+0.00061068i,-0.00017035+8.6667e-05i,0.00022081+7.909e-05i,0.00042767+0.00049983i
-0.00044258-7.1443e-05i,-0.00015339-0.00097428i,-0.00055214-0.00086919i,-0.0002721-0.00037116i,-0.00041128+0.00023159i,-0.00013701+0.00069728i,0.0011682+0.00076846i,0.0018326+0.00035252i,0.0013154-6.4352e-05i,8.2008e-05-0.00043298i,-0.0006568-0.00029108i,-0.00034831-0.0003273i,0.00024734-0.00058786i,-0.00038437-0.00052205i,-0.00095552-7.8673e-05i,-0.00025576+1.6783e-05i,0.00038845-0.00039841i,-0.0002947-0.00035911i,-0.00064061+0.00016827i,6.8755e-05-0.00022793i,0.0006484-8.9726e-05i,0.00040228+9.6116e-05i,0.00055762-0.00029187i
0.00033084-0.00067658i,0.00065533-0.00066335i,0.00095316-0.00055969i,0.00017723-0.00034573i,-0.00022775+0.00024198i,5.3596e-05+0.00043907i,0.00032631+0.00024966i,0.00069144+8.2916e-05i,0.0012394-0.00052762i,0.00087345-0.00095532i,8.5081e-05-0.00066956i,-0.00013411-0.00044412i,-0.00012655-0.00045785i,0.00025784-0.00066343i,-0.00022199-0.00064613i,-0.00017583-0.0001363i,0.00039943-0.00012532i,-1.4975e-05-0.00037639i,-0.00017565-0.00025371i,0.00014278-0.00031123i,0.00024933-3.6425e-05i,0.00014126+0.00088272i,0.00016716+0.00088982i
0.0011678-0.0015676i,0.0025736-0.0013592i,0.0020447-0.0014811i,0.00028267-0.0015493i,-0.00028103-0.00078819i,-0.00045566+0.00013082i,-7.7472e-05+0.00027141i,0.00024468-0.0003166i,-0.00039165-0.0008645i,-0.00062686+1.1319e-05i,-0.0004566+0.00078561i,-0.00031685+0.00053866i,9.3664e-05+0.00046182i,0.00021245+0.0011096i,0.00010534+0.0014136i,2.4043e-05+0.0011469i,2.659e-06+0.0007739i,-0.00024402+0.00039378i,-0.00024997+0.00026817i,-0.00067386-3.5157e-05i,-0.00098656+0.00032328i,-0.00020315+0.00089625i,0.00018758+0.00049554i
-0.00067931+0.00079309i,-0.0005254-0.00079493i,0.00032782-0.00095614i,0.00094131-0.0014741i,0.00058608-0.0015497i,-0.00077155-0.00085942i,-0.00067519-0.00073126i,0.0003-0.00066871i,0.00084043-0.00058972i,0.0012677-0.00074482i,0.00097303-0.00035976i,0.00048447+0.00034149i,-8.5867e-05+0.00071441i,-0.00045835+0.00075704i,-0.00060617+0.00038818i,-0.00032003+0.00040539i,2.1746e-05+0.00048339i,-0.00026101-9.8455e-05i,-0.00024796-0.00048527i,-0.00037601-0.00067352i,0.00013226-0.00021824i,0.0008832+0.00014274i,0.00076535-0.00013892i
-0.00025618+4.1352e-05i,0.001865-0.00036419i,0.002743+0.00039307i,0.0027025+0.0011002i,0.0028286+0.00073108i,0.002464-7.6593e-05i,0.001575-0.00050747i,0.00097944-3.8345e-05i,0.00017265+0.00023237i,-2.2239e-05+4.0005e-05i,0.00028317+0.00080461i,0.00069492+0.00061913i,0.00036803-0.00024032i,-0.00038216+3.1437e-06i,-0.00067645-2.4391e-05i,-0.00087377-4.1116e-05i,-0.00025681-0.00013092i,0.0007274-0.00029162i,4.0603e-05-0.00071921i,-0.00091433-0.00045695i,-0.00027455+0.00013345i,-3.2493e-06+0.00010982i,-0.0005894+0.00052578i
-7.7887e-05-8.5774e-05i,0.00011835-0.00063276i,-0.00025361-0.00066083i,-0.00077638+6.4084e-05i,-0.00032916+0.0010565i,-0.00062305+0.00092782i,-0.00064063-2.2893e-05i,0.00036754-0.0006921i,0.00071335-0.00060829i,0.00059306+0.00024738i,0.00097272+0.00038807i,0.0010181+0.00074252i,0.00072537+0.0015729i,0.00041088+0.0012868i,-7.4417e-05+0.0005927i,0.00042993+0.00027353i,0.00076845+0.00044655i,0.00088518+0.00020395i,0.00042535-0.0006283i,1.9795e-05-0.0004485i,-3.7566e-06+0.00037065i,-0.00031902+0.00020987i,-0.00044244-0.00053303i
0.0024437-0.0015274i,0.0017842-0.0019598i,0.0010879-0.0026297i,0.0003561-0.0012475i,-0.00080802+0.00014354i,-0.0012562+0.00095196i,0.00018227+0.0013219i,0.0012849+0.00017787i,0.0011226-0.0010097i,0.00053279-0.00068359i,5.8778e-05-5.6316e-06i,0.00024202+2.9701e-05i,0.00048233+0.00034216i,9.63e-05+0.00078217i,-0.00044695+0.0011354i,-0.00030273+0.0012354i,-0.0002932+0.00055962i,-0.00029983+0.00015821i,0.00019536+0.00087872i,0.00066021+0.0014281i,0.0011889+0.00086484i,0.001061+0.00046319i,0.00030679+0.00018317i
0.00044343-0.00039168i,0.00099446-0.0015656i,0.00060203-0.0017261i,4.1505e-05-0.001112i,-0.00068298-0.0010961i,-0.00077926-0.0009556i,-7.6029e-05-0.0002726i,-0.00028465-0.00019365i,-0.00019205-0.00084529i,0.0004588-0.00060119i,0.00082676-0.00044222i,0.00082122-0.00081622i,0.00028757-0.00043279i,0.00014795+0.00036255i,0.00029352+0.0012219i,0.0002626+0.0011419i,-0.00023319+4.5328e-05i,-0.0011279-0.00065176i,-0.00068729-0.00072768i,0.00043354-0.00028528i,0.0012318-0.00035633i,0.00082772-0.00053258i,8.786e-05-0.00011749i
0.00096722-0.0003586i,0.00050078-0.00098564i,0.00024158-0.00055927i,-0.00018054+1.7957e-05i,-0.00064121-1.5817e-05i,-0.00098835+0.00021389i,-0.00014508+0.00010631i,0.00090304-0.00019023i,0.00079761-0.00079744i,-0.0001863-0.00045891i,-0.0002105+0.00036196i,0.00044984+0.00064881i,0.0008717+0.00042873i,0.00075839+0.00011853i,-6.4647e-05-0.00045453i,-9.504e-05-0.0005723i,0.00084127-6.7504e-05i,0.00085296+0.00052301i,4.3088e-05+0.00086956i,-0.00080769+0.00063499i,-0.00105-0.00010184i,-0.00061411+5.1759e-05i,-0.00020913+0.00052113i
0.00079939-0.00093832i,0.0014566-0.0025265i,0.0013539-0.0025737i,0.00023399-0.0023762i,-0.00047475-0.00095405i,-0.00041185+0.0010457i,0.00030444+0.00097884i,0.0007694+0.00092982i,0.00053811+0.00041565i,0.00036323-0.00064014i,0.00066393-0.00058813i,-0.00015883-0.00035423i,-0.00058014-0.00064478i,-0.00029081-0.00042299i,-0.00032293+0.00011321i,-3.637e-05+0.00042848i,0.00030044+0.00023905i,0.00012085+0.00010272i,-8.1909e-05+0.00022224i,-0.00021351+0.00088399i,-0.00040682+0.00087076i,-0.00010722+5.4371e-05i,0.00038805-0.00073053i
0.0010724-0.0010146i,0.0020457+6.7821e-05i,0.0019457-0.00079759i,0.00081347-0.0019326i,-0.00031687-0.001098i,-0.00071212-0.00046078i,8.8937e-05-1.6973e-05i,0.00018209+0.00029655i,-5.0454e-05-0.00046072i,0.00050675-0.00062248i,0.00054939-0.00011981i,0.00040585-0.00015101i,0.00044631-9.7484e-05i,0.0002612+5.8839e-05i,0.00021126+0.0003525i,0.000288+0.00062621i,-0.00010086+0.0010276i,0.00030599+0.0010738i,0.00083115+0.00034691i,0.00028212+0.00026667i,-8.0827e-05+0.00034723i,0.00024461-0.00011288i,-0.00012134+0.00032316i
0.0012299+0.00023311i,0.0010615+0.00024359i,0.0013259-7.8057e-07i,0.0015201-0.00018155i,0.00062-0.0009422i,-0.00067386-0.00058007i,-0.00073998+0.00016611i,0.00017683-0.000132i,0.00065825-0.00096359i,0.00020982-0.00060313i,-0.00027931-0.0001561i,-0.00012012-0.00043816i,0.00086176-0.00048766i,0.0014467-0.00063275i,0.00056505-0.00060862i,-0.00063329+0.00029118i,-0.00082333+0.00072498i,-0.0006583+0.00014916i,-0.00013119-0.00062318i,0.00054097-0.00093206i,0.00044037-0.00025733i,0.00066012+0.00049034i,0.00065902+0.00084721i
-0.00062529+0.0020406i,0.00013935+0.0014361i,9.1282e-05-0.0004541i,3.8763e-05-0.0016263i,0.00060989-0.00085166i,0.00025815+0.00012188i,0.00015741-0.00025615i,0.0011023-0.00026451i,0.00085167-1.6775e-05i,-0.00019389-0.00029846i,2.8765e-05+0.00011364i,0.00043241+0.00061723i,0.00014466+7.4249e-05i,8.5425e-05-0.0005023i,-0.00062303-9.3289e-05i,-0.001261+0.00057726i,-0.00083101+0.0009497i,0.00010011+0.0011543i,0.00056203+0.00068201i,0.00018895+4.1374e-05i,0.0003511+4.0665e-05i,0.00032621+5.8698e-05i,-0.00042832+2.7449e-05i
-0.00068314-0.0021573i,0.00013642-0.0016628i,0.00036622-0.0013545i,-0.00012257-0.00083518i,0.0001515-0.00027081i,0.00034513+0.00014941i,-9.2108e-05+0.00013854i,-0.00024343+0.00019944i,8.134e-05+4.7568e-06i,0.00049444-0.00028854i,0.00059839-6.4096e-05i,0.00061682-0.00040315i,0.00014099-0.00078962i,-0.00014962-1.6522e-05i,-0.00064557+1.7709e-05i,-0.0011068-0.00086673i,-0.00059116-0.00028339i,-0.00070113+0.00044824i,-0.0012947+0.00026685i,3.9029e-05+0.00012011i,0.0010425+0.00077994i,0.0004637+0.0012815i,-3.5337e-06+1.1071e-05i
0.00020279-0.00020226i,-0.00046537-0.0011353i,-0.00027202-0.001622i,-5.9887e-05-0.0010354i,-0.00038611+0.00086374i,-0.00055837+0.0015371i,-0.00034736+0.0004535i,3.8376e-05-0.00018962i,0.0003616-0.00047624i,0.00013709-0.00066777i,0.00035887-0.00016845i,-5.6662e-06+0.00010604i,-0.00074373-0.0002344i,-0.00064672+0.00038846i,-0.0002729+0.00094252i,-0.00012893+0.00068907i,-2.0611e-05+0.0004589i,0.00013597+0.00035674i,0.00012934+0.00024222i,-0.00029362-5.1853e-05i,-0.00074117-0.00013361i,-0.00077084-4.257e-05i,-0.00022779+0.00059224i
-0.0017881+0.0009958i,-0.00097521-0.00024828i,0.00056003-0.0003481i,0.0014595+0.00080607i,0.001804+0.00065205i,0.0012032-0.00108i,0.00056894-0.00089259i,0.00072389-0.00018434i,0.0006755+1.7124e-05i,0.00054337-1.1126e-05i,0.00065622+5.6316e-07i,0.00050053+8.3458e-05i,-0.0003079-0.00038175i,-0.00066512-0.00051689i,-0.00055038-0.00013694i,-0.00058059+0.00010621i,-0.00050807+0.00010892i,0.00013984-0.00029778i,0.00062116+7.4515e-05i,0.00028294+0.00063862i,-0.00012328+2.8164e-05i,0.00018058-0.00023513i,0.00014987-9.9767e-05i
-0.0012225-0.00023173i,-0.00063674-0.00089011i,8.5328e-05-0.0013594i,-3.6705e-05-0.00092934i,0.00027719+2.9989e-06i,0.00030565+0.00038709i,0.00010855+0.00029077i,0.000387-6.9975e-05i,0.00021159-0.00022781i,7.8684e-06+0.00025634i,0.00021576+1.9161e-05i,0.00016721-0.00059759i,0.00029-0.00074779i,0.00057333-0.00060413i,2.1021e-05+0.00040337i,-0.00013427+0.00038141i,0.00043072-0.00030002i,0.0002573-0.00026424i,-0.00043204-0.00068988i,-0.0010043-0.0007423i,-0.00028081-4.6329e-05i,0.00016326+2.5216e-05i,-3.991e-05-0.00012414i
0.0017781+0.00018142i,0.0020361-0.00033438i,0.0016679-0.0012282i,0.0015-0.0014653i,0.0004917-0.0011629i,-0.0003302-0.00070223i,0.00023896-0.00072411i,0.0010333-0.0011775i,0.00086793-0.0010111i,0.0011425+0.00036446i,0.00082517+0.0010742i,-9.536e-05+0.0004535i,-0.0004768+0.0002413i,-0.00040304+0.00025397i,-0.00050693+0.00024162i,-0.0012931-7.0742e-06i,-0.0014034-0.00029974i,-0.00036462-0.00075132i,0.00066536-0.00099315i,0.00011862-0.00025298i,-0.00036958+0.00017514i,-0.0001369-8.5695e-06i,-3.1777e-05-4.9963e-05i
0.0002535+0.00027364i,-0.00089441-0.00035295i,0.00056769-0.00097066i,0.0013834-0.00075268i,0.0010843-0.00011676i,0.00050709+5.731e-05i,-0.00064152+2.9786e-05i,-0.00064403-0.00010085i,0.00048913-0.00093284i,0.00088396-0.0014101i,0.00034861-0.0013225i,2.2155e-05-0.0010817i,-0.00014295-0.00032067i,0.0004204+0.00013711i,0.00083587+0.00013857i,0.00029959+0.00027808i,0.00040751+0.00045992i,0.00029085+0.00032961i,-0.00088104-2.9927e-05i,-0.0010161+0.00030408i,-0.00047222+0.00018354i,-0.00057751-0.00010007i,-0.00039999+0.0003354i
0.0020473-0.0003048i,0.0019715-0.00078663i,0.0019439-0.0011949i,0.00047525-0.00081462i,-0.00046289-0.00058633i,0.00024703-0.00021759i,0.00081649+0.00024086i,0.00086952+8.3542e-05i,0.00075504-0.0009263i,1.2149e-05-0.00094007i,-0.00052098+0.00020647i,-0.00014643+0.00049619i,-0.00024691-4.2303e-05i,-0.00045721-0.00080167i,-0.00016332-0.00097799i,-0.00039427-0.00048636i,-0.00024916+0.00031868i,-0.00026843+0.0011338i,-0.00013439+0.00064184i,1.3068e-05-0.00082706i,-0.00051485-0.00056021i,1.6362e-05-0.0001869i,0.00031416+0.00010412i
-0.00019964-0.00025146i,0.00053661+0.00061732i,0.00085451+0.0011157i,0.00090144+0.0015394i,0.00033557+0.0023261i,-0.00031617+0.0013584i,-0.00091764-5.0236e-05i,-0.00057291-0.00015065i,2.3128e-05+0.00014062i,0.00078898+0.00092288i,0.00071428+0.0015444i,0.00011211+0.00059217i,-0.00038866+7.794e-05i,-0.00071735+2.2387e-05i,-0.0011991-4.2407e-05i,-0.0012316+0.00014206i,-0.0007381+0.000373i,-0.00015279+0.00032882i,-0.00029869-0.00024368i,-0.00019089-0.00053307i,0.00046952-0.00057947i,-5.1211e-05-0.00080447i,-0.00061656-3.5085e-05i
0.00051071-0.0007749i,0.0010451-0.0006501i,0.00088391-0.00078455i,0.00019827-0.00085947i,-0.00027069-7.7239e-05i,-0.00042441+0.00060709i,-0.00069602+0.00073626i,-0.0002+9.1776e-05i,2.7496e-05-0.00086085i,0.00055644-0.0003827i,0.001043+0.0010613i,0.00064601+0.00082483i,3.0999e-05-0.00056067i,-0.0012626-0.00086532i,-0.0012181-0.00067544i,-4.8382e-05-0.00016071i,0.00061355-0.00015307i,0.00022412+0.0001274i,-0.00016488+0.0003964i,-0.00047198+0.000396i,-0.00097137+0.00040646i,-0.00066447+0.00027738i,0.00013921-0.00016363i
-7.167e-05-0.0020107i,0.0015085-0.0021493i,0.0013894-0.0016678i,0.00028359-0.00058489i,-8.4847e-05+0.00017841i,0.00030671+0.00041145i,0.0004493-0.00016516i,0.00046662-0.00066387i,0.00065977-0.00036251i,0.00012764+0.00036736i,0.00014019+0.00059779i,0.00020276+0.00062837i,-0.00043054+0.00054075i,-0.000642+0.00057012i,-0.00042684+0.00027319i,-0.00024065-0.00013126i,-0.00016892+2.4815e-05i,2.9563e-05-0.00014825i,-0.00017865-1.0307e-05i,-0.00042118+0.00035316i,3.6264e-05+0.00013968i,-0.0001985+3.9872e-05i,-0.00051302+4.814e-05i
0.00036724+0.0023291i,0.00099434+0.00172i,0.0015099+0.00061771i,0.0014613-0.00027407i,0.001131-0.00095244i,0.00058135-0.00063438i,0.00059329+6.247e-07i,0.00085126-9.6412e-05i,0.0013245-0.00039397i,0.0010805-0.00015866i,-6.9151e-05-0.0001525i,-0.00046839-0.00080988i,-0.00064628-0.0004278i,-0.00084605+0.00010227i,-0.00053184+0.00029463i,0.00031049+0.00022811i,0.0013792+0.00037497i,0.0009642+0.00069278i,-4.8681e-05-0.00047662i,-0.00012479-0.00064863i,-0.00016788-0.00019952i,-0.00011121-0.00044412i,-0.00041234-0.00044275i
-0.00012734-0.0023068i,-0.0007689-0.0029099i,-0.00036523-0.0036656i,-0.0010068-0.0028666i,-0.0015097-0.00059624i,-0.0011556+0.00054184i,-0.0008564+0.00022794i,-0.00066611-0.00036301i,0.00010194-0.00063626i,-0.00012596-0.00053806i,-0.00061637-0.00037443i,-0.00022698+9.766e-05i,6.5627e-05+0.00020756i,-0.0001837-0.0001338i,-0.00029617-0.00085837i,0.00011704-0.0011183i,0.00017948-0.00070257i,-2.6271e-06-0.00036241i,-0.00021755-0.00037273i,-4.907e-05-0.0004397i,0.00073459-0.00014381i,0.00062666+2.6641e-05i,-7.9381e-05+0.00026126i
0.0017354+0.0010697i,0.0037834+0.00060533i,0.0036775+0.00017754i,0.0019897+0.00029065i,0.0012171+0.00060208i,0.00074552+0.00035967i,-0.00017631-7.0335e-05i,-0.00032534-0.00050925i,-0.00013012-5.1923e-05i,-0.00037203+0.00032523i,-0.00055342+0.0005886i,-8.4259e-05+0.00097506i,0.00016502+0.00038634i,-0.00031794+0.00023225i,-0.0012003+0.0007528i,-0.0015891+0.0010559i,-0.0011971+0.00052057i,-0.00096571+0.0001681i,-0.00066567-0.00039275i,-0.00025717-0.00063485i,-0.00033325-0.00028558i,0.0001894-0.00031505i,0.00046444+6.4914e-05i
