-0.0042364+0.0011756i,-0.0025543-1.9457e-05i,-0.0036656-0.00010769i,-0.003389+0.0013201i,-0.0024369+0.0026303i,-0.0016746+0.0023452i,-0.00074884+0.0023482i,-5.2234e-05+0.0020034i,0.00015817+0.0012595i,0.00081524+0.00048917i,0.0018686-0.0001597i,0.0013785-0.0003189i,3.1355e-05-0.00028955i,-0.00044856-0.0004907i,-0.00071767-0.0010705i,-0.00085294-0.00089653i,-0.00020845-0.00075572i,-6.3947e-05-0.00066596i,4.5344e-05-0.00021963i,0.00049167-4.6811e-06i,-0.00048683-0.00041686i,-0.00095303-0.00071242i,-0.00056861-0.00033077i
-0.0015531+0.00016867i,-0.0013657+8.2778e-05i,-0.0020317+0.0013357i,-0.0015075+0.0011158i,0.00056209+0.001254i,0.00097762+0.00057725i,0.000117+0.00044783i,-2.5431e-05+0.00084637i,1.1084e-05+0.00026076i,0.00021818+0.00015142i,0.00048036+0.00047746i,0.00066358+0.00011192i,0.00071429-0.00058093i,-0.00013574-0.00044842i,-0.001056+0.00012094i,-0.0011779+0.00031544i,-0.00072896-0.00040528i,-9.6621e-05-0.00077473i,0.0005053-0.00044021i,-0.00012821+0.00055905i,-0.00059869+0.0015114i,-8.7594e-05+0.00064977i,0.0003957-0.00029907i
3.5931e-05-0.00028342i,-0.00068895-0.00044286i,-0.00056874+0.00014227i,0.00028648+0.00054633i,0.00056612+0.00024859i,0.00017094+0.00046255i,0.0001478+0.00050158i,0.00044661+0.00032848i,0.00077161-1.2934e-05i,0.00064759-0.00026504i,-0.00061762-8.8499e-06i,-0.00081008-0.00028953i,2.0681e-05-0.0005112i,7.164e-05-6.8514e-05i,0.00048222-0.00042035i,0.00049915-0.00081669i,-9.946e-05-0.00089233i,1.2799e-05-0.0011913i,-0.00024202-0.0016264i,-0.00021868-0.0013641i,0.0002199-0.00088075i,3.3284e-05-0.00027223i,-0.00022724-0.00043923i
0.0014892+0.0010992i,0.0008012+0.0015669i,0.0015432+0.00061253i,0.0014623-0.00030297i,0.00076394-0.00085656i,0.00077169-0.00082796i,0.0010142-0.00066522i,0.0014518-0.00062416i,0.0012545-0.00011344i,0.0010649+0.000191i,0.0012142+0.0005595i,0.00052575+0.0012382i,-0.00046858+0.0013124i,-0.00071968+0.00071469i,-0.00063242+1.1399e-05i,-0.00051642-8.5677e-05i,-2.1084e-05-0.00083368i,0.00048557-0.0011917i,0.00027609-0.00054346i,0.00084625-0.00051145i,0.0011373-0.00045182i,0.00030485-0.00052278i,0.0004138-0.0001936i
-0.00059158+0.00047713i,-0.00041791-0.00090044i,-0.00066072-0.00015471i,-0.00050681+0.00088593i,-0.00010301+0.00043426i,0.0003629+0.00043358i,0.00038545+0.00083391i,7.2593e-05+1.5592e-05i,0.00015991-0.00025i,-0.00032553+0.00078277i,-1.3511e-05+0.00056721i,0.00067047+0.00014502i,0.00017329+0.00038727i,-0.00031508+0.00020307i,-0.00051462-0.00016468i,-0.00027827-0.00088211i,7.4098e-05-0.00087452i,-0.00019976-0.00082671i,-0.0004837-0.0012248i,-0.00036477-0.00082197i,0.00013437+0.00020483i,-0.00042512-5.1717e-05i,-0.00083544-0.00096602i
0.002521+0.0019316i,0.0023705+0.0022657i,0.0031789+0.00068279i,0.002065-5.9563e-05i,7.3001e-06-0.00078489i,0.00031841-0.00090703i,0.00064393-0.00058707i,0.00034304-0.00033533i,0.00066435+0.00049274i,0.00072605+0.0014537i,-4.9627e-06+0.0014294i,-0.00042517+0.00096753i,7.2862e-05+0.00054852i,6.2722e-05+0.00034992i,-0.00020292+7.5672e-05i,-0.00054589+7.7247e-05i,-0.00072926-0.00031572i,-0.00067239-0.00054355i,1.8346e-05+2.3335e-06i,0.00091204+0.00020088i,0.00055851+0.00023139i,-0.00028915+0.00012708i,-0.00020411-5.0177e-05i
-0.00041727-0.0017015i,-0.0010513-0.0012772i,-0.0025281-0.0011379i,-0.0022895-0.0011792i,-0.0012153-3.8953e-05i,-0.00036708-0.00011161i,0.00057043-0.00052723i,0.0004252+0.00010627i,-0.00019393+0.00028365i,-0.00032934+0.00053165i,0.00061298+0.0011469i,0.0011775+0.00086922i,0.0008018-0.00027009i,0.0002094-0.00055988i,-1.3508e-05-9.0159e-05i,-0.00016684-0.00027658i,-0.00014138-0.00027745i,-0.00012352-0.00070411i,-0.00041574-0.00036053i,-0.00076265+0.00038042i,-0.00064873+0.00027627i,-7.9589e-05-0.00011034i,-0.00027202-0.00019346i
-0.0014031-1.3053e-05i,-0.0020001+0.00025901i,-0.0010126+0.0013215i,-0.00016169+0.0019631i,-0.00034406+0.0019539i,-0.00047869+0.0021044i,0.00063438+0.001622i,0.0011845+0.0011978i,0.0010755+0.001318i,0.0010995+0.0013867i,0.0011929+0.001302i,0.00078905+0.0010172i,-3.7357e-05+0.00038932i,-0.00079651-0.00038027i,-0.0012523+9.7643e-05i,-0.0010623+0.0006583i,-0.00031269+0.000166i,0.00028417-0.00021492i,-5.0898e-05-9.9935e-05i,-0.00044131-0.00023802i,0.00021947-0.00059283i,0.00075875-0.0011604i,4.4846e-05-0.00061361i
-0.00097425+2.74e-05i,-0.00089515+5.5966e-05i,-0.0010185+0.0005273i,-0.0010051+0.0011385i,0.00037469+0.0012533i,0.0016886+0.0012964i,0.00095573+0.0010723i,0.00029266+0.0005257i,5.2878e-05+0.0008495i,0.00012022+0.0011279i,0.00072017+0.00062725i,0.00038548-0.00029761i,8.3913e-05-0.0013608i,0.0004704-0.0014495i,0.00026015-0.00081046i,-2.3056e-05-0.00049198i,0.00031666-0.00051136i,0.00091938-0.0015243i,0.00079677-0.0019254i,0.00092722-0.0010646i,0.00093632-9.6606e-07i,0.00062888+0.00036781i,-7.9172e-05+0.00014373i
0.0003094-0.00089682i,0.00026116-0.00049838i,0.00052102-0.00027253i,0.00010746+0.00072664i,-0.00095211+0.00056362i,-0.0012411+0.00040072i,-0.0010459+0.00026846i,-0.00046273+0.00017017i,0.00022135+0.0010136i,0.0011524+0.0012366i,0.0017695+0.00098362i,0.00052833+0.00032131i,8.7326e-05-0.00049997i,0.00056613-0.00036255i,6.6402e-05-0.00050226i,-0.00047061-0.0010189i,-0.00053969-0.00056932i,-0.00032389-0.00045047i,-2.5604e-05-0.00071919i,0.00055378-0.0002536i,0.00032354-0.00056632i,-0.00025404-0.00039404i,-0.00085306+0.00032809i
5.6353e-05+0.0020341i,0.00078143+0.0019293i,0.00069003+0.00052428i,0.0014393-0.00058346i,0.0020286-0.00068223i,0.0023512+0.00016043i,0.0012554+0.000533i,0.00087424+0.00023582i,0.0011975+0.0006352i,0.0005523+0.0010775i,-0.00038777+0.0002186i,-0.00019124-0.00035443i,4.0591e-06+3.3829e-05i,-0.00042709-0.0010415i,-0.00115-0.0019358i,-0.0013308-0.0015398i,-0.00039567-0.0011189i,0.00027776-0.0015427i,0.00040594-0.0017941i,0.00062934-0.00095109i,0.00016046-0.0002471i,-0.00064594+1.0904e-05i,-0.0010016+0.00025466i
