-0.0022559+0.00010046i,-0.0014955-0.0013717i,-0.0017229-0.0027272i,-0.0016092-0.0017532i,-0.0015604+0.0011397i,-0.00086517+0.0027902i,0.00049218+0.0019903i,0.0012172+0.00075834i,0.00089304+0.00098086i,0.00057791+0.00076787i,0.00037303+0.00036229i,0.00031502+0.00011328i,3.9426e-05-0.00057541i,-0.00021197-3.3922e-05i,7.1435e-05+0.00076916i,0.00033992-5.057e-05i,0.001011-0.00074853i,0.00082542-0.00075408i,0.00050937-0.00022417i,0.00028677+0.0008586i,-0.00021743+0.0010313i,0.00017155+0.00052079i,0.00073129+0.00053583i
0.0015219+0.0021507i,0.0022157+0.0015843i,0.001812+0.00059935i,0.0011167-0.00076554i,0.00078774-0.0018153i,0.00067328-0.0016563i,0.0005356-0.0013331i,-0.00041519-0.000952i,-0.0015066-0.00055187i,-0.00063389-0.00038574i,0.00064146-0.00056244i,0.00059649-0.00011731i,3.0432e-05+0.00044385i,0.00024966+0.00017682i,0.00098956-8.6531e-05i,0.00063832+4.9305e-05i,0.00047183+0.00070347i,0.00055779+0.00086654i,8.8867e-05+0.00041411i,0.00016672+0.0002986i,4.9713e-05+5.7763e-05i,-0.00051651+0.00036892i,-0.0013877+0.0001529i
-0.0028377-0.0020983i,-0.0036033-0.0016133i,-0.0029368-0.00090575i,-0.0022098+0.00028754i,-0.00092988+0.00085733i,0.000817+0.0007503i,0.00037012-0.00079977i,-0.0014502-0.0016581i,-0.0030322-0.00088117i,-0.0022158+0.00065278i,-0.0011067+0.001428i,-0.0015067+0.00091832i,-0.0015853+0.00013014i,-0.0015027-5.3745e-05i,-0.00016047+1.0147e-05i,0.00081577+0.000126i,0.00029663+0.00051226i,-0.00043026+0.00042044i,-0.00021288+0.00052936i,-0.00016366+0.00069172i,-0.00053349+0.00040537i,-0.00064224+0.00016621i,-0.0003564+0.00019307i
-0.0025189-0.00043151i,-0.002579+0.00010013i,-0.0027106+0.00019137i,-0.002238+0.00017346i,-0.0015405+0.00080974i,-0.00050961+0.0007738i,0.00066038-0.00026457i,0.00053185-0.0012597i,-0.00070813-0.00068515i,-0.0012695+0.00029566i,-0.0010271+0.00058246i,-5.4953e-05+6.9664e-05i,0.00022165-0.00024249i,-0.00042278+0.00022914i,9.7501e-05+0.000294i,0.0013279-0.00050965i,0.0011752-0.00071552i,0.00035697+0.0002262i,-0.00044066+0.0010875i,-0.0010932+0.0011195i,-0.0010928+0.00047781i,-0.00055639-0.00023893i,0.00021755-0.00032316i
-0.000919+0.00024394i,-0.00073754-0.00028626i,-0.00037692-0.00015301i,6.6546e-05-9.0566e-05i,0.00051851-0.0010736i,0.0011544-0.0012764i,0.0002952-0.000981i,-0.00087522-0.0011841i,-0.0013452-0.00099723i,-0.00075941-0.00076488i,-0.00033067+0.00010769i,0.00025627-3.0743e-07i,0.0005682-0.00011523i,0.00018796+0.0009694i,9.7887e-05+0.0011193i,0.00011991+0.00047365i,8.4651e-05+0.00024098i,0.00031405+0.00027787i,1.5405e-05+0.00066544i,-0.00025154+0.0007749i,-0.00019654+0.0011702i,0.00010763+0.0013894i,0.00026997+0.00065105i
-0.0012469+0.00075482i,-0.0014136-0.00037633i,-0.0016259+0.00042439i,-0.0007457+0.0018103i,0.00060054+0.001696i,0.0023773+0.00054599i,0.0023679+0.00042281i,0.00028684+0.00065683i,-0.0013333+0.00044873i,-0.0021349+2.8129e-05i,-0.0013518+0.00025586i,-0.00014486+0.00045207i,-7.0031e-05+0.00045755i,-2.7989e-05+0.00016744i,0.0009809+4.589e-05i,0.0015629+0.00061788i,0.00078652+0.0013036i,0.00062296+0.0012735i,-0.00048782+0.00078679i,-0.0015229+0.00082052i,-0.00075437+0.00080377i,4.3638e-05+0.00056619i,0.00045207+0.0001518i
-0.00042064-0.0018881i,0.00059692-0.0018085i,0.00046317-0.0022326i,-0.0010444-0.0019701i,-0.0019757-0.0012719i,-0.0018907-0.0007595i,-0.00037642-0.0016484i,0.00042816-0.0019445i,-0.00078565-0.0011288i,-0.0014182-0.00043326i,-0.00073869+2.0995e-05i,-0.00063971-0.00090484i,-0.0013291-0.00099308i,-0.0010431-0.00012686i,-1.1384e-05-0.00032518i,0.00071755-0.0010039i,0.0006169-0.00061553i,0.00028865+0.00014805i,0.00030073+0.00034574i,0.00073324+0.00030284i,0.0011241+2.2663e-05i,0.00069469+4.847e-05i,-0.00018532+0.00026512i
-0.00092769-0.00024355i,-0.001565-0.0005019i,-0.002893-0.00042584i,-0.0037543-0.00063649i,-0.0029192+5.3372e-05i,-0.00078515-0.00027427i,0.00028969-0.0012213i,-0.00053559-0.00098905i,-0.001424+5.7433e-05i,-0.0017709+0.00038451i,-0.0011954+0.0002549i,-0.00035481+0.00034098i,0.00022014-0.00019204i,0.00035795-0.0007674i,0.00017775-0.00098853i,0.00041311-0.00057017i,0.00087548+5.8359e-05i,0.00096426+0.00040889i,0.0011254+0.00046359i,0.00094774-0.00021802i,0.00083291-0.00024034i,0.0002095+0.00032074i,-0.00024103+0.00082243i
0.00078299+0.0020252i,0.0021958+0.0028446i,0.0032651+0.0019543i,0.0029626+0.00024343i,0.0020147-0.00016869i,0.00087119+0.00023507i,0.00046695+0.00013502i,-0.00088083-0.00064028i,-0.001676-0.0005332i,-0.0010788-0.00024831i,-0.00050147-0.00042167i,0.00040673+4.7066e-06i,0.001101+0.00011299i,0.00029289-0.00018057i,-0.00029005+0.00010671i,-6.3376e-05+0.00056635i,-0.00050759+0.00054781i,-0.00050835+0.00037703i,-0.00069692-0.00021723i,-0.00074187-0.00052526i,3.1312e-05+7.2055e-05i,0.0010285+0.00020516i,0.00097791+0.0004566i
0.00061021-0.00058166i,0.0010924-0.0011173i,0.00050529-0.0011438i,-0.0007951-0.00075843i,-0.00030584-0.00033596i,0.00064392-4.8704e-05i,0.00094254-0.00028854i,0.00010633-0.00082815i,-0.0012913-0.00096969i,-0.001064-0.00033169i,-0.00057347+3.2165e-05i,-0.00030115-0.0002285i,1.553e-05+8.5166e-06i,-0.00062389+0.00014429i,-0.00064858+9.8287e-05i,2.5917e-05+0.00042036i,0.00041356+0.00041359i,-1.2529e-05+0.00069014i,-0.00055001+0.00091735i,-0.00094539+0.00072466i,-0.00067023-4.3017e-05i,0.00032044-0.00043425i,0.00086236-0.00013387i
-0.0030074-0.00017466i,-0.0028867+0.0008251i,-0.0042618+0.00086336i,-0.0043971+0.0003067i,-0.0030814-0.00017979i,-0.00049006-0.00072621i,-0.00019578-0.00084996i,-0.0016488-0.00052994i,-0.0022173-9.8301e-05i,-0.0019846-5.7165e-05i,-0.00058672-0.00043706i,0.00037009-0.00028711i,0.00029223+0.00012081i,-0.0004251+0.00036586i,-0.00084828+0.00016494i,-0.00042568-2.3632e-06i,-0.00011917+0.00086629i,-0.00053523+0.001751i,-0.00065455+0.0015857i,-0.0006321+0.001029i,-0.00043672+8.7028e-05i,-0.00051751-0.00067114i,-0.00040767-0.00098614i
