-0.0040018+0.0010774i,-0.0026404+0.001396i,-0.0019436+0.0025561i,-0.0002607+0.003264i,0.00082683+0.0037689i,0.001993+0.0038359i,0.0021208+0.002567i,0.0012783+0.0011315i,0.00060698+0.0011057i,0.00060898+0.0015381i,0.0012071+0.0011364i,0.0018845-4.5635e-05i,0.001454-0.0015048i,-0.00012501-0.0025954i,-0.0014264-0.0023397i,-0.0017104-0.0017147i,-0.00070696-0.00080405i,0.00057352+0.0003904i,0.00084211+0.00094917i,0.00054546+0.00049942i,-0.00020648-0.00024982i,-0.00065016+0.00014089i,-0.00093466+0.00073943i
-0.0011088+0.00032303i,-0.0020478+0.00065427i,-0.001978+0.00056385i,-0.0012137-0.00025349i,-0.00011388-0.00039813i,0.0013172+0.00020724i,0.0016077+0.00023293i,0.0012809-0.0001018i,0.00083888-0.00020665i,0.0002927-0.0003375i,0.00015165-0.00032858i,-0.00042034+0.00014864i,-0.0002509+0.00019097i,0.00047999-0.00041203i,0.0003953-0.0002674i,-3.8122e-05+1.3866e-05i,-0.00030438+0.0003985i,0.00046432+0.0010028i,0.00089602+0.0010151i,7.366e-05+0.00031349i,-0.00097783-0.00045045i,-0.00033018-0.00021429i,0.00060174-0.00014233i
-0.00041387-0.0014538i,-0.0012595-0.0011139i,-0.0015918-8.489e-05i,-0.0010272-0.00050271i,-0.00090335-0.00034457i,-0.00083166+0.00098981i,-0.00034911+0.00096658i,-0.00023372+0.00050793i,0.0002263+0.00021574i,0.00052095+0.00032796i,-3.9658e-05+0.00065127i,-0.00047162+0.00084658i,-0.00075066+0.00059154i,-0.00055784-0.00014196i,0.00024487+0.00010388i,0.00011486+0.00062836i,-0.00021302+0.00064452i,-0.0004499+0.0010155i,-0.00028725+0.0011379i,0.00040998+0.00048202i,0.00064141+0.0003453i,0.00030731+0.0006131i,-1.8018e-06+0.0004272i
-0.00029101+0.0016428i,0.00043113+0.0021675i,0.0011143+0.0025402i,0.0011734+0.003205i,0.00017941+0.0030442i,0.00032886+0.0023763i,0.0011243+0.0021i,0.0014407+0.00083277i,0.00038897-0.0001336i,-0.00036487-0.00077111i,-0.00089606-0.00037759i,-0.0011206+0.00031821i,-0.00076182+0.00026396i,-0.0011005+0.00066053i,-0.0013519+0.00077464i,-0.0006817+5.7492e-05i,-0.00038376+0.00020419i,-0.00010399+0.00052996i,0.00042303-0.00013032i,0.00024996+1.6686e-05i,0.00048617+0.00045531i,0.00075169+9.1117e-05i,0.00030847-9.4285e-05i
-0.00088402+0.00033198i,-0.0010651+0.00017625i,-0.00088666+0.0011984i,-0.00039205+0.00033255i,0.00044184-0.00087037i,0.0013913-0.0005034i,0.0012746+0.00048762i,0.00065908+0.0016557i,0.00032757+0.0017988i,0.0002271+0.00088791i,0.00041099+0.00073894i,-0.00022795+0.00087166i,-0.00070003+0.00054223i,-2.0461e-05+0.00013023i,0.00021293-0.00022438i,-0.00037547-6.2058e-05i,-0.00089884+0.00018431i,-0.00037215-4.3447e-05i,-0.00026101-0.00091058i,-0.00063988-0.0013272i,-0.00021077-0.0006818i,0.00013693-0.00028674i,-0.00035073-7.4186e-05i
0.00047168+0.00029407i,9.131e-06+0.0010477i,0.001033+0.0016023i,0.0017894+0.0012293i,0.0017577+0.0012363i,0.0010356+0.0023342i,0.00075054+0.0018288i,0.00014045+0.00098979i,-0.0007799+0.0012267i,-0.0004952+0.00097991i,-0.00017457+0.00046934i,-0.00042002+0.00039918i,-0.00075022+0.00040552i,-0.00072218-0.00016767i,0.00018207+8.4302e-05i,0.00044458+0.00034469i,0.00040831+0.00013382i,0.0010086-8.1042e-05i,0.00096289-0.00038767i,0.00041984+0.00010969i,-6.1203e-05+0.00037515i,-0.00016747+0.00031756i,-5.5539e-05+0.00021947i
-0.00058931-0.00044955i,-0.0012253-0.00045152i,-0.0014575-0.00079298i,-0.0011308-0.00068454i,-0.00048617+5.6189e-05i,4.2912e-05-0.00023925i,0.00064496-0.0005479i,0.00046804-5.3923e-05i,-3.8591e-05+0.00056989i,0.00024028+0.00038087i,0.00076997-0.00038371i,0.00047036-0.00092487i,-0.00030015+0.00022222i,-0.00026872+0.00081581i,0.00027701-0.00012999i,0.00024217-0.00026568i,0.00029461+0.00038702i,-7.2974e-05+0.00026662i,-0.00066965-0.0001487i,-0.00040264-0.00029053i,-8.2711e-05-8.9889e-05i,-0.00076793+0.00030273i,-0.00083541+0.00022877i
-0.0016064-0.0015i,-0.0027983+7.5075e-05i,-0.0030938+0.00051877i,-0.0026611+0.00034786i,-0.0027687+0.00033106i,-0.0018219+0.0011806i,0.00042477+0.00096784i,0.0012009+0.00046784i,0.00069339+0.00046432i,0.00045706+0.00046924i,2.1169e-05+0.00097531i,-0.00027611+0.0010851i,-0.00019756+0.00067758i,-6.8605e-05+0.00018843i,0.00073484-0.00043128i,0.0012134-0.00072382i,0.00049054-0.00051366i,-0.00044952+0.0001178i,-0.0010268-0.00014863i,-0.00092768-0.00082752i,-2.8885e-05-0.00069653i,0.00015336+7.0709e-05i,0.00047636+0.00052636i
-0.00011438-0.00062968i,-0.00079497-0.00037276i,-0.00086354-0.00061004i,-0.00059665-0.00049458i,-5.9477e-05+0.00022199i,9.2602e-05+0.00095674i,-0.00013169+0.0015496i,-6.2505e-05+0.00099868i,-0.00041768+0.00041796i,-0.00051262+1.963e-05i,-0.00027636-0.00022184i,-0.00050341+0.00038146i,-0.00014719+0.00057008i,8.6859e-05-0.00048981i,-0.00026049-0.00075821i,-0.00059468-0.00079174i,-0.00029147-0.00056153i,2.182e-05+8.8129e-05i,6.0865e-05+0.0005799i,8.956e-05+0.00074555i,0.00016404+0.00080386i,-1.2933e-06+0.00018603i,-0.00037258+0.00034665i
-0.0013484-0.0008918i,-0.00080236+0.00038617i,-7.829e-05+0.0013558i,0.00032373+0.0010692i,0.00038951+0.0013632i,0.00075677+0.0017132i,0.00083668+0.0022333i,0.00031485+0.0014232i,-3.6203e-05-0.00029957i,-0.00046949+0.0001211i,-0.00058987+0.0011211i,-0.00092293+0.00058743i,-0.0014503+0.00024068i,-0.001522-0.00021044i,-0.00091009-0.0011899i,-0.00053778-0.0016745i,5.7583e-05-0.0010342i,0.00028859+1.6666e-05i,-0.00018368+0.0004426i,-0.00028689+0.0005421i,-0.00065758+0.000765i,-0.0006689+0.00022518i,1.9519e-05-0.0003785i
0.00039189-0.00056291i,-0.00089802-4.0564e-05i,-0.00074261-0.00036966i,0.00018551-0.00047705i,-1.6422e-05+0.00041826i,-0.0003947+0.0014027i,0.00054656+0.0015006i,0.00086866+0.00056989i,0.0005748-0.00023596i,-0.00019029-0.00013002i,-0.00046585-0.00032681i,1.0223e-05-0.00037004i,3.3128e-05+0.00058621i,-0.00054929+0.00080253i,-0.0010749+0.000175i,-0.00072014-0.00022549i,-7.5721e-05-0.00021457i,-7.1896e-05-0.00021207i,-0.00056266-0.00071151i,-0.00092938-0.00072784i,-0.00077483+0.00012341i,-5.2787e-05+0.0010578i,0.00055879+0.00060764i
-2.5585e-05+0.0011291i,-0.0012302+0.00087916i,-0.0020855+0.00053051i,-0.00086714+0.00030767i,0.00037515+0.00035398i,0.0011297+0.00092135i,0.0015958+0.0011544i,0.00059042+0.00055487i,-0.00028327-0.00010017i,-0.00011721+7.6771e-05i,5.4235e-05+0.00087081i,-0.00029533+0.00039608i,-2.5619e-05+8.3388e-05i,0.00065948+0.00039809i,0.00044528-0.00024688i,0.00048519-0.00061534i,0.00099403-0.00059371i,0.0013932-0.00027794i,0.00078935+0.0014412i,-0.0004924+0.0017721i,-0.0012967+0.00074906i,-0.00049166+0.00048877i,0.00058861+0.00078623i
-0.00081096-0.0011465i,-0.0012631-0.00097944i,-0.0016001-8.6831e-05i,-0.00085838+4.2978e-05i,0.00029302+0.00042746i,0.0005307+0.0002523i,0.00016056+0.0001633i,-0.00063578+0.00024327i,-0.0013785-0.00063095i,-0.0010834-0.00064622i,-0.00072942+0.0001613i,-0.00038561+0.0010583i,-0.00037089+0.00083633i,0.0001182-0.00085734i,0.00035677-0.0010316i,0.0004562+0.00012859i,0.0004762+0.00047551i,0.00022405-4.5406e-05i,0.00032797-0.00054544i,0.00034457-0.00034853i,0.00024328+0.00027779i,0.00022023-0.00019257i,0.00044524-0.00052789i
-0.0020402+0.00021026i,-0.0022425+0.00062832i,-0.0019651+0.001265i,-0.0017322+0.0016293i,-0.00073424+0.0011039i,0.00072017+0.00088984i,0.0012728+0.001094i,0.00077139+0.00090758i,8.6321e-05+0.0006481i,1.543e-05+0.00034371i,4.7655e-05+0.00051862i,-0.00029654+0.00050491i,-0.00080428-0.00028584i,-0.0012374+5.9847e-05i,-0.00093159+0.00055647i,0.0001802-0.00012059i,0.0008863-0.00077495i,0.00086799-0.00075449i,0.00041265-0.0002449i,-3.4718e-07-8.097e-05i,-0.00027834+0.00021109i,-0.00057641+0.00048288i,0.00035821+0.00024965i
0.00046863+0.0007135i,6.307e-05+0.00064803i,0.00068193+0.00091732i,0.00043424+0.00020994i,0.00013956-0.00013447i,-0.00021537+0.0011835i,-0.00062724+0.0019615i,-0.00035288+0.0017302i,-0.00026762+0.0010869i,-0.00038496+0.0002112i,0.00025381-0.00031181i,0.00078458-0.00042949i,0.00087696+0.00023117i,0.00067074+0.00030589i,0.00018012-0.00034028i,0.00015846-0.00028252i,0.0003763-0.00013992i,0.0003656-0.0001347i,0.00067069+0.00012414i,0.0011057+0.00055782i,0.00049477+0.001027i,-0.00067253-3.6667e-05i,-0.00083535-0.00070961i
-0.0010697+0.0005522i,-0.0015169+0.00016553i,-0.00098456+0.00045568i,-0.00019363+0.001179i,-0.0005878+0.0008308i,-0.0003746+0.00025814i,-0.00020602+0.00063724i,-0.00069645+0.0004345i,6.1074e-05+4.8917e-05i,0.00098907-0.0001058i,0.00094049-0.00050885i,0.00059497-0.00075455i,-0.00010414-0.00057363i,-0.00039001-0.00049934i,0.00013695+0.00010239i,0.0001354+0.00028716i,-0.00085618-7.9419e-05i,-0.00067675+0.00037193i,-0.0003212+0.00068821i,-0.00017653+0.00072813i,-0.00060654+0.00085469i,-0.001049+0.00086738i,-0.00034108+0.00058758i
0.0013281+0.00055444i,0.00058077+0.00021799i,0.0020296-0.00088143i,0.0022514-0.0011802i,0.001326-0.00038113i,0.00094423+0.0011591i,0.001374+0.0015834i,0.0011841+0.0014348i,4.7349e-05+0.00087708i,-0.00099346-0.00025622i,-0.001168-0.00026619i,-0.0011181+0.00028982i,-0.0011294-0.00013565i,-0.00083528-0.00075009i,-0.00026524-0.00057986i,2.7367e-05-0.00041387i,0.00030402-0.00031408i,0.0002182-3.3272e-05i,-5.1314e-05+0.00042064i,0.00029438+0.00061076i,0.00016925+0.00057267i,-8.9444e-05+0.00031403i,-0.00038266-0.00027558i
-0.00015158+0.00019921i,0.00015446+0.00031304i,-3.4455e-05+0.00050638i,-0.00046612+0.00059808i,0.00040877+0.00026751i,0.0013644-0.00016542i,0.0011281+0.00023598i,0.00042+0.00040108i,2.4932e-05+1.4333e-05i,-0.0002256-0.00014865i,-0.00012675-0.00057346i,-0.00019949+0.00013012i,-0.00031273+0.00039784i,-0.00025308-0.00027876i,8.7501e-05+0.00028364i,0.00082705+0.00071458i,0.00066017+0.00049702i,-8.7156e-05-0.00033704i,0.00015431-0.00096064i,0.0003728-0.00016836i,8.6119e-05+0.00057163i,0.00014864+0.000649i,-0.00050009+0.00047507i
0.00037066-0.0015292i,-0.00090842-0.00016124i,-0.0011124-0.00045024i,-0.0012928-0.00034995i,-0.0016902+0.00055508i,-0.00081944+0.0016512i,0.0006532+0.0020325i,0.00040008+0.0011016i,-0.00084763+0.00051067i,-0.0014669+0.00080109i,-0.0011509+0.00078502i,-0.00019515+0.00031625i,0.00042952+0.00046332i,0.0003178+0.00057813i,-0.00019245+0.0004256i,-0.00039504+9.646e-05i,-9.83e-05+4.0479e-05i,0.00046293+3.1769e-05i,0.00070283-0.0010353i,5.876e-05-0.00091269i,-0.00028766+0.00012667i,0.00065162+6.8828e-05i,0.0011964+9.406e-05i
-0.00041558-0.00035828i,-0.0013716-0.00014226i,-0.0018149+0.00057189i,-0.00040668+0.0011735i,0.00017296+0.0011337i,-0.00045028+0.00077012i,-0.00026905+0.00076215i,8.8988e-05+0.00054163i,-7.8207e-05+0.0006713i,-0.00016016+0.00078075i,1.4284e-05-0.00051624i,0.00020086-0.00075614i,-0.00019174-0.00029306i,9.0023e-05-0.00044166i,-8.0487e-05+0.00033405i,-0.00057131+0.00031594i,-0.00021595-0.00051374i,-0.00015085-0.00014791i,-0.00039328+7.7205e-05i,-0.00020179+3.9537e-07i,-0.00010411+0.00014014i,-0.00059192+0.00029316i,-0.00055012-0.00029875i
-0.001688-0.00073053i,-0.0017177+0.00029963i,-0.0017133+0.0011427i,-0.00084138+0.0012758i,-7.5449e-05+0.00086847i,0.00086946+0.00065744i,0.0015355+0.00016375i,0.0011227-9.16e-05i,0.00089221-8.9487e-05i,0.00010354-4.0475e-05i,-0.00061731-0.00020947i,-0.00052586-0.00012914i,-4.3462e-05-0.00031376i,-0.00013421-0.00092199i,-0.00033888-0.00070272i,-0.00048115-0.0006483i,-9.2058e-05-0.00059845i,0.00035096-0.00011525i,0.00010881+0.00050687i,0.0001512+0.00069309i,0.00033163+0.00052052i,0.00012298+0.00010299i,-0.00023705-0.00054235i
-0.00040362-0.00035786i,-0.00070553+5.3922e-06i,0.0004902+0.00024647i,0.0016196+0.00078145i,0.0014006+0.001022i,0.00073923+0.0015068i,0.00064585+0.0014001i,0.00037748+0.0011761i,0.00066433+0.00082729i,0.00039396+0.00053081i,-0.00038827+0.00026433i,-0.00033339+0.00016945i,9.8125e-06+0.00018253i,-2.6796e-05+0.00040923i,-0.0001556+0.00098464i,-0.00028255+0.0012069i,0.00057459+0.00030642i,0.00066672-3.4892e-05i,-0.00016868+0.00082543i,-0.00063899+0.00069917i,-0.00038716-0.00027385i,0.00020809+0.00010135i,0.0006255+0.00089786i
-0.0014296+5.352e-05i,-0.0023548+1.3952e-05i,-0.0028581+0.00057092i,-0.0020998+0.0010076i,-0.00088991+0.00051258i,-0.00010687+0.00046798i,0.00041019+0.00094317i,0.00093481+0.0007615i,0.00070479+0.0011369i,0.00024195+0.0011747i,6.0158e-05+0.00086919i,-0.00029904+0.00098067i,-0.00031291+0.00040611i,-0.00040129-0.00041367i,0.00037195-0.00015517i,0.0005808+0.00022855i,-0.00011368-5.1642e-05i,0.00043063+0.00044988i,0.00024498+0.0013271i,-0.00019955+0.0012012i,-0.00052443+0.0012049i,-0.00076508+0.00040907i,-0.00047954+0.00016335i
0.00015472+0.0012835i,0.00018778+0.00034466i,0.00094126-0.00063725i,0.00063414-0.00079643i,0.00018674-0.00092335i,0.00050974-0.00048345i,0.00045858+6.7223e-06i,0.00062446+3.1476e-05i,0.00021139-0.00016711i,-0.00072503-0.00058185i,-0.0009756-0.00099258i,-0.00082632-0.00047377i,-0.00051989+9.8933e-05i,-3.2573e-05+0.00045762i,0.00054065+0.00073723i,0.001294+0.00067156i,0.00086445-8.761e-05i,0.00044535-0.00059272i,0.00038271+5.5766e-05i,-5.8668e-05+0.00071495i,-0.00066894+0.00018389i,-0.00061998-0.00011806i,0.00012621-0.00055347i
-0.0010257-0.00012983i,-0.0025217+0.00042761i,-0.002397-0.00053093i,-0.001151-0.00074218i,-0.00074614-0.00033603i,-3.7313e-06-9.4796e-05i,0.00099969-2.4342e-05i,0.00097848-4.6344e-05i,0.0014399+0.00029084i,0.0011329+0.00062973i,-0.000363+0.00010204i,-0.00076783+7.767e-05i,-0.00072053+0.00051573i,-0.0010552+0.00066133i,-0.00087402-1.1531e-05i,-0.00027509-0.00039156i,-0.00017887-0.00018964i,0.00010104+0.00075415i,0.00066353+0.00071366i,0.0003851+0.00037494i,-0.00022741+0.00070174i,8.2211e-05+0.0002944i,0.00031001-0.00013022i
0.00073786+0.00010807i,0.0011124-0.00015635i,0.0022954+0.00087587i,0.0018475+0.0012645i,0.00036647+0.0012722i,0.00027266+0.00097738i,0.00080048+0.0010946i,0.001201+0.00050135i,0.0014212-0.00022489i,0.00073113-3.9595e-07i,0.00011781-0.000284i,-0.00090389-0.00045264i,-0.0009718-0.00031431i,-0.00054343+1.2191e-06i,-0.00011162+0.00023096i,0.00017569-0.00041544i,-5.8441e-06-0.0010681i,-0.00034343-0.00088099i,-0.00020584-0.00027262i,-3.0492e-05-0.0001739i,2.4738e-05-0.00042225i,2.6793e-05-6.0704e-05i,5.2628e-05+0.00022968i
0.0010377+0.00070099i,-0.0001966+0.0001277i,-0.00098917-0.0011702i,-0.0010221-0.001389i,-0.0010289-0.0011493i,-0.0010252-0.00019893i,-0.00076542+0.00060534i,-0.00018573+0.00075457i,-0.00020381+0.00083564i,-0.00044543+0.00043903i,-8.4042e-05+0.00055089i,-0.00046876+0.0011838i,-0.00069976+0.0014347i,0.00053869+0.0013816i,0.00097128+0.00038679i,0.0008823-0.00028837i,0.00077782-0.00047879i,0.00031401-0.00032918i,-4.5555e-05-0.00064566i,-0.00025444-0.00080079i,-8.5971e-05-0.00027113i,-0.00029497-0.00061896i,-0.0011988-0.00073977i
-0.00046727-0.00046628i,-0.00048506+7.9726e-05i,-0.00026131+2.0761e-05i,-0.00037686+0.00020855i,-6.6201e-05+0.00069602i,0.00059487+0.00038326i,0.0010297+0.00031355i,0.00084403+0.00044211i,7.832e-05-6.2532e-05i,-0.00065765-0.00039198i,-0.00070271-0.00048826i,-0.00051006-0.00098664i,-0.00020385-0.00067741i,-0.00028914-6.105e-05i,-0.00044472+0.00010499i,-8.8449e-05+0.00063498i,-0.00028844+0.00063969i,-0.00030011+0.00021359i,0.00042095+0.00011789i,0.0011526+0.00051187i,0.0010939+0.00052022i,0.00082205+0.0003127i,0.0011654+0.00046446i
-0.00032101+0.0019968i,0.00042356+0.0013661i,0.002238+0.0012933i,0.001649+0.00087389i,0.00012061+0.00021291i,0.00014663+0.0003112i,0.0001525+0.0010321i,-9.9513e-05+0.0011837i,-7.0407e-05+0.00059366i,2.7742e-05-8.4354e-05i,3.3453e-05-0.00025702i,-0.00039094-4.5826e-05i,-0.0011035+0.00018501i,-0.00087406+0.00065171i,-0.00094322+0.00078795i,-0.00055989+0.00056837i,0.00075477+0.00035353i,0.00091872+0.00045679i,0.00077046+0.00025245i,6.5618e-05+0.00016563i,-0.00056805+0.00048875i,0.00013955-3.8638e-05i,0.00039587-0.0007079i
0.000324-0.0023149i,-0.0012466-0.0014302i,-0.0023184-0.0015676i,-0.0026449-0.0013974i,-0.0025378-0.001382i,-0.0013646-0.00089736i,0.00066773+0.00054401i,0.00092374+0.00073951i,0.00026821-0.00021099i,-0.00031019-0.00023972i,-0.00072081-0.00014365i,-0.00069551+0.00035849i,-0.00012638+7.277e-05i,0.00060777-0.00053269i,0.00049669-0.00027521i,0.00018209+0.00013206i,0.00026217+7.9092e-06i,0.00030223-0.00030067i,0.00071397-0.00029997i,0.00078891-0.00014305i,0.00049521+0.00012418i,0.00074625+0.00026719i,0.00078254+0.00054426i
-0.00062262+0.0004967i,-0.00075308+0.000398i,-0.00010193+0.0009461i,0.0005488+0.0014147i,0.00025254+0.0011529i,0.00010546+0.0012565i,0.00096262+0.0014173i,0.0015673+0.0011656i,0.00074772+0.00049479i,-0.00014459+0.00021936i,-0.00077847-9.0951e-05i,-0.00073055-0.00011965i,0.00027464+0.00029635i,0.001076+4.2727e-05i,0.00065108-0.00041372i,0.00028006-0.00055316i,0.00012681+6.6322e-05i,-0.00035939-0.00017583i,-0.00066187-0.00075239i,-0.00073443-4.9198e-05i,-0.00041633+0.0010825i,-0.00037954+0.0012436i,-0.0004645+0.00062992i
-0.00039347-0.0004526i,-0.00095891-0.0004529i,-0.0017337+0.00042108i,-0.00090869+0.001096i,-0.00010963+0.00096955i,2.6975e-05+0.00040129i,0.00075697-0.00038282i,0.00084446+0.00019488i,0.00053632+0.0010508i,5.8632e-05+0.0003605i,-0.0011699-0.00061316i,-0.0018933-0.0012371i,-0.001372-0.00076453i,-0.00077196+9.1921e-05i,-0.00054706+0.00050856i,-0.00030401+0.0010086i,-0.00021534+0.00099086i,-0.00070367+0.00015026i,-0.00042117+0.00024066i,0.00021983+0.00044829i,-0.00071058+0.00024309i,-0.00099258+0.00035398i,-0.00055012+0.00011056i
-0.00017987-0.0010222i,-0.001138+0.00037176i,-0.0013663+0.00081814i,-0.00089762-0.00035217i,-0.00018359-0.00042651i,0.00071153+0.00070728i,0.0017395+0.0011984i,0.0015343+0.00099109i,0.00069383+0.0010583i,1.0046e-05+0.0014299i,-0.0010818+0.0012621i,-0.0021213+0.00055766i,-0.0016157-0.0005525i,-0.00039388-0.00073473i,6.0824e-05-0.00036617i,-0.00022579-0.00066724i,-0.00040132-0.00065175i,-4.5154e-05-0.00078273i,3.2159e-05-0.00092757i,0.00014316-0.00048819i,-0.00012745+0.00011905i,-0.00043654+0.00043387i,-0.00029125+4.494e-06i
-0.00087171-0.0011011i,-0.001994-0.00082966i,-0.0027135+0.00031877i,-0.0016297+0.00079128i,-0.0005261+0.00090649i,-0.00016578+0.0013552i,0.00032804+0.0016119i,0.00012532+0.0011338i,-0.00061931+0.0012004i,-0.0012029+0.0011011i,-0.00089603-0.00037602i,-0.00054687-0.00045975i,-0.0002437+0.00043915i,-5.4197e-05+0.00052673i,-0.00011364-0.00038989i,-0.00012121-0.00087174i,-9.8025e-05-0.00024496i,0.00015887+0.00017366i,-0.00064693+0.00028031i,-0.0011035+0.00068928i,-0.00019846+0.00063396i,0.00021656+0.00012793i,5.7869e-05+0.00016752i
-0.001108+0.00081442i,-0.00063798+0.00024902i,0.00093212-0.00040701i,0.0014381-0.0010925i,0.00056351-0.0011956i,-5.9509e-05+0.00034431i,0.00038831+0.0013436i,0.00045297+0.00091712i,0.0003054+0.00069566i,0.00062975+0.00030154i,0.00039579+0.00022563i,-0.00038533+0.00079822i,-0.00025457+0.00084428i,-0.0002546+3.2005e-05i,0.00060402+6.128e-05i,0.00089043+0.00064217i,0.00026316+0.00020204i,0.00064429-0.00010505i,0.00047299-0.0001074i,-0.000586-0.00035199i,-0.0011188+0.0002611i,-0.00066542+0.0004776i,-0.00025174+1.6246e-05i
-0.00063106-0.0015692i,-0.0011002-0.0018584i,-0.0015441-0.0010143i,-0.0015369-7.6541e-05i,-0.00072991+0.00011295i,-0.00018543+0.001254i,0.00016259+0.0019511i,0.00044556+0.00099555i,0.00031206+0.00040346i,9.1046e-05+0.00032829i,-0.00040509+0.00053411i,-0.0005184+0.00019224i,-0.00025951+2.2993e-05i,2.2754e-05+0.00074516i,0.00064028+0.00023829i,0.00075472-0.00083229i,0.00060636-0.00053608i,0.00033151-2.9808e-05i,0.00045229-0.00022548i,0.00073883-0.00017938i,-0.00025416-0.00059097i,-0.00033454-0.00086726i,0.00061827+0.00013405i
0.00023497+0.00018588i,4.5257e-05+0.00064132i,0.00035804+0.0011795i,0.0007748+0.0017896i,0.00050949+0.0018651i,0.00077574+0.0012951i,0.0006502+0.001363i,0.00057509+0.0011686i,0.00055435+0.00070873i,0.00019917+0.00046101i,6.9502e-05+0.00038428i,-0.00017317+0.00025529i,-0.00036441-3.0645e-05i,-0.00063249-0.0003912i,-0.00087987-0.00038499i,-0.00078793-0.00052451i,-0.00092902-0.0007191i,-0.00065032-0.00036847i,0.00024833-9.1386e-05i,0.00038236+0.00024246i,0.00024895+0.00039448i,0.0002458+0.00094817i,-0.00010646+0.00098564i
-0.0016328+0.00022516i,-0.0016883+0.0010899i,-0.00057889+0.0025637i,-1.6313e-05+0.003499i,0.00038293+0.0028033i,0.0011906+0.0018837i,0.0015298+0.00083032i,0.0017717+0.00030474i,0.0012888+0.00067988i,0.00052666+0.00087611i,-9.5207e-05+0.00056221i,-0.00084531+0.00023744i,-0.00094424-0.00019442i,-0.00084133-0.00041371i,-0.00071889+7.7946e-06i,-0.0001101+0.0003072i,0.00047975-8.4451e-05i,9.7871e-05-0.00033422i,0.00026427-0.00024028i,0.0009739-0.00014638i,0.00038417-0.00013005i,-0.00029258-0.00014815i,-0.00045923-0.00010331i
0.0006201+0.00066878i,-0.00031391+0.0012493i,0.00046253+0.0012398i,0.0013542+0.00070416i,0.0011957+0.00044809i,0.00097198+0.00065604i,0.0013031+0.00093952i,0.00093545+0.00098841i,0.00036217+0.0012201i,6.9979e-05+0.00054414i,-2.5577e-05+0.00018744i,-0.00056095+0.00021832i,2.3288e-06-0.00039572i,0.00046203-0.00029425i,0.00021734-0.00036118i,0.0004349-9.8274e-05i,0.0004158-0.00017347i,0.00080074-0.00081292i,0.0012073-0.0013029i,0.00051734-0.00055979i,2.1189e-05+0.00028219i,1.0289e-05+0.00063435i,-0.00038958+0.00029692i
-0.00045206+0.00015346i,-0.00014326+0.00053772i,0.00081791+0.00092592i,0.0011533+0.0013153i,0.00050499+0.00054354i,-4.7772e-05+0.00025069i,-0.00024657+0.00065481i,0.00038877-8.4861e-05i,0.000484+5.6938e-05i,0.00017903+0.00045649i,0.0001476+0.00048745i,-0.00022455+0.00021362i,-0.00077571+0.00052325i,-0.00066961+0.0013711i,3.5261e-05+0.0007099i,7.9501e-05-0.0003681i,0.00024369-9.6881e-05i,0.0006027+5.005e-05i,-0.00010789-8.1319e-06i,-0.00071971+0.00031179i,-5.247e-05+0.00032493i,0.00041334+0.00030954i,0.00039309+0.00076715i
-0.0015028+0.00013283i,-0.0021907-0.00019514i,-0.0020932-0.00066403i,-0.0029349-0.001795i,-0.0032074-0.0011528i,-0.0015614+0.00078538i,0.00038106+0.0016089i,0.00089685+0.0013042i,0.0003219+0.00070967i,0.00010372+0.00039185i,0.00021392+0.00020827i,0.00012642+0.00060826i,0.00023185+0.00079445i,0.00041638+0.00037031i,0.00027312-6.5681e-05i,0.00022385+0.00015909i,0.00012187-7.6076e-05i,0.00029146-0.00039723i,0.00028115+0.00029385i,-0.00044682+0.00084477i,-0.00045978+0.00040579i,-9.2287e-05+0.00062544i,0.00010105+0.0013132i
0.00075798-0.0001215i,0.0010506-0.00018481i,0.0020558+1.025e-05i,0.0024804+0.00064315i,0.0014932+0.0014123i,0.00097625+0.0023039i,0.00057442+0.0031312i,-0.00018688+0.0016927i,-6.7429e-05-0.00035038i,-0.00026427-0.0010915i,-0.00060759-0.00076349i,-0.00032883+0.00013335i,-6.4252e-05+0.00026489i,0.0003579+0.0008169i,0.00040496+0.0010123i,0.00031799-8.5147e-05i,-0.00010819+0.00033601i,0.00015656+0.00065821i,0.00029581-3.8444e-05i,-0.00050723+0.00012726i,-0.00015608+0.00067209i,0.00078518+0.00093271i,1.7366e-05+0.00070708i
-0.00054649-0.00016918i,-0.0015569+2.8761e-05i,-0.0017544-0.00083526i,-0.0017402-0.001412i,-0.0016541-0.00098001i,-0.00029875-0.00015012i,0.00070378+0.00029336i,0.00054179+0.00074033i,0.00016309+0.00061156i,-0.00010705+0.00013175i,-0.00020719-0.00015639i,9.1954e-05+6.6913e-05i,7.2825e-05-0.00051271i,-0.00011201-0.00063432i,-0.0005709+0.0001733i,-0.00054308+0.00045104i,-3.044e-05+0.00030371i,0.00018632-4.4735e-05i,-0.00012862+0.00011166i,-0.00020136-0.00010421i,0.00032136-0.00039754i,-0.00010382-0.00033121i,-0.00079222-0.00026625i
