-0.0040018+0.0010774i,-0.0026404+0.001396i,-0.0019436+0.0025561i,-0.0002607+0.003264i,0.00082683+0.0037689i,0.001993+0.0038359i,0.0021208+0.002567i,0.0012783+0.0011315i,0.00060698+0.0011057i,0.00060898+0.0015381i,0.0012071+0.0011364i,0.0018845-4.5635e-05i,0.001454-0.0015048i,-0.00012501-0.0025954i,-0.0014264-0.0023397i,-0.0017104-0.0017147i,-0.00070696-0.00080405i,0.00057352+0.0003904i,0.00084211+0.00094917i,0.00054546+0.00049942i,-0.00020648-0.00024982i,-0.00065016+0.00014089i,-0.00093466+0.00073943i
-0.00016068+0.00049537i,-0.00095946+0.00092689i,-0.00031742+0.00072644i,0.00087596+0.00019363i,0.0014096+0.00063702i,0.0012877+0.0012113i,0.0011397+0.0015881i,0.00033918+0.0017906i,-0.0010238+0.0019676i,-0.0011688+0.0015863i,-0.00075062+0.00074446i,-0.00083573+0.00058001i,-0.0013262+0.00055658i,-0.0013137+0.0005786i,-0.00057746+0.00059662i,-3.9236e-05-5.0957e-05i,-3.7207e-05-0.00079053i,-7.5942e-05-0.0013296i,0.00024414-0.00089698i,0.00022753-0.00017466i,-0.0002885-0.00039027i,-0.00063658-0.00094262i,-0.00082271-0.00058261i
-0.000596+0.0013733i,-0.00095011+0.00063535i,-0.00063895+0.00059115i,0.00014216+0.0004961i,0.00040347+4.285e-05i,0.0015436+0.00020984i,0.0013192+0.000815i,-3.654e-05+0.00071556i,-0.0001848+0.00018209i,-0.00034719+0.00014453i,-0.00058079+0.00012577i,4.3401e-05+0.00050717i,-0.00029481+0.0010007i,-0.0013704+7.5966e-06i,-0.0013936-0.00040206i,-0.00082478-0.00039883i,7.5874e-05-0.0004206i,0.00075992+0.0002467i,0.00049286+0.00030901i,-0.00047056+0.00065879i,-0.00058933+0.00092952i,-3.2314e-05+0.00092241i,-0.00053882+0.00087843i
0.0002047-0.0012156i,-0.0010293-0.00030324i,-0.0016898-0.00066191i,-0.0017392-0.001105i,-0.0014206+0.00038463i,-0.00075188+0.002318i,-0.00045417+0.0023087i,-0.0003176+0.0014103i,0.00047787+4.6568e-05i,0.0008462-0.00038708i,0.00040734+4.6947e-05i,-0.00039276+0.00085643i,-0.00053303+0.00064268i,-0.00036858-0.00030884i,-0.00073609-0.00033297i,-0.00036322+9.1052e-05i,6.0923e-05+0.00072983i,0.00016932+0.00071368i,0.00022575+0.00058334i,0.00045538+0.0010411i,0.00025961+0.0009058i,-8.6604e-05+0.00024318i,-0.00052654+1.4026e-05i
-2.0204e-06+0.0014937i,0.00033905+0.0012922i,0.0021458+0.00059012i,0.0021785+0.00090289i,0.0015778+0.0015785i,0.0016174+0.0007369i,0.0013591-0.00028035i,0.00078564-0.00092988i,0.0009399-0.00022506i,0.00064906+0.00050357i,0.000495+0.00050919i,0.00087258+0.00064852i,0.00045829+0.00075854i,-0.0001583+0.00040451i,-0.00042945+0.00029792i,-0.0005463+7.2518e-05i,-0.00058002-0.00015766i,-0.00025427+0.00023592i,3.9727e-05-9.5338e-05i,-0.00027026-9.9641e-05i,-0.00035169+0.00014522i,0.00013804+0.00026542i,5.8562e-05+0.00065204i
-0.00067162-0.00095363i,-0.0017817-0.00034614i,-0.0019415-2.1171e-05i,-0.0017055-0.00031026i,-0.0013075+0.00043328i,-0.00028604+0.0016799i,0.00094643+0.00083925i,0.00082299-0.00014569i,0.00021712-0.00041485i,-8.4364e-05-0.00055194i,-0.00019398-0.00029874i,-0.00055575-0.00024737i,-0.0012843+0.00015479i,-0.0013426+0.00045622i,-0.00090788+0.00047162i,9.4672e-05+0.00017743i,0.0005264-0.00048926i,0.00044729-0.0003752i,7.8955e-05-0.00061526i,0.00015547-0.00082602i,-6.9501e-05+0.00022017i,-0.00015445+0.00058222i,0.00070944+0.00031051i
0.00032708-0.00017449i,-0.00011627+0.00093251i,0.00023146+0.0010299i,0.00037437+0.00052429i,0.00057832+0.00031603i,0.0011401+0.00091304i,0.001609+0.0005762i,0.0017765-0.00021931i,0.001086-0.00066228i,-0.00018474-0.00073401i,-0.00053502-0.00063145i,-0.00010739-0.00046607i,-5.4051e-05+0.00016433i,-0.00034943-0.00041269i,0.00044671-0.0012352i,0.00095119-0.00039963i,0.00024854+0.00052704i,-0.00056663+0.00072982i,-0.0010827-9.9085e-05i,-0.00073782-0.00041596i,-8.733e-05-0.00022941i,-0.00061159-0.00072736i,-0.00072977-0.00077721i
5.0935e-05-0.00088927i,-0.0014193-0.0013303i,-0.00094978-0.00036992i,-0.0003123+0.00019905i,-0.00079425+0.00054252i,-0.00034676+0.001312i,-0.00012956+0.0010345i,-0.00045739+0.00038822i,-0.0005166+0.0002498i,-0.00073956+0.00092122i,-0.00026852+0.00099233i,0.00062274+0.00052526i,0.00018828-0.00010631i,-0.00069538-0.00083396i,-1.6548e-05-0.00073298i,0.001237-0.0002889i,0.0009119-9.8741e-05i,-7.057e-05+0.00013587i,-0.00073081-3.4047e-05i,-0.00033128-0.00039898i,0.00050729-0.00024079i,0.00027632-0.00039425i,-0.000648-0.00096438i
-0.00072307+0.00053831i,0.00053895+0.00079283i,0.0017848+0.0012829i,0.0015262+0.0017459i,0.0013323+0.0010763i,0.001625+0.00038333i,0.0014149+0.00039124i,0.0012568+0.000195i,0.00079214+0.00029792i,0.00051679+0.00013287i,-8.3297e-05-7.4827e-05i,-0.00094861+0.00028363i,-0.00086005+0.00048964i,-0.00075046-0.0001708i,-0.0010845-0.00093471i,-0.00065705-0.00082222i,0.00053737+0.00017892i,0.00068549+0.00017955i,0.0003443-0.00041883i,-0.00010508-0.00033637i,-0.0002604-1.9782e-05i,5.276e-05+6.3892e-05i,-0.00074564+3.7315e-05i
-0.00078619+0.00075735i,-0.00064663+0.00056282i,-0.00010135+9.5642e-05i,-0.00061254-0.001025i,-0.00027059-0.00015735i,0.0012684+0.0015746i,0.002487+0.0015029i,0.0022372+0.00039216i,0.00074101-1.2603e-05i,-0.00010211+0.00062124i,-0.00010515+0.0012645i,-0.0010099+0.0015461i,-0.0016262+0.0015477i,-0.00087626+0.0010427i,0.00050436+0.0006424i,0.0013047+0.00090156i,0.00092024+0.0005962i,0.00030911-8.6338e-05i,0.00078762+8.5006e-05i,0.0010114+0.00047647i,0.00093228+0.00043605i,0.00074486+0.00040144i,-8.6485e-05+1.3129e-05i
-0.00064102-0.00040322i,-0.00092444+0.00033934i,-0.00011676+0.00037879i,7.9107e-05+4.3442e-05i,-0.00077687+0.00054125i,-0.0012405+0.0014515i,-0.00035166+0.0012217i,0.00030238+0.0013164i,-0.00023765+0.0019149i,-5.3758e-05+0.0016084i,-0.00012541+0.00016931i,-0.00089435-0.00069728i,-0.00036823-0.00073283i,-0.00024355-0.00035726i,-0.00072986-0.00055523i,-0.00080821-0.0010108i,-0.00052263-0.00083324i,0.00029054-0.0010237i,0.00094909-0.00060994i,0.00089381-0.00034011i,0.00059583-0.0002744i,-0.00051334+0.00026336i,-0.0011013+0.00032476i
