0.00099098+0.00057809i,0.0021687+0.0009618i,0.0016114+0.0018085i,0.0011518+0.0012242i,0.0012063+0.00040035i,0.0013266+0.00064963i,0.0013751+0.00068646i,0.0014202+0.00064155i,0.0021025+0.00020798i,0.0023445-0.00034204i,0.0015311-7.8396e-07i,0.00089436+3.0583e-05i,0.00057676-0.00026592i,0.00023296-0.00029164i,-0.00020102+0.00026215i,-0.00064064+0.00031766i,-0.00023092+0.00011252i,0.00024446+0.00027846i,-0.00016706+0.00025871i,-0.00034632+0.00019949i,0.0002636+0.00045606i,0.00012662+0.00066647i,-0.00042965+0.00062259i
-0.0015974-0.00032627i,-0.00047035+0.0010809i,0.00031817+0.0022334i,0.0011071+0.0019998i,0.0016406+0.00036622i,0.0011043-0.0011859i,0.00075611-0.0010048i,0.00074132+6.8763e-05i,0.00092911+0.00051395i,0.0011966+6.4514e-05i,0.0011814+0.00040046i,0.00072919+0.00095579i,0.00032872+0.00082356i,4.9798e-05+0.00068485i,7.5056e-05-0.00041205i,0.0005957-0.0011028i,0.00011648-0.00082995i,-7.1253e-05-0.00038172i,0.00032514+0.0001603i,0.0005087+0.00032046i,6.6006e-05-0.0002079i,-0.00020807-0.001215i,0.00035466-0.00035883i
-0.00042571+3.9309e-05i,0.00038513+0.0017153i,0.00053309+0.0032532i,0.00098874+0.0026631i,0.0020022+0.00099474i,0.001732-9.9626e-05i,0.00040674-0.00026386i,4.3266e-05-4.1376e-05i,0.001214-8.167e-05i,0.0017047-0.00043892i,0.00094303-0.00030287i,-0.00025816+0.00017909i,-0.00076387+0.0005205i,-0.00034908-0.00061428i,0.00059968-0.0015984i,0.0010468-0.00073971i,0.00055536-3.8634e-05i,-4.4846e-05+0.00013442i,-0.00017609+0.00018383i,0.00022821-0.00029522i,0.00025321-0.00051658i,4.1008e-05-0.00042254i,0.00012667-0.00048088i
0.001624+0.0019286i,0.0018699+0.0027546i,0.0021696+0.0019707i,0.0016506+0.00091959i,0.00088089+0.00025998i,0.00072269+0.0001518i,0.00094331-0.00059079i,0.00054179-0.00079964i,-0.00013141-0.00060959i,-0.00035299-0.0014868i,-0.00020697-0.0010103i,0.00028781+0.00032474i,0.00044436+8.0729e-05i,0.00018016+0.00062521i,0.00016218+0.0012543i,8.8966e-05+0.0007177i,0.00023315-8.2769e-05i,0.00016919-0.00037058i,-0.00010771-0.00010717i,-9.6232e-05+7.0676e-06i,0.00011913-9.9374e-05i,1.7789e-06+1.5529e-05i,-0.00037209-6.8188e-06i
0.00061746+0.0014284i,0.00069508+0.0025933i,0.0019288+0.0035751i,0.0025887+0.0029133i,0.0020057+0.001288i,-0.00010076+0.00021413i,-0.00082363-0.00041318i,0.0007789+0.0005895i,0.0012869+0.00076904i,0.0009312-0.00068136i,0.00054654-0.00043271i,2.4225e-05+1.1541e-05i,0.00013321-0.0002159i,-0.00053+0.00024473i,-0.00078337+0.00024609i,-0.00039875-0.00045882i,0.00054377-0.00070641i,0.0012952-0.00082215i,0.00086506-0.00035826i,-0.00038908+0.0002667i,-0.00067342+0.00061209i,-2.3511e-05+0.00010533i,0.00030037-0.00057159i
4.7793e-05-0.0019173i,0.00053232-0.00053896i,0.0011602+0.0010218i,0.0018636+0.0014084i,0.0012414+0.00051513i,0.00074104-0.00076612i,0.00073928-0.00022576i,0.00029342+0.00030051i,0.00036251-0.00084784i,0.0005419-0.0012541i,-5.9442e-05-0.00035112i,-0.00056784+3.4589e-05i,0.00063828+0.00012414i,0.0008023-0.00045813i,-0.00014879-0.00096483i,-0.00011965-0.00040938i,0.00037015+0.00038521i,0.00072678-4.2223e-05i,0.00097686-0.0008923i,0.00047674-0.0010337i,-0.00040721-0.00097408i,-0.00047913-0.00011272i,-1.4998e-05+0.00042119i
0.0016416+0.0016752i,0.0019917+0.002883i,0.00143+0.0021281i,0.0012737+0.0010944i,0.0018511+0.00098771i,0.0021864+0.00041891i,0.0011792-5.0231e-05i,-0.00042575+9.8085e-06i,-0.00054712-0.00039303i,0.00094246-0.00026857i,0.001026+0.00038174i,0.00053669+0.00069244i,0.0018686-8.4789e-06i,0.0022121+5.437e-05i,0.00050984+0.00056655i,-0.00024545+0.00020333i,0.00039357+0.00041613i,0.00033741+0.0002111i,-0.00036519-0.00015946i,-0.00066034+0.00024036i,-0.00084367+0.00072874i,-0.0011187+0.00099137i,-0.00088389+0.00047707i
-0.00062289-0.0019293i,0.00067451-0.0004807i,0.00056761+0.002123i,0.00021531+0.002252i,0.00037497+0.00096793i,0.00098097+0.00025786i,0.00065643-0.00052318i,-0.000376-0.00072858i,-0.00056781-0.0009229i,0.00024531-0.00086489i,-4.7022e-05+0.00044801i,-0.00037342+0.0010421i,-0.00018225+0.00039223i,7.8752e-05+0.0005723i,0.00033893+0.0007887i,0.00031817-0.00056236i,0.0010139-0.00071799i,0.0016479-0.00033309i,0.0012605-0.00026444i,0.0010058+0.00033583i,0.0005023+0.00072532i,0.00023388+0.0010275i,0.00014032+0.001093i
0.00023771+0.0013375i,0.0016423+0.0022595i,0.0025454+0.0027737i,0.0028361+0.0023449i,0.0038211+0.0011789i,0.0036591-0.00034051i,0.001883-0.00069993i,9.0729e-05-0.000493i,0.00016044-0.00086382i,0.00086526-0.0010944i,0.00048502-9.281e-05i,-4.7409e-05+0.00064619i,-3.4096e-05+0.00044631i,-0.00047881+7.8668e-05i,-0.00080506-0.00023606i,-0.00045451-0.00065093i,9.4615e-05-0.00042997i,0.00033775-0.00038367i,-0.00056828-0.00074158i,-0.00074806-0.00061225i,-0.00095909+0.00045943i,-0.0015027+0.00085295i,-0.00097569+0.00080017i
-0.0007752+0.0016948i,-0.0004108+0.0020292i,0.00098909+0.0019169i,0.0018848+0.0011585i,0.0023064-0.00035924i,0.0019043-0.0016023i,0.00095398-0.0018979i,0.00044887-0.0011341i,0.00068864+0.00010024i,0.0010684-9.1854e-05i,0.0013485-0.00015902i,0.00089088+0.00049421i,0.00026152+0.00014798i,-0.00056623-0.00012153i,-0.0012254-0.00071288i,-0.0010371-0.0013039i,-0.00065735-0.0011824i,-0.00014741-0.00065224i,-6.6354e-05-0.00054843i,-0.00013705-0.00054051i,-0.00016483-0.00017687i,-2.8787e-05-0.00046122i,0.00026181-0.0008001i
0.0001303+0.0016307i,0.00082403+0.0025684i,0.0012892+0.0025735i,0.001333+0.0018466i,0.0014543+0.00085028i,0.0018666+0.00040167i,0.0011624+6.2163e-05i,-3.2901e-05-0.00055316i,3.9205e-05-0.0011126i,-7.6335e-05-0.0008219i,-0.001084-0.00057635i,-0.001648-0.00023295i,-0.0011038-0.00021738i,-0.00033243-0.00050778i,-0.00036647-0.00051922i,-0.00060925-0.00072701i,-0.00042282-0.00023428i,-0.0007143+0.00051975i,-0.00085444-0.00024953i,-0.00019402-0.00096695i,0.00029882-0.00010322i,0.00016429+0.00047497i,-0.00037308-0.00052527i
