-0.0018389-0.00039401i,-0.0028262-0.0014724i,-0.0049929-0.0010678i,-0.0033627-0.0011876i,-0.0016508+0.00055247i,-0.0016993+0.0019339i,-0.0007454+0.0011196i,0.00048759+0.00014208i,0.0011923-0.00051545i,0.00147-0.0011065i,0.00054227-0.0014422i,-0.00012095-0.0013838i,0.00028921-0.0013494i,8.5289e-05-0.0017292i,-6.1023e-05-0.0010596i,-8.9452e-05-0.0002064i,3.835e-05-9.8135e-05i,0.00080726-5.1847e-05i,0.00078255+0.00059377i,0.00033095+0.0013544i,8.0423e-05+0.00067798i,-6.7948e-06-0.00010445i,-0.00064265+0.000241i
0.00035761-0.00030421i,-0.00062896-0.0018141i,-0.00097717-0.0014226i,0.00031984-0.00039863i,0.00070717+0.00027784i,-0.00010601+0.00038553i,-0.0011062+0.00048647i,-0.0012164+0.00063113i,-0.00058396+0.00055699i,-0.0009755+0.00049743i,-0.00088845+0.00026735i,-0.00042283-0.00021367i,0.00013185-0.00015249i,0.00017693+0.00041392i,-0.0004663-0.00040167i,-0.00032266-0.00075501i,0.00012989+0.00015408i,-0.00014704+0.00019037i,-0.00065317-0.000729i,-0.00080448-0.0011418i,-0.0005476-0.00047923i,-0.00024479-0.00051031i,-0.00054142-0.0008916i
-0.0011716+0.00060073i,0.00077013-6.7569e-06i,0.0023992+0.0011317i,0.0031923+0.0016461i,0.0035353+0.00096964i,0.0025442+0.0003752i,6.1682e-05+0.00015714i,-0.0015679+1.0594e-05i,-0.00080446+0.00016029i,-0.00013315+0.00057946i,-0.00012782+0.00099192i,-5.0747e-05+0.00045717i,0.00048968-0.00065884i,0.0014145-0.00093626i,0.0017926-0.00083359i,0.0010693-0.0003823i,9.2934e-05+0.00054975i,0.00032888+0.00026069i,0.00017364+0.00011449i,0.00015508+0.00056553i,0.00078224+0.00067285i,0.00069384+0.00044841i,0.00025449-0.000142i
0.00092584+0.00089595i,3.3259e-05+0.00088864i,-0.0001627+0.001313i,-0.00029626+0.00099918i,-0.00028687-0.00052054i,-0.00085543-0.00074521i,-0.00043863+0.00052523i,0.00026868+0.00095097i,0.00039406+0.00034353i,0.00051123+0.00019682i,0.00072816-0.00050001i,0.00085159-0.0011163i,0.00073747-0.00098058i,6.1286e-05-0.00055929i,-0.00059444-8.3933e-05i,-0.00092062-1.8496e-05i,-0.00036058-0.00036736i,0.00054465-0.00028026i,0.00056066+7.8471e-05i,-0.0004378+0.00039093i,-0.0004863+0.00029253i,0.00012962-0.00011216i,6.2757e-05-0.00067371i
0.0021201-0.0031281i,0.0010072-0.0035391i,-0.00075184-0.0043813i,-0.0020777-0.0031322i,-0.0018551-0.00056711i,-0.00053607+0.00057143i,0.0015012+0.00033807i,0.001478-0.00051544i,0.00036295-0.0010536i,-7.8131e-05-0.00091554i,-6.6843e-05-8.5903e-05i,-0.0001491+0.00087174i,-0.00026321+0.0010779i,-0.00065688+0.0014889i,-0.00025173+0.0013838i,0.00034881+0.00061099i,8.8063e-05+5.7927e-05i,0.00038521-0.00080171i,0.0010466-0.0012411i,0.00077731-0.0012024i,0.00034623-0.00097895i,0.00013159+0.00044188i,-0.00050092+0.0012471i
0.0018269-0.0018754i,0.0016413-0.0031i,0.0016663-0.0030363i,0.0014627-0.0019119i,0.00052976-0.00073987i,5.481e-05-0.00024281i,0.00045156+0.00030684i,0.00043905+0.0004049i,0.00017311-0.00019766i,-0.00019706-0.00013605i,-0.0004439+0.00096106i,-0.00010116+0.0011878i,0.00050626-9.2606e-05i,0.00070923-0.00065629i,0.00057178-0.00074202i,0.00016458-0.00036948i,-0.00012462-2.5718e-05i,0.00052638-7.8598e-05i,0.00031934+0.00023876i,-9.1145e-05+0.000368i,0.000147-7.4853e-05i,0.00038595+0.00054884i,0.00010735+0.00086808i
0.00052812-0.00030476i,0.0009536+0.0013319i,0.00089091+0.0022628i,0.00025776+0.0012244i,-0.00046169-5.4668e-05i,-0.00069991-0.00015697i,-0.00027409+0.00041245i,-0.00029255+0.00071135i,1.547e-05+0.00044465i,0.001006-5.3011e-05i,0.00086858-0.0005983i,0.00031822-0.0009207i,0.00019704-0.00084588i,0.00022712-0.00075568i,-3.1245e-05-0.00045206i,-9.7576e-05-9.4435e-05i,-0.00019485-0.00018207i,-0.00043347-0.00047741i,-0.00032507-0.00021559i,-0.00026681+0.00014402i,0.0003394+0.00041418i,-5.6955e-05+0.00070567i,-0.00041828-1.2249e-05i
-0.0016756-0.001926i,-0.0033315-0.0017668i,-0.0029048-0.0010798i,-0.0017873+0.00037444i,-0.00024682+0.0011337i,0.00078228+0.0011919i,0.00036948+0.0019507i,0.00019123+0.001467i,8.3905e-05-0.00057179i,-0.00042219-0.0012566i,-0.0003789-0.00026711i,2.786e-05+0.00050277i,0.00040546+0.00069457i,0.00038951+0.00070887i,0.00017005+0.00079943i,2.5528e-05+0.00054465i,0.00044714+4.1045e-07i,0.00090242+0.00012528i,0.0011489+0.0006875i,0.0011576+0.0004298i,0.00071984+0.00024953i,-1.1331e-05+0.0003497i,-0.00053401+0.0002133i
0.00023737-0.0051863i,0.00038242-0.0065857i,-0.00083154-0.0059235i,-0.0019081-0.0033447i,-0.0014636-0.001245i,-0.00097704-5.277e-05i,-0.0014366+5.5032e-05i,-0.00063582-0.00066415i,0.00011448-0.00048044i,6.1936e-05+0.00070027i,0.00095939+0.0014503i,0.0013532+0.0013043i,0.00044888+0.00070055i,0.00039537+0.00095623i,0.0015064+0.00082266i,0.0013881+0.00012797i,0.00036464-0.00057333i,-0.00046257-0.00020649i,-0.00048777+0.00016377i,0.00032504-0.00043293i,0.00084897-0.00055127i,0.00060848-0.00063385i,0.00033753-0.00042113i
6.6896e-05-0.0005535i,0.00092227-0.00034844i,0.0017062+0.00072386i,0.0021407+0.0019625i,0.0018593+0.0014329i,0.0010507+0.00015539i,9.9018e-05+2.1342e-05i,-0.0005598+4.7239e-05i,-0.00024803-0.0001056i,0.00029975+0.00060494i,0.00016697+0.00094494i,0.00021561-2.7675e-05i,0.00041767-0.00063097i,0.00098078-0.00076545i,0.0014707-0.00038132i,0.0011126+0.00021852i,0.00091771-0.00012056i,0.00045548-0.00059016i,-0.00011549-0.00010692i,-0.00054296+0.00086657i,5.899e-05+0.00089i,0.00019281+0.00034879i,-0.00045463-1.5691e-05i
-0.0012491-0.0015465i,-0.0024219-0.001168i,-0.0028583+0.00028215i,-0.00088414+0.0018085i,0.0010921+0.0016727i,0.00032881+0.0011785i,-0.00061739+0.0011937i,-0.0004122+0.00070677i,0.00011574-0.00010109i,0.00068453-0.00020933i,0.001296+5.4054e-05i,0.0012121+0.000403i,0.0008492+0.00040354i,0.001476-0.00033561i,0.0012564-0.00079356i,0.00011245-0.00073503i,-0.00020345-4.6969e-05i,0.00016913+0.00012075i,3.5444e-05-6.5363e-05i,-0.00024857+0.00017405i,-0.00032495+0.00022519i,-1.6352e-06+4.0328e-05i,0.00025504-1.6437e-05i
-5.3291e-05-0.0017881i,-0.0004311-0.0026836i,-0.0016035-0.0022495i,-0.0020735-0.00045808i,-0.00076864+0.0010687i,-0.00061897+0.0016638i,-0.0013359+0.00012468i,-0.00027816-0.00084611i,0.00039956-0.00045429i,-0.00023331+0.00018802i,-0.0004047+0.00028631i,1.9253e-05-1.2299e-05i,0.00082714+6.12e-05i,0.0019793+3.1303e-05i,0.0016344+0.00010436i,0.0003528+0.00053479i,-0.00026302+0.0006218i,-0.0002951-0.00029856i,-0.00038599-0.0011449i,-0.00038814-0.0010813i,-0.0001888-6.5711e-05i,-0.00059995+0.00069012i,-0.00015528+0.00058828i
0.00028726-0.00095751i,0.00020068-0.00058407i,-0.00067736+7.6735e-05i,-0.0001541+0.00039423i,0.00095+0.0008544i,0.00056041+0.00077511i,0.00054583+0.00067147i,-0.0001577+0.0011378i,-0.0013342+0.0005864i,-0.0012692-0.00027445i,-0.000336-0.00031785i,0.00034502+7.2203e-06i,0.00098213-0.00011012i,0.0017484-2.1496e-05i,0.0014534-9.6487e-05i,0.00084283-0.00043804i,0.00011965-0.00042226i,-4.378e-05-0.00029626i,-7.0456e-05-0.00045771i,-0.00022775-0.00038693i,5.3424e-05-0.00039438i,0.0006042-8.0131e-05i,0.00059736+0.0005048i
-0.0036327-0.00094356i,-0.0033139-0.0014238i,-0.0012219-0.00080528i,-0.00015244+0.00015963i,0.00071332+0.00039531i,0.0011145+0.00035287i,0.0011341+0.00078841i,0.0016867+0.00043742i,0.0015023+0.00010059i,0.0012167+0.00062834i,0.00081817+2.1813e-05i,0.00012687-0.00062822i,-0.00028966-0.00060061i,-0.00020182-0.001054i,-0.00048295-0.0010898i,-0.00053512-0.00030284i,0.00031507-0.00027296i,0.001267-0.0012405i,0.0011314-0.0017542i,0.00055641-0.00098993i,-0.00034159-0.00047072i,-0.00035031-0.0008247i,0.00034102-0.00051287i
0.00025896-0.00094908i,0.0003443-0.0015052i,-0.00025877-0.00099294i,-0.00034655+0.00023219i,-0.0008803+0.00075633i,-0.0009571+0.00082455i,-0.00081789+0.00084897i,-0.0006714+0.00023638i,0.00015937-0.00045083i,0.00022131-4.7891e-05i,-0.00046468-6.4223e-05i,-3.8587e-05-0.00045643i,-4.1424e-05+7.9551e-06i,-0.00064765-0.00023037i,-0.00066802-0.00093152i,-0.00078935-0.0010866i,-0.00022818-0.00048128i,0.00057031-0.00033937i,0.0012272-0.0004329i,0.0010762-0.00063101i,0.00031226-0.00058998i,-0.00026648-0.0006228i,-5.6616e-06-0.00067105i
0.00070088-0.00098502i,0.0016943-0.00034247i,0.00058734+5.8907e-05i,-0.00059828-5.683e-05i,-5.2623e-05-6.7903e-05i,0.00047456+0.00059642i,0.00047801+0.0013782i,0.0001165+0.0010746i,-0.00066268+0.00016191i,-0.00033076+0.00020626i,0.0007669+0.00065553i,0.0012194-0.00014543i,0.0012324-0.00062073i,0.00087005+0.00034942i,0.00071132+0.00086429i,0.00043478-0.00045775i,-0.00028333-0.0013379i,-0.0007112-0.0009648i,-0.00012271-0.00025228i,-0.00022401+0.00022573i,-0.00018304+0.00012745i,0.0007405+0.00019459i,0.00057009+0.00028042i
-0.0014963-0.0041698i,-0.0035472-0.0045925i,-0.0046723-0.003811i,-0.0026918-0.0019652i,-0.0010988-0.00076986i,-0.00054055-0.00034719i,0.00051513-0.00021175i,0.00043909-0.00032306i,-0.00063561-0.00025757i,-0.00086353+0.00028151i,4.1687e-05+0.00066844i,0.00084922+0.0012249i,0.00096162+0.0014181i,-6.1279e-05+0.00061905i,-0.0005274-0.00020689i,0.00021142+0.00012136i,0.00049549+0.0007155i,0.0010113+0.00068038i,0.0016448+7.7913e-05i,0.0012817+0.00010594i,0.00059455+3.9346e-05i,0.00026503+0.00049757i,0.00064528+0.00073276i
0.0017288-0.0020674i,0.002364-0.0030102i,0.0024095-0.0029322i,0.0016657-0.0020109i,0.00027012+0.00049345i,9.9224e-05+0.002203i,0.00020498+0.0022809i,-0.00090432+0.0025095i,-0.00087789+0.0011209i,-0.0002233-0.00010176i,-7.0428e-05-9.4753e-05i,6.4621e-05+6.6129e-05i,2.1564e-05-6.5785e-05i,0.00068429-0.00058505i,0.0011916-0.00058932i,0.0011798-0.00065832i,0.0006476-0.00046462i,-0.00010559+0.00030441i,5.1985e-05+0.00054408i,0.00023628+0.00092974i,0.00030452+0.0012642i,0.00048178+0.00070809i,-0.000472-1.5689e-05i
0.00095893-0.0018611i,0.00082907-0.00034386i,0.00039466+0.001281i,0.00074521+0.0010686i,0.001257+0.0012254i,0.00082434+0.0020702i,0.00099539+0.0020779i,0.0017665+0.00067925i,0.00062715-0.00058352i,-0.00037362-0.0011323i,6.2497e-05-0.00082869i,0.00091232+0.00033874i,0.0016336+0.00069224i,0.0022524-0.00022339i,0.0016001-0.00074424i,0.00014184-0.00065366i,-0.00010103-0.00082517i,7.9977e-05-0.00054076i,-0.00036033-1.3368e-05i,-0.00046056-0.000198i,-0.00029642-0.00054059i,-5.3242e-05-0.00022823i,1.7447e-05-0.00026047i
-0.0014044-0.0043855i,-0.0033188-0.0035234i,-0.0047154-0.001781i,-0.0033419+0.00013533i,-0.0019051+0.00098542i,-0.0023976+0.001786i,-0.0019339+0.0013454i,-0.00078781+0.00018514i,-0.00086673-0.00037245i,-0.0012233+0.00050643i,-0.0012205+0.0013265i,-0.00050984+0.0014694i,9.4559e-06+0.0015322i,0.00013534+0.00082321i,0.00077233+0.00016803i,0.00070372+0.00034166i,-0.00013096+0.00068412i,0.00019016+0.00059111i,5.7451e-05+0.000101i,-0.00064365-4.1864e-05i,-0.00074687+0.0002571i,-0.0011863+3.4758e-05i,-0.00081565-0.00032211i
-0.00048663-0.002455i,-0.00080675-0.0033649i,-0.0014307-0.0032503i,-0.0010333-0.0014806i,-6.6e-05-1.1206e-05i,0.00041337+0.00059655i,0.0003909+0.0010378i,0.00058136+0.0015378i,0.00040414+0.0013735i,0.00016255+0.001361i,-0.00016018+0.00084374i,-0.00019501-0.00021167i,-0.00023582-0.00077948i,-0.00023011-0.00057866i,0.00017096-3.4629e-05i,0.00049221+0.00051899i,-0.00015381+0.00041623i,-0.00058851+0.00065147i,-0.00062208+0.00031933i,-0.00026635-0.0005603i,0.00040087-0.0010432i,0.00044428-0.00044519i,-9.4301e-05+0.00017027i
0.0017603+0.0010879i,0.0032729+0.00094737i,0.0040211+0.00037613i,0.002916+0.0006498i,0.0014266+0.0012174i,0.00040401+0.0012433i,0.00010176+0.001324i,6.0968e-05+0.00016651i,0.00021172-0.00070459i,0.00023044+0.00017956i,0.00013046-0.00059656i,0.00035018-0.0014215i,3.0047e-05-0.0007776i,-0.0002424-0.00026386i,0.00019661-0.00028347i,0.00019157+7.1056e-05i,0.00016167-0.00038611i,0.00071495-0.00076942i,0.00069836-0.00076513i,0.00054052-0.00085324i,0.00057932-0.00068674i,0.00066537-0.00069152i,0.0005527-0.0010251i
-0.0019729-0.0033601i,-0.0027793-0.0030586i,-0.0029127-0.0012765i,-0.0020675+0.00057814i,-0.0016929+0.0016791i,-0.0015413+0.0019631i,-0.00099266+0.0010811i,-0.00069609-0.0004399i,-0.0008772-0.00096474i,-0.0011813+0.00032958i,-0.0018376+0.0011811i,-0.0013606+0.0004438i,-0.00045404+0.00057495i,-0.00031985+0.00094015i,-0.00016538+0.00013388i,-0.00024035-0.00020293i,9.0744e-05-0.00055315i,0.00033934-0.0013958i,0.00035779-0.0013993i,0.00032363-0.00089636i,0.00056831-0.00075509i,0.0014042-0.00020662i,0.0015318+0.00025129i
0.0023165-0.00010468i,0.00095537-0.0010692i,-0.00031358-0.001362i,-0.00078527-0.00099942i,-0.0003916-0.0012809i,-0.0012015-0.0010775i,-0.0010848+0.00018714i,-0.00020852+0.0015801i,-0.00039914+0.0021059i,9.4931e-05+0.001606i,0.0011446+0.001273i,0.0013025+0.00077428i,0.00057897+0.00043559i,-6.1185e-05+0.00093074i,0.00028258+0.00062856i,0.00077461-0.00020071i,0.0015194+2.1156e-05i,0.0010934+0.0008237i,0.00019116+0.00075763i,0.00076222+0.00010231i,0.0013638-8.6855e-05i,0.00088675-8.5099e-05i,0.00019888-0.00022212i
0.00019863+0.0021666i,0.001275+0.00051847i,0.0021649-0.00052835i,0.0033098-0.0012659i,0.0024673-0.001189i,0.00045297-0.0013625i,-0.00083937-0.0013414i,-0.00069753-0.00049644i,0.00023807-0.00038209i,0.00054069-0.00054328i,0.00058157-0.00055415i,-8.6005e-05-0.00065089i,-0.00057277-0.0010677i,-0.00050904-0.0011584i,-0.0010108-0.0012744i,-0.00035008-0.00052339i,0.00036655+0.00036649i,-0.00010131+0.00013718i,-0.0008336-0.00033425i,-0.0004225-0.00022645i,0.0015511+6.4011e-05i,0.0020212+5.6083e-05i,0.0010628+0.00022595i
-0.0016297-0.0019007i,-0.00039077-0.0018953i,0.00071784-0.00027373i,0.0013904+0.0013392i,0.0012234+0.00062736i,0.00041346-0.00043827i,0.00021282-0.0002288i,0.0002493+0.00022846i,0.00015053+8.1525e-06i,3.7089e-05+0.00011541i,-0.00036752-6.5854e-05i,-0.00043438-0.00068565i,-0.00040923-0.00046892i,-0.00060148-0.00037541i,-0.00069887-0.001098i,1.8396e-05-0.00056169i,0.00046548-0.00038273i,0.00092701-0.00080635i,0.00094636+0.00076321i,0.00015626+0.0014202i,6.5502e-05+0.00088919i,0.00048971+0.00097712i,4.5637e-05+0.0008534i
0.00012718+0.00065886i,-0.00136+0.00082504i,-0.0020029+0.00069621i,-0.0012152+0.00020795i,-0.00033836-0.00093208i,-0.00038609-0.0011207i,-0.00032884+5.6861e-05i,0.00053713+0.00030674i,0.00047093+0.00074313i,-0.00083549+0.0012844i,-0.0012562+0.0010541i,-0.00068598+0.0010319i,-0.00026238+0.00095146i,-0.0004266+0.00069399i,-0.00050554-9.9241e-06i,-0.00034436-0.00060242i,2.6953e-05-0.00059221i,0.00046222-0.00041332i,-0.00017484+0.00026519i,-0.00036323+0.00068115i,0.00037935+0.0011058i,-0.00011995+0.001282i,-8.5613e-05+0.00097418i
0.00096633-0.0031704i,0.0014965-0.0048281i,0.00063235-0.0050855i,-1.5081e-05-0.0026668i,-6.2108e-05+0.00020079i,0.0006414+0.0012999i,0.0013406+0.0013349i,0.00098427+5.1893e-05i,0.00047332-0.0001988i,0.00098868+0.0014322i,0.0021758+0.0017965i,0.0024779+0.00046862i,0.0018455+0.00033958i,0.0016697+0.0011577i,0.0018111+0.0003371i,0.0016308-2.0733e-05i,0.00059312+0.0001969i,-0.00033835-0.00017024i,-0.00094657-7.7776e-05i,-0.00087587+0.0005651i,-0.00052474+0.0011897i,-0.00089915+0.0013449i,-0.00052809+0.0011107i
-0.00038435-0.0030739i,-0.0013556-0.0027168i,-0.0013977-0.00071836i,-0.00048456+0.0014777i,-0.00013795+0.0017292i,-0.0010714+0.0011203i,-0.00047544+0.0013336i,0.00080351+0.0014424i,0.00028765+4.6845e-06i,-0.00062703-0.00090212i,-0.00047695-0.00066727i,-0.00070333-0.00024414i,-0.00070653+0.00019267i,0.00010462+0.00031888i,0.00048674+0.00032337i,0.0002059+0.00029913i,-0.00077292+0.00036547i,-0.0013267+0.00042759i,-0.0010931-0.00063844i,-0.0006501-0.0011435i,-0.001033-0.00032984i,-0.0010789-2.2279e-05i,-0.00071867+0.00014785i
-0.00072079-0.0013066i,-0.00072584-0.0014844i,-0.0012284+0.00076406i,-0.0019544+0.002662i,-0.001897+0.0010625i,-0.0016744-0.00056059i,-0.00093491-6.1133e-05i,-0.00016995+0.00011532i,-0.00070129-0.00036328i,-0.0011563-2.7087e-05i,-0.00040462+0.0009247i,0.00046676+0.0011215i,-0.00036942+0.0010281i,-0.00040865+0.00093933i,0.00030834+0.00084922i,-5.9172e-05+0.001115i,4.975e-05+0.00094742i,0.00034291+0.00020676i,0.00017451-0.00011639i,2.7688e-05-0.00020855i,-0.00020859-0.00062944i,-0.00039436-0.0002898i,0.0001043+0.00032929i
0.0014349+0.00024697i,0.0019298-0.00034026i,0.00049935-0.0010514i,0.00017302-0.0012479i,0.00097513-0.00074008i,0.0004083-0.00053498i,-0.00037202-0.00056757i,-0.0010912+6.0422e-05i,-0.00074977+0.0010085i,0.00086694+0.0012518i,0.001245+0.00074826i,0.00038293+0.00038605i,0.00031573-0.00089353i,0.00058692-0.0015922i,0.0008984-0.0009068i,0.0011867-0.00010621i,6.3656e-05+0.00015486i,-0.00081029-0.00036157i,-0.00021732-0.00086254i,-0.0001939-0.0010688i,0.0004039-0.0011482i,0.001206-0.00088476i,0.00069433-0.00077532i
3.1714e-05-0.0023396i,-0.00099143-0.0046972i,-0.0017308-0.0053109i,-0.00070221-0.0026215i,-0.00024386+0.00010296i,-9.3393e-05+0.00075738i,0.00018474+0.0008769i,0.00026038+0.00086532i,0.00058234+0.00017541i,0.00098227-0.00055441i,0.00070911-0.00047031i,0.00039199-0.00015501i,-8.8442e-05-0.0004401i,-0.00067317-0.00023134i,-0.00064458-2.0857e-05i,-0.00059868-0.00028065i,-0.00094902-0.0001488i,6.6199e-05-0.00079871i,0.0016228-0.0015579i,0.0016639-0.0014295i,0.0011527-0.001018i,0.00051343-0.00018978i,0.00079002+0.00038134i
0.0017888+0.00087602i,0.0033855+0.0015477i,0.0051659+0.0038605i,0.0048926+0.0033674i,0.0027519+0.0013799i,-0.00012493+0.0012427i,-0.0006864+0.00171i,0.00058328+0.00033253i,0.0006491-0.0009629i,-0.0003156-0.0010175i,-0.00071927-0.0012318i,-0.00059162-0.00092267i,-0.00018343+2.1315e-05i,-0.00028314+0.00030898i,-0.00032698-0.00031585i,-0.00041724-0.00034283i,0.00035357+0.00078792i,0.0012397+0.00084128i,0.00076076+3.0526e-05i,0.00080343-0.00062198i,0.00093442-0.00055456i,0.00043296-0.00048344i,0.00082136-0.00022696i
-0.00082981-0.00067716i,-0.0022152-0.0015191i,-0.0043117-0.0025421i,-0.0042942-0.00097145i,-0.0025138+0.00076446i,-0.00050336+0.00043927i,-0.00046521-0.00044253i,-0.0010003-0.000883i,-0.00057052-3.3816e-05i,0.00015531+0.0012522i,0.00034587+0.0017736i,0.0011288+0.0015617i,0.0025336+0.00061429i,0.0027622-0.00049425i,0.001615-0.0010358i,0.00031356-0.00096424i,0.00024455-0.00011382i,0.00074055+0.00083732i,0.001309+0.0006939i,0.0013469+0.00016314i,0.00088932-0.00018742i,0.00043765+2.2457e-05i,0.00056995+0.00076453i
0.0015984-0.0026957i,0.0014168-0.0045495i,-0.0005087-0.0044508i,-0.0020998-0.0029809i,-0.0014014-0.0015605i,-0.00019269+0.00080942i,6.7182e-06+0.0019771i,0.00072849+0.0018363i,0.0010686+0.0011261i,0.0010611+0.00059189i,0.0009006+0.00035588i,0.00028086+0.00038193i,-0.00047403+0.0010407i,-0.0007041+0.00089461i,0.00033582-0.00017894i,0.00077939-0.00069621i,0.00055562-0.00063742i,0.00039701+0.0006774i,0.00042641+0.0018469i,0.00044433+0.0020811i,0.00025284+0.001324i,6.1271e-05+0.00087858i,0.0001665+0.0011471i
-0.0003484+0.0018332i,0.001488+0.0023906i,0.0042536+0.0027931i,0.0060923+0.0014839i,0.0048337-0.00072765i,0.0023501-0.0010159i,0.0010141-0.00042178i,0.0004873-0.00010272i,0.00044555-0.00024969i,0.00069518-0.0011764i,-0.00029419-0.0017934i,-0.00023322-0.001424i,0.00027833-0.00028262i,0.00010914-8.0891e-05i,-0.00026825-0.0013919i,-0.00087953-0.00090074i,-0.00075517+0.00020817i,-0.0012665+0.00044713i,-0.0017801+0.00065413i,-0.0010817+0.000742i,-0.0010224+0.00091959i,-0.0009552+0.00036715i,-0.00045025+1.9731e-05i
0.0011274-0.00097385i,0.0017394-0.00045325i,0.0017348+0.00096583i,0.0010154+0.0015371i,0.00010543+0.0010687i,-0.00051772+0.0012319i,-0.0010641+0.0010289i,-0.00092287+0.00063187i,-0.00026616+0.00098429i,-0.00070803+0.0010465i,-0.0011316+0.00032019i,-0.0011512-5.007e-06i,-0.001304+0.00014171i,-0.00058348-0.00011635i,0.00078666-0.00043491i,0.0014035-4.2731e-05i,0.00057976+0.00010992i,-0.00016736-0.00065135i,-0.0003174-0.0010203i,-0.00036671-0.00072441i,-0.00049157+0.00045489i,-0.00061775+0.0011029i,-0.00085406+0.00071028i
-0.0020052-0.0040859i,-0.0044095-0.0036229i,-0.0075761-0.0016526i,-0.0070614+0.00078077i,-0.0038564+0.0016552i,-0.0016923+0.0008904i,-0.00085229+0.00055338i,0.00014434+0.00094077i,0.00041138+0.0014738i,0.00085198+0.0018973i,0.0015651+0.0023091i,0.0012999+0.0018069i,0.00071968+0.00042938i,0.00058299-0.00033947i,0.00033364-0.00050731i,-0.00037414-0.00021396i,-0.00093998-0.00041636i,-0.00092106-0.00094951i,-0.00085623-0.0011133i,-0.00057001-0.00050077i,-0.00027524-1.9817e-05i,0.00035613+0.00023265i,0.00033657+0.00013192i
0.002943-0.0039393i,0.003662-0.0048809i,0.0035404-0.0047916i,0.0018174-0.0036015i,0.00013552-0.00228i,0.00068474-0.00080464i,0.0011975+0.00031456i,0.0011025-0.0003295i,0.00048762-0.0019011i,0.00077348-0.0019467i,0.0016066-0.00071041i,0.00053398-0.00060884i,-5.8493e-05-0.00027201i,-8.6216e-06+0.00066437i,0.00048218+0.00075656i,0.0011413+0.0007264i,0.00085823+0.0009648i,-0.0001089+0.00064939i,-0.00087184+5.4276e-05i,-0.00073426-0.00034557i,-0.00049514+3.124e-05i,-6.8872e-05+0.00040224i,0.00027781+0.00016922i
-0.0021867+0.0039555i,-0.00087745+0.0053228i,1.1093e-05+0.005053i,0.002024+0.0028878i,0.0026522+0.0012099i,0.001345+0.00063506i,0.00095712-0.00031144i,0.00087213-0.00084336i,-0.00042088-0.0010284i,-0.0012767-0.0010369i,-0.00053396-0.001088i,0.00045639-0.00084661i,0.00071447-0.00088683i,0.00070237-0.0011389i,0.00088193-0.0005775i,0.0010239-0.00059857i,0.00057233-0.00052712i,2.8702e-05-0.00015382i,-0.00011167-0.00046375i,-0.00055839-0.00076005i,-8.9561e-05-0.000117i,0.00015192-0.00016235i,9.2562e-06-0.00091413i
-0.0038102-0.0049363i,-0.0043608-0.0040636i,-0.0040217-0.0011329i,-0.0022024+0.0021761i,-0.00065958+0.0035069i,-0.00057916+0.0025862i,-0.0010809+0.0014951i,-0.0013346+0.00055012i,-0.0013566+0.00016688i,-0.00079392+0.0012816i,-0.00047728+0.0022628i,-0.00051185+0.0017859i,-0.00010892+0.0014209i,0.0007784+0.00019605i,0.0012058-0.00067055i,0.00040439-0.0002985i,0.00021587-0.00028049i,-0.00017532-0.00072483i,-0.00052573-0.0013702i,0.00068746-0.001658i,0.00094473-0.001783i,0.00038071-0.0020233i,-0.00012594-0.0019391i
0.00174-0.0022845i,0.0032371-0.0036495i,0.0014487-0.0018221i,-0.00087776+0.00060916i,-0.0015289+0.00090314i,-0.0012038+0.00040884i,-0.00043375-0.00025451i,0.00064405-0.00013087i,0.001364+0.00065521i,0.0016286+0.0010674i,0.0014324+0.00050194i,0.00092527-6.0001e-08i,4.4694e-05+8.6163e-05i,-0.00013645-0.00056727i,0.00030489-0.0015515i,3.4467e-05-0.0014941i,0.00069669-0.00075434i,0.0018908-0.0004165i,0.0021903-0.00038234i,0.0016799+0.00024463i,0.0010566+0.0010394i,0.0007439+0.00054444i,0.0007505-0.0003665i
0.0025571-0.0010342i,0.0013063-0.0022965i,0.0007083-0.0040024i,-1.9182e-05-0.0049302i,-0.00057245-0.0029538i,0.00076421-6.8287e-06i,0.0022194+0.00067581i,0.0024249-0.00041727i,0.0020163-0.0018498i,0.00091607-0.0018427i,0.00072542-0.00054167i,0.0010419+0.00061724i,0.00026009+0.0013302i,-0.00031422+0.0011967i,-0.00017225+0.00061687i,-0.00033394+0.0004559i,3.8819e-05-0.00017204i,0.00057945+0.00030805i,0.0012888+0.0012817i,0.0018364+0.0006409i,0.0022096-0.00033622i,0.0017269-0.00094051i,0.0011196-0.00097383i
-0.0013106-0.00033926i,-0.00031611-0.000776i,0.00054142+0.00033462i,0.0015966+0.0012306i,0.0010179+0.00062546i,-0.0017277+0.00011481i,-0.0028761+0.00023325i,-0.002019+0.00030687i,-0.0012778+0.00017939i,-0.0010552+0.0001318i,-0.0016143+8.857e-05i,-0.002127-0.00028665i,-0.0014787-7.8963e-05i,-0.00094372-0.00030648i,-0.00018807-0.0012233i,0.00094062-0.0016353i,0.00067193-0.00062988i,-0.00010768+0.00027525i,-0.00057432+0.00097629i,-0.00017352+0.0018298i,0.00086926+0.0012585i,0.0011247+0.0002669i,0.00029308-0.00030563i
