-0.00236+0.00093841i,-0.0030745+0.0007342i,-0.0034771+0.0014729i,-0.0023652+0.0012926i,-0.001342+0.0010237i,-0.00092408+0.00082928i,-0.00056151+0.001098i,7.2204e-05+0.0015816i,0.00080944+0.001629i,0.00067813+0.0008565i,0.00055453-0.00040521i,0.0004179-0.0009405i,0.00025286-0.00093746i,0.0003068-0.0010314i,8.1217e-07-0.0014492i,-0.0003747-0.00080536i,-0.00063844+0.00016483i,-0.00056259+0.00043117i,-0.00092934-0.00038543i,-0.001336-0.00018747i,-0.00067744+0.00043404i,0.00034327+0.00046097i,0.00049751+0.00023711i
0.0018791+0.00010068i,0.0021816-0.00093377i,0.0017-0.00080337i,0.00043034-0.00014779i,-0.00051649+9.6901e-05i,-0.0010074+0.00084353i,-0.00048597+0.00084626i,-0.00019295+0.00018718i,-7.3276e-05+0.00024285i,-0.0002262+0.00082271i,-0.0013824+0.00075532i,-0.0015683+0.00045953i,-0.0011702+0.00031951i,-0.00016515+0.00024956i,-0.00018146-0.00017621i,-0.00055157-0.00046747i,-0.0005562-0.00045631i,-0.0010662-0.00072791i,-0.00019746-0.00049157i,0.00059555+0.00039334i,-2.5713e-05+0.0008253i,-0.00041408+0.00045668i,-0.00011304-0.0001811i
-0.00034073+0.00085326i,0.0010019+0.0011169i,0.002262-4.2753e-05i,0.0024585-0.00087382i,0.0021184-0.00076501i,0.0015992-0.00090469i,0.0015308-0.0010237i,0.0014901-0.0016003i,0.00076454-0.001225i,-0.00032291-0.0004513i,-0.0007674-0.00040607i,-0.00042795-0.00013108i,-0.00026955+0.00042287i,-0.0001827+4.624e-05i,0.00018732-0.00062608i,7.9441e-05-0.00032732i,-0.00017247-0.00079297i,-0.00022672-0.0015318i,-0.00025166-0.00088847i,-0.00035149+0.00015774i,-0.00025086+0.0012373i,4.5576e-05+0.00066833i,-7.9309e-05-0.00020885i
0.00057827+3.6828e-05i,0.00016925+0.00031602i,-8.8332e-05-0.00098745i,0.00011059-0.00049746i,-0.00020724+0.0010961i,-0.00019961+0.00032811i,0.00078599-0.00031985i,0.00096469-7.0194e-05i,0.00018445-0.00014534i,-0.00023823-0.00020275i,-0.00080664-0.00058162i,-0.00090386-0.00083045i,-0.00076886+0.00010551i,-0.0010242+0.00081596i,-0.001028-7.8338e-06i,-0.0011281-0.00080152i,-0.00064929-0.00031288i,0.0002491+0.00015481i,0.00025558+0.00012255i,0.00027929-7.9109e-05i,9.3509e-05-1.0971e-06i,-0.00030528+0.00028562i,-0.00026991+0.00046794i
0.0006991+0.0034494i,0.00043071+0.0033728i,0.0020704+0.0015529i,0.002771+0.00011871i,0.0018633-0.00039029i,0.00085484-0.0013169i,0.00099496-0.0011523i,0.00095724-0.00040071i,-3.1026e-05-0.00030344i,-0.00079147+0.00028855i,-0.00054622+0.00059258i,9.9329e-05+7.3367e-05i,4.0778e-05-0.00041617i,-0.00016171-0.00072388i,-0.00023759-0.00080784i,2.7215e-05-0.0013284i,6.5177e-06-0.00043368i,-7.0733e-06+0.00012887i,0.00019981-0.00016552i,0.00019762-0.00063476i,0.00016811-0.00080069i,0.0011988-0.00058176i,0.001721-0.00019226i
-0.00047311+0.00054415i,-0.0012847+0.00033892i,-0.0017935-0.00022527i,-0.0015371-0.0004317i,-0.0011796+0.00029306i,-0.00033448+0.00055989i,0.00044518+4.7061e-05i,9.0522e-05-0.00019062i,-0.00094175+7.9857e-05i,-0.0012747+0.00051209i,-0.00071361+0.00075671i,-0.00097073+0.001201i,-0.0012365+0.0010061i,-0.00047462+0.00031885i,8.495e-05-0.00034695i,-4.8659e-05-0.00042376i,-1.468e-06+1.4494e-05i,0.00052877+0.00015852i,0.00081347+0.00036019i,0.00043626+0.00048491i,4.2234e-05+0.00064727i,-4.1752e-05+0.00045789i,0.00053969-8.4686e-05i
0.00050795-0.00074919i,0.00036751-0.0012304i,0.00049449-0.0020638i,0.00035507-0.0016403i,0.00046903-0.00090497i,0.0012289-0.00095726i,0.0014647-0.0013466i,0.00068436-0.0021957i,-0.00019677-0.0017135i,0.0001404-0.00042766i,-3.5193e-05+0.00043635i,-0.0010139+0.00082641i,-0.00015006+0.00023019i,0.00059509+0.00027678i,7.7203e-06+0.00044901i,-0.00064673-8.1182e-05i,-0.00043925-0.00097208i,2.8785e-05-0.001107i,0.00090562-0.00031645i,0.0016812+0.00051334i,0.0010194+0.00081564i,0.00012944+0.0011914i,5.0101e-05+0.0010259i
0.00055471+0.00045474i,0.00027698+0.0010359i,-0.0012325+0.0010554i,-0.0010144+0.00079142i,-0.00017857+0.0016819i,0.00031342+0.0022241i,0.0012853+0.0018241i,0.0011013+0.00037256i,0.00010164-0.00061105i,0.00016703+0.00025299i,0.00019235+0.0011446i,-0.00042292+0.00070779i,-0.00097065+0.00048785i,-0.00036898+0.00041257i,0.00030202+0.00021774i,0.00039316+7.8901e-05i,0.00029587+0.00014621i,-0.00013374+0.00023262i,0.000347-0.00034796i,0.001167-0.00031317i,0.0010799+0.00019284i,0.000965+0.00051886i,0.00066414+0.00027693i
-0.00050589-0.0001813i,-0.00064133-0.00063922i,-4.6851e-06-0.0013972i,0.00052668-0.0019848i,0.0010593-0.001949i,0.0017213-0.0015658i,0.0021993-0.001222i,0.0011474-0.00055611i,-8.2759e-05-0.00032378i,0.00021479-0.00035057i,0.00047742+0.00038881i,-4.7166e-05+0.00022604i,-0.00046635-0.00035363i,-0.0003602+9.8347e-05i,-0.00028488+0.00050931i,0.00011121-0.00028253i,-3.2006e-05-0.00069295i,-0.00061139-0.00013667i,-0.00031854+0.00015588i,-0.00019182-8.5773e-05i,-0.00055469+0.00033619i,-0.00023908+0.00080534i,0.00030497+0.00033069i
-0.0014772-0.00091151i,-0.00031552-0.00076447i,-0.00029477+0.00067682i,0.00010733+0.0015131i,0.00049426+0.0012976i,0.0010054+0.00026383i,0.0014737-0.00068878i,0.0011615-0.00057291i,0.00023097-0.00063796i,0.00018083-0.00027805i,-4.3784e-05+0.00032705i,-0.0007903+0.00010822i,-0.00010559-0.00054638i,0.0002387-0.00043667i,3.1497e-05-0.00037307i,0.00016092-0.00059304i,0.00041827+0.00026444i,0.00060461+0.0010774i,0.00013699+0.00098121i,-0.00014127+0.0010479i,-0.0006431+0.0014495i,-1.3329e-05+0.00094523i,0.0012635+0.00071076i
0.0013425+0.001285i,0.0019119+0.00090255i,0.00091558-0.00012442i,0.00011112-0.0011219i,0.00013716-0.0013398i,0.00020055-0.0013877i,0.00037537-0.00015558i,0.00025321+0.0008622i,0.00025212+0.00047686i,0.00019683-0.00039334i,-0.00010942-0.00076054i,-1.2806e-05-0.0010674i,0.00039233-0.001039i,-0.00021753-0.00082294i,-0.00049949-0.0012489i,0.00016792-0.0015258i,0.00058787-0.00086488i,0.00048214+0.00032554i,0.00060726+0.0001282i,0.00061011+5.9659e-05i,0.00022536+0.00024633i,-0.00015454+0.00078611i,-0.00040293+0.00048964i
0.0011402-0.0003339i,0.00076671-0.00023125i,0.0012577-0.00058534i,0.0015807-0.00048566i,0.0011811-0.00037561i,0.00081047+0.00022789i,0.00076891+0.00099671i,0.00087686+0.00032254i,0.00034099-0.00038838i,0.00018227-0.00056784i,-0.00015345-0.00076666i,-0.00056196-0.00055408i,-0.00033003+0.0001464i,8.6978e-05+0.00055109i,-0.00040351+0.00043706i,-0.00048749-0.00027149i,-0.0001872-0.00058291i,0.00018793-0.00037605i,0.00063304-0.00088263i,0.00052897-0.0010741i,0.00055158-0.00070889i,0.00072426+0.0004583i,0.00028353+0.00042058i
9.8047e-05+0.00046656i,5.6065e-05+0.00018915i,0.00074498-0.0010376i,0.00061594-0.001288i,0.00013699-0.00091466i,-0.00043803-0.000823i,-0.00091075-0.00077894i,-5.1627e-05-0.0011276i,0.00091507-0.0010507i,0.00046682-0.00077427i,-0.00019422-0.00046691i,-0.0007573-0.00012046i,-0.00080633+2.9958e-05i,-0.00015603+0.00044884i,-0.00065561+0.00058724i,-0.00079772+7.1354e-05i,-0.00020039-6.2857e-06i,0.00042244+0.00032305i,0.00044849+0.00095778i,0.00076191+0.00067724i,0.00084957+0.00021607i,0.00034729-1.4905e-05i,4.9983e-05-0.00031737i
0.0034447+0.00089236i,0.0039001+0.00010561i,0.0028109-0.00089832i,0.0011256-0.0018579i,0.00052536-0.0014603i,0.00061899-0.0004338i,0.0014439-0.00037864i,0.0014122-0.0003688i,0.00020377-0.00086774i,-0.00051008-0.00080467i,-0.0005107-6.4392e-05i,-0.00078415+0.00052109i,-0.00065142+0.00061706i,-0.0005453+0.00066049i,-0.00065616+0.00043967i,-0.00063064-7.3981e-05i,-0.00062691-0.00025969i,0.00014771-2.0801e-05i,0.00034844-6.9273e-05i,-7.2976e-05+0.00024629i,0.00043425+0.00066465i,0.00090728+0.00035147i,0.00066015+0.00018432i
0.00085626-0.00085305i,0.00087919-0.0017958i,0.00025061-0.0038541i,-0.00012059-0.003004i,-0.0010628-0.00111i,-0.0013137-0.00053623i,-0.00030963-6.616e-05i,0.00061313+7.6866e-05i,0.00088813-3.5421e-05i,-0.00010591-0.00032939i,-0.00074383+0.00012669i,-0.0011766+0.00018243i,-0.0016474+1.2604e-05i,-0.00026979+1.1509e-05i,0.00074936-0.00016767i,0.00035446-0.00020001i,0.00096825-0.00051397i,0.001528-0.00074267i,0.00084396-0.00050085i,4.2213e-05-0.00026166i,-5.8941e-05-0.00011886i,3.041e-05+0.00036689i,-0.00029388+0.00071376i
-0.00068286-0.00036126i,0.001764-5.1376e-05i,0.0025908-0.00053215i,0.0017087+0.00021153i,0.0012596+0.00059109i,0.0010023+0.00015618i,0.00095295+0.00050433i,0.0015347-4.3484e-05i,0.001266-0.00029462i,0.00090153+0.00020905i,0.0009931+0.00022327i,0.00054946+0.00036381i,8.7181e-05+0.00012913i,-0.00020004-0.00031978i,-6.7163e-05-0.00033391i,-0.00019217-0.0008475i,-0.00017278-0.00042106i,-0.00032688+0.00050919i,-0.0011064-0.00013913i,-0.00098291-0.00073226i,-5.7607e-05-8.2954e-05i,0.00037427+0.00034983i,8.5502e-05-0.00011613i
-0.0021259+0.0038407i,-0.0020557+0.004054i,1.4807e-05+0.0030714i,0.0017872+0.0022688i,0.0020567+0.0012489i,0.0015814-0.00021461i,0.0015357-0.00020781i,0.0011907+0.00044744i,0.00035498+0.00031233i,0.0003278+0.00024504i,0.00086372+0.00013703i,0.0010173+0.00011531i,0.00045055-0.00038437i,9.639e-05-0.0012005i,6.6231e-05-0.0014792i,0.00029085-0.0014404i,8.4598e-05-0.0015527i,0.00044406-0.001017i,0.00098282-0.00016385i,0.00068856-5.8065e-05i,0.00018797-5.658e-07i,-0.00024025+0.0003578i,0.00015262+0.00079017i
-0.00067054-0.00027659i,-0.00063306-0.00069761i,-0.00032766-0.0015612i,1.8505e-05-0.0019441i,0.00087793-0.0008445i,0.0013198+0.0002562i,0.0012452-0.00019561i,0.00073057-0.00010465i,-0.00026886+0.00051954i,-0.00053239+0.00016511i,-0.00074956-0.00054493i,-0.00093697-0.00033544i,-0.00058388-0.00025605i,0.00039508-0.00090517i,0.00072263-0.001501i,0.0003752-0.00081948i,0.00013755-1.6149e-05i,-4.9651e-05-0.00026637i,0.00015367-0.0010149i,0.00070625-0.0010238i,0.00074438-0.00071811i,0.00075787-0.00080594i,0.0011574-0.00035113i
0.0021453+0.00078151i,0.0039251+0.00098767i,0.0033249+0.0015107i,0.0019559+0.0012802i,0.0011327+0.0010517i,0.0007414+0.00024112i,0.00080514-0.00049227i,0.00018458+1.412e-05i,-0.00042929+0.00098977i,-3.3248e-05+0.00096836i,0.00032805+0.00025774i,-0.00045037-0.00019152i,-0.00047284-0.0002502i,0.00019233+0.00013497i,0.00029068+0.00019132i,0.00015494-0.00034854i,-5.9956e-05-0.00079598i,-0.00010566-0.00027241i,0.00053+0.00061296i,0.001012+0.00079523i,0.00067224+0.00089058i,5.8345e-05+0.00043905i,0.00060814+0.00012318i
0.00058+0.00010051i,0.00020019-0.00063689i,-0.00080464-0.00137i,-0.00059439-0.001794i,-0.00033954-0.0019633i,0.00014814-0.0011251i,0.0017319-0.00087583i,0.0023139-0.0014636i,0.00095699-0.0012743i,-0.00034781-0.00050237i,-0.00030618+0.00069184i,0.00015438+0.0006988i,0.00052317+0.00060617i,0.00055606+0.00052909i,0.0001402+0.0006085i,0.00014605-0.00016573i,0.00050609-0.00086171i,0.00066846+2.8569e-05i,0.000863+0.00026764i,0.00026165+0.00047996i,-0.00064157+0.0004181i,-0.00086738-1.0503e-06i,-0.00014366-0.00044499i
-0.0013185-0.0021948i,-0.00087821-0.0023473i,-0.00031061-0.0009879i,-4.6652e-05+0.00030577i,0.00095545+0.0010116i,0.0021788+0.00089622i,0.0021878+0.00012409i,0.0018082-0.00020208i,0.00099007+0.00042938i,4.8178e-05+0.00085737i,-0.00012699+0.00022639i,-0.0002674-0.00041699i,-0.00074197-9.0437e-05i,-6.5064e-05-0.0002716i,0.00061295-0.00099548i,0.00074119-0.00061934i,0.0010306+5.8579e-05i,0.00060507+0.00027273i,0.000435-5.3698e-05i,-9.9234e-05-0.0005305i,-0.00091709-0.00044248i,-0.00070881-0.00017043i,-0.00031346+0.00010235i
0.001421+0.0023179i,0.0014624+0.001177i,0.0014646+0.00014281i,3.8517e-05-0.00035107i,-0.0016009-0.00084534i,-0.0016907-0.00034267i,-0.0004625+0.00018171i,0.00044533+2.3414e-05i,0.00085045-0.00034054i,0.0013452-0.00010984i,0.00044168-2.2998e-05i,-0.00088987-0.00048513i,-0.00091076-0.0010325i,-0.0004389-0.00044661i,-7.0873e-06-0.00010181i,-0.00042928-0.00039278i,-0.00066395-0.00017008i,-0.00032678+4.3481e-05i,6.1326e-05-0.00012637i,0.00013082-0.00012579i,0.00025735-0.0004575i,0.00012793-0.00042996i,7.2921e-05-0.00031619i
0.00017158+0.00057932i,-0.00065739+0.00093493i,-0.00081105+0.00066036i,0.00034853+0.00082026i,0.00086693+0.00067402i,0.00076123-2.4226e-05i,0.00029812-0.00059991i,0.00018086-0.0010821i,0.00075195-0.0014004i,0.00079704-0.0006571i,5.1634e-05-0.00029295i,-0.00022942-0.00020994i,-0.00044404+7.0261e-05i,0.00037-0.0004957i,0.0010999-0.00026289i,0.00023298+0.00017513i,-0.00016423+0.00044844i,-0.00048268+0.00059368i,-0.0011509+0.0007014i,-0.00094155+0.00084974i,-0.0001997+0.0003116i,0.00062694+0.00026468i,0.00096148+0.00036177i
-0.00097324+0.0016651i,0.0005789+0.0013782i,0.0012261+0.00078973i,0.0014989+0.00092146i,0.0014224+0.00085476i,0.00092645-0.00098735i,0.0011504-0.0019585i,0.00096275-0.0011536i,0.00026511-0.00049883i,0.00031342+9.7062e-05i,0.00014538+0.00045615i,-0.00022608-0.00023384i,9.9718e-05-0.00029833i,0.00026399-0.0005098i,0.00056364-0.0013388i,0.00074984-0.001306i,0.00071765-0.00096405i,0.00059706-0.00081118i,-6.7854e-05-4.7457e-05i,-0.00055008-0.00020297i,0.00019667-0.00086407i,0.00055268-0.00058727i,0.00027832+0.00011566i
0.0029586-0.0001482i,0.0037474-0.0005873i,0.0040501-0.0017613i,0.0020257-0.0013251i,-5.828e-05-0.00042461i,0.00022932+0.00016599i,0.00085721+0.00028685i,0.00039628-2.4943e-05i,-0.00024641+0.00019907i,-0.00054113+0.00054382i,-0.00086849+0.00086933i,-0.00069417+8.6159e-05i,-0.00058126-0.00019438i,-0.0005107-0.00017196i,0.00010462+0.00024314i,0.00043362+0.00033748i,0.00042553-0.0003831i,0.00024245-0.00035218i,0.00016921-0.00038713i,-0.00033899-3.0496e-05i,-0.00034271+0.00031268i,0.00031583+0.0004104i,0.00058312+0.00027815i
-0.00010865+0.0014905i,-0.0005945+0.00081254i,-0.00074511+0.00013018i,-0.00017804+1.51e-05i,0.00058302-0.00051078i,0.00057965-0.0014327i,0.0013728-0.0015293i,0.0019122-0.00047845i,0.0017368-0.00027387i,0.0010989-0.00066308i,0.00072647-0.0010707i,0.00016841-0.00097268i,-0.0013519-0.00023663i,-0.0011695+0.00039636i,-0.00064134+0.00011112i,-0.00076036-0.00026416i,-0.00022769-0.00028062i,-0.00011109-0.0010665i,-0.00032305-0.0015162i,-0.00024653-0.00059939i,8.9055e-05+0.00041734i,0.00063145-0.00021952i,0.00066828-0.0013977i
0.0008451-0.001124i,0.0023049-0.0011679i,0.0023474-0.0013138i,0.0012808-0.0016849i,0.00014238-0.00097198i,0.00046346-0.00028543i,0.0012363-6.6146e-05i,0.00099925+0.00012873i,-6.804e-05+0.00039119i,-0.00050446+0.0004989i,-7.497e-05+0.00055585i,-0.00056943+0.00084165i,-0.0011308+0.0011261i,-0.00014706+0.0012096i,0.00012199+0.00079572i,-1.2939e-05+0.00011626i,0.00020096-0.00077662i,8.746e-05-0.00038862i,-0.00019865+0.00081526i,-0.00046836+0.0011276i,-0.00082652+0.00017417i,-0.0005658-8.0099e-05i,4.7331e-05+0.00055434i
0.0024149+0.0017838i,0.0024533+0.0014733i,0.0032214+0.00056579i,0.0026781+0.00024676i,0.0010462+0.00069653i,-0.00013784+0.00055349i,-0.00018463-0.00010858i,0.00046568-0.00018889i,1.2201e-06-0.00028047i,-0.00075884-0.00037309i,-0.0006631-0.00021069i,-0.00049148+2.2682e-07i,-0.00018619-0.00049246i,-3.0708e-06-0.00044171i,-0.0010325-0.0007587i,-0.0012608-0.00097488i,-2.9847e-05-0.00042896i,0.00022885-0.00026627i,0.00044959+1.8293e-05i,0.00097137+0.00089522i,0.00067355+0.0010035i,0.00077739+5.6163e-05i,0.0005879-0.00058764i
-0.0013028-0.00079549i,-0.0021473-0.00035837i,-0.0012579-0.00025125i,-0.00063518-0.00011423i,-0.00016384-0.00064395i,0.0006325-0.00058724i,0.00088309-4.71e-05i,0.00048336+0.00035469i,0.00029033+0.0007729i,-0.0001936+0.00096949i,-0.00059015+0.00072817i,-0.00068166+0.00075195i,-0.000148+0.00037693i,0.00045448-3.345e-05i,0.00019817+2.725e-05i,-2.0604e-05-0.00024628i,-0.0002236-7.1334e-05i,-0.00026551+0.00053612i,-0.00032028+0.00017434i,-0.00046321-0.00062696i,-0.00015088-0.00030452i,0.00060534-0.00043886i,0.00047099-0.0011347i
0.0016959-0.0001329i,0.00258-0.0013185i,0.0025222-0.0010274i,0.00098778-0.0015748i,0.00033454-0.0022677i,-3.5505e-05-0.00084329i,-0.000244+0.00077014i,0.00016953+0.0015246i,0.00014433+0.0010172i,-0.0001801-0.00026202i,-6.6784e-06-0.0011652i,-0.0005999-0.0021518i,-0.0012293-0.0016185i,-0.0013086-0.00042685i,-0.00092715-0.00080655i,-6.9528e-05-0.00030119i,0.00072927+0.00057196i,0.00095927-9.1989e-05i,0.00045902-0.00088211i,0.00020188-0.0001075i,0.00010665+0.00099528i,8.5868e-05+0.00089297i,-5.9636e-05+0.00022987i
0.0015796+0.00015125i,0.0025884+0.00038853i,0.0010626-0.00081379i,-0.0015555-0.0010884i,-0.0019554+0.00026091i,-0.0005936+0.00036918i,0.0005421-0.0005846i,0.00082404-0.0011854i,0.00054873-0.0019154i,-0.00038588-0.0018165i,-0.00042768-0.0002975i,0.00021827+0.00070268i,-0.00011619+0.00086625i,-0.00076793+0.00076823i,9.6441e-05+0.00019494i,0.00078579-0.00039939i,0.00025258-0.0005422i,0.00058367-0.00053473i,0.0013959-0.00037479i,0.0012468-0.00020108i,0.00082386+0.00013629i,-5.3504e-05+0.00060606i,-0.00035384+0.00079473i
-0.00034504+0.0024964i,-0.00080244+0.00034288i,-6.9266e-05-0.0014359i,0.0013879-0.0018746i,0.0018366-0.0023633i,0.0020086-0.0012354i,0.0013561-0.00038996i,0.00064191-0.00010342i,0.00044115+0.000775i,-0.00039804+0.0015836i,-0.00124+0.00081724i,-0.0008559-0.00043311i,-0.00045051-0.00087669i,-0.00032819-0.0011637i,-0.00028188-0.0017304i,-0.00046349-0.0011283i,-0.00070333-0.0003173i,0.00025626-0.00010781i,0.0010609+0.00046798i,0.00040071+8.8113e-06i,0.00069712-2.7076e-05i,0.0010378+0.00032955i,0.00030703-9.5719e-05i
0.0023007+0.0012127i,0.0042063-0.00051398i,0.0044933-0.0023341i,0.0028622-0.0028546i,0.0013658-0.0019275i,0.00023771-0.00040774i,0.00044405+0.00070473i,0.0015587+0.0014727i,0.0012878+0.0012741i,0.00071515+0.00044196i,0.0011569+0.00086952i,0.00041089+0.00064174i,-0.00046841+0.00017377i,-0.00081818+0.00035005i,-0.00037833+7.6597e-05i,0.00053802-0.00026397i,0.0002897+0.00013452i,-0.00046723+0.00041979i,-0.0002578+0.00085565i,-0.00025532+0.00084043i,-2.8586e-05-0.00010601i,0.00095665-0.00035871i,0.0010842-0.00065929i
0.0012305+0.0023265i,0.0027941+0.0035493i,0.0025908+0.0036593i,0.001553+0.0018095i,0.00072618+0.00084664i,0.00050006+0.00031889i,0.00055174-0.00059762i,0.00061474-0.00086041i,0.00060206-0.0003798i,-0.00019238-0.000607i,-0.00037136-0.001033i,0.00033848-0.00043723i,0.00054041-5.1305e-05i,-8.7191e-05-0.00038089i,0.00018609-0.00018547i,0.00061486-0.00016739i,0.00057562-0.00021972i,0.00067176+0.00028459i,0.00022795+0.0011589i,-0.00029104+0.0016844i,-0.00057799+0.0010571i,-0.00082496+6.407e-07i,-0.00029847-0.0003766i
-0.0029448-0.0037885i,-0.0039336-0.0037556i,-0.0056267-0.0032887i,-0.0039329-0.0022112i,-0.00025707-0.00016402i,0.001408+0.0010044i,0.00072535+0.000964i,-5.4084e-05+1.7842e-05i,-0.0006126-0.0007537i,-0.0013364+7.9014e-05i,-0.0014242+0.0012425i,-0.00074796+0.00081008i,0.00041538+0.00042389i,0.0013182+0.00014029i,0.0015411-0.0006603i,0.00089562-0.0017464i,-0.00024444-0.0011343i,-0.0011001+0.00016661i,-0.00068459-0.00011681i,-0.00058839-0.00075329i,-0.00084314-0.00059073i,-0.00012289-0.00045397i,0.0004685+9.3624e-05i
0.0023295-0.00072394i,0.0029525-0.0010483i,0.0030817-0.0021484i,0.001953-0.0023011i,0.00038798-0.0019837i,0.00018113-0.0018741i,0.0010621-0.0008778i,0.0012171+0.000309i,0.00045898+0.00020802i,-0.00010593-0.00045606i,-0.0003575-0.00070096i,-0.00096858-0.00040293i,-0.00086756+0.00013001i,-2.8957e-05+1.0855e-05i,-1.9712e-05-9.3482e-06i,-0.00041382+0.0005271i,-0.00073033+0.0008344i,-0.00089391+0.0001626i,-0.00026847-0.00070551i,-0.00035386-0.00036606i,-0.00090914+0.00017073i,-7.9589e-05+0.00031212i,0.0002506+0.00087283i
0.0012466+0.0025764i,0.002023+0.0038656i,0.002295+0.0038168i,0.0012182+0.0020301i,0.00012868+0.001206i,0.00033743+0.0015111i,0.00077923+0.00084841i,0.001482-0.00019129i,0.00096931-0.00047555i,-1.8887e-05-0.00022241i,-0.00045678+0.00012529i,-0.00088456-0.0001403i,-0.00084468-0.00027669i,-0.00036256-0.00038842i,0.00044871-0.00047277i,0.00069616+0.00012865i,0.0011669+0.000339i,0.0011401-0.00020805i,0.00056897-0.00097978i,0.00072262-0.00096996i,0.00032152+0.00041133i,-0.00066529+0.00089886i,-0.00081668+3.7196e-05i
-0.0037715-0.002482i,-0.0040496-0.0026388i,-0.0038696-0.00053483i,-0.0021335+0.0010704i,-2.6761e-05+0.0007573i,0.0016443-0.00036763i,0.0019514-0.00047134i,0.00081339-0.00036311i,7.1376e-05-0.00047576i,3.9783e-05-0.00056523i,0.00026393-0.00071258i,0.00014336-6.1198e-05i,0.00019205+0.00029814i,0.00015697+1.9141e-05i,0.00029529-0.00076979i,0.00024248-0.0016177i,-1.7917e-05-0.0017088i,-8.9333e-05-0.0004814i,0.00022645-0.00032951i,0.00064823-0.00044458i,0.00013171+0.0002998i,-0.00035308+0.00071787i,-2.053e-05+0.00084845i
0.00089256-0.00069562i,0.0024172-0.002609i,0.0017221-0.0037529i,0.00090091-0.0033364i,0.0011849-0.0021308i,0.00084012-0.00077556i,7.0935e-05+0.00025165i,3.842e-05+0.00021473i,-0.00040915+0.00011481i,-0.0010132+0.00029075i,-0.00075684+9.5341e-05i,8.3712e-05-0.00071273i,0.00063235-0.0013487i,0.00055128-0.001583i,-0.00010418-0.001921i,-0.00011963-0.0011257i,-0.00029148-0.00047659i,-0.00062582-0.00031145i,-0.00042965+0.00015161i,5.9891e-05+0.00056065i,-1.6067e-05+0.0013067i,-0.00038031+0.0013771i,2.3537e-05+0.00059136i
0.00076257+0.0031047i,0.00063356+0.0050657i,0.0010219+0.005762i,0.00098088+0.003732i,0.0001195+0.0020043i,0.00063833+0.0017609i,0.0012627+0.00097875i,0.00079144+0.0013751i,0.0003971+0.0018882i,0.00023472+0.00088684i,-1.6891e-05+7.4837e-05i,7.2477e-05-6.9898e-06i,0.00014711+0.00051273i,0.00053524+0.00069808i,0.00046712+4.0501e-05i,0.00028435-6.6042e-06i,0.00025932+0.00013259i,-0.00029164+1.858e-05i,-0.00024275+0.00052185i,-2.473e-05+0.00054554i,-0.00046613-0.00011332i,-0.00018914-0.00034578i,0.00010765-0.0007423i
-0.0018195-0.00063135i,-0.0026947-0.00018934i,-0.0032581+0.0012195i,-0.0020917+0.0020229i,0.00048416+0.00075899i,0.0019458+2.7984e-05i,0.0019175+0.00030821i,0.0015249-0.00037452i,0.00020599-0.0010544i,-0.00025353-0.00062322i,1.0083e-06-0.00024835i,-0.00030684-0.00014625i,-0.00017314-0.00036425i,0.00017187-0.00049944i,0.00021338-0.00056809i,0.00076336-0.00061629i,0.0007325+0.000149i,-4.5339e-05+0.00044177i,-0.00018079-5.9379e-05i,-0.00078506+0.00026423i,-0.00061205+0.00046259i,0.00047457+0.00043885i,0.00083501+0.0011239i
-0.0015278-0.00052729i,-0.00082236-0.0013564i,-0.0010067-0.0026443i,-0.0005096-0.0020022i,0.00031521-0.0009598i,0.0020414-0.00031683i,0.0027591+2.5834e-05i,0.0015788-0.0007265i,0.00050228-0.0010374i,-0.00045665-0.00044021i,-0.00069696-0.0013429i,0.00048197-0.0013898i,0.00050346-0.00065181i,0.00036909-0.00042869i,0.0009621+0.0005487i,0.00021943-0.00012526i,0.00023335-0.0012179i,0.00051706-0.00075186i,-8.4956e-05-0.00046418i,-5.116e-05-0.0010865i,0.00039032-0.00080792i,0.00041877+8.9846e-05i,0.00053331+0.00067738i
-0.00069909+0.00097976i,0.0018363+0.0016831i,0.0033139+0.00099372i,0.002969+9.7905e-05i,0.0022613+0.00018143i,0.0018022+0.0011405i,0.0013663+0.00094962i,0.00067002+0.00063154i,0.00056082+0.00091548i,0.00083495+0.00019254i,0.00099693-0.00021634i,0.00011846+0.00048653i,-0.00075792+0.00019693i,0.00021623-0.0006312i,0.00034631-0.00075226i,-0.000687-8.094e-05i,-0.00096765+0.00039763i,-0.00081143-0.00024765i,-4.3365e-05-0.00024805i,-0.00029012+0.00029536i,-0.00087778+0.00054028i,-0.00055147-0.00025484i,0.00011355-0.00098782i
0.00021035+0.00054987i,0.00018283+0.0013306i,8.5809e-05+0.0021821i,0.001116+0.002251i,0.0018335+0.00093055i,0.0011495-0.00015688i,0.0012379-0.00013233i,0.0013925+0.00029227i,0.00097638-6.2861e-05i,0.00068125-0.0002055i,0.0004429+0.00048657i,0.00028252+0.0001687i,0.00025532-0.0003729i,-8.9721e-05-0.00083099i,-0.0003177-0.0016372i,-0.00017675-0.0012103i,-0.00048659-0.00023059i,-0.00024177+0.00032668i,-0.00026085-0.00033327i,-0.00031847-0.00065133i,-0.00026968+0.00038218i,-0.00019673+0.00021873i,0.00031606-0.00052355i
