-0.0047643-0.00026433i,-0.0043888+0.0013897i,-0.0031147+0.0029912i,-0.0015295+0.0030978i,-2.2944e-05+0.0030159i,0.001059+0.0020785i,0.00089037+0.0014584i,0.00032443+0.001699i,1.1237e-05+0.0013582i,0.001502+0.00039956i,0.0026076-0.00044057i,0.0020617-0.00058777i,0.0017181-0.00060361i,0.001472-0.0016775i,0.0014027-0.0030495i,0.0010001-0.0024898i,-0.00030346-0.0015884i,-0.0011393-0.0010915i,-0.0012697-0.00069498i,-0.000943-0.00019743i,-0.0010824+0.00059455i,-0.0013188+0.00093105i,-0.00067992+0.00080709i
0.00054936-0.00021978i,0.00035695-0.00073119i,0.00037205-0.0013493i,-0.0003553-0.0012804i,-0.00044409-0.00032938i,0.00085763+0.00014788i,0.0013592+0.00044936i,0.00045719+0.00089507i,-0.00045558+0.00079813i,-0.00022382+0.00068553i,0.00041603+0.00012896i,0.0007953-0.00030848i,0.00078869+0.00025416i,0.0004416+0.00042899i,-0.00021767-0.00022794i,-0.00058545-0.00081762i,-0.00077944-0.00075926i,-0.00022996-0.00023936i,0.00034725+0.00041108i,0.00028885+0.00027576i,4.2286e-06+0.0006409i,-8.0746e-05+0.001044i,-0.00030456+0.00063603i
-0.00030929-0.0010014i,-0.00053345-0.0019228i,-0.0012953-0.0021945i,-0.0016932-0.0016364i,-0.0017735-8.1267e-05i,-0.0009102+0.0009364i,-0.00026967+0.00044153i,-7.8486e-05+0.0001311i,0.00016189+0.00018946i,0.00039178+0.00016861i,-0.00044379+0.0012156i,1.0774e-05+0.0014266i,0.00087032+8.2582e-05i,0.00069516+0.00017903i,0.00097259+0.0012154i,0.00080926+0.00091346i,0.00020347-0.00024998i,-0.0005277-0.00064581i,-0.00080395+0.00010441i,-1.9928e-05+0.0010345i,0.00047186+0.00064881i,0.00022391+0.00019137i,-0.00034812+0.00023933i
-0.00092785-0.00041514i,-9.4469e-05-0.0013292i,0.00034078-0.0030291i,0.00016887-0.0021529i,-0.00030518-0.00010552i,-0.00071188+0.00087531i,0.00036357+0.0011136i,0.00094266+0.00090779i,-0.00030714+6.0487e-06i,-0.0009928-0.00044126i,-0.00082383-0.00016113i,-0.00054878+0.00023953i,-0.00051905+1.8669e-05i,0.00027539-0.00031557i,0.0010309+2.4951e-05i,0.00067713+0.00019955i,0.00016136+0.00017563i,2.6246e-06+0.00018315i,0.0001401+9.4027e-05i,0.0003475+6.3964e-05i,9.9858e-05+1.0713e-05i,4.9709e-05-0.00042233i,0.0001086-0.00043925i
-0.001209-7.4451e-05i,-0.0011185-0.0012413i,-0.00095415-0.0013702i,-0.0010475-0.0003952i,-0.0001527-0.00038829i,0.00090673-0.00044971i,0.00076183+0.00034055i,0.00031063+0.0010847i,-0.00014112+0.00089719i,-0.00039749+0.00026524i,0.00025226+0.00025846i,0.0012803+0.00026613i,0.0017287-0.00013528i,0.0012128-0.00013796i,0.0004217-0.00027238i,0.00012841-0.00032984i,0.001095+1.3459e-05i,0.00093918+0.00016617i,-0.00044584-0.0002769i,-0.00025226-0.00043265i,0.00018404-0.00021015i,-3.975e-05-0.00042511i,0.00025363+0.00010991i
0.00079416-0.0013528i,-0.0001888-0.0011497i,-0.00082878-0.0016537i,-0.0005566-0.0016052i,-0.00085725-0.00059584i,-3.0235e-06+0.00080712i,0.00017038+0.00061783i,-0.00021993+0.00057152i,0.0001366+0.00079408i,3.4995e-05+0.00069748i,0.00022146+0.00046597i,-0.000167+0.00029449i,-0.0002276+0.00031181i,-2.9587e-05+0.00014455i,0.00029772+0.00036365i,0.0010078+0.00029586i,0.00057642+9.714e-05i,0.00019185+0.0004721i,0.00047034+0.00070701i,-4.0744e-05+0.00032926i,-0.0003574-0.00067i,3.8475e-05-0.00096876i,0.00043489-2.3785e-05i
5.5397e-06+0.00088866i,0.00022404+2.4894e-05i,0.0005638-0.0016391i,3.5154e-05-0.0019619i,0.00047228-0.0017504i,0.00087718-0.00033378i,0.00036155+0.0012144i,0.00010762+0.0011033i,-0.00048295+0.0007684i,-0.00042504+0.00054046i,-2.3485e-05+0.00024029i,-0.00026259-0.00018074i,-0.00016945-0.00059471i,0.00027893-7.7059e-05i,6.6556e-05+0.00028015i,2.4922e-05-0.00024247i,0.00051386-0.00061952i,-5.6657e-05-0.0011648i,-0.00060926-0.00096897i,0.00030289-0.00030883i,0.0011463-0.00024656i,0.0010082-0.00018835i,0.00068392-0.00037523i
-0.0011617-0.0011934i,-0.00081239-0.0014143i,-0.00051457-0.0024178i,-0.0011178-0.0029518i,-0.0017285-0.00092254i,-0.00029304+0.00081758i,0.00082616+0.001195i,-6.8381e-05+0.00075374i,8.3777e-05+0.00029101i,0.00089358+0.0007129i,0.0006337+0.00060776i,0.00020096+0.00038312i,0.00048096+0.0006492i,0.001081+0.00064693i,0.001095+0.00038967i,0.00085416+0.00014078i,0.0011638-0.00030662i,0.00080483-6.9863e-05i,-0.00035926+0.00078565i,-0.001024+0.00094166i,-0.00048184+0.00057988i,-3.4015e-05+2.823e-05i,0.00030281-0.00027178i
0.0010145-0.00079206i,0.0018254-0.00026111i,0.00055224-0.00034896i,-0.00073323-0.00061747i,-0.00069376-0.0006445i,8.7308e-05-0.0010828i,0.00063766-0.00062716i,0.00037213+0.00064324i,6.7119e-05+0.00057988i,4.0973e-05-0.00025778i,-0.00024696-8.4333e-05i,-3.3737e-05-0.00077432i,0.00018262-0.0016461i,0.0002058-0.00036862i,0.00036827+0.00018541i,9.3335e-05-0.00037091i,-0.00056211-0.0005642i,-0.00092617-0.0001562i,-0.00060978+0.00042909i,-0.00040737-0.00020333i,6.4851e-06-0.00062898i,-0.00031208-0.00040219i,-0.0002936-0.00026874i
0.0013163-0.00073024i,0.00080333-0.0022428i,-0.00025721-0.0026947i,-0.0010026-0.0022543i,-0.0010052-0.00083695i,-0.00024927+0.00097463i,0.00034838+0.0014349i,-0.00033067+0.00082165i,-0.0010207+0.00064057i,0.00021547+0.00086755i,0.0012921+0.0013597i,0.0009638+0.000991i,0.00047432+0.00073854i,-0.00023428+0.0008024i,-0.00041258+0.00082642i,-0.00049039+0.00079199i,-0.00061265+0.0011619i,-0.00044826+0.0010906i,-0.0001048+0.00043971i,-2.265e-05+0.00062704i,9.8414e-05+0.00082319i,0.00048657+0.00043195i,0.00035718+3.5458e-05i
0.00020445+0.00012776i,0.0006302-0.00010649i,0.0010917-0.0013735i,0.00066283-0.0021815i,0.00092267-0.0019339i,0.00073032-0.00052751i,4.7151e-05+0.00036195i,-0.00041728+0.00054412i,-0.0007743+0.00017312i,-0.00076534-0.00043276i,-0.00039759-5.2436e-05i,-3.2084e-05+0.00013234i,-0.00068076-0.00030923i,-0.00018713-0.00025759i,0.0002759-0.00017094i,-7.8615e-05-0.0002106i,-0.00070188+0.00020218i,-0.00078406-9.4872e-08i,-0.00044529-0.00059043i,-5.4754e-05-0.00062418i,-0.00042664-0.00010541i,-8.6985e-05-0.00042196i,0.00031021-0.0012802i
