-7.2611e-05+0.0010078i,0.00060496+0.0012627i,0.00095607+0.00063805i,0.00096987-0.0006776i,-0.00011345-0.0016644i,-0.00083534-0.001374i,-0.001318-0.00065466i,-0.0014291+7.3084e-05i,-0.00096508+0.00023049i,-0.00029308+0.00013541i,0.00026522-0.00018506i,0.00034764-0.0005939i,7.0958e-05-0.00072881i,-0.00018295-0.00081061i,-0.00034128-0.00065121i,-3.1423e-06-0.0010966i,-9.1669e-05-0.0010382i,-0.00093513-0.00092021i,-0.0013705-0.00081106i,-0.0012104+0.00010884i,-0.00050716+0.00021939i,-0.00076383-0.0003953i,-0.0011529-0.00096477i
0.00077892-0.00059914i,0.0011181-0.00080118i,0.0014731-0.0012458i,0.0012026-0.0017276i,0.00013983-0.0015552i,-0.00098031-0.0007419i,-0.0011688+0.00040457i,-0.00074838+0.00095362i,-3.6133e-05+0.00047856i,0.00058059+0.00034097i,0.00034578+0.00096991i,-0.00027592+0.0011469i,-0.0010165+0.00073026i,-0.0015549+0.00037304i,-0.00075104-0.00050142i,-0.00040773-0.00077204i,-0.0004625+0.00018913i,-0.00062902+0.00026252i,-0.00021371-5.1654e-05i,0.0002859+0.00066434i,0.00013508+0.00070868i,0.00014448+6.081e-05i,0.00016449+8.2603e-05i
-0.0028215-9.001e-05i,-0.0012104+0.00026586i,-0.00075728+0.00099978i,-0.0013028+0.00047519i,-0.0013243-0.00014134i,-0.001044-0.00032161i,-0.0011638-0.00023208i,-0.00062773+0.00035931i,-0.00065591+0.0010113i,-0.0007638+0.0014749i,-0.0006937+0.0015342i,-0.00051858+0.00058298i,2.7932e-05-0.00059734i,0.00054787-0.0016161i,0.00074376-0.0018166i,0.00013061-0.00099361i,-0.00048816-0.00052666i,-0.00022097-0.00068337i,-0.00017151-0.00094106i,-0.00022477-0.00082519i,5.2861e-05-0.00071107i,0.00010044-0.00032887i,-0.00057166+0.00039373i
-0.00035581+0.00026773i,-0.0011473+0.00040323i,-0.00092999+0.00095112i,0.00031012+0.00099037i,0.00017968+0.00020197i,-0.0012962-0.00024012i,-0.0016479-0.00032886i,-0.0008199+0.00053117i,-0.00084057+0.0015578i,-0.00043126+0.0016307i,0.0005651+0.0011532i,0.00090338+0.00022472i,0.00087745-2.0636e-05i,-8.9674e-05-9.4835e-05i,-0.00039699-0.00048086i,0.00037174-0.00037687i,0.00053207-0.00050005i,0.00094963-0.00048459i,0.00086973+0.0010112i,-0.00074922+0.0013889i,-0.0005043+0.00088881i,6.8414e-05+0.0010733i,6.3035e-06+0.0012322i
6.9073e-05+0.00018302i,0.00021546+0.00024729i,0.0012935+0.0002575i,0.0014935-0.00099394i,-0.00031874-0.0015904i,-0.0017621-0.00070027i,-0.0014089-0.00030309i,-0.00086246+0.00020412i,-0.000412+0.00098403i,-3.9247e-05+0.00085488i,-3.3228e-05+0.00038234i,-0.00016031+0.00018306i,-0.00042123+0.00015731i,-0.00059723-0.00027122i,-0.00069308-0.00062578i,-0.00049691-0.00055354i,-0.00013383-0.00036131i,0.00012009+0.00011635i,5.8911e-06-1.0008e-05i,-0.00068181-0.00043584i,-0.00068269+5.5466e-05i,0.00022035-0.00020566i,0.00051139-0.00057906i
0.00066822+0.0011375i,0.00071498+0.0016413i,0.00061987+0.0012156i,-8.1038e-06-0.00094773i,-0.0010741-0.0023721i,-0.0022082-0.0019938i,-0.0025875-0.00033774i,-0.0017337+0.00062362i,-0.00078268+0.00078243i,-0.0005255+0.00052489i,-0.00026909+0.00019462i,-0.0001526+0.0005693i,-0.00037212+0.00067939i,-0.0011648+0.00012331i,-0.0013232-0.00031404i,-0.00071641-3.1032e-05i,-4.3917e-05-0.00017157i,6.117e-05-0.00026983i,-0.00028541+0.00066104i,-0.0002627+0.00077731i,-0.00056058+0.00029628i,-0.00021021+0.00023533i,-2.5936e-05+0.00064566i
0.0014273+0.0006791i,0.002364+0.00043169i,0.0013789-0.00093616i,-0.00050308-0.0019061i,-0.001218-0.0012634i,-0.0012216+4.059e-05i,-0.0012736+0.0008078i,-0.00053118+0.00080602i,8.4034e-06+0.00032632i,-0.00024524+0.00011349i,-0.00019689-2.027e-05i,-0.00014239+0.00024843i,-0.00066082+0.00042955i,-0.00060728+0.00055762i,-0.00094732+0.00047575i,-0.00086702-7.2181e-05i,-0.0001457-0.0010701i,-0.00028027-0.00089364i,-0.00029306-0.00014422i,0.00021065-0.00033088i,0.00057833+6.6703e-06i,0.00060242-7.8664e-05i,6.2802e-05-0.00079882i
-0.001186-0.0014213i,-0.00086512-0.00078703i,-0.00026517-0.00078856i,6.8007e-05-0.0011526i,-0.00011796-0.0015268i,-0.00021218-0.0011989i,0.00010565-0.00039911i,0.00016567-0.00018946i,0.00026853-0.00025417i,0.00018239+0.00011387i,0.00013286+0.00040823i,0.00027975+0.0002829i,-0.00010201+0.00063454i,-0.00031222+0.0011273i,2.0326e-05+0.0006503i,5.8699e-05-2.4825e-05i,-0.00016563-0.00025102i,-0.0010068-0.00050926i,-0.00076268-0.00049192i,-0.00037733+0.00051244i,-0.00070895+0.00023421i,-0.00056758-0.0005082i,-5.2027e-05+0.00016412i
-0.00075175+0.00092875i,-0.00028739+0.0008942i,9.5745e-05-0.00061297i,0.00026753-0.0015289i,-0.00052745-0.0015047i,-0.0013429-0.0013368i,-0.0021869-3.5392e-06i,-0.001713+0.0011277i,4.1129e-05+0.0016228i,-0.00019085+0.0016192i,-0.00041579+0.00093366i,5.1724e-05+4.9554e-05i,-0.00053718-9.0447e-05i,-0.00033936-0.00027517i,-0.00039099-0.0012118i,-0.0010186-0.0010219i,-1.715e-05-0.00031615i,0.0010857+1.359e-05i,0.00026136+0.00030902i,-0.00047533-0.00024436i,-1.9641e-05-0.00020799i,0.00036442+0.00028256i,0.00013753+0.00069157i
0.001003-0.0011785i,0.00010971-0.00043661i,-0.00088068-0.00018757i,-0.001605-0.00092139i,-0.00099968-0.0012708i,3.788e-05-0.00086458i,0.0003127-0.00035093i,-0.00012115+0.00049611i,-0.00011172+0.0010824i,-0.00030992+0.00092707i,-0.0009785+0.00082329i,-0.00090258+7.29e-05i,-0.00042598-0.00029168i,-0.00041947+0.00075666i,-0.0007806+0.00071642i,-0.00087135-7.4135e-06i,-0.001176+0.00010142i,-0.0011887+0.0003316i,0.00037612+2.8344e-05i,0.0014218-0.00042615i,0.00019084-0.000302i,-0.00085949+7.5937e-06i,-0.00038566-4.8273e-05i
