-0.0011347+0.00060208i,0.0001489-0.0010085i,0.00029973-0.0020328i,0.00028236-0.0016099i,7.9546e-05-0.00032438i,-0.00067704+0.0005392i,-0.00030081+0.00080566i,8.2312e-05+0.0012796i,-7.6328e-05+0.000919i,-3.1916e-05+0.00052105i,-0.00086864+0.00027167i,-0.0011231-1.508e-05i,-0.0013279-0.0003958i,-0.0013201-0.00094131i,-0.00077836-0.00071077i,-0.00098917-0.0003166i,-0.00037181-0.0011397i,0.00045665-0.0014371i,1.27e-05-0.00060346i,-0.000435+0.00027434i,0.00032678+3.8868e-05i,0.00086588+0.00021989i,0.00046852+0.00043457i
-0.00055761-0.00033871i,0.00024754+0.00029509i,-0.00014452+0.0009509i,-0.00090091+0.0012133i,-0.001378+0.0010344i,-0.0016407+0.00066817i,-0.00077103+0.0010046i,-0.00024264+0.00098628i,0.0002254-7.2214e-05i,0.000914-0.00053046i,0.0010232+7.7322e-07i,-0.00011702+0.00022167i,-0.00054592-0.00017076i,0.0001749+2.2153e-05i,-0.00040809-3.6538e-05i,-0.00055268+0.00029341i,0.00014203+0.00042853i,0.00026968+6.7978e-05i,-0.00025281-0.00061015i,-0.00022416-0.0009462i,0.00024177-0.0010414i,-9.7509e-05-0.00075289i,-0.00072696-0.00010516i
-0.0016903-0.000763i,-0.0028253-0.00071863i,-0.0033607-0.00038808i,-0.0025791-4.9961e-05i,-0.001151+8.3094e-05i,-0.00032229+0.00028343i,-0.00052808+0.00027669i,-0.00080009+0.00042899i,-0.0010717+0.0011511i,-0.00057848+0.0010387i,3.3818e-05+0.00012195i,0.00045636-0.00026209i,-0.00015966-0.0004172i,-0.00058985-0.00081797i,-0.00042761-0.00051337i,-0.00020057-0.00036622i,0.00033854-0.00025549i,0.00079837+3.3787e-05i,0.0012469+0.00056191i,0.00086452+0.0012209i,8.6083e-06+0.00060943i,-8.4618e-05-0.0004276i,0.00024612-0.00029421i
-0.00057404-0.00054113i,-0.00068498-0.00056392i,-0.0005374-0.00062838i,-0.0012888+7.7572e-06i,-0.0018506+0.0016461i,-0.00092817+0.0011425i,-0.00012363-0.00026497i,0.00052248-0.00059043i,0.0004486-0.00046425i,7.4282e-05-0.00013412i,-0.00024262-0.00080852i,-0.00029151-0.00042767i,-0.0001842+0.00033588i,-0.00052684-1.2587e-05i,-0.00076586-0.00046417i,-0.00025152-0.00013348i,0.0001946+0.00022744i,-0.00024552-9.4396e-05i,-0.00045108-3.3905e-05i,-6.417e-06+0.00031757i,0.00019469-0.00050863i,0.00013661-0.0009969i,-0.00047634-0.00016419i
0.00044717-0.00039112i,0.00082837-0.00051949i,-9.3459e-05-0.0008242i,-0.0011625-0.0012506i,-0.00077716-0.0012229i,-0.001296-0.00020767i,-0.0012205+0.00032211i,-0.00025861+0.00057631i,0.00022561+0.00033652i,0.00021428-0.00023662i,0.00024808-0.0003229i,0.00030559+0.00041133i,0.00016256+0.0010011i,-0.00072376+0.00090436i,-0.0003153+0.00014087i,0.0011657-0.00037857i,0.00077589-0.00053925i,7.612e-05-0.00025557i,-0.00023518-0.0005244i,0.00012388-0.00085258i,0.00047046-0.00047862i,0.00013806-0.00040464i,-0.00021878-0.00043927i
-0.00044825+0.00040319i,-0.0002811-0.00040924i,0.00011153-1.4031e-06i,-3.4845e-05-0.00068925i,0.00093255-0.00089706i,0.00053737-0.00076551i,-4.8564e-05-0.0010948i,0.00055065-0.00057855i,0.00018543+9.1825e-05i,0.0001947+0.00012363i,0.00016421+0.00019379i,-0.00049982+0.0001816i,-0.00079922-0.00064327i,-0.00091169-0.00073495i,-0.00061056-0.00010899i,-0.00032626-0.00038107i,-0.00013417-0.00093768i,0.00036868-0.001052i,0.000398-0.00054489i,0.00012995+0.00014007i,0.00026544-0.00049906i,0.0002038-0.0010512i,-0.00049831-0.0006352i
0.001348-0.0010658i,0.0013206-0.00066695i,0.00040791-0.00041911i,-0.0017997-4.4408e-05i,-0.0026872+0.00015517i,-0.0017205+0.00057582i,-0.0014028+0.00070083i,-0.0011747+0.00025328i,-0.00023357-0.00025268i,-0.0004017-0.0003109i,-0.00046946+0.00057011i,-0.000324+0.0014924i,-0.00019153+0.0012611i,0.0005145+0.00036811i,0.00080204-0.00022154i,0.00025234-0.0005843i,0.00044538-0.0010455i,0.00036148-0.0006245i,-0.00067814+0.0001194i,-0.00091197+0.00029601i,3.5969e-05+0.00042633i,0.00025708+0.0006578i,-0.00035856-1.8182e-05i
0.00080916+0.00032051i,0.00036874+0.00028503i,0.00051915+0.0001577i,0.00026614-0.00057871i,-5.2614e-05-0.0014603i,-0.00067183-0.0018636i,-0.00058489-0.0014539i,0.00011092-0.00075157i,0.00031369+0.00030023i,0.00027986+0.00044858i,0.00017196-0.00033215i,-0.00037236-0.00026388i,-0.00035185+0.00033598i,-6.1084e-05+0.0011106i,-0.00039604+0.00050837i,-0.00031523+8.7905e-05i,-0.00054174+0.0003339i,-0.00042839-0.00042228i,-0.00023002-0.00044638i,-0.00015986-0.00029212i,-1.9032e-05-8.4894e-05i,-5.2119e-05+9.1144e-05i,1.0018e-05-0.00033402i
-0.00090838+0.0024185i,0.0003483+0.0022084i,0.0013985+0.0019479i,0.001679+0.0016283i,0.0013761+0.00082797i,0.00096642+1.5315e-06i,0.00046822-0.00033596i,-0.00016841-0.00058043i,0.00042632-2.0476e-05i,0.0014038+0.00059288i,0.00040874+0.00067495i,-0.00075968+0.00026887i,-0.00078543-0.00054231i,-0.00031635-0.00036364i,0.00021379+0.00038507i,0.001022+0.00025639i,0.00115+0.00031865i,0.00025739+0.00014988i,-3.3792e-05-0.00024987i,-0.00056255-0.00040381i,-0.00094154-0.00044925i,-0.00072575-0.00010636i,-0.00053677+0.00016013i
0.00022673+0.0010686i,0.00050496+0.00054902i,0.00029615+0.00010042i,0.0006536-0.0008885i,0.0011955-0.0012i,0.00016263-0.00043485i,-0.00079389+4.2605e-05i,-0.00064774+0.00017694i,-0.00031864+0.00030176i,8.0322e-06+2.4132e-05i,0.00084926+0.00017238i,0.00098478+0.00058362i,0.00059189+0.00024959i,-6.8383e-05+0.00023353i,-0.00053922+0.00051365i,-0.00058531+0.00043083i,-6.8291e-05+0.00059854i,0.00049486-5.8131e-05i,0.001082-0.00056519i,0.00079719-1.5098e-05i,-0.00023893-0.00011315i,-0.00043699-0.00034277i,-0.00026855-4.1342e-05i
-0.00074832+0.00014425i,-0.00036936+0.0002465i,0.00035708+4.0811e-05i,0.00056917-0.0003745i,0.00038313-0.00062309i,0.00028373-0.00015924i,0.00088947+0.00042651i,0.00089219+0.0010251i,-5.1436e-05+0.00092973i,0.00035043+0.0002438i,0.00057767+0.00079715i,-7.2458e-05+0.0012662i,-0.0013665+0.0012537i,-0.0014171+0.0004191i,7.9075e-05-0.00031477i,0.00061597-0.00023307i,0.0004493-0.00045358i,-9.0947e-06-0.00070953i,-0.00038795-0.00055828i,6.5644e-05-4.1114e-05i,0.00061421-0.00042322i,0.0003436-0.00097258i,4.5133e-05-0.00090028i
