0.00059701+0.0012249i,0.00017145+0.00097578i,-0.00078425+0.0002021i,-0.00049304-0.0010782i,0.00076973-0.0013781i,-7.2937e-05+7.8832e-06i,-0.00095227+0.0013932i,0.00036175+0.0015655i,0.0011296+0.00080951i,0.0011783+0.00043017i,0.00079095+0.00057481i,0.00019898+0.00066753i,0.00030645-0.00029404i,0.00025294-0.0011185i,7.2378e-05-0.00076928i,0.00023324-0.00013424i,0.00035165+0.00024677i,-0.00025598-6.9359e-05i,-5.6767e-05-0.00043916i,0.00053719-0.00020292i,0.00075902-0.00060943i,0.0010134-0.00061302i,4.1262e-05+0.00035231i
0.002315+0.0024886i,0.0021018+0.0012779i,0.0028311-0.00018291i,0.0028739-0.00026237i,0.0031806-0.00021824i,0.003492-0.00071991i,0.002609+0.00022886i,0.0013789+0.0010164i,0.00091176+0.00053934i,0.00096602-0.00047056i,0.00066827-0.00089691i,0.00035907-0.00065619i,0.00026462-0.00029106i,-0.00037042+6.5609e-06i,-0.00029909+0.00078466i,0.00034969+0.0014838i,0.00088025+0.0011188i,0.00087053+0.001169i,0.00094341+0.00046615i,0.00087231-0.00074421i,0.00050062-0.00046786i,-4.6361e-05-0.00037595i,-0.00083143-0.00027208i
-0.0016211+0.0024906i,-0.0016384+0.002562i,-0.00083372+0.0024481i,0.0015893+0.00063508i,0.002897-0.0011347i,0.0019186-0.0013051i,0.00080028-0.00026261i,0.00049+0.00082318i,0.00075173+0.00043274i,0.0012317+0.00031808i,0.0010005+0.00037485i,0.00059171+0.00031691i,0.00047064-0.00023999i,0.00076143-0.0010494i,0.0010191-0.00098616i,4.8574e-05-0.00062214i,-0.00063174-0.00072883i,-0.00023264-0.00077067i,6.1239e-05-0.00052217i,-2.2464e-05-9.3687e-05i,-0.00019416+0.00019245i,-0.00011699+0.00048883i,-5.0911e-05+0.00062026i
0.0013653-0.0010493i,0.001197-0.00045984i,0.0005064-0.00048547i,0.00027035-0.00082511i,0.00070412-0.00034046i,0.0019991+0.00083433i,0.0021632+0.0011537i,0.0014287+5.9093e-06i,0.00056028-0.00083212i,-0.00029896-0.0010167i,-0.00082917-0.00033451i,-0.0006328+0.00041072i,-3.0088e-05+0.00029666i,0.0002407+0.00025318i,0.00015216-3.9747e-05i,-4.2169e-05-0.00058081i,-0.00098124-0.00071368i,-0.0014385-0.00054129i,-0.00033658-0.00051198i,0.00061312-0.00092196i,0.00045514-0.00085863i,0.00031199-0.00067294i,0.00069-0.00075043i
-0.00057041-0.00045724i,0.00040361-0.00031791i,0.0010453+0.0012532i,0.0017275+0.0020279i,0.002467+0.0011754i,0.0019199+0.00073164i,0.00096203+9.8224e-05i,0.00018879-0.00023852i,-7.8193e-05+8.0603e-05i,0.00025964+0.00063944i,0.00070063+0.00032843i,0.0012142-5.7641e-05i,0.00083255-0.00047499i,0.00031887-0.00118i,-0.00010127-0.00083038i,-0.00025514-0.00088912i,0.00017332-0.00098659i,3.4642e-05-0.00053086i,-4.7558e-05-0.00017475i,0.00062861-0.00053006i,0.00091973-0.0011557i,0.00017505-0.0010219i,-0.00092524-0.00041672i
0.00068654+0.0026568i,0.00085548+0.0019969i,0.0016166+0.00079085i,0.0011193+0.00022199i,0.00028949-0.00039315i,0.0010474-0.0003853i,0.0015901+0.0010591i,0.0018657+0.0010792i,0.001479+5.1325e-06i,0.0010633-0.00045483i,0.001226-0.00019824i,0.00053547-0.00018986i,-0.00010943-0.00050989i,8.5028e-05+0.00025289i,-2.6737e-05+0.0005357i,4.5312e-05-0.00043628i,8.0135e-05-0.0010974i,0.00038004-0.00054087i,0.00063061-0.00029505i,-7.9088e-05-0.00021448i,0.0001893-0.00010892i,0.00051028-0.00020081i,0.00017595-8.9511e-05i
-0.0012274-0.00053471i,-0.0011201-0.00079757i,-0.0011599-0.00069482i,1.9998e-05-0.00044431i,0.001203-0.00017726i,0.0018724-0.00027753i,0.0021793-0.0011698i,0.001648-0.00093275i,0.0013337-0.00035799i,0.00071003+4.9215e-05i,-0.00037544+4.5542e-05i,-2.3008e-05-0.00018848i,0.00077925-0.00028932i,0.00087846+0.00017977i,0.00056166+0.00038031i,0.00053363-0.00028705i,0.00096171-0.00077594i,0.00082765-0.0011515i,0.00052394-0.001165i,0.00024316-0.00082362i,-0.00017657-0.00018623i,-0.00035588+0.00056582i,-5.631e-05+0.00040079i
-0.00034381+0.0030944i,0.00048349+0.0043244i,0.0012259+0.0040231i,0.0017517+0.0017993i,0.0016979+0.00036903i,0.0014064-0.00021494i,0.0014687-0.0010229i,0.0010837-0.000488i,0.00065881+0.00030359i,0.00043632+0.00041325i,0.00031036-0.00014868i,0.00035422-0.00031741i,-1.215e-05-0.00065055i,-0.00040702-0.0010541i,-2.2507e-06-0.00057344i,0.00047539+0.00023062i,9.5087e-05-0.00029004i,0.00059574-0.00047938i,0.00070653+0.00019145i,0.00019443+5.1947e-05i,-0.00025149+0.00022737i,-0.00066271+0.00053458i,-0.00030203+0.00016403i
0.00062779+0.00014632i,0.00079513-0.0012751i,0.0016303-0.0014898i,0.00076428-0.00062217i,-0.00024136+0.00040793i,0.00069187-3.6245e-05i,0.0015058-0.00094976i,0.0016607-0.00077385i,0.0015808-0.00054517i,0.00069874-0.00048573i,0.00031704-0.00036868i,0.00047092+0.00065568i,-1.1367e-05+0.00076064i,-0.00079282-0.00072599i,-0.00057267-0.00081328i,-1.9956e-06-0.00020226i,4.5851e-05+2.5288e-05i,-0.00067366+0.0002088i,-0.00042759-8.572e-05i,0.00036639+9.7849e-05i,0.00025584+3.1754e-05i,0.00030386-0.00040172i,0.00048474-0.00044792i
-0.00073617+0.0016397i,-0.000481+0.0024091i,0.00028843+0.0032745i,0.0015247+0.0021235i,0.0024848-0.000482i,0.0018737-0.0012212i,0.00096513-0.00062092i,0.00081653-4.0594e-05i,0.0008347+0.00085157i,0.00078211+0.00035617i,0.00077083-0.0005856i,0.00085463-0.00098769i,0.000481-0.0010358i,-0.00049421-0.0010176i,-0.00055954-0.00029877i,1.527e-05+2.7516e-05i,-0.0001337-0.00010426i,-0.0010645-1.8429e-05i,-0.0015174-0.00024289i,-0.0015686-0.00053811i,-0.00051659-0.00032109i,0.00040521+0.00049779i,0.00039287+0.00084244i
0.00085128+0.00079087i,0.0015428-0.00056048i,0.0015276+5.2386e-05i,0.0021292+0.00062961i,0.0025993+0.00089376i,0.0027866-5.7526e-05i,0.0022726-0.00066246i,0.0012966-0.00022935i,0.0007417+0.00061866i,0.00048553+0.00033342i,0.0011604-0.00079398i,0.0012801-0.00028028i,0.00026724+0.00046417i,-0.00077515+0.00047267i,-0.0011598+0.00026694i,-0.00046805-0.00026182i,0.00016381-0.00049246i,-7.6388e-05-0.0010855i,-0.00042052-0.0007269i,-0.0011147+0.0002379i,-0.00060504+0.00039386i,-0.00010742+0.00056455i,-0.00042776+0.00048689i
