-0.0031486-8.783e-05i,-0.0022046-0.00038419i,-0.0011692+5.1269e-05i,-0.0016379+0.00035591i,-0.0018755+0.00025946i,-0.0013258-7.3916e-05i,7.0861e-05+0.00056097i,0.0016149+0.0018441i,0.0014016+0.0013499i,0.00093654+0.00034216i,0.00096912-0.00037422i,0.0011312-0.00058993i,0.0009097+0.00015142i,-0.00016573+0.00038524i,-0.0013051+0.00033273i,-0.00057534-0.00015823i,0.00056236-0.0002826i,-9.9426e-05-0.00043351i,-0.00012332-0.00064132i,2.1941e-05+4.4998e-05i,-0.00021321+0.00028926i,0.00011668+0.00025898i,0.00055037-0.00023236i
0.00078333-0.00031412i,0.00095814-0.00036123i,0.001068-0.0012349i,0.0011728-0.0020084i,0.00028474-0.0022808i,-0.00083586-0.0015394i,-0.0013362-0.00031178i,-0.00022999+0.00018251i,8.8433e-05+0.00073722i,-0.00012396+0.00041226i,-0.00034562-0.00033833i,-0.00080297-0.00029661i,-0.00015187+0.00020764i,0.0004919+0.00083877i,0.00066949+0.00071643i,0.00039676+6.196e-05i,-0.00031219-0.00023662i,-0.00033363+9.0561e-06i,-0.00011447+0.00058744i,0.00018395+0.00051835i,0.00019288+5.9345e-06i,-5.8568e-05-0.00010642i,0.00018241+0.00040869i
0.00017857+0.001274i,0.00081874+0.0013152i,0.0019327+0.0023467i,0.0017134+0.0015815i,0.00064911-0.0004747i,4.0918e-06-0.00074786i,8.9509e-05-0.00030176i,0.00032923-0.00044447i,0.00068069-0.00044979i,0.00093817-0.00043843i,0.00070365-0.00059636i,0.00050787-0.0006124i,-7.4792e-05-0.00048322i,-0.0003917-0.00021572i,-0.00029538+0.00058492i,9.0425e-06+0.0011308i,0.000499+0.00057236i,0.0010951+0.00024865i,0.0011229+0.00033206i,0.00041156+0.00015811i,0.00027756+0.0005376i,0.00061813+0.00049631i,0.00062133-9.046e-06i
0.00050861-0.00056778i,0.0018432-0.00016752i,0.0019843-0.00043112i,0.00058245-0.0008849i,0.00021347-0.00074409i,0.00050626-0.0002513i,-8.1924e-05+2.4666e-05i,-2.2049e-05+0.00012927i,2.9031e-05+0.0001076i,0.00054382-0.00028005i,0.00042099-0.00024244i,0.00012589-9.3329e-05i,6.0509e-05-0.00023627i,0.00044301+8.3122e-05i,0.00070873+0.00033324i,0.0001924+0.0006639i,-0.00076+0.0012362i,-0.0010257+0.00060336i,-0.00063314+0.00026i,-0.00023608+1.632e-05i,2.2963e-05-0.00040545i,0.00075512-0.00034716i,0.00070115+0.00012978i
-0.00030378+0.00086076i,-0.00058202+0.00083848i,-0.00036622+0.0016531i,0.00093648+0.0016524i,0.0011681-0.00021062i,0.00032042-0.0014041i,0.00034835-0.00096124i,0.00017888-0.00040078i,0.00064184-0.00040324i,0.0014466-0.00031016i,0.00096389+0.00038371i,0.00027727+0.0004749i,0.00020496+0.00047173i,0.00046568+1.0522e-05i,7.0886e-05-0.00079226i,-0.00034436-0.0012664i,-4.7641e-05-0.0014075i,0.00049705-0.00072313i,-0.00018807-0.00070402i,-0.00088158-0.00089191i,-0.00052282-0.0002784i,-0.00015195+0.00020329i,-0.0001166-0.00049403i
0.0012443+5.7518e-05i,0.0011274+0.0005783i,0.00059816+0.00032412i,-1.8338e-05-0.00053809i,0.00069819-0.00055475i,0.00076197-0.00050606i,0.00041323-0.00072782i,0.00049004-0.00093172i,0.00031052-0.0012747i,0.000528-0.0012683i,0.00058912-0.00085275i,0.00073306-0.00048141i,0.0010234-0.00037898i,0.0004638+0.00017023i,-0.0001972+0.00047979i,-0.00036125-0.00014934i,-0.0005427-0.00043546i,-0.00074623+0.00025123i,-0.00037458+0.00096182i,0.00050179+0.00065921i,0.00085681-0.00011176i,0.00054946-0.00090772i,0.00016787-0.0014007i
0.0012077+0.00054663i,0.0013216+0.00065402i,0.0017997+0.00029498i,0.0023624-0.00015721i,0.0011175-0.00090877i,-0.0006122-0.0012932i,-0.00031603+0.0002942i,0.00064769+0.001633i,0.00060108+0.0014787i,0.00078458+0.00041204i,0.0011811-7.3862e-05i,0.00071737-0.00042742i,7.537e-05-0.00066566i,-0.00023495-0.00080488i,-0.00040671-0.0011237i,-0.00024931-0.0017083i,0.00011121-0.0015925i,-0.00043509-0.00024915i,-0.00051808+0.00044582i,0.00050874+0.00064494i,0.00097215+0.00061032i,0.0010028-0.00035013i,0.00093555-0.00013206i
0.00092214-0.00015263i,0.001272-0.00060465i,0.0015839-0.0009815i,0.00076637-0.0020257i,-0.00035693-0.002743i,-0.00089445-0.0013563i,0.0001981-0.00066724i,0.0013115-0.00066357i,0.0011902+0.00047022i,0.0012106+0.00049854i,0.0014899-0.0004222i,0.00054447-0.0010412i,0.00029188-0.00093158i,0.0011399-0.00030251i,0.00077017+0.00068758i,-1.9162e-05+0.00088713i,0.00023631+6.173e-05i,0.00062183-0.00086366i,0.00042342-0.00081423i,-9.2981e-05+0.0001042i,-8.0608e-05+0.00011945i,-0.00015827+0.00019366i,-0.00013755+0.00042958i
0.0011832+0.000356i,0.0017486-0.00058948i,0.0033481-0.00053858i,0.0034282-0.00078106i,0.0023712-0.001036i,0.0005743-0.0014077i,-3.4528e-05-0.0016386i,0.00066451-0.0012049i,0.00064944-0.00072378i,0.00066722-0.0007677i,0.00035334-0.0011466i,-0.00020142-0.00091068i,-0.00029618-0.00072764i,-0.00019358-0.00048835i,-0.00029107-0.00021906i,-3.0435e-05+0.00012498i,0.0004089+0.00043922i,0.00096657+0.00016771i,0.00066959-0.00068172i,-0.00026053-0.00055452i,-0.00059114-6.5511e-05i,0.00053351-0.00017554i,0.00055009+7.7148e-05i
-6.9988e-05+0.00020207i,-0.0010054+0.0007172i,-0.0013407+0.00062736i,-0.0003739+0.00030697i,0.00044737-8.092e-05i,0.00087985-0.0010617i,0.00068816-0.00067388i,0.00044266+2.7284e-05i,0.00067677-0.00059171i,0.0012418-0.00060767i,0.0011603+0.00028041i,0.0001377+0.00042998i,-0.00010382-0.00010994i,0.00070871-0.00056261i,0.00037472-0.00068043i,-0.00020967-0.0006425i,0.00049089-0.00032408i,0.00049255-9.0643e-05i,0.00042217+0.00016343i,0.00027796+6.1445e-05i,-0.00011561-0.00028285i,-0.00015428+7.7783e-05i,-0.00022423+0.00027164i
0.0041124-0.0011022i,0.0042876-0.001705i,0.0054833-0.0026157i,0.0037338-0.0034537i,0.0013533-0.0039514i,-0.00018582-0.0017277i,-0.00028146-0.00010065i,-2.8716e-05-0.0003491i,0.00097149-0.0010273i,0.0018168-9.5041e-05i,0.00088091+0.00048843i,-0.00011631-0.00031231i,-0.00033688-0.00048224i,-0.00084478-0.00065669i,-0.00093417-0.00051729i,-0.00051783+0.00010499i,-0.00024672+0.00011164i,0.00062605-0.00045011i,0.0011253-0.00054512i,0.00031836-0.00016269i,0.00026819-0.00047001i,-5.4357e-05-0.0003269i,-0.00079699-4.8565e-05i
-0.00048218+0.00061348i,-0.00025187+0.00056787i,-0.00037813-7.1496e-05i,-0.00050824-0.00084548i,-0.0001547-0.00079711i,0.00040866-0.00036009i,0.00056803+4.972e-05i,0.00090011-0.00013428i,0.00086966-0.00019319i,0.00066017-0.00038417i,0.00028778-0.0014265i,-0.00033546-0.00085012i,-0.00061235+0.0002245i,-0.00021303+0.00088212i,-3.9441e-05+0.00091987i,0.00018128+6.4638e-05i,-0.00047387-5.7419e-05i,-0.0017309+1.841e-05i,-0.0015494-0.00044662i,-0.00022214+0.00027258i,-0.00026213+0.0004504i,-0.0006252+0.00024266i,0.00016342+0.0008237i
-6.4466e-05+0.0013402i,4.6649e-05+0.0016539i,1.3807e-06+0.0012723i,5.1378e-05+0.0010803i,-0.00032144+0.00010789i,-0.00023587-0.00099869i,-2.6065e-05-0.00036527i,0.0001328+0.00037219i,-4.0224e-07+0.0010044i,-0.00053054+0.0012327i,-0.00027079+0.00048237i,0.00017306-0.00029846i,0.00056759-0.00085387i,0.00072474-0.00054115i,0.0002139+0.00054118i,9.547e-05+0.00024896i,0.00081586-0.00016891i,0.00070446+8.9585e-05i,-0.0001774+0.00010287i,-0.00039113+0.00013871i,0.00023708-0.00012298i,0.00047046-0.00022994i,0.00046398+3.1204e-05i
-0.00024553+0.00091394i,0.00014602+0.00072807i,0.000588+0.0016648i,0.00034669+0.0011514i,0.00025995-0.00056074i,-0.00074981-0.0013507i,-0.00084704-0.0012592i,0.00026614-0.0013155i,0.00023677-0.0019434i,-3.2608e-05-0.00098431i,0.00041153+0.00041557i,0.00043037+0.00079503i,-4.1355e-05+0.00094425i,-0.00013533+0.00057375i,-0.00013091-7.9277e-05i,0.00045717-0.00032845i,0.0012845-0.00070241i,0.00078329-0.00094156i,0.00071408-0.00035067i,0.00080917-0.00046463i,0.00058828-0.0010009i,0.00025114-0.00073068i,9.1262e-05-5.9297e-05i
-0.0010983+0.00084858i,-0.00080962-0.00044084i,0.00025525-0.0006231i,0.0007812-0.00062544i,0.00054043-0.0014063i,-0.00032947-0.0018569i,-0.00080539-0.001486i,-4.3472e-05-0.00066042i,0.00052333-0.00016371i,0.00022285+0.00020877i,0.00033692-9.3372e-05i,0.00075534-0.00073843i,0.001273-0.00073333i,0.0011307-0.0011375i,0.0007041-0.0011765i,0.0014567-0.0010332i,0.0014256-0.00074667i,0.00088491-0.00026707i,0.00051752-0.00020419i,-3.0135e-05-8.2354e-06i,-8.2522e-05+0.00089292i,6.563e-05+0.0012415i,0.00028339+0.00030954i
-0.0013103+0.0023331i,-0.0011326+0.0026972i,0.0005081+0.0024038i,0.00217+0.00072572i,0.002033-0.00067001i,0.0011928-0.00063449i,0.00058488-0.00024667i,0.00023618-0.00041103i,-0.00014074-0.00057701i,0.00034943-0.00141i,0.00072027-0.0011417i,0.00043861-0.00016651i,0.00010643-0.00076865i,0.00027947-0.0014616i,0.00029262-0.0011665i,0.00020979-0.00080248i,0.00057535-0.0005686i,0.0012551+0.000173i,0.001108+0.0011627i,0.00011313+0.00071982i,-0.00010644+7.1068e-05i,-0.0003408-5.4684e-05i,-0.00061649-0.00016581i
0.00092275+0.00048641i,0.0018393-0.00026063i,0.00091561-0.00081167i,0.00040855-0.0011347i,0.00056037-0.0017411i,0.00041441-0.0019775i,0.00069005-0.0010242i,0.00036147-0.00015814i,0.00050318+0.00024638i,0.0011235-3.5467e-05i,0.00067171-0.00059827i,0.00030523-0.00090512i,-2.2679e-05-0.00031798i,-0.00034558+0.0003492i,0.00014023+0.00028829i,0.00053651+7.8351e-05i,0.00048734+0.00020352i,0.00083397+0.00037716i,0.0010308-9.685e-05i,0.00078029-2.1319e-05i,0.00085945+0.00011997i,0.0004978-1.584e-05i,-0.00011451-0.00023846i
0.0009632-3.1988e-05i,-0.00048578-0.00018377i,-0.0011074-0.00029892i,-0.00041328-0.0014224i,-0.00028381-0.0030083i,-0.0010096-0.0028062i,-0.0009388-0.0011171i,-0.00017423-0.00041582i,0.00012187-0.00046255i,0.00055811-0.00069139i,0.00053134-0.00023415i,-0.0002769+0.00053385i,-0.00067499+0.00043124i,-0.00079214-0.00011412i,-0.00046085-2.8534e-06i,-0.00032553-0.00023295i,-0.00062281-0.00084964i,-0.00014514+0.00033972i,0.00021148+0.00079144i,2.583e-05-0.00029427i,-5.1322e-05-0.00026102i,0.00037728-0.00026214i,0.00025064-0.0005178i
-0.00085056+0.00089423i,-0.00041432+0.00028213i,1.759e-05-8.9597e-05i,0.00052456-8.6766e-05i,0.00030827-0.00045241i,-0.0005405-0.00064174i,-0.00049115+0.00034487i,-0.00026994+0.0013307i,0.00054262+0.00035102i,0.0011317-0.00021286i,0.00047543-7.4022e-05i,-0.00028484-0.00019242i,1.9587e-05+0.00022729i,0.00034303+0.00038869i,0.000265+0.00019713i,0.0004295-0.00014232i,-2.9211e-05-0.00085891i,-5.1041e-05-0.00091681i,0.00063811+0.00012665i,0.0010644+0.00057526i,0.00063081+0.00020771i,4.7263e-05+7.7529e-05i,-0.0002056+0.00038149i
-0.00056426+0.00077799i,0.00039503+0.00014405i,0.00098119+0.00010767i,0.0014301-0.0003626i,0.0012069-0.00062476i,0.00061589-0.00091571i,0.00097837-0.00054883i,0.0011793-0.00023709i,0.0002956-0.00024094i,0.00020117+0.00084541i,0.00087226+0.00067137i,0.00093252-0.00021924i,0.0011928-0.00019977i,0.0010405-0.00028298i,0.00020914-0.00030964i,-0.00029229-0.00030034i,-0.00083044-6.5689e-05i,-0.00062717-0.00010445i,0.00035406-0.00040937i,0.0004885-0.00051641i,0.00033721-0.00015313i,0.00027908-0.00027985i,0.00053468-0.00053752i
-0.0002501+0.00071646i,0.00024474+0.00056469i,4.5632e-06-0.00013258i,-0.00019812-0.00096802i,-0.00065857-0.0012883i,-0.0010658-0.0013801i,-0.00028782-0.00062662i,-0.00037885-0.00010658i,-0.00066407+0.00020141i,0.00046259+0.00087421i,0.00048859+0.00075593i,-5.977e-05+0.00039901i,0.00025853+0.00022827i,0.00078108-0.0003162i,0.0011347-0.0010417i,0.0011736-0.0008717i,0.0010006-0.00044579i,0.0011825-3.7851e-05i,0.0011002+0.00031217i,0.00037917+0.00041959i,0.00018844-8.7716e-05i,0.00054011-0.00081402i,0.00014229-0.00071897i
-0.00085106-0.00043243i,-0.00045511-0.00076868i,-0.00042173-0.00084769i,-0.00047892-0.00090764i,-0.0006782-0.0017259i,-0.00053103-0.0014414i,-0.00040654-0.00081854i,0.00063557-0.00064107i,0.0014678-0.00084246i,0.0013523-0.00089273i,0.0010359-0.00083549i,0.00016479-0.00043749i,-0.00044784-0.0002517i,-0.00046108-0.00052556i,-0.00051943-3.6398e-05i,-0.00073607+0.00072279i,-0.0011303+0.00087683i,-0.0011969+0.0002011i,-0.00090984-0.00021571i,-0.00031454+0.00013964i,0.00038788-7.0901e-05i,0.00057838-0.00048923i,0.0005065-2.8662e-05i
-0.002098-0.00012279i,-0.0019171+0.00023483i,-0.0018507+0.00032648i,-0.0018333-0.0007784i,-0.00073331-0.00045937i,0.00026351+0.00022348i,0.0003482-7.4549e-05i,2.4723e-05-0.0010469i,-0.00015028-0.00078432i,0.00081583-0.00030325i,0.0012137-0.00050307i,0.00054751+4.7493e-05i,0.00020392+0.00034108i,0.00019185+0.00062447i,1.7896e-05+0.00082582i,0.00029907-0.00045303i,0.00033922-0.00058986i,-0.00024582+0.0001809i,-0.00019132+3.8516e-05i,0.00038066-0.00010184i,0.00049307+0.00020002i,0.00061764-0.00035755i,0.00061275-0.00058154i
0.00087545+0.0017963i,0.0010463+0.0014663i,0.001458+0.00021967i,0.0015687-0.0010379i,0.0012151-0.0011751i,0.00045418-0.00070642i,0.00034526-1.0141e-05i,-8.7188e-06-0.00010477i,-2.1418e-05-0.0013489i,0.00021007-0.0017607i,0.00041914-0.0013625i,0.00028377-9.6272e-05i,0.00027334+0.00047072i,-0.0004768-5.6455e-05i,-0.0010632-0.00029039i,-0.00065918-0.00040701i,-0.00045259-4.1674e-05i,-0.00041074+0.00021857i,0.00036606-0.00034799i,0.00077174-0.00039974i,7.5539e-05+6.5625e-05i,-0.00044897-0.00010634i,-0.00049865-0.00083257i
-0.001243-0.00062233i,-0.00046273-0.00027256i,-0.00028058-0.00015471i,0.00069406-0.0001294i,0.00078784-0.00013452i,-0.00012677-0.0002769i,0.0005106-3.6863e-05i,0.001074-7.0689e-05i,0.00016914+9.4747e-07i,-0.0001216+0.00040577i,0.0001123+0.00064691i,-0.00039339+5.6481e-06i,0.00017433+5.1647e-05i,0.00067236+0.0002708i,0.00027073+0.00018806i,0.00020571+0.00086862i,-0.00070216+0.00066268i,-0.0011485-0.00075255i,-0.0013262-0.00083007i,-0.0011779-0.00051483i,0.00014055-0.00063005i,0.0004538+5.2368e-05i,-6.9591e-05+0.0009392i
