-0.0022352+0.0024473i,-0.0018043+0.002209i,-0.0016113+0.0014503i,-0.0012043+0.00092212i,-0.0004439+0.0010033i,-0.0010091+0.00089697i,-0.0012373+0.0016478i,-0.00055228+0.0016247i,0.00048423+0.0013914i,0.00069724+0.0012831i,0.00052976+0.00033629i,0.0011736-0.00076644i,0.00085976-0.0019849i,5.6834e-05-0.0021276i,-0.00021478-0.00040863i,-0.00042237+3.1261e-05i,-0.00052958-0.00020174i,-0.00052526-0.00029034i,-7.6197e-06-0.00049517i,0.00034787+0.00018873i,0.00042351+2.3469e-05i,0.00023314-0.00038182i,-0.00026131+0.00022043i
0.0012917+2.3388e-05i,0.002243+0.00096361i,0.0019866+0.00024652i,0.0012156-7.0661e-05i,0.00017811+0.0005489i,-0.00092476+0.00068198i,-0.0018811+0.00087237i,-0.001982+0.00060781i,-0.0011439+0.0002321i,-8.9274e-05-0.00057831i,0.00062639-0.0010901i,0.00039902-0.00071711i,0.00016224-0.00036105i,0.00041953-0.00050142i,0.00061601-0.00032323i,0.00099586-0.00032714i,0.0011935-0.00021649i,0.00077472+0.00025005i,-0.00017496+2.9427e-05i,-0.0010385-0.00064041i,-0.00077846-0.00064821i,-0.00051446-0.00018576i,-0.00011069+0.00012003i
0.0007897-0.00015952i,-0.0001345-0.00019688i,0.00055214-0.0001119i,0.00035778-0.00069024i,-0.00033006-0.00083726i,-0.00091481+0.00019012i,-0.0010662+0.00090896i,-0.00029802+0.00068985i,5.1166e-05+0.00030592i,0.00030583+0.0001019i,-0.00028606-0.00059203i,-0.0014122-0.00034331i,-0.0010438-0.00020272i,-0.0010173-0.00079492i,-0.0009557-0.00078357i,0.00015484-0.00026765i,0.00011285-0.00012926i,-5.3566e-05+0.0001951i,0.00043303+0.00027514i,0.00031861+0.00046805i,-9.829e-05+0.00040984i,-0.00052725+9.0944e-07i,-0.00078779-1.6867e-05i
-5.2626e-05-0.0011478i,-0.00062-0.0008404i,-0.00083339-0.00064886i,-0.0016413-0.00028303i,-0.0022618+0.00010976i,-0.0019915+0.001069i,-0.00088378+0.0013503i,-0.00034154+0.00076103i,-0.0005118+0.00048049i,-0.00023555+0.00049469i,-0.00019256+0.0006761i,-0.00024005+0.00075128i,9.9071e-05+6.9591e-05i,0.00025841+0.00037143i,0.00010068+0.001279i,0.00060941+0.00093954i,0.00077148+0.00075369i,0.00029531+0.00066912i,-0.00026921+0.00037808i,-0.00043568+0.00016864i,-0.00031835+0.00065269i,-0.00079892+0.00096105i,-0.00029698+0.0004359i
0.0013278+0.00056335i,0.0017199+0.00075751i,0.00055786+0.00010331i,0.00067531+0.00016636i,0.00036321+0.00063018i,-0.00073463+0.00062184i,-5.6654e-05+0.00085257i,0.00016731+0.00099632i,0.00011137+0.00046472i,0.00026301+0.00015283i,-0.00039866+0.00010119i,-0.00061164-0.00046804i,-0.0005726+9.5093e-05i,-0.00087512+0.00072453i,-0.0008131+0.00021645i,-0.0011584+0.00016103i,-0.00051853+0.00035055i,0.0002816+0.00084591i,-3.7531e-05+8.9339e-05i,-0.00017345-0.00057635i,0.00027438-0.00010237i,-0.00011144-0.00052844i,-0.00034259-0.00051924i
0.0013457+0.00024222i,0.0023433-0.0008517i,0.001551-0.0011909i,0.00048474-0.0011354i,-0.00062292-0.00042061i,-0.0012481+1.7809e-05i,-0.0012946+0.00054124i,-0.0016698+0.000611i,-0.0013349-0.00031299i,-0.00045074-0.00095297i,0.00064084-0.00022411i,0.0011581+0.00031886i,0.0010686+0.00042094i,0.0004159+0.00084061i,6.5024e-05+0.00048033i,0.00037793+0.00064147i,0.0003997+0.0010849i,-4.8591e-05+0.00058206i,-3.847e-05-0.00030796i,0.00045814-0.00072829i,0.00039639-0.00056387i,0.00048452-0.00071566i,0.0010156-0.00043037i
0.0013496+3.9116e-05i,0.0012012+0.00060135i,-0.00019724-9.49e-05i,-0.00070256+5.2957e-05i,-0.00045899+0.00078635i,-0.00013837+0.00088107i,0.00038919+0.00090341i,0.00070547+0.0011624i,0.00027748+0.00084519i,-0.00042917+0.00032761i,-0.00060117+3.6844e-05i,-0.00032871+0.00029177i,-0.00041968+0.00062456i,-0.00024023+0.00031574i,2.2493e-05+0.00038878i,-9.9589e-05+0.00043835i,0.00023127+0.00010941i,-2.2285e-05+0.00012363i,9.8947e-05-0.00027346i,0.00080086-0.00051259i,0.00039385-0.00066682i,-0.00011545-0.0010138i,5.9325e-05-0.00065695i
0.00024422+0.00082789i,0.00089573+0.00028029i,0.00082122+0.00012295i,0.00087916-0.00068207i,0.0007145-0.0010464i,-0.00080405-0.00064438i,-0.0022851-0.00010795i,-0.0017113-0.00053197i,-0.00062266-0.00044275i,-0.00022853+0.00046024i,-0.00044315+0.00046272i,-0.00040959-0.00034765i,-0.00023449-0.0005591i,0.00011916+0.00039357i,0.00066756+0.00027329i,0.00020601-0.00015924i,-0.00063867+0.00026889i,-0.00092201+0.00067155i,-0.00086485+0.00034247i,-0.0010221-9.2688e-05i,-0.00028645+0.0004655i,0.00018778+0.00080697i,-0.00035718+0.00043153i
0.00044003+0.00043769i,0.0012695-0.00043334i,0.0021962+0.00026628i,0.0019829+0.00039031i,0.00081105-0.00049143i,0.00051483-0.00040963i,0.00056428+0.00025591i,-0.00070986+0.00077215i,-0.0010646+0.0011389i,-0.00016233+0.00053345i,-3.6419e-05+0.0001542i,-0.00014414+3.6324e-05i,-0.00037931-9.075e-05i,-0.0010433+0.00013353i,-0.0004437+3.8127e-05i,0.00055965+0.00018283i,0.00064459+0.00016202i,0.00015732-0.00048394i,-0.00025252-0.00033833i,-0.00065951+0.00023002i,-0.00052918+0.00069178i,-0.00041704+0.00080085i,-0.00038694+0.00049785i
0.00083134+0.00049821i,0.00089415+0.00035026i,0.0010642-0.00022317i,0.00076101-0.00061577i,0.00047198-0.00057406i,0.00050939-0.00044091i,-7.298e-05-0.00020637i,-0.0002193+0.00085037i,0.00015455+0.0010131i,-0.00025597+0.00028849i,-0.00026607+0.00023507i,0.00064078+0.00025454i,0.00078864+0.0003303i,0.00014842+0.00033028i,-0.00012849+8.9955e-05i,-0.00042268+0.0001575i,-0.00025949+0.00056608i,0.00011313+0.0009922i,9.2068e-05+0.00081177i,-8.5302e-05-8.4506e-06i,0.00030277-0.00028264i,0.00053526-8.4158e-05i,-0.00030384-0.00062255i
0.0005675-0.0002818i,-0.00067314-0.00080395i,-0.00081464-0.00099093i,3.9387e-06-0.00089079i,0.00034263-0.00053405i,-6.0357e-05+0.00017215i,-0.00056526+0.00060595i,-0.00053506+0.00067817i,-0.00031206+0.00027041i,-0.00016102-0.00030961i,0.00048344-0.00036247i,0.00024526-0.00046119i,-0.00031976-0.00026144i,0.00014816+0.0010721i,0.00045103+0.00097988i,-0.00024945+0.00028484i,-0.00082894+1.2506e-05i,6.3431e-05-0.00037885i,0.00037717+3.3494e-05i,0.00017505+4.14e-05i,0.0004665-5.1751e-05i,-0.00013373+0.0005044i,-0.00067409+4.8136e-05i
