-0.0050226-0.00015381i,-0.0047416+0.0011643i,-0.0057327+0.0034083i,-0.0046391+0.0041783i,-0.0027382+0.0026755i,-0.0011892+0.00095413i,-0.00096999+0.00074173i,-0.00066703+0.0021205i,0.00063078+0.0033598i,0.001528+0.0033023i,0.0013804+0.0018672i,0.0009976+0.00075704i,0.0012287+3.9466e-05i,0.0011783+0.000292i,0.0010461+0.00064894i,0.00057732-1.4055e-05i,0.00021364-0.0001342i,0.00021684-0.00012833i,2.6076e-05-0.00048365i,-1.9866e-05-0.00018443i,0.00023208+0.00078681i,8.3455e-05+0.00070641i,-0.000441+2.3523e-05i
0.00080215-0.00065538i,0.0003241-0.00072139i,0.00066451-0.00039319i,0.0015971-0.00072374i,0.0015257-0.0011107i,0.0005824+1.5001e-05i,8.538e-05+0.0005123i,0.00029135-0.00026376i,0.00025585-6.1893e-06i,0.00040461+0.0013033i,0.00072508+0.0016134i,0.00013011+0.00054937i,-4.256e-05+0.00045476i,0.00015797+0.00098916i,0.00068445+0.00031779i,0.00087656-0.00041725i,0.0006062-0.00027759i,0.0005594+0.0003023i,0.00014324-7.5228e-05i,-8.4069e-05-0.00017719i,0.00053013+5.0501e-05i,0.001073-0.00024318i,0.00063579-0.00033177i
0.00071918-0.0016413i,0.00046239-0.00088298i,0.00056683-0.0015764i,0.0012512-0.0007224i,0.0019131+0.00059857i,0.0012198+0.0014322i,-7.1011e-05+0.0015349i,-0.00056776+0.0013636i,-0.00046634+0.0013229i,0.0005936+0.0009118i,0.0010447+0.00016221i,0.00018149-0.00010914i,-0.00037806+0.00044081i,-0.00042947+0.00057493i,-0.00024671+0.00070747i,0.0002088+0.00072722i,0.00064082-0.00038101i,0.00065315-0.0012807i,0.00044223-0.0013065i,2.589e-05-0.00012059i,-0.00071462+0.00058616i,-0.00051182+0.00047945i,-3.7055e-05+0.00037749i
0.00083525-0.0012897i,0.00081312-0.00069459i,0.00068716-0.00093176i,-0.00030407-0.0021059i,0.00019973-0.0015877i,0.00067851+0.00058906i,0.00043118+0.0010649i,0.00059068+0.00049316i,0.001245+0.00073222i,0.0019785+0.0009365i,0.0011682+0.00063218i,-0.00019022+0.00077541i,-0.00056144+0.0008533i,-0.00025072+0.00066458i,0.00075121+0.00033571i,0.00066624+0.0002489i,0.00034208+0.00018848i,0.00063147+2.54e-05i,0.00082253-2.9592e-05i,0.00092887-0.00010589i,0.00041024-2.7265e-06i,-0.00032163-0.00056146i,-0.00058236-0.00095136i
-0.0017949+0.00082509i,-0.0017406+0.0015923i,-0.0012004+0.0019741i,-1.7408e-05+0.0022289i,0.0010255+0.0017591i,0.0017222+0.0010404i,0.0010329+0.00042651i,0.00019807+0.00013188i,0.00020678+0.00045974i,0.0013704+0.0013409i,0.0011989+0.0015188i,0.00016664+0.00054989i,0.0004746+0.00025671i,0.00070103+0.00063351i,0.00077525-3.2287e-06i,0.0006934-0.00011352i,-6.1566e-05+0.00020037i,-0.00060472+0.00020448i,-0.00046123-0.00024617i,-0.00012047-0.00032376i,-0.00030881-0.00025812i,1.5759e-05-6.8263e-05i,0.00032081+0.00084258i
-0.0015797-0.0010122i,-0.0016323-0.00063944i,-0.00058354-0.00072643i,0.00047634-0.00083022i,0.00054615-0.0011481i,0.00050432-0.00062828i,0.00032718+0.00046156i,0.00032569+0.00086247i,0.00043564+0.0010405i,0.00020845+0.0010296i,0.00049312+0.0016153i,0.00043611+0.0014888i,0.00048085+0.00051164i,0.0010323+0.0001724i,0.0010053+0.00046675i,0.0007665+5.3981e-05i,0.00081462-0.00065976i,-0.00031457-0.00019125i,-0.00026864+0.00034957i,0.0011998+0.00012377i,0.0014935-9.6498e-05i,0.00048795-0.00028472i,-0.00035744-0.00065161i
-0.00061116+0.0013626i,-5.4059e-05+0.0010948i,0.00059196+0.0014812i,0.0016315+0.0017221i,0.0024878+0.0014657i,0.002361+0.00024821i,0.00063818+0.00011264i,-0.00017698+0.00077366i,0.00042302+0.0014798i,5.2255e-05+0.0026575i,-0.00026342+0.0016082i,-9.1262e-05-9.4206e-05i,-0.00035071+0.00015425i,-3.71e-07+0.00022866i,0.00077544-0.00026496i,0.0007609-0.00017754i,0.00022572-0.00050285i,0.00020665-0.00078226i,0.00041019-3.9135e-05i,0.00033839+0.00010942i,0.00032096-0.00063922i,-7.4306e-05-0.0011239i,-4.9052e-05-0.0010503i
-0.00090305-0.00091281i,-0.0011254-0.00030982i,-0.0010365+0.00054169i,-0.001398+0.0007999i,-0.00072439+0.00074005i,0.00021897+0.00078312i,-9.4469e-05-4.7931e-05i,-9.9033e-05-0.00025433i,0.0010333+0.00079314i,0.0016947+0.0016661i,0.0015109+0.00083173i,0.0013669-0.00011149i,0.0011129-0.00010301i,0.0010937+0.00043495i,0.00078067+0.00043727i,0.00086643+0.00012837i,0.00048108-6.9088e-05i,-0.00037603-0.00044311i,-0.00038387-5.7878e-05i,-0.00065893-2.7413e-05i,-0.00060165+0.00038209i,-0.0002967+0.0005078i,-0.00042416+8.5876e-05i
-0.00070634+0.0010277i,-0.00050549+0.00025263i,-0.00028874+0.00060119i,0.00065404+0.0011043i,0.00063713+0.0013405i,-0.00028176+0.00099553i,-0.00042534+0.00035859i,0.00016512+0.00053639i,0.00090177+0.0011714i,0.0018082+0.0013561i,0.0022926+0.0012288i,0.0017417+0.00025869i,0.00093156-0.0008296i,0.00057037-0.00094139i,0.0010848-0.00066272i,0.001149-0.00070968i,0.00066228-0.00027712i,0.00052306+7.2013e-05i,0.00047816-4.4896e-05i,0.00011356+0.00034559i,9.1579e-05-3.8396e-05i,-0.00035746-0.00021094i,-0.00129-0.00020765i
-0.00106-0.0013321i,-0.00086609-2.9079e-05i,-0.0015469+0.0014563i,-0.00034893+0.0018688i,0.0018175+0.0015i,0.0012991+0.0013209i,-5.5478e-05+0.00078078i,-0.00027225+0.00040702i,-0.00017413+0.00098147i,0.0003889+0.0012899i,0.00036447+0.00059073i,-0.00047033-0.00024356i,0.00016573-0.0002382i,0.00042671+0.00014795i,0.00031357-0.00010595i,0.00075561+0.00030151i,0.00036817+0.00036817i,-8.5888e-05-0.00036204i,-0.00034452-0.0006402i,-0.00062344-0.00013873i,-0.00092297-0.00043347i,-0.00087483-0.0003607i,-0.0002448+0.00056234i
0.00061663-9.2187e-05i,1.9794e-05-0.00072142i,-0.00012297-0.0013003i,0.00075565-0.001192i,0.0010521-0.00080291i,0.00085419-0.00057075i,0.00070524+0.00036531i,0.00036381+0.0010627i,0.001199+0.0013629i,0.0018056+0.0011777i,0.0014861+0.00047847i,0.00069812+1.7511e-05i,0.00061886+0.00037132i,0.0011081+0.00064066i,0.00084806+0.00037688i,0.00077886+0.00040083i,0.0010011+2.6039e-06i,0.00092889-0.00015163i,0.00010481+8.1515e-05i,-0.00030291-0.00048247i,0.00065792-0.0010175i,0.001106-0.00041151i,0.00049642+0.00063745i
-5.9456e-05-0.001386i,-0.0003606-0.00043482i,-2.8318e-05-0.00023088i,-0.00033218+0.00015401i,8.9573e-05+0.00014391i,0.00041508-0.00026022i,-3.3369e-05-0.00028095i,-0.0003368+0.00078446i,0.00047624+0.0018499i,0.0014953+0.0013978i,0.00095341+0.00016081i,0.00047694-0.00053818i,0.0010204+1.8481e-05i,0.00091127+0.00072648i,0.00097839+0.00069541i,0.0013273-0.00052716i,0.0010405-0.00093117i,0.00051625-0.00035601i,9.9618e-05-0.00014805i,0.00020118-0.00031171i,0.00091094-0.00039301i,0.00070531+0.00029838i,0.00016487+0.0004341i
0.00066922-0.0011594i,9.183e-06-0.0011719i,4.3116e-05-0.0027234i,0.00049259-0.0024886i,4.4957e-05-0.001116i,-0.0002348-0.000182i,3.9993e-05-0.00021625i,0.00055679+0.00013009i,0.0008814+0.00082376i,0.00093775+0.00086843i,0.00042668+0.00057728i,8.1758e-05+0.00049769i,7.5508e-05+0.00022609i,-0.00022747+1.3799e-05i,1.2057e-05+6.4502e-05i,-0.00020201+2.1386e-05i,-0.0002611+0.00011214i,0.00044842+0.00012735i,8.0485e-05-0.00077282i,-0.00053276-0.0013542i,-0.00032434-0.00072998i,0.00019261-0.00068676i,0.00031603-0.00071891i
-0.00024782-0.00044862i,0.00010267+0.00021218i,0.00050362+0.0010989i,0.001329+0.0017373i,0.0015366+0.00099276i,0.0007768+0.00031122i,0.00043314+0.00045622i,0.0010467+0.00097128i,0.0014047+0.0014123i,0.0014506+0.0012677i,0.0010712+0.00093785i,0.00082022+0.00072289i,0.00038252+0.00070759i,-9.6461e-05+0.0015314i,0.00020835+0.0011525i,0.00093776-0.00019836i,0.0010092-0.00033231i,0.00024439-6.6607e-05i,-0.00022373+0.00016113i,-0.00063156-0.00050865i,-0.00078531-0.00078049i,0.00038942-0.00048594i,0.0011818-0.00011536i
0.0012745-0.00076455i,0.00057904-0.00101i,0.00054778-0.0013282i,0.00051591-0.00095675i,0.00013585-0.00043835i,-0.00035267+0.00027134i,-0.00082744+0.00011865i,-0.00089253+0.00010764i,0.00030252+0.000599i,0.0011756+0.00082875i,0.0010879+4.4629e-05i,0.00089615-0.00015753i,0.00035158+0.00039967i,0.00038238-0.00027245i,0.00097741-0.00035594i,0.00086419-0.00019684i,0.00074725-0.00082412i,0.00059851-0.0013765i,0.00030482-0.0015329i,0.00028255-0.0013247i,8.5382e-05-0.00016855i,-0.00015919+0.00087728i,-0.00019565+0.00047173i
-0.00022167+0.00048346i,0.00016052+0.00078029i,0.0013354+0.00030371i,0.0019818-0.00025696i,0.0016549-0.00050459i,0.0011805-0.00067844i,0.00072707-0.00014615i,0.00026607+0.0001262i,-0.00010659+0.00077026i,-0.00031894+0.0019529i,-3.7895e-05+0.0011992i,0.00069899+0.00030112i,0.0010507+2.0882e-05i,0.00030852-0.00024855i,-0.00033371-0.00021753i,-0.00054877-0.00023794i,0.00020756-0.00013314i,0.00040808+5.8722e-05i,-0.00013867-0.00034685i,-6.33e-05-0.00029475i,5.5033e-05-0.00026777i,-0.00028753-0.000642i,-0.00059949-0.0002935i
-0.00026326+0.00073411i,0.00012296+0.00055474i,0.00089509+0.0002063i,0.001421-0.00031006i,0.00053883-0.00056984i,-0.00013245-0.00071064i,0.00022749-0.00077738i,0.00016961-0.00028821i,0.00018596+0.00010876i,0.0014816+0.00051256i,0.0022029+0.00049809i,0.001685+0.0005285i,0.001129+0.00025447i,0.00083354-5.3288e-05i,0.00071642-0.00038152i,0.00079073-0.00081461i,0.00072825-0.00068373i,0.0008971-0.00036231i,0.00061589+0.00026329i,0.00025749+0.00010045i,0.00013769-0.00039843i,-0.00015729-0.00067287i,6.7761e-05-0.00064877i
-0.00010537+0.0012151i,0.000247+0.00067292i,0.00045958-0.00070815i,0.00080234-0.00049935i,0.00066022+0.00030032i,0.00025839-0.00019677i,0.00028689-0.00029167i,1.1633e-05+0.00046234i,0.00046838+0.0010955i,0.00096227+0.00054187i,0.001286-4.6033e-05i,0.0013077+0.00033412i,0.00054899+0.00077378i,0.00072404+0.00097896i,0.0014204+0.0008522i,0.00084644+0.00053081i,0.00012276+0.00024439i,0.0007328-0.00047933i,0.00097667-0.00043819i,0.00052804+9.8355e-05i,0.00073983+0.00050736i,0.00039409+0.00034084i,-0.00063257-3.6574e-05i
-0.0010489+0.0029462i,0.0002206+0.003251i,0.00098941+0.004576i,0.00070231+0.0037455i,0.00063056+0.0016643i,0.00067089+0.00029714i,0.00064503+0.00016426i,0.0008905+0.0012336i,0.00098722+0.0018107i,0.0012022+0.0012514i,0.001294+0.00067626i,0.0010671+0.00035893i,0.00060817+0.00026421i,-8.9512e-05+0.00020982i,6.9999e-05-8.1334e-05i,0.00072733-0.00074047i,0.0014469-0.00097594i,0.0013407-0.00031741i,0.00090352-0.00026584i,0.0011863-0.00037594i,0.00093674+7.6488e-05i,0.00078732-0.00023329i,0.00055597-0.0003587i
0.0012327-0.00057535i,0.00081647-0.00085571i,0.00073785-0.0017228i,0.00080888-0.0022087i,0.0014661-0.0019522i,0.00099931-0.0011966i,0.00057009-0.00078432i,-0.00017571+1.5056e-05i,-0.00044149+0.0008899i,0.00032394+0.0010591i,0.00053829+0.00097656i,0.00020121+0.0011909i,0.00033686+0.00079557i,0.00049915-3.835e-05i,0.00079275+5.6039e-05i,0.001468+0.00057155i,0.0014473+0.00041777i,0.0012693-0.00014485i,0.0013845-0.00036927i,0.00089536-0.00040244i,0.00043324-0.0001283i,-0.00014777+0.00096939i,-0.0011+0.001006i
