-0.0050226-0.00015381i,-0.0047416+0.0011643i,-0.0057327+0.0034083i,-0.0046391+0.0041783i,-0.0027382+0.0026755i,-0.0011892+0.00095413i,-0.00096999+0.00074173i,-0.00066703+0.0021205i,0.00063078+0.0033598i,0.001528+0.0033023i,0.0013804+0.0018672i,0.0009976+0.00075704i,0.0012287+3.9466e-05i,0.0011783+0.000292i,0.0010461+0.00064894i,0.00057732-1.4055e-05i,0.00021364-0.0001342i,0.00021684-0.00012833i,2.6076e-05-0.00048365i,-1.9866e-05-0.00018443i,0.00023208+0.00078681i,8.3455e-05+0.00070641i,-0.000441+2.3523e-05i
-0.00039234+0.0018262i,-0.00027152+0.0016965i,0.00067331+0.0017856i,0.0026331+0.0012028i,0.0026459-0.0003953i,0.0017242-0.0012902i,0.0017369-0.00051678i,0.0013131+0.00062558i,0.00075562+0.0013252i,0.00084775+0.0014233i,0.00080989+0.00099155i,0.00070819+0.00078962i,-0.00022405+0.0010714i,-0.00055114+0.0004685i,0.0002799+6.2329e-05i,0.0008427+0.00060634i,0.00054714+0.00025644i,5.9476e-05-0.00049328i,-0.00033696-5.3547e-05i,0.00017313+0.00019727i,0.00082019-0.0003394i,0.00079049-0.00046464i,0.00044532-0.00047803i
-0.0016386+0.0011152i,-0.0011042+0.0023351i,-0.00020856+0.0035719i,0.0011833+0.0041344i,0.0023611+0.0030784i,0.0013921+0.00096815i,-0.00062915-6.9276e-06i,-0.00079775+0.00077259i,0.0001432+0.0025023i,0.00090774+0.0027034i,0.0010807+0.00128i,0.00069291+8.0322e-05i,0.00050311+0.00014744i,0.00035896+0.00027177i,0.00048919+0.00029661i,0.00072324+0.00025329i,0.00048436-0.00025891i,-2.4049e-05-0.0001635i,0.00030349+0.00024955i,0.0001699+0.00044165i,-0.00040358+0.00044953i,-0.00044021+5.3836e-05i,-0.00021167-0.00050583i
-0.00084387+0.00059231i,0.00040649-0.0010479i,0.00079942-5.7539e-05i,0.00054408+0.0012185i,0.00026331+0.00085991i,0.00022333+0.0003563i,0.0002227+0.00013302i,8.4506e-05+0.00038771i,0.00049226+0.00077955i,0.0017214+0.00075114i,0.0017533+0.00038353i,0.00053572-4.2649e-05i,0.00018874-0.00029894i,0.00059006-0.00047842i,0.0010068-0.0013629i,0.00096983-0.0020446i,0.00050376-0.0022456i,0.00087908-0.0016484i,0.0011529-0.0011184i,-0.00023857-0.00081996i,-0.00079192-0.0010374i,-0.00055018-0.0015221i,-0.0010328-0.00082465i
-0.000496+0.00025528i,-0.00019223-0.00042175i,0.0015476-0.00039405i,0.0026259-0.00071028i,0.0023239-0.00087569i,0.0011319-0.0010249i,0.00015508-0.0007952i,0.00024832-0.00013645i,0.00032393+0.00014306i,0.00087256+0.00078074i,0.0013592+0.0009368i,0.00059895-0.00024174i,-0.00041397-0.00049111i,-0.00090933-4.0184e-05i,-0.00025399-0.00040381i,0.00068736-0.00052522i,0.0008261+0.00040268i,0.00039612+0.000521i,0.00090831+2.675e-05i,0.0011692+0.00040015i,0.00068099+0.00050491i,2.0178e-05-0.00026994i,-0.00057718-0.00084443i
0.0010436-0.00047858i,0.0007243-2.8672e-05i,0.0003558+0.001071i,-0.00033375+0.0017352i,0.0002237+0.0020009i,0.00046114+0.00158i,0.00015142+0.0010627i,0.00063866+0.0015232i,0.00051297+0.0020946i,0.0012062+0.0015456i,0.0020106+0.00086807i,0.0010992+0.00016466i,0.00054702-0.00068989i,0.00096639-0.00057562i,0.00079164-0.00031721i,0.00042341+0.00016691i,0.0010747-0.00010608i,0.0012137-0.00075353i,-5.5788e-05-0.00061791i,-0.00091582-0.00053262i,-0.00042796-0.00067044i,0.00073993-0.00070807i,0.0011618-0.0001119i
0.0011378-0.00046311i,0.00091817-0.00062726i,0.0022099-0.00079118i,0.0036564-0.0014698i,0.0032509-0.0011806i,0.00097766-0.00032823i,-0.00032125+0.00016444i,0.00025236+0.00063871i,0.0013799+0.0016265i,0.0018922+0.0017581i,0.0013475+0.00052808i,0.00039698-0.00015834i,-0.00026351-0.00074167i,-0.00075092-0.00038498i,-0.00019411+0.00019618i,0.00078245-0.00044775i,0.0011021-0.0011635i,0.0010537-0.00090586i,0.00015752-0.00046354i,-0.0003659+0.00032687i,0.00013024+0.00079147i,-0.00045834+0.00071892i,-0.00094286+0.00062991i
0.00030554-0.0006589i,-8.8646e-05+0.00032292i,-0.00093936+0.00089845i,-0.00069062+0.00079719i,-8.8837e-05+0.00050078i,0.00017834+0.00029096i,0.00017085+0.00023172i,0.00064121+0.00064611i,0.00089812+0.0016247i,0.00086505+0.0023719i,0.00073778+0.0019111i,8.3248e-05+0.00021856i,-0.00032298+0.00027428i,3.6351e-05+0.00072915i,0.0010031-1.1308e-05i,0.0013755+9.0692e-05i,0.00086543+0.00012181i,0.00039656-0.00082413i,0.00013619-0.0007424i,-0.00021142-0.00029083i,-0.00028592-0.00026535i,-0.00045234-0.00041849i,-0.0011061-4.981e-05i
0.0017755+0.0002657i,0.0017582-0.00066145i,0.0019141-0.0014988i,0.0024972-0.0015552i,0.0029658-0.001204i,0.0024738-0.00046511i,0.001276-7.796e-05i,0.0006411-4.6724e-05i,0.001288+0.00046283i,0.0018428+0.0010597i,0.00084888+0.0013314i,-6.3234e-05+0.00053762i,-0.00052111-0.00013508i,-0.00018034+5.0766e-05i,0.00038156+3.0076e-05i,0.00058557+0.00042665i,0.00037186+0.00077004i,-0.00015462+0.00063786i,-0.00046292+0.0006027i,0.00016696+0.00046047i,0.00037835+6.6908e-05i,-0.00033343-0.00012555i,-0.00049972+0.00032705i
0.00098815+0.0012501i,0.00094787+0.001294i,0.0017737+0.00084061i,0.0020451+0.00078682i,0.0017343+0.00072388i,0.0014953+0.00042161i,0.00083676-5.7181e-05i,0.00045348+6.3646e-05i,0.00034464+0.0008721i,0.00017119+0.0014065i,0.00052558+0.0011996i,0.00076745+0.00052784i,0.00089991+0.00043888i,0.0010659+0.0004599i,0.0014911-5.7074e-05i,0.00083844-0.0012006i,0.00035253-0.0014533i,0.00054536-0.00066899i,0.00075208-1.6198e-05i,0.00044838+0.00063426i,-0.0001636+0.00082916i,-0.00043306+0.0003139i,-0.00049963-0.00012816i
-0.0016906+0.00091897i,-0.00096854+0.0013558i,-0.00081096+0.0024218i,-6.4724e-05+0.0028603i,0.0016362+0.0019347i,0.0016772+0.00042149i,0.0009666-0.00039482i,0.0014727-0.00012263i,0.0017493+0.0012928i,0.0016611+0.0018106i,0.0016381+0.0014393i,0.00072017+0.0013911i,0.00060949+0.00084957i,0.0011395+0.00058304i,0.00023593+0.00038734i,4.5121e-05-0.00041086i,0.00081473-0.00068114i,0.00066837-0.00029478i,0.00012781-2.402e-05i,0.00042171+0.00044799i,0.00066409+0.00053456i,0.00080232-3.6724e-05i,0.00058702-0.00035137i
-0.00057848-1.9239e-05i,0.00051473-0.00016431i,0.0018288+6.9442e-05i,0.0035564+0.00021486i,0.00424-0.0002045i,0.0022616-0.00096864i,9.3913e-06-0.00047709i,-8.179e-05+0.00024267i,0.00094406+0.00061863i,0.0019977+0.0006181i,0.0022761+0.00041779i,0.002077-0.0001462i,0.0012149-0.00024548i,0.00021603-0.00016579i,0.000768+0.00021864i,0.0012297+0.00086754i,0.0013139+0.00028667i,0.00063233+0.00034459i,-0.00046608-7.3297e-05i,-0.00037897-0.00089601i,0.00032779-0.00064471i,0.0004086-0.00038604i,0.00027788-0.00011249i
-0.00022071-0.00074847i,-0.00057327+0.00017792i,-0.00022142+0.00094294i,-0.00041824+0.00034876i,-0.00026284-0.00019312i,0.00053438-0.0001507i,0.00054459+0.00052205i,0.00061137+0.0010801i,0.0010131+0.001623i,0.00086464+0.0016076i,0.00094202+0.00074528i,0.0015932+0.00055435i,0.0015165+0.00071332i,0.00084371-0.0002503i,0.00025284-0.00083916i,0.00065985-9.709e-06i,0.0012545+0.0005024i,0.0013502-0.00014305i,0.00044902-0.00085839i,0.00016259-0.00049174i,0.00083669-0.0001579i,0.0008288-0.00022094i,0.00014874-0.00024659i
0.00086743-0.00053092i,0.0012474-0.00088999i,0.0012496-0.00051475i,0.0010728+0.00022791i,0.001662+0.00030796i,0.001567+0.00018922i,0.00036255+0.00043753i,-1.7582e-05+0.00078375i,0.0013389+0.00028408i,0.0016777+0.00027893i,0.0011861+0.00085838i,0.0010534+0.00032272i,0.00021481-0.00098656i,-3.6334e-06-0.0018964i,0.00068783-0.0016093i,0.00078597-9.0279e-05i,0.00039026-0.00010724i,0.00049577-0.0012647i,0.0002364-0.0011393i,-7.7692e-05-0.00026419i,8.1652e-05-0.0001231i,7.157e-06-0.00023871i,-0.00066116+0.00036006i
0.00074088-0.0019774i,0.00088141-0.0016454i,0.00066448-0.00098536i,0.00036532-0.0004913i,-0.00067187+0.00017923i,-0.00087808+0.00022423i,0.00069968+0.00026011i,0.0021188+0.00077797i,0.0012425+0.0008164i,0.00069863+0.00065583i,0.00096509+0.00026817i,0.0002063-0.00042704i,-0.00079133-3.6066e-05i,-0.00057545+0.00023578i,0.00055281+2.48e-05i,0.00032859-0.00031845i,-4.8942e-05-0.00042396i,-4.1632e-05-0.00027103i,0.00052118-0.00024779i,0.00082916+0.00021603i,0.00013251+6.4121e-05i,-0.00031988-6.4219e-05i,-0.00038104+0.00026027i
-7.5546e-05-0.00035515i,0.0003854+0.00043823i,0.00032874+0.00035027i,0.00033335+0.00048959i,0.0011124+0.001068i,0.00098585+0.00043505i,-0.0003058-0.00045801i,-0.00035465-0.00024927i,0.0001887+2.7724e-05i,0.00075092-0.00013148i,0.0013308-0.00017627i,0.0010557+0.00010347i,0.00022572+0.00071306i,-0.00010011+0.00079295i,9.5435e-05+0.00022197i,0.00038379+0.00043357i,0.00072055+0.00078388i,0.0006447+0.00060441i,0.0010254+0.0010459i,0.00097225+0.00069578i,2.9888e-05-0.00046782i,-1.604e-05-0.00085112i,0.00020743-0.00041289i
-0.0015595-0.00025492i,-0.0012085+0.00050754i,-0.00074779+0.00091433i,0.00031486+0.00086579i,0.0015134+0.00061718i,0.0013357+0.00074637i,0.00074042-0.00022197i,0.00053966-9.9064e-05i,0.0008052+0.00093102i,0.0010979+0.0010562i,0.00094374+0.00037258i,0.00080402+2.9237e-05i,0.001126+0.00069038i,0.0014958+0.0008355i,0.0015039+5.3992e-05i,0.0011524-0.00044009i,0.0005435-0.00043739i,-7.4121e-05-0.00021099i,0.00049142-0.00047196i,0.00047301-0.00033951i,0.00024319-5.9692e-05i,0.00039909-0.00011369i,-0.00010107+0.00020176i
-0.0009901-0.0017477i,-0.0018357-0.0010791i,-0.0024899-0.00076006i,-0.0020334-0.00011626i,-0.00092176-0.00043935i,-7.7363e-05-0.00020063i,5.8542e-05+0.00043285i,-0.0003659+0.00047293i,-0.00020905+0.0003587i,-0.00041126+0.00064092i,-0.00045834+0.0011101i,0.00065862+0.00074904i,0.00092925+0.00049902i,4.0175e-06+0.00027811i,-0.0008627+3.7333e-05i,-0.00086693+8.0451e-05i,-0.00036943+0.00010374i,8.8085e-05-0.00026127i,-5.0369e-05-0.0003825i,0.00014192-0.0002868i,0.00041343-0.0004295i,-0.00028351+0.00015473i,-0.00091432+0.00028218i
-0.0009142-0.0014846i,-0.00051297-0.0010671i,-5.701e-05-0.00040996i,0.00037393+3.2234e-05i,0.00048913+6.7778e-05i,0.00020395+0.00055443i,-0.00070325+0.00038796i,-0.00076443+0.00027486i,0.00019242+0.0014666i,0.0012853+0.002122i,0.0016307+0.0014172i,0.00090058+0.0010756i,0.00042248+0.00088477i,0.00013563+0.00059592i,0.00032798+0.00063491i,0.00048402+0.00037704i,0.00052424-0.00047585i,0.00031522-0.00067271i,-0.00029802-0.00068466i,-0.00052177-0.00052698i,-0.00033812-0.00029087i,-0.000381-0.00079786i,-0.00049491-0.00078472i
0.00097897+0.0016956i,0.0012806+0.001454i,0.0017261+0.0018774i,0.001809+0.0007284i,0.0010902-0.00064298i,0.00063447-0.000939i,0.00055577-0.00031384i,0.0001626+0.0004731i,0.00065548+0.0011163i,0.0011044+0.00095595i,0.0010735+0.00038294i,0.00098532+0.00038758i,0.0005389+0.00066366i,0.00053372+0.0010503i,0.00096514+0.00084575i,0.0011946+0.00042692i,0.0015039+5.0748e-05i,0.0010348-0.0002006i,0.00022413-0.00015031i,-0.00024598-0.00064542i,0.00044008-0.0008773i,0.00058453-0.00060839i,-0.00024131-0.00018112i
-0.00083685+0.00023264i,-0.00058045+0.00087924i,-2.9729e-05+0.0014865i,0.00055739+0.001469i,0.0011863+0.00081529i,0.0010023+0.00064709i,-0.00083423+0.00036206i,-0.0011672+0.00044195i,0.00012234+0.00091047i,0.000862+0.0014784i,0.00075678+0.0014875i,0.00060286+0.00076484i,0.00075669+0.00022308i,0.00096838-0.00031531i,0.00077432-0.00057355i,-3.47e-05-0.00027681i,0.00035264-5.2523e-05i,0.00096273+7.3573e-05i,0.00089586+0.00027466i,0.00036325+3.1826e-05i,-0.00053297-0.00010684i,-0.00061235+5.82e-05i,-0.00013033+0.00036104i
0.0011476-0.00058294i,0.001155-0.00064433i,0.0012099-0.00047316i,0.0010134-0.0010525i,0.00091623-0.0018223i,0.00058224-0.0015828i,-0.00050438-0.0010082i,-0.00013118-0.00048778i,0.00097304+0.00011956i,0.0012638+0.00019932i,0.0008075-8.1779e-05i,-0.00022804+0.00061568i,-0.00067529+0.0012187i,-0.00037284+0.00068277i,0.00021353+0.00017742i,0.00074439-0.00012034i,0.00077915-0.00049634i,0.001104-0.00046311i,0.0009176-0.00046953i,0.00011385+1.7971e-05i,-0.00032617+0.00019489i,-0.00089701-0.00048752i,-0.00095944-0.00080931i
-0.0018387+0.00015485i,-0.0017364+0.00032526i,-0.00069936+0.0012816i,0.00050083+0.0016251i,0.00074476+0.00058775i,0.00075873-0.0006233i,0.00085769-1.1899e-05i,-0.00019458+0.0011242i,-7.0439e-05+0.0012719i,0.0014752+0.0010397i,0.0017969+0.00051595i,0.00088559-5.1472e-05i,0.00019656-0.00019416i,0.00034171+0.00051699i,0.00068791+0.00088588i,0.00054003+0.00014682i,-0.00016693-0.00069329i,-0.00050702-0.0011437i,0.0002589-0.00076671i,0.00085946-0.0001741i,0.00071811+0.00012027i,-0.0001196+0.00030073i,-0.00061662+0.00015164i
-0.0012198+0.00051436i,-0.0012321+0.00026805i,4.7142e-05-5.2225e-05i,0.00070956+0.00016844i,0.00067561+0.00064903i,0.0007416+0.00023173i,2.3392e-05-0.00019611i,-4.3091e-05+0.00014931i,0.00091611+0.00062098i,0.0011305+0.00080943i,0.0011387+0.0010091i,0.00064668+0.00066903i,-3.5772e-07-0.00059817i,0.00031064-0.00079251i,0.0013293+3.1144e-05i,0.0011549-0.00018131i,0.00063663-0.00074364i,0.00045018-0.00061387i,0.00035799-0.00062472i,-0.00011183-0.001006i,-0.0007621-0.00045844i,-0.00028884+0.00015232i,0.00052951+0.00040934i
