-0.00030612+0.0008875i,-0.00040312+0.00076871i,-0.001656-0.00033241i,-0.00053983-0.0011527i,-0.00034844-0.0010372i,-0.0014878+9.7404e-05i,-0.00077193+0.0014341i,0.00067268+0.0017988i,0.0013812+0.00076004i,0.0015086+0.00038234i,0.00078379+0.00067972i,0.00062377+0.00068702i,0.00051262+0.00012575i,-0.00037462-0.0007017i,-0.00074013-0.0002485i,3.089e-05+0.00040558i,0.00059283-0.000113i,-0.00018046-0.00013502i,-0.0008352-6.3056e-05i,1.5558e-05-5.315e-05i,0.00047701+9.8162e-05i,0.00020647+0.00026357i,-0.00054011+0.00015196i
0.00021564-0.00020006i,0.00096849-0.00055128i,0.00023175-0.00080819i,0.00057726-0.00033908i,0.0012136-0.0003847i,0.0011578-0.00039403i,0.00061704-0.00046116i,0.00016777-0.00047908i,-0.00018168-0.000524i,-0.00057799-0.00046011i,-0.00038501+0.00057474i,-0.00049588+0.00054925i,-0.00043201-0.00015545i,-0.00043662-0.00083874i,-0.00057767-0.0014751i,-0.0013467-0.0007871i,-0.0010493-0.00041222i,-0.00019098-0.00048337i,-0.00037903-0.00022497i,-0.00070772-0.0003299i,-0.00039064-1.2944e-05i,0.00019247+0.00043448i,0.00066199+0.00040422i
-0.00081816-0.000632i,-0.0018055-0.00081308i,-0.0013472+0.00041572i,-0.00017866+0.00065675i,4.9745e-05-0.00025713i,-0.00031672+0.00021683i,8.3407e-05+0.00080827i,0.00025724+0.00048441i,-0.00027649+0.00076717i,-0.00079561+0.00091137i,-0.00040582+0.00030565i,-0.00010419+0.0002878i,-0.00064445+0.00038073i,-0.0006727-0.00071657i,-0.00025528-0.001486i,-0.00024016-0.0014101i,-0.00087299-0.00085136i,-0.0012184+7.5996e-05i,-0.0010768+0.00065032i,-0.00049959-4.616e-05i,-0.0002933-0.00027319i,0.00052798+0.00047194i,0.0008801+0.00054866i
5.6998e-06-0.00083331i,-0.0010191-0.0019165i,-0.00022628-0.0024871i,-6.7198e-05-0.001754i,-0.000857-0.0006259i,-0.00019472-0.00046838i,0.00059548-0.00017984i,0.00020219+0.00076858i,0.00012452+0.00084621i,7.6021e-05+2.2324e-05i,1.302e-05-0.00023825i,0.00077326-2.5424e-05i,0.0011847-0.00011798i,0.00030306-0.00017661i,-0.00068686+1.7287e-05i,-0.00052881-8.9818e-05i,-0.00052547-0.00053649i,-0.00086649-0.00081606i,-0.00036945-0.00013236i,0.00059914-0.00025938i,0.00057507-0.0010606i,0.00031469-0.00076397i,0.00022317-0.00030753i
0.00069943+0.0017803i,0.001297+0.00098585i,0.001175+9.2294e-05i,0.00098649-0.00026498i,0.00069844-0.00038862i,-2.3144e-05-0.00026904i,-0.00029044-0.00012075i,1.2513e-05-0.00019943i,0.0004981-0.00044667i,0.0003387+0.00031555i,-0.00046617+0.00087448i,-0.00044138+0.00028775i,0.00026572+9.7249e-05i,-0.00023662-0.00018284i,2.6252e-05-0.00083148i,0.00083447-0.00054966i,0.00031973+0.0001877i,-0.0001859+0.00059281i,0.00038113+0.00065296i,0.00082328+0.00014167i,-0.00024136-0.00030169i,-0.0009824-0.00028704i,-0.00067902+0.00015152i
0.0024907-0.0029951i,0.0022528-0.0021399i,0.0019085-0.0024509i,0.0012347-0.0022435i,0.0010318-0.0013621i,0.00030858-0.00068409i,1.0693e-05-0.0001594i,0.00032412-0.00063853i,0.00025128-0.00071359i,0.00027118-0.00039488i,0.00065453-0.00033868i,0.0006191-0.00035929i,0.00052918-0.0013517i,0.00010915-0.0016549i,-0.00013162-0.00073489i,9.9475e-05-0.00013462i,-4.2305e-05+0.00067095i,-0.00042288+0.00102i,-0.00054705+0.00050333i,-0.00033349+4.857e-05i,0.00077489-0.00082199i,0.00096301-0.0015798i,0.0003082-0.0014713i
0.0016226+0.00074259i,0.0023074+0.0011984i,0.0018917+0.0012796i,0.0017906+0.00084971i,0.0015431+0.00068689i,0.0011784+0.00010038i,0.00072604-0.00030081i,-5.2408e-05+0.00029163i,-0.000462+0.00039607i,-0.00012949+0.00040289i,0.00027047+0.00085387i,0.00056148+0.00025889i,0.001154-1.2723e-05i,0.00094802-6.1923e-05i,-3.8237e-05-0.00087252i,-0.00025268-0.0011274i,-0.00020774-0.00047451i,-0.00062076-0.00028887i,-0.00049908-0.00013887i,-0.00042831+0.00039782i,-0.00078728+0.00057113i,-0.00047681+0.00062028i,-0.0010895+0.00018634i
-0.00013124+0.00048983i,0.00011317+0.00058828i,0.00019455+0.00017953i,-0.00023821-0.00026129i,-0.0003416-0.00055486i,-0.0010897-9.8119e-05i,-0.00096764+0.00053822i,-1.6231e-05+0.0005859i,0.00031049+0.00043649i,0.00055181-0.00015485i,0.0003938-0.00057014i,-2.4669e-05+9.7265e-05i,0.00041977+0.00076011i,0.0007828-4.918e-05i,0.00013889-0.0011281i,0.00017047-0.0010079i,0.00092971-0.00070433i,0.00066676-0.00044155i,-6.6051e-05+3.0699e-05i,7.1543e-07+0.00045208i,-9.1357e-05+0.00039469i,0.00048739-6.938e-05i,0.00079503-1.1003e-05i
-0.00069349+0.001298i,0.00080615+5.0951e-06i,0.00072557-0.00047893i,0.00062989+0.00040536i,0.00023975+0.0010527i,0.00029019+0.00045491i,0.00079224-5.762e-05i,0.0005287-0.00010107i,0.00058688+5.6299e-05i,0.00042305+0.00035084i,1.7675e-05+0.00023675i,0.00026799+0.00032968i,0.00053442+0.00058613i,0.00076208+0.00017697i,0.00051051-0.00075429i,-0.00043692-0.0015516i,-0.00013971-0.00064484i,0.00079778+0.00066651i,0.00046431+0.0010269i,-0.00033037+0.00074051i,-9.5211e-05+0.0001092i,0.00014277+5.3192e-05i,0.00065571-0.00015596i
-0.00023758-0.0018264i,-0.0005191-0.0015106i,-0.0010272-0.0014674i,-0.00046014-0.0010004i,-0.00018822-0.00042514i,4.6049e-05+2.7074e-05i,0.00027602+0.00014939i,-0.0001533+0.00030894i,-0.00072287+0.00085702i,-0.00026992+0.0013222i,-0.00011947+0.001382i,-0.00024853+0.0005711i,-0.00061349-0.00050665i,-0.00025202-0.00015033i,0.0007149+0.00053711i,-8.636e-05+0.00041196i,-0.0012991+0.00013078i,-0.0013352+0.00026454i,-0.0010308+0.00044255i,0.00013072+0.00024421i,0.00098665-0.00017938i,0.00076356-0.00035892i,0.00088134-0.0001053i
-0.0021646+9.1453e-05i,-0.0014585+0.00081273i,-0.0018871+0.00054172i,-0.002083-6.4728e-05i,-0.001211+3.7336e-05i,0.00030698+0.00047849i,0.00085767+0.00025817i,0.00022293+2.6077e-05i,7.2286e-06+0.00052469i,6.3229e-06+0.00096761i,0.00039796+0.0010397i,-3.8847e-06+0.00081503i,-0.00084881+0.00021513i,-0.001015+0.00016138i,-0.0012089+0.0003534i,-0.00089073+0.00016856i,-0.00014506+0.00038663i,0.00019395+0.00030244i,0.00030227-0.00019686i,0.00047909+3.6131e-05i,-8.6012e-05+0.00028746i,-0.00050439-0.00053101i,-0.00049024-0.00084128i
