-0.0053585+0.00080474i,-0.0033621+0.0010803i,-0.0029538+0.0028512i,-0.0011183+0.0037914i,0.00098591+0.0031333i,0.0004663+0.0019076i,-0.00085637+0.0012999i,-0.00032385+0.0017726i,0.00032943+0.0010675i,0.00057329+5.299e-05i,0.00062461-9.5102e-05i,0.00088114-0.00047746i,0.001348-0.0013093i,0.0011721-0.0011781i,0.00081378+0.00034138i,-0.00016934+0.00079761i,-0.0005672+0.00051388i,8.0622e-05+3.928e-05i,0.00026008-0.00044435i,0.00044513+5.6527e-05i,0.0001196+0.0004357i,0.00033259+6.0717e-05i,0.00055574-0.0011002i
0.0012123-0.002065i,6.4793e-05-0.00076462i,0.00013144+0.00019872i,0.00062217+0.0002127i,-0.00021522-0.00022389i,-0.00070897-0.00036992i,-0.00041833-0.00061253i,-0.00060388-0.00039416i,-0.00046887-0.000114i,-0.00044927-4.0945e-05i,0.00014272+0.00037713i,0.00072969+0.00073454i,0.00027397+0.0011462i,0.00059137+0.00072129i,0.00075012+0.00026695i,3.3121e-05-0.00031129i,-0.00042925-0.0005404i,-0.00028636+6.7978e-06i,7.9755e-05+0.00041587i,0.00036609+0.00022461i,0.00012684-0.00018499i,-0.00018112-1.4712e-05i,0.00027387+0.0003525i
-0.0019275+0.00036774i,-0.0014848+0.001284i,-0.0019422+0.0028787i,-0.0017933+0.0035512i,-0.0011262+0.0022771i,-0.0016779+0.00068246i,-0.0020164-2.6678e-05i,-0.0012935+0.00049984i,-0.0010488-7.9057e-05i,-0.00062527-9.2342e-05i,0.00012444+0.00021707i,0.00036332-0.00066514i,0.00044355-0.00085067i,0.0012171-0.0008512i,0.0014272-0.00080053i,0.00056927+0.00022576i,-7.0454e-05+0.00082183i,0.00052482-0.00034776i,0.00074164-0.00085458i,0.0007605-0.00094736i,0.00058291-0.0011706i,9.2312e-05-2.0472e-05i,-0.00070052+0.0010056i
0.0003757-0.00077429i,0.00081449+0.00011993i,0.00056421-0.00042321i,-2.3695e-05-0.00095191i,-0.00072589-0.00097906i,-0.0015897-0.0005154i,-0.0023444-0.00071179i,-0.0015198-0.0004682i,-0.00040518+0.0008727i,-0.00045052+0.0012445i,-0.00057744+0.0012842i,0.00033002+0.0011803i,0.00077027+0.0010667i,-0.00017767+0.00040537i,-0.00018351-0.00071597i,0.00041371-0.0006969i,0.00079397+9.4682e-06i,0.0013944+0.00028192i,0.0014355+0.00071977i,0.001685+0.0004888i,0.00087404-0.00027447i,0.00011351-0.00032714i,0.00013186-0.00012576i
0.0010747-5.0419e-05i,0.00043792-0.00029456i,0.00014939-0.00054322i,-0.00031268-0.0011216i,-0.0011742-0.0013694i,-0.0015901-0.0014746i,-0.0016561-0.0016467i,-0.001244-0.0012253i,-0.00083163-0.00081652i,-0.00053266-0.00035701i,-0.0003203-0.00033255i,2.9284e-05+0.00043631i,0.00041282+0.00085366i,0.00095249-8.5882e-05i,0.0010868+0.00028559i,0.00021236+0.00052535i,-0.00036452-0.00012393i,-0.00059138+4.2696e-05i,-0.0005056+0.00035762i,-0.00012011+0.00072796i,-0.00027272+0.0012284i,-0.00050642+0.0010415i,-0.00021643+0.00057761i
0.00044608-0.00047829i,-0.00021807-0.00010894i,-0.00020659-5.9438e-05i,0.00076308+0.00010443i,0.00084918+0.00050276i,-0.00034981-0.00037319i,-0.0010813-0.00061824i,-0.0010956+0.00028924i,-0.0011326+0.00049842i,-0.0012342+0.00027431i,-0.00087062+0.00076749i,-0.00014734+0.00098658i,-1.9978e-05+0.00052796i,-0.00011477+1.7521e-05i,7.0111e-05-0.00049007i,0.00067034-0.00066292i,0.00052141+0.0002597i,-0.00056783+0.00055229i,-0.0012079+0.00063448i,-0.0011869+0.00030223i,-0.00095973-0.00013283i,-0.0010743+0.00044534i,-0.00042695+0.00071236i
-0.00066191-0.00011948i,-0.0007234-0.00054998i,-0.00082302-0.00035949i,-0.00041527-0.00071137i,0.00026889-0.00098017i,-0.00030511-0.00083871i,-0.00048783-0.00093819i,-0.00014423-0.00065618i,0.000492+0.00028269i,0.00020214+6.5821e-05i,1.5423e-05-0.00039347i,0.00037629+0.00044749i,0.00050329+0.001283i,-9.6709e-05+0.0013142i,-0.0012035+0.0011301i,-0.0014996+0.0003814i,-0.00084396+1.0682e-05i,-0.0007497+0.00071883i,-0.00091398+0.00070012i,-0.0008002+0.0004115i,-0.00047272+0.00098099i,-0.00012523+0.00024353i,-0.00019447-0.0012434i
-0.0027191+0.00020722i,-0.0015097+0.00027575i,-0.0011497+0.0016224i,-0.0012269+0.002719i,-0.00059161+0.0016387i,-0.00014935-0.00012943i,-0.00080952-0.00060316i,-0.0010341+1.9306e-05i,-0.00078521+0.00064286i,-0.00038622+0.0009997i,3.6522e-05+0.0007291i,0.00015224-0.00023917i,0.0002526-0.00030822i,6.9674e-05+0.00043331i,7.4276e-05+0.00049581i,-1.2171e-05+0.00023582i,3.9066e-05+0.00043636i,0.00025053+0.00030338i,0.00045406-0.0003152i,0.00053541-0.00070024i,0.00021999-0.00027449i,-0.00013211+0.00070399i,-0.00018891+0.0011532i
-0.0012254+0.00015105i,-0.0010539-0.00084488i,-0.00084631-0.0005955i,0.00013998-0.00043976i,0.0005391-0.0009675i,-8.1458e-05-0.001501i,-0.0007236-0.001214i,-0.00053291-0.00041464i,-0.00023441-0.00014296i,-0.00012263-0.00052628i,0.00062119-0.00093677i,0.00088523-0.0001863i,0.00034084+0.00015855i,-9.7612e-05-0.00011408i,-0.00027743+0.00054264i,-0.00092636+0.00058094i,-0.0011298-0.00019607i,-0.00057274+0.00012096i,-8.8712e-05-0.00027107i,0.00024705-0.00035492i,8.1154e-05-0.00049239i,-9.319e-05-0.0011293i,0.00039535-0.00025425i
-0.00057118+0.00081927i,0.00060783+0.001137i,0.0018163+0.001961i,0.0018274+0.0016001i,0.000652+0.00025007i,-5.1041e-05-0.00045516i,-0.0001216-0.00064997i,-0.00016685+0.00044858i,1.5093e-05+0.0011995i,0.00011224+0.00093391i,9.1062e-06+0.00053078i,8.0171e-05-0.00054346i,0.00022476-0.00094339i,0.00015764-0.00045364i,9.7297e-05-0.00021053i,0.0001938-0.00021108i,0.00034024-0.00022494i,-0.00046823-0.0010352i,-0.0010316-0.00094582i,-0.00052591+0.00019948i,-0.00031284+0.00097061i,-0.00051038+0.00046317i,-0.00079958-0.00011282i
0.00025666+0.00017742i,0.00061839+0.00097375i,-0.00039958+0.00063817i,-0.00080247+8.8445e-05i,-0.00095608-0.00010199i,-0.0012851+0.00022048i,-0.00088652+2.5985e-05i,9.4527e-05+8.1436e-05i,9.4402e-05+0.00043991i,-0.00060308+0.00036445i,-0.00011173-9.6396e-05i,0.00019865+0.00012936i,0.00050691+0.00030186i,0.00092272-0.00038274i,0.00074777-5.6027e-05i,0.00051711+0.00023928i,0.00046074+0.00034135i,0.00012887+0.00027351i,-0.00010298+0.00015981i,0.00020695+0.0005422i,0.00028194+0.00040685i,-3.8642e-05-0.00044955i,-0.00012753-0.00021955i
-0.00058247-9.5035e-05i,-0.00033682-0.00034094i,1.0931e-06-0.00056933i,0.00042519-1.7821e-05i,0.00046779-0.00033586i,-0.00084434-0.00038182i,-0.0016744+0.00044466i,-0.0015337+0.00026496i,-0.00080759-5.522e-05i,0.00018679+0.00035955i,0.00061384+0.00057334i,0.00014939+8.8974e-05i,-0.0010687-0.00064376i,-0.0011135-0.0014918i,0.00058475-0.0019128i,0.0012575-0.00083836i,0.00011244+3.8919e-05i,-0.00039455-0.00027093i,-0.00044942-0.00052422i,-0.00054281+0.00080272i,-0.00032997+0.001339i,6.2493e-05+0.00051953i,0.00049592-0.00040908i
-0.00017056+0.00040818i,-0.00055385+0.00026077i,-0.00027651+0.0013385i,0.00028076+0.0014023i,5.5182e-05+8.1714e-05i,-0.0011638-0.00091061i,-0.0023417-0.0015951i,-0.0014423-0.00084815i,-0.00019476+0.00031802i,0.00019797+0.00025294i,0.00031597-0.00027942i,0.00038424+0.00021592i,0.00043214+0.00027204i,-0.00026072-0.00022864i,-0.00087104+6.8516e-05i,-0.00062245+0.00026395i,-0.00057194-0.00024432i,-0.0008067-0.00027037i,-0.0005153-0.00018099i,0.00034905-0.00066016i,0.0011252-0.00049421i,0.00052697-4.7326e-05i,0.00014025-0.00044172i
-0.0012294-0.00088487i,-0.0015631+3.2583e-06i,-0.00071001-0.00028841i,1.2653e-06-0.00015043i,-0.00040458+0.00044587i,-0.0011284-0.00013926i,-0.0014253-0.0010582i,-0.00052009-0.0009274i,-0.00028605-0.00042433i,-0.00089894+0.00040576i,-0.00087038+0.00070712i,9.1547e-05+0.00056619i,0.00074672-0.0003661i,0.00059904-0.00073083i,0.00059414-0.00018005i,0.00068714-7.9964e-05i,0.00080696-0.00016561i,0.0010077-0.00041469i,0.00066566-0.0011192i,0.0005008-0.00040176i,0.00068313+0.00025758i,-0.00026016-0.0004153i,-0.00055043-0.00043649i
