0.0014354-1.603e-05i,0.00071322-0.0019395i,-0.0010692-0.0030053i,-0.0023856-0.0020567i,-0.0027685-9.3016e-05i,-0.002208+0.0015879i,-0.0010397+0.0019766i,0.00016132+0.00089368i,0.00060877-0.00010901i,9.1491e-06-0.00039796i,-0.00022252-0.00053373i,-7.5024e-05-0.00082438i,-0.00012561-0.00041259i,-0.00057481+0.00027729i,-0.0010808+0.00078429i,-0.00012595+0.00098401i,0.00049271+0.00092875i,-0.00046912+0.0013829i,-0.00099483+0.0017722i,-0.001046+0.0002726i,-0.00091187-0.00087162i,-0.0006062-0.00019315i,-0.0004069-4.9001e-05i
0.00012454+0.001725i,0.00027834+0.00074806i,0.0001543+0.00061658i,-0.00043836+0.00020828i,-0.00084504+0.00039929i,-0.00017136+0.00062156i,0.00045567+0.00033368i,0.00025991+0.00019709i,0.00021527-6.1167e-05i,0.00010748+0.00048822i,-0.00023052+0.0009282i,-7.7666e-05+0.00026018i,0.00035751-0.00021544i,0.00012893-3.9088e-06i,0.00027526-0.00086656i,0.00098722-0.0011337i,0.00062826+1.095e-05i,-0.00023354+5.1931e-05i,-0.00061107-0.00081069i,-0.00033272-0.0004782i,-0.00080145-3.5552e-05i,-0.00071682-0.00013789i,-0.00022202+0.00015039i
-0.0014955-0.0007065i,-0.0012199-0.00050842i,-0.00062104+4.5173e-06i,-8.0363e-05+2.0379e-05i,0.00046194+0.00074564i,0.00071079+0.0011016i,0.00076566+0.00073881i,0.00014871-3.8405e-05i,-0.0002156-0.00072839i,-0.0002508-0.00080959i,-4.8541e-05-0.00053168i,0.00041842+1.9261e-05i,0.00032064+0.0001828i,-3.9415e-05+0.0004792i,-0.00050318+0.00086225i,-0.00051826+0.00053178i,-0.00071988+0.00067733i,-0.00056506+0.00067527i,-0.00017326+0.00061363i,-0.00017151+0.00015147i,-0.00012416-0.00093058i,0.00065502-0.0014916i,0.00036853-0.0012258i
-0.00023368-0.00076315i,-0.00033449-0.001001i,-0.00090281-0.00053295i,-0.00068637+0.00023018i,-0.00090021+0.00052691i,-0.00077705+0.00098708i,-0.00012748+0.0012351i,0.00017484+0.00054859i,0.00061036+0.00020578i,0.00060615+0.00017234i,-7.5896e-06-0.00035085i,-5.656e-05-0.00051174i,0.00041036+2.8652e-05i,0.00055541+0.00067878i,-6.5454e-05+0.0003684i,-0.00043816-0.0002944i,-0.00020562-0.00063953i,0.00010668+4.1107e-05i,0.00023419+0.00039893i,-0.00062669+4.2497e-05i,-0.0013708+0.00041948i,-0.00071305+0.00077645i,-0.00017624+0.00029974i
0.0020738-0.0010653i,0.002746-0.0010143i,0.0022905-0.0012646i,0.00065818-0.00099116i,-0.00055681+0.00019838i,-0.0006728+0.0012396i,6.1696e-05+0.00085052i,0.00021416+0.00020215i,4.597e-05-0.00021835i,0.00040263-0.00010961i,-5.1062e-05+0.00011772i,-0.0009179-0.00035372i,-0.00086655-8.9776e-05i,-7.2016e-05+0.0001533i,8.6019e-06+0.00029319i,0.00059323+0.00070281i,0.00048215+0.00063106i,-0.00033058+0.00041037i,-6.1965e-05+0.00017779i,0.00030192+0.00029947i,0.00030695+0.00075323i,-4.5414e-05+0.00066114i,-0.00044418+0.00022074i
-0.0018222-6.474e-05i,-0.0018707+0.00047998i,-0.0020957+0.00093576i,-0.00080771+0.0012161i,0.0003325+0.00098258i,0.0012688+9.4504e-05i,0.0014024+0.00013664i,0.0010452-0.00046698i,0.00071056-0.0004347i,0.0008967+0.00050681i,0.00062749+0.0010083i,-3.0774e-05+0.00034409i,2.8351e-05+6.7597e-05i,-0.00011512-0.00042124i,-0.0002899-0.0015487i,-0.00023048-0.0012882i,-0.00026661-9.6035e-05i,-0.00021688+0.00035134i,0.0006111+0.00017999i,0.0016722-1.7574e-05i,0.0016929-0.00022609i,0.0012524+8.8468e-05i,0.00061823-0.00011094i
-0.00030496+0.0010066i,0.00024836+0.00029999i,0.00013371+0.00073163i,0.00019715+0.00048676i,5.3659e-05+3.8705e-05i,5.4207e-05-0.00014953i,0.00032891-7.2541e-05i,0.00035565-0.00015323i,0.00027381-7.7326e-05i,0.00044316+0.00035884i,0.00043036+0.00057376i,0.00056083+0.00034064i,0.00044656-0.00093686i,0.00047345-0.0011727i,0.00091376-0.00067699i,0.00019388-0.00039703i,-0.00076814-9.5186e-05i,-0.00062085+0.0003591i,-0.00063359+0.00035381i,-0.00026991+0.00067187i,-7.3646e-05+0.00094324i,0.00024022+0.00055302i,0.00091083-0.0003232i
0.0027323-0.0010783i,0.0026936-0.0020907i,0.0017774-0.0027286i,-0.00030417-0.0022144i,-0.0015527-0.0010704i,-0.0014471+0.00032622i,0.00037526+0.0010683i,0.0013328+0.0015332i,0.0012867+0.00034651i,0.0010278-0.00076331i,0.00055839-0.00036315i,0.00042708+0.0002346i,-0.00027028+0.00063906i,-0.00036694+6.2796e-05i,-0.00075588+9.2554e-05i,-0.0011687+0.00031634i,-0.00071483+0.00048849i,-0.00011418+0.00070601i,0.00068061+0.00020969i,0.0014147-1.9204e-05i,0.00088126-0.00011693i,-0.00031599-0.00085293i,-0.00056433-0.00086869i
-0.00038438-0.0014987i,-0.0021134-0.0011662i,-0.0027366-0.0011669i,-0.0012508-0.00069304i,0.00069096+0.0010569i,0.0012441+0.0020379i,0.0015155+0.0014687i,0.0012734+0.00078895i,9.0047e-05+0.00019704i,0.00019024+0.00058694i,0.00039583+0.00059209i,0.00028929-0.00048093i,0.00070031-0.00010715i,0.00086359+0.00094925i,0.00066726+0.00064111i,0.00059545-1.4525e-05i,0.00061262-8.0381e-05i,0.00039619+0.00058075i,-3.8947e-05+0.00027822i,-0.00018413-0.00032109i,-0.00015696-0.00047591i,-8.1797e-05-0.00049049i,0.00018941-0.00015237i
0.00044576-0.0013969i,-0.00039162-0.0010388i,-0.001217+9.7296e-05i,-0.00089102+0.00050558i,-0.00030809+0.00029962i,0.0001492-0.00021394i,0.00042362-0.00070372i,0.0006132-0.0010119i,5.1311e-05-0.00073326i,-0.00051005+0.00042136i,-0.00081014+0.0011221i,-0.00084697+0.00027223i,-0.0003629+9.5344e-06i,-4.466e-05+0.00026406i,-0.0001619+0.00019665i,-0.00052199+0.00067497i,-0.0007143+3.9409e-05i,-0.00066605-0.0006573i,-0.00072516+1.3754e-05i,-8.2972e-05+0.00087315i,0.00043744+0.00050385i,0.00057928-0.00033085i,0.00059467-0.0010697i
-0.00024228-0.00024935i,-0.00069327-3.4096e-05i,-0.00023557+0.00069549i,4.4315e-05+0.00094561i,-0.00045969+0.0010314i,-0.00037744+0.00084469i,0.00019944+0.00028646i,0.00078426-0.00040968i,0.0008315-0.0009042i,-7.9284e-05-0.0006962i,-0.0002938+2.6307e-05i,-0.00032071+0.00056381i,-0.00052343+1.4699e-05i,-9.3407e-05-7.4592e-05i,0.00059366+0.00061582i,0.00049639+0.00014731i,0.00027877-0.00044213i,0.00048942-0.00010083i,0.00029399-0.00032078i,-3.894e-05-0.00063605i,-7.2386e-05-5.2848e-05i,0.00054147-0.00074915i,0.0011921-0.0013356i
