0.0014354-1.603e-05i,0.00071322-0.0019395i,-0.0010692-0.0030053i,-0.0023856-0.0020567i,-0.0027685-9.3016e-05i,-0.002208+0.0015879i,-0.0010397+0.0019766i,0.00016132+0.00089368i,0.00060877-0.00010901i,9.1491e-06-0.00039796i,-0.00022252-0.00053373i,-7.5024e-05-0.00082438i,-0.00012561-0.00041259i,-0.00057481+0.00027729i,-0.0010808+0.00078429i,-0.00012595+0.00098401i,0.00049271+0.00092875i,-0.00046912+0.0013829i,-0.00099483+0.0017722i,-0.001046+0.0002726i,-0.00091187-0.00087162i,-0.0006062-0.00019315i,-0.0004069-4.9001e-05i
-0.00086812+0.00052216i,0.00021536+0.00084442i,-0.00038374+0.00093579i,-0.00030093+0.00083227i,0.00033391+0.0004292i,0.00057563-8.0874e-05i,0.00010205+0.00033399i,-0.00044945+0.00018717i,-6.9464e-05+0.00033265i,0.00065387+0.0012218i,0.00097035+0.0010118i,0.00060715+0.00086202i,0.00029653+0.00024135i,0.00047974-0.00064573i,0.00063958-0.00091457i,0.00051288-0.00052648i,0.00036211+0.00016152i,-0.00051659-5.1643e-05i,-0.0012139-0.00034598i,-0.00078107-0.00040251i,-0.00064196+0.00027941i,-0.00064757+4.9286e-05i,-0.00054449-0.00021553i
-0.00015768-9.935e-05i,0.00075088+0.00041455i,0.00072479+0.00034863i,-0.0002944-0.00085126i,0.00046053-0.0012722i,0.00096987-0.00055353i,0.00043332-0.00022143i,-0.00017671-0.00073855i,-6.8343e-05-0.00067758i,0.0003047+3.3572e-05i,0.00046689+0.000128i,0.00062174-2.6036e-05i,0.00080764-0.0004111i,0.00070649+0.00040532i,0.00059248+0.0012366i,0.00012036+0.00058137i,-3.597e-06+0.00014013i,2.8999e-05-2.2401e-05i,0.00013482-0.00031303i,9.9998e-05-0.00056093i,-0.00062183+5.8439e-05i,-0.0010158+0.00086204i,-0.00074568+6.3672e-05i
0.00011129-0.0013944i,-0.00050327-0.0011452i,-0.001238-6.072e-05i,-0.00045928+0.0012014i,8.5052e-05+0.0013775i,-0.00028041+0.0011826i,0.00018749+0.00046411i,0.00092038-0.00079497i,0.00094894-0.0012556i,0.00096415-0.00072814i,0.00074445-0.00058123i,-0.00022256-0.00068315i,-0.00044248-0.00061953i,-0.00015075-0.00024158i,-0.00018787-0.00029433i,-0.00036003+0.00020311i,0.00018336+0.00048603i,-8.2828e-05+0.00027083i,-0.00087053+0.00020526i,-0.00066042-0.00015871i,0.00017033-0.00034139i,0.00025485-0.00050854i,1.8059e-05-0.0006878i
-0.00016086+0.00013312i,-0.0012353-0.00041956i,-0.001114+0.00050304i,-0.00089231+0.0014539i,-0.00093472+0.0016426i,5.3645e-05+0.00063407i,0.0010259-0.00040832i,0.00082352-0.00063421i,-5.7241e-05-0.0001494i,-0.00079899+0.00081204i,-0.00045682+0.00046892i,0.00023462-0.00054135i,0.00016012-0.00053378i,0.00013189+0.0002991i,7.3453e-05+0.00027577i,-0.00030278+0.00018695i,-0.00042242+0.00014394i,-0.0004327+0.00027712i,0.00013984-7.7929e-05i,0.00085817-3.2081e-05i,1.6823e-05-0.00012281i,-0.00075807-0.00038603i,-0.00070778-2.1928e-05i
-0.00011774+0.0010456i,0.00074021+0.00052134i,0.00097741+0.0012458i,0.00028378+0.0012663i,-0.0001494+0.00071524i,0.0004899+0.00064008i,0.00095555+0.00065697i,0.00071071+0.00016164i,0.00021401+0.00055586i,-0.00046443+0.00099434i,-0.00037023+0.00022996i,-6.9444e-05+8.6482e-06i,-4.4764e-05+0.00031144i,4.6947e-05-3.6037e-05i,0.00032103-7.7956e-06i,-7.9767e-05+0.00070775i,-0.00052801+0.00068614i,-0.00059625+0.00036349i,-0.00033174+0.00044813i,0.00023956+0.00063318i,0.00014598+0.00015245i,-0.0003435-0.00037573i,-0.00063652-0.00032982i
0.0010743-0.0020119i,0.0003548-0.0023449i,-0.0002968-0.0027312i,-0.0015639-0.0016623i,-0.0020695-0.00047429i,-0.0015651+0.00056844i,-5.5382e-05+0.0010899i,0.00049797+0.0006608i,0.00062352+0.00078733i,0.00092063+0.0011425i,0.00088842+0.0011627i,0.0004168+0.0012256i,4.6468e-05+0.00079832i,5.219e-07+0.00026139i,0.00043886+0.00053636i,0.0007785+0.0013028i,0.00068807+0.00047471i,0.00078196-0.00016431i,0.00042686+0.0001753i,-0.00019481+0.00028212i,-0.00044931+0.00042236i,-0.00063689-0.00039137i,-0.0011896-0.00094808i
-0.00078767-0.0011645i,-0.00097127-0.0010628i,-0.0014179-0.0011264i,-0.0015336-0.00015753i,-0.00065181+0.0015888i,0.0011622+0.0023112i,0.001533+0.0013108i,0.0011919+0.00044283i,0.00096368-1.6912e-05i,0.00062099+8.0927e-05i,0.00048679+0.00071154i,0.00057013+0.00026288i,0.00069961-0.00019873i,0.00041692+6.932e-05i,-0.00074651+0.00060637i,-0.0011306+0.00058669i,-7.6246e-05+0.0002097i,0.0001997+0.00013059i,2.6659e-05-0.00019937i,8.1704e-05-0.00016411i,8.1977e-05+5.5463e-05i,-0.00044455-1.2509e-05i,-0.00025397+0.00023966i
0.0013247-0.00080732i,0.00091059-0.0020916i,-0.00038901-0.0026476i,-0.00040882-0.0020338i,-0.00053618-0.00026344i,-0.0011479+0.00042302i,-7.0633e-05+0.0010649i,0.0012258+0.0005404i,0.0010507-0.00072804i,0.00058256-0.0010048i,0.00039742-0.00081321i,-4.8328e-05+0.00034945i,-0.00094345+0.00054007i,-0.0010297+0.00024958i,-0.00043379+7.9471e-05i,0.00066091-0.00021328i,0.0011098+0.00071035i,0.00039093+0.00060394i,0.00017129-0.00053339i,-0.00011982-0.0012254i,-0.00010403-0.0005666i,0.00036116+0.00028486i,0.00059858+0.00012713i
-0.00098962+0.00015647i,-0.00045852+0.0011611i,-9.8359e-06+0.0013805i,0.00012931+0.0010368i,0.00040851+0.00050509i,0.00044879+0.0014085i,0.00081005+0.0019948i,0.00034435+0.0011745i,-0.00038913+0.00081222i,-0.00010531+0.00016597i,0.00010088-0.00092864i,-5.6452e-06-0.00037281i,6.6896e-05+0.00032937i,-0.0002658-0.00024247i,-0.00081925-0.0011021i,-0.00060393-0.0009845i,0.00044752-0.00015687i,0.00057449+3.1928e-05i,-4.0086e-05+0.00022792i,9.6908e-06+0.00014055i,-0.00032797-0.00045511i,-0.00039549-0.00064899i,0.00083172-0.00061394i
-0.00025254-0.00059102i,0.00064047-0.0004622i,0.0014752-0.00023665i,0.00090606-0.00018053i,-0.00030243+0.00033048i,-0.00067715+0.00027428i,0.00059211-0.00044941i,0.0011612-0.00044147i,0.00021927-0.00044871i,1.469e-05+0.00060799i,2.3816e-05+0.0023164i,-0.00054225+0.0018253i,-0.00020512+0.00093041i,0.00043798+0.00083971i,0.00016088+0.00066305i,-8.7908e-05+0.00072786i,-0.00021606+0.0010082i,-0.00074215+0.00033275i,-0.0012352-0.00017882i,-0.00068562-0.00093293i,0.00010047-0.0011371i,0.00047888-0.00014552i,0.00062693+0.00045081i
-0.00078053-0.00063999i,-4.5359e-06-0.0015984i,0.00065773-0.0012917i,0.00066345-0.00045964i,-0.00010754+0.0002155i,1.8695e-05+0.00068988i,0.00053689+0.00045949i,0.00080651+0.00014923i,0.0006332+2.9124e-05i,0.00051291-1.1353e-06i,0.0011879+0.00016127i,0.0008831+0.00058912i,-0.00042361+0.00052258i,-0.00035506+7.3844e-05i,0.00044291-5.8242e-05i,0.00053946-6.239e-05i,-0.00046771+0.00021577i,-0.0013766+0.001021i,-0.00081714+0.00092544i,-0.00028267+0.00084603i,6.9279e-05+0.00032455i,0.00047252-0.0007913i,0.00055175-0.00090944i
-0.00042979-0.0019521i,-0.00090433-0.0012361i,-0.0020319-0.0011944i,-0.0015545-0.0008321i,-0.00086308+0.00025725i,-0.00049551+0.0010137i,0.0010985+0.00031069i,0.0014165-0.00017212i,0.0003952+0.00028056i,-8.5397e-05+0.00017097i,4.4481e-06-0.00039174i,0.00068064-0.0004711i,0.0003568-0.0002013i,0.00012338-0.00026471i,0.00054487-8.0109e-05i,0.00045533+3.5356e-05i,0.00034663-0.00040748i,0.00071921-0.00024309i,0.00046088-0.00013392i,1.761e-05-0.00061581i,-0.0001795-0.00019296i,0.00020504+0.00044672i,0.00023552-0.00040496i
-3.9284e-05+0.0013245i,-0.00091217+0.0006746i,-0.0012133+0.00027141i,-0.001013+0.00022545i,-0.00081287+0.00040525i,-0.00072062+0.00073936i,-0.0002741+0.00065214i,0.00030974+8.4912e-06i,0.000311-0.0003096i,0.00016445-0.00024608i,0.0003816-0.00026619i,0.00078475-0.00024352i,0.00041822-0.00059395i,-0.00048742-0.00040438i,-5.9041e-06-0.00033967i,-0.00014909-0.00014989i,-0.00051533+0.00075264i,0.0004809+0.0010547i,0.00050361+0.00056437i,0.00015248-0.00014613i,-0.00017631+6.0784e-05i,-0.00016618-0.0001796i,0.00041764-0.00029817i
-0.00011713-0.00033243i,0.001202-0.00085094i,0.0014355-0.00076072i,0.0011129+0.00037924i,0.00096004+0.0010969i,0.00065932+0.001798i,0.00074248+0.0015836i,0.00095825+0.0011646i,0.00013525+0.0015455i,-0.00054479+0.0011171i,-0.00060837+0.00048076i,-0.00064218+7.3484e-05i,-0.00088384-4.9404e-05i,-0.00038311+0.00060018i,-0.00059106+0.00097203i,-0.0009482+5.3634e-05i,6.6557e-05-0.0010082i,0.0006403-0.0012453i,-0.00044594-0.00093269i,-0.00082397-0.00068588i,-0.00043756-0.00053495i,0.00032041-0.00018136i,0.0011169-8.0407e-05i
-0.0014459-0.0012576i,-0.0029555-0.0012848i,-0.0038259+0.00030519i,-0.0025439+0.00026223i,-0.00039827+0.00028194i,0.0012052+0.00050253i,0.001593+0.00070014i,0.0006806+0.00010009i,-0.0001887-0.0005116i,-0.00069092-0.0002063i,0.00033113+0.00017502i,0.0012449+0.00056605i,0.00064113+0.00064789i,-0.00016508+0.00050466i,0.0003288+0.0001283i,0.00064239+0.00012097i,0.00012074+0.00017361i,-0.00022699-0.00013354i,0.00029708-0.00040394i,-7.8095e-05-0.00052114i,-0.00072881+7.3075e-05i,-7.2131e-05-0.00019189i,0.00033216-0.00077943i
-0.00017264-0.0015256i,-0.00079903-0.0014063i,-0.00078666-0.002031i,-0.00036742-0.0023726i,-0.00027641-0.0011086i,-0.00032832+4.4945e-05i,0.0008979-0.00013451i,0.0020858-0.00052502i,0.0012536+0.00061421i,0.00017689+0.0014905i,0.00057929+0.00079124i,0.001166+0.00034951i,0.0006385+0.00048124i,-0.00042341+0.00017103i,0.00011118+0.00041774i,0.0001058+0.00091503i,-0.00084471+0.00052869i,-0.00069027-0.00033176i,0.00033435-0.00049012i,0.00027137-0.00058237i,-0.00063978-0.00052386i,-0.00088325+0.00033019i,-0.00072928+0.00086422i
0.00086481-0.00036791i,0.0014739-0.0010692i,0.0012664-1.4692e-06i,0.00092173+0.0008466i,0.00059443+0.00092717i,0.00036308+0.0010109i,0.00038932+0.0006165i,0.0008152+0.00018413i,0.00084047+0.00013147i,0.000712+0.00023598i,0.0011792-9.7746e-05i,0.00041396-0.00038081i,-0.00057664-0.00063525i,0.00023995-0.00062097i,-0.00018765-0.00027722i,-0.00084381-0.00057067i,-0.00069062-0.00068877i,-0.0007593-0.00065703i,-0.00075241-0.00089365i,-0.00043527-0.00070468i,-4.4353e-05-0.00011695i,-2.9281e-05+0.00059514i,-0.00031641+0.00053129i
0.00056062-0.00016879i,-3.0493e-05-0.00081204i,-0.00067299-0.0014782i,-0.0011394-0.00090912i,-0.0012878+0.0010296i,-0.00095977+0.0017612i,-0.00070958+0.001918i,0.00013352+0.00093018i,0.00064712-0.00077147i,-0.000111-0.0013641i,-0.00098227-0.001417i,-0.0012757-0.00074696i,-0.0012784-4.4122e-06i,-0.00082483+0.00087298i,-0.00087426+0.0013136i,-0.001012+0.00054117i,-0.00043381+0.00025908i,4.6266e-05+7.3506e-05i,0.00030843-0.00086805i,-5.7133e-05-0.00061508i,-0.00039874-0.00065169i,-0.00033407-0.00051548i,-0.00044378-0.00029447i
0.0015304-0.0036221i,0.001328-0.0027459i,1.7276e-05-0.0021884i,-0.0012138-0.0019584i,-0.001452-0.0011131i,-0.00032019+0.00077316i,0.00078578+0.00064103i,0.00073871-0.00068084i,0.00034983-0.00076366i,-0.00011894-1.0954e-05i,-0.00087599+0.00027708i,-0.0014274+0.00066774i,-0.00097582+0.0017231i,-0.00032987+0.0018711i,-0.00024834+0.00093439i,-0.00031804+0.00064459i,-0.00034421+0.00054234i,-0.00012243+4.0005e-06i,0.0001294-0.00046034i,0.00025301-0.00031957i,0.00032243-0.00025854i,-0.00028646-0.00053455i,-0.00058615+0.00019795i
0.00093278-0.00095571i,0.00081841-0.0013576i,-0.0002534-0.00089883i,-0.0014478+3.9406e-05i,-0.0012675+0.000472i,-0.00050244+0.00099038i,0.00080551+0.0015257i,0.0014741+0.00089531i,0.00060658+5.839e-05i,-0.00035408-0.00022054i,-0.00038285-1.9469e-06i,-0.00034274+0.00093262i,-0.00069197+0.00089926i,5.076e-05+0.00079043i,0.00085247+0.00022699i,0.00083621-0.00082741i,5.8402e-05-0.0012923i,-0.001161-0.0011511i,-0.001186-0.00054118i,-0.00058807-0.00025623i,0.00011117-0.0006431i,0.00026001-0.00056624i,1.4978e-05+0.00019624i
0.00025493+8.1659e-05i,0.00056473+0.00018396i,-0.0007473-5.1002e-05i,-0.00013464-0.00085247i,0.0010248-0.00051559i,0.0009108+0.0010109i,0.00072736+0.0012753i,0.0004464+0.00046628i,0.00027387-0.00018163i,0.0001546+9.6395e-05i,0.00048332+0.00063337i,0.00069542+0.00051031i,0.00020347+0.00024702i,-0.0002148-0.00024407i,-0.00057394-0.0010592i,-0.0010971-0.0009059i,-0.0014102-0.00020943i,-0.00085967-0.00013683i,-0.00072247-0.00031291i,-0.00045308-5.9003e-05i,0.00064591+2.6798e-05i,0.00029416-0.00020306i,-0.00053385-0.00038096i
-0.0016277-0.00025335i,-0.00057391-0.00092256i,-0.00042286-0.00030252i,-0.00043128+0.00026778i,-4.1788e-05-2.1798e-05i,-3.147e-05+0.00023118i,0.0003614+0.00068921i,0.00057767+0.00048704i,-0.00022412+0.00011773i,9.3452e-05-0.00059702i,0.0012025-0.0010979i,0.0012515-0.0014719i,0.00037894-0.0017939i,1.139e-05-0.0012325i,5.4606e-05-0.00048395i,0.00022805+0.00034396i,0.00035137+0.00069259i,-0.00053963-6.6289e-05i,-0.00090539-0.00094972i,-0.00033135-0.00070898i,1.4917e-06-0.0003407i,-0.00074822-0.00023217i,-0.0008479-0.00056303i
0.0010019-0.00061769i,0.0011775-0.0013609i,0.00035342-0.0020208i,-0.00092454-0.0017512i,-0.0011402-0.00070372i,-0.0011922+0.00018947i,7.2488e-05+0.00076422i,0.00064105-9.5868e-05i,0.00055044-0.00096567i,9.6439e-06-0.0010188i,-0.00056455-0.0011317i,-0.00047384-0.00087658i,-0.00028756-0.0003125i,-0.00035186-0.00016228i,-0.00094881+0.00017017i,-0.00097987+0.0009477i,-0.00043942+0.00098266i,-0.00021047+0.00044096i,-9.0284e-05+0.00060051i,0.00014439+0.00061262i,5.3616e-05+0.00064381i,-0.00018262+0.00072678i,-0.00066278+0.0006248i
0.00020544+5.9323e-05i,-0.0011286-0.0017483i,-0.0012411-0.0020951i,-0.0006861-0.0014493i,-6.5339e-05-0.00039572i,0.00020488+0.0008032i,-0.00033024+0.0012527i,-0.00041464+0.00077241i,-0.0010594-2.7548e-06i,-0.00089953-0.00027102i,5.0717e-06+0.00036698i,0.00013297+0.00099342i,-0.00039674+0.00065606i,-0.00076949+0.00035504i,-0.00066782-0.00023864i,-0.00024382-0.00075747i,0.00052719-0.00057335i,0.00035428-0.00023084i,0.00025926-0.0002557i,-0.00021968-0.00020832i,-0.00031029-0.00011616i,-0.0004836-0.00037919i,-0.00041297-0.00026281i
2.1576e-05+0.00072906i,-2.3646e-05+0.0010807i,-0.00024827+0.0016247i,0.00055286+0.00099283i,0.0011463+0.00027712i,0.0013233+0.00022808i,0.00086215+0.0011518i,-0.00045092+0.001714i,-0.00057763+0.0017419i,0.00040046+0.001967i,0.0002611+0.0016373i,0.00031977+0.0010238i,4.226e-05+0.0014617i,-0.00030253+0.0014818i,-0.00017495+0.00074345i,0.00011695+0.00025732i,0.001052+0.00011699i,0.0014181+8.4918e-05i,0.0012633+0.00029785i,0.00059014+0.00043069i,-0.00037377+5.631e-05i,-3.3677e-05+0.00013747i,0.00040946+0.00043934i
-6.6201e-05-0.00033955i,-0.00074365-0.00050751i,-0.0012967-0.00097902i,-0.0010527-0.00085303i,-0.00070108+0.00062493i,-0.00046063+0.0018893i,0.00067374+0.0020845i,0.0010913+0.0010325i,0.00069169+0.00017431i,0.00074271+0.00019612i,0.00053505+0.00043842i,0.00040305+0.00061307i,0.00087943+0.00082901i,0.0009844+0.0012391i,0.00053013+0.0012521i,0.0002064+0.0009789i,-0.00044255+0.00051881i,-0.00074269-4.1237e-05i,1.9903e-05-0.0001225i,0.00023464-0.00032736i,-0.00074367-3.7271e-05i,-0.00109+0.00032838i,-0.00027836-0.00015529i
0.0015247-0.00083115i,0.0019205-0.0016083i,0.0019166-0.001615i,0.00072405-0.0015803i,-0.00088292-0.00087351i,-0.00097732+0.00040482i,0.00074434+0.0004776i,0.0014617-0.00047637i,0.00077226-0.00098933i,0.00081932-0.0012952i,0.00092428-0.0016496i,0.00060547-0.0015919i,-0.00043929-0.0005371i,-0.00061711+0.00011613i,-0.00061315+0.00014454i,-0.00099104+0.00034313i,-0.001307+0.00053637i,-0.00081574+0.0002997i,-0.00037431+0.0003837i,-0.00017941+0.00038724i,-0.00021709+0.00011953i,-0.00051562-0.0001831i,-0.00041598-0.00060622i
0.0011843+0.0014509i,0.0021976+0.00077258i,0.0023954-0.000471i,0.00092522-0.0004838i,-0.001286-5.7417e-05i,-0.0020688+0.00013638i,-0.00059334+0.00036187i,0.00073706-0.00041018i,0.00029819-0.00093666i,-0.00079149-0.00079428i,-0.00082063-0.00042147i,-0.00063198-6.6841e-05i,-0.0011341-0.00036396i,-0.0015039-0.00032673i,-0.0011581+0.00029195i,-0.00067321+0.00084601i,-0.00015503+1.498e-05i,0.00074572-0.00069058i,0.00083824-4.8077e-05i,0.00025617-8.1874e-05i,-9.7588e-05-0.00065552i,-0.00048771-0.00076273i,-6.9526e-05-0.00035166i
-0.0013316+0.00058307i,-0.0021362+0.00042469i,-0.0016616+0.00069104i,-0.00072312+0.00077751i,-0.0001121+0.0005316i,-0.00096217+0.00066355i,-0.0016253+0.00066869i,0.0001201+0.00041447i,0.0010574+0.00017358i,0.00050212+0.00019615i,-0.00069629+0.00020466i,-0.0010919+1.1515e-05i,-0.00083786+0.00028375i,-0.00026239+0.00056641i,7.3266e-05+0.00052309i,-0.00010012+0.00054236i,-0.00021252-0.00020115i,-0.00014939-0.00089649i,3.6456e-05-0.00060063i,-0.00018287-0.00043821i,-0.00034113-0.0003597i,-0.00021498-4.9984e-05i,0.00022585-0.00033788i
0.00055572-0.0023113i,0.00077311-0.0030032i,0.00087368-0.00299i,0.00077597-0.00047184i,0.00027674+0.0017972i,-0.0001036+0.0021917i,-0.00076594+0.001637i,-0.000542+0.00086616i,-0.00031432+0.00019996i,0.00020447+0.00066541i,6.2343e-05+0.0011527i,-0.00041923+0.0012909i,0.0001869+0.00045523i,0.00088841-0.00065881i,0.00050745-0.00023775i,0.00010805+0.00024453i,0.00013365-0.00049643i,0.00072962-0.00060219i,0.00053738-0.0003962i,-2.7821e-06+8.4349e-05i,-3.3834e-05-3.3836e-05i,-0.00061901+0.00016226i,-0.00048513+0.0010053i
0.0022063-0.00016193i,0.00082667-0.00065768i,0.0003964-0.00069632i,-0.00024488-0.00044209i,-0.00083456-0.00074563i,-0.00034741+0.00063211i,0.00055842+0.0015299i,0.00072175+0.00086087i,0.00016672+0.00026183i,0.00025081-9.8826e-05i,0.00053906-6.4899e-05i,0.00057013+0.00021775i,6.7958e-05-0.00010349i,-0.00010607-0.00061651i,-0.00039575-0.00042854i,-0.00055637-0.0001142i,-0.00029045-0.00023337i,-0.00019059-0.00043192i,-0.00039304+7.504e-06i,-3.7535e-05+0.00011356i,0.0004051+6.7845e-05i,0.00087836+0.00019111i,0.00080695-9.891e-06i
