-0.0033344+0.0018625i,-0.0026063+0.0017931i,-0.0045223+0.0040307i,-0.0050422+0.0052549i,-0.0031529+0.0045444i,-0.0010227+0.0025797i,-0.00028268+0.0021641i,0.00034939+0.0033072i,0.00089057+0.0036705i,0.0010416+0.0026069i,0.0016064+0.0011704i,0.0021303+0.00019003i,0.0011864-0.0012464i,0.00024552-0.0017014i,3.8374e-05-0.00067506i,0.00012485+0.00025548i,-0.00021189-1.1715e-05i,-0.00010756-0.00040233i,0.00049911-0.00013505i,0.00042207+0.00019715i,0.00024764-2.3218e-05i,8.3335e-05+0.00015958i,-0.00036782+0.0002601i
0.00032516-0.00074506i,0.00018118-0.0017253i,-0.00059639-0.0036678i,-0.0018177-0.0025688i,-0.0019376+0.000585i,-0.0010627+0.0012447i,-0.00059616-0.00066908i,-0.00018246-0.00091523i,0.00034111-0.00020689i,0.00094036+0.00011738i,0.0006183+0.00051252i,-0.00026409+0.0005224i,0.00018942+0.00015314i,0.00057415-5.1388e-05i,0.00038139+8.014e-05i,-0.00013607+0.00042923i,-0.00062138+5.1383e-05i,-0.00090859+6.0925e-05i,-0.00069262+0.00049735i,0.00018384+0.00018867i,0.00050326-0.00018248i,0.0003354+0.0003575i,0.00032723+0.00075871i
-0.0010101+0.0010854i,0.00032809+0.00047594i,0.00018436+0.0012262i,-0.0013903+0.0012644i,-0.0019821+0.000278i,-0.0020694+0.00020067i,-0.002134+0.00051297i,-0.0012347+0.00029842i,-4.0558e-05+8.8747e-05i,0.00042575-0.00028201i,0.00013106+0.00020074i,0.00026746+0.0011951i,0.00070246+0.0010755i,-1.377e-05+0.00036146i,-0.00058902+0.00026714i,-0.00065969-0.00027455i,-0.00040632-0.0010195i,8.8379e-05-0.00029115i,-0.00014538-6.0851e-05i,-0.00010973-0.00015292i,0.00056145+0.00058383i,0.00058801+0.0011523i,3.0726e-05+0.00090572i
0.0014235-0.00046821i,0.0005077-0.0012754i,-0.00033769-0.0023696i,-0.00069736-0.0019846i,-0.0010386-0.0012254i,-0.0010796-0.00063435i,-0.0012418+0.0005648i,-0.00070587+0.0014389i,0.00027351+0.00031472i,0.00067027-0.0006219i,0.00098901-0.00071238i,0.0009011+2.7083e-05i,-0.00013077+0.00039455i,-8.0188e-05+0.00066429i,-0.0001808+0.00092392i,-0.00075692+6.5179e-05i,-0.00051002+0.00031108i,-0.00036177+0.00049097i,-0.0005006-0.00027312i,-0.00034397-0.00047482i,0.00042538-0.00039217i,0.0010194-0.00072636i,0.0012555-0.00097889i
0.0016678-0.00042634i,0.0015114-0.00063778i,-0.00025009-0.0011695i,-0.00087607-0.0013022i,-0.00062578-0.00065016i,-0.00033414-0.00015053i,-0.00030719-0.00090909i,-7.4425e-05-0.00039797i,-6.1322e-06+0.00050475i,8.4607e-05+0.0002444i,0.00069882+0.00026429i,0.00056863+4.9131e-06i,0.00036606+9.2837e-05i,0.00052843+0.00024748i,0.00041346+0.00020404i,-0.00012316+0.00036773i,-0.00049621-4.9663e-05i,-0.00028794-0.000188i,-0.00043893-0.00021634i,-0.00042922-8.8069e-05i,8.255e-05+0.00035868i,0.00043335-0.00050638i,0.00032449-0.001039i
-0.00073842-9.7746e-05i,-0.00028712+0.0004628i,-0.0025332+0.00096404i,-0.0036784+0.0018317i,-0.002077+0.0021005i,-0.00030369+0.0012897i,0.00021771+0.00059728i,2.9666e-05+0.00045185i,-1.0481e-05+0.00043167i,0.00065736+0.00050845i,0.0006912+0.00077319i,0.00023315-0.00022369i,-2.572e-05-0.0013431i,-0.00053875-0.0011907i,-0.00073975-0.0010723i,-0.00060439-0.0012036i,-0.0010796-0.00054917i,-0.0013162-0.00033936i,-0.00070421-0.00091384i,-0.00063138-0.00097572i,-0.0010758-0.00050287i,-0.00069471-0.00020933i,3.0186e-08-5.0636e-05i
0.00099604-0.00084898i,0.00080951-0.0010809i,0.0010407-0.0019708i,4.9365e-05-0.0029339i,-0.00158-0.0024221i,-0.0014068-0.0004557i,-0.00064222+0.00036534i,-0.0002872+0.00023585i,-0.00028141-2.4104e-05i,-0.00029894-0.00093658i,0.00015339-0.00083083i,0.00084014+0.00015277i,0.00092478+8.1596e-05i,0.00089748+0.00024061i,0.00095063+0.00066089i,0.00060907-0.00013354i,-0.00052079-0.00012457i,-0.0011153-0.00023824i,-0.0006012-0.00079239i,-0.00028839-0.00013789i,-0.00038185+9.077e-05i,0.00031807-0.00015667i,0.00080735-0.00013738i
0.00057012+0.00065293i,0.00063595+0.00030804i,-3.0609e-05-0.00049107i,-0.00074028-0.00052416i,-0.0014709+0.00014503i,-0.0019965-0.00064723i,-0.0015046-0.0020196i,-0.00036285-0.0011637i,0.00019017-0.00035307i,-5.8629e-05-8.0161e-05i,0.00028189+0.00047262i,0.00035235+0.00049161i,0.00021578+8.3813e-05i,0.0002091+0.00013749i,0.00046159+0.00013319i,0.00051765+0.00038599i,-0.00021957+0.00061306i,-0.00096731+0.00043294i,-0.00063702+0.00027311i,0.00028631-0.00041474i,0.0011727-0.00027765i,0.0014999+0.00059475i,0.00084766+0.00043678i
0.00031773-0.0001814i,-5.0132e-05-0.0003404i,0.00023063-0.00050615i,-0.00043859-0.0006585i,-0.00034975-9.8634e-05i,0.0006438-0.00065555i,0.00052334-0.00087955i,-0.00049428-0.00032566i,0.00039377-0.00077813i,0.00089155-0.0011052i,0.00026056-0.00059027i,-0.00031556-0.00060489i,-0.00089861-0.00098948i,-0.00071064-0.00034502i,0.00018881+0.00023181i,-0.00010112+0.0003259i,-0.00043733+0.00014851i,-0.00016222-3.7299e-05i,-0.00055788-0.00056797i,-0.00035039-0.0004774i,0.00040671-5.353e-05i,0.00056924-0.00018983i,0.00068747-1.5733e-05i
4e-05+0.0009798i,0.00037171-0.0001954i,0.00080188-0.00056615i,0.00011994+2.0228e-05i,-0.0002083+0.00036439i,-0.00024666+0.00011352i,-0.00049291-0.00024327i,-0.00054978+0.00024798i,0.00044288+0.00082965i,0.00071157+0.00024154i,0.00034-0.0004449i,0.00042766-8.0264e-05i,0.00060218-7.2807e-05i,6.8739e-05-0.00082451i,0.00033352-0.00068171i,1.5065e-05-0.00010476i,-0.0013968-0.00069289i,-0.0013715-0.00092079i,-9.7726e-05-0.00010643i,0.00026876+0.00015769i,0.00034412-0.00010354i,0.00060847-2.9873e-06i,0.00035035+2.9533e-05i
0.0010884+0.00037552i,0.0019924+0.00065305i,0.0019166+0.00067202i,-1.3708e-05+0.0002807i,-0.001208-0.00019284i,-0.00060215+0.00012616i,-0.00015147-0.00048678i,-8.0064e-05-0.0012801i,-8.3385e-05-0.0012578i,0.00019537-0.00089914i,0.0010259-0.00052771i,0.0011793-0.00026794i,0.0010526+2.6733e-05i,0.00066498-1.6253e-05i,7.7353e-05-0.00044812i,-0.00068145-0.001033i,-0.001093-0.00091998i,-0.00093388-5.0465e-06i,-3.4874e-05+0.00041254i,0.00030507+0.00078779i,0.00020514+0.0003503i,0.00098042-1.1242e-05i,0.00082354+0.00043672i
