-0.00023683+0.0004814i,0.00033691-0.00054225i,-0.00035526-0.0016677i,-0.00085713-0.001186i,-0.0011111+0.00056519i,-0.00081738+0.0018344i,0.00010377+0.0026362i,0.00078153+0.0012117i,0.00081307-0.0005117i,0.00088924-0.00061438i,0.00064586-0.00045037i,2.21e-05-0.00078525i,-0.00028948-0.0009621i,-0.00042875-0.0009374i,-0.00065479-0.0010656i,-0.00067565-0.00073083i,-0.00021499-0.00021256i,0.00057978+0.00017124i,0.0010321+0.00043034i,0.0006257+0.00056388i,0.00046601+0.00039091i,0.00034625-7.5649e-05i,-0.00037507-0.00051089i
-0.00031491-0.00089727i,-0.0005704-0.0017888i,-0.0013232-0.0024606i,-0.00095196-0.0013153i,-0.0002049+0.00011141i,-0.00043315+0.0013469i,-0.00045934+0.00043091i,-4.521e-05-0.00066508i,-4.2106e-05-0.00088688i,-0.00090753-0.00037534i,-0.00085212+0.00037128i,-0.00058019+0.00047843i,-0.00029323+0.00048566i,0.00021753+0.0009767i,0.00067575+0.00051598i,0.00031621+2.9725e-05i,-0.00021319+0.00019725i,-0.00031662-0.00022388i,0.00016614-3.6042e-05i,0.00058396-0.00016033i,0.00013824-7.2242e-05i,-0.00046543-0.00031263i,-0.00090815-0.00087794i
-0.001347-0.00032542i,-0.00058949-0.00078075i,-0.00058322-0.00041215i,-0.00085302+0.00092687i,-0.00075877+0.0016266i,-0.00071064+0.001868i,-0.00045042+0.001239i,0.00019866+0.00011956i,2.1652e-05-0.00062474i,-0.00065666-0.00073069i,-0.00069105-0.0011801i,-0.00019698-0.00081925i,-8.3966e-05+0.00041638i,0.00038231+0.00034235i,0.00093207-0.0010752i,0.00055684-0.0011581i,0.00069033-9.3808e-05i,0.0010975+3.5385e-05i,0.00065752+0.00020885i,0.0005165+0.00053015i,8.1921e-05+0.00013676i,-0.00023684-0.00038026i,0.0006852-0.00018221i
0.00084155-0.0001255i,0.00079505-0.00066242i,0.0011303+0.00011728i,0.00069337+0.00050401i,0.00023643+0.0011258i,-0.00031334+0.0013107i,-0.00064221+0.00053949i,2.6045e-05-0.00016322i,0.00076618-0.00030456i,0.0002502-7.8815e-05i,-0.00015203-2.6172e-05i,-0.00028016-0.00044094i,-0.00093046-0.00069828i,-0.00063667-0.00066489i,0.00041732-0.00092543i,0.00050177-0.00019893i,0.00061395+0.00016867i,0.0011464+1.5953e-05i,0.00076597+0.00017372i,0.00039735-5.6831e-05i,-0.00019576+0.00038876i,-0.00074752+0.00082733i,-0.00051626+0.000834i
0.00086335-0.0012911i,0.0014052-0.0011607i,0.00099471-0.00015759i,0.00067112+0.00018059i,0.0017347-0.00026523i,0.0019767-0.00051417i,0.0012276-0.00020176i,0.00035575-4.4014e-05i,9.6069e-05+4.7136e-05i,0.00072162+0.00010953i,0.00068786+0.00040026i,-0.0002641+0.00023308i,-9.1375e-05+0.00011025i,0.00013464+8.2914e-05i,0.00027532-0.00032913i,0.00046241+2.1587e-05i,2.818e-05-4.918e-05i,0.00083533+4.4308e-05i,0.0012426+0.00045862i,0.00060205+0.00032394i,4.2009e-05+6.8564e-05i,0.00024449-0.0002415i,0.00047661-0.0005491i
-0.00034981+0.0016943i,0.00016643+0.0006118i,-0.00044152+0.00094654i,-0.0003272+0.000786i,3.942e-05+0.00030974i,-0.00010479+0.00025742i,-0.00013679+0.00055031i,-0.00043641+0.0010886i,-0.0012302+0.0007973i,-0.00085693+0.00056794i,3.7967e-05+9.3369e-05i,-0.00028775-0.0011138i,-6.631e-05-0.00092752i,0.00044436-0.00056045i,0.00037905-0.00095975i,0.00012988-0.0012041i,-0.00063405-0.00086182i,-0.0012445+0.00016759i,-0.00041981+0.00050123i,-0.00030238+0.00031913i,-0.0012421+0.00032377i,-0.0010417+9.7285e-05i,0.00021193-2.6962e-05i
-0.00013415-0.0021321i,0.00043963-0.0017025i,-0.00043669-0.0018075i,-0.0019468-0.00055211i,-0.0017099+0.0012837i,0.00034316+0.0024169i,0.001315+0.0014532i,0.00074673+5.9278e-05i,2.2475e-05-0.00025877i,-0.00046947-0.000169i,-0.00023845+0.00029299i,-0.00026992+0.00022762i,0.00028714+0.00080227i,0.0007949+0.00067086i,7.179e-05+0.00024455i,-0.00011345-6.8048e-05i,6.6165e-05-0.0008085i,0.00035362-0.00040348i,0.000738+0.00040594i,0.00041601+0.00053324i,0.00035763-1.8452e-06i,0.00047694-0.00062044i,0.00034822-0.00050612i
-0.0010877-0.0021167i,-0.0006817-0.0020209i,-0.00063064-0.00086327i,-0.00065253+0.0005175i,-0.00055162+0.0015356i,0.00031223+0.0016902i,0.001077+0.0012577i,1.3478e-05+0.00024363i,-0.0010309+6.021e-05i,-0.00042038+0.00046361i,0.00076589+0.00034173i,0.00069248+0.00044645i,0.00034652+0.0006258i,0.00064111+8.5175e-05i,0.0015861+0.00012957i,0.0017587-0.00039588i,0.00085047-0.0010521i,0.00070472-0.00015335i,0.00070273+0.00058593i,0.00027526+0.00026429i,0.00014117+0.00035036i,-0.00013578+0.00031427i,0.00030718-0.00039406i
-0.0021558+0.00048482i,-0.0014575-0.00052399i,-0.00086512+4.8222e-05i,-0.0006137+0.001212i,-3.0485e-05+0.001215i,0.00010829+0.00054779i,8.7414e-06+6.6625e-05i,0.00055752-4.6863e-05i,0.00043407-0.00013881i,7.6346e-05-0.00012748i,-6.3942e-05+0.00031222i,-4.4443e-05+8.2178e-05i,0.00014532+0.00014583i,-1.4511e-05+0.00072742i,-0.00012387-0.00028166i,-0.00027469-0.0011313i,-0.00012912-0.001259i,-0.0004-0.0013497i,-0.00061039-0.0011525i,-0.00035972-0.00044051i,0.000241+0.000198i,0.00013944+0.00042306i,-0.00034105+0.0013689i
0.0029392-0.00077004i,0.0025645-0.0026016i,0.00071913-0.0028466i,-0.00033436-0.0020214i,-0.0010619-0.0012481i,-0.00099626-0.00065569i,0.00031545+0.00057463i,0.00015227+0.0015006i,-0.00032505+0.00099457i,8.1387e-06+0.00056534i,0.00019966+0.00039727i,-0.00011182+0.00033345i,-0.00027041+0.00099473i,7.4443e-05+0.0015866i,-1.2821e-05+0.0011167i,9.6658e-05+0.00019743i,0.00052379-0.0003898i,0.00062691-0.00020225i,0.00063523+8.3612e-06i,0.00087177-0.00064907i,0.00083534-0.00068219i,0.00032434+6.1928e-05i,0.00045354+0.00072042i
0.00064342+9.1365e-05i,0.00045413+0.00034115i,0.00090227+0.00028326i,0.00077438+8.0942e-05i,0.00071414+7.2995e-05i,0.00048436+0.00063752i,0.00026189+0.00028944i,0.00022078+0.00046057i,7.1603e-05+0.00038701i,-0.00021715-5.7716e-05i,-0.00034119+0.00014685i,-6.5098e-05-6.092e-05i,0.00016865+0.0001458i,0.00028606+0.00051601i,0.00056369+0.00020027i,0.00076547+8.2502e-05i,0.00059999+0.00028687i,0.00063238-2.7557e-05i,0.00062009-0.00012447i,0.00057767+0.00044409i,0.00099389+0.00065344i,0.00072757+0.00046648i,2.222e-05+0.00031051i
