-0.001367-0.00026488i,-0.0011526-0.0011932i,-0.0012104-0.0013849i,-0.0012597-0.00087958i,-0.0020274+0.00058213i,-0.0021062+0.0010455i,-0.0018741+0.0010872i,-0.0012737+0.0015739i,3.4507e-05+0.0007633i,0.0012948-0.00011611i,0.0013638-0.00026149i,-0.00025584+0.00018159i,-0.0012591+0.00066719i,-0.00074286+0.00043841i,-0.00030164+0.0002172i,-0.00019997+0.00016143i,6.6886e-05+0.00045764i,-0.00012942+0.00067248i,6.0649e-05+0.00046171i,0.00088327-0.00037035i,0.00056866-0.0013384i,0.00024897-0.0016142i,-0.0001345-0.00084819i
-0.0032887+0.0022511i,-0.0013615+0.0016866i,0.0004486+0.0015122i,0.0011219+0.00081346i,0.0012247+0.00066215i,-2.5524e-05+0.00012948i,-0.0011429-2.3469e-05i,-0.00094983+0.00052416i,-0.00041919+0.00025598i,0.0003959+0.00019649i,1.1766e-06+7.3262e-05i,-0.00026851-0.00063747i,5.9671e-05-0.00088205i,-4.3323e-05-0.00085437i,0.00049374-0.00059507i,0.00093479-0.0012188i,0.0011076-0.00090489i,0.00019162+0.00039251i,-0.00029655-0.00047523i,0.0001306-0.00081502i,-7.685e-05-0.00046376i,0.00036205-0.00073081i,0.00084067-0.00056775i
-0.00048111+0.00066954i,0.00090425+0.0017026i,0.0013263+0.0022592i,0.00066843+0.0022049i,5.3454e-05+0.0013971i,0.00014901+0.00050104i,-0.00012287+0.00045491i,-3.553e-05+0.00039813i,0.00027334-0.00011566i,0.00032396-0.00083067i,0.00039039-0.00091684i,0.00014459-3.904e-05i,5.5452e-06+0.00072496i,0.00025972+0.00089309i,0.00026899+0.00066096i,-4.733e-06+0.0005365i,-0.00089982+0.00070958i,-0.0012318+0.00013549i,-0.00028361-0.00041881i,-0.00017878+0.00019807i,-0.00086314+0.00052511i,-0.00084406-2.4573e-05i,-0.00050134-0.0002849i
-0.00087887-0.0008767i,-0.0018352-0.0010478i,-0.0029484-0.00038176i,-0.0026317-0.00051155i,-0.0016985-0.00038314i,-0.0016024+0.00012007i,-0.0016807+0.0004346i,-0.0011239+0.00097658i,-0.001221+0.00048012i,-0.0010017+0.00040544i,-0.00039314+0.00087066i,-0.00018587+0.00031999i,-0.00035629+0.0001657i,-4.1297e-05+0.0010425i,0.00038082+0.0015276i,0.000188+0.0014607i,-0.00044885+0.0015058i,-0.00090374+0.0011796i,-0.0007037+0.00020659i,-4.0354e-05-0.00044774i,0.00059235-0.00072327i,0.00042349-2.9075e-05i,-0.00026363+0.00063454i
0.001172-0.00038608i,-0.00044742-0.0011729i,-0.0015227-0.0012432i,-0.0018935-0.00089025i,-0.0019334-0.00047694i,-0.0012529+0.00056726i,-0.00068704+0.00056424i,-0.00066792+0.00028512i,-0.00056764+0.00018931i,-0.00064592+0.00029531i,-0.00055643+0.00019576i,1.5858e-05+0.00030306i,0.00015007+0.00067462i,0.00015692-9.1891e-05i,0.00058861-0.00094432i,0.00087623-0.00055571i,0.00046327+7.9924e-05i,-4.6874e-05-0.00027496i,8.0613e-05-0.00052997i,1.2812e-05-0.00039097i,-0.00019918-0.00046162i,-0.00042117-0.0005972i,-0.00025376-2.105e-05i
-0.0016673+0.0015924i,-0.00010622+0.00081333i,0.00064122+0.00077379i,6.001e-05+7.3201e-05i,-0.00062057-0.00020717i,-0.0012502+6.3075e-05i,-0.0014389-0.00036621i,-0.0014188-0.00027013i,-0.0010925+0.00023842i,-0.00042503+0.00050181i,0.00019724+0.00086009i,-3.7394e-05+0.00076967i,3.1028e-05+0.00092126i,0.00055443+0.0013646i,0.0001274+4.0036e-05i,-0.00016809-0.0003421i,-0.00041804+0.00039108i,-0.00025895-0.0002133i,0.00071163-0.00065902i,0.00079906-0.00021483i,-9.2083e-05+0.00029069i,-0.00034661-0.00049449i,-0.00054043-0.00038807i
0.00020126+0.00012176i,-0.00064091+0.00069722i,-0.0014777+0.00081814i,-0.0014746-0.00015507i,-0.0014696-3.3185e-05i,-0.0014662+0.00067486i,-0.0013341+0.0011383i,-0.0010408+0.00090129i,-0.000531+3.8748e-05i,-0.00050705-0.00051419i,-0.00057404-0.00064416i,-1.4374e-05-0.00032078i,-0.00025248-0.00022602i,-0.00073051+9.6451e-05i,-0.00072203+0.00094281i,-0.0011181+0.00084272i,-0.0013377-0.00026376i,-0.0010649-0.00062167i,-0.00053211+0.00032495i,0.00013169+0.00074629i,-3.2507e-05+0.0011581i,-0.0006642+0.001078i,-0.0011749+0.00055448i
0.0010169+0.0040106i,0.001216+0.0023637i,0.0014627+0.00086333i,0.0011526-0.00076968i,-4.8783e-05-0.00081852i,-0.00076675-0.00012062i,-0.00090318+0.00045276i,-0.00050525+0.00082181i,2.5703e-05-7.5234e-06i,0.00073729-0.00057834i,0.0013138-0.0010377i,0.00085911-0.00060685i,0.00057188+0.00013895i,0.00073159+0.000147i,0.0002494-0.00053452i,-0.00068519-0.00052566i,-0.00052415+8.4405e-05i,-0.0002695-0.00044325i,-0.00060356-0.0011057i,-0.0004032-0.00066583i,0.00019076+0.00060506i,0.00061929+0.00063659i,0.00056507-0.00026647i
0.0001377+7.4222e-05i,-0.00030167-0.00067562i,-0.00039776-0.00187i,-0.00033201-0.0019337i,7.7614e-05-0.00068648i,-0.00053669+0.00012325i,-0.0014296+8.4063e-05i,-0.0013766-0.00014871i,-0.00052848+1.6589e-05i,-0.00038363+0.00050307i,-0.0005194+0.00012427i,5.1166e-05-0.00028125i,0.00023856-0.00010865i,-7.3821e-05-0.0003548i,-0.00064996-0.00083206i,-0.00060673-0.00079109i,-0.00023542+5.4226e-05i,-0.00028632+0.00067267i,-0.0001419+0.00031736i,0.00039845-0.00042921i,0.0010058-0.00077241i,0.0010917-0.00075975i,0.00054029-0.0001638i
0.0017087+0.0017709i,0.0022627+0.0018496i,0.0022238+0.0028425i,0.001574+0.0023909i,0.00052721+0.00072802i,-0.0007133+0.00045883i,-0.0014322+0.00094482i,-0.00086558+0.0011101i,-0.00036741+0.00047134i,-0.00056458-0.00011474i,-0.00031716-0.00015187i,-1.1031e-05-0.00039225i,0.00028788-0.00024331i,-0.0001279+3.8024e-05i,-0.00068225-2.9898e-05i,-0.00093485-0.00026091i,-0.00053996-0.00058672i,0.00060274-0.0011527i,0.00058908-0.0010388i,-0.00050132-0.00063272i,-0.00047959-0.00050164i,3.7212e-05-0.00064336i,-0.00079215-0.00019997i
-0.00071734-0.0016736i,-0.00024735-0.0016946i,-0.00020178-0.0011523i,-0.001154-0.0001728i,-0.0017621+0.00092097i,-0.00083272+0.0017435i,-0.00076749+0.0016971i,-0.00089868+0.0014863i,-1.538e-05+0.00080257i,0.00056884+7.2681e-05i,-0.0002595+4.4916e-05i,-0.0011664+0.00039734i,-0.00085414+0.00041919i,5.2985e-05-0.00012257i,0.0008173-0.00050257i,0.00053204-0.00026944i,-0.00055597+0.00028457i,-0.00086067+0.00069022i,3.3701e-06+0.00056821i,0.0011836-5.8617e-05i,0.0012292-0.00023634i,0.00024028-0.00016101i,-0.00046295-0.00031251i
