-0.00028027-0.0012065i,-0.00013239-0.00056151i,-0.0006459-6.8485e-05i,-0.0010057-0.00075297i,-0.0011808-0.00074584i,-0.0013993+0.00046778i,-0.00035858+0.0020015i,0.00097311+0.0020065i,0.0011911-8.8427e-05i,0.00068922-0.001203i,0.00065435-0.0006781i,0.0006662-0.00018845i,0.00035289-0.00037327i,-0.00010865-0.00024424i,-0.00039935-0.00039213i,-0.00043552-0.00052266i,-4.6169e-05-2.8682e-05i,-5.1829e-07-0.00032724i,0.00011154+9.5183e-05i,0.0002261+0.00071541i,-7.2484e-05-0.00048272i,-4.9464e-06-0.0011263i,0.00058545-0.0003292i
0.00011469+0.003526i,0.0022756+0.0038416i,0.0046303+0.0032309i,0.0030096+0.00062464i,0.0013389-0.0015869i,-0.00013001-0.0014667i,-0.0010793+0.00012008i,-0.0015401+0.0012803i,-0.001373+0.00071876i,0.00018106-0.0005321i,0.00084624-0.00068594i,3.2323e-05-0.00033982i,-0.0011564-8.2458e-05i,-0.0017542-9.1817e-05i,-0.0018833-0.00057329i,-0.0010773-0.00057666i,0.00038902-0.00070937i,0.0005952-0.00027542i,0.00015849+0.00044162i,0.00014779+0.00034953i,0.00046628+0.00026044i,-0.00019753-1.1562e-05i,-0.0012031-0.00058387i
-0.00091958+0.0010077i,0.00057714+0.00086561i,0.00022697+0.00022985i,-0.0010871+0.00066409i,-0.0015729+0.00072926i,-0.00049331+0.00043929i,-0.00039906+0.000277i,2.4451e-05+9.1759e-05i,0.00057468+0.00044518i,0.00082153+3.9707e-05i,0.0016016+8.2375e-05i,0.0012558+8.4914e-05i,0.00026887-0.00050047i,0.00055088-0.00088861i,0.00093435-0.0013245i,0.00037665-0.0010706i,-0.00014313-0.00020121i,-0.00049676+0.00022951i,6.7762e-05-0.00062843i,0.00094156-0.00076939i,0.0011233-0.00025989i,0.00085956-0.00025992i,0.00063576-0.00083476i
-0.0011273+0.00074238i,-0.0014684+0.00084506i,-0.0019274+0.0010758i,-0.0016683+0.00060664i,-0.0013218+0.00059506i,-0.00069463+0.0013305i,-0.00027459+0.00096797i,-0.00059067-0.00015798i,-0.00052274-0.00015262i,-2.2331e-05+0.00015839i,7.6464e-06-0.00087418i,0.00047037-0.0010215i,0.00044335-0.0001077i,-0.00072494+0.00064046i,-0.00072388+0.00045392i,0.00038659+0.00013596i,0.00069409+0.00029866i,0.00023977+0.00066897i,0.00035782+0.00098002i,0.0010752+0.00053799i,0.00094646+0.00063864i,8.614e-05+0.00045256i,-0.00066115+9.5113e-05i
3.8525e-05+2.8672e-05i,0.0013383+0.0007644i,0.0025122+0.0015808i,0.0024158+0.0009876i,0.0013175+0.00039779i,-0.0002387+0.00089005i,-0.0014452+0.00051692i,-0.0012023+0.00043088i,-8.5506e-05+0.00092023i,0.00093914+0.00064117i,0.00069007+0.00043992i,0.00078055-0.00021896i,0.00071441-0.00053968i,-6.1529e-06-0.0008593i,0.00015574-0.00061812i,0.00051172+0.00023956i,0.00063145+0.0011112i,0.00061226+0.00086543i,4.2173e-05+0.00038079i,-0.00081965+0.00034241i,-0.00053615-9.3125e-05i,-0.00012061-0.00054578i,-8.8159e-05+0.00020467i
0.00016349+0.00066921i,-0.00094622+4.5352e-05i,-0.00083548-0.0010252i,-0.00075653-0.0014165i,-0.0013184-0.00038908i,-0.0015103+0.0010892i,-0.00073515+0.0022549i,-3.701e-05+0.0013104i,0.00034693-0.00024398i,7.274e-05-0.00014531i,-0.00051985+0.00016088i,-0.00040756-7.343e-05i,0.00013488-0.00022637i,0.0002068-7.4297e-05i,-0.00088225+0.00029967i,-0.0012167+1.8607e-05i,-0.00038782-0.001138i,0.00015962-0.001567i,-0.00021042-0.00097504i,-0.00046646-0.0002728i,-0.0012139+0.00029036i,-0.0015804+0.00058111i,-0.00039216+0.00028046i
-0.00062794+0.00066726i,-0.00013442+0.0016717i,-0.00081857+0.0017259i,-0.0014182+0.00081926i,-0.0016964+0.0005139i,-0.0016114+0.00029565i,-0.00086646-0.00019414i,-0.00058472+6.9861e-05i,-0.00091379-0.00019615i,-0.00081833-0.00056276i,-0.00024278-0.00054992i,0.00045773-0.00049251i,0.00040906-0.00027098i,0.00018057+5.9142e-06i,0.00048575+0.00085491i,0.00089825+0.00084594i,0.00097486+0.00010202i,0.00055547+2.3315e-05i,-0.00016002+0.00022548i,-0.00032976-9.4297e-05i,-0.00011575-0.00037355i,-0.00019516-0.00022786i,-0.00035778-0.00039399i
-0.00071085-0.00063625i,-0.0014909-0.00056857i,-0.0010094-0.00016134i,-0.00041316+0.00034007i,-0.00095698+0.00031135i,-0.0015031+0.0010851i,-0.000584+0.0019135i,-0.00010653+0.001152i,7.0072e-05+0.00040974i,0.00018024-0.00037212i,-0.00019921-0.00017027i,-0.00028676+9.3646e-05i,-0.000521-0.00090083i,-0.00045727-0.0010122i,-0.00056026-0.00010961i,-0.0014441-0.00010119i,-0.0014755-0.00032347i,-0.00046813-3.0692e-05i,0.00054817+0.00041846i,0.00038905+0.00061758i,6.8562e-05+0.00047683i,-6.5118e-05+5.5637e-05i,0.0006876-7.2156e-05i
0.00053536+0.00041422i,0.0011707+0.00089264i,0.001971+0.00082224i,0.0016968+0.00048966i,0.00048629-0.00026664i,-0.0009509-0.00027484i,-0.0014412+0.00031006i,-0.00081338-4.2782e-05i,-0.00055949-0.00048088i,0.00022183-0.00051064i,0.00082281-0.0002764i,-8.0393e-05-0.00054744i,-0.00069594-0.00017513i,-0.00038539+0.00085264i,6.4954e-05-0.00013903i,0.00083176-0.00072368i,0.0005437+0.00026657i,-0.00020026+0.00070922i,-0.00020928+0.00037722i,0.00021889+0.00074176i,0.00065042+0.0013878i,0.00041425+0.00050298i,0.00011825-0.00047623i
0.0011955+0.00055589i,0.00044556+0.0010144i,0.00029903+0.00067166i,-0.00062219-0.00054075i,-0.001058-0.00093078i,-0.00066441+0.00024749i,-0.00021303+0.0016689i,-0.00020571+0.0018459i,-0.00055831+0.00098818i,-0.0008385+0.00020076i,-0.00092556-4.5412e-05i,-0.00084557-0.00070286i,-0.00096339-0.00012753i,-0.00076343+0.00063242i,-0.00070458+0.00061185i,-0.00041715+0.00027559i,0.00062507-0.00016015i,0.00045748-0.00045568i,-0.00012033-0.00017036i,2.1643e-06-0.00013283i,3.1975e-05+6.0133e-05i,0.00024731+0.00028529i,0.00018966-8.4078e-05i
-0.00092067+0.00083655i,-0.0015539+0.0016337i,-0.0012205+0.0012485i,-5.4143e-05-0.00022572i,0.0012536-0.00059283i,0.0015708-0.00022798i,0.00018176-5.6303e-05i,-0.00033546-0.00056692i,0.00032969-0.00059197i,0.00052922-0.00070256i,1.9346e-05-0.0005541i,0.00017135+3.2745e-06i,0.0011434+2.0033e-05i,0.0010052+0.00012404i,0.00018911+8.2073e-05i,0.0002232+1.9233e-05i,0.00068373-0.0004052i,0.00075793+7.0574e-05i,-6.664e-05+0.00091678i,-0.00011051+0.00089192i,0.00029187+0.00076948i,0.00018095+0.00043924i,-0.00014693-0.00014969i
