-0.0023687+0.00018763i,-0.0018116+0.0010837i,-0.00021147+0.0023943i,0.00077511+0.0019713i,0.00078969+0.001041i,-0.00026834+0.0019163i,-0.00040354+0.0019788i,0.00037886+0.0013961i,0.00043471+0.0014304i,0.0013447+0.0010132i,0.0016847+0.00013252i,0.0006128-0.00026737i,-0.00024026-0.00029902i,0.00030971-0.00056461i,0.0014709-0.00098078i,0.0013129-0.00099417i,0.0004859-0.00066195i,-1.1609e-05-0.00096308i,0.00016067-0.00077807i,-7.751e-05+0.00015538i,-0.00095184+0.0010159i,-0.00086997+0.0010915i,-0.0003169+0.00060434i
0.00013808-0.0011594i,6.4311e-06-0.00039477i,0.00072451-0.00083229i,0.00066614-0.00060839i,0.00013157-0.00020682i,0.0004516-0.00067153i,0.00037877-0.0010493i,0.00019877-0.0010331i,0.00042615-0.0011072i,0.00033047-0.00016565i,-1.2359e-05+0.00022477i,0.00029902+0.00035866i,0.00075162+0.00021995i,0.00077973-6.0463e-05i,-0.00011038+0.00048052i,-0.00070748+0.00034399i,-0.00033911+8.5842e-05i,0.00092277-0.00037805i,0.00072563-0.00017236i,-0.00019519+0.00034441i,4.088e-05+0.00026977i,2.5971e-05-0.00032375i,0.0003533-0.00029182i
-0.00046389-0.00025754i,-0.0003056-1.7115e-05i,-0.00047709+0.0013569i,0.00031359+0.0024578i,0.00094327+0.0018506i,0.0003574-0.00015935i,-0.0007857-0.00093393i,-0.0014546-0.00019418i,-0.0013742-0.00031111i,-0.00032134+0.00021073i,0.00021579+0.00046795i,-0.00024619-0.00035448i,-0.00046502-0.00023747i,-0.0010519-0.00023269i,-0.00089599-0.001083i,8.2041e-06-0.0014684i,-5.0614e-05-0.00057758i,-0.00042767+0.00011065i,-0.00038986+0.00018667i,-0.0010081-0.00013405i,-0.00083269+4.2288e-06i,0.00021734+0.00032943i,0.00061078+0.00077742i
-0.00011421+0.00157i,0.0006345+0.0010612i,0.00054072+0.00052272i,0.00042814+0.00073367i,0.00063524+0.0012464i,2.9431e-05+0.001112i,0.00022266+0.00027372i,0.00033374+7.8649e-05i,-0.00012328-3.8969e-05i,-0.00050606-0.000555i,-0.00069659-0.00055782i,-0.00068366-0.00035156i,-0.0001507-0.001011i,-0.0002341-0.0010508i,0.00013132-0.00046369i,0.00029092+7.9543e-05i,-0.0005674-0.00031347i,-0.00032894-0.00093661i,0.0005191-0.00066683i,0.00042098+0.00048632i,0.00053136+0.00079277i,0.00014079+6.1191e-05i,-0.00023064-0.00031956i
-0.0020525+0.0014432i,-0.0019382+0.0028054i,-0.00065027+0.0035142i,-0.00021228+0.0027683i,-6.4533e-07+0.001825i,0.0003655+0.0019092i,0.00043574+0.0015053i,0.00013194+0.00068266i,7.4823e-05+0.00062667i,-1.2179e-05+0.00078617i,-0.00097977+0.00014611i,-0.0011466-5.631e-06i,-0.00035305+9.3634e-05i,3.4712e-05-0.00059365i,3.3027e-05-0.00073854i,-0.00023079-0.00072458i,-0.00025828-0.00097282i,0.00033474-0.0010366i,0.00015042-0.0004092i,9.2453e-05+0.00035831i,-9.2322e-05+0.00076184i,0.00044383+0.00085782i,0.0011369+0.00057734i
0.00066055-0.0015894i,-0.00054274-0.0029231i,-0.0017709-0.0040763i,-0.0020113-0.0031234i,-0.0015642-0.0018662i,-0.0012366-0.00074514i,-0.00050988-0.00069437i,0.0006762-0.0014764i,0.00069333-0.0019802i,-0.00037965-0.0009678i,-0.00057398-8.4973e-06i,0.00025137+0.00065436i,0.0013694+0.00057252i,0.0016653+0.00037803i,0.00077038+0.00065851i,0.00033862+0.00070351i,0.00077926+0.00022491i,0.00011989-0.0005351i,-0.00020743-0.00072333i,0.00059542-0.00013904i,0.0007938-0.00022407i,0.00018939-0.00034562i,-0.00014431-0.00028481i
-0.00040559-0.00093444i,0.0005938+9.2333e-05i,0.0010137+0.00046034i,0.0010559+0.00068859i,0.00084502+0.00070985i,0.00033194+0.00050926i,0.00041255+0.00012569i,0.00031285-0.00080371i,0.000121+5.2844e-05i,-0.00020922+0.00114i,-0.00013417+0.00090209i,3.8099e-05+0.0013201i,0.00061134+0.0013895i,0.0004056+0.00058255i,-0.00024417-6.3551e-05i,-0.00052719-0.0001923i,-0.00043527-0.00016048i,0.00033474-0.0003347i,0.00068336-0.00074585i,-5.0212e-05-0.00088494i,0.00017544-0.00022361i,-1.0151e-05+0.0003505i,-0.00087079+0.00060585i
-0.0073787+0.0045712i,-0.0062023+0.0073111i,-0.0026086+0.012125i,0.0015674+0.010645i,0.0036262+0.0057926i,0.002595+0.00049347i,-0.0006059-0.0018411i,-0.0022952-0.0013066i,-0.0020796+0.00043881i,-9.9827e-05+0.00076844i,0.0019026-0.00084381i,0.0014548-0.0024786i,0.00085032-0.0043729i,0.00053378-0.0061803i,-7.2034e-06-0.0065006i,-0.00045105-0.0043425i,-0.001285-0.0010942i,-0.0013591+4.3121e-05i,-0.0016146-8.7506e-05i,-0.0018065+0.00015758i,-0.0011116+0.0006643i,1.6464e-05+0.0010148i,0.00097134-0.00033704i
-0.0022799+0.00043176i,-0.003019+0.0015938i,-0.0027885+0.0032472i,-0.0014091+0.0030574i,9.5336e-05+0.0029025i,0.00087718+0.0018674i,0.0011342+0.00058507i,0.00010689+0.0001916i,-0.00042121-4.0062e-05i,0.00011886-6.2611e-05i,-0.00047961-0.00016403i,-0.0010912-5.9479e-05i,-0.00053554+8.6442e-06i,-0.00024035-0.0005697i,-0.00067368-0.0006097i,-0.00026432-0.00026045i,-2.1951e-06+0.0002164i,-0.0007174+0.00034394i,-0.0006936-0.00028513i,-0.0002256-0.00028167i,-0.00046817+9.5719e-05i,-0.00012491+0.0009547i,0.0005968+0.00066224i
-0.0017541-6.0427e-05i,-0.00043979+0.00023151i,3.3931e-05+0.00095711i,0.0015676+0.0022493i,0.0030208+0.0025444i,0.0022197+0.00073391i,0.00075003-0.00038198i,0.00015824-0.00049872i,0.0001579+0.00015802i,0.00075214+0.001235i,0.00070054+0.0017349i,-0.00027444+0.00095489i,-0.00087657+0.00012398i,-0.00082659-0.00020659i,-0.00050176-0.00067663i,-0.00049289-0.00042107i,-0.00021958+0.00062801i,-0.00068098+0.0011166i,-0.0015523-2.7464e-05i,-0.0010727-0.00014446i,-0.00021688+0.00034236i,0.00045883+0.00032176i,0.00021872+0.00051623i
0.00027384+0.0016552i,0.0012913+0.0029269i,0.0027108+0.0029012i,0.0036045+0.0017269i,0.0015936+0.00070793i,-0.00073822-2.6559e-08i,-0.0012653+0.00044687i,-0.0013243+0.00084346i,-0.00050365+0.00034772i,0.00065742+0.00061679i,0.0013066+0.0010163i,0.0014554+0.0005577i,0.0011101-0.00023275i,0.00096869-0.00094024i,0.00065751-0.00068377i,0.00060105+1.5209e-05i,0.0011455+0.00014856i,0.00048737-0.00019473i,8.5795e-05-0.00069655i,0.00077092-0.00054748i,0.0011601-7.6165e-05i,0.00029567-6.8607e-05i,7.9204e-06-0.00030304i
0.00076039+0.00035018i,-0.00052226-0.00030267i,-0.0015245-0.00027336i,-0.0019188+0.00051942i,-0.0011909+0.00092192i,-0.00088023+0.00042157i,-0.00093167-0.00017792i,-0.00048757+0.00041814i,0.00053239-9.6894e-05i,0.0010741-0.0011809i,0.00065206-0.0017489i,0.00017627-0.0008349i,0.00012866+0.00075404i,0.00040627+0.00072218i,-0.00060314+0.00064499i,-0.00073353+0.000186i,4.0391e-05-0.00079041i,-9.211e-05-0.00014254i,3.1157e-05+0.00032251i,0.00023121-0.00062032i,0.0004417-0.00070622i,-0.00019404-0.00035326i,-0.0011945-0.00071587i
0.00211-0.00053492i,0.0023952-0.0019093i,0.0017951-0.0024818i,-0.00021095-0.0017929i,-0.00033917-0.00069525i,0.00017933+0.0003193i,0.00012611+0.0001839i,0.00012408+0.00047101i,-0.00039226+0.00095213i,-0.00039309+0.00045074i,-0.0003205-0.00044794i,-0.00023241-0.0011077i,-0.00071348-0.001065i,-0.0014515-0.00031764i,-0.0011301+0.00022672i,-0.00057984+0.00054944i,-0.00025456+3.1797e-05i,-0.00030241-8.0726e-05i,-0.00030424+0.00014873i,-0.00025204-0.00039469i,8.4284e-05-0.00079557i,0.00024306-0.0012191i,0.00035073-0.0011884i
0.0010757+0.0010635i,0.001629+0.0015859i,0.0024769+0.0017715i,0.0020818+0.00081185i,0.0012585-0.000254i,0.00094925-6.114e-05i,0.00076211+0.0002263i,0.0007129+0.00045602i,1.98e-05+0.0010111i,-0.00023377+0.0014522i,2.1772e-05+0.00066938i,-0.00053051+0.00025996i,-0.00098162+0.00050763i,-0.0006895+0.00077417i,-0.00042561+0.00095385i,-1.7311e-05+0.00041637i,-0.00019131+0.0002884i,-0.00023861+0.00059303i,-0.0001688+0.00058775i,-0.00084493+0.00051141i,-0.0013226+0.00040777i,-0.00047685+0.00028089i,0.00047723+0.00064692i
-0.0010508+0.00055904i,-0.0012003+0.00087414i,-0.0010886-7.1121e-05i,-0.0011293-0.0017516i,-0.00083737-0.0014149i,0.00023265-4.7927e-05i,0.00029826+0.00025724i,0.00016814+9.0856e-05i,0.00051873+0.00075709i,0.00052288+0.00071754i,0.00058322+0.00036413i,0.0002513-0.00042913i,-0.00014282-0.00053192i,-0.00013516+0.00046102i,-0.00032997-9.1458e-05i,8.0232e-05-0.001329i,0.00044887-0.0012058i,0.00044435-0.00033578i,-0.00077108+0.00017696i,-0.0015772-0.00031129i,-0.00075504-0.00060607i,0.00046181+0.00019467i,0.00089203+0.00041895i
-0.0017624-0.0010088i,-0.0022277-0.00032824i,-0.0027074+0.00057683i,-0.0017637+0.0023709i,0.00025777+0.0031473i,0.0015229+0.0016355i,0.0016698+0.00020919i,0.0010533+0.00010419i,0.00044081+0.00021797i,0.00030804-9.2651e-05i,0.00079877+0.00027673i,0.00086834+0.00052909i,0.0017036-0.0004788i,0.0017578-0.0015019i,0.00068338-0.0010443i,0.00037308+0.00060792i,0.00031124+0.0012646i,-0.00014594+0.00049679i,-0.00059743-0.0001554i,-0.00036016+0.00015128i,-0.00095461+0.00042645i,-0.0011262+0.00121i,-0.00095587+0.0018646i
-0.0006711+0.0012759i,0.0011539+0.0010369i,0.0019236+0.001097i,0.0014175+0.00054107i,0.00081628-5.0289e-05i,0.00069589+0.00053607i,-0.00012737+0.00067851i,-0.0009617-0.00038033i,0.00018865-0.00075748i,0.001024-0.00054322i,0.00060892-0.00028664i,0.00082984-3.1646e-06i,0.00079401-0.00028969i,8.5026e-05-0.000846i,0.00024462-0.00118i,0.00057356-0.0010531i,0.00057371-0.00084793i,0.00023714-0.00075646i,-0.00010418-0.00062665i,-0.00016135-0.00046056i,9.2483e-05-0.00054746i,0.00073532+0.00048349i,0.00041202+0.0016675i
-0.002361+0.0002524i,-0.0020083+0.0013932i,-0.0015313+0.0023824i,-0.0012462+0.0025844i,-0.00050556+0.0025288i,-0.00063805+0.0015225i,-0.001122+4.4575e-05i,-0.00088163-0.00017747i,-0.00066169+7.1341e-05i,-0.00034985-0.00051377i,-0.00025068-0.00074738i,5.2415e-05-0.00040168i,0.00080793-0.00090031i,0.0007501-0.0013815i,-1.3269e-05-0.00067455i,4.4411e-05-0.00048627i,0.00026918-0.00052436i,-0.000352+2.861e-05i,-0.001028+6.2571e-05i,-0.0010514+0.00038697i,-0.00080026+0.00050784i,-7.1483e-06-0.00022228i,4.3266e-05-0.00068992i
-3.4519e-07+2.5237e-05i,-0.0013045+0.001422i,-0.0012479+0.0022393i,0.00026892+0.0022059i,0.00097135+0.00096097i,0.00037839+4.7833e-05i,-0.00041122-0.00024101i,-0.00079293-0.0003565i,-0.00090547+0.00037402i,-0.00068679+0.00082665i,-0.00015652+0.00041771i,-6.5938e-06-0.00010642i,-0.0003561-0.00064799i,-0.00021956-0.00021747i,-0.00038487+0.00079366i,-0.00050563+0.0013693i,-0.00017499+0.00044442i,0.00014845-0.00011611i,-7.8246e-06-7.7179e-05i,-0.00021274+0.00010665i,-0.00045331+0.00031438i,-0.00041676-0.00023492i,-0.00034703-0.00084214i
-0.00059727-0.0021579i,-0.0019188-0.0019391i,-0.0015959-0.0016256i,0.0003339-0.00077571i,0.00089461-0.00010469i,0.0012145+0.00024056i,0.001122-0.00068958i,0.0010537-0.00070714i,0.0008352+0.00036022i,2.1323e-05+0.00076905i,-0.00038907+0.00049052i,-0.00011753+0.00030722i,0.00082085+0.00095973i,0.0017386+0.0013957i,0.001268+0.00078133i,0.00069808+0.00013253i,0.00073479-0.00036245i,0.00098462-0.00016661i,0.0011913+0.0002261i,0.00052712-0.00029835i,-9.5079e-05-0.00049731i,-0.000279+1.0499e-05i,-0.00029624-5.3986e-05i
-0.00056741-0.00034858i,-0.00069027-0.00022617i,-0.00048013+0.00054371i,-0.00026697+0.0015728i,-0.00018094+0.001825i,0.00012368+0.0012232i,-0.00037799+0.00046587i,-0.00079016+0.00033556i,7.1318e-05+0.00013511i,0.00088906+4.7128e-05i,0.00066258+6.7583e-05i,0.00048431+0.00022509i,0.00077494+1.768e-05i,0.00099394-0.00042302i,0.00054636-0.00013615i,-0.00052732+0.00019i,-0.00072503-0.00044415i,-0.00040307-0.0010249i,-0.00027475-0.0010584i,-2.4907e-05-0.00023458i,-3.9843e-05+0.00044022i,0.00011427+0.00061282i,-0.00023043+0.00096908i
3.7544e-05+0.0015033i,0.00014436+0.0026776i,0.00044762+0.0032604i,0.00024892+0.0032965i,4.1208e-05+0.0017402i,9.4707e-05+0.00083319i,-0.00024087+0.00080692i,0.00020964-6.6049e-05i,0.00043562-0.00054123i,0.00024826-0.00066986i,0.00011208-0.0006815i,0.00022412-0.00021217i,0.0010061+0.00016825i,0.00073723+0.00014666i,-0.00013693-0.00018251i,-0.0005506-0.00042889i,-0.00046975-6.0395e-07i,-0.00057921+0.00037303i,-4.1267e-05+0.00038303i,-2.3662e-05-0.00018391i,-0.00045339-0.0013353i,-0.00031138-0.0012673i,-0.00014834-0.00080802i
-0.0011864+0.0010653i,-0.00056683+0.00088985i,-0.0001279+0.00050431i,0.00027534-0.00086344i,0.00074512-0.0010742i,0.00050993-0.00086938i,-0.00069858-0.00029741i,-0.0010213+0.00055662i,1.7856e-05+0.00029493i,0.0011599-0.00078453i,0.0014213-0.00088555i,0.00049881-0.00039692i,-0.00033543-0.00014564i,-0.0010496-0.00049369i,-0.0015102-0.0009427i,-0.0012568-0.00052147i,-0.00064288+0.00034911i,-0.00046287+0.00048212i,-0.00049808+0.00035554i,-0.00046857+7.6988e-05i,-0.00036927+3.0751e-05i,9.0723e-06+0.00024927i,7.2906e-05+0.00010194i
-0.0011009+0.0015347i,-0.00064375+0.0012849i,0.00042351+0.00062841i,0.0010796-0.00069533i,0.0011892-0.00096724i,0.0010027-0.00045201i,0.00055915+0.00013962i,0.00042027+0.00052679i,0.00041255+0.00044573i,0.00024296-8.0221e-05i,-0.00031834-0.00037162i,-0.0003433-0.00064347i,-0.00020825-0.00038835i,-0.00055396+2.0454e-05i,-0.00025509+9.5455e-05i,2.3686e-05-8.198e-05i,-0.00012943-5.8618e-05i,-0.00017597+0.00016906i,-0.00064801-0.00016428i,-0.0011473-0.0002755i,-0.00083057+0.00021812i,-0.00020315+0.00025076i,-6.0804e-05-8.2915e-05i
-0.00010959+0.0005144i,0.00011187-0.0003303i,0.0015947+0.00034873i,0.0016549+0.0014137i,0.0008219+0.0014851i,-0.00054509+0.001123i,-7.4369e-05+0.0010368i,0.00040771+0.00131i,0.00016496+0.00085186i,0.00044522+0.0003857i,0.00027597-4.0348e-05i,-0.000648-0.00042304i,-0.00056676+8.2553e-06i,0.00020122+0.00042285i,0.00019815+0.00023171i,-0.00071523+6.9613e-05i,-0.00047336-0.00019357i,0.00046945-0.00066509i,0.00034061-0.0012565i,0.00038856-0.00058593i,0.00061943-8.5824e-05i,0.00010261-0.00057471i,-0.00015415-0.0012021i
0.00056109-0.00090048i,0.0013793-0.00039926i,0.00044933+0.00094136i,-0.0010473+0.0012723i,-0.0016194+0.00089205i,-0.0011116+0.00053825i,0.00019613+0.00033012i,0.00052702+0.00069353i,0.00016671+0.00020474i,-0.00019961-0.00045396i,6.3965e-05-0.0002388i,0.00016594-0.00027953i,0.00034872-0.00089542i,0.00067719-0.0006683i,0.00041763+0.00014657i,0.00081453+0.00050665i,0.00146-0.00023648i,0.0011216-0.00033568i,0.00096311+0.00037869i,0.001397+0.00042233i,0.00057857-0.00010558i,-0.00033444-6.6955e-05i,-0.0001377+8.925e-05i
0.00037038-0.0016533i,6.471e-05+2.3537e-05i,-0.00027153+0.0010669i,-0.00048862+0.00073712i,-0.0015542+0.0010919i,-0.0021529+0.0011706i,-0.0011405+0.00054693i,-0.00054655-0.00031595i,-0.00041434-0.0010879i,0.00018315-0.0016714i,0.0010154-0.00081618i,0.0010173+0.00013664i,0.00071458+2.3791e-05i,0.00032979-0.00042566i,-0.00041921-0.00018053i,-0.0006281+0.0002466i,-0.00043711-9.4826e-05i,-0.00034324-0.00018565i,0.00016426-7.6393e-05i,9.4292e-05+1.2853e-06i,-0.00039639-0.00025115i,-0.00011682-0.00043845i,-0.00017717-0.00015246i
-0.00073326+0.00041187i,-0.00073055-6.4493e-05i,-0.0017797-0.00085683i,-0.0018738-0.0014834i,-0.00045356-0.00016514i,0.00031696+2.0749e-05i,-0.00040218-0.00039875i,-0.00032816+0.00045977i,0.00034788+0.00055858i,0.00052554-0.00025039i,-3.2858e-05-0.00052866i,-0.00075325-0.00033241i,-0.0012771-0.00031129i,-0.0010645-0.00038527i,-0.00059909+0.00016142i,-0.00039922+0.00049009i,-0.00041115+0.00083423i,0.00014571+0.00067552i,0.00048666+9.9728e-05i,4.9307e-05+0.00035334i,-3.5421e-05+0.00078725i,8.6606e-05+0.00077417i,-0.00029004+0.00029989i
0.0010053-0.00029944i,0.00060874+0.00026091i,0.00056091+0.00078479i,-0.00026293+0.0022279i,-0.0010267+0.0025701i,-0.00046832+0.0018493i,-0.00014061+0.00042997i,-0.00032403-0.00050079i,-0.00056287-0.00073073i,-0.00078716-0.0005099i,-0.00068644-7.0722e-05i,-0.00036779+6.3738e-05i,7.0894e-05-0.00014569i,0.00072658-0.00047727i,0.0015605+0.00034654i,0.0018418+0.0012388i,0.00077847+0.00034372i,0.00020607-0.00041215i,0.0010575-0.0003504i,0.0013849-0.00027675i,0.00055013+0.00022451i,0.00032681+0.00020675i,0.00038266-0.00017072i
-0.0013296-0.0005634i,-0.002214-0.00033894i,-0.0018866+0.00021836i,-0.0010167+0.00062454i,-0.00038524+0.0010891i,-0.00042391+0.001697i,-0.0003303+0.0011206i,-0.00038382-0.00014084i,-0.00064203-0.0010528i,-0.00045389-0.00074262i,-0.00024858-9.296e-05i,-8.7306e-05-0.00030404i,-0.00016368-0.00013764i,0.0003312-0.00024456i,0.00075387-0.0011554i,0.0013408-0.001043i,0.0006622+1.5711e-05i,-0.00021504+0.00084811i,-0.00034229+0.00093736i,-0.0010351+0.00048432i,-0.0010915+0.00012463i,-3.9863e-05+0.00020373i,0.00057794+0.00044538i
0.0011175+0.00025772i,0.00080934+0.0010019i,-0.00018144-0.00038596i,-0.00066597-0.0013074i,-0.00066634-0.00068661i,-0.0011481+0.00038642i,-0.00060123+0.0009936i,0.00041098+0.00042561i,0.00058647+0.00010904i,0.00056289+0.00067989i,0.00054348+5.2894e-05i,0.00047497-0.00049481i,-0.000163-0.00038583i,-0.00054924+0.00012638i,-0.00076751+0.00087477i,-0.00097609+0.00079997i,-0.00049364-0.00051122i,-9.2474e-05-0.00059498i,-0.0002883+4.6445e-05i,0.00030369+0.00050714i,0.0004976+0.00084506i,9.0237e-05+0.00026164i,-1.0142e-05+0.00035515i
-0.00013531+0.0012458i,-0.00039303+0.00015738i,0.00034268+0.00053935i,0.00044034+0.0015332i,7.6958e-05+0.0016933i,0.00070261+0.00047154i,0.0011316+0.00020262i,0.0014035+0.00040879i,0.0016443-0.00030798i,0.0013046-0.0004144i,0.00081967+0.00037205i,1.4216e-05+0.0007747i,-0.0006633-0.00020713i,-0.00067176-0.0011688i,-0.00026651-0.00057672i,0.00011931+7.9202e-05i,0.00045517+9.2724e-05i,9.2409e-05-0.0002622i,-0.00060143-7.3733e-05i,-0.00033721+0.00077609i,0.00013501+0.00075468i,0.00054046+0.0002868i,0.00034935-0.00054399i
-0.0015888+0.001508i,-0.00065754+0.0028835i,0.00064187+0.0037601i,0.00084999+0.0028093i,0.00078814+0.0001499i,0.00064091-0.0014738i,-3.4829e-05-0.001232i,1.5385e-05-0.00061025i,-1.6304e-05-0.00041443i,-0.00034307-0.00044444i,8.8206e-06-0.00068088i,0.00064845-0.00079079i,0.00028997-0.0010596i,0.00052603-0.0012555i,0.00098797-0.0015684i,0.00041427-0.0011476i,-4.5862e-05+8.9659e-05i,-0.00033797+0.00021133i,-3.977e-05-0.00043105i,0.00046429-0.00013031i,0.00074547+0.00011474i,0.00051636+0.00012051i,0.00076695+0.00016896i
-0.00066789+0.00093916i,-0.001508+0.0012733i,-0.00077349+0.0011133i,-0.00014898+0.00042699i,-0.00063983+0.00066302i,-0.00059187+0.0011929i,-2.7765e-05+0.00097239i,0.00051554+0.0013393i,0.0005005+0.0012251i,6.5276e-06+0.000214i,-1.4693e-05-0.00062868i,0.00020164-0.00063425i,-0.00029192-0.00057863i,-0.00080303-0.00048668i,-0.0008465-0.00050765i,-0.00050477-0.00051324i,-0.00029555-0.000371i,-0.00040674-0.00034045i,-0.00064725+2.0687e-06i,-0.00089158+0.00012543i,-0.0010538-0.00055469i,-0.00017223-0.0012717i,0.0010315-0.00090817i
0.0014378-0.00020837i,0.00068371-4.5819e-05i,0.00048535-0.0002616i,0.00059401-0.00050558i,0.00024593+0.00040325i,0.00042953+0.0011479i,0.00041046+0.0012059i,-7.7337e-05+0.0005231i,0.000196+0.00046494i,0.00032754+0.0012363i,-0.00058714+0.0011439i,-0.0014618+8.9788e-05i,-0.0007414+0.00041642i,-0.00056486+0.00033389i,-0.00056505-2.5102e-05i,-0.00047339-0.00013707i,0.00042887-0.00061965i,0.0014073-0.00088449i,0.0012079-0.0010729i,0.00061441-0.00054313i,0.00062975-8.85e-05i,0.00042556-0.00017037i,-0.00043341-0.00014112i
-0.00073218-0.0017205i,-0.0018879-0.00073511i,-0.0019337+0.00088225i,-0.0011078+0.0016664i,-0.00059762+0.00153i,-0.00016442+0.0011297i,0.00012946+0.00072046i,0.00049037-0.00017682i,0.00057459+0.00035466i,8.1611e-05+0.00092415i,-2.8134e-05+0.00052938i,-0.00022956+0.00062602i,-0.00055644+0.00031522i,0.00015565+0.00020076i,0.00057247+0.00051988i,-0.0005692+0.00031911i,-0.0014248-0.00055164i,-0.00092634-0.0008611i,-0.00023022-0.00072788i,-5.8672e-05-0.00059683i,-0.00076743-0.00076458i,-0.00080616-9.2134e-05i,5.9543e-05+0.00086655i
2.3571e-05-0.00091492i,0.00063775-0.0022156i,-0.00033783-0.0022723i,-0.0011149-0.0022219i,-0.00035921-0.0016503i,0.0001368-0.001492i,-0.00044843-0.00098046i,-0.0011236-0.00078347i,-0.00081565-0.0014901i,0.00086196-0.001082i,0.00159+2.7546e-05i,0.0012042+0.00018282i,0.0010839-2.336e-05i,0.0010019-0.00013459i,0.00046505-0.00052411i,-5.6867e-05-0.00041175i,-0.00050765-0.00030643i,-0.00062883-0.00026749i,-0.00026754+0.00019441i,0.00018284+0.00044587i,0.00014874-0.00017927i,-0.00070675-0.00082068i,-0.00031011-0.00010769i
0.0010512+0.0012396i,0.0015095+0.0012273i,0.0011122+0.0011951i,6.895e-05+0.0012509i,-0.00050595+0.001558i,-0.0009739+0.0016719i,-0.00044843+0.0014643i,9.1852e-05+0.0011341i,0.00016591-9.1849e-05i,-1.6868e-05-0.0013641i,-0.00021952-0.0015348i,-0.00025265-0.0011085i,-0.00011525-0.0011148i,0.00043868-0.0007954i,0.00040301-0.00029981i,0.00013091+0.00038328i,0.00062327+0.00065973i,0.00095614+0.00040543i,4.4903e-05+0.00014795i,-0.00042595+0.00023515i,-0.00047035+0.00014483i,-0.00036367-3.2256e-05i,-3.1271e-05-0.00032006i
-7.2676e-05-0.0017081i,-0.0012593-0.0015644i,-0.0020364-0.00065302i,-0.0016477+0.00096985i,-0.00060603+0.00086479i,0.00061173+0.0010243i,0.0012064+0.0016172i,0.000774+0.0012223i,-0.00059265+0.0002932i,-0.0014985-0.0011781i,-0.0011175-0.0016091i,-0.0011879-0.00073928i,-0.00080577-0.00054689i,0.00031026+0.00015923i,0.0011146+0.00077401i,0.00038004+0.00079989i,-0.00082969+0.00028003i,-9.7722e-05-0.00031052i,0.00035447-0.00076128i,-0.00010916-0.00087933i,-0.00041078-0.00096308i,-0.00029081-0.0004849i,-0.00069738+0.00012899i
-0.0010701-0.001491i,-0.00089787-0.0011207i,-0.00060621-0.0014806i,-0.00053373-8.6551e-05i,-0.00058184+0.00032621i,-0.00034721-0.00031571i,-0.00092257-0.00010092i,-0.00081155+0.00041553i,-0.0002412+0.00047018i,-0.00035633+0.000128i,-0.00029466+0.00013133i,-0.00092748-0.00049222i,-0.0010704-0.00045702i,-3.1324e-05-0.00034833i,3.2509e-05-0.00048377i,5.2298e-05-0.00070661i,0.00051506-0.0011031i,0.00066393-0.00090291i,0.00020459-0.00055428i,0.00013252+0.00013183i,-5.8502e-05+0.00081059i,-0.00059801+0.00056815i,-0.00036805+0.00035941i
-0.00099538+0.00096447i,-0.0014573+0.001554i,-0.0020771+0.001391i,-0.0019693+0.0018714i,-0.00096338+0.0022224i,-0.00012365+0.00093327i,0.00019855+6.8185e-05i,0.00027307+0.0010081i,0.0005356+0.00080284i,0.00064842+0.00017793i,0.00018577+0.00058753i,-0.00042821+0.0011937i,-0.00069474+0.0017296i,-0.00046386+0.0011045i,0.00014781+0.0001341i,-0.00016359+0.00018663i,-0.00038288-0.00041759i,-0.00040338-0.0007151i,-0.00051908-0.00031884i,-0.00027702-0.00053113i,-0.00026946-0.00033643i,-0.00064872+7.6836e-05i,-0.00041169+0.00043665i
-0.0012878-0.00060318i,-0.000612-0.00018175i,-0.00078212-0.00015374i,-0.00093099-0.0008411i,-0.00089981-6.1824e-05i,-0.00027848+3.5889e-05i,0.00011882-0.0010366i,0.00040963-0.0011632i,6.9353e-05-0.00016588i,-0.00022036+0.0010498i,0.00071268+0.00088338i,0.0016334+0.00048178i,0.0013827+0.00035135i,0.0012609-0.00025286i,0.00097764-0.00066043i,0.0001626-0.00085172i,0.0001061-0.00054923i,0.00021905-0.00043358i,9.9542e-05-0.00027304i,-0.00023917+0.00021184i,0.0001622+0.00049488i,0.00046635+0.00059175i,-0.00013897+0.00033294i
-6.8894e-05+0.0012316i,0.00026558+0.00099929i,0.0012288+0.0008856i,0.001144+0.00031843i,0.00067303+0.00010008i,0.00027206+0.00032363i,-0.0003964+0.00088175i,-0.00047946+0.00042994i,0.00022802-0.00091694i,0.001125-0.0017286i,0.0013973-0.0020662i,0.0017645-0.0010405i,0.0012367-0.000373i,0.00029765-0.00082576i,-0.00051849-0.00071506i,-0.0010342-7.8758e-05i,-0.00033507+0.00047671i,0.00012718+0.00025471i,-7.7355e-06+0.0001751i,-0.00089122-9.5079e-05i,-0.00083987-0.00068464i,0.00011676-0.00012627i,0.00053896+0.00043471i
