-0.0010479+0.00219i,0.0014875+0.00036335i,0.00020802+0.00071053i,0.00037911+0.00035361i,0.0012548+0.0006096i,0.00074132+0.0014695i,0.00013279+0.0012477i,0.00012445+0.00097995i,0.00017624+0.00050792i,0.00051051+0.00031331i,0.0007929-0.00031613i,0.0004838-0.00038255i,-0.00033906-0.00018295i,-0.00047347-0.00041004i,-0.00025797-0.00075584i,8.4783e-05-0.00054752i,0.00022893+0.00022136i,0.00010436+0.00022555i,-0.00022414+0.00023727i,-0.00081588+7.3309e-05i,-0.00040961-0.00018259i,0.00049097-0.00026594i,0.00060033+5.6379e-06i
0.00038445+0.0018414i,-0.00041074+0.00093781i,0.00015943+0.0003149i,0.00046562+0.00052611i,0.00036376+0.0011346i,0.00049982+0.0015523i,0.00031432+0.00063287i,0.00016215-0.00076282i,0.00080667-0.0012787i,0.001121-0.0012724i,0.00036816-0.00015472i,-0.0001582+0.00075922i,-0.00030021+0.00010137i,0.00033698-0.00083455i,0.00053717-0.00050734i,3.427e-05-0.00058069i,0.00064866-0.00095309i,0.00073037-1.513e-07i,8.3505e-05+0.00053285i,-0.00010479-3.1182e-05i,3.3403e-05-4.1787e-05i,-0.00017106-0.00031564i,-5.451e-05-0.00091527i
-0.00053295-0.00021198i,0.00051177+2.6451e-05i,6.0848e-05-0.00062696i,-0.00090855-0.00072834i,-0.00035423+0.00040168i,0.0014564+0.0012966i,0.0019805+0.00021483i,0.0010102-0.0007245i,0.00043629-0.00042433i,1.001e-05-2.514e-05i,-0.00044575+8.244e-06i,-0.00035456-0.00047509i,-0.00010971-0.00053408i,-0.00042835-4.4609e-05i,-0.00087069-9.2996e-05i,-0.0003713+0.00016283i,-0.0003046+0.0010795i,-0.00077773+0.0013232i,-0.00078849+0.00062811i,0.00020002-0.00040648i,0.00051409-0.0005327i,-0.00020659+9.8129e-06i,-0.00077459+0.0002028i
0.0011001+0.00068621i,0.00033295+0.00049906i,0.00061251-0.00080714i,0.00079558-0.00022025i,0.00047749+0.00057972i,0.0011678+0.00034811i,0.0015806+0.00047878i,0.00077686-3.4537e-05i,6.6048e-05-0.00051828i,2.1907e-05-0.0004728i,-0.00062218-0.00018139i,-0.00058469+0.00049558i,4.8394e-05-0.00017899i,9.1384e-05-0.00069807i,-0.00057393-0.00019006i,-0.00079897-0.00068592i,-0.0002673-0.0010624i,0.00015701+0.00010363i,-1.3698e-05+0.0010087i,5.3553e-05+0.00067279i,-1.8161e-05+0.0008957i,-0.00027154+0.00084026i,-0.0001471-0.00011377i
0.00092213+0.0020398i,0.0009512+0.0021867i,0.00057355+0.0021961i,0.00086459+0.001478i,0.00084254+0.0014983i,0.0016035+0.00070245i,0.0018654-0.00049998i,0.00047154-0.00021764i,-0.00036099+0.00061831i,0.00028777+0.00021512i,8.7055e-05-0.00024272i,-0.00048392-0.00033656i,1.4971e-05-0.00035766i,-9.526e-05-0.00018703i,-0.00052469-0.00044364i,-0.00023662-0.00075431i,0.00029941-0.00048808i,-5.9037e-05-0.00010902i,-0.00064896+0.00026133i,-0.0011655+0.00051396i,-0.00077412+0.00082499i,0.00046142+0.00059742i,0.00093589-0.00062818i
0.00024637-0.0017676i,-0.00040964-0.0007996i,-0.00058308-0.0010405i,0.00032362+5.7445e-05i,0.00081405+0.0014468i,0.0018999+0.0019293i,0.00226+0.0012894i,0.0019352-0.00012555i,0.0013121-0.00077746i,0.00021765-0.00050647i,-0.00079724-0.00041774i,-0.0009367+1.8944e-05i,-0.0009934+0.00054834i,-0.00098616+0.00026599i,-0.0004549-0.00012765i,-0.00014768-4.0874e-05i,-0.00036662+0.00024035i,4.4483e-05+9.5414e-05i,0.0010431-2.8658e-05i,0.00081763-0.00065883i,-0.00030308-0.00096208i,-0.00026837-0.00024072i,0.00036325+0.00054025i
-0.0020231+0.0030811i,-0.0010119+0.0034999i,-3.2651e-05+0.0029208i,0.00079851+0.0020843i,0.0016986+0.0014129i,0.0022569+0.00039578i,0.002303-0.0013695i,0.0011024-0.0023868i,8.0674e-05-0.0016117i,0.00012178-0.00079769i,0.0006816+0.00010992i,0.0012621+0.00087204i,0.0016475+0.00074887i,0.0011051+0.00045201i,0.00017893+0.000159i,0.00012266-0.00023185i,0.00043663-0.0002294i,0.00058484+9.595e-05i,0.0003266+0.00014677i,-4.474e-05-0.00021685i,0.00013176-0.00053687i,0.00026438-0.00015825i,-0.00060213+0.00033435i
-0.00088704+0.002359i,-0.002439+0.0021429i,-0.0032091+0.0016364i,-0.00133+0.00031489i,0.00052171+0.00050245i,0.0019202+0.00074271i,0.0020015-1.9422e-05i,0.0012075-0.00052213i,0.00062953-0.00089102i,0.0001197-0.0008188i,0.0001927-0.00023311i,-0.00031179-0.00021331i,-0.00033325-0.00057163i,2.4788e-05-0.00055828i,-7.1229e-05-0.00019397i,0.00023071+0.0004105i,0.0006739+0.00062271i,0.00029073-0.00013279i,0.00045077-0.00087528i,0.00072755+1.8001e-05i,0.00037009-2.8906e-05i,3.7838e-05-0.0012722i,-0.00027767-0.0010009i
-2.357e-05+4.823e-05i,-0.00017475+0.00050616i,-0.00036911+0.0011396i,0.00010349+0.0013561i,0.0011957+0.0019733i,0.0018156+0.0018479i,0.0016443+0.00039858i,0.0013013-0.00060822i,0.001005-0.00059113i,0.00096701+0.00037458i,0.00027753+0.00047237i,-0.0002358-5.8244e-05i,-0.00012463+3.5216e-05i,-0.00062098+0.0003918i,-0.0007376+0.00039314i,-0.00091581+0.00027647i,-0.0006555+0.00034357i,-0.00049725+0.00013899i,-0.00071229-0.00039007i,-0.00024517-0.00015197i,0.00022606+0.00040305i,0.00018353+0.0002897i,0.00014606-7.331e-07i
0.00025397+0.0012184i,-0.00018007+0.0024679i,-0.00050051+0.0021459i,0.00085383+0.00082033i,0.0020229+0.0010231i,0.0026503+0.0012518i,0.0025236-0.00044323i,0.0017961-0.0018711i,0.0014179-0.0018119i,0.00048949-0.0013439i,-0.00049811-0.00062614i,-0.00029522+0.00036222i,-0.0005015+0.0007863i,-0.0014627+0.0001673i,-0.001641-6.555e-05i,-0.0011971+9.1646e-05i,-0.00078528+0.00025566i,-4.1089e-05+0.00055521i,0.00011284+0.00031825i,-0.00028038+0.00029104i,-0.00028451+0.00066905i,-0.00030576+0.0010606i,-0.00039782+0.00044043i
0.0015413+2.0594e-05i,0.0017928+0.00034659i,0.0022733-0.00060846i,0.0008967-0.00019298i,-0.0004422+0.00061187i,-0.00067642+0.0012358i,-0.00018935+0.00044831i,4.0392e-05-0.0012379i,0.00040961-0.0016286i,0.0003898-0.00089569i,0.00011052+6.0973e-05i,-0.000242+0.00041459i,-0.00072169-4.4357e-05i,-0.0013214-0.00035027i,-0.000877-0.00043013i,0.00030389-0.00022764i,0.00033784+8.0308e-05i,0.00015183+1.3701e-05i,-0.00025179+0.00032578i,-0.0011368+0.00045464i,-0.00053678+7.2188e-05i,0.00047589-0.00072064i,0.00027945-0.0012353i
