7.0385e-05+0.0011341i,0.0010488-0.00031104i,0.00030523-0.001813i,-6.5531e-07-0.0015814i,-0.00036878+5.8354e-06i,-0.00099281+0.0012507i,-0.00046692+0.0016277i,-4.8156e-06+0.0013589i,-0.00013891+0.00048841i,9.3454e-05-8.787e-05i,0.00038213-0.0001997i,0.00025018-0.000183i,0.00015567+6.0907e-06i,7.7125e-05+0.00092273i,-0.00012058+0.0015455i,-0.00039917+0.0011614i,-0.00041323+0.00070783i,-3.4893e-05-7.5729e-05i,0.00060338-0.00090835i,0.0005622-0.00034732i,0.00034782+0.00053989i,0.00056825+0.00036592i,0.00089758+0.00010026i
0.00062154+0.00037923i,-5.1694e-05+0.00031315i,-0.00060831-0.00093008i,-0.00034679-0.0014885i,-0.00023591-0.0013549i,-0.0010642-0.00096867i,-0.0008245-0.00074625i,-5.5207e-05-0.00047149i,0.00050115-0.00073513i,0.00053271-0.00023895i,-3.5129e-05+0.00051051i,0.00020194+0.00071901i,-2.7892e-05+0.00018788i,6.7474e-05-0.00038255i,0.00056857+9.4046e-05i,-1.8051e-05+0.00050299i,-0.00052134+0.00017418i,-0.00050509-0.00021511i,-0.00073974-0.00059696i,-0.00035966-0.00080756i,0.0007572-0.00019318i,0.0004766+9.1649e-05i,-0.001035-0.00030092i
0.00094512+0.0014134i,0.0013268+6.5893e-05i,0.0011517-0.00092812i,0.00082021-0.00082339i,0.00054603-0.00097454i,-0.00057599-0.0011925i,-0.0010154-0.00087787i,-0.000248-0.00014619i,6.2735e-05+0.0005111i,-5.5512e-05+0.00016856i,-4.8055e-06-0.00015309i,0.00033525+0.00025479i,0.00075566+0.00043676i,0.0009198+0.00040569i,0.00055368+0.00029339i,9.2047e-05+2.5398e-06i,2.1581e-05-0.0004667i,-0.00044986-0.00064201i,-0.00084443-0.00065244i,-0.00049128-0.0001699i,-0.0004136+0.00036715i,0.00019845+8.4227e-07i,0.00087167-0.00036661i
0.0023557+0.0013873i,0.0026712-0.0001857i,0.0018566-0.00077828i,0.00092303-0.00095811i,0.00073727-0.0010229i,-6.9871e-05-0.00053445i,-0.00030744-0.00023973i,0.00011682-0.00045426i,0.00067171-0.00012814i,0.00010682+0.00021101i,-0.00069072+0.0003259i,-0.00053265+0.00074219i,0.00032714+0.00043079i,0.0003702-2.0905e-05i,0.00067876+0.0001793i,0.00050089-0.00030119i,-8.6009e-05-0.00040915i,0.00011375-0.00024161i,-0.00044435-0.00011317i,-0.00094513-4.5152e-06i,-0.00051852+0.00014064i,-0.00017565-6.1703e-06i,0.00014078-0.00043186i
-0.00050985+0.0004122i,-0.00011163+3.2909e-05i,0.00038953+0.0014019i,0.00088715+0.0011629i,0.00066228-0.00034246i,1.0543e-05-0.00049375i,0.00013431-0.00025497i,0.00083342-7.164e-05i,0.0013444+0.00040131i,0.0013662+0.00039132i,0.00041985-0.00037672i,-0.00051623-0.00077449i,-0.00036751-0.00060403i,7.4237e-05-0.00061017i,0.00043757-0.00045226i,0.00065883-0.0001171i,-0.00014789-0.00028141i,-0.00082603-0.00057959i,-0.00049448-0.00060768i,0.00025459-0.00021035i,0.00053141-0.000143i,0.00075585-0.00023149i,0.00076745-0.00048175i
0.0009889-7.6829e-06i,0.0012775-0.00019465i,0.00065751-0.0011737i,0.00051172-0.0013919i,0.00073097-0.00041729i,0.00049134+0.00033278i,0.00029413+0.00050991i,0.00053853+5.4518e-05i,0.00091229+0.00011209i,0.00045896+0.0009771i,0.00024768+0.00097383i,0.00044841+0.00048688i,0.00040722+0.00076147i,0.00030878+0.00090296i,0.00012169+6.7147e-05i,-2.3808e-05-0.00082789i,0.00062846-0.00033186i,0.00096509-4.4471e-05i,-1.765e-05-0.00068889i,-0.00024835-0.00078956i,0.00050433-0.00051753i,4.1772e-06-2.0111e-05i,-0.0010061+0.00010032i
-0.0012053+0.00017007i,-0.00098197+0.00053294i,-0.00087583+0.00074068i,-0.00079309+0.00077117i,-8.8846e-05+0.0014572i,0.00040328+0.00079105i,3.6012e-05-0.00020332i,0.00037538-0.00011009i,0.00063279+0.00047108i,-6.5553e-05+0.00041854i,0.00058682+0.00055407i,0.0011689+0.0003549i,0.00045868-0.00037778i,0.0004975+7.7055e-05i,0.00044284+0.00068693i,0.00011501+0.00055683i,0.00057842+0.00029366i,0.00030168+0.00018184i,-0.00049651-2.0972e-05i,-0.0005277+0.00025111i,0.00021829+0.00045095i,0.00056292+0.00075181i,0.00078324+0.00088626i
-0.0003059+0.0002461i,0.00020423+0.0001162i,0.00064634-0.00023452i,0.00030733+0.00030772i,-0.00028604+0.0012528i,-0.00077707+0.0011985i,-0.0011544+0.00040666i,-0.00074425-0.0001408i,-0.00040235-0.00041371i,-0.0010969-0.00018385i,-0.00079511+0.00083651i,0.0001336+0.0015061i,0.00011981+0.0013211i,-0.00040753+0.00077585i,0.00028417-1.0184e-05i,0.0011269-0.00076912i,0.00070432-0.00064338i,5.5326e-05+0.00015754i,-1.6264e-05+0.00042989i,-0.00025209+0.00011348i,-0.00043595+0.0001374i,0.00042414-0.00019734i,0.00088659-0.00075749i
-0.00074494-0.00023054i,-0.001834+0.0004196i,-0.0021977-0.00020865i,-0.0019992-0.00039977i,-0.0017128+0.001404i,-0.00088001+0.0021375i,-0.0001182+0.0015067i,0.00035926+0.0016237i,0.00012597+0.0013635i,-0.00030129+0.001922i,0.0001876+0.0019863i,0.001021+0.00046157i,0.00063841-0.00034403i,0.00026802+0.00026427i,0.00019761+0.00075276i,0.00031014+0.0004655i,5.7301e-05-0.00012695i,-0.00023095-0.00076671i,0.00064403-0.00066323i,0.0012977-0.00026121i,0.00090279-3.4081e-05i,0.00064466-0.00025937i,0.00033466-0.00071209i
0.00058977+0.00016579i,0.0012011+0.00080334i,0.00078554-6.0345e-05i,0.00054919-0.00070013i,-0.00019714-0.00078079i,-0.00029334-0.00068395i,0.00072944-0.00076398i,0.00098279+0.00015669i,0.0010548+0.00064637i,0.00031258+0.00051522i,-0.00078902+0.0010872i,-0.0010851+0.00087915i,-0.00037727+0.00031664i,0.00034352+0.00080269i,-0.00037912+0.00093189i,-0.0010532+0.00015283i,-0.00049192-0.00011774i,0.00024005+0.00024191i,1.9193e-05+8.942e-05i,-7.4148e-05-0.00071373i,-0.0001174-0.0010256i,-9.2944e-05-0.00068973i,0.0002365-1.0511e-05i
-0.00024767-0.00075687i,-0.00017167-0.00080781i,0.00086543-0.00058347i,0.00061813-0.00066944i,-0.00084083-0.00061381i,-0.0014286-0.00036444i,-0.00093299+0.00084587i,-0.00012525+0.0010167i,7.809e-05+0.00099627i,-0.00046283+0.00083822i,-0.00053444+0.00074703i,-0.00017998+0.00066273i,8.362e-05+0.00034279i,-0.00022375+0.00059586i,-8.8137e-05+0.00091642i,-0.000428+0.00066504i,-0.00054579+0.00034187i,-0.00017801+0.00028193i,0.00016542+0.00045635i,0.00019943+0.00078928i,-0.00020974+0.00028911i,-0.00013563-0.00054594i,0.00083148-0.00054033i
