-0.002635+0.0012123i,-0.00095264+0.0012073i,-0.0018223+0.0026938i,-0.002067+0.0036535i,-0.0011081+0.0040361i,0.00011292+0.0032537i,-0.00025382+0.0021824i,-0.00058904+0.0016014i,0.00020506+0.0015995i,0.00092944+0.0013949i,0.001513-0.0006088i,0.0014536-0.0019579i,-6.1699e-05-0.0013048i,-0.0012994-0.0010162i,-0.0013215-0.0010237i,-0.00058143-0.00029332i,0.00029292+0.00030867i,0.00064523+0.00019303i,0.0006215+0.00020098i,0.00018651+0.00025866i,-0.00026941-0.00069611i,-5.3602e-05-0.00075099i,-0.000307+0.00012977i
9.0474e-07-0.00065853i,0.0013069-0.00058295i,0.00127+0.00022007i,0.0006802+0.00095402i,-0.00021104+0.0014628i,-0.00065979+0.0010569i,-0.00049329+0.00040686i,-0.00019341-0.00028534i,-0.00025187-0.00095441i,-0.00050723-0.00096453i,-0.00039618-0.00060147i,-0.00032855-0.00084072i,-7.9996e-05-0.00071974i,0.00049568+0.00046858i,0.00031333+0.00085672i,0.00064135+0.00094227i,0.001127+0.0014539i,0.00047066+0.0011058i,-0.00021606+0.00031104i,-8.6622e-05+0.00054762i,-6.4481e-05-7.5782e-05i,0.0001275-0.00069536i,0.00016366-0.00016508i
0.00082323+0.00056639i,0.0016273-0.00056933i,0.0013478-0.0015431i,0.00075539-0.0018628i,0.00079325-0.00016426i,0.00052789+0.0013829i,0.00027315+0.00037038i,0.00021591-0.00082416i,-0.00014434-0.00091238i,-4.0134e-05-0.0006526i,0.00060301-0.00081277i,1.2323e-05-0.00078181i,-0.00089303+1.6678e-05i,-0.00090216+0.00026038i,-0.0002599+0.00070671i,0.00060934+0.00091691i,0.00012793+0.0002748i,4.1518e-06-0.00021946i,0.00049982+2.8335e-05i,7.748e-05+0.00058685i,0.00023868+0.00035389i,0.0010071-0.00017718i,0.00076676-0.00016118i
0.00098693-0.00052213i,0.00078614-0.0014801i,0.0012125-0.0014651i,0.0017626-0.0012182i,0.001106-0.00066848i,0.00047519+0.00037418i,0.0006873+4.7505e-05i,0.00018081-0.000632i,6.0602e-05-0.0014608i,5.7695e-05-0.0013241i,-0.00055112-0.00074066i,-0.00064493-0.00030441i,-0.00026606-7.3931e-05i,-0.00028868-0.00098643i,7.942e-05-0.00097299i,0.00036967-8.1159e-05i,0.00024288-0.00042763i,-0.00039987-0.0007494i,-0.00053757-0.00050519i,0.00017265-7.0179e-05i,-0.00032549+0.00014388i,-0.00095359+0.00089801i,-0.00056334+0.0014845i
0.0011326-1.9129e-06i,0.0023961-0.0011067i,0.003429-0.0023945i,0.0029172-0.0022061i,0.0015479-0.0011972i,0.00033291-0.00019965i,-0.00014371+0.00048709i,0.00038409-5.9836e-05i,0.00092041-0.00082967i,0.00035902-0.0013143i,0.00015983-0.0016983i,5.8328e-05-0.00092141i,-3.1031e-05+0.00052906i,4.6784e-05+0.00086324i,-3.9949e-05+0.0002657i,3.1339e-05-0.00023606i,-0.0004641-0.00037149i,-7.9199e-05-0.00039017i,0.0005087-0.00034607i,0.00040265+3.206e-06i,0.00045812-2.6946e-05i,0.00035067-5.5688e-05i,0.00024916-0.00027102i
0.00059753-0.00085994i,0.00085924-0.0018663i,0.00076573-0.0026045i,-0.0007609-0.0024546i,-0.0010947-0.0012992i,-1.9999e-05-0.00036874i,0.00093707+3.9898e-05i,0.0014596+0.00023884i,0.001121+0.00011918i,0.00053471-0.00051537i,0.00038436-0.00077469i,0.00017832-0.00029289i,0.00084133+0.00046005i,0.0014865+0.00084621i,0.00029355+0.00018534i,-0.00036538-0.00044069i,-0.00011616-0.00074978i,0.00019841-0.00073699i,0.00041244-0.00037643i,0.00056752-6.1544e-05i,0.0015414+0.00015032i,0.0014292-0.0001008i,0.00045811-5.9602e-06i
0.0016193+8.0632e-05i,0.0025217-0.0001972i,0.0023765-0.00032774i,-0.00071194-0.0006906i,-0.0020907-0.0012913i,-0.001353-0.00041902i,-0.00074857+0.00065705i,-0.00029024+0.00064686i,0.00033725+0.00036998i,0.00055654-0.00022655i,0.00031465-0.00026157i,0.00017369-0.0001158i,0.0002439+0.00031962i,0.00010665+0.00025269i,0.00076104+7.6768e-05i,0.0014614+0.00032647i,0.001381-0.00028867i,0.00030511-0.0012057i,-0.00018136-0.00090889i,0.00061674-7.7108e-05i,0.0011956+0.00033667i,0.00077292+0.00076279i,2.708e-05+0.00026267i
-0.00013154-0.0020113i,0.00063533-0.0025629i,3.7471e-05-0.0023743i,0.0003513-0.0017201i,0.0005077-0.0003529i,0.00026433+0.00065545i,-6.6492e-05+0.00053779i,-9.1073e-05-0.00074979i,-5.6599e-05-0.0013143i,-0.00088844-0.00071319i,-0.00089925-0.00060569i,-0.00039844-0.00029555i,-0.00016176-0.00034688i,0.00024921-0.00078712i,0.00025902-0.0005244i,0.0001628-1.8364e-05i,0.00023193-0.00019581i,-0.00059298-0.00031748i,-0.00075817-0.00054754i,-0.00050541-0.00022984i,-0.00049755+0.00023985i,-0.00046533-0.00019406i,-3.6694e-05-0.00012925i
0.0007508+0.0010601i,0.00071229-7.7316e-06i,0.0017842-0.00034055i,0.0017733-3.946e-05i,0.00079217+0.00043919i,-1.3021e-05+0.00037458i,0.00027899+0.00040478i,0.00060175+0.00016244i,0.00027935-0.00047283i,0.00058155-0.00079785i,0.000537-0.0005512i,9.6572e-05+0.00017186i,-0.00034842+0.00036115i,0.00011297+0.00033971i,0.00091569+0.00093547i,0.00068636+0.00090259i,7.0642e-06-2.8291e-05i,-6.2672e-05-0.00072425i,-0.00020573-0.00044723i,-0.00023092-4.5716e-05i,0.00033475-0.00013942i,0.00075872-0.00051141i,0.00058204-0.00034326i
-0.00043103-0.00060824i,0.0010727-0.0016265i,0.0016428-0.0016721i,0.00018655-0.001111i,-0.0004971-0.00031765i,-0.00043426+0.00036196i,-0.00070005+0.00037385i,-0.00077441+0.00019842i,-0.00077367+9.4933e-05i,-0.00059603-4.3266e-05i,-0.00033209-0.00051614i,-0.00077497-0.0005906i,-0.00043077-0.00036884i,0.00064712-0.00032475i,0.00095137+0.00030489i,0.00030988+0.0011979i,-0.00025845+0.00083809i,-0.00040838+0.00045067i,-0.00076263+0.00094112i,-0.00061147+0.0008288i,-7.5086e-05+0.00037395i,-0.00015865+0.00040661i,-0.00036014+0.00063652i
-0.00033798-0.00096463i,-0.00046536-0.0012891i,-0.00091051-0.0015168i,-0.0012347-0.00012064i,-0.00066189+0.0015993i,-0.00041217+0.0015322i,0.00029678+0.00053078i,0.00059007+0.00025951i,0.0003804-0.00010717i,-2.5172e-05-0.00071641i,5.8889e-06-0.00076i,0.00038766-0.00090301i,0.00040907-0.0003972i,0.00016157+0.00079921i,0.00021425+0.0014496i,0.00034432+0.0014502i,-0.0002144+0.00077874i,-0.00045862-0.00053747i,-0.00074087-0.00069086i,-0.00070435-0.00050331i,0.00013014-0.0010336i,0.00060437-0.00059065i,9.521e-05+4.6648e-05i
