0.0017102+0.00010096i,0.001002-0.0012875i,0.0012652-0.002388i,-0.00026588-0.0018233i,-0.0026798-0.00034547i,-0.0029302+0.0012042i,-0.0014523+0.0019475i,-0.00026052+0.0019905i,0.00013743+0.00049946i,-0.00016194-0.000633i,-0.00074847-0.0011755i,-0.0014966-0.00089452i,-0.0012294+0.00040658i,-0.00077217+0.0010349i,-0.00053444+0.0006348i,0.00039088+0.00030897i,0.00086929-0.00047166i,0.00052272-0.00064367i,0.0009334-1.915e-06i,0.0014201+0.00032196i,0.0010231-0.00040432i,0.00056251-0.0010101i,0.00016799-0.00070177i
-0.00054831-0.0030794i,0.00012929-0.0025919i,-0.00065931-0.0022072i,-0.0010585-0.0025098i,-0.00066958-0.0021302i,0.00036572-0.0012488i,0.0013484-0.00044072i,0.00088984+0.00046747i,-0.00032854+0.00036702i,-0.0010336-0.0001861i,-0.00058013-0.00014774i,-0.00023289-0.00011045i,-5.1919e-05+0.00010414i,0.00025779-1.4118e-05i,0.00020526-6.0616e-05i,0.0001227-0.00025513i,-0.00030756+0.00013186i,-0.00072469+0.0005667i,-0.00033302+0.00012658i,0.00015649-0.00020057i,-1.9265e-05+5.4879e-05i,-0.00013428+0.00019205i,0.0002902+0.00045873i
-0.00040824+0.0017086i,-0.00060504+0.00065456i,6.3529e-05-0.00011285i,0.00091678-0.00061456i,0.00069033-0.0013727i,-0.0003094-0.0016103i,-0.00057388-0.00098167i,-0.00068479-0.00071295i,-0.00049888-0.0009372i,-0.00010569-0.0013685i,0.0003279-0.0011887i,0.00026916-0.00064959i,7.6828e-05-0.00043965i,-0.00064542-0.00020663i,-0.00082326-0.00066906i,-0.00025347-0.0011153i,-0.00045528-0.00099406i,-0.00018037-7.548e-05i,0.00028469-0.00033984i,9.8686e-05-0.0012224i,9.6064e-05-0.00079629i,0.00041075-0.00043013i,0.00033345-0.00050225i
-0.0013268-0.00094343i,-0.0018258-0.001322i,-0.0014723-0.0013909i,-6.2881e-05-0.0016373i,0.00050912-0.0015077i,-0.00051276-0.0014151i,-0.00052674-0.0010728i,0.00016956-0.00066454i,0.00051629-0.00043899i,0.00044524-0.00021561i,-0.00026819-0.00064861i,-0.0010252-0.0010724i,-0.00029126-0.001052i,0.00064694-0.00014455i,0.00076544+0.0004622i,0.00061599-0.00021468i,0.00033925-0.00077492i,0.00033852-0.00076424i,8.7575e-05-0.00052305i,-0.00010742+0.00050638i,0.0007226+0.00077197i,0.00059148+0.00042094i,-0.00043656+0.00058676i
0.0010741-0.0018604i,0.00069708-0.0018605i,0.00037307-0.0017541i,-0.00019112-0.0017973i,-0.00056423-0.0010478i,-0.00057166-0.00059253i,-5.1284e-05-0.00091168i,0.00058006-0.00040319i,2.867e-06-0.00019944i,-0.00075899-0.00033643i,-0.00068404+0.00013417i,-0.0006888-0.00012032i,-0.001604-0.00068051i,-0.0014485-0.00015866i,-0.00033297+0.00056468i,0.00045432+0.00069956i,0.00033018+0.00097048i,7.3033e-05+0.00148i,0.00025564+0.00085844i,0.00019787+0.00018925i,0.00031722-0.00010109i,-0.00011311-0.00039084i,7.5325e-05-0.00099319i
-0.0023782+0.0024315i,-0.0014976+0.0040633i,-0.00092442+0.003786i,-0.00033452+0.0011011i,-0.00029587-0.0010052i,-0.00064964-0.0012048i,-0.00043878-0.00026987i,-5.5254e-05+0.00012773i,0.00028565-0.00019712i,0.00037995-8.6988e-05i,-0.00025223+2.9117e-05i,-0.00014256-0.00027137i,-0.00039375-0.00011515i,-0.0008162-0.00096822i,-0.00058493-0.0016191i,0.00019475-0.00099829i,0.00033791-0.00024363i,-0.00052935+6.6926e-05i,-0.00043794-0.00013076i,-0.00044416-6.2069e-05i,-0.00073509+7.3209e-05i,-0.00017153+0.00028731i,-0.00019617+0.00062688i
0.0013585-0.0016506i,0.00045101-0.0027787i,-0.00017052-0.0036944i,-0.0015215-0.0034672i,-0.0016072-0.0024227i,-0.00060805-0.0015595i,0.00066934-0.00041032i,0.0013643+0.00034174i,0.0010864+0.00025608i,5.9861e-06-3.0632e-05i,-0.00056241-0.00027177i,-0.00017213-1.2789e-05i,-3.5406e-05+0.00030472i,0.00029054+0.00059971i,0.0009306+0.00083168i,0.001004+0.00061035i,0.00035634-0.00022829i,-0.00025691-0.00099079i,3.5185e-05-0.00061488i,0.00091234-0.00045032i,0.00129-0.00021397i,0.00047335+0.00011774i,-0.0002774-3.5126e-05i
0.00080696-0.00083762i,-0.00020809-0.0020719i,-0.0013658-0.0026852i,-0.00099833-0.0034801i,0.00021329-0.0032775i,0.0002211-0.0014951i,-0.00020307-0.00016166i,0.0002024-0.00039373i,0.00033541-0.0002724i,6.2044e-05+0.00058171i,-0.00030578+0.0010163i,-0.00016602+0.00093078i,0.00017018+0.00080265i,0.00026477+0.00030127i,0.00044263-0.00054753i,0.00054783+5.3114e-05i,4.9641e-05-7.1415e-05i,-0.00012936-0.00092358i,3.5089e-05-0.0012686i,-0.00023522-0.00037572i,-0.00018582+0.00076454i,0.0003047+0.00026175i,0.00066698+0.00019152i
1.5768e-05+0.0010663i,-0.00041084+0.00054273i,-0.0003196+0.00082538i,-0.00012281+0.00014611i,-0.0010208-0.00073451i,-0.001522-0.00073843i,-0.00086692-0.00021424i,-0.00072442-0.00018724i,-0.00028482-0.00026471i,-3.4523e-06+6.0813e-05i,-0.00041572-8.5514e-06i,-0.00060973-0.00051091i,0.00010783-0.0003923i,0.00042902-0.0003684i,6.1122e-05-0.00045018i,-0.00017774+0.00017092i,-0.00022887+0.00044467i,-0.00056946+0.00010991i,-0.00048168-5.7296e-05i,-0.00040169-0.00038326i,-0.00015176-0.00048533i,-8.4198e-06+0.00022796i,9.1631e-05+0.00011335i
0.00021212-0.00050391i,0.0013722-0.0014769i,0.0014254-0.0011582i,-7.2295e-06-0.0010006i,-0.0017753-0.0014176i,-0.0017788-0.00141i,-0.0009171-0.00034049i,-0.00093018+0.00036142i,-0.00043469+0.00077834i,-0.00034563+0.00055184i,-0.00045541-0.00033901i,0.00019708-0.00023671i,0.00066599-0.00010065i,0.00066205+0.00025866i,-0.00027738+0.00074213i,-0.00099581+0.00032362i,-0.00017628-0.00033126i,0.00022298-9.3563e-05i,-0.00050022+0.0002995i,-0.00089972+0.00055225i,-0.0010117+0.0009648i,-0.00096176-6.4893e-05i,-0.00060746-0.00029674i
0.00035685-4.065e-05i,-0.00046948-0.00051211i,-0.0010396-0.0015672i,-0.0012893-0.0016626i,-0.00088634-0.00084739i,-0.00015013-0.00030561i,-0.00049009-0.0002426i,-0.00069279-9.0787e-05i,-0.00049389+0.00016364i,-0.00085587+0.0008806i,-0.0011121+0.00088484i,-0.0015563+0.00053764i,-0.0014644+0.00028126i,-0.00032825-0.00015647i,7.436e-05+0.00027484i,0.00033294+7.3529e-05i,0.00075316-0.00027585i,0.00039607-0.00090395i,0.00021926-0.00083881i,0.00013978-0.00022517i,0.00046847+0.00017109i,0.00045367-0.00039614i,8.9002e-05-0.00055522i
-0.0033995-0.00028819i,-0.0044732-0.00035192i,-0.0048796+0.00029379i,-0.0030717+0.00046645i,-0.00081064-2.3488e-05i,0.00018182-0.0012682i,0.00023845-0.0017165i,-0.0003355-0.00055483i,-0.00048926+0.00064591i,-2.506e-05+0.00097207i,0.00043832+0.00052338i,0.00060699-0.00017203i,0.00054731-0.00034865i,0.00071875+8.6496e-05i,0.00025106+0.00062653i,0.00022634+0.00073579i,0.00023993+7.4779e-05i,3.9772e-05-0.00040531i,-0.00040493+0.00020904i,-0.00012579+0.00079446i,0.00068435+0.00044774i,0.00046119-8.3885e-05i,8.8854e-05-0.00025096i
-0.00091819-0.00077343i,0.00043771-0.0014074i,0.00159-0.0020812i,0.00077446-0.0020252i,-0.00065019-0.0013951i,-0.00039373-0.00059111i,0.00021336-0.00011288i,0.0006471+7.5196e-05i,0.00097081+6.5318e-05i,0.00086173-5.3186e-05i,0.00056131+0.00092935i,0.00010486+0.0012719i,-0.0004924-0.0001342i,-0.00021398-0.00082565i,0.00029104-0.00068335i,0.00032074-0.00013895i,0.00029714-4.3282e-05i,0.00026472-0.00049345i,0.0006243-0.00015036i,0.00032576-8.9493e-05i,0.00037679+0.00019264i,0.00037319-3.6341e-05i,0.00024475-0.00036151i
