-0.00051432+0.00071713i,-0.00020986+0.00035285i,-0.00046615+7.1819e-07i,-0.00096465-0.00023542i,-0.0015368+0.00023789i,-0.0020118+0.00043877i,-0.0010923+0.0010339i,0.00030034+0.0020171i,0.001663+0.0013971i,0.0019025+0.0001032i,0.0015119-3.6861e-05i,0.00089807-6.6485e-06i,0.00011989-0.00029558i,0.00019277-0.00015561i,0.00054329+0.00046806i,0.00081794+0.001431i,0.00051224+0.0011957i,0.00010399-0.00035737i,0.00046452-0.001179i,0.00034601-0.00098729i,0.0001943+2.0984e-05i,-0.00042835+0.0010659i,-0.00097768+0.00093534i
0.00037841+0.002238i,0.0012925+0.0018821i,0.0025748+0.0010032i,0.0032647-0.00049495i,0.0025539-0.00090014i,0.0007214-0.00018712i,0.00074365-0.00032757i,0.0014985-0.00043891i,0.0013607-8.5244e-05i,0.0011084-0.00035696i,0.0013249-0.000242i,0.0011334+0.00034883i,0.00015038+0.0001377i,0.00027062-0.00038365i,0.00058927-0.00044897i,6.2245e-05-0.00035374i,-0.00016266-0.0004592i,-0.0001968-0.00024004i,-0.00015181+7.5423e-05i,6.0876e-05+0.00089027i,-0.00039192+0.0012591i,-0.0010236+0.00060504i,-0.0010061+2.7308e-06i
-0.00061412-0.00064175i,-0.00096389+0.00027689i,-0.0020779+0.00075547i,-0.0018598+0.00062635i,-0.00076355+0.0001713i,0.00049709-0.00025786i,0.0010474-3.3919e-05i,-8.6686e-05+0.00029804i,-0.00073637-0.00073151i,-0.00069753-0.001069i,-0.00053657-4.8393e-05i,0.00010749-0.00015796i,0.00071503-0.00082598i,9.3205e-05-0.00040214i,0.00011003+8.1683e-05i,0.00033142+0.00010963i,0.00047793+7.9682e-05i,8.1746e-05+0.00027889i,-0.00062555-0.00013048i,-0.00057162-0.00044109i,-0.00072535-0.00039209i,3.9588e-05-0.00054337i,0.00039181-0.00093977i
-0.00015374-0.00043175i,-0.00039716-0.00066722i,0.0011608-0.00086809i,0.00076382-0.0012809i,-2.5882e-05-0.00097261i,0.00080181-0.000294i,0.00094227-0.00022403i,0.00017188-0.00083566i,1.0806e-05-7.9609e-05i,0.0012904+0.00098362i,0.0020246+0.001173i,0.0013014+0.00060058i,0.00065994+0.00010049i,0.00046267+0.00021216i,-0.00023999-0.00022002i,-0.00028377-0.00041588i,-2.4898e-05+0.00033474i,-2.7084e-05+0.00063556i,-3.8526e-05+0.00043607i,-0.00024054+0.00027837i,-0.00094625-7.1623e-06i,-0.0004702-7.8587e-05i,0.00050594+0.00055468i
-0.0014041+0.001864i,1.7995e-05+0.0020479i,0.00072872+0.0024849i,0.0010448+0.0020636i,0.0015311+0.00061027i,0.00076977-0.00098321i,-0.00038091-0.001303i,0.00010174-0.00045603i,0.00098757-0.00027809i,0.00073978-0.000517i,0.0002904+9.233e-05i,0.00095032+0.00043745i,0.001005+0.00030199i,-0.00028246-7.3683e-05i,-0.0010289-0.00030447i,-0.00062061-0.00015535i,-0.00044879+0.00011257i,-0.00040598-8.4299e-05i,-0.00044524+8.1153e-05i,-0.00019592+0.00041318i,0.00031374+0.00030408i,0.00019168-0.00083363i,-0.00026264-0.0013973i
0.0016037-0.0017834i,0.0015021-0.0023534i,0.0012814-0.0030691i,0.00083347-0.0032316i,0.00026795-0.0025167i,-0.00034492-0.0010535i,-0.00037476+0.00036664i,0.00035779+1.722e-05i,0.0014345-0.00065112i,0.0010793-0.00082182i,0.00050283-0.00074688i,0.00086902-6.2236e-05i,0.000656-0.0002567i,0.00012196-0.00059517i,0.0001631-6.3638e-05i,0.00061581-6.2423e-05i,0.00061383-0.00015559i,-0.00021376-0.00051725i,-5.4981e-05-0.00063369i,0.00013559-0.00031867i,-0.00011208-5.9432e-05i,-0.00012908+0.00022654i,0.00020252+0.00074727i
-0.0012954-0.0013791i,-0.0012381-0.00056757i,-0.0014967+0.00029812i,-0.0012374+0.0014104i,-0.0010865+0.0018855i,-8.736e-05+0.00083079i,0.00031238-0.00022654i,-9.4075e-06-0.00038378i,-0.00069209-9.1249e-05i,-0.0012745+0.0001573i,-0.00074917+0.00059643i,-0.00053726+0.00030283i,-0.00031785-0.00060075i,0.00017861-0.0015408i,2.1478e-05-0.0015508i,-0.00020522-0.00076506i,-0.00049667-0.00039664i,-0.00085292-0.0003418i,-0.00082719-0.00057446i,-0.00019413-0.0005451i,0.00087106-0.00030165i,0.0011195+0.00023999i,0.00035917+0.0012422i
-0.00064133-0.00072429i,-0.00083446-0.00016755i,-0.0014215+0.00054522i,-0.0016344+0.00032957i,-0.00058627+0.00054812i,-7.8176e-05+0.00075208i,-4.0653e-05+0.00051391i,0.00014545+0.00030136i,0.00080762-0.00059421i,0.001127-0.0014943i,0.0006008-0.00081685i,0.0002313+0.00036346i,0.00063291+1.3804e-06i,0.00059923-0.001177i,-0.00059814-0.0011921i,-0.00040775+0.00010156i,0.0001947+0.00069484i,-0.00053358+0.00012258i,-0.00051651+0.0003996i,3.5709e-05+0.0012846i,0.00017902+0.00087039i,-7.8229e-05+1.1588e-05i,-0.00047253-0.00019979i
-0.00015097-0.00088187i,0.0007795-0.00027489i,-0.00031671+0.00045669i,-0.0009781+6.4654e-05i,-0.00019389-0.00044049i,0.00042955-0.00025796i,-1.1386e-05+0.00048264i,-0.00059225+0.00069915i,0.00028177+0.00036673i,0.0011024+0.00011823i,0.00097665-4.3785e-05i,0.00073121+9.8274e-05i,0.00080383+0.0001134i,0.0012685-0.00035261i,0.00096721-0.00052221i,0.00025017+8.3224e-06i,-0.00035264+0.00037549i,-0.00088149-1.144e-05i,-0.00073082-0.00024525i,-0.00015825-0.00033872i,0.00013406+0.00032494i,0.00031597+0.00087266i,-3.993e-05+0.00025618i
-0.0012957+0.00095482i,-0.00024736+0.0012944i,0.00016698+0.0022946i,0.00070511+0.0017969i,0.0018381+0.0002665i,0.0015685-0.00079043i,-0.0002592-0.00066064i,-0.00078564+2.8662e-05i,-0.00026026+0.00082578i,6.6093e-05+0.00074879i,9.3008e-05+0.00016486i,0.00064503+9.2362e-05i,0.0010803+0.00025719i,0.0011307+0.00032894i,0.00091051+9.0241e-05i,0.0010964+1.6732e-05i,0.0015979+0.0003537i,0.00098499+0.00023744i,0.00048647+0.00023756i,0.00062111+0.00087867i,-8.9255e-06+0.0010928i,-4.1358e-05+0.00017779i,-3.8297e-05-0.00033445i
0.000635-5.0961e-05i,-0.00045345+0.00032605i,-0.00085586+0.0010636i,-0.0009745+0.0011797i,-0.00095198+0.00021925i,-0.00052396-0.00058081i,1.3962e-05-0.00057874i,0.00077721-0.00020898i,0.00061636+3.4774e-05i,0.00042516-9.5872e-05i,0.0010333-0.00021875i,0.00063384-0.00033448i,0.00046555-2.6525e-05i,0.00092085+0.0012805i,0.0010706+0.00072636i,0.0010099-0.0006345i,0.000855-0.00057534i,0.0005238-0.00063371i,-0.00041503-0.00022498i,-0.00083535+0.00020351i,1.4482e-05-0.00040941i,-0.00015705-0.0010715i,-0.00025126-0.0010539i
