9.1251e-05-0.00151i,0.00037517-0.0026566i,6.0096e-05-0.0035516i,-0.0010518-0.0029631i,-0.0030689-0.0020885i,-0.0036886-0.00034712i,-0.0018558+0.0011254i,0.00037326+0.00071729i,0.0015568-0.00012723i,0.0011265-0.00062625i,-0.00020433-0.00012244i,-0.00091594-0.00013771i,-0.00098211-0.00010267i,-0.00052533+0.00010792i,-0.00031748-0.00049195i,-0.00075279+2.5984e-05i,-0.00050223+0.00050647i,0.00059681-2.6356e-05i,0.00013936+5.3269e-05i,-0.00082396+0.00037872i,-0.00022796-0.00030147i,-0.00040314-0.0014128i,-0.0010364-0.0014638i
0.0011622-0.00068591i,0.0014001-0.0010115i,0.0013373-0.0012788i,0.0011368-0.0011531i,-0.00029819-7.8266e-05i,-0.0010085+0.000433i,-0.00011174+0.00048282i,0.00069787+0.00043996i,0.0011728+0.00043354i,0.0012497+0.00080711i,0.00040398+0.0003624i,-0.00049893-0.00025305i,-0.00033283-0.00025803i,-0.00037175-0.00093648i,-7.7782e-05-0.00079074i,0.00029545+0.00035458i,0.00025179+0.00033155i,-0.00011502-0.00045784i,0.00016066-0.00073933i,0.00068378-0.00036597i,0.00038755-0.00041606i,0.0004275-0.00058047i,0.00013197+0.00018582i
-0.0023014-0.00099025i,-0.0020833-0.00062212i,-0.0017342+0.00052257i,-0.00081916+0.0013047i,-0.00041385+0.0010099i,-0.00035501+0.00043586i,-0.00081753-1.4697e-05i,-0.00077212-0.00047276i,5.0677e-05-0.00034506i,0.00031906+0.00026585i,-1.5661e-05+0.00061258i,-0.0003964+0.00063698i,0.00019052-0.00017037i,0.00010572-0.0003716i,-0.0004094-0.00014597i,-0.00053764+0.00019503i,4.3975e-05+0.00058748i,0.00026917+0.00066952i,-1.0144e-05+0.00074115i,0.00021167+0.00032175i,2.4757e-05+0.00030355i,-0.00015912+0.00050571i,0.00044549+0.00044589i
-0.00060283+0.00066431i,0.00054688-2.2696e-05i,0.0016214-0.00079027i,0.0016981-0.00040744i,0.00075254+0.00038728i,0.00013149+8.0568e-05i,-0.00038148-0.00031571i,-0.0007051-0.0003676i,-0.00042433+3.6819e-05i,-0.00077063-5.4489e-06i,-0.00038461-0.00064598i,0.00031898-0.00036293i,0.0001739-7.3248e-05i,9.1716e-05-0.0001282i,-0.00038205-0.00041161i,-0.00041238-0.00056899i,-5.5874e-06-0.00012933i,-0.00025725+0.00051697i,-0.00045377+0.00081958i,-6.5476e-05+0.00051169i,0.00043702-0.00022671i,9.4848e-05-0.00015651i,-0.00071622+0.00045241i
-0.00049748+0.00026281i,-0.00028864+0.00026815i,-8.4447e-05-0.00093788i,-0.00011882-0.0014076i,-0.00048901-0.00032306i,-0.00047918+0.0005038i,-0.00034439+0.0007045i,9.2049e-05+0.00035322i,0.00027916-0.0006342i,0.00015611-0.0011721i,-0.00012507-0.00093449i,-0.00071926-0.00024975i,8.1234e-05+0.00032835i,0.00073071+0.00012407i,-5.6683e-05-0.00025832i,-0.00072879-0.00038156i,-0.00067272+8.7718e-05i,-0.00033737+0.00072884i,0.0002076+0.0010525i,-0.00010983+0.00091787i,-0.0002949+0.00072699i,-0.00061079+0.00050396i,-0.00057526-0.00047947i
-0.00051721-0.00027119i,-0.00044596-0.0010897i,-0.00067484-0.0012288i,-9.1554e-05-0.00037555i,0.00050664+0.00024538i,0.00029272-0.00030903i,-0.00021849-0.00064695i,-0.00024674-0.00068373i,-1.8929e-05-0.00027728i,0.00040669+0.00058514i,0.00067605+0.00080493i,0.00057221+0.0008791i,0.00067122+0.00067059i,0.0013788+0.0003195i,0.001671+0.00055472i,0.0010561+0.00050316i,0.00055391-0.00013859i,0.00019024-0.00041696i,0.0004809-0.00061142i,-6.6626e-05-0.00037693i,-0.0011127+0.00045613i,-0.00087218+0.0008106i,0.0006239+0.00032021i
-0.00026038+0.00041442i,0.00011099+0.0014589i,8.9577e-05+0.0014136i,0.00030473+0.00030727i,0.00078337-0.00063045i,0.0012116-0.00078964i,0.0011082-0.00061458i,-0.00010701-0.00039577i,-0.00059057-0.00017475i,0.00038984-0.00054754i,0.00027345-0.00084839i,6.813e-05-0.00076535i,0.00054578-0.00042298i,0.00037864-0.00072184i,-4.3704e-05-0.0016161i,0.00045951-0.00099585i,0.00091781+0.00012811i,0.001031+2.366e-06i,0.00067974-0.0006653i,-0.00025983-0.00079719i,-0.00090042-0.00044954i,-0.0010061-0.00047674i,-0.00098647-0.00058562i
-0.0018254-0.0017429i,-0.0014948-0.00058167i,-0.0017625-0.00023249i,-0.0014841+0.00016038i,-0.0016903+0.0011801i,-0.0014222+0.00074902i,5.0933e-05-4.7609e-05i,0.00015527-2.2751e-05i,-0.00036195-0.00050008i,-0.00025257-2.4824e-05i,-0.00041461+0.00019486i,-0.00090751-0.00038063i,-0.00017641-0.00026888i,0.00054037+7.2301e-05i,0.00066814+0.00068341i,0.00047982+0.00073303i,-0.00019012+2.962e-05i,-0.00013648-0.00031681i,0.00057566-9.5753e-05i,0.00086426+0.00013741i,0.0006851+0.00015937i,0.0010772+0.00075016i,0.0011133+0.0010064i
-0.0010302+0.0018259i,0.00010584+0.00096493i,0.00065467-0.00064063i,-0.0002632-0.0011729i,-0.00098638-0.00091975i,-0.0011174-0.00049281i,-0.00099137-0.00062139i,-0.00024242-0.00088689i,0.00036574-0.00054275i,0.00037147+4.5675e-05i,0.00020645+6.8283e-05i,6.4483e-05-0.0004566i,0.00013752-0.00027724i,0.00080107-0.00014735i,0.0014289-0.00020613i,0.0011751-0.00056769i,0.00040532-0.00060384i,-0.00050042-0.00053755i,-0.000833-0.00031035i,-0.00027823+8.8771e-05i,0.00090403-4.7758e-05i,0.0010359-0.00023015i,0.00041296-4.6357e-05i
7.8018e-05+0.00091271i,0.00030904+0.00071324i,0.0008834-0.00012173i,0.00084652-0.00095133i,-0.00042491-0.00033083i,-0.00081698-0.00035975i,-0.00021268-0.00088837i,0.00037027-1.1385e-05i,0.00028439+0.000714i,0.00019218+0.00032913i,0.00026315-0.00040437i,0.00031424-0.00046757i,0.00010696+8.4283e-05i,-0.00010582+0.00041485i,0.00015024-3.3534e-05i,0.00014823-0.00028888i,-0.00024702+0.00051837i,-0.00029495+0.001303i,-0.000788+0.00087304i,-0.0011216+9.7126e-05i,-0.00080071-0.00058304i,2.2424e-05-0.00036335i,0.0006478+0.00020924i
0.00050512+0.0018763i,0.0010543+0.0011395i,0.0010653-0.0011041i,0.0003982-0.0027736i,-0.00033859-0.0023924i,-0.00077952-0.0012173i,-3.4361e-05-0.0011809i,0.0013228-0.0019155i,0.0017567-0.0013542i,0.00096491+0.00034602i,0.00036477+0.00067095i,-0.00010074-6.1732e-05i,-0.00051045-0.00020292i,-4.1107e-05-0.00047563i,0.00077321-0.00075257i,0.00086033-0.0008512i,0.00029959-0.00032011i,-6.9087e-05-0.00018309i,0.00037609-0.00053461i,0.0004848-0.00067138i,-3.1423e-05-0.00077573i,-0.00020842-0.00014766i,-0.00012139+5.917e-05i
-0.00080449-0.0022203i,-0.00041906-0.0007591i,-0.00011544-5.1667e-06i,0.00013106-3.7389e-05i,-0.0010352-0.00052491i,-0.0018482-0.00046058i,-0.0013395-0.00050397i,-0.0010816-0.00082273i,-0.0010325-0.00093165i,-0.00068571-2.3795e-05i,-0.00040594+0.00071115i,-0.0005994+0.0013139i,-7.8752e-05+0.00091645i,-7.9315e-05-0.00024615i,-0.00073072-0.00052296i,-0.00063974-0.00042176i,0.00019171-0.00076857i,0.00082737-0.00022179i,0.00019821+0.00082318i,-0.00036316+0.00026539i,-0.00025091-0.00040398i,0.00014817-0.00043683i,5.8868e-05+8.2956e-05i
