-0.00091819+0.00010433i,-0.0013524-0.00056322i,-0.0015608-0.0014611i,-0.0019954-0.0013147i,-0.0029962+0.00020345i,-0.0033928+0.0018471i,-0.0012351+0.0026226i,0.0010142+0.0016103i,0.00091454+0.00025366i,0.0001884-0.00024688i,-7.0222e-05-0.00039629i,-4.2857e-05-0.0009933i,-3.3709e-05-0.0011276i,-0.00041574-0.00052424i,-0.00061664+0.00023993i,-0.00033904-5.0105e-05i,-0.00021574-0.00019007i,-0.00041177+0.00013618i,-0.00058781+0.00027446i,-0.00035685+0.00031342i,-6.2126e-05+0.00014215i,0.00024743+0.00028383i,0.00066136+0.00043828i
0.00099737+0.00084304i,0.0010127+0.00046606i,0.0014547-9.6599e-05i,0.0015396-0.00050738i,0.0010472-0.00053233i,0.00027383-0.00050183i,0.00025203-0.00049906i,0.00046331-0.00031764i,-0.00024702-0.00047952i,-0.00061718-0.00080278i,-0.0009939-0.0010049i,-0.0011899-0.0012864i,-0.00074558-0.00051579i,-6.7646e-05+0.0008136i,4.3739e-05+0.0010634i,-0.00020466+0.00060639i,-0.0004268+0.00063763i,-2.4844e-05+0.00058902i,0.00049386-0.00011915i,0.00017045-0.00033284i,-3.2551e-05+8.6351e-05i,0.0007222+0.00025684i,0.00065216-4.1357e-05i
-5.6376e-05-0.00040705i,0.00015922-0.00015261i,0.00020947-0.00050946i,-0.00077545-0.00014073i,-0.00079946+0.00012025i,-0.00034118+0.0015918i,0.00058938+0.0015602i,0.00070737+0.00029649i,2.2862e-05-9.3486e-05i,-0.000626-0.0005062i,-0.0011578-0.00095769i,-0.00082018-0.00070585i,-0.00031549-0.0002146i,-0.00059002-7.9018e-05i,-0.00034314-0.00018014i,-0.00041238+0.00019121i,-0.00092592+0.0013477i,-0.00058888+0.0020635i,0.00027802+0.0015471i,0.00024357+0.00022413i,-0.00025873-0.00025059i,6.2561e-05-0.00010652i,0.0005513+7.1953e-05i
0.00031529+2.3286e-05i,-7.5372e-05+0.00013095i,-8.2659e-05-0.00062103i,-0.0004219-0.00084467i,-0.00046925+0.00051809i,-0.00017452+0.0012349i,-0.0004976+1.18e-06i,-0.00033032-0.0005752i,-0.00061647+0.00023406i,-0.0013813+8.4175e-05i,-0.0015572-0.00021948i,-0.0013291-0.00072617i,-0.00068095-0.0005229i,-2.9315e-05+0.00081055i,0.00042926+0.0012754i,-7.8175e-05+0.00072158i,-0.0015309+0.000117i,-0.0015121-0.00016879i,-0.00062151+0.00063289i,-1.1072e-06+0.0007226i,-4.0339e-05+0.00026012i,-5.0157e-05-3.7674e-06i,0.00052678-0.0005201i
0.001086+0.0012972i,0.00087181+0.00081521i,0.00089168+0.00060417i,0.00097049+0.00082452i,0.0014693+0.00061444i,0.00182+7.7081e-05i,0.0018962-0.00010973i,0.00098653-5.3087e-05i,-0.0006697-0.00031046i,-0.0013167-0.00093681i,-0.0011212-0.0016222i,-0.00066356-0.001678i,-0.00089339-0.00062879i,-0.0009128+0.00010222i,-0.00057966-4.4579e-05i,-0.00115-0.00016592i,-0.0013063+0.00010063i,-0.0010352+0.00012586i,-0.000507+1.883e-05i,0.00022991+0.0006701i,0.0012778+0.0011425i,0.0010098+0.00098307i,-0.00034015+0.0005587i
0.00012558-0.0013329i,0.00015782-0.0012965i,-0.0010185-0.00069339i,-0.00082943+0.00044051i,-0.00038855+0.0012666i,-0.00050075+0.00024153i,-0.001037-0.0006891i,-0.0016289-0.00067836i,-0.0014666-0.0010605i,-0.00080133-0.0013813i,-0.00036537-0.0014332i,0.00012612-0.00094236i,0.00065321-0.00046348i,0.00044956-0.00019992i,-0.00039061+0.00050725i,-0.00033657+0.0012955i,-0.00025867+0.0011424i,-0.0010882+0.00061196i,-0.0020665+0.00058993i,-0.0018337+0.00051192i,-0.00087279+0.00060725i,0.00015238+0.00092388i,0.00068301+0.0005076i
-0.0009065+0.0006966i,-0.000627+0.00023683i,2.1716e-05+0.00027739i,0.00025522+0.00045787i,0.00060775+0.00055021i,0.0004522+0.00020661i,-0.00025333-0.00011337i,-0.00023166-0.00029275i,-0.00018109-0.00069001i,-0.00063461-0.0012222i,-0.00070035-0.00074748i,4.2785e-05-6.6355e-05i,0.0004381+0.00011042i,0.00052338+0.00062914i,0.00018368+0.00091728i,-0.00034583+0.00078804i,6.3908e-06+0.00048405i,-0.00014302+0.00011125i,-0.00042117-4.5109e-05i,0.00036755+0.00027367i,0.00059676+0.00091812i,0.00031831+0.0010018i,0.00040802-5.8751e-05i
0.0015694+0.00029383i,0.00064919-0.0010978i,0.00135-0.0018213i,0.00033776-0.00033223i,-0.00075036+0.0004257i,-0.00044697+0.0010088i,0.00034104+0.00055134i,0.00011338-0.0013207i,-0.0011458-0.0017375i,-0.0013629-0.001372i,-0.0010264-0.00053582i,-0.00054333+0.00012668i,-0.00036174+0.00054438i,-0.00072109+0.00069586i,-0.00026686+0.00095634i,-6.3008e-05+0.00081981i,-0.00076448+0.00029047i,-0.00074458+0.00016839i,0.0002987+0.00031001i,0.00049987+0.00031875i,-0.00010627-0.00025465i,-0.00042112-0.00062236i,0.00044084-0.00027418i
-0.0018+0.00081408i,-0.00083759+0.00038489i,-0.00065989+0.0011301i,-0.00021017+0.0012134i,-2.7117e-05+0.00028758i,0.0005814-0.00027842i,0.0010504+1.0606e-05i,0.00040373-0.00021262i,-0.00050548-0.00098269i,-0.0010281-0.00036699i,-0.00082363-0.00036676i,-4.876e-05-0.0010679i,0.00077916-0.00030635i,0.00032238+0.000291i,-0.00058505+0.00011569i,-0.00053428-0.00021042i,0.00014262+1.2215e-05i,-0.00015572+0.00074026i,-0.00051644+0.00080298i,-0.00065254+0.00092401i,-0.0005323+0.0010352i,0.0001035+0.00093482i,0.00012009+0.00018077i
-0.0010894+0.00094841i,-0.0012344-0.00013667i,0.0004978-0.0011887i,0.00074345-0.0015795i,-0.00072452-0.00064348i,-0.0016945+0.00023318i,-0.0011391+8.5929e-05i,-0.00054104-0.00022862i,-0.00094716-0.00071211i,-0.0010175-0.0014278i,-0.0010322-0.00085863i,-0.00070139+2.5952e-05i,0.0004058+0.00063248i,0.00048049+0.0011135i,-0.0003421+0.00073848i,-0.0010006+0.00047283i,-0.00095019+0.00050569i,-0.001138+0.00034453i,-0.0010615+0.00096917i,-0.00053676+0.00036243i,2.2729e-05-0.00020617i,0.00040174+0.00023587i,0.00054109-0.0002418i
-0.00055281+0.00024566i,-0.00042625+0.00045416i,-6.0276e-05+9.4087e-05i,-0.00016771-5.2631e-06i,-0.00018392+0.00074963i,0.00031979+0.00030234i,7.6761e-05-0.00038361i,-0.00069519-0.0012163i,-0.0011087-0.0014716i,-0.0010296-0.0012047i,-0.00047103-0.00077298i,-0.00018592-5.7803e-06i,-9.2802e-05+0.00027992i,0.00034865-0.00012152i,0.00032693+0.00067823i,0.00031047+0.0011045i,0.00033839+0.00073214i,0.00036616+0.00098277i,0.00051309+0.00099528i,0.00063281+0.0012992i,0.00084867+0.00054937i,0.00059097-0.00045229i,-0.00045725-0.00059886i
0.00038224-0.00064186i,5.8378e-07-0.0018882i,0.00039056-0.0013632i,0.00064975-1.4729e-05i,0.00026904-0.00019683i,0.00077393-0.00067093i,0.00095501-0.0004181i,0.00030308-0.00032618i,-6.2953e-05-0.0010985i,4.9864e-05-0.0014016i,2.3759e-05-0.0012467i,-0.00036543-0.00080089i,-0.00027346-0.00039745i,8.5108e-05+4.834e-05i,0.00022105-0.000468i,0.00029555-0.00062944i,0.00058433+5.4842e-05i,0.00089541+0.00034886i,0.0013857+0.0002919i,0.00080654+0.00029293i,0.00018846-7.5168e-05i,0.00063835-0.00038008i,0.00094576-0.0001693i
-0.00047732+7.7683e-06i,-0.0011369+0.00035925i,-0.00022986+0.00077304i,0.00067952+0.0017695i,0.0012319+0.0020295i,0.0013738+0.0015127i,0.0016811+0.00077294i,0.00082213-4.8037e-05i,-0.0012482-0.0012162i,-0.0013266-0.0012216i,-0.00077321-0.00051873i,-0.0008722-0.0007964i,-0.00035717-0.00094478i,-0.00044786-0.00051182i,-0.00074961-4.3779e-05i,-0.00089502+0.00073798i,-0.00069398+0.00093884i,9.415e-05+0.00067056i,-0.00019122+0.00071469i,-0.00093289+0.00069317i,-0.00055413+0.00073992i,0.00039708+0.00052138i,0.0010723-3.0381e-05i
-0.0015001-0.00042132i,-0.001459-0.00078421i,-0.0014792-0.00036314i,-0.00062681+0.00066718i,0.00027136+0.0012182i,0.00057332+0.00041837i,0.00046457-4.3869e-05i,-0.00025634-0.00032309i,-0.0014214-0.00025213i,-0.0012669-0.00010615i,-0.0010878+3.1723e-05i,-0.0011744-0.00061213i,-0.00067954-0.0013266i,-0.00016852-0.00098321i,0.00026966-0.00049095i,0.00024891+0.00061101i,1.4253e-05+0.0011744i,-0.00063956+0.0007068i,-0.00079383+0.00098406i,-0.00035873+0.0014019i,-0.00028024+0.00057284i,-9.5116e-05-8.5551e-05i,-0.00013524+0.00013952i
-0.00013169+0.00055488i,0.00052648+0.0011009i,-8.7123e-05+0.0013825i,-0.00027356+0.00056991i,2.3975e-05-4.9449e-06i,-0.00034571-0.00058942i,-0.00091405-0.00053561i,-0.0012548-0.00023241i,-0.0011673-0.00066341i,-0.00087746-0.00094478i,-0.00038453-0.0011255i,-0.00027731-0.0010594i,-0.00046073-0.0007608i,-0.00047913-0.00021558i,-0.00020578+0.00026024i,0.00029988+0.00031297i,0.00030139+0.00037486i,-0.00055271+0.00074754i,-0.0008262+0.0010158i,-0.00068919+0.00061648i,-0.00031097+0.0005175i,-1.2978e-05+0.00069982i,-0.00032913+0.00087583i
-0.00027536+0.0024344i,0.00026568+0.0024044i,0.0014032+0.0027428i,0.0011985+0.002604i,0.0016078+0.0011639i,0.0017575-5.0144e-05i,0.0014912+5.9795e-05i,0.00045707+0.00029985i,-0.00037716+7.6013e-05i,-0.00061971+0.00014635i,-0.00067589-0.00055254i,-0.00012567-0.0013252i,0.00020258-0.00050548i,0.00020297+1.5473e-05i,0.0004446-4.0118e-05i,0.00013824+0.00040677i,-0.00047946+0.00015533i,-0.00035928+6.0533e-05i,0.00013073+0.0010644i,0.00020719+0.0017776i,0.00025703+0.0011819i,0.00036952+0.00011458i,0.00035791+3.7434e-05i
0.00028399+0.0011122i,0.00070936+0.001084i,0.0016113+0.00095034i,0.0014334-0.0002783i,0.00070534-0.00067846i,0.00093227-0.00076983i,0.00098443-0.00031918i,3.7201e-05-0.00063998i,-0.00087558-0.0016031i,-0.001551-0.0022398i,-0.00097989-0.0024915i,0.00014712-0.0019104i,5.2837e-06-0.00069772i,-7.4195e-05-0.00021504i,0.0001735+9.1265e-05i,-0.00056515+0.00037307i,-0.00026316-5.4184e-06i,0.00064211-0.00024347i,0.00075659+0.0003011i,0.0010446+0.00025998i,0.00094544-0.00041634i,0.0011101-0.0005684i,0.00084885+0.00034689i
-0.00048354+0.00083906i,-0.00064348+0.00020289i,-0.00031171+2.9869e-05i,-0.00057368+0.00074262i,-0.0010866+0.00076289i,-0.00071593+0.00080536i,-0.00015982+0.00066353i,-8.765e-06-0.00034808i,-0.00055367-0.0010379i,-0.001046-0.00099956i,-0.00081145-0.00068342i,-0.00052064-0.00011478i,-0.00024993-8.5003e-05i,-0.00055068-0.00028134i,-0.0010357-0.0004562i,-9.2384e-05+0.00015855i,-0.00019476+0.0011919i,-0.00075491+0.0015128i,-0.00011275+0.0013592i,-0.0003072+0.0015578i,6.4172e-05+0.0007319i,0.00068319+8.0938e-05i,0.00041807-0.0001363i
-0.00064123+0.0014552i,-0.0010735+0.0017606i,-0.00060711+0.0011451i,0.000522+0.00054005i,0.00073511+0.00106i,0.00038733+0.00069168i,-0.00052342-0.00037021i,-0.0010514-0.0012132i,-0.0003111-0.0015468i,-0.00027666-0.0011194i,-0.00035778-0.00052212i,-0.00035099-0.00044354i,-0.00079087-0.00024322i,-0.00085506+0.00028832i,-0.00050637+0.00091974i,-0.0002178+0.001901i,0.00010293+0.0018097i,0.00014667+0.00072206i,-0.0005201+0.000743i,-0.00075174+0.0014361i,-0.00053848+0.0010452i,-0.00021924+0.00026781i,0.00074479-8.81e-05i
-0.00011874-0.0015293i,0.00049699-0.0019323i,0.00028343-0.0017702i,0.00060047-0.00014323i,0.00025948+0.0013431i,0.00016512+0.0020567i,0.00068536+0.0008152i,-3.7935e-05-0.0012172i,-0.0010642-0.002216i,-0.002027-0.0020168i,-0.0017943-0.001225i,-0.00042312-0.00065564i,0.00080937-0.00032525i,0.00072397-0.00053673i,0.00068128-0.00021506i,0.0009222+0.00051152i,-3.3654e-05+0.0011008i,-0.00040411+0.0011498i,-0.00023452+0.00085971i,0.00013229+0.0014009i,0.0004717+0.0013658i,0.00048752+0.0011642i,0.00068926+0.00050679i
0.00047484-0.0010961i,-0.00025878-0.00048915i,-0.00040279-0.0003641i,-0.00075642-0.00011236i,-0.00086468+0.00075893i,-0.00054707+0.0015212i,-0.00070025+0.0016917i,-0.00097641+0.00097795i,-0.00053198-0.00046976i,-7.1635e-05-0.00090831i,-0.00060877-0.00044175i,-0.0008539-0.00025558i,-8.7238e-05+0.00047639i,3.1396e-05+0.0012089i,-0.00021118+0.00054884i,-0.00025564-0.00010816i,-0.00032894+0.00069683i,-0.00024158+0.0010815i,-0.00046303+0.00090216i,2.3637e-06+0.0014252i,0.0006573+0.0015587i,0.00047715+0.00074226i,0.00045829+0.00079029i
-9.929e-05+0.0014223i,0.00068824+0.0012649i,0.0011841+0.00073956i,0.0013958+0.00044011i,0.0010067+0.00034743i,0.00084309-0.00055919i,0.00038291-0.00081087i,-0.00062807-0.00070128i,-0.0005827-0.0014073i,-0.00047792-0.0015911i,-0.0010596-0.00094274i,-0.0013281-0.00072556i,-0.00087356-0.00011473i,-0.001007+0.00037107i,-0.0014508+0.00029981i,-0.0014669+0.00098021i,-0.0013529+0.0012829i,-0.0011094+0.0014545i,-0.00071631+0.0010102i,5.245e-06+0.00020991i,0.00089458+0.00010614i,0.00076636+6.1614e-05i,0.00017012+0.00038369i
-0.00055868+0.00052249i,-0.00059212-0.00021001i,-0.0014649+9.8743e-05i,-0.0018726+0.00019642i,-0.0012189+0.00065385i,-0.00037996+0.00084322i,-6.6996e-06+8.3902e-05i,0.00055697-0.00029344i,0.00034065-0.00050788i,-0.00031437-0.0010028i,-0.00060196-0.0013315i,-0.00055559-0.00079856i,-0.00047192+0.0002726i,-0.00060987+0.0014863i,-0.00081585+0.0011345i,-0.0011298+0.00045496i,-0.0010079+0.000588i,-0.00024812+0.00074098i,-0.00031024+0.00064289i,-0.0003579+0.00098495i,5.0934e-05+0.0013995i,0.00052839+0.00094315i,0.0014138-0.00012725i
-0.00030004-0.00094561i,-7.0646e-05+0.00020962i,-0.00030323+0.0006471i,-0.00035544-0.00082189i,-0.0002495-0.00053492i,-0.00021655+0.00066371i,-5.2269e-05-0.0001965i,0.00013104-0.0011612i,-0.00047673-0.0011233i,-0.0012089-0.00087836i,-0.0008653-0.00062171i,-0.00072105-0.0005983i,-0.00089315-0.00086695i,-5.8574e-05-0.00029007i,0.00029186+0.00051952i,-0.00010998+0.00019484i,-0.00026016-4.7317e-05i,-0.00065658+3.0139e-05i,-0.00056324+0.00017973i,-0.00025326+0.00073874i,-0.00017442+0.00070188i,0.00072014+0.00023579i,0.0012651+0.00050412i
-0.0015889-0.0010155i,-0.0010811-0.00093598i,-0.001461-0.00098178i,-0.0015777+3.4825e-05i,-0.0015963+0.00075489i,-0.0011451+0.00065262i,-0.00014336-0.00015908i,0.00011639-0.00037986i,-8.0131e-05-0.00044657i,-0.00045724-0.0001072i,-0.00084688+0.00037982i,-0.0010878+0.00013232i,-0.00091511-0.00054902i,-0.00082601-0.00046853i,-0.00035336-0.00034609i,0.00038422+4.4694e-05i,0.00029119+0.00041007i,-0.00029976+0.00055286i,-0.00062632+0.001285i,-0.00083855+0.00068959i,-0.00064873+0.00031572i,-0.00031194+0.00038347i,-0.00056546+8.4521e-05i
0.00021595+0.0020682i,0.00069911+0.0028613i,0.0023111+0.0028725i,0.0027071+0.0016981i,0.001751+0.001054i,0.00066328+0.00050002i,8.1636e-05-0.00038634i,0.00012085-0.00054918i,-9.6728e-05-0.00025494i,-0.00069323-0.00059434i,-0.00052775-0.00091135i,-0.00070264-0.00031615i,-0.00047484+3.2455e-05i,-0.00021432+0.00045276i,-0.0008334+0.00082942i,-0.00057646+0.00094722i,-0.00012061+0.00073711i,-0.00030817+0.0011382i,-0.00047109+0.0010854i,-0.00057816+0.00032177i,-0.00056624+0.00034449i,-0.00046772+0.0005694i,-0.0001841+0.00013014i
-0.0013346+5.1121e-05i,-0.0008943+0.00039323i,-0.00075651+0.00073678i,-0.0010165+0.00080975i,0.00017929+0.00064821i,0.0018087+0.00066212i,0.0016327+0.0006371i,0.00051129-0.00022273i,0.00042079-0.0010009i,9.2998e-05-0.0012906i,-0.00092748-0.0013786i,-0.0011571-0.00093166i,-0.00085249-0.00032453i,-0.00079826+0.00052068i,-0.00098686+0.0010358i,-0.00093461+0.0015798i,-0.00031429+0.001628i,-6.9627e-06+0.00079376i,-0.00037998+0.00091651i,-0.0003405+0.0018473i,0.00043897+0.0013767i,0.00078512+0.00037826i,0.00090059+3.3866e-05i
0.001159-0.0019904i,0.0016106-0.0027751i,0.00084905-0.0018896i,-0.0012273-0.0010181i,-0.0024727+0.00012173i,-0.001309+0.0014861i,-2.0771e-05+0.001225i,0.00010798+3.0751e-05i,-0.00032073-0.00062445i,-0.00074516-0.00072483i,-0.0010567-0.00058509i,-0.0009617-0.00052386i,-0.00053296-0.00078596i,0.00018598+6.6211e-05i,0.00079511+0.00048259i,0.00026835+3.9047e-05i,-0.00020756+5.8893e-05i,-0.00088924+0.00059169i,-0.0008812+0.00037316i,-0.00014597+0.00016208i,-4.4902e-05-2.628e-05i,-4.1585e-05-0.0002933i,0.00010473-0.00031145i
0.0016118-0.0011542i,0.00063185-0.0020707i,-2.7743e-05-0.0025705i,-0.00038686-0.0019835i,0.00017746-0.00029961i,0.00025417+0.0011406i,-0.00033399+0.00050341i,-0.00070346-0.00016459i,-0.0010573-0.00031217i,-0.001364-0.00041917i,-0.0018187-1.4287e-06i,-0.0012535+0.00069922i,-0.00025096+0.00059891i,-2.7666e-05-6.9549e-05i,-0.00015002-8.793e-05i,-0.00082153+0.00042362i,-0.0016441+0.0010363i,-0.0018098+0.00081605i,-0.0011759+0.0010201i,-0.00033549+0.00098427i,0.0003507+0.00069906i,0.00048301+0.00042742i,0.0004583+0.00038883i
