0.00029174-0.0013055i,0.00048395-0.0013905i,-0.00043651-0.00021419i,-0.00053448+0.00027111i,7.9341e-05+0.00015996i,-0.00027262-0.00070924i,-0.00079411-0.0014751i,-0.0006454-0.00081691i,0.00068685+0.00027528i,0.0015986-0.00019761i,0.00064891-0.0008164i,-0.00057368-0.00039943i,-0.00036035-0.00027143i,-0.00039129-4.3854e-05i,-0.0010237+0.00050689i,-0.001121+0.00040113i,-0.00050928+0.00065264i,-0.0002902+0.00049603i,-0.00055534-0.0002066i,-0.00040898+4.4134e-05i,0.00010807+2.0664e-05i,-0.00028817-0.00016526i,-0.0008627+0.00013117i
0.00013823+0.0011076i,-0.00019169+0.0018294i,-0.0004295+0.0026717i,0.00027327+0.002038i,0.0007153-0.00013993i,0.0011564-0.0016545i,0.00089788-0.0015081i,-0.00091102-0.0011784i,-0.0019049-0.00032i,-0.0010342+0.00040468i,-0.00012486-0.0008232i,-0.00015511-0.0011315i,-0.00035725-0.00027244i,-6.1061e-05+0.00036374i,-0.00042769+0.00064974i,-0.0003302+0.00067486i,-2.9785e-05+0.00042239i,0.00011695+0.00028579i,0.00021816+0.00055401i,-0.00053052+0.00064451i,-0.0011285+0.0010063i,-0.0011097+0.001298i,-0.0005834+0.00024921i
-0.00046588+0.0014249i,-0.00012128+0.00061123i,-0.00033792+0.0009535i,0.00045596+0.0013386i,0.001332+0.00098314i,0.00093418+0.00021448i,0.00016703-0.00023101i,-0.0011466-0.00081279i,-0.0020026-0.00040098i,-0.0010409+0.00094701i,0.00022346+0.00044458i,-3.831e-05-0.00080657i,-0.00034861-0.00024906i,-4.1375e-05+0.00068226i,1.3499e-05+0.00048153i,0.00025468+0.00057034i,-6.7029e-05+0.00049412i,-0.00056562-0.00022801i,-0.00022065-0.00035791i,0.00074712+0.00026909i,0.00093581-7.064e-05i,0.00046243-0.00066407i,7.1251e-06-0.00087103i
0.0007386+0.00083071i,0.00051228+0.0013357i,0.0012451+0.0014011i,0.00060337+0.0007277i,-0.0011593-0.00070737i,-0.0022485-0.0014545i,-0.0025267-0.0011779i,-0.0025318-0.0010001i,-0.0024455-0.00099011i,-0.0013225-0.00049903i,-0.00011329-0.00012011i,0.00037041-7.7914e-05i,0.00015277-0.00025967i,-0.00054823-1.9478e-05i,-8.0213e-05+0.000325i,0.00050233+0.0007194i,0.00031472+0.0012101i,0.00015785+0.00069073i,-0.0002378-7.5764e-05i,-0.0008796-0.00026574i,-0.00076174-7.9708e-05i,-0.00019567-0.000358i,0.00045091-0.00021955i
-0.00092861+0.0017851i,-0.00031228+0.0013408i,0.0013094+0.0016219i,0.003118+0.0013837i,0.0030944+0.00013027i,0.0015564-0.0012315i,-0.00018147-0.0020626i,-0.0017031-0.0013857i,-0.001028-0.00038664i,0.0004224+0.00027451i,0.00080695+0.0014548i,-0.00027571+0.0016401i,-0.0011647+0.00094307i,-0.00024542+0.0005782i,0.00045911+0.00030735i,-0.00020797+0.00074494i,-0.0011668+0.00084029i,-0.0007525+0.00040116i,-0.00022963-0.00031769i,-0.00074813-0.0004839i,-0.00063037+3.2265e-05i,-4.7947e-05+0.00030571i,0.00033996+0.00027089i
-0.00025521+0.0010391i,0.00044561+0.0011983i,0.00074515+0.0013266i,0.00060413+0.00080395i,0.00050488+7.6969e-05i,0.00054557+6.3953e-06i,-0.00046777-0.00024723i,-0.0015112-0.00021547i,-0.00213+0.00071076i,-0.0019577+0.0013667i,-0.00034594+0.00094049i,0.00040742+0.00039803i,-0.00024035+0.00067143i,-0.00093936+0.00030037i,-0.00085288-0.00018514i,0.00021248+0.00014176i,0.00030881+0.000744i,-0.00031417+0.0013469i,-0.00012953+0.00087338i,-0.00011923+0.00025837i,-0.00031882+0.00021006i,0.00040974-7.8818e-05i,0.00073841-0.00056035i
-0.0010116-1.1136e-06i,-0.00043592+0.00023596i,-0.00032561+0.0012913i,0.00014516+0.00083849i,0.00030066+5.0099e-05i,9.0551e-05-0.00054931i,-4.5226e-05-0.0012433i,-0.00099489-0.0016098i,-0.001712-0.00073175i,-0.00081425+0.00016572i,-0.00018492+0.00028603i,-0.00067739-0.0003973i,-0.00085119-0.00044306i,-0.00077095-0.00018651i,-0.00057356-0.00032031i,9.9301e-05-0.00014131i,0.00058538+0.00021003i,1.3459e-05+0.00041317i,-0.00080713+0.00018584i,0.00015829-9.6784e-05i,0.0010516+0.00038383i,0.00075013+0.00059913i,3.5262e-05-4.185e-05i
0.0010983+0.00086133i,0.00085267+0.0011531i,0.00030928+0.0010621i,1.0185e-05+0.00024401i,-0.00042061-0.00058437i,-0.00057841-0.00052235i,-0.00048743-0.00041266i,-0.0014444-0.0004015i,-0.0018453-1.2414e-05i,-0.00094395-3.4172e-05i,-0.00012782-0.00059173i,0.00041065-5.3015e-05i,0.00036622+0.00027191i,0.00048488-2.967e-05i,0.00033999+0.00020618i,3.8811e-05+0.00049608i,-8.1921e-05+7.2723e-05i,-0.00018786+6.5136e-05i,0.00016205-0.00026428i,0.00025238-0.00054001i,1.3953e-05-0.00014292i,-0.00062919-0.00012416i,-0.00035443+0.00040241i
0.00052253+0.00093135i,-0.00046335+0.0007009i,0.00033917+0.00020579i,-0.00015068+0.00043206i,-0.00094578+7.2265e-05i,-0.00012537-0.0012684i,-9.5802e-05-0.0016776i,-0.0008819-0.001087i,-0.0018503-0.00054314i,-0.0012639+0.00019625i,-3.6155e-05+0.0006314i,0.00063471+0.00087987i,0.0012908+0.00059351i,0.001328-0.00015208i,0.00040569+2.7115e-05i,-0.00013163+0.00011601i,-0.00048326+0.00039601i,-0.00037637+0.00082077i,-0.00034893+0.00029857i,-0.00047169-0.00046718i,-0.00043814-0.00089815i,-0.0005613-0.0010538i,-0.00019642-0.0010172i
0.00088926+0.00060427i,0.00097047+0.0016639i,0.0009854+0.0017692i,0.001151+0.00077186i,0.00042327-0.00028812i,-0.00018894-4.6736e-05i,-0.00089704-0.00022207i,-0.0018785-0.0010531i,-0.0018864-0.00023064i,-0.0012482+0.00025128i,-0.0004466-0.00036459i,-0.00021703-0.00092737i,-0.00041547+0.00014261i,0.00023282+0.00087573i,0.00063804+0.00047243i,0.00032099+0.00018741i,-0.00062739-2.7166e-05i,-0.0009677+0.00058837i,-0.0007728+0.00080853i,-0.00048723+0.00032638i,-0.0002155+0.00038841i,-4.8582e-05+0.000398i,0.00040368+0.00047964i
0.0005934+0.0020327i,0.00030323+0.0015402i,0.00037294+0.00070157i,0.00040664+1.7534e-05i,0.00034611-0.00063407i,-0.00015813-0.001614i,-0.00072743-0.0017061i,-0.0012281-0.0013893i,-0.0013117-0.00042798i,-0.00096328+0.00041426i,-0.00093759+0.00023611i,-0.00038763+0.00040448i,0.00026012+0.0010875i,-0.0002796+0.0011614i,-0.00062594+0.0002662i,-7.6116e-06-1.1971e-05i,0.00018452-0.00032522i,0.00038858-0.00067087i,0.00039-0.00038142i,-9.3803e-05-0.00046198i,-4.2722e-05-0.00066065i,0.00010226-0.00055584i,0.0001612-0.00094522i
-0.0009362+1.5146e-05i,-8.8663e-05+0.00025872i,-0.00016412+0.0019815i,-0.00021728+0.0031657i,-0.00023084+0.0016119i,-5.234e-06-1.0894e-05i,0.00041905-0.00097285i,-0.00081753-0.0016292i,-0.0019925-0.00049279i,-0.001261+0.00020543i,-0.00074757+5.5474e-05i,-0.00092479+0.00056155i,-0.00086852+0.00034931i,-0.00057099-6.0185e-05i,-0.00019225+0.00011207i,0.00015318+1.648e-05i,0.00024382-0.00030498i,-0.00010001-0.00059301i,0.00060944-0.00061721i,0.0010681+5.0748e-05i,0.00037254+0.00049878i,-0.00021392+0.00013324i,2.811e-05-6.2991e-05i
0.00056119+0.00081927i,0.00029485+0.00048694i,0.00012532+0.00089182i,0.00073177+0.0011256i,0.0011433-5.8055e-05i,0.00091088-0.00094033i,-0.00024941-0.00089996i,-0.001188-0.0010571i,-0.0012712-0.00092384i,-0.00077565-0.00030889i,0.00032992-0.00044452i,0.00092957-0.00052409i,0.00051874+0.00066028i,-0.00024942+0.0010118i,-0.00064211+0.00051757i,-0.00034988+0.00089918i,-0.0001298+0.00058331i,-4.1894e-05-0.00045093i,-1.4392e-05-0.00021951i,-0.00055326+0.00054668i,-0.0010422+0.00072023i,-0.00047121+0.00067835i,0.00039903+0.00036472i
0.00050422+0.00020456i,0.00046518+0.00056819i,0.00033174+0.00079801i,0.00060759-0.00025237i,0.0012831-0.00082793i,0.0008505-0.00087417i,-0.00096928-0.00071475i,-0.0018459-0.00050214i,-0.0013462-0.00025949i,-0.0008012-0.0001031i,-0.00015313-0.00041428i,-0.0003612-0.00082717i,-0.0002751-0.00059578i,0.00080336-0.00018423i,0.00055704+0.0002481i,6.2414e-05+0.00019172i,0.00051347-2.807e-05i,0.0005471+0.00012553i,1.133e-05+0.00031488i,-0.00050624+0.00015025i,-0.0010159+0.00013116i,-0.00071803+0.00035242i,-0.00064351+3.1214e-09i
-0.0017509+0.0014436i,-0.0015265+0.0012205i,-0.00035094+0.0026123i,0.0011015+0.0025693i,0.002079+0.00065122i,0.0013133-0.00084029i,-0.00022365-0.0011456i,-0.0011785-0.0011857i,-0.001184-0.00043836i,-0.00019638+0.0003753i,0.000358-0.00022404i,0.00051154-0.0009621i,0.00010839-0.00080572i,0.0001161-0.00062867i,0.00067458-0.00026463i,0.00036522+0.00065702i,-0.00020532+0.0012763i,-0.00079704+0.0010508i,-0.00062386-6.5432e-06i,-0.00039294-0.0006874i,0.00025544-0.00030699i,1.5413e-05+0.0004164i,-0.00046196+5.8205e-05i
-0.00023416+0.00020764i,-7.5364e-06+0.0012953i,-0.00034371+0.0021333i,0.00087721+0.0016557i,0.0011763+0.00036009i,0.00031816-0.00038122i,-0.00049759-0.00081359i,-0.0015156-0.00065762i,-0.0019324+8.0336e-05i,-0.00075902+0.00051224i,0.00048749+0.00039266i,0.00046951+0.00046087i,9.96e-05+0.00049606i,0.00032134+0.00052861i,0.00061448-8.1988e-05i,0.00036783-0.0008672i,0.00015696-0.00024294i,0.00039234+0.00033848i,0.00040413-0.00037162i,-0.00017074-0.00064536i,-0.00018829-0.00031971i,4.0467e-05+0.0004567i,0.00017266+0.00076793i
-0.00037988-0.00023853i,-0.000371+3.6586e-05i,-6.9398e-05+0.001535i,0.00037025+0.0018061i,0.0010573+0.0013732i,0.00043695+0.00044144i,-0.00044759-0.00078962i,-0.0011281-0.00088555i,-0.0016065+0.00016754i,-0.00044121+0.0013131i,-0.00015188+0.00031853i,-0.00019022-0.0007206i,5.8202e-05+7.2609e-05i,-0.0010496+0.00039021i,-0.0016442+0.00063786i,-0.00070574+0.0011782i,0.00053282+0.00071075i,0.00084498+0.00010706i,0.0009009-2.4038e-05i,0.00048288-9.6091e-05i,-0.00043423+0.00025581i,-0.00059998+8.8687e-05i,-0.00049028-0.00058186i
0.00075107-0.00030404i,4.1164e-05+0.00075502i,-0.00022701+0.00099658i,0.00012225+3.6684e-05i,0.0005495-0.001007i,0.0010602-0.0012722i,0.00070103-0.0021456i,-0.00089044-0.0024164i,-0.0023615-0.00084941i,-0.0014046+0.00048569i,0.00038489+0.00059452i,0.00035151-0.00010695i,8.4255e-05-0.00081627i,2.6067e-06-0.00094528i,0.00010166-0.00015204i,0.00022979+0.00020243i,8.0553e-06-0.00031732i,-0.00040564+7.1071e-05i,-0.00098851+0.00087165i,-0.00076064+0.00041447i,-0.00054397+0.00057908i,-0.00099509+0.00056289i,-0.00024041-0.00020006i
-0.0013233+0.0018983i,-0.0012356+0.0020311i,-2.4431e-05+0.0022388i,0.0013389+0.0022392i,0.0024703+0.0016473i,0.0016113+0.00018876i,-0.00053098-0.00066898i,-0.0015378-0.00016197i,-0.00092993+0.00040914i,0.00016371+5.2653e-05i,0.00016798-0.00034959i,-0.00044093-0.0010461i,-0.00044499-0.0010217i,-0.00042196-0.00028554i,-0.00024141-1.7887e-05i,-0.00044226+0.00031005i,-0.00020102+0.00037398i,0.0004418+0.00056187i,0.00046968+0.00014863i,-0.00011926-0.00046336i,-0.00028403-0.00075489i,-0.00033772-0.00090982i,-0.00072472-0.00099324i
-0.0018752-0.0007553i,-0.0014272+0.0004385i,-0.0010792+0.0016544i,8.2584e-05+0.0019503i,0.00018836+0.0012736i,0.00030379-0.00029205i,0.00033055-0.0010113i,-0.00094489-0.0014663i,-0.0023681-0.00057835i,-0.0014603+0.00075167i,0.0003651+0.00067849i,0.0001328+8.5352e-05i,-0.0002071-0.00017928i,-0.00032027+0.00019364i,-0.00043801-0.00042659i,-0.00035511-0.0014291i,2.3286e-05-0.0015041i,0.00010572-0.0012939i,-0.00019075-0.00062472i,0.00020237-2.5479e-06i,0.00047898+0.00012691i,-1.7844e-05+0.00030947i,-0.00075892+0.00087753i
0.00033226+0.00073989i,0.00015601+0.0018696i,0.00075407+0.0014102i,0.0011087+0.00030555i,0.00084615-0.00065038i,0.00084805-0.0011384i,0.00036844-0.0007396i,-0.0013517-0.00012263i,-0.0021168-0.00023907i,-0.00091987-0.00075249i,-0.0002348-0.0010954i,-0.00040393-0.00085307i,0.00082593+0.00013097i,0.0019048+0.00061219i,0.0012748-6.4595e-05i,0.00070541-0.00046821i,-8.6932e-06-0.00048664i,-0.0010293+0.00018827i,-0.00086649+0.0005179i,-0.00052827-4.4971e-05i,-0.00054135+0.00020378i,-0.00054466-0.00016945i,-0.00074571-0.0010567i
0.00076325+0.00032121i,0.0015772+0.00090047i,0.0021312+0.0010187i,0.0019481+0.0010957i,0.001187+0.00032003i,0.00075631-0.0010103i,0.00051194-0.0018988i,-0.0005125-0.0020509i,-0.0012859-0.0011822i,-0.00034754-0.00038522i,0.00045574-0.00022046i,-6.3002e-05+8.9293e-05i,-0.00028657+0.00045254i,-0.0002862-0.00016888i,-0.00031357-0.00030831i,0.00013332+4.9629e-05i,-0.00011362+6.2745e-05i,-0.00057517+0.00046714i,0.00011168+0.0011577i,0.0007091+0.00060416i,0.00058032-0.00049447i,0.00043802-0.00053539i,0.00058609+5.3485e-05i
-0.0010259+1.8328e-05i,-0.00025147+0.00073498i,-5.5508e-05+0.0018313i,0.00043285+0.0018922i,0.00091544+0.0010422i,0.0010001+0.00011825i,-1.2617e-05-0.00050559i,-0.001549-0.00088717i,-0.0018857-0.00045489i,-0.0013907+0.00022209i,-0.0011406+0.00034741i,-0.00064334+0.00047797i,-0.00025989+0.00023657i,-0.0003278-0.00013085i,0.00027877-0.00029671i,0.0010258-4.5114e-05i,0.0010087-5.7829e-05i,-7.967e-05+0.00014419i,-0.00060358-0.00011483i,-0.00078521+5.7232e-05i,-0.0004374+0.00057646i,-0.00049142-0.00030197i,-0.00061852-0.0008716i
-0.00057449-0.00061261i,-0.00023952-0.00013749i,-0.00050918+0.0013831i,-0.00086925+0.0020325i,-0.00051834+0.0013073i,-0.00011422+0.00053077i,-4.4408e-05-0.00022206i,-0.00044047-6.158e-05i,-0.0010113+0.00063333i,-0.0012321+0.0012935i,-0.0010924+0.001199i,-0.00068563+0.00061929i,-0.00023414+0.00022229i,-0.00020361-2.4849e-05i,-0.00027874-0.0002246i,-0.00021565-6.4424e-05i,0.00022245+0.00029227i,0.0011898+0.00014612i,0.0017894-0.00017747i,0.00077758-0.00057979i,-0.00027038-0.00058673i,-0.00026494-0.00016304i,0.00022849+0.00032682i
0.00052932+0.0020947i,0.0005704+0.0024364i,0.00060804+0.0012896i,0.00059203+0.00051182i,-2.2059e-05-0.00018676i,-0.00062946-0.00059358i,-0.0010446-0.00078449i,-0.0017979-0.001046i,-0.00118-0.00099912i,0.00041788-0.00060624i,0.00046943-0.00041701i,-0.00049615-0.00045871i,-0.00099049+2.4667e-05i,-0.00072567+0.0011315i,-0.00036481+0.0011428i,-0.00014968+0.00066542i,-0.00077439+0.00074968i,-0.00099327+0.0010836i,-0.00042944+0.001185i,-8.3207e-05+0.00022025i,-3.4626e-05-0.0003806i,0.00027269+0.00033141i,0.00063806+0.00027266i
0.00074872+0.0019664i,0.00042651+0.0020256i,0.0010814+0.0023216i,0.0012111+0.0021159i,0.0012459+0.00093121i,0.0003445-0.00064797i,-0.0014382-0.0012244i,-0.0021437-0.0011474i,-0.001342-0.00061293i,0.00031758-0.00010529i,0.0010962-0.00058349i,0.00039798-0.0011665i,-0.00056956-0.00048464i,-0.00090929+0.00041361i,0.00017052+0.00032353i,0.0011825+0.00012377i,0.00095262+0.0003442i,0.00053165+0.00078406i,0.00040367+0.00049603i,0.00052134-0.00013865i,0.00010144-1.9587e-05i,4.9126e-05-0.00026636i,0.00069609-0.00038732i
0.00034898+0.00019077i,-0.0006133+0.00097852i,-0.0010625+0.0016229i,-0.00041316+0.0017565i,-0.00063+0.0011042i,-0.0013496+0.00025921i,-0.0018925-0.00039142i,-0.0019308-0.00027156i,-0.0014009+0.00048898i,-0.0003303+0.0015703i,0.00078918+0.0010677i,0.00074655+0.00024143i,0.00046595+0.00097056i,0.00042544+0.0010103i,0.00083348-2.8268e-05i,0.0013295-0.00054987i,0.00093559-0.00069135i,0.00079865-0.00072946i,0.00022134-0.00022382i,-0.00028875+0.00039426i,-0.00022256-0.00014668i,0.00027196-0.00017679i,0.00047298+0.00015778i
-0.00063094-0.0022349i,9.7272e-05-0.0011076i,-0.00085718+0.00045904i,-0.00095091+0.0013295i,-0.00058401+0.0014845i,-0.00022965+0.00070957i,-0.00054464-0.00043831i,-0.0013841-0.00077434i,-0.0015384-0.00022107i,-0.0010725+0.00015156i,-0.0005494-0.00020911i,0.00018835-0.00030352i,0.00050548-0.00022409i,0.00024055-0.00027811i,-0.00054537-0.0004242i,-0.00087588-0.00036405i,-0.00033069-5.7883e-05i,-0.00010606+9.965e-05i,5.457e-05-3.586e-05i,6.9128e-05+0.00027127i,-0.00029336+3.9766e-05i,0.0002049-0.00055877i,0.00077459-0.00050855i
-0.00049847+0.0010024i,-0.00077621+0.0015897i,0.00037353+0.0023472i,0.0017289+0.0020056i,0.001877+0.0012057i,0.00068121+0.000172i,-0.00092685-0.00038812i,-0.0017792-0.0014269i,-0.0011397-0.001503i,-0.00014377-0.00012922i,-0.00011656-5.9863e-05i,-0.00061779+5.5639e-05i,-0.00057137+0.00020415i,-0.00038441-0.00018819i,-0.000309-0.00050381i,-0.00084417-0.00063358i,-0.0011886-0.00073514i,-0.0011124-0.00044838i,-0.00038389+0.00034045i,0.00032938+0.00048406i,0.00030614+0.00029528i,-0.00044251+0.00046665i,-0.0018297+1.9295e-05i
5.0982e-05+0.0018452i,-0.00030633+0.0024572i,0.00038515+0.0024902i,0.00098749+0.0011588i,0.00069105-0.00027589i,-0.00041136-0.00056049i,-0.0014907-0.00047434i,-0.0018583-0.00083787i,-0.0012739-0.0004339i,0.00051295+0.00050263i,0.0013842-0.00019171i,6.1765e-05-0.0009064i,-0.00040191-0.00026809i,0.0002274+0.00042611i,5.8244e-06+0.00036645i,-0.00022372-0.00016642i,-3.1e-05-0.00066649i,-0.00027056-0.00028813i,-0.00028645-0.00030727i,-0.00037387-0.00037632i,-0.00036695-0.00061387i,-1.114e-05-0.0012181i,-1.0667e-05-0.00086088i
-0.00070106+0.0018722i,-0.0013781+0.0023898i,-0.00035593+0.0020686i,0.0015345+0.00092699i,0.001946+0.00015783i,0.0011536-0.00059153i,0.00037836-0.0012904i,-0.001308-0.0011439i,-0.0021288-0.00083616i,-0.0005445-0.00067042i,0.00044098-0.00027749i,-0.00010749-0.00040246i,-0.00015826-0.00032928i,0.00053942-0.0003831i,0.00071344-0.00068318i,0.0001302+0.00031758i,-0.00068212+0.00083926i,-0.00089731+0.00015737i,-0.00010403+0.00056918i,4.3304e-05+0.0017714i,-3.6626e-05+0.0014821i,8.6689e-05+0.0010564i,-0.00026613+0.00034935i
-0.0013987+0.0020338i,-0.0011778+0.0015438i,-0.001408+0.0022395i,-0.0011194+0.0015765i,0.00016931+0.00040035i,-0.00050407-0.00097961i,-0.0015976-0.0018954i,-0.0017339-0.0014916i,-0.0015384-0.00071829i,-0.00071783-0.00083946i,-0.00021974-0.00058056i,-0.00080192+0.00023009i,-0.00078004+0.00064724i,-0.00012674+0.00092677i,-0.00019852+0.0012835i,-0.0012656+0.00092621i,-0.0015466+4.0628e-05i,-0.00062723-0.00023058i,-0.000443-0.00013186i,-0.00043084-0.00077616i,-0.00014944-0.0011028i,0.0003837-0.00056884i,0.00052078-0.00049583i
-0.00043513+0.0012687i,-0.00020629+0.0012861i,0.0011623+0.00070428i,0.0033182+0.00052367i,0.0036861+0.00047766i,0.0026712-0.0008181i,0.0011516-0.0014949i,-0.00039758-0.0011704i,-0.0013244-0.00048097i,-0.00092876-6.0041e-05i,-0.00025915-0.00020915i,6.8106e-05-5.8635e-05i,-0.00019316+0.00073827i,-0.00063178+0.0010042i,-0.00061527+0.0002419i,-0.00047927-9.6276e-05i,-0.00094951+0.00036101i,-0.0007442+0.00013615i,-0.00051587+0.00049847i,-0.0012138+0.00068248i,-0.00099573-0.00018155i,0.00010162-0.00071189i,0.00038333-0.00049376i
-0.0015018+0.0014163i,-0.0021463+0.0010033i,-0.00069904+0.0020105i,0.00094991+0.0019216i,0.00095768+0.00037696i,0.00024406-0.0011898i,-0.00065355-0.00097703i,-0.0017101-0.00037266i,-0.0019304-0.00048816i,-0.0016015+2.2774e-05i,-0.00084497+0.00040787i,0.00041661+0.00020745i,0.00075972-0.0002309i,0.00045384+0.00016352i,-7.7529e-05+0.00058319i,-0.00020382+0.00027862i,0.00022317-0.0001597i,0.00033571+3.0945e-05i,8.5852e-05+0.00012098i,-0.000333+0.00028506i,-3.0144e-05+0.00038795i,0.00063981+0.00020331i,0.00026947-2.1396e-05i
-0.00046501+0.00056778i,-0.00026497+0.00093489i,0.00041088+0.0015322i,-0.00017063+0.00070677i,-0.00063231-0.00053097i,4.6519e-05-0.0014836i,-0.00081551-0.0017829i,-0.0022317-0.00065788i,-0.0018048+0.00076377i,-0.00043605+0.00083159i,-5.6701e-05+8.0345e-05i,-0.00042615-0.0003998i,-0.00018163+1.5417e-05i,0.00035355+0.0004638i,0.00026015+0.00055182i,0.00023045+0.00055742i,0.00065548+0.00042777i,0.0004302-0.00042336i,0.00023833-0.00077283i,0.00036104-0.00013126i,-6.2649e-05-0.00023083i,-0.00041408-0.00055312i,-0.00020496-0.00070784i
-0.00062001+0.00070055i,-0.0011639+0.0011349i,0.00040771+0.0019332i,0.0025682+0.002451i,0.0023485+0.0020584i,0.00085344+1.5925e-05i,-0.00052811-0.0012851i,-0.001069-0.00081543i,-0.0012292-0.00018949i,-0.00067766-0.00029002i,-0.0001581+3.5957e-05i,-0.0010035+0.00053158i,-0.0016185+0.00054138i,-0.0014716+0.00059857i,-0.00049782+0.0002452i,0.00059444+0.0002503i,0.0005022+0.00088768i,0.00044487+0.00037066i,7.3039e-05-0.00046614i,-0.0010418+0.00021635i,-0.0015124+0.00037935i,-0.00099434+4.034e-05i,-0.00016144+0.0001405i
0.00053662+0.00045801i,0.00096155+0.0011959i,0.0011484+0.0020218i,0.0011104+0.0015199i,0.0014036+0.0009334i,0.00051386+0.00077114i,-0.0011754+0.00011071i,-0.0014923-0.00041931i,-0.00090931+6.9847e-06i,-2.5615e-05+0.0002479i,0.00078499+6.4144e-05i,0.00019122+0.00031095i,-0.00073212+0.00033753i,-0.00062653+0.00059722i,-0.00090186+0.00041978i,-0.0012136-0.00014016i,-0.00074087-0.00032693i,-0.00069404+2.2469e-05i,-0.00089817+0.00056566i,-0.0001961+0.0003843i,7.1069e-05-0.00023315i,-0.00047731-0.00042843i,-0.00028084-0.00046023i
0.00026821+0.0016681i,-0.00014491+0.0011827i,0.00072906+0.0013511i,0.0018542+0.00031082i,0.002439-0.0011121i,0.0020388-0.0017316i,0.00035865-0.0016829i,-0.0017532-0.0013521i,-0.0018107-0.0011127i,-0.00054185-0.00034446i,-0.00030298+0.00027532i,-0.00040312+0.00083405i,-0.000207+0.00074958i,-0.00059535+0.00013452i,-0.00026539-0.00049626i,0.00042808-0.00017951i,0.00020372-0.00015534i,7.5838e-05-0.00024201i,-0.00012445-9.5954e-05i,0.00018421+0.000487i,0.00063606+0.0014696i,0.0007325+0.00054247i,0.00033269-0.00089895i
0.00019783+0.0011522i,-0.00053559+0.0018452i,0.00057496+0.0016138i,0.0016474+0.00055875i,0.0014682-0.0005219i,-0.00060798-0.00073785i,-0.0021796-0.00060261i,-0.0022363-0.00050975i,-0.0018613-0.00032261i,-0.00057778-0.00023282i,0.00016253-0.00044309i,-0.00063997-0.00042378i,-0.0006671-0.00010418i,6.915e-05+9.4583e-05i,0.00026888+0.00042203i,-0.00011594+0.00024355i,-0.00056693-0.00052997i,-0.0009838-0.00045187i,-0.0012928-0.00039549i,-0.00056792-0.0013264i,0.00026009-0.0011443i,0.00048233-0.00025404i,-0.00045038-7.3396e-05i
-0.00036842+0.00021579i,-0.00012979+0.00056665i,-0.00023691+0.0008117i,-0.00024919+0.0006662i,-0.000513+0.00028538i,-0.00024927-9.2892e-05i,-0.00011237-0.00038553i,-0.00025517-0.00050517i,-0.00044128-0.00057902i,-0.00046722-3.5534e-05i,1.3616e-05+0.00015331i,-0.00015393-1.8202e-05i,-0.0010604+0.00034392i,-0.00091449+0.00068513i,-8.2674e-05+0.00030731i,0.00031906-0.00050031i,0.00094465-0.00032024i,0.0010725+0.00075693i,0.00057496+0.00028249i,-0.00012364-0.00068028i,-0.0005119-0.00051314i,-0.00014569-9.5264e-05i,-0.00019365-1.2416e-05i
-0.00080964+0.0016251i,-0.00036217+0.0014141i,0.00094445+0.002254i,0.0025152+0.0025395i,0.0026772+0.0015175i,0.0014874-0.00061449i,0.00054551-0.0017781i,8.3573e-05-0.0023029i,-0.00032677-0.0016481i,-0.00015344-0.00055506i,7.96e-05-0.00054898i,0.00012347-0.00013762i,0.0008749+0.00045082i,0.0004414-9.9277e-05i,-5.643e-05-0.001151i,0.00092902-0.0013217i,0.0010794-0.0010172i,0.00059822-0.00017944i,0.00041259-2.0726e-05i,-0.00016975+8.5822e-06i,1.206e-05+0.0001202i,0.00074972-0.00050337i,0.00066736-0.001211i
-0.00020825+0.0013841i,-0.00060794+0.0013605i,-0.00045051+0.0015333i,-0.00015825+0.00092475i,0.00015371-0.00046253i,-0.00011557-0.0011322i,-0.0010879-0.0010317i,-0.0022263-0.0010101i,-0.0024828-0.00065212i,-0.0014387-0.00042079i,-0.00048261-0.00076318i,-0.00059727-0.00016373i,-0.00084456+4.1243e-05i,-0.00065296-0.00077381i,-0.00057493-0.00047565i,-5.2955e-05+0.00025019i,0.00011631+0.00058464i,-0.00016901+0.00063102i,0.00017068+9.5508e-05i,0.00076356+0.00027303i,0.000299+0.00012291i,0.00027996-0.0015348i,0.0002624-0.0017922i
-0.00083734-0.00059931i,-0.0008909+0.00055555i,3.2175e-05+0.0021867i,0.001102+0.002549i,0.0013944+0.0012617i,0.00097566+2.0048e-05i,0.00095135-3.8467e-05i,-0.00023575+0.00010843i,-0.002103-0.00046509i,-0.0014738-0.0005996i,0.00016401-4.3175e-05i,0.00077771-0.00024458i,0.00031793-7.0368e-05i,-8.4364e-05+0.00017439i,9.7247e-05-0.00013779i,-0.00017833+3.8277e-05i,-0.0011042+0.00068927i,-0.00099776+0.0010865i,-0.00057364+0.0011294i,-0.00057755+0.00086348i,-0.00035114+0.00035792i,0.00016974-9.8205e-05i,0.00033625+1.8805e-05i
