0.00029174-0.0013055i,0.00048395-0.0013905i,-0.00043651-0.00021419i,-0.00053448+0.00027111i,7.9341e-05+0.00015996i,-0.00027262-0.00070924i,-0.00079411-0.0014751i,-0.0006454-0.00081691i,0.00068685+0.00027528i,0.0015986-0.00019761i,0.00064891-0.0008164i,-0.00057368-0.00039943i,-0.00036035-0.00027143i,-0.00039129-4.3854e-05i,-0.0010237+0.00050689i,-0.001121+0.00040113i,-0.00050928+0.00065264i,-0.0002902+0.00049603i,-0.00055534-0.0002066i,-0.00040898+4.4134e-05i,0.00010807+2.0664e-05i,-0.00028817-0.00016526i,-0.0008627+0.00013117i
-0.00072228-0.00062746i,-0.00061003+0.00098318i,-0.00043498+0.0019834i,0.00019281+0.001401i,0.00076343+0.00079551i,0.00079029-1.0831e-05i,-0.0002531-0.00061819i,-0.0011118-0.00033377i,-0.0014294+9.296e-05i,-0.00037987-0.00031553i,0.00030815-0.00069728i,-0.00036574-7.7226e-05i,-0.0003517+0.00021252i,0.0001829-0.00017329i,0.00026528-4.7002e-05i,-0.00051724+0.00066902i,-0.00093604+0.00066502i,-0.00054519-0.00014101i,0.00010171-0.00043742i,0.00020269+2.051e-05i,-0.00047094-0.00034151i,-0.00093416-0.00070246i,-0.0012413-0.00028742i
0.0020032+0.00083681i,0.00061602+0.0015306i,0.00034256+0.0015265i,0.00048764+0.001169i,4.5163e-05+4.6262e-05i,-0.00050298-0.0010491i,-0.001088-0.00097858i,-0.0014489-0.00057892i,-0.00090599-0.00054773i,0.00035998-0.00037265i,0.00079033-0.00047381i,0.00039574-0.0003357i,0.00040462-5.7907e-05i,0.00066103+0.00014349i,0.00069538+0.00049133i,0.00035629+0.00019896i,0.00010145-0.00052537i,-0.00046735+9.3573e-05i,-0.0005827+0.0012602i,-0.00055447+0.00051597i,-0.00094135-0.00057634i,-0.00053445-0.000434i,-2.4643e-05-0.00096838i
-0.00070602+0.0024034i,0.00016224+0.0023245i,0.0011083+0.0017903i,0.0017416+0.0009224i,0.0017665+0.0006312i,0.0014649+8.4636e-06i,-0.0005622-0.00051269i,-0.0020176-0.00031712i,-0.0017904+0.00061096i,-0.001079+0.00079206i,-0.00095553+0.00035537i,-0.0010683+0.00072483i,-0.00040459+0.00096971i,-0.00014432+0.00052429i,-0.000422+0.00058092i,-0.00050146+0.00087125i,-0.00028727+0.00027309i,1.9901e-05-0.00014226i,-5.8474e-05+0.00026443i,0.0003883+0.00038258i,0.0006349+0.00077431i,0.00032629+0.00083344i,-0.00014876+0.00034824i
-4.1719e-05-0.00032486i,6.805e-06+0.00020515i,0.00011418+0.00049071i,0.00039922-0.00026566i,-2.8723e-05-0.00057241i,-0.0011607-0.00036149i,-0.0015861-9.8291e-05i,-0.0024079+0.00025626i,-0.0021809+0.00062397i,-0.0009563-9.3233e-05i,6.2648e-05-0.00045272i,0.00026295+7.958e-05i,-0.00013934+7.1354e-05i,-0.00037852+5.4992e-05i,-9.407e-06-0.00017702i,0.00049398-0.00050573i,0.00046247+0.00024186i,-0.00019649+0.00064078i,-0.00011963-0.00034945i,-5.0924e-05-0.00015263i,0.00027246+0.00025036i,7.4286e-05-0.00025673i,-0.00059222-0.00044125i
-0.00041328+0.0012164i,-6.9969e-05+0.001127i,0.00017081+0.0014101i,0.0010501+0.00024905i,0.0015646-0.00058344i,0.00092679-0.0010653i,-0.00032935-0.0011472i,-0.001371-0.00043398i,-0.00057495+0.00019109i,0.00050022+0.00030843i,0.00044184+0.00029091i,0.00014458+0.00029186i,0.00011279+5.7741e-06i,-0.00029774+1.3649e-05i,3.2629e-05-0.0001304i,0.00061593-9.6813e-05i,0.00037216+0.00047776i,-0.00010254+0.00061537i,-0.00024169+0.00023593i,-0.00016785+1.4768e-05i,-3.0225e-05-0.00039649i,0.00024011-0.00025467i,0.00027783-5.1928e-05i
-0.00026434-0.00048642i,-1.1909e-05+0.00074404i,-0.00019606+0.00192i,0.00016273+0.0017317i,0.00044566+0.00084404i,0.00034821-7.3936e-05i,-0.00063868-0.00081999i,-0.0015038-0.0011183i,-0.0009205-0.00047268i,-0.00053725+0.00024432i,-0.00097243-0.000142i,-0.00067186-0.0003431i,-0.00034599+0.00027097i,-0.00024153+0.00087459i,-0.00015198+0.0014619i,0.00012527+0.00097392i,0.000408-0.00029349i,-0.00015226-0.00036219i,-0.00054638-7.7507e-05i,-0.00040442-0.00015782i,-0.00081623+6.0101e-05i,-0.00080995+0.00025486i,1.9565e-05+0.00040839i
-0.00037108-0.00057296i,0.00065448+0.00069808i,0.0014958-9.3419e-05i,0.0017045-5.9435e-05i,-0.00013016+0.00058205i,-0.0011715-0.00021794i,-0.0010694-0.00095778i,-0.00062657-0.00059211i,-0.00044979-0.00025077i,-0.00011552-0.00017973i,0.00036138-0.0001788i,0.00011604+0.00076752i,-0.00063998+0.0005454i,-0.00069835-0.0009727i,-0.00079058-0.0012099i,-0.00044639-0.00061779i,-0.00033833-0.00020595i,-0.00069185-6.1466e-05i,-0.00062606+0.00047246i,-0.00011632+0.00088121i,0.00045386+0.0008273i,0.00067284+0.0012338i,0.00096116+0.00098198i
2.0496e-05+0.00048668i,6.1846e-05+0.00095613i,0.00080639+0.0017717i,0.0021719+0.0019104i,0.0022033+0.0014053i,0.00066259+0.0012443i,-0.00081142+0.0006313i,-0.0013565+0.00031379i,-0.0011853+0.00015682i,-0.00046213+2.1952e-05i,0.00041713+7.2973e-05i,0.00033958+0.00030367i,0.00015238+0.00088335i,0.00064369+0.00033941i,0.00048738-0.00011133i,0.00015581+0.00033093i,8.7491e-05+0.00033604i,7.6048e-05+0.00017456i,0.00069467+0.00017654i,0.00089477+0.00055846i,0.00024336+0.0009455i,0.000212+0.0008954i,7.9389e-05+0.00039708i
0.00067433+0.0022178i,0.00080838+0.0019777i,0.0013188+0.0010706i,0.0016772+0.00053731i,0.0013165-0.00043641i,0.00034809-0.0016498i,-0.00094889-0.0016975i,-0.0012438-0.0011897i,-0.00069073-0.00062171i,5.0718e-05-0.00053872i,0.00012266-0.00061451i,-7.7605e-05+0.00029799i,-0.00017485+0.00023188i,-0.00031406-2.6569e-05i,0.00061284-0.00053415i,0.001463-0.001i,0.0008363-0.00011393i,-0.00059766+6.1323e-05i,-0.00093698-0.00050454i,-0.00067688-0.00042719i,-0.00051137-0.00083071i,0.00018599-0.00083213i,0.00011829+4.6072e-05i
-0.00055529+0.0024659i,-0.00077565+0.0018365i,-7.21e-05+0.0016421i,0.0011194+0.00090519i,0.0010004-0.00029509i,-0.00034734-0.00089954i,-0.0012812-0.0016812i,-0.0017672-0.0016496i,-0.0013978-0.00032343i,-0.00031783+0.00045583i,0.00038826+0.00039453i,0.00032128-5.3841e-06i,0.0001751-0.0002756i,6.4319e-05-0.00015148i,-0.00033655-0.00064991i,-0.00014838-5.0573e-05i,0.00040436+0.00086579i,0.00054175-0.00028964i,0.0009582-0.0012405i,0.00072374-0.0010215i,-0.00014745-0.00069726i,-0.00069525-0.00061731i,-0.00030298-0.00010845i
