0.0013926+0.0017978i,0.0020617+0.0025832i,0.001947+0.0018986i,0.00071563+0.00089836i,-0.00010539-8.561e-05i,-0.00080717-0.0011878i,-0.0017286-0.00086195i,-0.001452-0.00026737i,0.00033465-0.00046779i,0.0013122-0.00096583i,0.0011069-0.00071994i,-2.4092e-06-9.3921e-05i,-0.0007439-1.826e-05i,-0.00026902+2.3144e-05i,-0.00026222+0.00014444i,4.7093e-05+0.00016242i,0.00094906+3.6548e-06i,0.00059034-0.00038372i,0.00030846-0.00019397i,4.8521e-05+0.00073804i,-0.00060788+0.00074794i,-0.00028621-0.00053093i,0.00073303-0.00089146i
-0.0011639-0.00062776i,-0.0014966-0.00098728i,-0.001516-0.00039903i,-0.0015331+0.00080287i,-0.0012512+0.0012584i,9.3141e-05+0.0010158i,0.0011788+0.00038094i,0.00084668-0.00031586i,0.00024883-0.0010118i,5.1391e-05-0.0010185i,0.00068507-0.00075344i,0.00098101-0.00038831i,0.00081996-0.00044948i,0.00022288-0.00086021i,0.00032125-0.00061061i,0.00071056-0.00030077i,0.00039518-0.00036468i,0.00022262-0.0011114i,-0.00036477-0.001352i,-0.00043666-0.00046524i,-0.00027131+9.8413e-05i,-0.00043084+0.00049067i,-0.0002317+0.0006018i
-0.0033636-9.5609e-05i,-0.0039749-0.00018797i,-0.0040254+0.00070878i,-0.0027906+0.0017869i,-0.0004217+0.0020084i,0.00073447+0.00054182i,-0.00042261-0.00070207i,-0.0010783-0.00067222i,-0.00045695+0.00018355i,-0.00038378+0.00015222i,0.00023023-0.00080199i,0.0011175-0.0011823i,0.0012754-0.001481i,0.00054805-0.0014176i,0.00020888-0.0010871i,0.00021399-0.00025879i,0.0002433+0.00011196i,0.001124-2.511e-05i,0.001282+0.00024719i,0.00086413+0.00045518i,0.00017703-5.9059e-05i,-0.00056453-3.7938e-05i,-0.00083493+0.00055522i
-0.00027602-0.0010901i,-0.0011826-0.00062213i,-0.0026195-0.0012258i,-0.0016294-0.0011845i,-0.00065827+0.0001568i,-0.00078296+0.00094912i,-0.000915+0.00024452i,-0.00076658-0.00043749i,-0.00013389-0.00096681i,0.00062207-0.00075007i,0.00014364+6.1703e-05i,-0.00043256+0.00015428i,4.8064e-05+4.745e-07i,0.00080454-0.00018246i,0.00039819-0.00043844i,2.4889e-05-0.00073876i,9.0662e-05-0.00097059i,0.00019006-0.00037249i,0.00037199+0.00061073i,0.0001746+0.0010302i,-0.00013251+0.0011271i,1.2679e-05+0.00078591i,5.7406e-05+0.00020335i
0.00023589-0.0011708i,6.8966e-05-0.00072054i,-9.1212e-05-0.00063527i,-0.00073364-2.1459e-05i,-0.00095394+1.0916e-05i,-0.00069074+5.9715e-05i,-0.0013422+0.00020728i,-0.0012525-0.00014162i,-0.0002863-0.00033869i,0.00038574-0.00048324i,0.00019211-0.00095079i,2.3659e-05-0.00056496i,0.00073661-0.00022571i,0.0011966-0.00048931i,0.00077765-0.00070165i,0.00027883-0.00069456i,-4.9268e-05-0.00026073i,-0.00013366-0.00028681i,-0.00014795-0.00040927i,-0.00052296+0.00038675i,-0.00038743+0.00055058i,0.00031973-0.00033726i,0.00068697-0.0003106i
-0.0019612+0.0020362i,-0.0010495+0.002134i,0.00036821+0.0022727i,0.00070898+0.0015333i,0.0011782+0.0010101i,0.00081866+0.00021808i,-0.00024932+0.0001006i,-0.00035688+0.0005739i,0.00028662+0.00032959i,0.00079973-3.9929e-05i,0.00060786-0.00018935i,0.00076238-0.00032406i,0.00016233-0.00055451i,-0.00066577-0.00028652i,-0.00035192-0.00072464i,-0.000102-0.0014315i,0.00043632-0.0011078i,0.0012966-0.00043469i,0.0014604+0.00022138i,0.0010555+0.00065429i,0.00093864+0.00031735i,0.00068401+0.00079837i,-0.00031455+0.0012087i
0.0013339+0.00030798i,0.001921-0.00012212i,0.0020835-0.00084487i,0.00076515-0.0020319i,-0.00031569-0.0024309i,-0.00075911-0.0014116i,-0.0003998-0.00044368i,-0.00033925-0.00053367i,0.00026722-0.001165i,0.00045556-0.00083062i,-0.00011471-1.1789e-05i,-0.00013109+0.00039206i,0.00039796+0.00074229i,0.0010794+0.00018105i,0.001212-0.0008696i,0.00054404-0.00084237i,0.00012265+4.9117e-05i,0.00058392+0.00045714i,0.00053343-2.3131e-05i,0.00034814-0.0002589i,0.0006228-0.00088325i,0.00040089-0.00064501i,8.8828e-05-0.00038117i
-7.8106e-05+6.9211e-05i,-0.00058074+0.00032442i,-0.00081595-0.00037346i,-0.0002341-0.00020911i,-0.00080379+0.000262i,-0.0015072-0.00017333i,-0.00094799-0.00032408i,-0.0002448-0.00022402i,-0.00012954-0.00035623i,-0.00035802-0.00037028i,-0.00066256-0.00055121i,-0.00059372-0.00041338i,9.5938e-05+0.00016483i,0.00054634+0.00062316i,0.00061636+0.00086285i,0.00045126+0.00071587i,0.00033943+3.3659e-05i,0.00056922-0.00040061i,0.00079924-0.00010066i,0.00069969+0.00036417i,0.00017186+7.6131e-05i,-3.604e-05-0.0003998i,0.0002506+0.00025995i
-0.0007782-0.0014119i,-0.00065676-0.0014979i,-0.0007132-0.0013651i,-0.00044057-0.0007967i,-0.0011337-0.00013695i,-0.0020676+0.00034808i,-0.0014596+0.00063155i,-0.00046236+9.1074e-05i,-0.00063457-0.00047222i,-0.00087855-0.00043553i,-0.00040136-0.00076651i,1.1799e-05-0.0008557i,0.0004746-0.00041174i,0.00082588+0.00015538i,0.00084566+0.00018976i,0.0010671-0.00041527i,0.0016809-0.0001343i,0.0013236+0.00036889i,-0.00039546+0.00012014i,-0.0013126-0.0003589i,-0.0013983+5.9819e-05i,-0.0012906+0.00060647i,-0.00049025+0.00037737i
-0.00080915-0.00032708i,-0.0011417+0.00020295i,-0.0013472-0.00011728i,-0.00088962-0.0001195i,-0.0011691+0.00036074i,-0.00060927+0.00014194i,-0.00015882-0.00010125i,-8.0971e-06+0.00037398i,0.00031902+0.0001586i,-7.6354e-05-0.00093944i,-2.4637e-05-0.0016097i,0.0002375-0.001405i,0.00043301-0.0010202i,0.00077263-0.00067513i,0.001017-0.0002179i,0.0010655-0.00012415i,0.00052054+0.0001301i,0.00059647-7.1522e-05i,0.00077242-0.00051941i,-0.00011756-0.0012731i,-0.00085094-0.0009068i,-0.00099909+0.00066775i,-0.0010056+0.0011321i
