-0.00012768+0.00023251i,0.00058061-0.00031892i,-0.0010593-0.00055529i,-0.001246-4.0922e-05i,-0.0010099+0.0012318i,-0.0016989+0.0018386i,-0.0014804+0.0022883i,-0.00059932+0.0024312i,0.00082272+0.0014664i,0.0010498+0.00048415i,-2.5294e-05-0.0002827i,-0.00035239-0.00063394i,-0.00070886-0.00040001i,-0.00063185+0.0001344i,0.00039976+0.00050512i,0.0013647+0.0007262i,0.0016994+0.00036713i,0.0011205+0.00041832i,0.00079432-0.00037586i,0.00087534-0.00126i,0.00052485-0.0011295i,0.00031169-0.00036497i,-0.00024883-6.9145e-06i
0.00098581+0.00059872i,0.00070414+0.00036714i,0.00051044+0.00011455i,0.0014222+0.00039189i,0.0019276+0.00021122i,0.00071722+0.00011245i,-9.1993e-05+0.0010857i,0.00017151+0.0018742i,1.4738e-05+0.0015331i,-0.00029648+0.00069222i,0.00017447-1.2232e-05i,0.00014924-0.00080726i,-0.00027411-0.00090438i,9.8289e-05-0.00018413i,0.00094431+0.00038487i,0.0010377+0.00019853i,0.00033691-0.00025737i,-7.4087e-05-0.00092014i,-0.00051841-0.0011084i,-0.00072842-0.00068231i,-0.00050203-0.00011114i,0.00036416+0.00028374i,0.00074658-0.00029619i
-0.00035458+0.0014497i,-0.0002528+0.0018469i,-0.00046186+0.0022512i,0.00079935+0.0017895i,0.0024136+0.000674i,0.0017795-0.00032912i,0.00034735+8.6382e-05i,-0.00065425+0.00048107i,-3.9113e-05+0.00066815i,0.00095959+0.00060632i,0.00074868-0.00034946i,0.00016436-0.0015403i,-0.00015835-0.0013731i,-0.00065324-0.000252i,-0.0010054+0.00032448i,-0.00026177+0.0002157i,0.00046861+9.0042e-05i,0.00016697-0.00034076i,-1.1548e-05-0.00049909i,0.00034557-0.00021271i,0.0004289+0.00021097i,0.00016835+0.0003203i,0.0002877-0.00041632i
-0.00080529-7.5943e-05i,0.00035242-0.00052232i,2.7531e-05-5.9155e-05i,-0.00013918+0.0012597i,-0.00066212+0.0016927i,-0.0010195+0.00078758i,-0.00088947+0.00080847i,-0.00047914+0.0013577i,5.319e-05+0.00036197i,-0.00036145-0.00017422i,-0.00064958-6.313e-05i,0.00019799-0.00020903i,7.5733e-05-0.00065201i,-0.00054365-0.00039507i,-2.1159e-05+0.00015298i,0.00059182+0.00062916i,0.00060978+0.00058932i,0.0003952+0.00020177i,-0.00051545+0.00032385i,-0.00085041+0.00022665i,-0.00058149-1.0216e-05i,-0.00010303-5.9737e-06i,0.00064251+0.00062942i
0.00025409+0.00036691i,-0.00019244+0.00049212i,0.0010259+0.00064074i,0.0016876+0.0008164i,0.00033887+9.088e-05i,-0.00069263+0.00041775i,-0.00092162+0.0014533i,-0.00042238+0.0016111i,9.1204e-05+0.001161i,0.00032615+0.00083076i,2.9985e-05-5.2049e-05i,-0.00063076-0.00079663i,-0.00071854-0.00098218i,-6.358e-05+4.8056e-05i,0.00034653+0.00059787i,0.00033988+0.00070825i,0.0012454+0.00074622i,0.0016272+0.00027401i,0.00085681-0.00057181i,0.0010627-0.0007888i,0.00088758+0.00017857i,0.00054341+0.00074938i,0.00038918+0.00071968i
0.00094784+0.0011177i,0.00036609+0.00033949i,-0.00022436-0.00082183i,-0.00044854-0.0013335i,0.00024592-0.0010792i,0.00032315-1.7985e-05i,-9.4492e-05+0.00031602i,0.00012462+0.00094916i,-0.00016656+0.0015206i,-0.00049888+0.00028767i,-0.00046913-0.00088517i,-0.00055219-0.00075538i,-0.00037317+0.00041517i,-2.0404e-05+0.0013752i,0.00029771+0.0016198i,0.0004347+0.0012687i,0.00092675+0.00024574i,0.00099855-0.00068449i,0.00085859-0.00046597i,0.00016647-0.0001924i,-0.00028962+2.3596e-05i,-0.00022511-0.00060983i,-0.00048733-0.00062079i
0.00014074+0.00014026i,0.00029038-7.5382e-06i,0.00093396-0.00017042i,0.00088505+0.00051627i,-0.00097603+0.0012145i,-0.00082498+0.0010277i,0.00083932+0.0011486i,0.00060038+0.0012107i,0.00020251+0.0010783i,0.00072558+0.0010849i,0.00084455-0.00027415i,0.00025985-0.0009444i,5.8806e-05-0.00019476i,0.00032756+0.00039621i,0.00030416+0.0010846i,0.00014108+0.00023326i,0.0007429-0.00098135i,0.00046923-0.00093107i,-0.00038699-0.00020244i,-0.00020114-0.00020219i,0.00065884-0.00048077i,0.00031951+1.6687e-06i,-0.00037081-4.5664e-05i
5.6275e-05+6.881e-06i,-0.00028582+0.00040469i,2.5871e-05+0.00067549i,0.0011831+0.00037861i,0.0010906-9.2133e-05i,0.00012705+0.0007892i,-0.00056741+0.0016537i,-0.00020869+0.0015676i,0.00013074+0.0013216i,0.0001409+0.00060008i,-6.1325e-05-0.00041219i,-0.00083639-0.0010633i,-0.00082459-0.00082141i,-0.00036048-0.00049898i,-2.5394e-05-0.00023142i,0.00011978+1.6315e-05i,-0.00051545-0.00098159i,-0.00069819-0.0011208i,-0.00082538-0.00042989i,-0.0011088-0.00091811i,-0.00039532-0.0012253i,0.00040852-9.5071e-05i,0.00019264+0.00072907i
-0.0013251+0.000223i,-0.0013319+0.0012128i,-0.0011937+0.0012062i,-0.00084799+0.0014127i,-0.00010076+0.0014678i,-8.656e-05+0.00041083i,-0.00068818+0.0001828i,-0.0003786+0.00098192i,-0.00031178+0.0010091i,-0.00035332+0.00094299i,-3.0256e-05+0.00025187i,0.0005592-0.00019892i,0.00023923+0.00023033i,0.00034611-0.00071125i,0.00077034-0.0010147i,0.00088866-0.00022172i,0.00059664-0.00039151i,-0.0001008-0.00071847i,0.00023001-0.00036088i,-0.00026045-0.00040292i,-0.00090642-0.00062652i,-0.00057856-0.00018356i,-0.00013421+0.00017172i
0.00028172+0.0011777i,0.0010809+0.0014359i,0.0011562+0.00095425i,0.0010516+0.00096328i,0.00043057+0.00093109i,-0.00029939+0.00078653i,-0.00032264+0.00076992i,-0.00050702+0.00015473i,-0.00062106+0.00035339i,-0.00014461+0.0008113i,-0.00037612-0.00028618i,-0.00085301-0.0011818i,-0.0008762-0.001085i,-0.00013294-0.00023561i,0.00049671+0.00066963i,0.00038833+0.00031133i,0.00044333-5.9285e-05i,0.00071272-0.00092779i,0.00064808-0.0016995i,0.0001759-0.00042995i,-9.5129e-05+0.00021757i,0.00020737+0.00029262i,0.0011186+0.00041205i
-0.00077077-0.00039201i,-0.00056206+0.00026133i,-0.0020043+0.00041192i,-0.0017705+0.00050182i,-0.00041836+0.001117i,0.00010492+0.0016792i,-0.00021978+0.0014819i,-0.00010078+0.0011511i,0.0002773+0.001204i,0.0001003+0.00082482i,-8.6973e-05-7.5302e-05i,-8.0077e-05-0.00083623i,0.00026561-0.00089015i,0.00065329-0.0011102i,0.00012728-0.00045355i,-0.0001936+0.00030083i,-0.00020518+0.00026874i,9.4072e-05-0.00025807i,0.00021304-0.0010739i,0.00017998-0.00041318i,0.00083034+0.00030815i,0.0010207-0.00033328i,0.00036848-0.00031739i
