0.0010836+0.0036047i,0.0013048+0.0022808i,0.00073343+0.00059861i,0.00092935-0.0010165i,-0.00030143-0.0017205i,-0.0026876-0.0011959i,-0.0028529+0.0002081i,-0.0012769+0.00092263i,0.00064169+0.00045683i,0.0016366-0.00017003i,0.0009701+0.00024244i,-0.00052381+0.00026507i,-0.00054882-0.0005622i,-7.3377e-05-0.0010822i,-0.00010518-0.0010241i,-0.00029257-0.00043506i,0.00032483+0.00037149i,0.00084713+0.00080919i,0.00056365+0.00079794i,8.2604e-05+0.00030742i,0.00026051-0.00074186i,0.00043428-0.00068697i,0.00085141+6.9505e-05i
-0.0013432-0.0017841i,-0.0028444-0.0012935i,-0.0043848-0.00081091i,-0.0037673+0.00038631i,-0.0017089+0.00031418i,-0.00023535-0.0007238i,-4.9385e-05-0.0011389i,-0.00011651-0.00036719i,-0.00046536+0.00012388i,-0.00058013-0.00019063i,-0.00067433+0.00028858i,-0.00080091+0.0010028i,-0.0002916+0.00085547i,0.0001021+0.00083039i,0.00036754+0.0003466i,0.0010272-0.00011644i,0.00060154+0.00020751i,-9.564e-05-0.00023174i,0.00039117-0.00030129i,0.00017549+0.00023079i,-0.00049831-0.00047237i,-0.00044598-0.00094231i,-2.7381e-05-0.00058109i
-0.00046744+0.00029256i,-0.00043036+0.00047583i,-0.00011277-0.00028265i,-0.00093661-0.00017851i,-0.0016527-0.00011804i,-0.00086165-0.00098547i,0.00061316-0.0012851i,0.00020215-0.001166i,-0.00067611-0.00092069i,-0.0011339-0.00073247i,-0.00043697-0.00024131i,0.00086648+0.00066347i,0.0014242+0.0011854i,0.00086115+0.00097403i,0.00038208+0.00031862i,6.1009e-05-0.00055065i,-0.0005554-0.0007821i,-0.00014701-0.00059796i,0.00047889+0.00014344i,0.00028832+0.00039541i,-9.0746e-05-0.00021658i,-7.7536e-05-0.00057897i,-7.1745e-05-9.6803e-05i
-0.0036815+0.001109i,-0.0027262+0.0013636i,-0.0002002+0.001081i,0.0018453+0.0011713i,0.0016597+0.00040966i,0.00046359-0.0017208i,0.00015589-0.002602i,-1.8821e-06-0.0013846i,-1.8219e-05-0.00026503i,0.00047913+8.4409e-05i,0.00050013+0.00041369i,0.0003189+0.00016163i,7.2723e-05-0.00024689i,-0.00036289-0.00067887i,-0.00021544-0.00083924i,0.00048721-0.00033108i,0.00051248+0.00015496i,3.0625e-05-0.00010299i,0.0006814-0.00065902i,0.0011432-0.00040513i,0.00068717+7.2526e-05i,9.5573e-05+0.0004799i,-0.00036343+0.0012659i
-9.4793e-05+0.0017696i,0.00025922+0.0018892i,1.6147e-05+0.00090741i,-0.00019774+0.00023279i,-0.00019953-0.00031272i,0.00029833-0.00098447i,-0.00023552-0.0015341i,-0.00073589-0.00106i,-0.00072653-0.0005717i,-0.0012415-0.00079348i,-0.0013189-0.0004491i,-0.0005376-1.7905e-05i,0.00039023-0.00012794i,8.8826e-05+0.00069788i,0.00027917+0.0014833i,0.00089007+0.00047305i,0.00085517-0.00011098i,0.00029994+4.7359e-05i,-0.00017516-0.00018347i,-0.00021093-0.00016689i,3.0549e-05-0.00012678i,-0.00011874-0.00035973i,-0.00092397-0.00043707i
-0.00060506-0.00022083i,-0.0013236-0.00021503i,-0.0016071+0.00082682i,-0.0014046+0.00014348i,-0.001166-0.0014293i,-0.00090498-0.0022245i,-0.00067483-0.0021344i,0.00016306-0.00093361i,0.00027509+0.00023615i,0.00070455+0.00081875i,0.0012533+0.0011326i,0.00094365+0.00092048i,0.001036+0.00042521i,0.00062872+0.00038504i,-0.00019733-0.00018969i,7.1449e-07-5.9481e-05i,-2.9315e-05+0.00055096i,-3.8434e-05+0.00062247i,0.00010367+0.00098589i,-0.00029249+0.00092034i,0.00015546+0.00043612i,0.00033757-0.00021267i,-5.3743e-05-0.00038354i
0.0012899-0.0016726i,0.0011707-0.0015445i,0.00014963-0.00052959i,-0.00039756-0.0008387i,0.00035067-0.0012269i,-0.00013337-0.0014111i,-0.0015206-0.0017751i,-0.0013914-0.0016224i,-0.00081363-0.00087836i,-0.0012263-0.00029204i,-0.00072601-9.3269e-05i,-9.4472e-05-5.0673e-05i,0.00047446+0.00032818i,0.0013004+0.00053234i,0.0014302-0.00040482i,0.00076431-0.00062626i,0.00077298-0.00072412i,0.0011609-0.00061556i,0.00081701-0.00038003i,0.00028729-0.00034517i,0.0001294+0.00036043i,-0.00018422+0.00052718i,-0.00068028+0.0001395i
0.001373+0.0020454i,0.0013591+0.0017827i,0.0013294+0.00039089i,0.0011482-0.00055183i,0.0004051-0.00097553i,-0.00050719-0.0019256i,-0.0010007-0.0019066i,-0.0010112-0.0013345i,-0.00030028-0.00084373i,0.00027091-0.0006269i,8.0116e-06-0.00049605i,-0.00045029-0.00074613i,-0.00059245-0.00041241i,-0.00049155+1.1189e-05i,-0.0001028+0.00033742i,0.00046277+0.00061667i,0.00050722+0.00060328i,0.0010756+0.00038928i,0.0014209+0.0010449i,0.00040862+0.001975i,1.8371e-05+0.0011067i,-0.00046501+0.00031253i,-0.00035566+0.0003274i
-0.0004946+0.0016588i,-0.001903+0.0021572i,-0.001985+0.0011217i,-0.00041577-0.00078009i,0.00019677-0.0012398i,-0.00050593-0.0005601i,-0.00074932-0.00065931i,-0.00047763-0.00088287i,-0.00076237-0.00023896i,-0.00056786+0.00016506i,-0.00060772-0.00010962i,-0.00074833-0.00082833i,-0.00050746-0.0014338i,7.9599e-05-0.0013368i,0.0010684-0.00037684i,0.0011738+0.00056442i,0.0002418+0.00068565i,-0.00067451-1.9678e-05i,-0.00011838-0.00014853i,0.00031957+0.00058691i,-0.00032211+0.00032665i,-0.0010227+0.00033384i,-0.00097896+2.7886e-05i
0.0010393-3.7241e-05i,0.0014485+0.00037864i,0.0013823-0.00058502i,0.00039324-0.0013953i,-0.00048611-0.0014829i,-0.00011889-0.00079478i,-0.00010752-0.0012298i,-0.00044887-0.0016576i,-0.00032288-0.00036229i,-0.00010521+0.00031452i,0.00034513-3.6416e-06i,0.00093211-0.00033388i,1.6388e-05+0.00032355i,-0.0011378+0.00080086i,-0.00092616+0.0003861i,-0.00019058+0.00033484i,6.7256e-05+0.00063959i,-5.3593e-05+0.00047236i,-3.1248e-05+0.00036578i,0.00015728+0.00077104i,0.00015284+0.00068999i,5.8457e-05+9.0402e-05i,0.0002784+0.00031939i
-0.00021778-0.00047725i,-0.00027338-0.0004629i,-0.0014611-0.00057626i,-0.0014971-7.5431e-05i,-0.00091865-8.3308e-05i,-0.00094899-0.00097354i,-0.0016458-0.0017333i,-0.0014374-0.0019781i,-0.00053422-0.0014266i,-4.689e-05-0.00040108i,0.00015682+0.00052431i,-0.00033843+0.00059467i,-0.00013691-0.00049469i,0.00079318-0.00048499i,0.0016131+0.00028686i,0.0016869+0.00041675i,0.00092593-3.7197e-05i,0.00025943-0.00047326i,-0.00039297+0.00033783i,-0.00050915+0.00067219i,-0.00044121+0.00014094i,-0.00093131-0.00052522i,-0.00086016-0.00037488i
