-0.006809+0.00075237i,-0.0061676+0.00088556i,-0.0073318+0.00354i,-0.0060987+0.0044374i,-0.0032541+0.0046309i,-0.0011035+0.0032136i,0.00017194+0.0023117i,0.00012091+0.0028377i,0.00055894+0.0020124i,0.0016562+0.0019449i,0.0016239+0.0019542i,0.0016684+0.00022873i,0.00049521-0.0012535i,-0.00055368-0.0017946i,-0.00097879-0.00098237i,-0.0020369-0.00075571i,-0.0020644-0.00085327i,-0.0012276+1.3883e-05i,-0.00084796+0.00088171i,-0.00075165+0.00087075i,-0.0011242+0.00048341i,-0.001657+0.00042327i,-0.0011433+0.00041219i
0.00017532+0.00080752i,0.00036991+0.00047368i,0.0010187+0.00058476i,0.00016701-0.00026373i,0.00024548-0.0016934i,0.00053073-0.0011879i,-0.00067842-8.8377e-05i,-0.00076079+0.0011087i,-0.00035727+0.001258i,-0.00030924+0.00068733i,4.166e-05+0.00024559i,7.2105e-05-0.00014223i,-0.00072387+0.00036501i,-0.0014659+0.00087296i,-0.0012198+0.00010537i,-0.00080893-0.0002502i,-0.00059024+0.00027962i,-0.00029595+0.00064848i,0.00019594+0.00074318i,0.00036381+0.00069364i,0.00028715+0.00075431i,-1.0077e-05+8.8416e-05i,3.7128e-05-0.00059904i
-0.00018336+0.00012319i,-0.00092621-3.9986e-05i,-0.00089249-0.00058432i,2.5283e-05+0.0001137i,-0.00027207+0.00026721i,-0.00054953-0.00020518i,-0.00078902-1.3258e-05i,-0.0010287+0.00029828i,-0.00026063+4.9607e-05i,0.00049872+0.00046444i,0.00016083+0.00078532i,-2.7058e-05+7.0149e-05i,6.038e-05-0.00042873i,-0.00044372-0.00022689i,-0.00064761-0.00055301i,-0.00041542-0.00025819i,-0.00049742+0.00031511i,-0.0010629-0.00010487i,-0.0011253-8.7885e-05i,-0.00072532+0.00038822i,-0.00034427+0.00058976i,-0.0001719+0.00058316i,0.00025071+0.000523i
-0.0013565-0.0012361i,-0.00097733-0.0021736i,-7.9855e-05-0.0009492i,0.00013924+0.00084381i,-0.0011533+0.00115i,-0.0013257+0.00054236i,-0.00025994+0.0004707i,0.00016163+0.00066237i,-0.00038019+0.0010323i,-0.00079023+0.0010624i,-0.00047002+0.00053023i,-0.00021437+0.00033431i,-0.00046659+3.8193e-06i,-0.00088116-0.00096471i,-0.00051677-0.0011987i,-0.00054942-0.0011551i,-0.00095435-0.0014883i,-0.0009981-0.0013847i,-0.00050406-0.0017231i,-0.0005661-0.0015534i,-0.00025175-0.00047808i,-0.00010258-8.2137e-05i,-0.00045146-5.8661e-05i
-0.000356+0.00065236i,0.00088251+0.0012465i,0.00044723+0.00067634i,-0.00028718+3.2423e-05i,-3.5055e-05-0.00042083i,0.00029183-0.00038202i,0.00043885+1.0606e-05i,4.1781e-05-0.00011876i,-0.00034954+0.00020116i,-0.000311+0.0012603i,-0.00070217+0.00087949i,-0.00069911-0.00019655i,-0.00085137-0.00054317i,-0.0005034-0.00018471i,-0.00056124-0.0003247i,-0.0004465-0.0012027i,0.0002883-0.0015182i,-5.8227e-05-0.0010827i,-9.6883e-05+8.0392e-05i,0.0001264+0.00015537i,0.00015042+0.00017273i,0.00011668+0.00095401i,-0.00029067+0.00049072i
-0.00062875+0.0018943i,-0.0003166+0.0026514i,0.00058594+0.0023544i,0.00081765+0.0018279i,0.00026934+0.00025559i,-0.00031145-0.00059064i,-0.00068155-0.00026817i,-0.0013221+0.00016617i,-0.00090231+0.0010595i,-0.0003763+0.0010421i,-0.0004304+0.00020736i,-0.00044228-7.5778e-07i,-0.00082475-0.00020568i,-0.0011444-0.00026857i,-0.00062927-0.0004878i,-0.00066086-0.00046835i,-0.00047381-0.00073018i,-0.00070518-0.00080963i,-0.00085368+0.00032976i,-0.00073215+0.0011566i,-0.00031901+0.00091014i,0.00010074+0.00025313i,-0.00017608-9.9599e-05i
0.0014164+0.0022091i,0.0012889+0.0018428i,0.0017824+0.00060481i,0.0013246-0.00084873i,5.7149e-06-0.0011475i,-0.0010076-0.00054323i,-0.00041976+0.000116i,-1.0667e-05+0.00055812i,3.2739e-05+0.0012309i,-0.00023398+0.001534i,-0.00021977+0.0011456i,-0.00020183+0.00059859i,-0.00023137-0.00023847i,-0.00049105-0.00052627i,-0.00040679-0.00069117i,-0.0008805-0.00066955i,-0.0013326-0.00080085i,-0.0011033-0.0013098i,-0.00061151-0.00028313i,0.00015706+0.0013303i,0.0010109+0.0010313i,0.00069553+0.0002313i,0.00041737+0.00034487i
-0.0011283-0.00045463i,-0.00038957-0.0004315i,-0.00076589+0.00023799i,-0.0014398+0.00046284i,-0.0011371-7.7551e-05i,-0.0005012+0.00053715i,-0.0001807+0.0011876i,0.00048363+0.00095996i,-2.4055e-05+0.0010238i,-0.00054545+0.0012682i,-0.00045692+0.0014567i,-0.00048363+0.001374i,-0.00068328+0.00095269i,-0.00090187+0.00010734i,-0.00085563-0.00040613i,-0.0010287-0.00063097i,-0.00099628-0.00087185i,-0.00041981-0.00081174i,-2.8779e-05+5.5487e-05i,-0.00028845+0.00056402i,-0.00056868+0.00023046i,-0.00011665-1.9608e-05i,-0.00079544+0.00029507i
0.00016306+0.00028893i,0.00037827+0.00033395i,0.00087632+0.00039967i,-0.000114+0.00017642i,-0.0011812-0.00033352i,-0.00086986-0.00014197i,-0.00072553+0.00037842i,-0.00058805+2.4745e-06i,-0.00030795-0.00041381i,-0.00038635+0.00031546i,-5.7409e-05+0.00013126i,1.2909e-05-0.00036801i,0.00019871+0.00056823i,8.9552e-05+0.00093128i,-9.4446e-05+0.0008028i,0.00021442+0.00035812i,-0.0002473-4.2339e-05i,-0.0011619+0.00012843i,-0.0012222+0.00015629i,-0.000475+0.00050599i,-0.00031452+0.00043698i,-0.00043545+0.00029167i,0.00034785+0.00027406i
-0.00036141+0.00061212i,-0.00012405+9.4833e-05i,-0.00012654+0.00089456i,0.00024524+0.0018152i,0.00045558+0.0019007i,0.00036224+0.00094023i,0.00018491+0.00056197i,0.00016832+0.0012769i,8.4327e-05+0.0016723i,-0.00018725+0.0018709i,-0.00061115+0.0017274i,-0.00036587+0.00020489i,-0.00012518-0.00058769i,0.00010999-0.00051391i,-0.00016556-0.00064905i,-0.00068268-0.0004998i,-0.00092679-0.00049523i,-0.00058209-0.00036062i,-0.000245+0.00023706i,-0.00032311+0.00034395i,0.00021532+0.00033759i,-0.00018933+0.0011473i,-0.00052623+0.00080353i
-0.0015598-0.0010648i,-0.0016808-0.00069059i,-0.0017517+0.00065644i,-0.00090049+0.00087839i,-0.00014+0.0005757i,0.00034634+0.00049466i,0.00018189+0.00028512i,-0.00027163+0.00025918i,-0.00026533+0.00018475i,-0.00082425+0.00062554i,-0.0010563+0.0005973i,-0.00034448-5.4421e-05i,-0.00027908-0.00043808i,-0.00035792-0.00040486i,-0.00021982-0.00057905i,0.00049066-0.00058274i,0.00020206-0.00019437i,-0.00084389-0.0004029i,-0.00061811-0.00047573i,-5.2856e-05-0.00018528i,3.5533e-05+0.00029697i,-0.00022339+0.00063526i,-0.00071524+0.00056234i
