-0.006809+0.00075237i,-0.0061676+0.00088556i,-0.0073318+0.00354i,-0.0060987+0.0044374i,-0.0032541+0.0046309i,-0.0011035+0.0032136i,0.00017194+0.0023117i,0.00012091+0.0028377i,0.00055894+0.0020124i,0.0016562+0.0019449i,0.0016239+0.0019542i,0.0016684+0.00022873i,0.00049521-0.0012535i,-0.00055368-0.0017946i,-0.00097879-0.00098237i,-0.0020369-0.00075571i,-0.0020644-0.00085327i,-0.0012276+1.3883e-05i,-0.00084796+0.00088171i,-0.00075165+0.00087075i,-0.0011242+0.00048341i,-0.001657+0.00042327i,-0.0011433+0.00041219i
-0.0015991+0.00035384i,-0.00092556+0.00047256i,0.00027361+0.0010188i,0.00037521+0.0012974i,-0.0002965+0.00050845i,-0.00043874-0.00023202i,-0.00090452+0.00025946i,-0.00087421+0.001304i,-4.2687e-05+0.00093667i,0.0002008+1.1549e-05i,0.00029646+0.00041546i,7.4689e-05+0.00081518i,-0.0010746+0.00088839i,-0.0010296+0.00086053i,-5.2293e-06+2.6833e-05i,0.00031675-0.00087319i,0.00020029-0.00071338i,-0.00093224-0.00054769i,-0.0010798-0.00056531i,-8.2763e-05+0.00024994i,0.00082741+0.00095646i,0.00074438+0.00059039i,-0.0005724-0.00019354i
0.00011861-0.0023373i,-0.00036745-0.0023148i,-0.00031919-0.0017179i,-0.00022534-0.0012115i,-0.00066402+0.00023337i,-0.00076309+0.0013895i,-0.00033214+0.0016761i,-2.7718e-05+0.00084717i,-0.00049865+0.00064967i,-0.00032308+0.00056057i,0.00048025+0.00097853i,0.0003425+0.0012999i,-0.00048325-9.6309e-05i,-0.00066473-0.00033533i,-0.00024924+0.00064545i,0.00023536+0.00020067i,-9.5417e-05-0.00036297i,-0.00089298-0.000361i,-0.0011218-0.00068545i,-0.00029818-0.00054301i,0.00068732+3.1623e-05i,0.00056327+0.00031104i,0.00024673+0.00012018i
0.00021089-0.00011067i,-0.0002878+0.00020892i,-0.00096263-0.00079701i,-0.0012746-0.00091756i,-0.00099322-0.00092784i,-0.00071487-0.0010818i,-0.00026945-0.00071579i,-0.00045253-0.00051638i,-0.0014746-0.00025898i,-0.0011383+0.00036153i,-0.00055683+0.00051982i,-0.00091639+0.00063064i,-0.00049981+0.00044113i,-7.0014e-05+0.00011618i,-0.0003668+0.00038429i,-0.00040573+8.0646e-05i,-0.00037714-0.00011371i,-0.00073516+0.00033844i,-0.00037325+4.2103e-05i,0.0001425-0.00071689i,0.00021531-0.00083503i,0.00089956+0.00030319i,0.00062739+0.001101i
-0.0013277+0.00018008i,-0.0015854-7.9082e-05i,-0.0011136+0.00016931i,-0.00083057+0.00039258i,5.1811e-05+0.00025714i,0.00031424-0.00031207i,0.00020418-0.00017071i,-8.2247e-05+0.00046524i,-0.00039482+0.00024062i,-0.00058743+0.00051378i,-8.9233e-05+0.00074071i,0.00054499+0.00037246i,0.00036151-0.00029354i,-4.9497e-05-7.3755e-05i,-7.0096e-05+0.00027534i,0.00013278-0.00076936i,-0.00045666-0.00084796i,-0.0017968+0.00022542i,-0.0017195+0.00047481i,-0.0010902+0.00049143i,-0.00067731+0.00021235i,-0.00026217+3.7951e-05i,3.4014e-05-0.00011911i
0.00071587+0.0023559i,0.00050598+0.0027416i,0.00087294+0.0015961i,0.00028868+0.00026506i,-0.00035938-0.00090128i,0.00018947-0.00096381i,3.8377e-05-0.00019923i,-0.00095805+6.1036e-05i,-0.0014222+0.00049031i,-0.0013383+0.00014692i,-0.00052063-0.00030911i,0.00027575-0.00030371i,0.00021491-0.00023698i,7.7095e-05-0.00033596i,-0.00027075-0.00075853i,-0.00066268-0.00059015i,0.0001482+0.00043123i,0.00031833+0.00037303i,6.6468e-05+0.00030337i,0.00067296+0.000917i,0.00068213+0.0006459i,0.00045423-0.00011465i,0.00034654-2.4567e-05i
0.00017299-0.0011304i,0.00045019-0.0011206i,0.00054886-0.001184i,-9.7702e-05+0.0002614i,6.8353e-05+0.0016041i,7.4024e-05+0.0020136i,-0.00040215+0.0014442i,-0.00090273+0.00083448i,-0.0015849+0.00060287i,-0.0010243+0.00066004i,-9.1296e-05+0.00051064i,-0.00017397+0.00017094i,-0.00016054+5.8911e-05i,-0.00027813+0.00014751i,-0.00065873-0.00061823i,-0.00074714-0.00085775i,-0.00061316-0.00034921i,-0.0011792-0.000455i,-0.0010888-0.00074801i,-0.00040164-0.00049568i,7.2285e-05+0.00031939i,0.00010583+0.00077549i,5.1805e-05+0.00099282i
-4.5854e-05+0.0034461i,0.0008893+0.0025113i,0.0021301+0.0015811i,0.0021882+0.0006508i,0.00090118-0.00029344i,-0.00057327-0.00041868i,-0.0011155+0.00010132i,-0.00059087+0.00081489i,-0.00012933+0.00095831i,-0.00062151+0.00065083i,-0.0010208+0.00089157i,-0.0010042+0.00074407i,-0.0010389-0.00049064i,-0.00091485-0.00035067i,-0.00062606+0.00094089i,0.00015689+0.0014307i,0.00015483+0.00048223i,-0.00078066+0.00010692i,-0.00093674+0.00017264i,-0.00023287-0.00058777i,-0.00037912-0.00081591i,-0.00078564-0.00052299i,-6.925e-05-0.00041649i
-0.0013409-0.0012812i,-0.00069877+0.00011307i,-1.5517e-05+0.00074455i,-4.1168e-05+0.00017305i,-0.00012227+5.2176e-05i,-0.00053966-2.0891e-05i,-0.00026947-0.00033849i,0.00049255+0.00047192i,0.00057607+0.00049817i,-0.00034923-1.27e-05i,-0.0011125+0.00034408i,-0.00030456+0.00074437i,0.00014287+0.00070479i,-0.00020781+7.3805e-05i,-9.6241e-05-0.00060722i,-0.00044703-0.00093593i,-0.0011127-0.00085402i,-0.0010556-0.00053817i,-0.00044033-0.00066404i,-0.00047217-0.00039667i,-0.00010086-0.00019066i,7.0591e-05+6.3871e-05i,-0.00047462+0.00033785i
0.00018048+0.0019422i,0.00089249+0.0017764i,0.00052652+0.00045878i,0.00020265-0.00061531i,-0.00010682-5.0093e-06i,-2.5415e-06-0.00020254i,0.00049431-8.7798e-05i,8.2987e-05+0.00085163i,-3.4844e-05+0.0012654i,-0.00011671+0.00049274i,1.0826e-05-0.00072576i,0.00028791-0.00083894i,-0.00013213-0.00019609i,-0.0009071-0.00024802i,-0.00073421-0.00068611i,-0.00011863-0.00048635i,3.5834e-05-0.00039792i,0.00045833-0.00046227i,0.00099425+0.00034868i,0.0012496+0.00074114i,0.00097072+0.00025583i,0.00020029-0.00011833i,-0.00017843+7.8304e-05i
-0.00030743+0.0016575i,-0.00033414+0.00083357i,0.00011429+0.0019292i,0.00037498+0.001925i,0.0011979+0.00048027i,0.00058158-0.00016055i,-0.00062638+6.4792e-05i,-0.0001934+0.0009775i,0.00059321+0.0010484i,0.00090019+0.00013398i,0.00047756+9.8373e-05i,-0.00061477-0.00022416i,-0.0009233-0.00035531i,-0.0011009-8.2447e-05i,-0.0011921-4.3023e-05i,-0.00038208+0.00023969i,-0.00044981+0.00080226i,-0.0012717+0.00070976i,-0.00087705+0.00018225i,-0.00077136+0.00026513i,-0.0015125+0.00077516i,-0.00054947+0.0012944i,0.00039294+0.00090882i
7.2086e-05-9.4565e-05i,-0.00019357+8.5891e-05i,-0.00037799-0.00070243i,-0.00084028-0.0017653i,-0.0021231-0.0011975i,-0.0029516+0.00013043i,-0.0021944+0.00049662i,-0.00054681-3.0254e-05i,0.00045085+0.00046844i,-0.0001693+0.00070692i,-0.0007444+0.00061111i,-0.00054888+0.00081869i,-0.0003738+0.00072365i,-0.00014607-8.7731e-05i,-0.00019644-0.00085661i,0.00036587-0.0011636i,0.00063539-0.0012837i,0.00014321-0.00073888i,-0.00048896+0.00039322i,-0.00044164+0.00069478i,-7.9085e-07-3.0284e-06i,3.979e-05-0.00065857i,6.4205e-05-0.00045534i
0.0012845+8.1339e-05i,0.00024312-0.00048551i,-0.00090699+0.00034295i,-0.00028662+0.0013733i,0.00035378+0.00088404i,0.0001615-0.00019959i,2.4713e-05-0.0006961i,-0.00025503-0.00018683i,-0.00039815+0.00010647i,-0.00077443+0.00041427i,-0.00067133+0.00028616i,0.00020079-0.00032585i,0.00045637+0.00022222i,0.00026372+0.00064651i,0.00014519+0.00030636i,-2.6691e-05+8.9932e-05i,0.0001347-0.00044225i,0.00054249-0.00055778i,-7.288e-05+3.8402e-05i,-0.00047195+0.00064878i,1.327e-05+0.00041069i,0.00038532+0.00025406i,0.00055218+0.000667i
-0.0020907-0.00047996i,-0.0010036+0.00011507i,0.00037069+0.00046497i,0.0011487+6.8898e-05i,0.00090555-9.6607e-05i,-0.00036274-0.00062327i,-0.00076938-0.0008969i,2.0342e-05+0.00022i,0.00055216+0.0009197i,0.00013163+0.0012745i,-0.00033292+0.0010193i,-2.5807e-05+9.2459e-05i,-4.107e-05-0.00070537i,0.00028219-0.0008315i,0.00057511-0.00046581i,-0.00023785-0.00028996i,-0.00081361-0.00022407i,-0.00027904-0.00033496i,-0.00054672-0.00028124i,-0.0011273-0.00059681i,-0.00087863-0.00059504i,-6.1415e-05+6.3364e-05i,0.00014029-0.00011146i
-0.0012696+0.0014527i,-0.0011974+0.0025279i,-0.0005846+0.0027792i,-0.00021318+0.0018898i,0.00011029+0.0010261i,0.00023857+0.00040988i,-0.0004217+0.00024669i,-0.00025323+5.4545e-06i,0.00092654+0.00066461i,0.0011214+0.0011093i,0.00030854+0.00089026i,-0.00036495+0.00068487i,-0.00049335-9.819e-05i,-0.00044311-0.00074608i,-0.00048778-0.00040337i,-0.0010488+0.00012851i,-0.0007879-2.0806e-05i,-0.0003604-0.00034326i,-0.00082985-0.0003928i,-0.00047593+0.00022293i,8.3195e-05+0.0008727i,-9.7451e-05+0.0010404i,0.00014003+0.00065205i
-0.00012765+0.002179i,-0.00019612+0.0021309i,0.00082139+0.0020534i,0.0015739+0.00053964i,0.0010541-0.00067322i,-0.0002419-0.00058749i,-0.0006322-0.0002808i,0.00041868+0.00011222i,0.00044395+0.00075046i,-0.0005957+0.00037988i,-0.00089828-0.00028602i,-0.0011021-0.00023673i,-0.0013031+0.00011491i,-0.0011392+0.00058822i,0.00016827+0.00053987i,0.0010886+4.46e-05i,-0.00019064-9.9428e-05i,-0.00073698-0.00014345i,0.00038818-0.0010055i,0.0012089-0.0011497i,0.0012014-0.00023254i,0.00067076+8.2694e-05i,0.00011534-0.00053822i
-0.00076915+0.00071848i,-0.00052854+0.00063999i,-4.9946e-05+0.0003847i,-0.0003907-0.00028958i,-0.00060351-0.00049638i,-0.00051875-7.4427e-05i,-0.00082353+0.00058053i,-0.001182+0.00045261i,-0.0011107+0.00038946i,-0.00051991+0.000854i,4.8673e-05+0.0010687i,1.4487e-05+0.00018226i,3.6032e-05-0.00081608i,4.1439e-06-0.00031042i,0.00032303+0.00011165i,0.00026734-0.00048728i,-0.00031964-0.00037164i,-0.00083827+0.00014553i,-0.00091102-0.00026338i,-0.00085682+8.0621e-05i,-0.00052532+0.00022101i,-0.00057624+0.00037386i,-0.00019207+0.00076991i
0.00040762-0.0012782i,0.00053999-0.001581i,-0.00011036-0.002423i,-0.0019096-0.0026882i,-0.0023806-0.001899i,-0.0015984-0.00025124i,-0.00034591+0.001132i,-6.9767e-05+0.0015225i,-0.00042371+0.0012823i,-0.00066583+0.00082718i,-0.00045008+0.00052172i,0.00013588+0.00035486i,0.00011353-0.00028551i,0.00020325-0.00084217i,0.00043469-0.00040393i,8.3227e-05-0.0001147i,-0.00085392-0.00029961i,-0.0012646+5.3174e-05i,-0.00076408-9.214e-05i,-0.00049615-0.00029089i,-0.0003878+1.0867e-05i,0.00024381-9.7391e-06i,-9.8979e-05-0.00065477i
-0.00049664-0.0020708i,-0.00038617-0.00074088i,-0.00082749+0.0004628i,-0.001523+0.00088172i,-0.0017864+0.00039612i,-0.0013394-0.00018949i,-0.00031591+0.00015636i,0.00068312+0.00073601i,2.9381e-05+0.0009931i,-0.00099507+0.00096402i,-0.0010238+0.00081019i,-0.00076465+8.0276e-05i,-0.00061352-0.00025707i,-0.00079246-0.00024944i,-0.00039789-0.00032029i,-0.00038974-0.00056298i,-0.00045854-0.00071337i,-0.00038688-0.0014595i,-0.0008553-0.0013912i,-0.00098007-0.00039529i,-0.0013405+0.00023111i,-0.00092843-6.8984e-05i,0.00010305-5.8043e-06i
0.0015437-0.00017218i,0.0012724+0.00015663i,0.0017006+0.00012607i,0.0011167-0.00042533i,-0.00019945-0.00058262i,-0.00052609-0.00033409i,0.00017983-1.1023e-05i,0.00045544+0.00034932i,0.00050209+0.00070602i,0.00063074+0.0007764i,0.00025511-0.00017146i,-0.00033206-0.00032474i,-0.00069492+0.00029722i,-0.00037387-5.1213e-05i,-0.00051579-0.00080713i,-0.00069088-0.0014204i,-0.0002361-0.0011462i,-0.00015475-0.00035572i,-4.033e-06+0.00010559i,8.0352e-05-0.00010269i,0.00021157-0.00045177i,0.00011047-0.0007226i,-2.4225e-05-0.0005154i
-0.00071156+5.1152e-05i,-0.00019188+0.00073269i,-0.00086754+0.0010471i,-0.00050603+0.0018361i,-0.00026925+0.0012969i,-0.00067684+0.00035084i,-0.00083065+0.0011513i,-0.00018284+0.0010059i,2.1278e-05+0.00044779i,-0.00059704+0.00042216i,-0.0010261+0.00021594i,-0.00066187+0.00064686i,-0.00050238+0.00090413i,-0.00049667+0.00048301i,-0.00071805+0.00044278i,-0.00099213+0.00049334i,-0.0008328+9.3689e-05i,-0.00091018-0.00037264i,-0.0011931-0.00048508i,-0.0010283-0.00051434i,-0.00045232-0.00035072i,2.8184e-05-0.00022502i,0.00023016-0.0005184i
0.00019322-0.00075131i,0.00041029-0.0014159i,0.00076575-0.0014885i,0.00030181-0.00056757i,-0.00035023-0.00074634i,-0.00011107-0.00069901i,0.000423+2.6633e-05i,-0.00027822+0.00051982i,-0.00054436+0.00094113i,-0.00043594+0.0017786i,-0.00031345+0.0020678i,-0.00057788+0.001283i,-0.00095665-0.00010089i,-0.00082836-0.0011194i,-0.00086526-0.0014283i,-0.00059154-0.00056383i,-0.00010673+0.00018821i,0.00047417-7.4301e-05i,0.00019845+0.00021019i,-0.00038064+0.00050914i,-0.00032386-6.4554e-05i,-0.00042489-0.00022563i,-0.00064852+0.00028492i
0.00020871-0.00014454i,-0.0005457-0.00070395i,-0.0016724-0.00048212i,-0.0018846+0.00016873i,-0.0018672+0.00029072i,-0.002079+0.0005716i,-0.0014568+0.00019891i,-0.00043639-0.0002918i,-0.00099154+0.00045803i,-0.0013827+0.00063219i,-0.0007408+0.00044932i,-0.00025477+0.0003735i,-0.00011916+7.4764e-05i,-0.00028767+0.00056535i,-0.00051098+0.00041276i,-0.00056542-0.0003382i,3.0857e-05-0.00062538i,-0.00024504-0.00061665i,-0.00091039-0.00029718i,-0.00079316+0.00033972i,-0.00012422+0.00037177i,0.00043506+5.5928e-05i,0.00052092+0.00011522i
-0.00025235+0.00020294i,-0.00050113+0.0011425i,0.00016038+0.0017895i,0.00099107+0.0009482i,0.00062201+0.00017089i,0.00069298+0.00021302i,0.00037404+0.00086899i,8.0287e-05+0.0010011i,0.00052105+0.00086716i,0.00033703+0.00041218i,-0.00024543-0.00023049i,-0.00034233-0.00011944i,-0.00088998+6.291e-06i,-0.001329-0.00016745i,-0.00079616+0.00028453i,-0.00034387-1.369e-05i,1.9943e-05-0.00045333i,-0.00017367-0.00088703i,-0.0008815-0.00035607i,-0.0010586+0.0010559i,-0.00052237+0.00077765i,-0.00038366-3.8895e-05i,-0.0011526-0.00017232i
0.000892-0.00033637i,-0.00035238-2.5185e-05i,0.00023103-0.00081147i,0.00077237-0.00093817i,0.0006806-0.0011067i,0.00031118-0.00030245i,-0.00048825+0.00016052i,-0.00078428-0.00021766i,-0.00087425-8.9922e-05i,-0.0016532+0.00015764i,-0.0013566+0.0002767i,-0.00056367+0.00071291i,-0.00019062+0.00077816i,-6.4568e-05+0.00052011i,2.2847e-05-0.00015285i,0.00019042-0.0008161i,0.00023876-0.00067667i,-0.00030028-0.00038872i,-0.00072457-0.00030338i,-0.00017566+0.00032218i,5.4139e-05+0.00037595i,0.00011471-0.00039721i,0.00029008-0.00042384i
0.00031181+0.00047766i,0.00016289+0.00040482i,0.00022865+0.00020155i,-0.00055365-0.0003914i,-0.001512-0.00095085i,-0.0013481-0.00019338i,-0.00069661+0.00037323i,-0.00031911+0.00022339i,-0.00079945+0.0002748i,-0.0012556+0.00066568i,-0.0011711+0.0014522i,-0.00057376+0.0016262i,0.00013126+0.00090429i,-0.00010131-0.00013047i,-0.00041076-0.00096182i,0.00026388-0.0010768i,0.00050942-0.00067054i,0.00014724-0.00053439i,-0.00032384-0.000353i,-0.00011578+0.00027998i,0.00013036+0.00070866i,7.2563e-05+0.00044386i,0.00036132+1.8698e-05i
-0.00015897-0.00089163i,-0.00084599-0.00073399i,-0.0019254+0.00072901i,-0.0017396+0.0013135i,-0.00059974+0.0010529i,-0.00064737+0.00098418i,-0.0011972+0.00087812i,-0.00091822+0.00083169i,-0.00057925+0.0010301i,-0.00066922+0.0014418i,-0.00052813+0.0014657i,-0.00021602+0.00085639i,-0.00025735-0.0001025i,0.00020788-0.00032583i,-1.7233e-05-0.00038598i,-0.00038921-0.00055523i,6.1878e-05-0.00036221i,-0.00032655-0.0014922i,-0.00041601-0.002002i,-2.6293e-05-0.00030371i,0.0003824+0.00034277i,0.00029502-0.00014768i,0.00041588-0.00034197i
-0.0018761-0.00075573i,-0.0018231-0.00037489i,-0.0016673+0.00012318i,-0.001585+0.00039999i,-0.00037574-0.00036827i,0.00067999-0.00060041i,0.00060599+7.6805e-05i,-0.00011875+0.00063259i,4.7002e-06+0.00078339i,8.3865e-05+0.00034698i,-0.00057463+1.3695e-05i,-0.00022682-0.00041554i,-6.1634e-05-0.0010004i,-0.0004306-0.00068968i,-0.0013045-0.00031882i,-0.0014864-0.00021672i,-0.00075558+1.1523e-05i,-0.00055697+0.00034724i,-0.0012056+0.00027304i,-0.0013445-3.063e-05i,-0.00087798+3.1643e-05i,-0.00027525+0.001044i,-0.00025744+0.002266i
0.0012094-0.00073836i,0.0012378-0.00062839i,0.00072217-0.0016357i,-0.00073111-0.001643i,-0.0017044-0.00056074i,-0.00060294+0.000223i,6.1126e-05+0.00032068i,0.0002688+0.00017056i,-0.00039541+0.0011591i,-0.0017723+0.0023325i,-0.001413+0.0015079i,-0.00022058+0.00021607i,7.2563e-05-0.00050803i,9.9567e-05-0.00018843i,0.00011649+0.00080739i,-0.00049637+0.00080878i,-0.00073418+0.00058495i,-0.0012348+0.00084957i,-0.0012315+0.00084557i,-0.00052879+0.00066158i,-0.00034417+0.00054825i,-0.00010978-0.00016552i,0.00021916-0.00058433i
-0.00239-0.00053861i,-0.0014586-0.0009468i,-0.0015968-0.00072505i,-0.0017984+0.00084511i,-0.0020196+0.001013i,-0.0014822+5.886e-05i,-0.00082623-0.00010548i,-0.00069979+7.5607e-06i,-0.00042201+0.00034107i,-0.00029469+0.00048446i,-0.00015572+0.00014633i,0.0003422-0.00091754i,0.00085007-0.00099827i,0.00075044-0.00050146i,0.00024128-5.9144e-05i,-0.00089781+9.1476e-05i,-0.0011467-0.00074431i,-0.0012494-0.0010447i,-0.0014457-0.00011349i,-0.001288+0.0006949i,-0.0010245+0.0011898i,-0.00081206+0.00089885i,-0.00091201-6.3606e-05i
-0.00023804+0.003344i,-0.00058651+0.0030811i,0.00094871+0.0035732i,0.0028176+0.0034286i,0.0027579+0.0022335i,0.0011781+0.00045079i,-0.00010351+0.00083531i,-0.00014649+0.0020139i,0.00080978+0.0016126i,0.00074477+0.00069257i,-0.00021973-0.00056826i,-0.00058622-0.001278i,-0.0010533-0.0011828i,-0.0013328-0.00089601i,-0.00099169-0.00039581i,-0.00073426-0.00013724i,-0.00056707-0.00059101i,-0.0006613-0.00079575i,-0.00090365-0.00041969i,-0.0002211-0.00014859i,0.00040579-4.926e-05i,0.00050729-0.00014967i,-0.00030028-0.00029026i
0.00036713+7.4714e-05i,-0.00035687+0.00032856i,0.00071552+0.00047326i,0.0011833-0.00047423i,0.0001192-0.0015522i,-7.875e-05-0.0010702i,0.00015263+0.00030501i,0.00044946+0.00076598i,-3.577e-05+0.00012914i,-0.00040378-0.00026842i,-0.00023929+9.1484e-05i,-0.00029157-0.00020914i,-0.00047423-0.00044951i,-0.00094568-0.00023158i,-0.00049811-0.00032772i,0.00027457+4.804e-05i,-0.00033164-5.7699e-05i,-0.0011913-0.00064645i,-0.001109-0.00053471i,-0.0011565+7.3968e-06i,-0.001106+0.00052234i,-0.00088021+0.00083236i,-0.00049126+0.00010424i
