-0.0032967+0.0009075i,-0.0021857+4.502e-05i,-0.0025073+0.00064835i,-0.002159+0.0014466i,-0.0012053+0.0017893i,-0.00054376+0.0011149i,-0.00058279+0.00072523i,-0.00085468+0.0017337i,0.00036475+0.0016935i,0.0024187+0.00019965i,0.0018923-0.0013062i,6.2392e-05-0.0018017i,0.00035707-0.0018236i,0.0010897-0.0018167i,0.00057194-0.0011142i,0.00015304-0.00069761i,0.00018269-0.00040169i,0.00044561+0.00027084i,0.00069112+0.00059354i,0.00056107+4.2685e-05i,0.00074607-0.00021354i,0.00042573-1.0411e-05i,-0.00045592-0.00016446i
0.00025824-1.0638e-05i,0.00052795+0.00023166i,0.00022724+6.7507e-05i,0.00034174-0.00048932i,0.00095916-0.0015138i,0.0013195-0.0021562i,0.00070972-0.0018353i,0.00049243-0.0012814i,0.0013613-0.0010872i,0.0014553-0.0010918i,0.00050649-0.0006231i,-2.7179e-05-0.00039333i,0.00049646-0.00019239i,0.00049155-0.00016916i,4.9132e-05-0.0014662i,0.00072815-0.0009039i,0.000535+0.00018234i,0.00023063-0.000211i,0.00095157-0.0001758i,5.9448e-05+0.00091893i,-0.00062283+0.00087682i,-0.00036265-0.00058581i,0.00027634-0.00062452i
-0.00025065-0.0014516i,0.0001381-0.0013167i,-0.0010031-0.0015119i,-0.0020237-0.0015412i,-0.0022273-0.0017948i,-0.00067045-0.0022896i,-8.7566e-05-0.0015796i,-0.00039473-0.00069188i,-0.00050394-0.00041448i,-0.00030148-0.00017554i,-0.00015205-0.0004524i,-7.5752e-05-0.00056232i,-0.00035574-0.00018983i,0.00013455-0.00031095i,0.00044546-0.0009232i,-0.00013901-0.00067938i,-0.00018238+0.0001116i,0.00043072+0.0005314i,0.0012255+0.00046454i,0.001183+0.0008574i,0.0010068+0.0011191i,0.00083161+6.0813e-06i,0.00033722-0.00067656i
0.0023497-5.1747e-05i,0.0022462-0.00086266i,0.0013062-0.0019715i,0.0009728-0.0014388i,0.0007639-0.00080029i,-0.00032278-0.00084614i,-0.00072591-0.0010057i,-0.00073667-0.00045339i,-6.3516e-05-0.00028983i,0.00070194-0.0001123i,0.00025589-0.00018849i,-0.00016157-0.00024015i,0.00056551+0.00031298i,0.0005393+0.00025216i,0.0002832-0.00034288i,0.00058753-0.0010328i,0.00062127-0.0013283i,0.00062468-0.00058794i,0.0012998+0.00010547i,0.0012738-0.00032164i,-0.00028978-0.0011813i,-0.0010235-0.0011251i,-0.00058817+0.00016779i
0.0013399-0.0015528i,0.00078775-0.0013361i,6.1821e-05-0.0013116i,-0.0009208-0.0017281i,-0.0021078-0.0025355i,-0.002089-0.0019941i,-0.0012224-0.00070605i,-0.00070303-0.0003923i,0.00036755-0.0006647i,0.001248-0.001383i,0.0010042-0.0016403i,0.00023931-0.00086836i,1.542e-05+8.8656e-05i,0.00078246+0.00036485i,0.0011016+0.00051323i,0.0010652+0.00035502i,0.001108+2.3214e-05i,0.00072318-0.00022034i,0.00084356-1.8995e-05i,0.0011441+0.00062437i,0.00069791+0.0006722i,-0.0001027+0.00013423i,-0.00055085-9.0031e-05i
-0.00096308-0.00038503i,-0.00060749-0.00040986i,-0.00073698+0.00025033i,-0.00072455+0.00044608i,0.00040261+0.00071948i,0.00098168+0.00076996i,0.00038254+0.00019433i,0.00023836+0.00013903i,7.2176e-06+0.0004816i,5.1342e-05+0.00035682i,0.00016227+2.9304e-05i,0.00083817-0.00049364i,0.001364-0.00079022i,0.00069018-0.00086359i,0.00033869-0.0012851i,-0.00043936-0.0012308i,-0.00091533-0.00044127i,-0.00056119-0.00071429i,0.00029274-0.00053761i,0.0012963+0.0001501i,0.00074183+0.0004201i,0.00052708+8.6675e-05i,0.00097214-0.00062805i
-0.00083114+0.00090155i,-0.0010084+8.4524e-05i,-5.7717e-05+3.18e-05i,0.0014446+0.00037082i,0.0025821-0.00035827i,0.0019005-0.0015413i,0.00031273-0.001624i,0.00047727-0.00088964i,0.0013862-0.00081743i,0.0014701-0.00081113i,0.0011089-0.00045394i,9.3089e-06-0.00051499i,-0.00082097-0.00096611i,-0.00039014-0.001483i,0.00037981-0.001745i,0.00042496-0.0012969i,0.00022305-0.0005584i,-5.5423e-06+4.5943e-05i,0.00021269+0.00017143i,0.00062005+0.00035848i,0.00078248+0.00064075i,-4.7174e-05+0.00068002i,-0.00084174-2.1811e-05i
0.00032229+0.00088538i,-0.00010952+0.001455i,0.0013036+0.0024574i,0.0018427+0.0011938i,0.0014007-0.0013438i,0.0010931-0.0024616i,0.0012512-0.0016575i,0.0011388-0.00069053i,0.00049725-0.00050042i,0.00067361-0.0010948i,0.00068336-0.001394i,-0.00020629-0.001318i,-3.3994e-05-0.0010311i,0.00034415-0.0004631i,0.00039811-0.00099534i,5.426e-05-0.0012455i,-3.2398e-05-0.00049758i,0.00017692+0.00014214i,0.00041125+0.00061633i,0.00069411+0.00031476i,0.00057536-6.2497e-05i,0.00030426-0.00018549i,-0.00015979+0.00028237i
-0.0022668-0.00035442i,-0.0021191+0.00020886i,-0.0028887+0.0010391i,-0.0023147+0.00083344i,-0.0014712+0.00062645i,-0.00022054-0.00012532i,0.00059504-0.00096773i,5.865e-05-0.00033945i,0.00018876+0.00078071i,0.00070374+0.000825i,0.00053203-1.099e-05i,-0.00036954-0.00068601i,-0.00078562-0.0013444i,8.7653e-05-0.001421i,0.00023155-0.00089482i,-0.0004599-0.00061352i,-0.00060016-0.00042866i,0.0010175-0.00045256i,0.0018713-0.00033348i,0.00086764+0.00015514i,-3.2026e-05-0.00022793i,-0.00072659-0.00083339i,-0.0010647+0.00012293i
0.00035622-0.0010175i,0.0011816-0.00067383i,0.00058012-0.0012124i,0.00033939-0.0015174i,0.00089772-0.000991i,0.0010275-0.0013131i,0.0010189-0.0017271i,0.00014688-0.00088179i,-0.00042915+0.00038156i,-0.00031985+0.00056579i,-8.9329e-05-0.00030298i,5.7908e-05-0.00054816i,0.00018561-9.4987e-05i,0.00028685-7.4937e-05i,-0.00023249-0.00056963i,-0.00034944-0.0012992i,-0.00027673-0.0011302i,0.00026785-0.00044888i,0.00031292-3.5223e-05i,0.00019038-2.0231e-05i,0.00023375-0.00073857i,-0.00044148-0.00074092i,-0.00081802-0.00013288i
0.00023562-0.00077767i,0.00041458-0.0015016i,0.0007385-0.00087026i,1.4017e-06-0.00015785i,-0.00046437-0.000372i,-0.00018503-0.001018i,-1.9121e-05-0.0010798i,0.00037151-4.3731e-05i,0.00029958+0.00058435i,2.4603e-06-0.00012482i,-3.2148e-05-0.00060984i,-0.00025854+0.00018502i,-0.00081867+0.00030849i,-0.00063495-0.00070725i,-2.0098e-05-0.000645i,5.8178e-05-0.0001724i,-1.7809e-05-0.00040505i,0.00022327-0.00016696i,0.00054717+4.8923e-05i,0.00062093-0.00010146i,0.00011533-0.00053391i,-0.00043704-0.00022877i,-0.00050672+0.00032037i
0.0014264-0.00015706i,0.00044548+0.00023375i,0.00069079-0.00013458i,0.0013804-0.00086808i,0.0011389-0.0011398i,0.0012868-0.00088231i,0.0012822-0.00071587i,0.00087311-0.00090009i,0.001464-0.00069371i,0.0016148-2.9456e-05i,0.00055724-1.3103e-05i,-0.00018408-0.00054665i,-3.0987e-05-0.00060704i,0.00074317-0.00048867i,0.00055589-0.00047002i,0.00048331-0.00046251i,0.00092262-0.0003952i,0.00071997-0.00029481i,0.00023856+9.248e-05i,0.00017234+0.00014953i,0.00066509-0.00038435i,0.00027762-0.00045246i,-0.00080381-0.00018253i
-0.00018301+0.0013271i,0.00076268+0.00058736i,0.0011119-7.9442e-05i,0.00059091-0.00055451i,-0.00012259-0.0011404i,-0.00073792-0.00078987i,-0.00028217-0.00062391i,-0.00011888-0.00045839i,0.00074282+0.00052537i,0.00098922+0.00031477i,0.00060546-0.00060181i,0.00047182-0.0013457i,0.0002567-0.0013179i,0.00051474-0.0010781i,0.00097784-0.00087305i,0.00066864-0.00011715i,0.00027919-0.00012859i,0.00087517-7.3092e-05i,0.0013613+0.00057963i,0.0011178+0.00061894i,0.00059515-3.1428e-05i,0.00023038-0.00030411i,0.00052498-0.00036076i
0.00042344-0.0018612i,1.6374e-05-0.0015067i,0.00095286-0.0018856i,0.00058781-0.0024127i,-0.00057475-0.0027956i,-0.00074687-0.0020883i,-0.00031237-0.0014214i,0.00059892-0.00045252i,0.00084842+0.00067296i,0.00080224+0.00045974i,0.00080351-8.1576e-05i,0.00030213-0.00020839i,0.00059622-0.00037818i,0.0011799-0.00073826i,0.00054768-0.00067061i,0.00017002+0.0004377i,3.9002e-05+0.00058639i,0.00072395-0.00056733i,0.00097201-0.0003676i,0.00046178+0.00037644i,0.00066375+0.00084482i,0.00043321+0.00091966i,-0.00044337+2.4703e-05i
0.00048245-0.00087887i,0.0011172-0.00012813i,0.00025629+0.00019162i,-0.0002392+0.00023851i,4.8154e-05+0.00018211i,9.0895e-06+0.00016323i,0.00028265+0.00043377i,9.7798e-05+0.00064141i,-0.00017676+0.00053373i,-0.00028872-3.3576e-05i,-0.00077569-0.00088192i,-0.00062005-0.00086137i,-0.00029556-0.00050299i,-0.00031208-0.00067882i,-0.00017852-0.00055171i,0.00037152-4.3337e-05i,0.0011461+9.8237e-05i,0.0015371-0.00018032i,0.001299-0.00014922i,0.0011275+0.00014138i,0.00070383-7.5596e-05i,0.00033053-0.00072051i,-0.00061593-0.0010459i
-0.00082875+0.0018767i,-7.0896e-05+0.00076694i,-0.00034474-0.00041049i,-0.00083081-0.00049903i,-0.00034673-0.0013014i,0.00046196-0.002743i,0.00018822-0.0025245i,-0.00041013-0.00069554i,-0.00028986+0.00039452i,0.00049795-0.00046109i,0.00028103-0.00080066i,-1.6978e-06-0.00043303i,0.00021664-0.00023102i,0.00028797-1.8068e-05i,0.00017959-0.00044351i,0.00018962-0.0013341i,0.00055531-0.0015236i,0.0010278-0.0011304i,0.0015162-0.00038583i,0.00060347+0.00016491i,3.2499e-05+0.001113i,0.0005684+0.0019016i,0.00030981+0.00055194i
-0.00087978-7.9218e-05i,-0.00050747+0.0003417i,-0.00023604+0.00076049i,-0.00011215+0.00081564i,0.0002972+0.00012346i,0.00067331-0.00049825i,0.00049721-0.00043238i,7.4426e-05-0.00021056i,2.2824e-05-0.0006139i,0.00061813-0.00056607i,0.00039078-0.00060345i,0.0002667-0.00074786i,0.00069507-0.00053325i,0.0010262-0.00060916i,0.0014782-0.0015718i,0.0012216-0.0012358i,0.00073761-0.0002982i,0.00048617-0.00066917i,0.00074926-0.00045754i,0.00075665-0.00030561i,-7.7202e-05-0.00070584i,-9.6289e-05-0.00032267i,-0.00020501-0.00024824i
-0.00011013+0.00078198i,6.9458e-05+0.00058327i,-2.2864e-05+0.00015249i,0.00022746-3.5932e-05i,0.00075124-0.00072178i,0.0010974-0.0011447i,0.00047431-0.0012012i,0.00019166-0.00058327i,0.00037677-0.00042497i,0.00064867-0.00072005i,-7.905e-05-0.00014489i,-0.00065239-0.00030278i,0.0002605-0.0012392i,0.00093029-0.0015204i,0.00076147-0.00096395i,0.00054555-0.00044458i,0.0010874-0.0006202i,0.0012399-0.00069433i,0.00061539-0.0001094i,0.00022387-0.00021505i,0.0003895-0.0011751i,0.00034208-0.00062678i,-0.00031746+8.3801e-05i
0.00036662-0.0012735i,0.00093574-0.0009537i,0.00071262-0.0011698i,0.00062709-0.0015292i,0.00034629-0.0019241i,1.8837e-05-0.0024138i,0.00018743-0.0021022i,0.00034694-0.00108i,0.00048786-0.00046564i,0.00075219-0.00068714i,0.00056349-0.00078186i,-7.1825e-05-0.00083296i,-0.00019166-0.00052189i,0.00043287-0.00035274i,0.001101-0.00041896i,0.0005565+0.00014114i,0.00027576+0.00061643i,0.00076076+0.00024801i,0.0012563-0.00021885i,0.00092949-0.00026895i,0.00020032-0.00062651i,-0.00041488-0.0014125i,-0.00060786-0.00075279i
-0.00017236-0.00011367i,-0.00053374-0.0011361i,-0.0003512-0.0020103i,-0.0001701-0.0017108i,-0.00056384-0.0010289i,-0.00077147-0.00062257i,-0.00031685-0.00015355i,7.1276e-05+0.00032103i,0.00072184+0.00016512i,0.0008443-0.00036506i,0.00034951-0.00014978i,0.00051341-5.44e-06i,0.00070418-0.00023184i,0.00086332+5.2674e-06i,0.00069397+0.00026879i,1.9309e-05-7.8996e-05i,6.5879e-05+0.00034048i,0.00026584+0.00033851i,0.00058771+8.1229e-05i,0.00093778+0.00067136i,0.00061991+0.00040187i,0.00019551-0.00080437i,0.00066443-0.0010794i
-0.00016584-0.00041054i,-3.2861e-05-4.3368e-05i,0.00098446-0.00082949i,0.0013949-0.0011858i,0.00091036-0.00093746i,0.00053843-0.00098808i,0.0002537-0.0016668i,0.00011996-0.0015526i,0.00096411-0.00048795i,0.0012104-0.00020815i,0.00047418-0.00047152i,3.8313e-05-0.00024544i,0.00018704+0.00075748i,0.00025219+0.0012083i,0.00045336+0.00017873i,0.0002656-0.00081616i,0.00050369-0.0011055i,0.00060033+0.00016972i,0.0010066+0.0010707i,0.0013441+0.0008086i,0.00093849-0.00017375i,0.0010116-0.00077539i,0.00065213+0.00014653i
