-0.00070464-0.0011809i,-0.00016865-0.00098435i,-0.00086356-4.4307e-05i,-0.0016059-0.00023674i,-0.0012187-0.00039507i,-0.0013909+3.1683e-05i,-0.001867+0.00038231i,-0.00036988+0.00040553i,0.00071548+0.00026787i,0.00021124+5.1347e-07i,-0.00014874+0.00037982i,-0.00013655+3.7637e-05i,0.00015511-0.00086594i,0.000372-0.00063777i,0.00065686+0.00013521i,0.0006872-0.00051386i,8.3536e-05-0.00084361i,-0.00029192-0.00045655i,-0.00064861-0.00064808i,-0.00089489-0.0005674i,-0.00098264-0.00011064i,-0.00063567+4.8465e-05i,-0.00089105+0.00071161i
-0.00014468+0.00010719i,-0.0010008+0.00028652i,-0.001064+0.00036301i,-0.00095344+6.2339e-05i,-0.00092388-0.00048832i,-0.0013935-0.00014376i,-0.0013077+5.8621e-05i,-0.00060178-4.7761e-05i,0.00018359+0.00067263i,0.00044694+0.0011647i,0.00056668+0.00053132i,0.00077585+0.00041827i,0.001121+9.8154e-05i,0.0010746-0.00034919i,0.0005646-0.00051394i,0.00040717-0.00065943i,0.00043911-0.00063625i,0.0004282+0.00011547i,0.00047531+0.00045765i,0.00045297+0.00039786i,0.00041505-0.00041586i,-2.9102e-06-0.00093852i,-0.00017029-0.00020589i
0.00075502-0.0022245i,0.0011685-0.003024i,0.00088418-0.0019999i,0.00033679-0.00083809i,-0.00032865+0.00025867i,-0.00072814+0.00072071i,-0.00056512+0.00046513i,0.00038448+0.00068467i,0.0010546+0.00070173i,0.00079512+0.00068751i,-2.4515e-05+0.00086845i,7.5082e-05+0.0013457i,0.0005812+0.0018148i,7.237e-05+0.0019474i,-0.00010565+0.0010769i,-0.00031906+0.0002455i,-0.00038112+0.00023089i,0.00041491-5.9977e-06i,0.00075504+0.00035128i,6.9063e-05+0.00096119i,-0.00027487+0.00065769i,0.00035699+0.00042561i,-0.00024317+0.0002637i
4.9316e-05+0.0015797i,-0.00045156+0.0016931i,-0.00097954+0.0024276i,-0.0010003+0.00086299i,-0.00089092-0.00034068i,-0.0012245-1.142e-05i,-0.0012428+0.00050948i,-0.00077924+0.00025194i,-0.00030077-1.9511e-05i,-0.00046703+0.00035045i,-0.00045971+0.0003725i,-6.1671e-05-5.2995e-05i,-0.00029307-0.00025771i,-0.00066049-0.00097883i,-0.0002344-0.0016283i,-0.00039756-0.0011654i,-0.00081895-0.00070426i,-0.00047131-0.00047143i,-0.00039434-0.00018747i,-0.00043833+0.00022414i,-0.00021288+0.00072934i,-0.0002477+0.0010047i,-0.00033064+0.00085693i
0.00016039+0.0012588i,-0.0005375-0.0002641i,-0.00035549-0.0003249i,3.6806e-05-0.00059388i,-7.282e-05-0.0010927i,0.00015496-0.00047202i,0.00038866+8.0278e-05i,0.00070749+0.00034808i,0.00010911+0.00051333i,-0.00028902+0.00054211i,0.00023517+0.00048426i,0.00017649-0.00034091i,-0.00036689-0.00070587i,-0.00064434-7.7036e-05i,3.1582e-05-0.00023825i,0.000312-0.0012528i,-0.00021964-0.0015762i,-0.00016155-0.0010527i,-0.0001165-0.00058538i,-0.00033897-0.00017428i,-5.1291e-05+0.00049259i,9.6113e-05+0.00080935i,-5.7047e-06+0.00048317i
-0.0015558-9.5735e-05i,-0.0017266-0.00012483i,-0.0017696+0.0015083i,-0.00085349+0.0028984i,0.00080679+0.00235i,0.00082045+0.00094256i,-1.6152e-05+0.00037532i,-0.00023232+0.0006191i,-9.3053e-05-3.7215e-05i,0.00048167+0.00022497i,0.00023936+0.0010596i,-0.00027081+0.00022355i,0.00021464-0.00073724i,0.0012876-0.00069217i,0.0015126-0.00060602i,0.00034952+0.000534i,-0.00059835+0.00025529i,-0.00022376-0.0012612i,0.00054528-0.0014217i,0.00064521-0.0007729i,0.00067545-0.00033831i,0.0012022-0.00011971i,0.00059671+0.0003983i
-0.00088748+0.00052487i,-0.0004804-0.00032728i,-0.0003611+0.00050724i,-0.00045387+0.00097494i,-0.00026624+0.00014641i,-0.0013504+0.00070626i,-0.00075714+0.0012411i,0.00077487+0.00050935i,0.0010499+9.2761e-05i,0.0007907+2.9438e-05i,0.0010109+0.00010763i,0.00081755+0.00034119i,-0.00028345+0.00015334i,-0.00084465+4.2247e-05i,-0.0005898-0.00027856i,0.00010702-0.00071743i,0.00041365-0.00064715i,0.00024937-4.1666e-05i,-0.00042793+4.5543e-05i,-0.00094033+0.00023779i,-0.000362+0.00075479i,0.00011701+0.00080666i,-0.00030368+0.00052003i
-0.00021924-0.0011846i,-0.00053875-0.0007498i,-0.00024384-3.6039e-05i,9.9142e-05+0.00048624i,-0.00056084+0.00028846i,-0.00077624-2.97e-05i,-0.00059032+0.00069405i,2.7434e-05+0.0013351i,0.00030484+0.0013259i,0.00017259+0.00098595i,0.0012284+0.00096823i,0.0014281+0.00059678i,0.0011449-0.00013665i,0.00084668-0.00096601i,-0.00074942-0.0010445i,-0.0011615-0.00022035i,-4.0892e-05-8.1081e-05i,0.00029473+4.995e-05i,0.00015419+0.0003444i,6.5695e-05+0.00053132i,-0.00031238+0.00020643i,-0.00012412-0.00016557i,0.00033219-6.3287e-05i
-5.648e-05+0.00041267i,-0.00017228+0.00059349i,-6.5221e-05+0.00088834i,-0.00029939+0.00047399i,-0.00041136-0.00053991i,-0.0011141-0.00061663i,-0.0014967+0.00049801i,-0.00025243+0.00090768i,0.00024168+0.00060393i,0.0003453+5.5685e-05i,0.00098385-0.00034056i,0.00051165-0.0001435i,0.00019463-0.00034486i,0.00037627-0.00028956i,-0.00031954+0.000166i,-0.00062078-0.00028501i,-0.00028395-0.00039861i,-0.00065431+0.00029513i,-0.0002603+0.00048804i,4.6754e-05+0.00053174i,0.00030351+9.7082e-05i,0.00079537-0.00055354i,0.00023554-0.00097446i
0.0011525+0.00017186i,0.0014868+0.0001513i,0.0015941-0.00077097i,0.00056432-0.00017067i,-0.00069102+0.00027719i,-0.0012051+0.00055504i,-0.00046432+0.00096018i,7.9202e-06+0.0011453i,0.00012797+0.00086952i,-0.00031429+0.00048965i,-0.00039082+0.0006034i,0.00083187+0.00092432i,0.0014214+0.0013696i,1.9088e-05+0.0013337i,-0.00094943+0.0006722i,-0.00026348-0.00020395i,0.00063909-0.00012916i,0.00060306-0.0003398i,0.00036524-0.00052862i,-1.2507e-05-0.00075683i,-0.00046685-0.00091552i,-0.0007903-0.0005957i,-0.000641-0.00037929i
-0.00022583+0.00049308i,6.4168e-05-0.00033996i,0.0002047-0.00051675i,-0.0001597+0.00043397i,-0.00052897+0.0010069i,-0.00054255+0.00060312i,-0.00067444-6.7318e-05i,-0.00083981-0.00018328i,-0.00022792-0.00028262i,0.00028785+0.00056196i,-0.00020331+0.0012986i,-0.00033547+0.00071423i,0.00065758-0.00022745i,0.0016279-0.0008931i,0.0011939-0.0005717i,0.00024546-0.00013578i,2.222e-05-0.00063421i,-0.00012473-0.00050661i,-0.00058108-0.0001992i,-0.00074232-0.00048826i,-0.00030879-0.00044462i,0.00027884+6.0903e-05i,-0.00030795-0.0001272i
-0.0011378+0.00012643i,-0.00042791+0.0008295i,-0.00033562+0.00084183i,-0.00017174+0.00046927i,-0.00061333+0.00020325i,-0.00070059+0.00042581i,-0.00028612+0.0011171i,0.00013405+0.0012889i,0.0011361+0.00089115i,0.0010347+0.00038741i,0.00071372+0.0004386i,0.0011493+0.00028856i,0.0010721+0.0001205i,0.0007428+0.00010904i,0.00049959-0.00012575i,0.00019461-0.00029732i,0.00045187-0.00033141i,-3.7644e-05-0.00050894i,-0.00063814-0.00060998i,-0.00030514-0.0007967i,0.00020712-0.0011404i,0.00059961-0.00081228i,-0.00032168-0.00016121i
-0.0011899-0.0013658i,-0.00054602-0.0011505i,-0.00022449-0.00055939i,-0.00046412+0.00021651i,-7.6508e-05+0.0010232i,0.00017113+0.00057157i,0.00048707-0.00024588i,0.0004077-0.00049819i,-0.00017339-0.00076012i,-0.00047342-0.00088141i,-0.00057556-0.00062684i,-0.0010435-0.00035501i,-4.2276e-05-0.00010714i,0.001334-0.00025328i,0.0012361-0.00072554i,0.0004076-0.00026312i,-0.00013747+0.00016467i,-0.00033274-0.00064672i,0.00030769-0.00069516i,0.00050319+0.00010754i,6.1083e-05+0.00042113i,0.00022546+0.0004315i,0.00047254-1.9908e-05i
0.0002047+0.001114i,-0.00037046+0.00068651i,5.7698e-05+0.0010777i,0.00017926+0.0011848i,-0.00052261-0.00016965i,-0.00080907-0.00086048i,-0.00069597-3.2596e-05i,0.00017348-7.9023e-05i,0.00040352-0.00023745i,0.00054018+0.00054113i,0.00055625+0.00047873i,-0.00017506-0.00052623i,-0.00044496-0.0012382i,-0.00072988-0.00044274i,-0.00072508-0.00018307i,-0.0004977-0.00032565i,-0.00084488+0.00054624i,-0.0014648+0.00043385i,-0.0010655+0.00057081i,-0.00028443+0.00095077i,0.00040061+0.00099305i,0.00037413+0.00047284i,-0.00010834+2.7109e-05i
1.8671e-05+0.0003359i,-0.00029845-0.00063433i,0.00091493-0.00061705i,0.00060781-0.00030209i,-0.0007749-0.00014862i,-0.001142+0.00041979i,-0.0006948+0.0011372i,0.00047702+0.00054978i,0.00035985+0.0002461i,-0.0011807-0.00017012i,-0.0011933-0.00094238i,0.00013475-2.6257e-05i,0.00057497+0.00029077i,0.00046443-3.6449e-05i,0.00019331+7.0703e-05i,-1.0012e-05-7.7871e-05i,-0.00033158+0.00034528i,-0.00038184+0.00060293i,-5.1474e-05-9.9217e-05i,-0.00029069-0.00069039i,-0.00013635-0.00040822i,0.00013054+4.4749e-05i,6.5772e-06-0.00034738i
0.0014787-0.0012864i,0.00084235-0.0012782i,0.00013316-0.00094162i,0.00010919-0.00083028i,-0.00017386-0.00055907i,-0.0011567+0.00016753i,-0.00061278+0.0015153i,0.00021457+0.0017178i,0.00069171+0.00065899i,0.00076755+1.9446e-05i,0.00053479-0.00015895i,0.00035859+8.8281e-05i,0.00032492+0.00036273i,-4.1511e-05+0.00023286i,-0.00011853-0.00027067i,9.818e-05-0.00023923i,-0.00014325-0.00010198i,-0.00015968-0.00056693i,-0.00012509-0.0011341i,0.00046132-0.0011054i,0.00032474-0.0012588i,0.00022928-0.0012642i,0.00027947+4.895e-05i
-0.00049584+0.0011001i,-0.0010709+0.00044538i,-0.00051343+0.00062609i,-0.00034773+0.0015549i,-0.00088768+0.00078177i,-0.0016065-0.00016441i,-0.0016381+0.00036745i,-0.000425+0.00043011i,2.0651e-05-0.00025688i,-0.0003214-0.00044996i,-0.00020716-0.00059985i,0.00010693-0.00051541i,-4.2903e-07-0.00028145i,-1.4925e-05-0.00050226i,0.00050263-0.00093254i,0.00044665-0.00087809i,-0.00018285-0.00059416i,-0.00030233-0.00016911i,-0.0008088+0.00052335i,-0.00077252-0.0001154i,1.8276e-06-0.00041958i,0.00071168-0.00028184i,0.00047935-9.4623e-05i
0.00072077+0.00066649i,0.00018641+0.00023842i,0.00087548-0.00053777i,0.00077211-0.0016575i,-0.00035953-0.0021948i,-0.0013514-0.0011196i,-0.0010722+0.00036544i,-0.00015126+0.00097673i,0.00083573+0.00058907i,0.0012134+6.0903e-05i,0.00082832+0.00015751i,0.00034834+0.00011355i,-8.72e-05-0.00039724i,-0.00059688-0.00019907i,-0.00025008-4.6402e-05i,0.00013548-0.00029173i,-0.00011563+0.00013081i,-0.00034372+0.00022496i,-0.00027397-0.00019682i,-0.00074014-0.00021174i,-0.00044992+0.00014007i,8.4854e-05+0.00035842i,0.00028053+9.6923e-05i
-0.00089872-0.0027154i,-0.00069601-0.0014997i,-0.0010698-0.00074971i,-0.0013065+0.00028494i,-0.00097001+0.0013639i,3.5358e-05+0.0010276i,-7.869e-05+0.0005427i,-0.00011083+0.00068892i,0.00041564+0.00019599i,0.00052677-6.8766e-05i,0.00044068-2.5201e-05i,0.0006476+9.4014e-05i,0.00059829+0.00011721i,0.00072551+0.00020803i,0.00062759+0.00056675i,-0.00020797+0.0010839i,-0.00038689+0.0014109i,9.7446e-05+0.00087628i,0.0002995+9.7644e-05i,0.00033932+0.00040129i,-0.0001399+0.00062534i,-0.00036741+0.00014508i,-4.3587e-05-0.0003991i
0.0008965-0.0013886i,7.7206e-05-0.0012722i,-0.0011182-0.0014974i,-0.001259-0.00033218i,-0.0017018+0.00059551i,-0.0018319+0.00055566i,-0.0010912+0.00040531i,-0.00023673+0.0002631i,-4.5962e-05+0.00018953i,-0.00036943+0.00028295i,2.0411e-05+0.00056548i,0.0012037+0.00068231i,0.0014754+0.00068641i,0.00061467+0.0011454i,0.0003383+0.0014596i,0.00039115+0.00029402i,0.00068382-0.0009146i,0.00016042-0.00040246i,7.1961e-05+0.00013126i,0.00013661+0.00037463i,-0.00073614+1.6197e-06i,-0.00066609-0.00071134i,-0.00037661-0.0003189i
-0.00040566-0.00018002i,-0.00084489-6.0631e-05i,-5.8812e-06-0.00024944i,0.00061823-0.00047727i,-0.00020411-0.00043513i,-0.00055073-0.00087673i,-0.00025344-0.00029723i,0.000185+0.00035044i,0.000427+0.00044341i,-0.00021533+0.00080542i,-0.00041831+0.00045565i,0.00023278+0.00019255i,0.0006155-0.00024055i,-4.6522e-05-0.00041425i,-0.00010088-0.00050938i,0.00036354-0.00075884i,-2.0666e-05-0.00036982i,-0.00024566+0.00010943i,-0.00019992-6.041e-06i,-0.00011598-0.00019438i,0.00025432-0.00026691i,8.9861e-05-0.00023572i,-0.00046334+0.0001115i
