-0.001702-0.00014878i,-0.0015351-0.00044137i,-0.0025741+0.00051363i,-0.0021379+0.0017511i,-0.0020535+0.0025298i,-0.0015081+0.0023329i,-0.0009318+0.0010485i,-0.001195+0.0002432i,-0.00075529-4.9574e-05i,-0.00032307+0.00045751i,-0.00055319+0.0012514i,-0.00018692+0.0012823i,0.00060959+0.0006416i,0.00047445+6.1728e-05i,-0.0002313+5.4094e-05i,-5.9079e-05+0.0011396i,0.00030577+0.0018117i,0.00030354+0.00062822i,-0.00034604-0.00045494i,-0.00027177-4.6328e-05i,0.0001228+0.00011251i,0.00045225-6.6248e-05i,0.00013308+0.00030269i
0.0019992+0.00070455i,0.0016062+0.0010536i,0.0012244+0.00094185i,0.00027783+0.00089898i,-0.00042863+0.001252i,0.00013509+0.0010113i,0.00058583+0.00033025i,0.0010833-0.00020019i,0.0010119-0.00066199i,0.00060069-0.00088288i,0.0010219-3.1347e-06i,0.00072127+0.0005181i,-0.00046481-0.00047075i,-0.00049729-0.00060413i,-0.00016051+0.00020636i,0.00043586+0.00084298i,0.00050101+0.0015427i,0.00056396+0.0014155i,0.001023+0.00053966i,0.00085261+0.00030368i,0.00050773+0.00086636i,-4.2997e-05+0.00015443i,-0.00035361-0.00045079i
-0.0011133-0.00056306i,-0.00039111+0.00012567i,-0.00096349+0.00025908i,-0.0010548+0.00077992i,-0.00012706+0.0018852i,0.00050067+0.0017589i,0.0010278+0.00014496i,0.00094551-0.0011008i,0.00040806-0.0010682i,-0.00025077-0.00055417i,-0.0008885+7.9257e-05i,-0.00013222+0.00056954i,0.00077358+0.00056659i,-3.3147e-05-5.906e-05i,-0.0002708+7.8501e-06i,0.00031266+0.00022826i,0.00055698+0.00015505i,0.00069005+0.00017985i,0.00023557+0.00041904i,-0.00019902+0.00025637i,7.9638e-05-0.00028786i,3.6508e-05+6.0711e-05i,-0.00039856+0.00070477i
-0.0012785+0.00063264i,-0.0014874+0.00075998i,-0.00076595+0.0018335i,-6.5684e-05+0.0028376i,2.5102e-05+0.0027233i,0.00059418+0.0014114i,0.001005-0.00056183i,0.00037856-0.0013099i,-0.00054964-0.0012421i,-0.00087401-0.0010855i,-0.0011002-0.000612i,-0.00066574+5.2345e-05i,0.00043076+0.00061989i,0.00057697+0.0013662i,0.00043927+0.0019503i,0.00017398+0.0011336i,0.00029201-0.00034408i,0.00015087-0.00096876i,0.00021992-0.00092121i,0.00049256-0.0002727i,0.00037397-0.00013599i,0.00054463+0.00017328i,0.00058895+0.00049371i
-0.0033145-0.0015385i,-0.002363-0.00034085i,-0.0025938+0.00067134i,-0.0018036+0.0015184i,-0.00035076+0.0025882i,0.00076383+0.002216i,0.0009959+0.0003468i,0.00070446-0.00030965i,0.00043843+0.00015392i,-8.5662e-05+0.0001912i,-0.0007642+0.00073783i,-0.00070592+0.0012733i,-0.0002981+0.0012328i,-0.00065014+0.0015156i,-0.00018102+0.0016092i,0.0004427+0.00108i,0.00041905+0.0008458i,0.00077257+0.0004275i,0.00056286-0.00034595i,0.00075207-0.00048944i,0.00064938-0.00069808i,0.00029131+0.00019064i,-9.5538e-06+0.00094947i
-8.5157e-05+0.0011988i,0.00042571+0.0022708i,0.00059243+0.0027881i,0.00087615+0.0027541i,0.00059465+0.0032547i,0.00030587+0.0024743i,0.00043021+0.00070971i,0.00052842-0.00055892i,4.0796e-05-0.0015232i,-0.00074996-0.0016296i,-0.00056091-0.0006446i,-2.4143e-05+0.00011398i,-0.00036762+0.00015214i,-0.00077945-0.00015738i,-0.00028422+0.00023151i,0.00076688+0.0011389i,0.0011597+0.00050092i,6.6137e-05-0.0010718i,-0.0002665-0.0015471i,0.00027543-0.0012572i,0.0011025-0.00081248i,0.0014437+0.00010781i,0.00053438+0.00058527i
-0.0012494+0.00046519i,-0.00096204+0.0014634i,-0.00073961+0.0017604i,7.83e-05+0.001839i,0.00059584+0.0030381i,0.0008768+0.0024069i,0.0019773+0.0011839i,0.0018366-0.00051197i,0.00088185-0.0017725i,0.00061235-0.0012408i,0.00082783-0.00066833i,0.0011443+0.0005858i,0.00060349+0.0014475i,-0.00085686+0.0016103i,-0.0010526+0.0023071i,-0.00027064+0.0021487i,-4.7053e-05+0.0011569i,0.00012303+0.0003906i,0.00031877-0.00018503i,0.00070228-0.00075415i,0.00019292-0.001168i,-0.00033573-0.0008521i,0.00043581+0.00037504i
-0.0013448+0.0019004i,-0.0010828+0.0028591i,-0.00082467+0.0034792i,-0.00037604+0.003511i,0.00073539+0.0026339i,0.0019231+0.0011i,0.0019737-4.9779e-05i,0.00092023-0.00039136i,-0.00026575-0.00071357i,-0.00029794-0.00037864i,3.6011e-05+0.0011569i,-0.00014869+0.0017246i,-0.00064077+0.00027469i,-0.00012919-0.00013107i,0.00029659+0.00085709i,0.00039464+0.0009852i,0.00070491+0.00051269i,0.00042407+0.00034157i,0.00051817-0.00023172i,0.00072041-0.00042021i,0.00063619-0.00020614i,0.00044547-0.00058189i,-0.00015486-0.00034552i
-0.001789+0.0019621i,-0.00045968+0.0013052i,-0.00060303+0.0020619i,-0.0005968+0.0026064i,-0.00024484+0.0022435i,0.00074215+0.0012383i,0.0013479-8.5169e-05i,0.00080336-0.00073886i,5.1789e-05-0.00089376i,0.00011785-0.00024333i,-7.1121e-05+0.00063287i,0.00018135+0.0002404i,0.00055054+0.0005292i,0.00015425+0.0010389i,4.9386e-05+0.00076474i,0.00024304+0.00054238i,0.00077419+0.00063234i,0.0012795+0.00044023i,0.00065097-0.00068173i,-0.00020991-0.0012336i,-0.00049826-0.0011471i,-0.00068157-0.00072566i,-0.00049331+5.3653e-05i
-0.0019031-0.00073631i,-0.0017871-0.00040545i,-0.0030061+0.0012652i,-0.0023282+0.0028302i,-0.0012424+0.003575i,-0.00051568+0.0026416i,1.2497e-05+0.0011646i,-2.4101e-06-2.5219e-05i,-0.0001166-0.00029214i,-0.00089613+0.0002819i,-0.000911+0.00043831i,-0.00037383+0.00079763i,-0.00051395+0.00093908i,-0.00041129+0.0010352i,2.7838e-05+0.0011336i,-7.2533e-05+0.00094305i,-0.00046448+0.00095654i,-0.00026609+0.0011737i,-0.00011618+0.0007621i,-0.00013332-0.00045732i,0.00039042-0.00087766i,0.0009896-0.00028677i,0.00075464+0.00033065i
-0.0014507-0.0006527i,-0.0013932-0.0011463i,-0.00218+0.00033233i,-0.0024844+0.0026498i,-0.0014804+0.0036573i,-0.00053243+0.0032561i,1.1975e-05+0.00043402i,0.00025076-0.0023506i,-0.00014736-0.0029484i,-0.00057083-0.0011739i,0.00033386+0.00074659i,0.00025557+0.0015982i,-0.00047834+0.0017112i,-0.00065138+0.00081082i,-0.00071555+0.00059907i,-0.00039283+0.001123i,0.00037154+0.00052092i,0.00045528+6.1014e-05i,4.6016e-05+1.2792e-05i,-0.00043244-7.3579e-06i,-0.00016816+0.00065432i,0.00027652+0.00040522i,-7.3255e-06-0.00076719i
