-0.0010143+0.0016182i,0.00063768+0.00053647i,-5.8046e-05-0.00072845i,-0.0008932-0.00097199i,-0.00031181-0.0002956i,0.00027812+0.00026605i,0.00026741+0.0006678i,-0.00060414+0.00021123i,-0.00043467-0.00046139i,7.8014e-05-0.0001593i,-5.4905e-05-6.4519e-05i,-0.00027661+0.00011188i,-0.00092146-5.8563e-05i,-0.00075041-0.0006917i,0.00040076-0.00069315i,0.0011101-0.00010731i,0.0013212-0.00045024i,0.00082553-0.00056561i,-0.00030131+0.00010192i,-0.0003392+0.00091099i,-4.2579e-05+0.0013917i,-0.00029442+0.00074363i,-0.00050445-7.2963e-05i
0.0017315+0.00051218i,0.0014238-0.00064676i,0.0019383-0.0019728i,0.0022707-0.0021055i,0.0019653-0.0021064i,0.0010908-0.0019053i,0.00024711-0.00093271i,-0.00063118-0.00028101i,-0.00089876+0.00052705i,-0.00094911+0.00073117i,-0.0011866+1.3724e-05i,-0.0011822-0.00031589i,-0.00068427+2.664e-05i,-0.0006848+0.00047275i,0.00014274+0.00052895i,0.00060795+0.00014693i,0.00020751-0.00028208i,-0.00024782-3.4815e-06i,-0.00043601+0.00047711i,0.00024501+0.00079503i,0.00061738+0.0012224i,-0.00036483+0.0004787i,-0.00098089-0.00029621i
-0.000753+0.0019003i,-0.00041237+0.001278i,0.00098963+0.0015743i,0.0013708+0.0011006i,0.0014271-0.00064145i,0.0017833-0.0010505i,0.0013623-0.00065212i,0.00044671-0.00015963i,-0.00031152+0.00024144i,-0.00073337+0.0001249i,-0.00037742-2.4883e-05i,-0.00049405-0.00077337i,-0.0012797-0.0011616i,-0.00070104-0.0011012i,5.8942e-05-0.00097131i,0.00020293-0.00085902i,0.00055221-0.00091142i,0.00091963-0.00054916i,0.00064321-0.0003267i,-0.00018969-0.00050678i,2.5048e-05-0.0010443i,0.0002044-0.0010017i,-0.00059785-0.00069578i
-0.001481+0.0006914i,-0.00075835+0.0011529i,-0.00015845+0.0010249i,0.0012562+0.00069381i,0.0023074+0.0012072i,0.0025474+0.00095445i,0.0020035+0.00010238i,0.00078411-0.00032649i,-0.00020738-0.00050697i,0.00032218-0.00067364i,0.00032371-0.00032213i,-0.00038312-8.638e-05i,2.9655e-05-0.00022012i,-0.00015038-0.00025017i,-0.00052985-0.00018119i,-0.0004203+0.00043425i,-0.00071826+4.414e-06i,-0.00076417-0.00097899i,-0.00074048-0.00063435i,-0.0013794+0.00040148i,-0.00073941-0.00022065i,0.00030935-0.00093137i,0.00050208-0.00030568i
-0.0024548-0.00097353i,-0.0018525-0.00045089i,-0.0014288+0.00077992i,-0.00063849+0.0016404i,0.0010486+0.0013899i,0.0022899+0.00053404i,0.00084858+0.00010588i,-0.00026604-2.3829e-05i,-5.0622e-05+5.1163e-06i,-0.00034337+0.00024302i,-0.00014778+0.00020459i,0.00010784+0.00035807i,0.00047044+0.00031616i,0.00026165+0.00026552i,-0.00057531-7.1778e-05i,-0.00046709-0.00043706i,-0.00030007-0.00073492i,-0.00064702-0.00031007i,-0.0011911-6.9808e-05i,-0.00048901-0.00016299i,0.000333+0.00023456i,8.102e-05+0.00021041i,0.00025333+0.00072084i
0.0010074-0.00029779i,0.00062437-0.00013838i,0.00089198-0.0013836i,0.00070782-0.0013342i,0.00049935-6.7892e-05i,0.0010396-0.00017782i,0.00095082-0.00028348i,-0.00014374-0.00021395i,-0.00067044-0.00081947i,-0.00032155-0.00042161i,-4.4198e-05+0.00028142i,6.3321e-05+0.00043186i,0.0004159-2.2773e-05i,0.00065576-0.00019885i,0.00073247+0.0003526i,-0.00017585+0.00033323i,-0.00086753-2.1075e-05i,-0.00047417-0.00031447i,-7.0176e-05-0.00077075i,-0.00014639-0.00059341i,-0.00021985-0.00058045i,3.9582e-05-0.00026719i,8.0098e-05+0.00021055i
-0.0013077+0.00033418i,-0.0012589+0.00083243i,-0.00060489+0.0018535i,-0.00065005+0.0020882i,-0.0010338+0.00046971i,-0.00054454-0.0008263i,-0.0008715-0.0010819i,-0.0019797-8.866e-05i,-0.0024208+0.00076868i,-0.0012862+0.00037065i,-0.0002597+0.00040727i,-0.00012341+0.00061954i,2.5333e-05+2.7345e-05i,0.00012813-0.00035076i,0.00022759-0.0002485i,0.00024103+2.4173e-05i,4.5357e-05+0.0009727i,1.8404e-06+0.0016866i,0.00063357+0.00092912i,0.001085+0.0006247i,0.0009304+0.0005213i,0.00022595+0.00037796i,-0.00042609+0.00048064i
-0.001211-0.00098164i,-0.00036354-0.00024172i,0.00053443-8.6996e-06i,0.00071535+0.00012765i,0.0005921-0.00040771i,0.00020253-0.00060838i,3.7686e-05-0.00031387i,0.00039436-0.00059586i,-0.00034475-0.0011955i,-0.00090555-0.0008284i,-0.0003734-3.4799e-05i,-0.00037313-8.3572e-06i,-0.00074254-0.00085833i,-0.00036175-0.0011143i,0.00022878-0.00045004i,0.00056063-0.00039103i,0.00054321-0.0011486i,0.00012491-0.001097i,-0.00046526-0.00043347i,-7.7173e-05+0.00038047i,3.9463e-05+0.00088538i,-0.00061461+0.00075642i,-0.00068915+8.6738e-05i
-0.00071711+0.0014367i,7.2801e-05+0.00084262i,0.00080601+0.00013252i,0.0018931-0.00044972i,0.0027252-0.00075931i,0.0024453-0.00058648i,0.0019552-0.00053778i,0.00096345-0.00037893i,0.00024823-0.0002193i,0.00067327+8.1191e-05i,0.0010605+0.00010235i,0.00078625-2.7435e-05i,0.00061623+0.0001101i,0.00042804-0.00024518i,-0.00036331-0.00022502i,-0.00059995+2.0067e-05i,-0.00012435-0.00069009i,0.0003869-0.00032094i,0.00050679+0.00062635i,0.0002193+0.0006994i,-0.00015817+0.00073788i,-0.00017691+0.00012173i,-0.00027607-0.00057876i
-0.00094838+0.000205i,-0.00052495-0.00027697i,-0.00014783+0.00083067i,0.00045182+0.0015842i,0.0010853+0.00029173i,0.0018654-0.0014162i,0.0016249-0.0020384i,-0.00036439-0.0013659i,-0.00071052-0.00074686i,-9.8679e-05-0.00051609i,-8.5012e-05-0.00018038i,0.00037938+0.00021115i,-0.0001208-0.00010773i,-0.00057165-0.0011878i,0.00012844-0.00098653i,0.00073137+0.0001013i,0.00040054+0.00032719i,-0.00050973+0.00051584i,-0.0014577+0.00032583i,-0.00073368-0.00019897i,0.00067787-0.00042892i,0.00059256-0.00039393i,2.6465e-05-0.00023489i
0.00014267+0.0013658i,0.00068571+0.0019391i,0.0014256+0.0012177i,0.001316+0.00053727i,0.0012928+0.00016364i,0.001559-0.00024522i,0.0013788-0.00084095i,0.00069588-0.00095514i,0.00024283-0.00057395i,0.00032307-0.00018265i,1.2957e-05-0.00013672i,-0.00029314-0.00084562i,-0.00012556-0.0005658i,-0.0001081+0.00028457i,-0.00073032+0.00074373i,-0.0011644+0.0001166i,-0.00096958-4.2717e-05i,-0.00092826+0.00027235i,-0.0005306+4.6683e-05i,-0.00010542+0.00014007i,-0.00048068+0.00039688i,-0.0011017+0.0004792i,-0.00098205+0.00082184i
