-0.0018771+0.00081752i,-7.4442e-05+0.00070496i,-0.00048025-0.00030825i,-0.00085057-0.0017197i,-0.0010957-0.0022926i,-0.00082112-0.0019549i,0.00063678-0.00049421i,0.0021402+0.00029603i,0.0028244-0.00033426i,0.0029307-0.00081639i,0.0017354-0.0010935i,0.00059187-0.0011523i,0.00016144-0.00044589i,-0.00015694-0.00063661i,-0.00039503-0.0011838i,-0.00056862-0.00094311i,-0.00072139-0.00089774i,-0.00071099-0.00045439i,-0.00022063-0.00034313i,0.0006228-0.00043552i,0.00024297+0.00021789i,-0.0005548+0.00028818i,-0.00061421-0.00040596i
-0.00010993-0.0016889i,-0.001154-0.0010107i,-0.0021113-0.0013785i,-0.00036869-0.0027225i,0.0014637-0.0022192i,0.0011201-0.00092092i,0.0012642-0.00056641i,0.0012642-0.0011394i,0.00091173-0.0015534i,0.0010846-0.0010786i,0.00068687-0.00062355i,0.00099228+2.8388e-05i,0.0011371+0.00025146i,0.00067557-0.00017866i,0.0010454-0.00071911i,0.0010213-0.00053632i,0.00065508-0.000199i,0.00051891+3.7483e-07i,8.6498e-05+0.00032464i,-2.3201e-05+0.00048466i,0.00078277+0.00034388i,0.0010252+0.0001334i,0.00076795+7.5193e-05i
-0.00039271+0.00086997i,0.0010585+0.00066806i,0.0023756-0.00024775i,0.0027151-0.0019725i,0.0018658-0.0025834i,0.00075875-0.0017449i,0.00040982+0.00037008i,0.00093402+0.00097874i,0.0019292-0.00034609i,0.0016522+0.00010228i,0.00073679+0.0010241i,0.00093124+0.00075435i,0.0011393+0.0005242i,0.00106+0.00049057i,0.00042212+0.00026986i,0.00026523-0.00010198i,-9.3336e-05-0.00034655i,-0.000584-0.00024518i,-0.00083993-0.00050512i,-0.00086753-0.0009918i,-0.00036521-0.00084438i,-0.00027305+0.00022693i,-0.00035751+0.00042045i
0.00068286-0.0029888i,-0.0012268-0.0036491i,-0.0018714-0.0046317i,-0.00094885-0.0047634i,-0.00070499-0.0043382i,-0.0015924-0.0029684i,-0.0013721-0.0013532i,0.0007155-0.00045879i,0.0019274-1.8687e-05i,0.00087738+0.00046391i,7.9692e-05+0.00030722i,0.00065028+0.00010359i,0.001158+0.00027263i,0.0010369+0.00044939i,0.00088324-0.00055674i,0.0012208-0.00092839i,0.00034071-1.0553e-05i,-0.00027625-0.00016974i,0.00042678-0.00045791i,0.00042608-2.5818e-05i,0.0003686+0.0002604i,0.00025112-1.9902e-06i,-0.00026249-0.00053579i
0.00070801-0.0010922i,-0.00066229-0.0010068i,-0.0010536-0.0016738i,-7.4274e-05-0.0022019i,0.00046934-0.0011365i,0.00019029-0.00033338i,0.0005627-0.00035366i,0.0012734-0.00011519i,0.0010638+0.00010294i,0.0010664+1.1751e-05i,0.0012054+0.0001403i,0.0011289+0.00015586i,0.00117+0.0002367i,0.0012995+0.00030335i,0.00076856+0.0002603i,4.6015e-06-0.00027077i,-0.00095176-0.00098025i,-0.0012694-0.0013908i,-0.00041948-0.0012163i,0.00044768-0.00086872i,0.00069706-0.00077285i,1.9806e-05-0.0008623i,-0.0004601-0.00049605i
0.0011479-0.00044179i,0.00099304-0.00045232i,0.00037665-0.00023017i,-8.1912e-05-0.0015535i,-0.00091582-0.0029312i,-0.0016934-0.0015192i,-0.00055605+0.00021185i,0.0015111+6.6044e-05i,0.0022458-0.0006251i,0.0015975-0.0005406i,0.001164-7.6832e-05i,0.00096417+0.0001852i,0.00078157+0.0003455i,0.00045756+0.00031658i,0.000315+0.00027921i,0.00054886+0.00023305i,0.00038126-8.7542e-05i,-0.0001846-0.00036015i,-0.0011038-0.00045065i,-0.00056901-0.00036085i,-0.00022785-0.00074898i,-0.00056085-0.00070182i,0.00033882-7.2479e-06i
-0.002081+0.00030724i,-0.0012512-3.385e-05i,2.2766e-05-0.00054108i,0.001342-0.0015616i,0.0021649-0.0026174i,0.0012963-0.0032443i,0.00089299-0.0024494i,0.0013445-0.0011494i,0.0010166-0.00048489i,0.00055224-0.00033751i,0.00012352-0.00034983i,-0.00018773-6.0513e-06i,9.676e-05+3.0266e-05i,0.0004958-0.00057616i,0.00057154-0.00114i,0.00032531-0.00098465i,-0.00010112-0.00023595i,-0.00082414-7.6688e-05i,-0.00053429-0.00042309i,0.00029724-0.00011154i,0.00090038+0.0003756i,0.00036994-0.00025702i,-0.00038539+0.00032387i
-0.00010694-0.00030392i,-0.00041272+0.000498i,-0.0014606+0.00025337i,-0.00047924-0.00094859i,0.00075863-0.0008191i,0.00085655-0.00029731i,0.0011244+8.9793e-05i,0.0010771+1.1903e-05i,0.001054-0.00061884i,0.0010682-0.00077216i,0.0004969-0.0010227i,0.0010504-0.00051327i,0.0012536-6.0235e-05i,0.00082282-0.00047652i,0.00083132-0.001036i,7.5775e-05-0.00097088i,-0.00030466-0.00081356i,0.00019615-0.00043786i,0.00065284+0.00019942i,4.4833e-05+0.0006045i,-3.2338e-05+0.00078446i,0.00067747+0.00041339i,0.00029776+0.00065715i
-0.00048759-0.0006502i,-0.00028492-0.00096127i,0.00040905-0.00084935i,0.0010911-0.001025i,0.00051999-0.0022816i,0.00067078-0.002138i,0.0012997-0.00048667i,0.0015747-0.00014371i,0.0010158+0.00018908i,0.00017957+3.1769e-05i,0.00034329-0.00038913i,0.00061449+0.00025541i,0.00028792+0.00038501i,3.2471e-05-0.00011288i,8.8518e-05-0.00043228i,0.00068828-0.00091113i,0.00079411-0.0012899i,0.00011355-0.00027578i,0.00027452+0.00075688i,0.00086829+0.0010442i,0.00048318+0.000783i,0.00027282+0.00046566i,0.00088728+0.00058183i
0.00047404-0.0019096i,-0.00074395-0.0007746i,-0.0016038-0.0010146i,-0.0011127-0.0028709i,-0.00033131-0.0032278i,-0.0010079-0.0013244i,-0.00050846-0.00024485i,0.0020143-0.00016904i,0.0033827-0.00066579i,0.0028335-0.00020987i,0.0013368+0.00088998i,0.000103+0.00078154i,0.00013015+9.1109e-05i,0.0011157-4.952e-05i,0.00089649-0.00037173i,0.00038465-0.00041634i,6.75e-05-0.00034452i,0.0004148-0.00076718i,0.00043011-0.00046211i,0.00012523+0.00042847i,0.00032019+0.00066362i,3.5647e-05+0.00020218i,-0.00058928+0.00025188i
-0.0009131-0.0014241i,-0.0015592+0.00055578i,-0.0011752+0.00094067i,0.00011951+9.7653e-05i,0.0011411-0.0013578i,0.00065974-0.0017598i,0.00019771-0.00057511i,0.00026039+0.00044115i,-9.4233e-05+0.00030201i,-2.1125e-05+0.00072081i,0.00019519+0.00084906i,-0.00016276+9.5427e-05i,0.00042849-0.00070718i,0.0015161-0.0011249i,0.001173-0.00022781i,3.246e-05+0.00042031i,-0.00048309-0.00028246i,-0.00073528-0.0010366i,-0.00054296-0.00045893i,-0.00024685+0.00029475i,-0.00025053+8.8414e-06i,7.1589e-05-0.00055516i,1.4647e-05-0.00044952i
6.849e-05-0.0015093i,0.00052118-0.0012115i,0.0015844-0.0019527i,0.0015109-0.0027727i,0.00050674-0.0028068i,0.00068663-0.0020989i,0.00090703-0.00065177i,0.00069605+8.0566e-05i,0.001501-0.00010408i,0.0013324-8.8517e-05i,0.00016338-0.00013279i,-0.00070856-0.00022068i,7.3149e-05-7.2178e-05i,0.0013047-5.4256e-05i,0.00085698+0.00036504i,0.00083799+0.00019854i,0.00099503-0.00011457i,-0.00022317-0.00036114i,-0.00078598-0.00072256i,-0.00036677-0.00030526i,0.00011267-0.00025408i,-0.00044497-0.00012072i,-0.00069237+0.00020865i
-0.00049358+0.0013967i,0.00021442+0.00073964i,0.001628-0.00016669i,0.0021708-0.0012773i,0.0017266-0.0025318i,0.0010154-0.0025681i,0.00073961-0.0012072i,0.0012628-0.00016844i,0.001589+0.0002702i,0.0013547+0.00029559i,0.0008446-0.00032794i,9.363e-05-0.00021983i,5.8259e-05+0.00047412i,-0.00041793+0.00053999i,-0.0012224-5.6045e-05i,-0.00087391-0.00020752i,-0.00039357-0.00016107i,0.00025922+2.5208e-05i,0.00066968+0.00015878i,0.00047214+1.7027e-05i,0.00024076-0.00025265i,-0.0001234-0.00026392i,-0.00033644-0.00030762i
