-8.4717e-05+0.00089297i,-0.00081636-0.00054797i,-0.00011659-0.0021875i,-0.00098118-0.0023839i,-0.0022113-0.00095161i,-0.0027663+0.0012913i,-0.0018438+0.0022352i,0.00014307+0.0016849i,0.00098682+0.0010234i,0.00096828+7.5237e-05i,0.00034488-9.2244e-05i,-4.1369e-05+0.00021484i,0.00055376+0.00025133i,-0.00021021+0.0001525i,-0.00049594-0.00021962i,0.00017804-0.00068378i,0.00055472-0.00091857i,0.0006158-0.0002505i,0.00014289+0.00044627i,6.2658e-05+0.000697i,0.00040681+0.00025945i,0.00059043-8.892e-05i,0.00041435-0.00041827i
-0.0034165-0.00016634i,-0.0018396-0.00049662i,-0.0017966+6.3753e-05i,-0.0017669-0.00025269i,-0.00039313-0.00085074i,-0.00024577-0.001104i,-0.00021922-0.00088457i,-0.00075051-0.00053763i,-0.0012495+0.00014324i,-0.00054585+0.0013919i,-7.1057e-05+0.0016841i,0.001077+0.0003771i,0.0017846+6.5013e-05i,0.0016038+0.000361i,0.0022515+7.9806e-05i,0.0016067-0.00021218i,0.00046388-0.00030961i,0.00031534-8.4985e-05i,0.00054168+8.1728e-05i,0.00054836+5.0992e-05i,0.0011994+0.00048085i,0.00092935+0.00058325i,2.1957e-05+0.00053048i
0.00039315-0.00034003i,0.00056531-0.00070508i,0.0012273+5.5618e-05i,0.00090245+0.00036339i,-0.00034433-0.00028753i,-0.0014368-0.00011596i,-0.00093324+0.00055656i,-0.00026488+0.0010699i,-0.00034978+0.0017136i,-0.00029951+0.0017031i,0.00011054+0.00086893i,-0.00012537+0.00091906i,-0.00032351+0.0010373i,0.00057286-4.1617e-06i,0.00053312-0.0012171i,0.00051713-0.0013167i,0.00094513-0.00027854i,0.00077936+0.0005933i,0.00067214+8.6663e-06i,0.00051782-0.00034893i,0.00023403+0.00080528i,0.00024621+0.00096918i,0.00064526+0.00023724i
-0.0020526-0.0032786i,-0.0027009-0.0032498i,-0.0034182-0.0032764i,-0.0042194-0.0018231i,-0.0047224+7.9809e-05i,-0.0027126+0.00044792i,-0.00029909-0.00040916i,0.00017739-0.00045395i,-0.00094414+0.00041558i,-0.0017198+0.0011106i,-0.0011374+0.0010395i,-0.00017849+0.00079582i,0.00028695+0.0010003i,0.00011549+0.00090819i,3.2067e-05+0.00039286i,0.00051211+8.8674e-05i,0.00051857+4.3812e-05i,0.00036914+0.00040671i,-6.3096e-05+0.0015534i,0.00016724+0.002144i,0.00016323+0.0007681i,-0.00049075-0.00045214i,-0.00044695-0.00027586i
0.00066567+0.0011164i,0.0013096+0.0014003i,0.0015831+0.0013795i,0.0010265+3.3162e-05i,0.00054799-0.00057458i,0.00057299-0.00023192i,0.001104-0.00021093i,0.0010077+1.8236e-05i,-0.00023383+0.00033013i,-0.00047048+0.00048469i,0.00021711+0.00061543i,0.00073367+0.0010986i,0.00051903+0.00076675i,4.617e-06-0.00081097i,-0.00066354-0.0013023i,-0.0013219-0.00058479i,-6.7218e-05-0.00048746i,0.0013233-0.00054973i,0.0015461-0.00047625i,0.00090184-0.00061897i,-0.00032302-0.00030995i,-0.00035375+0.00052045i,0.00043819+0.00057507i
-0.0044106+0.0015657i,-0.0038997+0.0010504i,-0.0027771+0.0012955i,-0.0015169+0.0013997i,-0.0015437+0.00023882i,-0.0014514-0.0014044i,-0.0013322-0.0016176i,-0.0010198-0.0014165i,-0.00086894-0.00085704i,-0.0010489-0.00023815i,-0.00023365+0.00061259i,0.00018596+0.0016327i,8.3306e-05+0.0010021i,0.00029091+0.00022915i,-0.00025607-0.00029368i,-0.0011028-7.2853e-05i,-0.0011384-0.00011341i,-0.0010017-1.7379e-05i,-0.0011557+0.00028295i,-0.00049738+0.00041275i,0.00038853+0.00082776i,0.00024603+0.00026349i,-0.00077136-0.00040416i
-0.0029339+0.00081224i,-0.0033647+0.0016417i,-0.0029923+0.002573i,-0.0017285+0.0015448i,-0.00053132+9.7843e-05i,-9.6875e-05-0.00016998i,-0.00042617-3.0029e-05i,-0.0010719+0.00015822i,-0.0013985+0.00035623i,-0.000975+0.00092363i,-0.00040628+0.0010079i,0.00016697+0.00044207i,2.6245e-05+1.0627e-05i,-0.00042489-3.6267e-05i,-0.00036179-0.0001893i,-0.00045615-0.00043874i,-0.00056284-0.0010367i,0.00017227-0.0013694i,0.00061261-0.0011841i,0.00033135-0.0013226i,-7.0604e-05-0.00021661i,0.00014432+0.00064392i,0.0011647+0.00018189i
0.00029818-3.454e-05i,0.00010442-0.00013867i,1.7788e-08-0.0010678i,9.0437e-05-0.0016559i,-0.00098339-0.0020816i,-0.001341-0.001882i,-0.00099011-0.00068369i,-0.0018999+0.00015109i,-0.0033344+0.00053698i,-0.0026691+0.00018077i,-0.00045213+0.00026758i,0.00016759+0.0016411i,5.1217e-06+0.0016981i,0.00042573+0.0010926i,0.00040457+0.00089233i,0.00031886+0.00025053i,-0.00022725-0.00039118i,-0.00049781+0.00014857i,-0.00057761+0.00015552i,-0.00045881+0.0001299i,0.00028386+0.0010917i,-1.744e-05+0.0011422i,-0.00076514+0.00074888i
-0.0024126+0.0033752i,-0.0018112+0.0028236i,-0.0017155+0.0022899i,-0.00067525+0.0011494i,0.00074602+0.0012442i,0.0011169+0.0017891i,0.00082406+0.00071769i,0.00056719-0.00016403i,0.00069794+9.6293e-06i,0.00037107+0.00067004i,0.00048276+0.0010488i,0.00034191+0.0010345i,0.0003072+0.00078731i,0.001117+0.00018158i,0.00074876-0.00077037i,0.00014928-0.00076115i,0.00093476-0.00048868i,0.0021272-0.00015232i,0.0026033+0.00021705i,0.00207+0.00035605i,0.00012437+0.00030634i,-0.00059961-0.00035025i,0.00016086-0.00035786i
-0.0011287+6.032e-05i,-0.0012342-0.00025682i,-0.00046025-0.0014816i,-0.0015735-0.0027598i,-0.0029599-0.0031941i,-0.0024906-0.0024111i,-0.00059013-0.00087756i,0.00058951-0.00036766i,-0.00031568+0.00018693i,-0.0016757+0.00094017i,-0.0012889+0.0011476i,5.5992e-05+0.0010252i,0.00059357+0.00078778i,0.00029741+0.00036839i,0.00041473-0.00039101i,0.001041-0.000601i,0.0005024-1.425e-05i,-0.00098773-8.6725e-05i,-0.0013409-0.00050043i,-0.00086755-0.00036918i,-0.00065199+0.00048971i,-0.00026232+0.00098136i,-0.00059705+0.00011052i
-0.0013927+0.00075653i,-0.0015369+0.00010479i,-0.0011213+0.0011679i,-0.00024441+0.0016524i,-0.00067106+0.00069518i,-0.00068407+0.00010127i,0.00010107+0.00034537i,0.00040386+0.00029524i,-0.0007954+0.00034312i,-0.0011655+0.00058166i,0.0004299+0.00098526i,0.001523+0.0007789i,0.0011692-0.00041613i,0.0005024-0.0011526i,0.000356-0.00095555i,-0.00023078-0.0013451i,-0.00046854-0.0018281i,0.00072945-0.001049i,0.0020574-0.00021816i,0.0018319-0.0008957i,0.0007543-0.00063017i,0.0010204-0.00033875i,0.00082137-0.0004528i
