-0.0035126+0.0012978i,-0.0021509+0.00065372i,-0.0016543+0.00074233i,-0.0016571+0.0005539i,-0.0010687+0.00086737i,-0.00071968+0.0017477i,-0.00092969+0.001869i,-0.00097959+0.00074532i,0.00070782-2.1728e-05i,0.0025277+0.00095398i,0.002258+0.0010503i,0.0010852-0.00035734i,0.00050465-0.00054998i,0.00052936-0.00021468i,0.00096595-0.00021941i,0.0012807-0.00013708i,0.0007192-0.00062745i,0.0003956-0.00068502i,-2.2312e-05-0.00027191i,-0.00039449-0.00021455i,0.00042542-0.00042991i,0.00057941-0.00029964i,-0.00018634+9.7936e-05i
0.0023025-0.0031592i,0.0010908-0.0031103i,-0.0006598-0.0019345i,-0.0013003-0.00053795i,-0.0011014-0.00052949i,-0.00020329-0.00065603i,0.0010251-0.00038459i,0.0015702+0.00015155i,0.00083543-0.0002958i,0.00028076-0.00042971i,-0.00026834-0.00012506i,-0.00043342+0.00050802i,-6.4641e-05+0.0010609i,-0.00028571+0.0008259i,-0.00081485+0.00053227i,-0.0006686+0.00038162i,0.00017569-7.2362e-05i,0.00038669-0.00016246i,-0.000176-6.1603e-05i,-0.00066881+0.00019699i,-0.00055532-3.8277e-05i,-2.3641e-05-9.0149e-05i,-6.1105e-05+0.00041804i
-0.00071121+0.0019586i,-0.00036169+0.00045101i,-0.0001794+0.00026232i,-0.00053454+0.00066634i,-0.00034901+0.00058917i,0.00012493+0.00027342i,-3.2072e-05-0.00024206i,-3.8143e-05-0.0003623i,0.00035754-0.00051181i,0.0010301-0.00039707i,0.00022832-6.6755e-05i,-0.00066439+0.00021168i,-0.00068527+0.00077053i,-0.00073639+0.00055881i,-0.00054669-0.00060303i,-0.00041889-0.00083473i,0.00034714-0.0010082i,0.00085685-0.00079787i,-4.7539e-05-0.00012339i,-0.0006148+0.00062047i,-0.00060714+0.0010759i,-0.00034487+0.0006579i,0.00034497+0.0005959i
-0.0020438-0.00312i,-0.0022081-0.0025644i,-0.0020615-0.0010261i,-0.0011874-0.00072627i,0.00031043-0.00046869i,0.00022927+0.00014112i,-0.0006491+0.00011189i,-0.0010112+3.4443e-05i,-0.0010172+0.00013545i,-0.00024036+0.00016425i,0.00080994-0.00016967i,0.000629-0.00025012i,0.00029816-0.00037577i,0.00033222-0.00025624i,3.9839e-05-0.00012923i,-0.00017276+0.00021011i,-0.00052708+0.00028421i,-0.00064774-5.5612e-05i,-0.00017832-0.00041486i,0.00040725-0.0016046i,0.00055577-0.0016461i,0.00058701-0.0010922i,0.00077012-0.0008287i
4.4159e-05+0.0021601i,-0.00012278+0.0015257i,-0.00063094+0.0011318i,-3.4819e-05+0.00050444i,0.00057552-0.00071352i,0.00026981-0.0009959i,-0.00033376-0.00024814i,-0.00083167+7.4066e-05i,-0.00039318+0.00049042i,0.00072936+0.0005164i,0.001223-0.00031072i,0.00084474-0.00067831i,0.00031271-0.0010868i,-0.00015726-0.0012534i,9.7742e-05-0.00065585i,0.00066553-0.00059445i,0.00054492-0.00014003i,0.00050368+0.00059203i,0.00014055+6.2939e-05i,-0.00010637-0.00025799i,-0.00027699-0.00020935i,-5.2533e-05+8.3956e-05i,-2.8144e-05+0.00030916i
-0.0023641-0.00030585i,-0.0019146-4.4337e-05i,-0.00053378+0.00046019i,-0.00032516+0.00092348i,-6.6595e-05+0.00076143i,-0.00022208+0.00025979i,-0.00012903-0.00045804i,0.00024655-0.00056359i,0.00028587-0.00039383i,8.0842e-05-5.1417e-05i,-0.00010457+0.00063537i,-0.0001186+0.0011581i,-0.00048498+0.001108i,-0.0001532+0.00055552i,0.0008006-0.00054476i,0.00052465-0.00034923i,0.00024372+5.883e-05i,0.00055791+0.00052523i,0.00039356+0.00070736i,-0.00017694-0.0002186i,-0.00041784-0.00019246i,0.00010648+0.00072821i,0.00053431+0.00086066i
9.2899e-05-0.0012178i,-0.00059722-4.4403e-05i,-0.0013537+0.0011918i,-0.00119+0.00072311i,-0.0010126+3.142e-06i,-0.00054545+0.00012196i,-0.00025367+0.00025203i,-0.00045145-0.00059338i,0.00040242-0.00041668i,0.0009824-0.00020121i,0.00035657-0.00051392i,-0.00010148-0.00053833i,-1.6407e-05-0.00013521i,-5.8893e-05+0.00010624i,-6.797e-05+0.00048827i,-0.00045615+0.00062354i,-0.0011567+1.5477e-05i,-0.0013127-0.00037974i,-0.0012326-0.00019109i,-0.00094415+4.5173e-05i,-0.00062153+0.0001006i,-3.797e-05+0.00036985i,0.00014059+0.0008233i
-0.0016312-0.0013329i,-0.0018559-0.00082278i,-0.0017208-0.0016258i,-0.0006558-0.0017303i,-0.00042243-0.00085414i,0.00022393+0.00094524i,0.00074065+0.0013127i,-0.0005652-0.00039593i,-0.00079247-0.00094364i,-4.636e-05-0.00025006i,-0.00039139-2.5744e-05i,-0.00050608+0.00049416i,-0.00034103+0.00078519i,0.00090126+0.00087074i,0.0017468+0.0013995i,0.0013899+0.0017483i,0.0002957+0.0011813i,-1.2834e-05-0.00036981i,0.00043993-0.00059356i,0.00037242+0.00013136i,-0.00065629+0.00042129i,-0.0012228+0.00034138i,-0.001138+0.00035994i
0.00033745-0.00055607i,-9.6979e-05-0.00097459i,0.00036026-0.0019044i,0.00061795-0.0017181i,0.00080997+4.0367e-05i,0.00045545+0.00087066i,0.00014466+6.3724e-05i,0.00043037-4.2999e-05i,0.00071548+0.00015223i,0.00016743-0.00014714i,-4.9612e-05-0.0006841i,0.00020112-0.00088434i,0.00061427-0.00070657i,0.001025-0.00062834i,0.0010597-0.0005168i,0.00075997-0.00044309i,0.00087688-0.00063249i,0.00058629-0.00059919i,-0.0003926-0.00022023i,-0.00043716+0.00027521i,-4.4367e-05+0.0001272i,-0.00019552-7.3003e-05i,-0.00020418-0.00027297i
0.0014725+0.0023481i,0.00094589+0.0018893i,0.0010863+0.0010649i,0.00050587+0.0003305i,0.00015897+0.0005489i,-0.00039355+0.00062287i,-0.0014285-0.0005378i,-0.0012472-0.0017575i,0.00048823-0.00135i,0.0012548-0.00043725i,0.00090346+0.00035318i,0.00071086+0.00079889i,0.00029217+0.00071145i,-8.0051e-05+0.0010634i,0.00029135+0.00089355i,0.00015914+0.00041002i,4.4934e-05+0.00047835i,-0.00024297+0.00017652i,-8.2811e-05-0.00010272i,0.00044067-0.0003006i,0.00064841-0.00050855i,7.2465e-05-0.0002593i,-0.00066975+0.0004997i
-0.0003561-0.00033508i,-0.00046394-0.00083766i,-2.1574e-06-0.0015518i,0.00012344-0.0016861i,-0.00057314-0.0017801i,-0.0012705-0.0016481i,-0.00081404-0.0012348i,-0.00046557-0.0011791i,-0.00045539-4.5496e-05i,-0.00030144+0.0002039i,-0.00043192-0.00041168i,-0.00023457-0.00054888i,-0.00041161+0.00015853i,-0.00068894+0.0013656i,-0.00039348+0.0015703i,-0.00013243+0.00044794i,0.00035921-0.00020379i,0.00048684-0.00014301i,-0.00022203+0.00027194i,-0.00054786+0.0011076i,0.00036053+0.0010981i,0.00069296+0.00074698i,0.00024355+0.00016747i
