-0.0013559-0.0013926i,0.00023614-0.00074728i,-0.0011063-0.001907i,-0.0033089-0.0015033i,-0.0036679+0.00080533i,-0.0026583+0.0027577i,-0.001987+0.0026312i,-0.00070315+0.0013065i,0.00051125+0.00062955i,0.00075775+0.00032309i,0.001213+0.00056974i,0.0011332+0.00048639i,0.00075834+0.00045481i,0.00046183+0.00032396i,-0.00039967+0.00026828i,-0.0010983+0.0010612i,-0.00071567+0.00087227i,-1.5133e-05+0.00020663i,-9.9611e-05+0.00035543i,6.0822e-05+0.00066859i,0.0003811+0.00066494i,7.4891e-05+0.00017345i,0.0004162+4.9307e-05i
0.00026579+0.00086042i,0.0010882+0.00055806i,6.4106e-05+0.0002652i,-0.0014068+0.0010667i,-0.0014329+0.0027896i,-0.00067598+0.0032227i,-7.8859e-05+0.0019522i,0.0001173+0.00073891i,-0.00010432-0.00018979i,-0.00053023-1.4485e-05i,-0.00026041+0.0010234i,1.3235e-05+0.00084861i,0.00016691+0.00040097i,0.00058896+0.0007105i,0.00061128+0.00063462i,0.00034606+0.00011133i,0.00042771-9.073e-05i,0.00025256+0.00027524i,-0.00061835+7.775e-05i,-0.00028752-0.00035125i,0.00073909-0.0003374i,0.0018313-0.00033974i,0.0013395+9.9676e-05i
0.0015098+0.0014671i,0.0016539+0.0015551i,0.0011526+0.00056806i,-0.00086955+0.00070074i,-0.0028843+0.001538i,-0.0021145+0.0021572i,-0.00097878+0.0020222i,-0.00068876+0.0015782i,-0.00080116+0.0010714i,-0.00065834+0.00054081i,-6.6427e-05-0.00037773i,0.00029683-0.00070434i,3.739e-05-0.00010908i,-0.00060517-0.00037738i,-0.001295-0.00044382i,-0.00092165-0.00023876i,-0.00043233-0.00015327i,-0.001138-0.00023169i,-0.0012439-0.00047055i,-0.00017247-0.00063094i,0.00035678-0.00081289i,0.00012367-0.00053196i,-0.0001004-0.00016971i
0.0019238+0.00073397i,0.0024091+0.00087389i,0.0014878-9.5924e-06i,-0.00043996-0.00044257i,-0.0018799-2.8494e-05i,-0.0020194+0.0019319i,-0.00089293+0.0031981i,0.00013628+0.0020652i,-0.00014959+0.0010263i,-0.00065284+0.00064113i,-6.8975e-05+0.00050371i,0.00042547+0.00037624i,-0.00016617+0.00021083i,-0.00057591+0.00029835i,-0.00061719+0.00029561i,-4.7508e-05+0.000344i,0.00067491+0.00084163i,-1.5595e-05+0.00094753i,-0.00094018-8.6972e-05i,-0.00084719-0.00025726i,-6.1287e-05-2.3125e-05i,0.00015987-0.00060198i,-0.00033161-0.0001493i
0.0024148+0.0021507i,0.0032536+0.002402i,0.0013789+0.0016466i,-0.0012847+0.00024516i,-0.0030776+0.00074449i,-0.0034468+0.002066i,-0.0022314+0.0019934i,-0.00044574+0.00073964i,-0.00015079+0.00045712i,-0.00087282+0.00045172i,-4.0427e-05-0.00026445i,0.00035929-3.4004e-05i,-0.00095426+0.00015563i,-0.000839-0.00012825i,0.00030709+1.9129e-05i,0.00012618-0.00014576i,-0.00068493-0.0001411i,-0.00081882-0.00017824i,-0.00043865-0.00010449i,-0.00052066+0.00035773i,-0.0003508+0.00028179i,-0.00016497-1.9357e-06i,-0.00036486-0.00077904i
0.00016583-6.0641e-05i,0.00096949-0.00058761i,0.00077589-0.0018045i,-0.0014054-0.0016005i,-0.0033136+0.00015432i,-0.0027965+0.0017473i,-0.001082+0.0019619i,-0.00061612+0.00098785i,-0.0013397+0.00082557i,-0.0017006+0.0010798i,-0.00081054+0.00096491i,-0.00050419+0.001215i,-0.00064059+0.00049268i,-0.00085724-0.00064037i,-0.001149-0.0007918i,-0.0010389-0.00066671i,-0.0006944-0.00085221i,-0.00036839-0.0012531i,-0.00029731-0.001243i,-0.00067036-0.00060733i,-0.00088112-0.00030806i,-0.0011647-0.00054071i,-0.00063645-0.00025645i
0.0030452+0.00064794i,0.0029543+0.0027131i,0.0014403+0.0020715i,-0.0016016+0.00060902i,-0.0037992+0.0002546i,-0.0037102+0.0013771i,-0.0017518+0.0020312i,-1.7342e-05+0.00072635i,0.00039481-0.00012622i,-0.00014291-0.00023936i,-0.0012658-0.00041113i,-0.0016453+1.7074e-05i,-0.00097841+0.00052347i,-0.00016887+0.00021326i,0.00010659+0.00015653i,5.8589e-05+0.00029438i,0.00025304+0.00021929i,0.00037713+0.00063935i,-6.6893e-05+0.00032446i,-0.00021975-0.0001143i,-0.0003432+0.00037899i,-0.00047337+8.9117e-06i,-0.0004001+0.00029924i
0.0024168-0.00048738i,0.0029804-0.00055822i,0.0025104-0.00094702i,0.0012496-0.0013229i,-0.0014241+0.00036883i,-0.0027397+0.0016632i,-0.0011815+0.0017003i,0.00016113+0.00040167i,0.00017218-0.00028385i,-0.00035156-0.0010673i,-0.001584-0.0011801i,-0.0022418-0.00066075i,-0.0017103-0.00032318i,-0.00049386-0.00034311i,0.00058314-0.00039822i,4.1779e-05-0.00061488i,-0.00034033-0.00043576i,8.6097e-05+0.00066098i,-0.00014276+0.000865i,-0.00071782-2.044e-05i,-0.0006255-0.0002873i,-0.00078059+0.00046081i,-0.00050049+0.0009376i
-0.0021504+0.00089247i,-0.0015874+0.0015399i,-0.00089653+0.0010799i,-0.00081266-0.00019997i,-0.0011558-0.00053744i,-0.0012939+0.0008708i,-0.0003516+0.0010897i,0.00046624+0.00034241i,7.8681e-05+0.00053963i,-0.00035573+0.00024971i,0.00031538-0.00035331i,0.00069247-0.00025622i,0.0001636-0.0006572i,0.00025304-0.0010585i,0.00049639-0.00045277i,0.00014818-0.00040774i,1.0174e-05-0.00077855i,0.00034504-0.00070943i,-0.00011489-0.00029672i,-0.00069358+0.00039332i,-0.00038958-0.00041246i,0.00057373-0.0013342i,0.00076488-0.00089718i
0.00097115+0.00084615i,0.0027202+0.0017126i,0.0022736-0.00034269i,-0.00084504-0.0015503i,-0.003199-0.00013999i,-0.0027273+0.0021615i,-0.00079206+0.0024272i,0.00022163+0.0013806i,-0.00013033+0.00012248i,1.2988e-05-0.00080776i,-0.00014682-0.00048371i,0.00010677+0.00016395i,0.00078022+0.00055555i,0.00042624+0.00028773i,-0.00030009-0.00039912i,-0.00047595-0.0008899i,-0.00043622-0.00043586i,-1.7133e-05+0.00012099i,0.00075189-0.00017085i,0.0011581-0.00014204i,0.00086102+0.00048416i,2.7784e-05+0.00049053i,0.0002865-0.00010571i
-0.0016898+0.0011704i,-0.0004431+0.00039129i,-0.00027536-2.7712e-05i,0.00038413-0.00022423i,-1.5481e-05+0.00046504i,-0.0014102+0.00077555i,-0.0015792+0.00051466i,-0.00089143+0.00021591i,-0.00067354+0.00061991i,3.163e-05+0.00084059i,0.0010851+0.00018141i,0.00078016+0.0011297i,0.00025235+0.00070634i,-0.00018924-0.00049629i,-0.00048433-0.00058918i,-0.00048807-0.00080253i,-0.00045203-0.0011428i,-0.00053845-0.00076341i,-0.00053355+0.00020332i,-0.00017876+0.00013356i,0.00018932-0.00018172i,0.00050683-0.00035494i,0.00078377-0.00054325i
