-0.00087133-0.0002102i,0.0011691-0.0019664i,-0.00060471-0.0035207i,-0.0015677-0.003082i,-0.0011467-0.0020865i,-0.0012834-0.0014421i,-0.00049774-0.0001831i,0.00073416+0.00026092i,0.0012445-0.00050288i,0.0010711-0.0014253i,0.00091255-0.001121i,-0.00011291-0.00032564i,-0.00094367+2.3128e-06i,-0.00067588+0.0007104i,-0.00012417+0.00095477i,0.0011741+0.00045202i,0.0013697+0.00022861i,0.00024503+3.3656e-05i,-0.00057584-4.2086e-05i,-0.0003789-0.00060252i,0.00065058-0.0013844i,0.00039782-0.0009059i,-7.1913e-05-5.9107e-05i
-0.001772+0.00087433i,-0.00058821+0.0012085i,0.00024874+0.001686i,0.0010733+0.00065958i,0.002131-0.0017181i,0.0020741-0.0030183i,0.0013994-0.0016802i,0.00098105+1.6814e-05i,0.0012088-7.0879e-05i,0.0009965-2.2989e-06i,0.00073137+0.00059804i,0.0010782-0.00011015i,0.00040266-0.0010806i,-0.00099563-0.0010346i,-0.00025324-0.00067522i,0.00055099+8.3794e-06i,0.00044808+0.00068532i,-9.597e-05+0.00042278i,-0.00053214+0.00029676i,-0.00030713+0.00012252i,-0.00025219-0.00014432i,-0.00040901-0.00015499i,-0.00035373+0.00087294i
1.1008e-05-0.00064454i,0.00049341+0.00074298i,-0.00018695+0.0011435i,0.00016436+0.0003416i,0.00089716-0.00011453i,0.0011983-0.00054048i,0.00080497-0.00087497i,0.0006942-0.00080857i,0.0012746-0.00094867i,0.00094044-0.00068397i,0.00082351+0.00038275i,0.0014133+0.00097754i,0.0014782+0.00059145i,0.00049023+0.00066184i,9.7647e-05+0.001177i,0.0003932+0.00089452i,0.00054138+5.2637e-05i,0.00054967-0.00042831i,0.0003188-0.00035813i,-0.00046512-0.00039452i,-0.00037056-0.00021085i,0.00065401-5.7259e-05i,0.00071118-0.00035371i
0.0012885-0.00074323i,0.0010141-0.00055687i,0.00065184-0.0013243i,0.00075468-0.00218i,5.0563e-05-0.0026937i,-0.00083369-0.0028839i,-0.00037127-0.0023681i,0.00054698-0.0013883i,0.00060992-0.00136i,-0.00023421-0.0010015i,-0.00022229-0.00040399i,0.00067124-0.00045381i,0.0012198-0.00043145i,0.00065229-9.6707e-05i,8.4741e-05+0.00036068i,6.5532e-05+0.00032213i,8.7569e-05+0.00054133i,0.00062201+0.00084782i,7.6483e-05+0.00052853i,-0.0010247-0.00016046i,-0.00067127+1.042e-05i,0.00013982+0.00041507i,-0.00020313+0.00051105i
0.00045616-0.00057174i,0.0007405-0.00073148i,0.0015175-0.0015547i,0.0016959-0.0015229i,0.0015359-0.0025075i,0.001604-0.0031264i,0.0013588-0.0023639i,0.0012905-0.0012562i,0.0013657-0.0011273i,0.0014014-0.0016721i,0.001137-0.0010257i,0.0003982-0.00052559i,0.00031881-0.00098533i,0.00058582-0.00089182i,0.00025291-0.00016836i,0.00019556-0.00036583i,0.00047566-0.00046046i,0.00042194+0.00012742i,0.0004089+0.00030448i,0.00081616+0.00026493i,0.0014322-8.8085e-05i,0.001167-0.00091835i,0.00044111-0.00056723i
-0.00048036-0.0012641i,-0.00036816-0.0019555i,-0.00041114-0.001106i,-5.6254e-05-0.00076099i,0.00088633-0.0019404i,0.0011685-0.0014682i,0.0010887-0.000851i,0.0013511-0.0010391i,0.0012724-0.0010305i,0.00083381-0.00067498i,7.2538e-05-0.00039196i,0.00038243-1.8514e-05i,0.0005437-9.2258e-05i,0.00067042-6.1004e-05i,0.0013407+0.0003434i,0.0012627+0.00047067i,0.00034027+0.00026103i,-0.00016508+8.5317e-05i,0.00018312-0.00027137i,0.00031924+0.00030312i,6.7675e-05+0.00077471i,9.6207e-05+0.00055219i,0.00020273+0.0001355i
0.00031906+0.00034949i,0.00048245-0.00045261i,0.0021544-0.0012263i,0.0024412-0.0020824i,0.0019491-0.0035912i,0.0016711-0.0046797i,0.0010451-0.0037007i,0.00058728-0.0023267i,0.00048229-0.00087214i,0.00038917-0.00014417i,0.00068901-0.00087018i,0.00098253-0.00086218i,0.0016772+2.2609e-05i,0.0015372+0.00031891i,0.0010042+6.0999e-05i,0.0010907+0.00035426i,0.00036539+0.00064428i,-0.00032508+0.00030735i,-0.00026612-0.0011371i,0.00032687-0.0016154i,-0.00018329-0.00043799i,-0.00074642+0.00086055i,-0.00074777+0.00099355i
0.0010711+0.00022217i,0.0014588+0.00034812i,0.0016086-0.00088623i,0.0011059-0.002318i,0.0011639-0.0036125i,0.0011137-0.003027i,0.00071181-0.00092174i,0.0016429-0.00036793i,0.0023604-0.001078i,0.0011726-0.00086283i,0.00032226+0.00038249i,0.00028349+0.0005673i,0.0005463-0.00012096i,0.0011437+4.0712e-05i,0.00078454+0.00085294i,0.00014198+0.00081067i,0.00034085+0.00031879i,9.2857e-05-0.00079986i,-0.00036799-0.00098089i,-0.00051895+0.0001489i,-0.00044783+0.00068226i,-4.9525e-05+0.00073178i,0.00036348+0.00011389i
-0.0010143-0.00079507i,-0.00087018+2.0384e-06i,-0.00062272-0.00010245i,0.00084111-0.0017762i,0.0010206-0.0030298i,0.00054463-0.0027108i,0.00052296-0.0011785i,0.0010831-0.00092818i,0.00087078-0.001402i,0.00057049-0.00043363i,0.0010821+0.00072554i,0.0016328+0.0008627i,0.0013811+0.00043479i,-0.00019239+0.00047385i,-0.0012422+0.0002775i,-9.4482e-05+0.00063011i,0.0010281+0.00057224i,0.00053259+2.3722e-05i,0.00034009-0.00061633i,0.00040445-0.00061216i,-0.00037519-0.00034938i,-0.0013317-0.00040571i,-0.0012221-9.2446e-05i
-0.00091593-0.00030616i,-0.00070867-0.0010727i,-8.1454e-05-0.001195i,0.0011875-0.001887i,0.002654-0.0027211i,0.0024546-0.0027848i,0.0017935-0.0018295i,0.0011511-0.00058793i,0.00034147-0.0013145i,0.0001575-0.001763i,0.00052547-0.0014878i,0.00037991-0.0011323i,8.0918e-05-0.00045661i,0.00033051-0.00028069i,0.00081667-0.00023213i,0.00069277+0.00016438i,-2.5563e-05+0.00036851i,-0.0002676+0.00038485i,-0.00013941+6.6777e-05i,2.6667e-05-0.00022003i,0.00028477-0.00025028i,0.00085992-0.00098136i,0.0010608-0.00011633i
0.0011535+0.00012743i,0.0008751-0.00030806i,0.00069829-0.0015162i,0.0012705-0.0030061i,0.0019449-0.0030086i,0.00099915-0.001962i,-0.00024233-0.00075485i,6.1862e-05-0.00054874i,0.00092209-0.0010586i,0.00080024-0.00098916i,0.00018592-0.0003883i,0.00041019-0.00014861i,0.0010484-6.4912e-05i,0.00059287-3.9456e-05i,-0.00019683-7.2152e-05i,-0.000357+0.00039279i,0.00010584+0.00066452i,0.00055871+0.00027198i,6.5607e-05-0.00012137i,2.2304e-07-7.2925e-05i,1.0711e-05+0.00032029i,-0.00017756+2.0295e-05i,-0.00023508-0.00067364i
