-0.00031885+0.00024551i,-0.00098549+0.00018973i,-0.0019145+0.00012259i,-0.0025199-0.00024432i,-0.0036203+0.00083838i,-0.0028658+0.0020663i,-0.0015476+0.0014248i,-0.00081171+0.00041818i,-0.00078295-0.00029075i,-0.00054526-0.00073803i,0.00028648-0.00023615i,0.00030867-0.00032373i,0.00036484-0.00071968i,0.00018454-0.00040782i,-0.00025705-0.00017852i,0.00011277-0.0005557i,-7.3468e-05-4.2698e-05i,-0.00014506+0.00056723i,0.00071615+0.00058731i,0.00085994-0.00011351i,0.00041536-0.00083727i,0.00020519-0.00078604i,0.00029196-0.00079604i
-0.0011073-0.00037982i,-0.0023727+0.00027643i,-0.0020982-0.00014265i,-0.0016542+0.00012892i,-0.0013476+0.0009512i,-0.0006936+0.00072524i,-0.0006938-0.00034034i,-0.00091211-0.00013718i,-0.00084543+0.0012063i,-0.0012835+0.001479i,-0.0011236+0.0010591i,0.00013423+0.00076722i,0.000612+0.00016828i,-0.00017418+8.4775e-05i,-0.00027071-0.00013096i,-0.00049056-0.00086016i,-0.0010762-0.00097246i,-0.00097729-0.00096793i,-0.00047151-0.00050658i,-6.1558e-05+0.00011737i,0.00049708-8.2076e-05i,0.00046338-0.00029814i,0.00049471-0.00012392i
-2.8778e-05+0.001437i,0.0010126+0.00076452i,0.00087764+0.0015838i,0.0007764+0.0021128i,0.00037848+0.00111i,-0.00011412-0.0004007i,-0.00017031-0.001167i,-0.00019218-0.0012985i,-0.00087656-0.0010732i,-0.00077434-0.00019042i,0.00041931+0.00038549i,0.00088288-9.4724e-05i,0.00035273-0.00094095i,-0.00036498-0.0006683i,-0.00021677+0.00012578i,5.2338e-05+0.0011071i,4.6369e-05+0.0015769i,8.1372e-05+0.0012353i,2.2128e-05+0.0013726i,-5.5469e-05+0.00086357i,1.1519e-05-0.0001706i,0.00041796-7.0956e-05i,0.00087396+0.00080725i
-0.0016236+0.00017797i,-0.0017911+0.0011972i,-0.00094602+0.00038327i,-0.00077731-9.5179e-05i,-0.00087948+0.00084033i,-0.00025054+0.000757i,0.00031485-5.845e-05i,-0.00041148-0.00043324i,-0.0014097-0.00052086i,-0.0010633-0.00048145i,-0.00018974-0.00033823i,-0.00034649-0.00019359i,-0.00049657+0.00010942i,-0.00030577+0.00020022i,-9.409e-05+0.00024484i,-0.00037786+0.00027173i,-0.00051823-0.00038131i,-0.00037298+0.00012333i,-8.6833e-05+0.00059338i,0.00031508-0.00011941i,0.00048998-0.00051475i,3.1597e-05-0.0004117i,-0.00083849-1.9714e-05i
0.00096582+4.0616e-05i,0.0009926+5.9462e-05i,0.00040561-0.00017855i,0.00021017-0.00026039i,0.00065187+0.00014577i,0.00013293+0.00040275i,-0.00014796+0.00045642i,-0.00037949+0.00019094i,-0.00064633+0.0006065i,-0.00047922+0.00049963i,0.00015625-0.00067474i,-0.00018127-0.00042041i,-0.00097847-0.00021044i,-0.00064636-0.00049187i,-0.00037486-0.00051362i,-0.00033446-0.00061687i,-8.8179e-05-0.00064972i,0.00033117-0.00046029i,0.00044646-0.00010625i,0.0011351-0.00035211i,0.00041846-0.00054135i,-0.00049478-0.00084975i,0.00021614-0.00077169i
-0.0019507+0.00086677i,-0.0015039+0.0002077i,-0.0017446-0.00058743i,-0.0025582-0.00014382i,-0.0018971+0.00054308i,-0.00094619+0.00037873i,-0.0012719-0.00053915i,-0.0021434-0.00070197i,-0.0023873-0.00033343i,-0.0013977+0.00026239i,-0.00079713+0.00011313i,-0.00098912-0.00081532i,-0.00083343-0.00026972i,-0.00072885-1.1423e-06i,-0.00055263-0.00067068i,-0.0005966-0.0013087i,-0.00050484-0.00090573i,-6.8373e-05-0.00035213i,0.00036602-3.6775e-05i,0.0011139-0.00028073i,0.0010611-0.00046382i,0.00026209+0.00052727i,-0.00065195+0.00011235i
0.0001585+8.5101e-05i,-0.00058556-0.0015099i,-0.00065666-0.0010277i,-0.00050949+0.00061357i,0.00031117+0.0011732i,0.0015762+0.00079199i,0.0015181+0.00012908i,0.00067463-4.4515e-05i,0.0001331+5.78e-06i,0.00016774+0.00015575i,0.00034078+0.00046579i,0.00025146-0.0001002i,0.00016933-0.00084383i,5.8947e-05+0.00013528i,-0.00053729+0.00098975i,-0.00051241+0.0010238i,0.0006209+0.00094056i,0.0013523-7.121e-05i,0.0004681-0.00093532i,-0.00019798-0.00085659i,-1.2567e-05-0.00040616i,0.00015726-0.00081681i,-0.00027017-0.00084002i
0.0012398+0.0013186i,0.00077388+0.0012482i,0.0010582+0.00051577i,0.00080062-0.00023438i,0.00033804-0.00056962i,0.00010364-0.00032793i,-5.2301e-05-0.00015759i,-0.00042085-0.00066588i,-9.5096e-05-0.00071702i,0.00010927-0.00053643i,-0.00028354-0.00012509i,-0.00015237+0.00037888i,0.00070011+0.00024096i,0.00041982-0.00044634i,3.9844e-05-0.00061439i,0.00025823-0.00028692i,0.00020797+4.9788e-05i,-0.00021089+0.0007525i,-0.0004237+0.00046218i,0.00035038-0.00027808i,0.0010276-0.00048773i,0.0013015-0.00022776i,0.0012733-0.00026453i
-0.00064127+0.00015003i,0.00016835+0.00029703i,-0.0004673+0.00071796i,1.9885e-05+0.00045902i,0.0010943+0.00012859i,0.00090471-0.00029274i,-1.2309e-05-0.00084845i,-0.00051814-0.00077246i,-0.0010199-0.00047643i,-0.0011118-0.0004818i,-7.839e-05-0.00072025i,0.0006629-0.0010458i,0.00040996-0.0011329i,-0.0001681-0.00092256i,0.00043464-0.00085853i,0.00075943-0.0009674i,-0.00013047-0.0010028i,0.00025473-0.0010018i,0.00063317-4.5216e-05i,0.00033839+0.00035018i,0.00018783+0.00029041i,-0.00012717+0.00022851i,-0.00016103-0.00025448i
-0.00041036+0.00024813i,-0.00019127+0.00023478i,-0.0013138-0.00087129i,-0.0012308-0.0013647i,-0.00047687-0.00086111i,0.00043627-0.00068022i,0.00031655-0.0001895i,-0.00094603-6.3117e-05i,-0.00086134-6.1095e-05i,0.00041239+0.00025563i,0.00048901+0.00056046i,1.9454e-05+0.00072615i,-0.00011234+0.0010144i,-0.00014448+0.00082209i,0.00023954+0.0002151i,0.00037387+5.5256e-05i,-0.00011585-6.1536e-05i,0.00017635-0.00014942i,0.00046171-0.00079998i,0.00056655-0.0011742i,0.00030791-0.0010962i,0.00033842-0.0011707i,0.0002888-0.0011667i
0.0025449-0.00085678i,0.0014578-0.00058579i,0.00022404-0.00085681i,-0.00029849-0.00087709i,-0.00099311-0.00041042i,-0.0010511+0.00084864i,-0.00050542+0.00056812i,-0.00041016-9.4616e-05i,-0.00054244+0.0003911i,-0.00025438+0.00038049i,0.00032158-0.00026564i,0.00019437-0.00032214i,-0.00024571-0.00012404i,-0.00030291-0.00071399i,-0.00025404-0.00081375i,4.6369e-05-0.00015565i,-0.00036182+0.00021049i,-0.00038247-0.00046602i,0.00019981-0.0010289i,0.00013167-0.00012285i,0.0005895+0.0005709i,0.00030492+0.00010649i,-3.5291e-05+5.4642e-05i
0.00053173+0.0020338i,0.0014249+0.0014741i,0.001527+0.001302i,0.00098039+0.00023451i,0.000703-0.0012091i,0.00059248-0.00078923i,0.000845-0.00031744i,0.0011456-7.941e-05i,0.00090948+0.00018433i,0.00024323+0.00051629i,0.00022062+0.00066036i,0.00011603+0.00013486i,-5.1002e-05-0.00028467i,0.00040951+0.00048i,-8.4089e-05+0.00070974i,-2.0595e-05+0.00018063i,0.00041643+0.00024332i,0.00064166+0.00047942i,0.00047024+0.00079936i,-0.00014147+0.00010976i,0.00027688-0.00038829i,0.00040913+7.6906e-05i,9.7416e-05+0.0002123i
-0.0003395-0.0014482i,0.00024094-0.00055226i,-0.00045839-8.5923e-05i,-0.00073516-0.00034322i,-0.00079247-0.00052067i,4.3337e-05-0.00028715i,0.00053773-0.00030567i,-0.00041568-0.0008907i,-0.0014738-0.00095608i,-0.0014617-0.00070939i,-0.001033-0.00029501i,-0.00088719+0.00065445i,-0.00022397+0.00092853i,-6.5719e-05+0.00042589i,0.00022131+0.00055268i,0.00058034+0.00087794i,0.00058927+0.0007777i,0.0002765+0.0011664i,-0.00049258+0.00094556i,-0.00012984-6.2724e-05i,-4.6441e-05-9.5107e-05i,-0.0003552-0.00011838i,-1.6083e-08+0.00022964i
0.00093612+0.00056508i,0.00080405+0.00041646i,0.0011586-0.0002491i,0.00062954-0.00058637i,-5.2234e-05-0.00084643i,-0.0005821-0.00096075i,-0.0010866-0.0014521i,-0.00073211-0.0012958i,-0.00039122-0.00085929i,-2.396e-05-0.00030872i,-0.0001971+0.00081763i,-0.00073994+0.0010744i,-0.00051106+0.00080465i,0.00029434+0.00017836i,0.001093-0.00021466i,0.00054181+0.00033216i,-0.00025219+0.00050755i,-2.6921e-05+0.00020842i,0.00077008+8.2546e-05i,0.00098254-0.00012914i,-0.00025384-0.0006754i,-0.00077758-0.00047883i,-9.4806e-05-0.00010866i
-9.3426e-05-0.00097418i,-0.00051294-0.00064428i,-0.001318-0.00043585i,-0.0014723-0.00023222i,-0.00097636+0.00087871i,-0.0006966+0.0010126i,-0.0006076-0.00016655i,-0.00089887-0.00019968i,-0.0016605+0.00049955i,-0.0013622+0.0005884i,-0.00046127+0.00038404i,-0.00037345-0.00022183i,-0.00044072-0.00093557i,-0.00093606-0.0010692i,-0.0011397-0.00038879i,-0.0011871-0.00022806i,-0.0011905-0.00030672i,-0.00021452-0.00059793i,0.0001412-0.00085958i,-0.00020954-0.00056374i,-0.0006221-0.0009384i,-0.00048713-0.0008141i,-7.8693e-05-0.00023551i
-0.0011595+0.002294i,-0.00063638+0.0012104i,-0.00017876+0.00088784i,-0.00053089+0.00040055i,-0.00061905-0.00017726i,0.00020886-0.00026773i,-4.5033e-05+0.00038919i,-0.0012884+0.00087712i,-0.0017206+0.00033766i,-0.00055974-0.00066582i,0.00036038-0.00074098i,4.7959e-05-0.0001203i,-0.00028661+0.00058378i,-0.00027756+0.00023057i,5.1798e-05-0.00060568i,0.00061271-0.00034766i,0.0005582-0.00021023i,0.00031186-0.00084282i,0.00096331-0.0007113i,0.00078817-0.00044348i,-0.00020635-0.00063243i,8.3283e-05-0.00092607i,0.00044536-0.0006697i
0.0020464-0.0015013i,0.001852-0.001973i,0.0017284-0.0017606i,0.00015864-0.0012177i,-0.00057003-0.00079964i,0.00021841-0.00021424i,0.0003186+0.0008792i,-0.00040817+0.0006936i,-0.00088189-0.00011968i,-0.00082613-0.00016761i,-0.0005106+0.00010573i,-0.00045289+0.00022008i,-0.00069003+0.00041387i,-0.0010643+0.000437i,-0.0013515+0.00032193i,-0.0011103+6.3992e-05i,-0.00016611-0.00022408i,-0.00013179-0.00043063i,-0.00043509-0.00087015i,0.00025327-0.00064272i,0.00047122-0.00046341i,0.00031424-0.00079897i,-6.2473e-05-0.00067446i
0.00023462+0.00037303i,-0.00013108+0.00057705i,-0.00035619+0.00030101i,-0.0010694+0.00035093i,-0.0018237+0.00036121i,-0.0016963+0.00039462i,-0.0012619-0.00018027i,-0.00023639-0.00085161i,-0.00030934-0.00059034i,-0.00095294+8.0078e-06i,-0.00056353+0.00037286i,-0.00095632+0.00018118i,-0.0015488-0.0002197i,-0.00086517-0.00035379i,5.8967e-05-0.00078944i,-5.1635e-05-0.001154i,-0.0001255-0.00078109i,-0.00042382-0.00070256i,-0.0002483-0.00041274i,0.00068671-0.00036313i,0.00022333-0.00030779i,-0.0011865+0.00011617i,-0.00085543+0.00043795i
-0.00093731-7.8696e-05i,-0.00075673+4.0763e-05i,-0.00020782+0.00050398i,-4.8354e-05-0.00028377i,0.00077775-0.00076251i,0.0016477-0.0004947i,0.0010648-0.00016229i,-0.00069608-0.00047i,-0.0023713-0.00096761i,-0.0020184-0.00029204i,-0.00094551+4.8359e-05i,-0.00016767-0.00014508i,-5.5615e-05-0.00040075i,-6.9501e-05-0.00040788i,4.2901e-05+0.00052259i,0.00027079+0.00079149i,0.00025907+0.00019664i,0.00043008-0.00034762i,0.00056997-0.00068655i,0.00013438-0.00060669i,-8.5634e-05-0.00041448i,0.00018166-0.00091202i,-4.7116e-05-0.00060961i
-0.0014593+0.00056126i,-0.0013908+0.0014397i,-0.0024419+0.0013401i,-0.0020591+0.00034452i,-0.00076786+0.00014758i,-0.00023621+8.1201e-05i,-0.00037963-0.00085988i,-0.0014194-0.0020445i,-0.0013965-0.0014847i,-8.421e-05-0.00044946i,0.00025989-0.00013723i,9.1173e-05-0.00017293i,8.1721e-06-0.00013613i,-0.00050621-9.3955e-05i,-0.00055582-0.00023046i,-0.00015901-0.00028216i,0.00038723-0.00019121i,0.00098451+0.00012211i,0.00080434+0.00079812i,0.0001522+0.00097537i,-0.00020652+0.00059351i,0.00013003+0.00047244i,-2.1656e-05+0.00019982i
-0.00052117+0.00017573i,-0.00063932-0.00083656i,-0.00031338-0.00037748i,0.00013039+2.229e-05i,0.0007016+0.00024693i,0.00081543+0.00062027i,0.00033718-2.9048e-05i,-0.00049123-0.00039172i,-0.00099396+0.00012006i,-0.00095387+0.00038195i,-0.00020658+0.00015691i,0.00021949-0.00041751i,0.00024154-0.00080005i,2.3662e-05-0.00043908i,-0.00042832+0.00032164i,-0.00034623+0.00076467i,-0.00060044+7.591e-05i,6.7707e-05-0.00084767i,0.00085614-0.00031723i,0.00016739+0.00021386i,-0.00020677+0.00018284i,-0.00050143+0.00063638i,-0.00037595+0.0004587i
