0.00091518-0.00020627i,0.0012917-0.002479i,0.0017546-0.0046922i,0.0016693-0.0029616i,-6.9205e-05+0.00031726i,-0.0015515+0.0016698i,-0.00077396+0.001825i,0.00074223+0.00088988i,0.0012226+2.5714e-05i,0.0012961-0.00048932i,0.0013023-0.00093626i,0.00049556-0.00099277i,-0.00053626-0.0010543i,-0.001066-0.00078235i,-0.00033055-0.00042633i,0.00044042+5.2352e-05i,0.00015244-0.00058292i,0.00012803-0.00065741i,0.00039488-0.00042909i,0.00096111-0.0010382i,0.0012493-0.00069668i,0.0012007+0.00034285i,0.0011587+3.8642e-05i
-0.00031602+0.00033513i,-7.7014e-05+6.1367e-05i,0.00070176+0.001073i,0.0017169+0.0014666i,0.0016626+0.001228i,0.0013458+0.00017881i,0.00096455-0.00096091i,0.00031013-0.0011056i,8.0552e-05-0.0011867i,0.00038804-0.00030677i,0.00062947+0.00010988i,0.00042288-0.00062099i,4.1131e-05-0.0006929i,0.0001886-1.2376e-06i,-3.7755e-05+0.00039374i,-0.00093724+0.000369i,-0.0012265+2.0458e-05i,-0.0002884-0.00018367i,0.00012348-5.9077e-05i,-0.00037416-0.00014319i,-0.00059565-0.00064259i,-0.00040894-0.00025905i,-0.00016394+0.00068537i
-0.0011064-0.00040214i,-0.00055915-4.1041e-05i,-0.00082419-0.00045303i,0.00013603-0.00018125i,0.0014075-9.8867e-05i,0.0016337+0.00028531i,0.0015684+0.0004137i,0.0010819-0.00041326i,0.00088787-0.0011663i,0.0010188-0.00033651i,0.00040129+0.00055404i,-0.00037277+0.00012424i,-0.00027754+0.00037713i,-1.1605e-05+0.00045748i,0.00032916-0.00010186i,0.00016821+0.00020678i,-0.00041401+0.00056246i,-0.00031146+0.00026505i,0.00011697+0.00011225i,0.00012315-5.5265e-05i,-0.00044148-1.9727e-05i,-0.00022041-7.6977e-05i,0.00044405-0.0007628i
-6.0867e-05+8.6435e-05i,0.00028635-0.00047624i,0.00075974-0.0011996i,0.00094653-0.0012965i,0.0005536-0.0008231i,0.001357+4.2306e-05i,0.0013968+0.0005139i,0.0010345+0.00094023i,0.0010961+0.00097177i,0.00027315+0.000339i,0.00011656-0.00033818i,0.00074405-0.00026668i,0.00043195+0.00045974i,0.00017851+0.00041154i,-0.00041026-0.00012468i,-0.00091566+7.7559e-06i,-0.0007349+4.419e-08i,-0.00041057+0.00015001i,9.4884e-05+0.00052203i,0.00085944+0.00024739i,0.00078677-0.00026989i,8.8337e-07-2.9495e-05i,-0.00067742+0.00023963i
-0.00083293+0.00011028i,-0.00086699+0.00038724i,-1.3073e-05+0.00077473i,0.00060786+0.0019667i,0.00089232+0.0024313i,0.0015475+0.0014433i,0.0018336+0.00082259i,0.0015654+0.00024931i,0.0010842-0.00050714i,0.00030895-0.00065543i,-0.00098801-0.00024421i,-0.0014359-0.00090486i,-0.00099942-0.0012646i,-0.0010265-0.0004936i,-0.00193+0.0002358i,-0.0012887+0.00044703i,-0.00029131+0.00077853i,-0.00080546+0.00070438i,-0.0001856-0.00015739i,0.00044958-0.00011062i,0.00043861+1.6813e-05i,-0.00022373-0.00073341i,-0.0001322-0.00066573i
0.0010147+0.0009864i,0.001568+0.00061829i,0.0014158-0.00053878i,0.0022253-0.0017436i,0.0024799-0.0015841i,0.00082745-0.00042947i,0.00046238-0.00035355i,0.001829-0.00043297i,0.0018279+0.00019078i,0.00035239-0.0004734i,-1.1014e-06-0.00094408i,-1.2128e-05-0.00011666i,-1.0641e-05-0.00031949i,0.00042992-0.00097021i,0.00042687-0.00098636i,0.00027069-0.0004117i,0.00013547+0.00015406i,0.00038176+0.00025647i,0.00064469+0.00010911i,0.00023938-0.00013963i,-0.00012193-7.8883e-05i,0.00015923-0.00027863i,0.00023698+3.3953e-05i
0.00041845-0.0015596i,-0.00034017-0.0010579i,-0.00097535-0.00036747i,-0.001265+0.00059064i,-0.00092735+0.0016448i,-0.00072398+0.0016146i,0.00055707+0.0004165i,0.0011742-0.00047033i,0.00033613-0.00069438i,0.00042246-0.00045049i,0.00058868+5.0313e-05i,-0.00012474-0.00054126i,-0.00012644-0.0009391i,0.00064228-0.00046981i,0.00085388+0.00029757i,0.00070809+0.00052625i,0.00049599+0.00024636i,0.00026914+1.1025e-06i,-0.00025216-0.00041063i,-0.0001681+8.4481e-05i,0.00056033+0.00060751i,0.00073783+0.0003837i,0.00016681-0.00029387i
-0.00019744+8.8241e-05i,-0.0010463+0.00078376i,-0.00029367+0.0019717i,0.001441+0.0024899i,0.0018237+0.0018175i,0.0011503+0.00059559i,0.0016217-0.00018992i,0.0011165-0.0003746i,0.00069478-0.00026776i,0.00076912+0.00041563i,0.00045439+0.0006234i,-5.4212e-06+0.00098093i,-0.00052537+0.0013457i,-0.00043614+0.00065789i,-0.00017555-0.00029242i,-0.00011402-0.00058547i,-0.00062146-0.00026675i,-0.00052692+0.00012665i,-0.00027232+0.00051629i,0.0003747+0.00085661i,0.00024543+0.00050419i,-0.00062727+1.2938e-05i,-2.3383e-05-0.00021551i
-0.0012023+0.00039234i,-0.0010785+0.00018757i,-0.00078486+0.0003683i,0.00072456-0.00013631i,0.0020106+0.00025732i,0.002118+0.00084839i,0.001081+0.00086612i,-0.00020034+0.00027037i,-0.00054324-0.00011649i,-0.00022301+3.532e-05i,0.00016865+0.00034065i,0.0006209+4.3242e-05i,0.0010147-0.00066869i,0.00060965-0.00090256i,-0.00036464-0.00087537i,-7.0612e-05+0.00015225i,0.00062834+0.0013327i,0.0002405+0.0011396i,9.9829e-05+0.00077605i,-2.2939e-05+0.00013918i,4.2496e-05+8.2361e-05i,0.00032363-0.00022948i,-0.00031121-0.00065358i
9.5321e-05-0.00020491i,-0.00021873-0.0010521i,0.00036248-0.0011498i,0.00097831-0.00052301i,0.00076365-0.00073043i,0.00095672-0.0013056i,0.001215-0.0010519i,0.00075437-0.0002392i,0.00018932+5.4937e-05i,-0.00016263+0.00029262i,-0.00054896+0.00013065i,-0.00082734-0.00030495i,-0.00024444-0.0006799i,0.00053352-0.00069089i,0.00045545-0.00040799i,0.00042014-0.00046077i,0.00037205-0.00010834i,-0.00045218+0.00035458i,-0.00047284+0.00010742i,-4.4443e-05-0.00024017i,0.00028937-3.8848e-05i,0.00030826+1.6039e-05i,3.0064e-05+8.9553e-05i
-0.0018473-0.0011232i,-0.0017529+0.00015118i,-0.0014348+0.0012621i,-0.00046744+0.0010389i,0.00074969+0.00069031i,0.0014765+0.0011556i,0.0021338+0.00021575i,0.0015962-7.3123e-06i,0.00013575-0.00047406i,0.00012612-0.0011797i,0.00073314-0.0008681i,0.00063276-0.00052013i,0.00012524-0.00039873i,-0.00030683-0.00041829i,-0.00026042-0.00054002i,0.000316-0.0008323i,0.00084495-0.00052422i,0.00040767+0.00035563i,-0.00042942+0.00068551i,-0.00063061+9.0151e-05i,-0.00031621-0.00010795i,-0.00027855-0.0002324i,-0.00050347-0.00012007i
