-0.00074492+0.00035023i,-0.00073863-0.00092391i,-0.00017644-0.0016574i,0.00042484-0.0021708i,-7.514e-05-0.0031806i,-0.0012026-0.0022661i,-0.001965-0.00043295i,-0.0016023+0.001082i,-0.0001503+0.0011505i,0.00096042+6.0039e-05i,0.00077247+0.0002281i,-0.00022449-1.6981e-05i,-0.00013032-5.0277e-05i,0.00024297+0.00014718i,0.00010845-0.00026551i,-0.00014908-0.00062187i,-0.00010186-0.00098187i,-0.00030302-0.00044201i,-0.00087774+8.267e-05i,-0.0012099-0.00035133i,-0.0007898-0.00060711i,2.7486e-05-0.00038081i,0.00047936-6.8136e-05i
0.00041523-0.00041453i,0.0012439-0.0014447i,-0.00045424-0.002398i,-0.0018917-0.0021948i,-0.0024385-0.00085938i,-0.0014206+0.00035184i,-0.00049681+0.00010017i,-0.00074398-0.0010156i,-0.00088938-0.0007661i,-0.00099683-0.00070635i,-0.00045763-0.001188i,-7.426e-05-0.00082835i,-1.1978e-05-0.00017851i,2.561e-05+8.5137e-05i,-0.0001231-0.00023562i,-0.00019437-0.00086139i,-0.00049073-0.00030909i,-0.00041288+0.00075401i,-0.00011362+0.0011196i,7.3655e-05+0.00060731i,0.00048987-9.2673e-05i,0.00068648+7.1447e-06i,0.00087792+2.5192e-05i
0.0005353+2.7671e-05i,0.0008216-0.00043267i,0.0004075-0.0010395i,-0.0015625-0.0019438i,-0.0021057-0.0029474i,-0.0018983-0.0018308i,-0.0026288-0.00012857i,-0.0016971+0.00061278i,-0.0003561+0.00035674i,3.9126e-05-0.00030529i,-5.4196e-06-0.00016858i,-0.00063644+0.00062665i,-0.00025036+0.00094082i,0.00075719+0.00015398i,0.00057101-0.00013915i,1.1853e-05+0.00087862i,-4.9567e-05+0.00033579i,7.1869e-05-0.00059961i,-0.0002802-0.00042636i,-0.00016903-0.00012987i,-0.00048895+0.00033121i,-0.00031726+0.0006828i,0.00021386+0.00067006i
0.00077902-0.00072167i,0.00064847-0.00053262i,0.0010773-0.0021083i,0.00059254-0.0031856i,-0.00013314-0.0026728i,-0.001006-0.0017065i,-0.0011768-0.0009852i,-0.00033751-0.00073304i,-5.6339e-05-0.00034398i,-0.00047382-0.00023692i,-0.00028816-0.00087305i,-0.00032665-0.00057041i,-0.00068341+0.0002155i,-0.00049946+0.00040014i,-0.00020634+9.8195e-05i,0.00053107+0.00015069i,0.00073408+0.00027462i,0.00057511-0.00016624i,0.00020015-0.00057308i,-0.00013567-0.0011538i,0.00032483-0.0010936i,0.00086391+0.00031582i,0.00021541+0.0009379i
-0.0013808+0.00099177i,-0.00086846+0.00056885i,0.00027824+0.00092388i,0.0015101+5.2539e-05i,0.0021311-0.00090668i,0.0016746-0.00050167i,0.00071537-0.00049968i,0.0003446-0.00087606i,0.00036836-0.00044962i,0.00057915-0.00010365i,-6.6049e-05-0.00021913i,-0.00073458-0.00016743i,-0.00072957-0.0002658i,-0.0010504-0.00061664i,-0.0011936-0.0008531i,-0.0005285-0.00060686i,0.00027342-0.00012339i,-4.4127e-08-0.0001463i,-0.0002931-0.00035112i,-0.00012969-7.4035e-05i,-0.0002342+0.00052279i,-0.00077549+0.00029443i,-0.00029529-0.00061488i
0.0011685+0.00013786i,0.0014697-0.0001244i,0.0010773-0.0010744i,9.0936e-05-0.0028374i,-0.0010679-0.0029252i,-0.0015426-0.0016063i,-0.0012078-0.0010133i,-0.0018411-0.00049911i,-0.0018635+8.1367e-05i,-0.00071465+0.00029732i,-0.00070653+0.00030757i,-0.00062474-0.00023633i,-0.00013714-0.0011344i,0.00025674-0.0010961i,0.0011295-0.00065199i,0.0014124-0.00011831i,0.00048927+2.2115e-05i,-5.3524e-05+3.8221e-05i,3.5957e-05+7.2379e-05i,-1.8662e-05-0.00010483i,-2.9083e-06+0.00051075i,4.5946e-05+0.0010649i,0.00031928+0.001318i
0.00016171-0.00016288i,0.00061225-0.00076811i,0.00043655-0.0015345i,0.00017329-0.0017298i,0.0001349-0.0019633i,0.00017492-0.00069829i,-5.2786e-06+0.00061997i,0.00011331-0.00014486i,-0.00029983-0.00044189i,-0.00043054-0.00025018i,-0.00014409-7.3703e-05i,-0.00019355+0.00027922i,0.0004665+0.0007978i,0.00044104+0.00074989i,-0.00016117+9.4367e-05i,-0.00051797+0.00015128i,-0.00054119-0.0001085i,-0.00055963-0.0001348i,-0.00081537+0.00017253i,-0.00029451+0.00035369i,0.00063571+0.00070954i,0.00085162+0.00058898i,-0.00036237+0.00010909i
0.0012391-0.0010782i,0.0010715-0.0011761i,0.00036968-0.0017301i,-0.00018262-0.0030556i,-0.0012909-0.002846i,-0.0027296-0.001811i,-0.0018628-0.0003591i,-0.00086372-0.00018889i,-0.00055662-0.0008786i,-0.0002741-0.0015687i,-0.00025045-0.0010833i,-0.00052084-0.00020218i,-0.0003304-0.0003608i,-0.00021823-0.0006626i,-0.00033402-0.00075693i,-0.0004709-0.0010094i,-0.00020598-0.00073098i,3.7329e-05-0.0001103i,0.00052654-0.00019483i,0.00076845-0.00010778i,0.00021764-0.00027645i,-0.00051918-0.00071287i,-0.00053768-0.00061324i
-0.00020869-0.0014562i,3.1127e-05-0.0014691i,0.00051738-0.0015096i,0.0006829-0.00088868i,0.00012732-0.00051248i,4.9128e-05+0.0002265i,-7.0992e-06+0.00051218i,-0.00029095-0.00074604i,-0.00020942-0.0016863i,-9.336e-05-0.0014985i,-0.00041163-0.00098447i,-0.00041909-0.00067318i,-0.00037689+0.00030414i,1.7192e-05+0.0011955i,0.00015759+0.00056069i,7.3426e-05-0.0003644i,-0.00025097-0.00081827i,-0.0011537-0.0010079i,-0.00125-0.00038531i,-0.00050587-0.00010376i,8.5064e-05-0.00046117i,-7.8541e-05-0.00015989i,-0.00021816+0.00088085i
-0.00034637+0.00030464i,-0.00031651+0.00022436i,-0.00046752+0.00044688i,-0.00053903-4.9125e-05i,-0.00069679-0.00056565i,-0.0014199-0.0002058i,-0.0011406-0.00023825i,-0.00041726-0.00017025i,-0.00017241-5.7186e-05i,-5.5742e-05+0.00027437i,0.00010968-0.00012298i,7.9137e-05-0.00082014i,0.00019962-0.00033061i,0.00035456+0.00011761i,0.00036699-0.00023206i,0.00029043-0.00042666i,-0.00021713-0.00051352i,-9.8732e-05-0.00050062i,7.3223e-06+1.8409e-06i,-0.00050055+0.00036932i,-0.0005286+0.00056288i,-0.00028161+0.00098171i,0.00031364+0.00033382i
-0.00026051-0.00036657i,-0.00048334-0.00072881i,0.00052208-0.0013431i,0.0010984-0.0020658i,0.00024442-0.0021364i,-0.00092489-0.0010453i,-0.001558-0.00050184i,-0.0013078-0.00093199i,-0.00062293-0.0018811i,-2.7825e-05-0.0015095i,-0.00012029-0.00031277i,-8.7772e-05-3.9876e-05i,0.00054238-0.00044857i,0.00085733-0.00043749i,0.0011711-0.00077953i,0.00093509-0.00069838i,-0.00014871-0.00049385i,-0.00014572-0.00094612i,0.00027928+6.2278e-05i,-0.00025112+0.00072164i,-0.00052221+0.00056918i,-0.00039258+0.00049688i,5.336e-05+0.00061347i
