0.00029915-0.00022973i,0.0007882-0.0011733i,0.00059351-0.0012145i,0.00038048-0.0013015i,-0.00037027-0.0022438i,-0.00065764-0.0015286i,-0.00024437-5.1514e-05i,-4.9772e-05+0.00097206i,0.0012081+0.00091962i,0.0020442-0.00012575i,0.0012896-0.00049763i,8.364e-05-0.00065018i,-0.00082275-0.00063616i,-0.00073505-0.00082207i,-1.1382e-05-0.00038348i,0.00019123+0.00052361i,-0.00025579+0.00019751i,-0.00076424-0.00042984i,-0.00057393+0.00029753i,7.779e-05+0.00057856i,0.001156-0.00018636i,0.0013117-0.00047291i,0.00025951-3.2299e-05i
-0.001053-0.001707i,-0.0010546-0.0013293i,-0.0010758-0.000155i,-0.0010471+0.00037723i,-0.00072038+0.001009i,-6.0596e-05+0.0010743i,0.00013408-0.00033527i,-0.00032143-0.00070534i,-0.0006137+0.00019702i,-0.00084245+0.00039705i,-0.00054904-0.00017693i,-0.00018824-0.00072255i,0.00018662-0.00052667i,0.00049934-0.00016658i,2.4751e-05-8.1655e-05i,-0.00063044-0.00090028i,-0.00049317-0.00082802i,-0.00030949-0.00010112i,1.1293e-05+0.00011781i,0.00017979+0.00089843i,0.00025048+0.001188i,-5.1541e-05+0.0010372i,-0.00035793+0.00065318i
0.0016377+0.00038225i,0.0011926-0.0006391i,0.0019826-0.0013013i,0.0011959-0.00074018i,-0.00017841-0.000554i,-0.00032485-0.00083556i,-3.4421e-05-0.00037619i,-0.00013396-0.00020625i,0.0006033-0.0004219i,0.00079025-0.00044609i,8.564e-06-0.00088633i,-0.0002537-0.0011345i,-0.00037679-0.00067847i,-0.00040218-0.00046534i,-0.00013624-0.00050477i,-0.00020829+0.00017619i,-0.00044342+0.00038426i,-0.00013596+0.00017972i,0.00028189+0.00040847i,0.00024325+0.00043934i,-9.5396e-05-0.00010472i,-0.00010098-0.00019043i,0.00026433-0.00024541i
-0.00069494-0.00075606i,-0.00089385-0.00013463i,-0.00068975-0.00023762i,0.00097776+0.00018923i,0.0018384+0.0012436i,0.001276-6.3183e-05i,0.00031391-0.00078716i,-0.0004581+7.5063e-05i,-9.6725e-05+0.0011772i,3.8967e-06+0.0010808i,-0.00047518+0.00069283i,-0.00059089+0.00049948i,-0.00046317-0.00031855i,0.00010698+0.00022147i,0.00089551+0.00066021i,0.00067747+0.00022534i,-6.756e-05+0.00016743i,6.9288e-05+0.00021253i,2.5792e-05+0.00049915i,-0.00090397+0.00055284i,-0.00053862+0.00042013i,0.00020071+0.00026119i,-4.1929e-05-0.00023308i
0.001164+0.0017734i,0.0017261+0.00014078i,0.0016782-0.00027819i,0.0018359-0.00030221i,0.002251-0.00048465i,0.001674-0.00080978i,0.00033923-0.0011098i,-0.00051305-0.00067425i,-0.00058262-0.00013672i,-7.9545e-05+0.00029802i,0.00086397+0.00070977i,0.00079197+2.996e-05i,-1.9572e-06-0.00077804i,-7.7173e-05-0.0003396i,-0.00022022+0.00010314i,9.39e-05-0.00050699i,0.00094855-0.00026576i,0.00032036+0.00041525i,-0.00029131+1.9274e-05i,0.00039197-0.00042269i,-0.00010432-0.00053122i,-0.00060113-0.0014784i,-3.7318e-05-0.0017151i
-0.00017699-0.00063474i,9.2096e-05-0.00027598i,-8.5307e-05-0.00027795i,-0.00075283-1.3895e-05i,-0.00019981-0.00018733i,0.00078159-0.00061628i,0.00054203-0.0005101i,-4.0065e-05-0.00039795i,-0.00030683-0.00021748i,-9.2644e-05-0.00027872i,0.00039572-9.7762e-05i,0.00063388-0.00034948i,0.00043798-0.0007517i,0.00015746-9.5916e-05i,-0.00019875-0.00037166i,-0.00052703-0.00083335i,-0.00058554-0.00067024i,-0.00048599-0.00064439i,-6.1244e-05-0.00047305i,0.00013054+0.0002289i,0.00016625+0.00065321i,0.00024775-0.00024874i,0.00023522-0.00018727i
0.00032187-0.001186i,-0.00045151-0.0024557i,-0.0011366-0.0025784i,-0.00091884-0.00071229i,-0.00044211+0.00063812i,0.00038014+0.00087245i,-0.00015068+6.8713e-05i,-0.00053505-0.00074831i,-3.1635e-05-0.001387i,-7.0353e-05-0.001098i,-0.00012178+0.00013759i,0.00019072+0.00082289i,0.00023347+0.00068314i,0.00043369+0.00045963i,-0.0002688-0.0002368i,-0.0012507-0.00096102i,-0.0010496-0.00044044i,-0.00019875+0.00050108i,0.00021773+0.00054577i,0.0008511+0.00015489i,0.0010995-0.00025102i,0.0010872-1.5898e-05i,0.00096365+0.00035476i
-0.00016774-0.00039109i,-0.00027167-0.00056668i,0.0003681+0.00040133i,0.00074078+0.0019308i,0.0012788+0.0022136i,0.0010294+0.00052614i,0.00023492-0.00097523i,-0.00026497-0.00035582i,-0.00067378-0.00017917i,-9.7404e-05-0.00012468i,0.00052271-0.00043179i,0.00093648-0.00077356i,0.00064203-3.3093e-05i,-0.00033519+0.00029578i,-0.00051328+0.00026049i,-0.00014819-0.00068536i,0.0001319-0.00082043i,-0.00020308-0.00027322i,-0.00088881-0.00044112i,-0.00097016-0.00017174i,1.9606e-05-0.00013906i,0.00086069+1.3619e-06i,0.00074723-3.6393e-05i
0.00046752-5.3836e-05i,0.00059888+3.5732e-05i,4.0622e-05-0.00039034i,0.0006222-0.0008797i,0.0013211-0.00015531i,0.00091298-0.00011728i,0.0003478+1.1067e-06i,-0.00085571+0.00082893i,-0.0013105+0.00079335i,-0.00061325-0.00013283i,-0.00017396-0.00092499i,0.00026966-0.0014203i,7.4713e-05-0.00091617i,-0.00014277-1.3716e-05i,-0.00018825-3.9808e-05i,1.1845e-05-0.00055107i,0.0004292-0.00043533i,0.00040855-0.00057072i,0.00060569-0.0006256i,-0.00013751+0.00016238i,-0.00076773+0.00038967i,-0.00013817-0.0002932i,-0.0002071-0.00044334i
-7.689e-05-0.00073654i,-0.00029396+0.00057332i,-0.00081655+0.00072323i,-0.0011641+0.00097686i,-0.00090879+0.0013923i,-0.00072847+0.0006102i,-0.00078621-0.00038055i,-0.00049989-0.00021239i,-0.00020428-4.1051e-05i,3.0904e-06-0.00024473i,0.00042855+0.0002384i,0.00049689+0.00045398i,0.00055535+7.3491e-05i,0.00058026+0.00038911i,0.00021926+0.00045908i,0.00053733-0.00068465i,0.00093649-0.0014252i,0.0006942-0.00081719i,0.00043656-0.00013709i,0.00051909+0.00024364i,0.00033123+0.00014838i,0.0001129+0.00031529i,1.5558e-05+0.00063174i
-0.00059145-0.00069671i,-1.4418e-05-0.00035203i,0.00062391+0.00021282i,0.0014719+0.00076223i,0.0023128+0.0010288i,0.0019147+0.00045464i,0.00065482-2.6012e-06i,0.00016509+0.00037397i,-1.9107e-05+0.00067759i,0.00033796-0.0005259i,0.0013582-0.0016619i,0.0016091-0.0011825i,0.0012812-0.00074672i,0.00077246-0.00025975i,0.00052562+3.8762e-05i,0.00043795-0.00045656i,0.0006959-0.00084619i,0.00097572-0.00049774i,0.00023508+0.00021073i,-0.00065846+0.00035794i,-0.00075247-0.00018852i,-0.00041854-0.00028234i,-1.047e-05-7.924e-05i
