-0.0023137+0.00041588i,-0.0013006-0.0002653i,-0.00092321-6.6501e-05i,-0.0011056+0.00065122i,-0.0012671+0.0013086i,-0.0016661+0.0012047i,-0.00106+0.0009612i,-0.00041484+0.00065556i,0.00020697+0.0011016i,0.0011466+0.0012998i,0.0014659+0.00095563i,0.0005893+0.00039916i,0.00069401-0.00047172i,0.0016878-0.00056163i,0.0012766-0.00027548i,0.00031491-0.00012137i,-0.00023309-0.001309i,-0.00044646-0.0020769i,-0.00053816-0.001223i,-0.00014313+0.0001061i,5.2857e-05+0.00038794i,0.00035307+3.5943e-05i,0.00038418-0.00039077i
-0.00081764+0.00076671i,-0.00015077+0.0005452i,-0.00084937+9.5711e-05i,-0.0016106-0.00052466i,-0.0013823-0.00058901i,-0.00087807-0.00060875i,-0.00024096-0.00089458i,0.00016444-0.00067968i,0.00042601+7.8029e-05i,0.00045152+0.00046726i,-7.6297e-05+0.00048553i,-0.0004918-9.4246e-05i,-0.0004337-0.00054234i,0.00039755-0.00065921i,0.0016501-0.00038141i,0.0020041+3.0251e-05i,0.002251-0.0003023i,0.0017605-0.0016932i,0.00053852-0.0022195i,0.00010115-0.0010855i,-0.00035698+0.00016877i,-0.0011374+0.0017663i,-0.00064327+0.0013582i
0.0011802-0.0021835i,0.0011071-0.0019795i,-0.00025073-0.0024201i,-0.0020044-0.0014813i,-0.0028048-0.0004221i,-0.0023186-0.00016187i,-0.00097338-0.00011044i,0.00011084-0.00026793i,0.00018651-0.00033621i,-0.00028471-0.00015468i,-0.00061113+0.00074111i,-0.00049794+0.0015236i,-0.00039018+0.0010374i,0.00017793+0.00065932i,-7.5625e-05+0.00092143i,-0.00022432+0.0013094i,-5.0795e-05+0.0005542i,-0.00043742-0.00069226i,-0.00022089-0.0013488i,1.0211e-06-0.00091324i,-8.7614e-05-0.00084283i,-0.00035738-0.0011266i,-0.00090118-0.0010116i
0.00086891+0.00042607i,0.0013973-0.00035814i,0.0010285-0.00095073i,0.00015866-0.0011114i,-0.00088137-0.00034203i,-0.0013987+0.00075086i,-0.0015199+0.00098707i,-0.00074711+0.00024944i,-0.00028661-0.00067618i,-0.00036106-0.00058871i,-0.00015978+0.00036751i,-0.0007876+0.00024743i,-0.00023809-0.00033901i,0.00044068-0.00030585i,0.00044088-0.00055177i,0.0013145-0.00071081i,0.0013353-0.00064064i,0.0008952-0.0008978i,0.00066565-0.001287i,0.00020982-0.0014221i,-0.00039643-0.00050483i,-0.00018298+0.00089877i,0.00048286+0.0013581i
0.0016537+0.00026651i,0.001041-0.00047057i,0.00038401-0.00067489i,-6.9573e-05-5.1217e-05i,0.00057428+0.00015266i,0.0012654-0.00014952i,0.00075647-0.00021169i,-0.00013093-0.00069305i,-0.00020345-0.00097829i,1.1326e-05-0.00064486i,-0.00038204+0.00022856i,-0.00098716+0.0011911i,-0.00098907+0.0020922i,-0.00044313+0.0024552i,-0.00051637+0.0019287i,-0.00092681+0.0013255i,-0.0004839+0.00077087i,9.3424e-06+0.00012183i,0.00028931-0.00078212i,0.00074322-0.0016159i,0.0010876-0.0017875i,-0.00039688-0.00181i,-0.0017188-0.00088423i
-0.0016638+0.00071869i,-0.0010894-0.00019965i,0.00021561+9.1362e-05i,0.00054978+0.00015748i,-0.00052602-0.00069161i,-0.00049907-0.0010036i,-0.00012583-0.00082892i,-0.000668-0.00053791i,-0.0011713-0.00063481i,-0.001323-0.00016527i,-0.00052904+0.00040104i,0.00084253+0.00023514i,0.0012476+0.0003361i,0.00064382+0.00034317i,0.00035886-0.00059875i,0.0010921-0.00088492i,0.0012945-0.0006711i,0.0015042-0.00049961i,0.00028835-0.00085172i,-0.0011528-0.0010484i,-0.00086797-0.00038231i,6.8553e-05+0.00086181i,0.0011682+0.001393i
-0.0017687-0.00025141i,-0.0012567+0.00036166i,-0.0024999+0.0021163i,-0.003285+0.0029195i,-0.00256+0.0020205i,-0.0016575+0.00019844i,-0.00087218-0.00093769i,-0.00012878-0.0008133i,-1.1589e-05-0.00011355i,-0.00046636+0.00075936i,-0.00072983+0.00075243i,-0.00027673-2.5346e-06i,4.9719e-06+5.6003e-05i,-0.00020789+0.0001419i,-4.1415e-05-0.00031591i,0.00081158+0.00020988i,0.00068666+0.00032568i,-8.3799e-06-0.000501i,0.00053391-0.0014i,0.00066649-0.0025672i,0.00035301-0.0027797i,-0.00041338-0.0015234i,-0.0013031-0.00038308i
-0.00094366+0.0016493i,-0.00099242+0.0017215i,0.0011897+0.0021288i,0.0030159+0.0013865i,0.0028125+0.00037458i,0.0011938+0.00011769i,-0.00018531+0.00072739i,8.6848e-05+0.00055377i,-0.00011253+0.00027301i,-0.00051699+0.00073146i,0.00024629+0.00035875i,0.0006419-0.00038909i,0.0010506-0.00088582i,0.0010654-0.00091913i,0.0007086-0.00034933i,0.0014126-0.00068055i,0.0010583-0.00071853i,0.00016966-1.1248e-05i,0.00012047-0.00067241i,5.4997e-05-0.0013001i,-0.00021109-0.00029115i,-8.4437e-05+0.00095237i,0.0011033+0.00069541i
0.0024228-0.00089503i,0.00201-0.0024282i,0.0011483-0.0024258i,-0.00093837-0.002296i,-0.0024971-0.0021444i,-0.0028299-0.0019907i,-0.0020651-0.0011855i,-0.00086461-2.9816e-05i,-0.00071667+0.00031267i,-0.00038083+0.00048269i,9.268e-05+0.00099352i,-0.00022459+0.0015607i,0.00019553+0.0011427i,0.0011047+0.00088162i,0.00043486+0.000705i,5.5296e-05+0.00017242i,0.00096046-0.00072398i,0.0017601-0.0011097i,0.002276-0.001307i,0.0021468-0.0013851i,0.00068436-0.0012657i,-0.00089904-0.0012284i,-0.0013106-0.00016403i
-0.0025378-0.0033275i,-0.0029631-0.0017343i,-0.0035029-0.00066787i,-0.0025511+0.0004953i,-0.00063406+0.0013554i,0.001177+0.0019858i,0.0016496+0.0013619i,0.0015858+0.0003395i,0.00040904+0.00078506i,-0.0008037+0.0017664i,-0.0004873+0.0017209i,4.9417e-05+0.0013605i,0.00051046+0.00054609i,0.00084673-0.00075997i,0.00084984-0.00098002i,0.00026527-0.00012921i,0.00014762+3.4972e-05i,0.00024437-0.00012428i,-0.00053399-0.00023631i,-0.0012654-0.00021602i,-0.0008738+0.0009074i,-0.00043517+0.0010995i,-7.5496e-05-7.6562e-05i
-0.00057387+0.0020245i,-0.00090965+0.0016164i,-0.0012228+0.0018234i,-0.0019566+0.001726i,-0.0017069+7.2639e-05i,-0.001184-0.0017837i,-0.0014164-0.0015484i,-0.00092608-0.00032031i,-0.00076446+0.00060449i,-0.00085259+0.00097085i,-5.1032e-05+0.0019072i,0.00014632+0.0023721i,0.00041791+0.00092997i,0.00178-5.097e-05i,0.0018574+0.00016125i,0.00099535+0.00023917i,0.0015594-0.00039297i,0.0024199-0.0013657i,0.0024579-0.0023375i,0.0020927-0.00248i,0.0010071-0.0025271i,-0.00012635-0.0022987i,-0.0010973-0.00062437i
-0.00017744-0.0018685i,-0.00093-0.000987i,-0.0013699-0.0014063i,-0.0004069+0.00020432i,4.6768e-05+0.00080854i,-3.7257e-05+0.000371i,0.00044564+9.5316e-05i,0.0011437-0.00081403i,0.001449-0.0008578i,0.00097197+7.2237e-05i,0.00075365+0.0012684i,0.0013991+0.0020666i,0.0017569+0.0005866i,0.0014711-0.00062538i,0.00086574+0.00023418i,0.0013472+0.00093403i,0.0022672+0.00094484i,0.0017299+0.00072641i,0.00064178-0.00031241i,-0.00052686-0.0011902i,-0.0010188-0.00012304i,-0.00072836+0.0014516i,-0.00071746+0.0013255i
-0.0025932-0.00015763i,-0.0020137-0.00069273i,-0.0020384-0.00044772i,-0.0028035-0.00055421i,-0.0035106-0.0013431i,-0.002651-0.0020313i,-0.0011904-0.0015124i,-0.00083574-0.00089586i,-0.0015314-0.00045566i,-0.0011964+0.00015516i,-7.3062e-05+0.00013269i,0.00064099+0.00026524i,0.00099204+0.0012643i,0.00068301+0.0017205i,0.00039516+0.0015093i,0.00062692+0.00059801i,0.00097363-0.00091342i,0.0012406-0.0018256i,0.0014385-0.0016431i,0.001407-0.0012578i,0.00085576-0.0022378i,-0.00015334-0.002541i,-0.0010287-0.0010631i
0.0024738+0.00083345i,0.0031085+0.00090543i,0.0025903+0.0001744i,0.0024604+9.0716e-05i,0.0017578+9.348e-05i,-6.149e-05-0.00041734i,0.0004968-0.00030461i,0.0012158+1.1448e-05i,-0.00018725-0.00067505i,-0.0015442-0.0013885i,-0.0014998-0.00099902i,-0.00084234-0.00060167i,-0.0002095-0.00037929i,0.00011273+0.00026916i,7.1773e-05+0.0016076i,0.00077229+0.0022723i,0.0015861+0.0011316i,0.0015952-4.5507e-06i,0.0004868-0.00033774i,-0.0013039+5.1284e-05i,-0.0014207+0.00049943i,-0.00047606+0.00028004i,-0.00083413+0.00012762i
-0.0036117-0.0027629i,-0.0039509-0.0025392i,-0.0051957-0.0028692i,-0.0053806-0.0020605i,-0.0050485-0.0013382i,-0.0039922-0.0014715i,-0.0018374-0.0013366i,-2.5571e-05-0.00064113i,-0.00010145-3.156e-05i,-0.00084263+0.00087347i,-0.00048628+0.001724i,0.00058082+0.0020363i,0.00093403+0.001751i,0.0010207+0.0009334i,0.00071369+0.00032183i,1.9096e-05+2.5114e-06i,0.00027468-0.00091121i,0.0011841-0.0017565i,0.0012387-0.0010865i,0.0002549-0.00048228i,-0.000267-0.00081726i,-0.00058807-0.0012066i,-0.00047941-0.00064783i
0.00090574+0.0010486i,0.001895+0.00053148i,0.0027517+9.1664e-05i,0.0018181+0.00021542i,0.0014083+0.00043001i,0.00185+0.00020227i,0.0012703+0.00042954i,0.00046807+0.00035373i,-0.00020562+0.00042634i,-0.00047264+0.0013554i,-0.0011774+0.001703i,-0.001434+0.001145i,-0.00030354+0.00011055i,0.0001308+5.9913e-05i,0.00072096+0.00042374i,0.00093321+0.00076362i,0.00038548+0.00058483i,0.00043891+0.00032676i,0.00019223+0.00028163i,-0.00018962+0.00033041i,-0.00049191+0.00081716i,-0.00030272+0.0012351i,-5.1794e-05+0.00093206i
-0.0010765-1.6043e-05i,-0.00095465-0.0006465i,-0.00088929-0.00020332i,-0.00030159-0.0005834i,-0.00096138-0.0014463i,-0.0020133-0.0015708i,-0.0015132-0.0012098i,-0.00022378-0.00052002i,0.00026328-0.00036757i,0.00064615-0.00020756i,0.00092205+0.00073283i,-0.00010871+0.0014695i,-0.00098031+0.00071373i,-0.00074253-0.00027537i,-9.3744e-05-0.00014339i,-0.00022246-0.00060001i,-3.4504e-05-0.00087821i,0.00082245-0.00013243i,0.0010567-0.00066074i,0.00081991-0.0010725i,0.00034912-0.0012566i,-0.0001468-0.002222i,0.00015255-0.0019734i
-0.00094741-0.0038567i,-0.00088206-0.0034739i,-0.0028803-0.0017958i,-0.0042595+0.00018949i,-0.0025867+0.001387i,-1.696e-05+0.0010921i,0.00063732-0.00073092i,0.00018486-0.0017524i,-0.00010751-0.0009715i,-0.0001869+0.00035547i,2.4934e-05+0.0010497i,-5.4011e-05+0.0011883i,0.0003862+0.0008921i,0.0011256+0.00069421i,0.0013199+0.0013719i,0.0016761+0.0011916i,0.0020195-0.00058568i,0.0023268-0.0024028i,0.0023472-0.0020648i,0.0013209-0.00062266i,0.00041583-6.7408e-06i,-0.00029467+0.00054789i,-0.00081485+0.00058925i
-0.00017858+0.0012652i,-0.00056527+0.0013865i,0.00047465+0.0016104i,0.0005882+0.0013134i,-0.00059179+0.00085024i,-0.0019156-5.5849e-06i,-0.0016516+6.6027e-05i,-0.00057171+0.00064453i,-0.00053913+0.00042923i,-0.00039359+0.00077573i,0.00051+0.00053683i,0.0008524-0.00011577i,0.00047856+0.00023992i,0.00015286+1.6773e-05i,0.00037836-0.00059405i,0.00064589-0.00084185i,0.00075558-0.00050434i,0.00079726+0.00042481i,7.7581e-05+0.00067959i,-0.00094397-0.00034793i,-0.0015933-0.0019386i,-0.0013908-0.0027231i,-0.00057204-0.0022316i
-0.0016847-0.0034735i,-0.0016183-0.0048228i,-0.0030909-0.0046978i,-0.0034934-0.0028933i,-0.0018417-0.001686i,0.00017933-0.00097289i,0.0014096-0.0014695i,0.001506-0.0016096i,0.00046205-0.0011341i,-0.00075741-0.00031938i,-0.0006824+0.00075906i,0.00069563+0.00099502i,0.0013593+0.0012374i,0.0011099+0.0012616i,0.001408+0.00091716i,0.0013135+0.00072553i,0.00077217+0.00049824i,0.0011254-0.00077093i,0.0017159-0.0021527i,0.0015359-0.001438i,0.00035589+0.00057485i,-0.00032824+0.0019217i,-0.00069651+0.0022634i
0.00094413-0.00056782i,0.00043188-0.00013812i,-5.8666e-05-0.0007809i,-0.0017761-0.0022432i,-0.0036967-0.0027386i,-0.002942-0.0027867i,-0.0010295-0.0019214i,-0.00032139-0.0010986i,-0.00084085-0.00078559i,-0.0013334-5.9749e-05i,-0.0014931+3.5313e-05i,-0.00056848-2.6372e-05i,0.00050009-0.00034667i,0.0001327-0.00087665i,-0.00019041-0.00028354i,3.3667e-06-0.00015721i,0.0005451-0.00078995i,0.00075498-0.00074802i,0.00063673+0.00029599i,0.00061945+0.0011385i,-0.0001831-0.00027294i,-0.00073514-0.0016909i,-0.00015509-0.0015923i
-0.00021823-0.00060744i,-0.00067947-0.00023714i,0.00023255+9.2295e-05i,0.00075373+0.00067357i,0.00051382+0.00059428i,-0.00028384-0.00016591i,0.00015292-0.00066152i,0.00022823-0.00094212i,-3.2864e-05-0.00122i,6.4261e-05-0.00073804i,-0.00055607+0.00077878i,-0.0014074+0.00094438i,-0.0012554-0.0004757i,-0.00071687-0.00034109i,0.00032695+0.00074453i,0.0018095+0.0014056i,0.0023524-8.514e-06i,0.0023669-0.0027255i,0.001365-0.0035938i,0.00093779-0.002843i,0.0011448-0.00078154i,0.0007827+0.0012926i,0.00050283+0.0023316i
0.0019308+0.0020038i,0.0017988+0.0014981i,0.0014744+0.00096607i,-0.00046337+8.9747e-05i,-0.0021509-0.0007224i,-0.0019805-0.001064i,-0.00039522-0.00030743i,0.0011771+1.5387e-05i,0.0020784+0.00042166i,0.0017214+0.0011865i,0.0010571+0.0010364i,0.00044755+0.0014707i,0.00033034+0.0015043i,2.5846e-05+0.00048428i,-0.00060444-0.0004444i,-0.00065114-0.00071109i,-0.00018224-3.6987e-05i,0.00070311+0.00089304i,0.00066361+0.00097341i,-8.795e-05-2.3588e-05i,-0.0001873-0.00089141i,-0.00027312-0.0014801i,-0.00030811-0.0012753i
0.0024473-0.0024441i,0.0016184-0.0026396i,0.0004921-0.0029977i,-0.00026514-0.0021163i,-0.00011781-0.0014379i,-0.00011067-0.0016391i,-0.0002693-0.0017504i,2.6849e-05-0.0016257i,0.00014158-0.00034066i,0.00018546+0.001088i,3.7769e-05+0.0024229i,-0.0004525+0.0030378i,-0.0007343+0.0021129i,-0.00032917+0.0024578i,0.00040356+0.002412i,0.0012731+0.0017854i,0.0015639+0.00077377i,0.0015497-0.0013357i,0.0014161-0.0030949i,0.0013472-0.0032663i,9.4483e-06-0.00091611i,-0.0010551+0.0012149i,-0.0010879+0.0018359i
0.00029871-0.00023714i,-0.00072872-0.00044514i,-0.0012004-0.00075861i,-0.0014431-0.00094174i,-0.0019344-0.0014946i,-0.0018649-0.0020128i,-0.00066151-0.0010935i,0.00012744+7.0089e-06i,0.00064314+2.1073e-05i,0.00089455+0.00028644i,0.00089403+0.0006789i,0.0010603+0.00074263i,0.0009355+0.0007787i,0.00041982-0.00013808i,9.4992e-05-0.00079793i,0.0001224-0.00027199i,0.00061789-0.00025795i,0.00080914+0.00045809i,0.00049063+0.0014904i,-0.00032934+0.000888i,-0.00069681-0.00060445i,0.00023947-0.0019751i,0.00068-0.0019082i
0.00069559-0.0013471i,-6.9587e-05-0.00091615i,-0.0017544-0.00091014i,-0.0030827-8.8992e-05i,-0.0025647+0.00092304i,-0.0012879+0.0011028i,-0.00074615+0.00029833i,0.00015906-0.00040266i,-0.00024077-0.00059135i,-0.0019263-0.00047526i,-0.00148-0.00075643i,0.00066845-0.00041789i,0.0015355+0.00058535i,0.00029644+0.00073153i,-0.00030607+0.0014231i,0.0015542+0.0013425i,0.0027367-5.2017e-05i,0.0024949-0.00131i,0.0013886-0.0020125i,-0.000207-0.0021853i,-0.00080881-0.0013147i,-0.0011445-0.00017521i,-0.0013682+0.00040505i
-0.0042783-0.00039639i,-0.0045442+0.00039283i,-0.004968+0.0016011i,-0.0036055+0.0010973i,-0.0024516+0.000271i,-0.0011837-0.00077194i,0.00072507-0.0007679i,0.0008171-0.00021559i,-0.0010798+0.00041755i,-0.0015123+0.0010008i,-3.2103e-05+0.0003655i,0.0012608-0.00074777i,0.0018792-0.0015694i,0.0016207-0.002152i,0.00071853-0.0018443i,-0.00038033-0.0014392i,-0.00034712-0.00098643i,-1.0479e-05+0.00036904i,0.00013753+0.0011824i,0.0007507+0.00094219i,0.00079677+0.00052493i,0.00067967-0.00090111i,0.00098811-0.0014143i
0.0010053+0.0010706i,5.8908e-05+0.0017842i,-0.00062144+0.0020829i,-8.0933e-05+0.00050996i,0.00029821-0.0014686i,-0.00018295-0.0018511i,-0.00031169-0.0021057i,-0.00034395-0.0016849i,-0.00048428-0.00042153i,-0.00071785-1.7806e-05i,-0.0014747-8.1601e-05i,-0.0013316-0.0007485i,-0.00079275-0.0012189i,0.00029574+0.00019349i,0.00092824+0.0012918i,0.0013764+0.00049735i,0.0025044-0.00088031i,0.002645-0.0022683i,0.0017017-0.003097i,0.00076894-0.0026446i,0.0001364-0.0011335i,-0.00073319+0.0006168i,-0.0016482+0.00094504i
0.00014288+0.0031341i,4.6662e-05+0.0023753i,0.0011296+0.0015608i,0.002137+0.00046973i,0.00045068-0.00050456i,-0.00098661-0.002118i,0.00040665-0.0021155i,0.0016369-0.0011874i,0.00026601+1.1127e-05i,-0.0015497+0.00097544i,-0.001753+0.00058934i,-0.0013823-0.00051992i,-0.0012114-0.0015967i,-0.00079581-0.0013181i,-0.0007311-0.000935i,-0.00088033-0.00081689i,-0.00057301-0.00071873i,-0.00015956-0.00015931i,0.0003323+0.00092008i,0.00087982+0.0009776i,0.0004821+0.00038122i,-0.0001522-0.00061051i,0.00043866-0.00086941i
-0.0014394+0.0017467i,-0.0019598+0.0021977i,-0.00080615+0.0031279i,-4.3536e-05+0.00331i,0.00081217+0.0018495i,0.0006719+0.00070948i,-0.00075683+0.0002918i,-0.00071948+0.00051801i,-0.00015974+0.001467i,0.00014906+0.002091i,-0.00027662+0.0022265i,-0.00114+0.0014696i,-0.0013911+0.00063621i,-0.0010975-8.1065e-05i,-0.00055214-0.0003242i,0.00061158-0.00020784i,0.0025656-0.00082089i,0.0034794-0.0017872i,0.0026623-0.0031295i,0.0011145-0.0033345i,3.9379e-05-0.0013892i,-0.00095955+0.0008277i,-0.0023082+0.001353i
-0.00085797+0.0012314i,0.00034775+0.00040014i,0.0017928+0.00011311i,0.0019565+0.00032807i,0.00012732+0.00060054i,-0.0013706+0.00041388i,-0.00063443+0.00015808i,1.2501e-05+5.4422e-05i,0.00012337+0.00011214i,0.0003987+0.0011939i,0.001005+0.0023144i,0.00038404+0.0021551i,-0.00025729+0.00065169i,-0.00024745-0.00095188i,-0.00011807-0.00072505i,-0.00026122+0.00019912i,-0.0013468+0.00056983i,-0.0012923+0.00073764i,-0.00050031+0.00084817i,-0.00026466+0.00047955i,0.00039123-0.00015025i,0.0010039-0.0011314i,0.0017594-0.0017385i
-0.0005683-0.0039507i,-0.0016532-0.0037159i,-0.0031295-0.0033852i,-0.0037633-0.0027261i,-0.0024493-0.0026626i,-0.0006001-0.0013738i,-5.129e-05-0.00066903i,0.0003625-0.0013019i,0.00061503-0.0012792i,0.00081226-0.00015067i,0.0012791+0.00099757i,0.001525+0.0018313i,0.0012823+0.0024487i,0.0010222+0.0018924i,0.0012124+0.0012606i,0.0018181+0.00086469i,0.0032221+0.00021247i,0.0039561-0.00084421i,0.0025076-0.0018545i,0.0010394-0.0016276i,0.00034697-0.0004091i,-0.0010738+0.00078254i,-0.0025995+0.0010617i
-0.0019862+0.0017661i,-0.0019604+0.0021942i,-0.0012651+0.0034392i,-0.00033958+0.0042944i,-0.0010089+0.0031652i,-0.0017503+0.00041974i,7.101e-06-0.0011528i,0.0016318-0.0013329i,0.00086319-0.00062793i,-0.00096643-0.00015574i,-0.00045602-0.00082459i,0.0016393-0.00086248i,0.0021741-0.00054478i,0.0011924-0.0003908i,0.00078029-0.00047561i,0.0003925-0.00036159i,-8.113e-05+2.2932e-07i,-0.00074408+0.00087765i,-0.0009476+0.0016589i,-6.771e-05+0.00093688i,0.00021022-0.00072167i,0.00040468-0.0016245i,0.0016258-0.0018508i
-0.0010971+0.0027953i,-0.0014467+0.002024i,3.9319e-05+0.0010208i,0.0010361-6.1603e-05i,0.0010415-0.0012702i,0.00091659-0.00080639i,-0.00074398+0.00081049i,-0.0017605+0.0011949i,-0.002228+0.0010887i,-0.0020952+0.00020765i,-0.00079542-0.00065023i,0.00014306-0.00075748i,5.8727e-05-0.00018765i,0.00035298+0.0010025i,0.0016089+0.0015109i,0.0024376+0.00050104i,0.0033334-0.0014325i,0.0034509-0.00239i,0.0011587-0.0020897i,-0.0010863-0.00095162i,-0.0016185-0.00043571i,-0.0014815-0.00028177i,-0.0024013+0.00075326i
-0.00014651+0.0030522i,0.00088601+0.0034023i,0.0010712+0.0041849i,0.00053201+0.004385i,-0.0001161+0.0032226i,-0.00070287+0.00030477i,0.0013019-0.0014899i,0.0021349-0.00028812i,0.00032777+0.0013158i,-0.00058101+0.0015989i,-0.0012347+0.0011842i,-0.00076173-9.7477e-05i,0.0008714-0.0011271i,0.0013749-0.0010818i,0.00057561-0.00029177i,0.00011555+0.00072919i,0.0001145+0.00043431i,0.00044396-0.00012559i,0.00072624+7.273e-05i,0.00038486-0.00039978i,0.00041519-0.0013492i,0.00077445-0.0017124i,0.0019075-0.0019487i
-0.0016294+0.0012759i,-0.0013264+0.00047939i,-0.00092107+0.0016052i,-0.00054712+0.00079244i,-3.5732e-05-0.0007692i,0.001021-0.0005722i,-0.00016064+0.00069006i,-0.0010394-0.00019042i,-0.00030115-0.0010418i,-0.00033678+0.0005719i,-0.00087192+0.0022991i,-0.00067958+0.0024199i,-0.0007288+0.00058485i,-0.00035532-0.00033412i,0.00051597+1.824e-05i,0.0016693-0.00021704i,0.0036807-0.0012412i,0.0034818-0.0018728i,0.0016713-0.0014664i,0.00021184-0.0010358i,-0.00080571-0.00021952i,-0.0016364+0.0011147i,-0.003658+0.0018318i
-0.00069475-0.0018068i,-0.00088281-0.0014767i,-0.0028904-0.00077027i,-0.0037338+0.00089813i,-0.0036931+0.0023823i,-0.0034849+0.00043967i,-0.00067801-0.00257i,0.0015252-0.0021685i,0.0011293-0.00019901i,0.000588+0.0013084i,0.00017731+0.0025503i,0.00015577+0.0026049i,0.00019328+0.0011809i,-0.00020393+0.00025368i,-0.00052364+0.00015065i,-0.00028513+0.0003815i,-0.00056238+0.00033721i,-0.0010777+0.00031804i,-4.8876e-05+0.00046258i,0.0010487-0.00028479i,0.0012127-0.0012721i,0.0018211-0.001178i,0.0031767-0.00048265i
-0.0022535-0.0021711i,-0.002713-0.0023946i,-0.003538-0.00077603i,-0.0029056+0.00034786i,-0.00056771-0.00060211i,0.0025267+0.00055644i,0.0026836+0.0029784i,0.0012346+0.0020353i,0.00026866+0.00046979i,9.906e-05+0.00069606i,0.0011988+0.0022979i,0.0020218+0.0025557i,0.002016+0.0014189i,0.0020822+0.0010629i,0.0015844+0.00078662i,0.0016273+2.3537e-05i,0.002983-0.00024514i,0.0030383-0.00086328i,0.0021138-0.0016336i,0.000489-0.0009811i,-0.0010376-0.0005633i,-0.0017721+0.00029102i,-0.0027162+0.0017217i
0.0039232+0.002047i,0.0035931+0.0018799i,0.0044985+0.00081035i,0.0034942+0.0003017i,-0.00092956+0.00079032i,-0.0046585-0.00095601i,-0.0027583-0.0039185i,0.00077217-0.0028691i,0.0020126-0.0010799i,0.0026418-0.00054057i,0.0017871+0.00024423i,0.00091777+0.0010806i,0.00036099+0.00063955i,-0.00019666+3.7792e-05i,-0.00031985+0.00032005i,-0.00082921+0.00036783i,-0.00059962+8.0843e-05i,0.0004369-0.00067674i,0.0014308-0.0014577i,0.0013972-0.0022537i,0.0011895-0.0025744i,0.0017248-0.0019451i,0.0033591-0.0021499i
-0.00014302-0.0019155i,-0.00072095-0.001782i,-0.0027489-0.0013826i,-0.0037753-0.0016484i,-0.00098804-0.003269i,0.0035705-0.0022674i,0.0033792+0.0024632i,0.0014929+0.0040152i,0.0010227+0.0022261i,0.00067852+0.0002165i,0.00012644-0.00021404i,0.00090533+8.4518e-05i,0.0023308+0.00092949i,0.0023077+0.0011145i,0.001889+0.0011819i,0.0020144+0.0013129i,0.0022722+0.0004967i,0.0022879-0.00035377i,0.0011388+0.00014926i,-0.00059015+0.00095366i,-0.0011304+0.00082363i,-0.002313+0.0012189i,-0.0047638+0.0024688i
0.0025861-0.00257i,0.0024847-0.0021367i,0.0020645-0.0019261i,0.00081186-0.00046353i,-0.0035676+0.0026773i,-0.0083837+0.0020076i,-0.0066032-0.0030493i,-0.0018552-0.0041922i,-0.00094295-0.0028107i,-0.0021572-0.0019121i,-0.0019679-0.0011446i,-0.0010153-0.0002229i,-0.00037824-0.00026712i,0.00052106-0.00071923i,0.001581-0.00015593i,0.0014919+0.00056478i,0.0013869+0.0005062i,0.0010763+0.00016846i,0.00024017-0.00086547i,-0.0002943-0.0010231i,-0.00044706-0.0010177i,0.00067265-0.0017552i,0.0029458-0.0028261i
-0.00099385-0.0025687i,-0.0014492-0.001328i,-0.0036216-0.0018051i,-0.0052297-0.0018727i,-0.0029576-0.0033697i,0.0034887-0.0022967i,0.0039192+0.0014069i,0.00011358+0.0012868i,-0.0020074-0.00017242i,-0.0024146-0.00025734i,-0.0020345+0.0006004i,-0.0013283+0.0015116i,-0.00045085+0.0011227i,0.00058464-0.00044091i,0.0012487-0.00092833i,0.0019606-0.0002781i,0.0024575+0.00050202i,0.0020086+5.4887e-05i,0.0010226-0.00045087i,-0.00020836-0.00036617i,-0.0014914+0.00016798i,-0.0033104+0.0013722i,-0.0051068+0.0028514i
0.003363+0.00069301i,0.0038268+0.00017921i,0.0040961-0.00033408i,0.0035283+0.0017569i,-7.9403e-05+0.0049167i,-0.0073844+0.0043611i,-0.007553-0.0011247i,-0.0022091-0.0036229i,-0.00063245-0.0024229i,-0.0019863-0.00077203i,-0.00303+0.00091559i,-0.0026898+0.0016784i,-0.001809+0.0016314i,-0.0017239+0.0008784i,-0.0017972+0.00015044i,-0.00081378-8.2458e-05i,-0.00024943-0.00027723i,0.00028741-0.0003863i,0.00035514-5.9863e-05i,-0.00056722-0.00039251i,-0.00063906-0.0012067i,0.00097092-0.0022169i,0.0030681-0.0037036i
0.0034009+0.0017452i,0.0034583+0.0021229i,0.0023315-6.5832e-05i,-0.00018628-0.0041891i,-0.00044485-0.0096356i,0.0058463-0.009926i,0.0087284-0.0022793i,0.0054801+0.0030141i,0.0028292+0.0025061i,0.00010191+0.0021229i,-0.0017247+0.0025792i,-0.0014315+0.0023469i,-0.00068926+0.0021688i,-0.00068615+0.0015397i,-0.00022014+0.00079023i,0.00099457+0.00142i,0.0015991+0.0016151i,0.0018088-0.00033632i,0.002438-0.0013219i,0.0020707-0.00064084i,0.00082104-0.00011147i,-0.0009218+0.0013282i,-0.0031975+0.0037446i
