-0.0021657-0.0011082i,-0.00091208-0.0018091i,-0.0017384-0.0018095i,-0.0029469-0.0011192i,-0.0026929+0.0013121i,-0.0012478+0.0024407i,-0.00053384+0.0017938i,-0.000633+0.0021685i,-0.00033686+0.0027429i,0.00022556+0.0017889i,0.00013434+0.00079987i,-0.00028268+0.00049686i,-0.00031834-4.1794e-05i,-0.00029407+0.00054897i,0.00027973+0.0008797i,0.00075242+0.00020878i,-0.00041371+0.00054216i,-0.0012473+0.00099685i,-0.00056014+0.001012i,-0.00014436+0.00064232i,-4.9493e-05-0.00035101i,0.00012114-0.00094593i,-0.00023333-0.00068163i
-0.00010198-0.00085415i,-0.00028609-0.0014839i,-0.001356-0.0021808i,-0.0014904-0.0024157i,-0.00089446-0.0011628i,-0.00031444-0.00038407i,0.00021327-6.3134e-05i,-0.0004118+0.00050802i,-0.00075991+0.00049938i,1.4462e-05+0.0004893i,0.00068121+0.00014316i,0.0002071-0.00062811i,-0.00027612-0.00084957i,-4.8943e-05-0.00099179i,0.00011482-0.00065805i,0.00049643-3.6728e-05i,0.00029793-0.00012435i,-0.00046962-0.0007306i,-8.9714e-05-0.00035186i,0.00086183+0.0014338i,0.0003095+0.0016184i,-0.00085784+0.00088808i,-0.00061731+0.00041137i
0.0017817-0.0013008i,0.0017968-0.001367i,0.00045396-0.0031027i,-0.0013964-0.0044587i,-0.0027539-0.003001i,-0.0014842-0.00049654i,0.00030911+0.00094604i,0.00051923+0.00030475i,0.00013728+0.00068065i,0.00042744+0.0012906i,0.00091375+0.0008264i,-0.00028337+0.00052871i,-0.00055141+0.00054467i,0.00024357+0.00037517i,0.00043372-0.00039797i,0.00068355-0.0004097i,0.00026044+0.00034417i,-8.9005e-05+0.00032701i,0.00024556-0.00013902i,0.00032876-0.00019872i,0.00033485-0.00079703i,0.00041938-0.00089918i,-1.4137e-05-0.00017614i
0.00048326-7.5489e-05i,0.00099209-0.0020788i,0.00016828-0.0038849i,-0.00039986-0.0039893i,-5.434e-05-0.0021043i,0.0001451+0.00013946i,0.00038944+0.00061764i,-0.00031917-9.5697e-05i,-0.00084752+0.00017882i,-0.00012452+0.00033848i,6.6673e-05-0.00014833i,-0.00069313-0.00059322i,-0.00037625-0.00085269i,2.9022e-05-0.00079493i,-0.00013495-0.0006386i,-9.919e-05-1.4184e-05i,-0.00029452+0.00069949i,-0.00095115+0.00094932i,-0.00057085+0.00088118i,0.00043471+0.00028346i,-1.0049e-05-0.00030385i,-0.00074876+3.387e-05i,-0.00092854+9.4928e-05i
0.0012453-0.00038116i,0.0019424-0.0024469i,0.002579-0.0039201i,0.0015449-0.0031227i,0.00043852-0.0015506i,-6.4426e-05-5.1221e-05i,-0.00069999+0.00015544i,-0.0010537-0.00050981i,-0.00089774-8.6234e-05i,-0.00029094+0.00061706i,-0.00013892+0.00034205i,-0.00098884+0.00018861i,-0.0016324-4.0123e-05i,-0.0011282-0.00062832i,-0.00059962-0.00074786i,1.8853e-05-0.000211i,7.3402e-05+0.00044403i,-0.00048444+0.00063281i,-0.00035034+0.00036701i,-0.0002038-0.00037188i,0.00062903-0.0012617i,0.001237-0.00076631i,-3.4757e-05-0.00026311i
0.00060772-0.0011283i,-1.7776e-05-0.0035193i,-2.7556e-05-0.0059665i,-0.00059749-0.0061946i,-0.0013031-0.0049517i,-0.0012658-0.0022795i,-0.00019133-0.00038076i,0.00044495-0.00015799i,0.00058794-0.00011299i,0.00026623+0.00049546i,0.00021046+4.3704e-05i,-0.00039242-0.0011244i,-0.00089083-0.0011743i,-9.2402e-05-0.00088683i,0.00046388-0.00023321i,0.00050514+0.00028164i,0.00019034-5.0953e-06i,-0.00026879+0.00012615i,-0.00014779+0.00022336i,8.4647e-05+6.8347e-05i,1.6452e-05-0.00057216i,-0.00039762-0.00043399i,-0.00082325-0.00026935i
-0.0017173+0.00019436i,-0.0005564-0.00074375i,0.00010065-0.00059849i,0.00040354+0.0008764i,0.001205+0.0015228i,0.0014096+0.00010883i,0.00061354-0.00089534i,-0.00031795-0.00014989i,-0.0012108+0.0018905i,-0.001313+0.0026579i,-0.0006041+0.0018683i,0.00038669+0.00071721i,0.00024031-0.00022805i,-0.00036949-0.00033947i,-0.00022908-0.00045751i,0.0002542-0.00065388i,0.00055136-0.00015342i,0.00078051+0.0004065i,0.0013013+0.00069607i,0.00077465+0.00021088i,-0.00021505+0.00024793i,-0.00063428+0.00040773i,-0.00082389+2.6376e-05i
0.00055277+0.0008519i,0.0011934-0.00099723i,0.0016457-0.0034302i,0.00075795-0.0036155i,-0.00023839-0.0026322i,-0.0010037-0.0011425i,-0.0010278-0.00015113i,-0.00092755-0.00019832i,-0.00044078+6.5282e-05i,-0.0004989-0.00018665i,-0.00048839-0.00049975i,-0.00043403-0.00020941i,-0.0006534+0.00022814i,-0.00081416+0.00013817i,-0.00064545+0.00022903i,-0.0002812-0.00012564i,-0.00026235-0.00049235i,-0.00019931+0.00011561i,0.00037269+0.0010123i,8.5325e-05+0.0010977i,-0.00070535+0.00028358i,-0.00020528+0.00012192i,-0.0002786+0.00029257i
-1.3464e-05-0.0013895i,0.00045785-0.0021625i,-3.7828e-05-0.0024191i,-0.0011865-0.0017476i,-0.0016077-0.00088924i,-0.00060858-8.0529e-05i,0.00033128+0.00031566i,0.0008375-0.0005011i,0.00033504-0.00022078i,-0.00055842+0.00018028i,-0.00069943-0.00017596i,-0.00052235-7.0156e-05i,-0.00032971-1.2676e-05i,0.00059692-8.5953e-05i,-0.00012823-6.0173e-05i,-0.0015734+0.00050259i,-0.0018076+0.00077549i,-0.0011375+5.4092e-05i,0.00047167+2.6852e-05i,0.00094789+0.00092007i,0.00023959+0.00084163i,-0.00048043+6.9513e-05i,-0.0013349-0.00055875i
-0.0014981-0.00074818i,-0.00027469-0.00080871i,0.00049044-0.00051869i,0.0015563-0.00071608i,0.0024771-0.00049684i,0.0018376-0.00076127i,0.00063252-0.0012246i,-0.00089587-0.0006349i,-0.0013823+0.00058396i,-0.00064319+0.0013376i,-0.00022243+0.00089819i,-0.00033163+0.00011988i,-0.00072312+0.00015927i,-0.00088863+0.00010879i,-0.00047168-4.2436e-06i,0.00035358+0.00032476i,0.00054814+0.00053829i,0.00015471+0.00090458i,-0.0003271+0.00097955i,8.1736e-05+0.00022024i,0.00078257-0.00063149i,0.00018573-0.00068644i,-0.00068542-6.8144e-05i
-0.00046249-0.0017486i,-0.001214-0.0010046i,-0.0016911-0.0010724i,-0.001665-0.0018355i,-0.0014825-0.00080123i,-0.00018157+0.00080423i,0.00043275+0.00058046i,-4.1941e-05+0.00052809i,-0.00051814+0.0010422i,-0.00058864+0.0013216i,0.00041716+0.0012587i,0.00045106+0.00081866i,-3.6561e-05+0.00020644i,9.0883e-06-0.00022365i,-0.00014901-9.0522e-05i,-3.5664e-05+0.00014542i,0.00064455-0.0001957i,0.00079501-7.9968e-05i,0.00069852+0.00026128i,0.00033505+0.00023917i,0.00030281-0.00033699i,0.00050312-0.0007227i,-0.00020208-0.00054627i
