-0.0017925+0.00094392i,-0.00083319-0.00021638i,-0.0017631-0.00038621i,-0.0016866+0.00096428i,-0.00093188+0.0025884i,2.0184e-05+0.0028873i,0.00058583+0.0017632i,0.00096263+0.00063459i,0.001132-0.00044701i,0.00098056-0.0002674i,0.0011889-0.00022295i,0.0011023-0.00094122i,0.00067631-0.00010481i,8.7495e-05+0.00062495i,-3.2818e-05+0.00036455i,-0.00021357+0.00027878i,-9.8747e-05+0.00034081i,9.1739e-05+0.0001817i,0.00041428-0.00015497i,0.00058888-0.00052606i,-0.00015821-0.00097815i,-0.00052763-0.00099925i,-7.1727e-05-0.00025329i
-0.00087063+0.0032994i,0.00021975+0.0031261i,0.0017279+0.0025947i,0.0012997+0.0011824i,0.00048602-0.00046657i,-0.00048504-0.0011168i,-0.00075605-0.0012496i,0.00039575-0.00042371i,0.00098209+0.00062371i,0.00090522+0.00047208i,0.00044969-0.00044143i,-0.00013444-0.001461i,0.00012491-0.0016726i,0.00012585-0.0014518i,-0.00048521-0.0013044i,-0.00064263-0.00060786i,0.00010234-8.2245e-05i,6.2232e-05-6.5663e-05i,-0.00016026-7.4869e-05i,-0.00027587-0.00011392i,-0.00043005+0.00053981i,0.00026013+0.00080257i,0.0014286+0.0006231i
0.00015616+0.00099224i,0.00078448+0.00062369i,3.5255e-05-0.00035347i,7.7812e-05-0.00018591i,-0.0002113+0.0001601i,-0.0008057-0.00069363i,0.00049015-0.00065641i,0.001311+0.00038912i,0.00072706+0.00070904i,-0.00010249+0.00082181i,-0.00024733+0.00067308i,0.00032064+0.00032769i,-0.00014913+0.00052718i,-0.00088233+0.00068458i,-2.0844e-05+0.00032164i,0.00036075-0.00011747i,-0.00029225-0.00031206i,-0.00052261-0.0007939i,2.9604e-05-0.00095656i,0.00013844-0.00075052i,-0.00040138+3.8592e-05i,-0.00042541+0.00084126i,-5.2559e-05+0.00062807i
0.0013885+0.0011667i,0.0013079+0.00090776i,0.0023008-0.00022137i,0.0025042-0.00050012i,0.00088881-0.00050576i,-0.00058754-0.00090251i,-0.00016037-0.00027179i,0.00036751+0.00025288i,-0.00033452-0.00022763i,-0.000883-0.00066305i,-0.00036196-0.00068477i,0.00024677+0.00012981i,-0.00029198+0.00027788i,-6.7369e-06+0.00018785i,0.00016824-0.0001029i,0.00020324-0.00061178i,0.00023284-0.00050447i,0.00067614-0.00019244i,0.0011206+0.00024201i,0.00032282+0.00028554i,-0.00032461-0.00041671i,-0.00042424-0.0011063i,-0.00073433-0.00090625i
0.00082154+0.0013198i,0.0010091+0.0014893i,0.0011745+0.0021466i,0.0014199+0.0025344i,0.0009357+0.0013795i,0.00087768+0.00095031i,0.00047758+0.0013625i,0.00029261+0.0006331i,0.00096376+9.0665e-05i,0.00080537+0.00025529i,-5.4257e-05-0.00023885i,-0.00028376-0.0010252i,-0.000392-0.00033018i,-0.00066563+2.9655e-07i,-0.00019099-0.00031713i,0.00047214-5.9831e-05i,-0.00023209+0.00011852i,-0.00059785-6.401e-05i,-0.00015706-0.00033241i,-0.00021654-0.00028306i,-0.00075234+0.00054255i,-0.00074214+0.00080616i,-0.00055256+0.00023975i
-0.001039-0.00091595i,-0.00083028+0.00019543i,-0.00064166+0.00094497i,-0.00065952-0.00034135i,-0.0014291-0.00050396i,-0.0017028+0.00056184i,-0.00047001+0.0011104i,-0.00025888+0.00064793i,-0.0003457-0.00010746i,-0.00022748-0.00028488i,-0.00087266-4.7611e-05i,-0.0010148+0.00031708i,-0.00080708+0.00039997i,-0.0015138+5.0549e-05i,-0.0018695+0.0001108i,-0.0014872+0.00044369i,-0.00097837-0.00042535i,-0.0004501-0.00046262i,-1.9367e-05+0.0007691i,-0.00034038+0.00075262i,-0.00047775+0.00031771i,-0.00058592+9.0461e-06i,-0.00024813-0.0004201i
0.00041426+0.0030618i,0.0010622+0.0019923i,0.0010967+0.0018356i,-0.00025602+0.0012852i,-0.0010616-0.00061311i,-0.00076665-0.0002383i,-2.5859e-05+0.00024307i,0.00045499-0.00023116i,0.00082094-0.00060462i,0.00033189-0.0005445i,0.00067293-0.00011093i,0.0008622+0.00012439i,0.00056621+1.6442e-07i,0.00017543-0.00014915i,-0.00050349-0.00035529i,-0.0001277-3.305e-05i,-0.00012855+0.00066263i,-0.00071629+0.00037581i,-0.00050181+0.00023949i,5.7834e-05+0.00051764i,0.00018707+0.00059664i,-0.00022371+0.0003439i,-0.00010437+0.00019883i
-0.0016625+0.00095982i,-0.0010811+0.00053913i,-0.00032929-5.0111e-05i,-0.00026242-0.0013878i,0.00011279-0.001621i,0.00096046-0.00071499i,0.0013267+2.6442e-05i,0.0011805+0.00056823i,0.00035672+0.00037945i,-0.00029009-0.00010156i,-0.00021242+0.00030529i,7.4454e-05+0.00082021i,-0.00061174+0.00073645i,-0.0012351+0.00038869i,-0.00089356+0.00029656i,-0.00094119+0.00028868i,-0.00090465+0.00069005i,-0.0010197+0.00032987i,-0.00096776-0.00038284i,-0.0002284-0.00070175i,0.0001605-0.00027221i,-0.00024697+7.3032e-05i,-0.00016488-0.00020358i
0.0015168-0.00057187i,0.0020524-0.00026547i,0.0010032+0.00010714i,0.00042827+0.00018489i,0.00039789+6.7652e-06i,0.00026975+0.00029008i,0.00036902+0.0014777i,0.00052526+0.0016001i,0.00014696+0.00079992i,-0.00063391+0.00011782i,-0.00094353-0.00018065i,-0.00044045-0.00029758i,0.00063477-0.00024548i,0.0010785-0.00023474i,0.00082692-8.7687e-06i,0.00033593-0.0004777i,0.00028957-0.001012i,0.00066573-3.2114e-05i,0.00040871+7.0981e-05i,0.00019371-0.00093099i,0.00033618-0.00075455i,0.0008083-4.7965e-05i,0.00096543+0.00034881i
-0.00046385+0.00039405i,0.00058113+0.0011135i,-5.7446e-05+0.00031791i,-0.0010523-4.0789e-05i,-0.00054042+0.00061239i,-0.00056938+0.0013271i,-0.00051562+0.0017072i,0.00028703+0.0011949i,0.000282+0.00028968i,0.00011068+0.00024158i,0.00033428+0.00026596i,0.001235-0.00050531i,0.0013276+0.00019109i,0.0006411+0.0011019i,-0.00012796+0.00058731i,-0.00063356-0.0002602i,0.0002208+0.00026549i,0.00029214+0.0010999i,0.00016067+0.00077248i,0.00037192+0.00057182i,0.00035653+0.00023492i,0.00022745-0.00037083i,0.00028419-0.00014313i
-0.00028548+0.00041726i,0.0003021-4.4013e-05i,0.00013399-0.00036047i,0.00014942-0.00068173i,-9.3007e-05-0.00011325i,-0.00096251+0.0010039i,-0.0015924+0.00099299i,-0.0013325-1.6441e-05i,-0.00072133-0.00043907i,0.00011588-0.00043282i,0.00087218-0.00074077i,0.00072294-0.00082027i,0.00011517-0.0010138i,-9.7794e-05-0.0011024i,-0.00010403-0.00058646i,-0.00042965-0.00064518i,-0.00041802-0.00091252i,6.622e-05-0.00077729i,0.0004291-0.00086384i,0.00081913+0.00010973i,0.00058214+0.0012511i,0.00045877+0.00073324i,-6.6653e-06+9.0486e-06i
