-0.0018976-0.00050922i,-0.0016282+0.00042938i,-0.0019875+0.00099265i,-0.0019794+0.0013764i,-0.0020621+0.0021465i,-0.0017475+0.0021981i,-0.00054493+0.0017092i,0.00048268+0.0013121i,0.00073595+0.0012005i,0.00079971+0.0010483i,0.00022469+6.5692e-06i,-0.00012179-0.00087488i,-0.00011982-0.0010626i,-0.000429-0.00073283i,6.9971e-05-0.000257i,0.00079449+0.00017665i,0.0001415+8.2032e-05i,-0.00045427-0.00058115i,-0.00042126-0.0003i,-0.00039188-0.00045319i,5.5317e-05-0.00045322i,-0.00032315+0.00086348i,-0.00049417+0.00079529i
-0.0017268+7.7928e-05i,-0.00085242-0.00020458i,-0.00050478+0.00019135i,-5.0049e-05+0.00061338i,0.00013067+0.00077809i,-0.00012261+0.0012131i,-0.00033216+0.001684i,-0.00024926+0.0014967i,-0.00058819+0.0011395i,-0.00059309+0.00044801i,0.00012764+9.586e-05i,8.3566e-05-0.00015178i,-0.00028123-5.7747e-05i,-0.00038613+0.00061031i,-0.00075868+0.00048453i,-0.00024366+0.000582i,-0.00048679+0.00095177i,-0.0012646+0.00056155i,-0.0010691+0.00035978i,-0.0009622+0.00045332i,-0.00062636+9.0686e-05i,0.00055214-0.00022975i,0.0013267-0.0004176i
0.001096+0.0006669i,0.0010617+0.0011514i,0.0002145+0.0020144i,-0.00042347+0.001324i,-0.00018793+0.00021579i,-0.00038777+0.00077345i,-0.00095368+0.00059802i,-0.0005658+0.00022444i,0.00016533+0.00089588i,0.00057016+0.00056831i,0.00022931-0.00024397i,4.5523e-05-0.0004161i,0.00017689-0.00061419i,0.00059836-0.00056559i,0.00049029-0.00043679i,0.00011275-0.00035674i,6.3283e-05+0.00027241i,0.00029815+0.0006261i,-2.5024e-05+0.00031522i,-0.00018737-0.000117i,-0.00017177-0.00054998i,-0.00066143-0.00022349i,-0.000632+0.00029301i
-0.00059229-0.0012825i,-0.0015065-0.0012966i,-0.0015735-0.00050317i,-0.0014409-8.1801e-06i,-0.0013154-0.00021087i,-0.0010341-0.00026419i,-0.0014054+0.00029218i,-0.0013768+0.00086205i,-0.00014417+0.00028452i,0.00063319-0.00038388i,-0.00027797-0.0003165i,-0.00071519-6.6433e-05i,-0.00013127+0.00036117i,-0.00027329+0.00041089i,-0.00054465-0.00011733i,-0.00014205+3.8574e-05i,7.3109e-05+0.00010595i,-8.8648e-05-0.0004422i,0.00040343-0.0011735i,0.00037542-0.0015172i,-8.8035e-05-0.00066924i,0.00027743+0.00022518i,0.00044345+0.0004371i
-0.0021981-0.0028882i,-0.0021486-0.00080533i,-0.0032629+0.0022732i,-0.0027236+0.0028757i,-0.00060071+0.0020454i,0.00049802+0.00076499i,0.00047499+3.0959e-05i,-8.6417e-05+0.00026201i,-0.00046246+0.000839i,-0.0013447+0.00069451i,-0.00079064-0.00014536i,0.0007388-0.0001057i,0.00090308+0.00032468i,-4.3869e-05-0.00025521i,8.2769e-06-0.00039747i,-2.6799e-05+0.00073061i,6.7957e-05+0.0004563i,0.00066611-0.00031582i,0.00036728-0.00042543i,-0.00034415-0.00025929i,-0.0014239-8.7403e-05i,-0.0015224+0.00027301i,-0.00067083+0.00068583i
-0.0016089+0.00091343i,-0.0019712+0.0012357i,-0.001722-0.00038666i,-0.0022975-0.00080934i,-0.001716+2.5679e-05i,-0.0006795+0.0012083i,0.00014833+0.0019955i,0.00030978+0.0014805i,6.2938e-05+0.00062236i,-0.00017498+0.00027194i,-0.00065991+0.00016989i,-0.00069467+0.00015884i,-0.00056565+0.00031903i,-0.00019962+0.00087961i,5.3079e-05+0.00042886i,-0.0002554+5.7051e-05i,-0.00016586+7.2247e-05i,-4.8207e-06-0.00021197i,-0.00032823-0.000264i,-0.00014687-0.00072228i,0.00038728-0.00076001i,0.00030533-0.00086827i,0.00026042-0.0013238i
-0.00065704-0.0020054i,-0.00076443-0.0011357i,-0.00084932+0.00072222i,-0.00048709+0.0016526i,0.00017987+0.001468i,-0.00030504+0.001352i,-0.00065653+0.00052395i,0.00038603-0.00020961i,0.001463+0.00014187i,0.0020696+0.00096007i,0.001849+0.0016294i,0.0010229+0.0014481i,0.00033382+0.00031441i,0.00077315-7.5671e-05i,0.0011162-0.0002212i,0.00011775-0.0010016i,-0.0010547-0.0013136i,-0.0010695-0.00084584i,-0.00056231-0.0008494i,-0.00027036-0.00059382i,-0.0003178+5.6541e-05i,-0.00044473+0.00059921i,3.334e-05+0.00043523i
-0.00020111+0.0010853i,0.0006995+0.00023281i,0.0011263-7.4027e-05i,0.00086807-0.00059199i,0.0011792-0.00046086i,8.9096e-05+2.5913e-05i,-0.00036666-0.00018936i,-0.00038611+0.00051775i,-0.00019817+0.00088631i,0.00042053+0.00053211i,0.00016328+0.00036907i,0.00013095-1.8123e-06i,0.00068064-3.4057e-05i,0.000158-9.6277e-05i,-0.00041089+2.2147e-05i,-0.00020534+0.00043083i,1.6212e-05+0.00038552i,0.00041437+0.00032343i,0.001077-0.00037172i,0.0012115-0.00075667i,0.00053797-0.0002993i,-7.0184e-05+0.00018082i,-0.00021095-0.00021698i
-2.1639e-06-0.0029128i,-0.00030903-0.0026118i,-0.0013042-0.0013492i,-0.0022357+0.00050833i,-0.0016874+0.001185i,-0.0011373+0.00044244i,-0.00068668-5.6011e-05i,4.9451e-05+9.2164e-05i,0.00050164+0.00039491i,0.001377+0.0006917i,0.0013455+0.00077369i,0.00014395+0.0006157i,-0.00061399-0.00012972i,-0.00092237-0.00057201i,-0.00048688-0.00067388i,0.00034888-0.00080173i,0.0011198-0.0011699i,0.00064831-0.00077344i,0.0003107+1.2818e-05i,0.00029361-8.988e-05i,-0.00019235-0.00049552i,3.6219e-05-0.00010258i,6.7096e-06+0.0011504i
-0.00036164+0.0036587i,-0.00015575+0.0026823i,0.00070335+0.0016023i,0.0017484+0.0004412i,0.0015626-0.00027661i,-0.00011112-0.0011002i,-0.00092515-0.00050801i,-0.00034727+0.00050864i,-1.7341e-05+0.00093046i,2.9751e-05+0.0011728i,0.00022854+0.00024043i,0.0002829-0.00047119i,0.00040214+2.5723e-05i,0.00073668+0.00076868i,0.0010618+0.00085752i,0.00039894-0.00010116i,-0.00075427-0.00055361i,-0.00047613+0.00022246i,0.00080259+0.00050752i,0.00020304+0.00043295i,-0.00093984+6.7221e-06i,-0.00062484+9.1384e-05i,-7.3111e-05+0.00038588i
0.001643-0.001852i,0.00068818-0.0011482i,7.198e-05-0.00046067i,-0.00043076-0.0005336i,5.265e-05-0.00059807i,-0.00010403-0.00034531i,-0.00087074+0.00032421i,-0.0004813+0.0010097i,-5.0072e-05+0.0011303i,0.00027933+0.00078449i,0.00016065+0.00063957i,0.00023954+0.00084966i,0.00033598+0.00032731i,0.0002744-0.00072973i,0.00010424-0.00051293i,0.00044261+0.00029985i,0.0012515+0.00074305i,0.0010566+0.00082425i,0.00035997+3.2579e-05i,0.00020847-0.00047474i,0.00076015-9.2733e-05i,0.00039269+0.0003852i,-0.0002279+0.00036115i
-0.0013318+0.0021563i,-0.00063966+0.0032656i,0.00029896+0.0032272i,0.00056922+0.0022889i,0.00063962+0.0014524i,0.00049356+0.00059358i,0.00025797+0.00051787i,0.00034112+0.00049314i,0.00036595+0.00066633i,0.00022555+0.00039253i,0.00017935+1.4408e-06i,0.00037286-0.00020553i,0.00061478+3.6334e-05i,0.00037445+0.00028751i,-0.00024342-0.00010247i,0.00051915-0.00074262i,0.0012188-0.0010804i,0.00058858-0.000856i,-0.00031656-0.00063801i,-0.00050913-0.00021731i,-0.00070107+0.00016119i,-0.00051181+0.00025145i,-6.6141e-05-0.00010009i
0.0019318-0.0018657i,0.00077734-0.0019492i,5.1715e-05-0.00031607i,-0.00044905+0.00081906i,-0.00085593-5.2705e-05i,-0.0011417-0.00088957i,-0.00038627-0.00075907i,-0.00032134+0.00027551i,3.1074e-05+0.00086753i,0.00063746+0.00064827i,-0.00058221+9.6756e-06i,-0.0010228-0.00029229i,-5.3568e-05-0.00056902i,0.0002701-0.00059733i,0.00018352-0.00059937i,0.00040239-0.00071366i,0.00068647-0.001133i,0.00082101-0.00085197i,0.00020761+6.6163e-05i,-0.00055531+0.00041979i,-0.0006664+8.6891e-05i,-4.7924e-05-0.00077921i,0.00044476-0.00094497i
-0.0020598+0.00032487i,-0.0017004+0.0012576i,-0.00076141+0.0019199i,7.3922e-05+0.0017491i,0.0001668+0.0013415i,-0.00045708+0.00026111i,-0.00067198-0.00039885i,-0.00029054+0.00042865i,-0.0004634+0.00087011i,-0.00036925+0.0010994i,0.00013371+0.00055959i,0.00033172+5.6204e-05i,0.00079029+0.00050767i,0.00068133+2.0515e-05i,0.00013392-0.0013309i,0.00012146-0.00086354i,-0.00034782-4.3089e-05i,-0.00074046-1.8787e-05i,-0.00042316+0.00046324i,0.00023082+0.00092458i,-0.00023723+0.0008161i,-0.00014791+0.00026267i,0.00017129+0.00018327i
