-0.0032565+0.0002325i,-0.002368+0.0001057i,-0.0031872+0.00095495i,-0.0031824+0.0015039i,-0.0018758+0.0025052i,-0.00082877+0.0031607i,0.00019953+0.0027459i,0.001058+0.0027348i,0.00078727+0.001538i,0.00050855+0.00021015i,0.0009451+0.00021449i,0.0010524-0.00034851i,0.00042552-0.00089158i,7.4094e-05-0.00057518i,0.00038136-0.00014235i,-0.00012103+0.00027399i,-0.00021681+0.00068057i,0.00012047+0.00042016i,-0.00046181+0.00046092i,-0.00063752+0.00025358i,0.00041251-0.00056624i,0.00092816-0.0010916i,0.00054828-0.0010627i
0.0019769+0.0027372i,0.0026105+0.0014011i,0.0027219-1.8068e-05i,0.0022371-0.0010344i,0.0011583-0.0011089i,0.00015838-0.00062874i,0.00010271+0.00013843i,0.00083682+0.00080517i,0.00097382+0.00029105i,0.0001522-0.00054234i,-5.6076e-05-0.00079331i,0.00025684-0.0010439i,0.00034141-0.0010238i,0.00026946-0.00084086i,0.00039848-0.00036848i,0.00057689-0.00042188i,0.0003412-0.00064794i,0.00056134+0.00027206i,0.0016028+0.00047106i,0.001507+0.00070045i,0.00036583+6.1618e-05i,0.00024568-0.00098646i,0.00064131-0.00059642i
-0.0011106-0.00031713i,-0.00088309-0.00041431i,-0.0010725-0.00034332i,-0.00066636-2.7018e-05i,-0.00063515+0.00018699i,-1.2408e-05+0.0013893i,0.00041997+0.0022209i,0.00073273+0.0015641i,0.00064307+0.00088827i,0.00016282+0.00098543i,-0.00019625+0.00083107i,-0.000525+0.00093057i,-0.00022948+0.0015039i,0.00077636+0.0011185i,0.0012633+0.0004524i,0.000738+0.00049683i,-7.2279e-05+0.00084458i,-0.00080689+0.00066386i,-0.00025455+0.00036607i,0.00085822+0.00059569i,0.00055115+0.00086203i,0.00027806+0.00062754i,0.00070372+8.9492e-05i
0.00082371+0.0031799i,0.0019271+0.0020452i,0.0013859+0.0010238i,0.00020554+0.00040216i,-0.00049534+0.00084233i,-0.00026161+0.00083909i,0.00022473+0.00054769i,0.00041728+0.00091919i,0.00062023+0.00087308i,0.00082067+0.0001986i,0.00050405-3.0576e-05i,0.00017993-0.00028374i,0.00038708+0.0001239i,0.00044955+6.4504e-05i,0.00047572-0.00040643i,8.9972e-05-0.00025668i,-0.00030053-0.00023835i,-8.0851e-05+9.4694e-05i,-8.4297e-05+0.00011816i,-0.00047854-7.2681e-05i,-0.00025633-0.00072895i,0.0004976+0.00014321i,0.0007545+0.00044136i
0.00027909+0.00088989i,0.00032852-0.00044598i,5.2163e-05-0.00050994i,-0.00013875-0.00014514i,-5.0729e-05+3.6052e-05i,0.00019744+2.6987e-05i,0.00011284+0.00056708i,-0.00013234+0.00066557i,0.00092454+0.00055443i,0.00086635+0.00024839i,-0.00062826-0.00016768i,-0.0011978-0.00041251i,-0.00039635-0.0001609i,0.00033011-3.8327e-06i,0.00021598-0.0009649i,0.00063761-0.00095844i,0.00060081-0.00036162i,-0.00022359-0.00050856i,-0.00072151-0.00040862i,-0.00027892+6.0603e-05i,0.0011912-1.5814e-05i,0.001269-7.2004e-06i,-3.4364e-05-0.00015766i
0.00035395+0.0020664i,0.00088836+0.0002934i,0.001181-0.0015723i,0.0010363-0.0013062i,0.00091178-0.00062259i,0.00087564-0.00068596i,0.00039014+0.00039956i,-5.5799e-05+0.00080833i,0.00029684-0.00014844i,0.00082422-0.00073055i,0.00026449-0.00024769i,0.00019684+0.00026348i,0.00025906+0.00069835i,-0.00043743+0.00032067i,-0.00024221-0.00017929i,0.00013831-7.6914e-05i,0.0002875-0.00011171i,0.00033722-0.00013136i,0.00033113-0.0002234i,0.00061791-9.0194e-06i,0.0003914+0.00070898i,0.00080112+0.00043015i,0.00070703-1.8758e-05i
0.0017196+0.0034275i,0.0024474+0.0014872i,0.0024491+0.00031419i,0.0019791-0.00055136i,0.0017336-0.00076262i,0.00091179-0.00055238i,-0.00011113+0.00071512i,-0.00046052+0.001661i,-7.7621e-05+0.0014671i,-7.6385e-05+0.0006114i,-0.00060461+0.00022757i,-0.00082024-0.00044483i,-0.00035685-8.8125e-05i,0.00036036+0.00099539i,0.00065548+0.0015842i,0.00032167+0.0015571i,0.00034648+0.00035875i,-8.9409e-05-0.00082887i,-4.4879e-05-0.00058828i,0.00093115-5.9255e-05i,0.0013791-0.00020655i,0.0012424-0.00018911i,0.001118-6.8283e-06i
-0.00045007+0.00044285i,-0.00021983+9.1324e-05i,-0.00010565-0.0011652i,-0.00059955-0.00068156i,-0.00035415+0.00092109i,2.6392e-06+0.0016385i,-0.00022168+0.0016284i,0.00035667+0.001548i,0.0001364+0.00091317i,-0.00085112+0.00021948i,-0.0010146+5.4313e-05i,-0.0010838-1.1909e-06i,-0.00047894-0.0004076i,-0.00032806-0.00039544i,-0.00073347-0.00056715i,-0.00032189-0.00028596i,0.00054092-8.6162e-05i,0.0005449+0.00017811i,0.00036686+0.00086574i,0.00077895+0.00078429i,0.00075741+9.1896e-05i,0.00042197-0.00057123i,0.00022493-0.0013524i
0.001395+0.00070954i,0.001076+0.00033634i,-0.000572+0.00032173i,-0.0018629+0.0001223i,-0.0013463+0.00011755i,-0.00063446+0.0012556i,-0.00041573+0.002183i,0.00017641+0.0018085i,0.00043606+0.00076845i,0.00032264-0.00060766i,0.0011419-0.0012664i,0.00121-0.00025438i,0.00058176+8.3746e-06i,0.00017183-0.00017377i,-3.3092e-06+0.0002228i,2.6273e-05+1.686e-06i,-0.00020122-0.00010552i,-7.5621e-05+0.00066969i,0.00044236+0.00093906i,0.00063043-0.00011304i,0.00085063-0.00081889i,0.00078728-0.0010103i,0.00076075-0.00090809i
0.0021725+0.0026214i,0.0018476+0.00036185i,0.0017475-0.00074174i,0.0015648-0.00038524i,0.0011694-3.8056e-05i,0.00066286-0.00033917i,2.7172e-05+0.00027807i,-8.9008e-05+0.00086654i,0.00088198-9.4809e-05i,0.0007755-0.0010879i,0.00076547-0.00081392i,0.00099908-0.00039359i,4.828e-05-0.00092071i,-0.00062628-0.00041792i,-0.00012224+0.0008014i,7.9713e-05+0.00034915i,0.00041469-0.00045698i,0.00086187+0.00023856i,0.00035281+0.00048663i,0.00016267-6.0919e-05i,8.8533e-06+0.00041578i,0.00015489+0.0010326i,0.00056231+0.0013346i
8.424e-05+0.0047309i,0.00098296+0.0033017i,0.0008088+0.00091586i,0.00071024+8.4676e-05i,0.00064534+0.00019674i,2.1032e-05+0.00049181i,-0.0002062+0.00080146i,-0.00026314+0.0005547i,-0.00064243+0.00034085i,-0.0005596-8.6746e-05i,-0.00015208-6.3863e-05i,-0.00013846-0.00017667i,-0.00065645-0.00016311i,-0.00079134+0.0001213i,-0.00011253-7.5125e-05i,-0.0003412-0.00028519i,-4.0287e-05-0.0011632i,0.00074115-0.0017674i,0.00053682-0.0013363i,0.00014038-0.00017786i,-0.00039524+0.00038949i,-0.00027316+0.00065902i,2.8725e-05+0.00055364i
