-0.0032565+0.0002325i,-0.002368+0.0001057i,-0.0031872+0.00095495i,-0.0031824+0.0015039i,-0.0018758+0.0025052i,-0.00082877+0.0031607i,0.00019953+0.0027459i,0.001058+0.0027348i,0.00078727+0.001538i,0.00050855+0.00021015i,0.0009451+0.00021449i,0.0010524-0.00034851i,0.00042552-0.00089158i,7.4094e-05-0.00057518i,0.00038136-0.00014235i,-0.00012103+0.00027399i,-0.00021681+0.00068057i,0.00012047+0.00042016i,-0.00046181+0.00046092i,-0.00063752+0.00025358i,0.00041251-0.00056624i,0.00092816-0.0010916i,0.00054828-0.0010627i
-0.00055688+0.0010083i,0.00042675+0.00067628i,8.76e-05-0.00020736i,-2.8062e-05-0.0004348i,0.00015232+0.00072553i,0.00040201+0.00099564i,0.00014652+0.00082739i,0.00060455+0.00052999i,0.00063196+0.0007736i,-0.00041452+0.0012207i,-0.0004963+0.00068691i,0.00021881-0.00028759i,0.00022663-0.00057415i,0.00031871-7.7146e-05i,0.00017665-0.00015795i,-0.00038298-0.00033801i,-0.0003586-0.0003769i,0.00018573+0.00033669i,0.0005568+0.00092875i,0.001131+0.00045738i,0.00055891+7.1324e-05i,0.00018426-0.0004877i,0.001009-0.0010865i
-0.00047048+0.0016824i,-0.00038112+0.00089969i,-0.00052483-0.00020504i,9.2077e-05-0.00072376i,0.00027713-7.1683e-05i,2.7679e-05+0.00075367i,-8.2617e-05+0.00078995i,-0.000211+0.0010415i,0.00034332+0.00065453i,0.0007483+0.00022279i,0.00018349+0.00014232i,-0.00063734-0.00061845i,-0.00022031-0.0011255i,0.00034017-0.001145i,0.00029899-0.00059916i,9.9605e-06+0.00048051i,-0.0007514+0.00036659i,-0.00078865-0.00028732i,0.00014597-0.00039282i,0.00027461-0.00037868i,0.00054458-0.00020176i,0.0011435+0.00011588i,0.0015099-2.3243e-05i
0.0021182+0.001961i,0.0028524+0.00016561i,0.0021931-0.0007728i,0.0012249-0.00021001i,9.251e-05+0.00094195i,-0.00089621+0.0014859i,-0.00072284+0.0011275i,-0.00041123+0.0011458i,0.00013587+0.0014547i,0.0011528+0.00020221i,0.0008191-0.0008918i,0.00017535-0.00069319i,0.00081915-0.00014105i,0.00070694+0.0001065i,0.00013148+0.00025678i,6.935e-05-1.6934e-05i,0.00018733+0.00010011i,0.00088014+0.00047996i,0.0010369+0.0001037i,0.00066164-1.3466e-05i,0.00063716-7.6091e-05i,0.00031114-0.00018963i,0.00033208+0.00015205i
-0.00011515+0.0040324i,0.0011924+0.0017474i,0.0019622-0.00067468i,0.0019751-0.0011492i,0.001602-0.00089349i,0.00048691-2.2555e-05i,-0.00015391+0.0012128i,-0.00021313+0.0016894i,-0.00015566+0.00097944i,5.6465e-05+4.0771e-05i,0.00017233-0.00011885i,0.00073162-0.00041197i,0.0008653-0.00047914i,0.00062632+0.00019389i,0.00070576+0.00062879i,0.00066684+0.00016093i,0.00037674+0.00015735i,-0.00011854-7.7702e-05i,0.00023283-0.00034118i,0.000879+7.8664e-05i,0.0007269+0.00019244i,0.00053491-0.00019778i,0.00068889-0.00029348i
0.0017384+0.0037479i,0.0016203+0.0025792i,0.00088145+0.00032808i,0.00014124-0.00084732i,-0.00048407-0.00044726i,-0.00043772-6.9847e-05i,0.00028938+0.00079312i,0.00060243+0.0012989i,0.00064658+0.0010456i,0.0003845+7.3216e-05i,0.00066033-0.0001071i,0.00062015+0.00039756i,-0.00079909-0.0002861i,-0.00070097-0.0012695i,-0.00019587-0.0010749i,0.00019316-0.00036326i,4.9117e-05-0.0003934i,-0.00044897-9.5567e-05i,-0.00017833+0.00072006i,0.00025185+0.00028505i,0.0005726-0.00078469i,0.00090359-0.00052488i,0.00051175+0.0002096i
-0.0011975-0.0011186i,-0.00055032-0.001447i,-0.00020029-0.0019355i,-0.00050626-0.00060421i,-0.0014669+0.00082039i,-0.0018193+0.00077419i,-0.0018583+0.00093851i,-0.00093349+0.00076196i,0.000254-6.4148e-05i,0.00013444-0.00053008i,0.00021941-0.00012072i,0.00058678-7.8928e-05i,0.00086784-0.00021587i,0.00047289+0.00015293i,8.5465e-05+0.00017893i,0.00039832+0.00019558i,0.00056973+0.000179i,-0.00012922-0.00037645i,-0.00049424-0.00061322i,-0.00047667-0.00069118i,-0.00040041-6.9245e-05i,-0.00078761+0.00087868i,-0.00057398+0.00039744i
-0.0013563+0.0040213i,-0.00022725+0.0033893i,3.948e-05+0.0022269i,0.00014849+0.0012434i,0.00052923+0.0012137i,0.00021643+0.0013783i,-0.00024419+0.0016612i,-0.00073258+0.0017101i,-0.0006066+0.00079696i,-0.00015413+0.00042849i,-0.00033831+0.00015465i,-0.00067068-3.3264e-05i,-1.7217e-05+0.00017832i,0.000304-0.00028225i,-0.00066634-0.00044021i,-0.0016019-0.00036666i,-0.001057-0.00026804i,0.00030851+0.00012243i,0.00018858+0.0012085i,0.00055273+0.0013431i,0.0015883+0.00063587i,0.00084813+0.00066683i,0.00035368+0.00048532i
0.0024563-0.00080141i,0.0029694-0.0020328i,0.0018419-0.0028563i,0.0004381-0.0026925i,-0.0002473-0.001289i,-6.2077e-05+0.00043101i,0.00023729+0.00087314i,0.00025388+0.00081913i,0.00047627+0.00034195i,0.00043953+3.3567e-05i,-0.00035564+0.0003994i,-0.00054427-0.00013054i,-0.00088387-0.0006916i,-0.00057121-0.00046786i,-0.00013332+0.00049412i,-0.00056629+0.0012798i,-0.00012953+0.0012387i,0.00088266+0.0010093i,0.00086598+0.00044069i,0.00077526+0.00057056i,0.00070425+0.0010953i,0.00055567+7.6792e-05i,0.00033757-0.0003655i
-0.00077932+0.00293i,-0.0013904+0.0014077i,-0.0014375-5.3912e-05i,0.00011159-0.00027148i,0.00080474+0.00071682i,8.3287e-05+0.0012659i,-0.00031066+0.0015762i,-0.00040786+0.0015997i,-0.00031452+0.0011132i,-0.0003587+0.00033963i,-0.0004787-0.00010591i,-0.00025499-0.00058942i,-0.00019352-0.001719i,-0.00017262-0.0015128i,0.0003488-0.00038131i,0.00041374-0.00012083i,9.8038e-05+0.00025776i,0.00069016+0.0002636i,0.00061239+0.00016583i,9.596e-05+3.8748e-05i,0.00022929-0.00029662i,0.00038378+0.00033363i,0.00051703+0.0002606i
0.00068389+0.0022979i,0.0018566+0.0013276i,0.0013118+0.00022757i,-0.00026277+0.00019934i,-0.00068401+0.00010101i,-0.00036648-2.2713e-05i,-0.00067969-0.00046019i,-0.00074752+4.1716e-05i,-0.00021113+0.00061763i,-0.00038855+0.00036701i,-0.00058343+0.00017118i,-0.00033824+5.4447e-05i,0.00015549-0.00019288i,0.00075+0.00012706i,0.00041513+0.00027091i,0.00063891-0.00030894i,0.0012855-0.00049716i,0.00095694-0.00065073i,-0.00025535-0.00026147i,-0.0006564+0.00065204i,0.00035506+0.0010782i,0.00077625+0.0010981i,-4.1015e-06+0.000749i
-0.0013009+0.0019618i,2.2673e-05+0.00082078i,0.001151+0.00034417i,0.00044491+0.0010339i,-0.0007322+0.0012687i,-0.0011455+0.0013917i,-0.00091025+0.0015814i,-0.00054987+0.0015132i,-7.0833e-05+0.00041587i,0.0010468-0.00054086i,0.0008065-0.00033749i,0.00020619-4.0849e-05i,6.7215e-05-1.1233e-05i,1.6007e-05+0.00032119i,0.00030041+0.00061475i,-0.000127+0.0006539i,-0.00040932+0.00047352i,0.00018857+0.0006948i,0.00015392+0.0010383i,-0.00046544+0.00059591i,-0.00068609+0.00068184i,-0.00044418+0.00046496i,1.9228e-05+0.00065284i
0.0011634+0.0029705i,0.0015966+0.0023866i,0.0018923+0.00035929i,0.0014674-0.0011209i,0.00088442-0.00086074i,-7.8614e-05+0.0008403i,-0.0004895+0.0015851i,0.00013373+0.0010271i,0.001189+0.00065902i,0.0012195+0.00040824i,0.00034248-0.00011934i,-0.00020984-0.00053528i,-0.00049059-0.00059407i,-0.00023187-0.00060347i,0.00071487-0.00066077i,0.0011735-0.00076343i,0.0002368-0.00065328i,-0.00056224-0.00023891i,8.7315e-05+6.5913e-05i,0.0007717+0.00015949i,0.00080698+0.00049361i,0.00075046+0.0011034i,5.5483e-05+0.00043549i
-0.00033193+0.001625i,-0.00014624+0.0002428i,-0.00045612-0.00070633i,-0.00055551-0.00028645i,-0.00078005-2.6715e-05i,-0.00037123+0.00063566i,-3.241e-05+0.0010041i,0.00021554+0.00091782i,0.00071535+0.00094267i,0.000658+0.00055174i,-0.00022401+0.00069965i,9.7079e-05+0.0002055i,0.00088079-0.00093021i,0.00032744-0.00091823i,-0.00028065+7.2419e-05i,-0.00013509+0.00041343i,6.2045e-05-8.1351e-05i,-0.00010633+1.4635e-05i,8.9265e-05+0.0010268i,0.00074139+0.0011475i,0.00016954+0.00057508i,-0.00014489+0.00049577i,-0.00019195+0.00020359i
-0.0010884+0.0042908i,0.00051826+0.0036628i,0.0010813+0.0019016i,0.00017814+0.0011424i,-0.00076397+0.0013609i,-0.00012604+0.0018696i,0.00074043+0.0016319i,0.00040917+0.00084356i,0.00046044+0.00044425i,0.001316+0.00026352i,0.00063003-0.00027918i,-0.00027543-0.00040347i,-0.00021282-0.00038032i,0.0001575-0.00041544i,3.1097e-05-0.00013125i,-0.00017753-0.0003381i,0.00066953-0.00036389i,0.00098018+0.00023439i,6.7123e-05+0.00087085i,-0.00089996+0.0010814i,-0.0015038+0.0008059i,-0.0012861+0.00081913i,-0.00055365+0.00066992i
0.00020165+0.0025456i,0.00065206+0.00074146i,0.00010543-0.001082i,0.00018745-0.00099483i,0.00058601-7.6462e-05i,9.2648e-06+0.00060683i,-0.00056278+0.00024529i,-0.000303+0.00041218i,-6.9161e-05+0.00087978i,-0.00012396+0.00059255i,-6.7902e-05-0.00031372i,0.00011976-0.00059486i,0.00016707-4.8687e-05i,0.00021391-0.00068765i,0.00028638-0.00067156i,0.00030602-0.00011487i,-5.5143e-05-0.00010961i,-0.00052816-0.00059424i,-0.00055757-0.00092249i,-0.00036445-0.00025613i,3.4681e-05+0.00018382i,0.00066489+4.8027e-05i,0.0011268-0.00044772i
-0.0018854+0.0036013i,-0.0020496+0.0022101i,-0.0012117+0.0012904i,-0.00012651+0.00069055i,-0.00019473+0.00052601i,-0.00037462+0.00053025i,0.00018667+0.0014878i,0.00022315+0.0023249i,0.00017567+0.0016995i,0.00073301+0.00068131i,0.00091148+0.00012516i,0.0005263+0.00037436i,-0.00097999+6.4663e-05i,-0.0012972-0.00028557i,-0.0006223+0.00034179i,-0.00020228+0.00057191i,0.00011808+0.00036142i,0.00013225+4.251e-05i,0.00072327-0.00038015i,0.0014692-9.6794e-05i,0.001324+0.0005767i,0.00056202+0.00092581i,0.00017248+0.00085998i
-0.00020934+0.00037382i,0.00035602-0.00010352i,-0.00085184-0.00157i,-0.0021798-0.0005805i,-0.0015525+0.0010354i,-4.0724e-05+0.0013689i,0.00041327+0.00070248i,0.00026213+0.00012352i,-0.00032877-0.00034069i,-0.00093319-0.0004434i,-0.00038001+0.00021221i,-0.00017648+0.00046985i,-0.00029172+0.00010272i,-0.00081461+3.9067e-05i,-0.00063197-0.00016367i,-0.00032563-9.2326e-05i,-0.00039522+0.0005117i,7.6318e-05+0.00050059i,0.00032259+0.00033656i,0.00031542-0.00037954i,0.00070085-0.00097888i,0.00047718-0.00083994i,0.00014981+6.5307e-05i
-0.0010654+0.00082198i,-0.0011944+0.00035232i,-0.0018128-0.00021515i,-0.0020024-8.1135e-06i,-0.0013325+0.00032812i,-5.5626e-05+0.0004717i,0.0010821+0.00061824i,0.00095166+0.00076599i,-0.00026017+0.00020494i,-0.00064483-0.00060658i,-0.00059053-0.00046558i,-0.00038115+0.00018326i,-0.00073492+0.0003431i,-0.00064382-0.00025707i,0.00015562-0.00076561i,0.00050761-0.00033764i,-0.00017574-6.0664e-05i,-0.00087783-0.00017033i,-0.00045811+0.000144i,-6.8994e-05+0.00052523i,0.00054632-0.00030938i,0.00010155-0.0014275i,-0.00079579-0.0013602i
-0.0017001+0.0016465i,-0.0018792+0.00051126i,-0.0021089+0.00070847i,-0.0020941+0.0012798i,-0.00095636+0.0011979i,2.6194e-06+0.0016634i,0.00018143+0.001773i,4.6328e-05+0.0010255i,0.00013634+0.00066673i,0.00064791-7.923e-05i,0.00077086-0.00038265i,0.00043106+8.3133e-05i,0.00089177-6.3719e-05i,0.0010403+6.681e-05i,0.0010033+0.00042172i,0.00096638+0.00066661i,0.00082314-0.00027625i,0.001303-0.0010093i,0.0013152-0.0003821i,0.0011016+0.00039624i,0.00042108+0.00048012i,-0.00034814-0.00014778i,-0.00060528-0.0012327i
0.00091415+0.0026466i,0.0018934+0.0016924i,0.0016843+0.00025787i,0.00102-9.022e-06i,0.0004682+0.00033868i,-0.00034527+0.00061889i,-0.001075+0.00080119i,-0.00078118+0.00081235i,-0.00011136+0.00023841i,0.00018643-0.00028636i,0.00012712+0.00018072i,-0.00010607+0.00055918i,-0.00024351-5.1227e-06i,-0.00018355-0.00053137i,-0.00012959-0.00062231i,-1.8071e-05-0.0002174i,-2.4809e-05+3.346e-05i,0.00022355+0.00029589i,0.00058219+0.00080627i,0.0013218+0.001211i,0.0012496+0.0007116i,0.00057379-0.00017387i,0.00018176-0.00057987i
-0.002621+0.00040769i,-0.0024303+0.0011444i,-0.0029205+0.0006834i,-0.002588+0.00021039i,-0.0013633+0.0010337i,-0.00033248+0.0024245i,-0.0006801+0.0023405i,-0.00059343+0.0010417i,0.0005595+0.00042828i,0.00075901-0.00036792i,0.00026547-0.00080206i,-3.5638e-05-0.00028615i,-6.4965e-05+0.00023218i,-7.7461e-05+6.3335e-05i,8.6063e-06-3.1725e-05i,2.3803e-05-0.00040357i,-0.00041454-0.00075583i,-3.5439e-05-0.00090086i,0.00065723-0.00098053i,0.00019888-0.0008534i,0.00045379-0.0009622i,0.00093198-0.00095193i,0.00036339-0.00057127i
-0.0013909+0.0018645i,-0.0011451+0.0015306i,-0.00095482-0.0011281i,-0.00063239-0.0011236i,-0.00078733+0.00060937i,-0.0015746+0.0011168i,-0.0012652+0.001295i,-2.7959e-07+0.0012826i,0.00030948+0.00089413i,5.3506e-05-0.00016513i,0.00049765-0.00011142i,0.00049754+0.00010415i,0.00022216+3.7932e-05i,2.571e-05+7.3016e-05i,0.00041751+0.00035412i,0.00053272+0.00083817i,0.0003495+9.3474e-05i,0.00021214-0.00024624i,6.2542e-06+0.00035575i,0.00021742+0.00025843i,0.00032028-0.00033612i,0.00091071-0.00075367i,0.0010739-0.0011163i
0.00061629+0.0018139i,0.0017958+0.00064791i,0.00084532-0.00075662i,-0.00080118-0.0019017i,-0.0011927-0.0010743i,-0.00090478-3.9846e-05i,-0.00054369+0.00083577i,-0.00047178+0.0016352i,-0.00040553+0.00136i,0.00014844+0.00024641i,0.00016962-0.00083732i,4.5422e-05-0.00095617i,7.2837e-05-0.00018524i,-0.00018362+0.0008293i,-0.00050827+0.00089449i,-0.00092567+9.9139e-05i,0.00012348-0.00066847i,0.00011034-0.00085449i,-0.0007929-0.00059716i,-0.00043329-7.6289e-05i,-0.00044762+0.00078203i,-0.00026235+0.00092394i,0.00080246+0.00025216i
-0.0015519+0.0017683i,-0.00085996+0.001281i,-0.00057486-0.00012754i,-0.0008449-0.00041629i,-0.00082691+0.00039527i,-0.00045945+0.0011997i,-0.00046317+0.0010045i,-0.00039006+0.00069726i,-0.00015253+0.00029247i,-0.00039872-0.00030152i,-8.3767e-06-0.0007567i,0.0006782-0.00080747i,0.00057464-0.00083915i,0.00047164-0.00087314i,0.0010249-0.00036472i,0.0012396-5.1104e-05i,0.00036682+0.00043185i,-0.00032588+0.00099251i,-0.00018244+0.00089065i,-0.00012784+0.0002706i,-0.00053249-0.00017956i,-0.00035315+6.6986e-05i,0.00068607+0.00029247i
-0.00042343+0.0023535i,0.00032671+0.0014598i,-0.00048313-0.00011813i,-0.0011542-9.6808e-05i,-0.0015983+0.00074468i,-0.0018946+0.0011848i,-0.00089862+0.00080349i,0.00052099+0.00028436i,0.0010265+0.00032603i,0.0013293+0.0002456i,0.00076767+8.5454e-05i,-4.2003e-06+6.3908e-05i,0.00053053+0.00034957i,0.00097612+0.000347i,0.00092477+0.00036291i,0.00045976+0.00079542i,-0.00058915+0.00053618i,-0.0010393-0.00027056i,2.7897e-05-0.00077075i,0.00078574-9.3181e-05i,0.00047854+0.0004752i,-0.00013824+0.00063021i,7.0244e-05+0.00010279i
-0.0014138+0.0017218i,-0.00085074+0.0012074i,-0.0015004+0.00054971i,-0.0017701+0.0003859i,-0.00074738+0.00066666i,-0.00033675+0.001149i,-0.0001935+0.0013786i,-0.00043477+0.0010582i,-0.00027879+0.00051281i,0.00026316-0.00024572i,0.00066145-0.00032314i,0.00081778+0.00010374i,0.000389+0.00018624i,0.00028241-1.2735e-05i,0.00021614-0.00044695i,8.1768e-05-0.00052791i,0.00049729-0.00019653i,0.00079978-0.00024032i,0.001019-0.00023148i,0.00075578+0.00053094i,-0.00027091+0.00020841i,-0.00019816-0.0006627i,7.9975e-05-0.00038793i
0.00013138+0.0043586i,0.00022933+0.0031673i,-0.00036217+0.00030049i,-0.00047825-0.00024151i,-0.00023723+0.00035761i,-0.00053805+0.0007193i,-0.00064776+0.00071858i,-0.00051002+0.0012005i,0.00049456+0.00092156i,0.001424-0.00010507i,0.0012385-0.00050386i,0.00056039-0.00050024i,0.00030983-0.00060068i,-0.00019287-0.00073167i,-0.0005943-0.00055186i,-0.00039611+0.0002935i,-0.00032016+0.0010229i,1.9258e-05+0.0011348i,1.3459e-05+0.0012662i,-2.7321e-05+0.0017272i,-0.00061438+0.0015347i,-0.0011092+7.6769e-05i,-0.00034683-0.00019826i
-0.0041878-0.00087028i,-0.0036819-0.0014943i,-0.003593-0.00060726i,-0.0034209+0.0012169i,-0.0025098+0.0017642i,-0.0013484+0.0017691i,-0.00039549+0.0018903i,-0.00024246+0.001492i,5.6883e-05+0.00081181i,-8.9107e-05+0.00054892i,-0.0007368+0.00070535i,-0.00050162+0.00044198i,0.00027595+0.00016325i,0.00058003+0.00037886i,-0.00046016+0.0011952i,-0.00058817+0.00090091i,-0.00018704-0.00026811i,-1.7536e-05-0.00041146i,0.00028621+0.00060123i,-0.00035028+0.0014465i,-0.0012935+0.00072351i,-0.00094266-0.0001128i,-0.00036392-0.00031117i
-0.0013546+0.0025119i,-0.00031592+0.0013009i,0.00016897-0.0011483i,-7.6556e-05-0.0009288i,-0.00027434+0.00030253i,0.00011019+0.0011996i,0.00036369+0.0014947i,0.00053218+0.0013389i,0.00035329+0.00033847i,0.00041861-0.00041251i,0.00019947-2.6125e-05i,-0.00050242+0.00033087i,-0.00066133+0.00026098i,0.00035557+0.00028367i,0.00098453+0.00095228i,0.00019723+0.00057491i,0.0003841-0.00034198i,0.00075508+0.00019294i,0.00073426+0.0010491i,0.00083965+0.0007189i,0.0010942-8.8979e-05i,0.00089376-0.00051114i,0.00035461-0.0004985i
-0.00029128+0.0014123i,0.0016858+0.00024336i,0.0014823-0.00027812i,-2.345e-05+1.0119e-05i,-0.0011885+7.9769e-05i,-0.0012559+0.00011226i,-0.00071393+0.0010593i,-0.00022267+0.0013497i,0.0003247+0.0010105i,0.00021623+0.00025991i,0.00044867-0.0010947i,0.00031607-0.00046831i,-8.9138e-05+0.00028752i,0.00018819+0.00013007i,0.00018593+0.0002054i,-0.00049783+0.0005411i,8.0326e-06+0.00095789i,0.00079009+0.00050156i,0.00059929+0.00048215i,-2.9068e-05+0.0010133i,9.5724e-05+0.00095262i,0.00060985+0.00013936i,0.00036326-0.00015501i
-0.00059996+0.0020848i,-0.00099187+0.00025478i,-0.00017452-0.001733i,-0.00011959-0.0013416i,-0.0001747+8.5783e-05i,-0.00066303+0.00080023i,-0.00096733+0.00079086i,-0.0002975+0.0011264i,0.00047736+0.00081413i,0.00075663-0.0003046i,7.6412e-05-0.00079766i,-0.00068208-0.0011368i,-0.00014119-0.00015323i,-7.6601e-05+0.00076187i,-0.00038236+0.00017074i,0.00035292-0.0001976i,0.00071491+0.00012978i,0.00018784+0.00013853i,9.0246e-05+0.00051874i,0.00053606+0.0012349i,0.0005794+0.0010454i,0.00053361+9.0139e-05i,0.00060139-0.00020283i
-0.00033013+0.0031531i,7.2656e-05+0.0013892i,0.0010389-1.2789e-05i,0.00097646-0.00030088i,0.00031241+0.00066923i,8.6186e-05+0.0016064i,0.0001132+0.0013556i,0.00020805+0.001495i,0.00046176+0.0014913i,0.00037544+0.00035437i,0.00018251+0.00042874i,0.00042437+0.001026i,0.0006085+2.2197e-07i,0.00049856-0.00079929i,0.00087475-0.00045107i,0.0005239-0.00069992i,0.00019615-0.0010066i,0.00037176-0.00025058i,0.00027911+0.00043875i,0.00030572+0.00093384i,0.00046954+0.00067748i,0.0010973+0.00054404i,0.001003+0.00075275i
-0.0022718+0.0011664i,-0.00076447-0.0011661i,0.0010738-0.0022877i,0.0017828-0.0014174i,0.0008768-0.00031063i,-0.00051238+0.00030687i,-0.00081714+0.00064344i,-0.00057348+0.0012787i,0.00027718+0.0010693i,0.0010373+0.00033792i,0.00061538+0.000234i,-0.00014127+0.00018004i,0.00012371+0.000135i,0.00063312-0.000188i,0.00053686-0.0004379i,-7.9108e-05-0.00025901i,-1.344e-05-0.0004189i,0.0005112-0.00088743i,0.0013006-0.0014335i,0.0012799-0.0013943i,0.0009649-0.0010673i,0.00069782-0.00102i,-4.9007e-07-0.00060624i
-0.00083512+0.0038043i,-0.00029125+0.0041527i,0.0011213+0.003234i,0.0022541+0.0020472i,0.0016257+0.00074764i,0.00030351+0.00030862i,-0.00067791+0.0010737i,-0.00089752+0.0012514i,-0.00048271+0.00047658i,-8.8122e-05+2.979e-05i,-0.00016262+0.00011755i,-0.000139-0.00037244i,-7.2601e-05-0.0011572i,-0.00020201-0.00038464i,-0.00036244+0.00012282i,-0.00034619+6.7759e-05i,-0.00012215+0.0006304i,-0.00044913+0.0012651i,-0.00051649+0.0010273i,0.00057273+0.00063865i,0.0019456+0.00085113i,0.0015885+0.00080853i,0.0003355+0.00022398i
9.0611e-05+0.00099134i,0.0004671+0.00018407i,0.00077145-0.00081206i,0.00045265-0.0015413i,-0.00034937+0.00013843i,-0.00097585+0.0012918i,-0.00085745+0.00083915i,-0.00028111+0.00056643i,0.0003566+0.00061961i,-3.8347e-05+0.00018333i,-2.149e-05-0.00024021i,-0.00013362+0.00032833i,-0.00016722+0.00072444i,-0.00013506+0.00037586i,-0.00040292-0.00017718i,-0.00066063+0.00010497i,-0.00052643-0.0002419i,0.00013074-0.0010447i,0.00065625-0.00053786i,-0.00036593+5.0834e-05i,-0.00083221+5.4673e-05i,-0.00039895-0.00021714i,5.1266e-05-0.00027456i
-0.0011809+0.004532i,-0.00091704+0.0031592i,-3.5172e-05+0.0010607i,0.00077019+0.00043496i,0.00018399+0.0011388i,-1.5403e-05+0.0015947i,-0.00039119+0.0018498i,-0.00076906+0.0012902i,-4.0209e-05+4.1534e-05i,-0.00016593-0.00011404i,-0.00061737+0.0003028i,-0.00047769+0.00081518i,-0.00054355+0.00076709i,-0.00061084-3.2206e-05i,0.00027927-0.00030829i,0.00086857+0.00011287i,0.00054364+0.00053843i,0.001133+0.00042203i,0.0015113-4.237e-05i,0.0011903-0.00019646i,0.00080709+0.00034309i,0.00050439+0.00039584i,0.00031488-0.00014675i
-0.0003701+0.0010327i,-0.00034394+0.00096286i,-0.0011459+0.00037991i,-0.0010807+0.0012488i,7.4531e-05+0.0019289i,0.00075155+0.0010345i,0.00054683+0.00091817i,-6.4118e-05+0.0011813i,-5.185e-05+0.00058331i,0.0001823+1.266e-07i,5.1357e-05-9.3855e-07i,-0.00014381-5.7539e-05i,-0.00058288+6.4764e-05i,-0.00010225+0.0007327i,0.0008091+0.0010432i,0.00081744+0.00022125i,0.00029245-0.00017859i,-0.00034623+0.00018483i,-0.00018255+0.0011206i,0.00058294+0.00087693i,0.00055469+0.00042796i,-4.5306e-05-4.8446e-05i,-0.0003353-0.00067083i
-0.0036407+0.0012513i,-0.0027196+0.00049252i,-0.0017156+0.00092622i,-0.0013061+0.0009341i,-0.0006615+0.0013932i,-0.00027749+0.0014625i,-0.0006573+0.00068637i,9.8556e-05+0.00071463i,0.00078171+0.0013157i,0.00074625+0.0011366i,0.00078949+0.00056611i,0.00051412+0.00036987i,0.00024694+0.00034259i,4.3274e-05+9.8416e-05i,5.3783e-05-0.0001395i,0.00033702-0.00023845i,-0.00019971-1.3418e-05i,-0.00084303+0.00014818i,-0.00082829-8.8749e-05i,-0.00025296+8.543e-05i,0.00067242+0.00079451i,0.00049661+0.001081i,9.8193e-05+0.00034147i
-0.0019058+0.0067777i,0.00043665+0.0063802i,0.0019782+0.0047446i,0.0020086+0.0028377i,0.0013802+0.0018553i,0.0010839+0.0015227i,0.0003305+0.0016211i,-1.1169e-05+0.0016466i,0.00010604+0.001575i,0.00038983+0.00015305i,0.0008719-0.00083408i,0.0010618-0.00078382i,0.0010913-0.00052682i,0.00088685+0.00019091i,0.00079889+3.6154e-05i,0.00078442-0.00061383i,8.0681e-05-8.448e-05i,-0.00019826+0.00061339i,-6.9461e-05+0.001207i,-0.0001314+0.00093809i,-0.00020645-0.00039836i,-0.00022912-0.00040414i,-0.00011071+0.00017065i
-0.00053432+0.0014976i,-0.00121+0.00081627i,-0.0012843+0.00077838i,-0.00074632+0.00030039i,-0.00065836+5.5091e-05i,-0.0011748+0.00089092i,-0.00098325+0.00083052i,0.00012442+0.00082154i,0.00082561+0.0010598i,0.00086178+0.00051158i,0.00067198-0.00010556i,0.0004878-0.00034781i,0.0004108-0.00038813i,-0.00031386+0.00064006i,-0.00099004+0.0010861i,-0.00059792+6.4226e-05i,0.00020801-0.00036582i,0.00045958-0.000305i,0.00051153+2.6439e-05i,0.00087981+0.00051826i,0.00062738+0.00020825i,-0.00027875+4.5237e-05i,-0.00079186-0.00039617i
-0.0033001-0.00027052i,-0.003505+0.00056331i,-0.0033867-9.6805e-05i,-0.0030316+0.00015576i,-0.0025767+0.0008552i,-0.0010724+0.0016652i,-0.0002884+0.0015835i,0.00021019+0.00079966i,0.00049529+0.00073622i,0.00015795+0.00078514i,-0.00015603+0.000935i,-9.3275e-05+0.00026365i,0.00026521-0.00093576i,-0.00021178-0.00089027i,-0.00035241-0.00039395i,0.00038031+0.00037065i,0.00029168+3.9317e-05i,-0.0001788-0.0010184i,-0.00042202-0.0010835i,0.00060552-0.00011398i,0.0010661+7.4201e-05i,0.00049318-0.00046438i,-0.00047986-0.00018351i
-0.00034024+0.0019412i,0.00067025+0.0015941i,0.00012007+0.00017891i,-0.0010854-0.00010368i,-0.00159+0.00081077i,-0.0011907+0.0015698i,-0.00069011+0.0014925i,-0.00016269+0.00077709i,0.00094856-0.00033875i,0.0010353-0.00057452i,0.00047064-8.7926e-05i,0.00040258-0.00032348i,5.2818e-05-4.4119e-05i,-0.00067329-0.00019619i,-0.00062461-0.00021096i,0.00031214+0.00045246i,0.00067524+0.00021118i,0.00032527-0.000109i,7.7209e-05-0.00010307i,-9.8957e-05-0.00036137i,-0.00015809-0.00079218i,-0.00013478-0.0001405i,-0.00030808+0.00022542i
-0.0010333+0.0026701i,-0.00084143+0.0020994i,-0.00087101+0.00070306i,-0.00088404+0.00067199i,-0.00076672+0.0019276i,-0.0010941+0.0019958i,-0.0010986+0.0016477i,-0.00053905+0.0018401i,-0.00012302+0.0013617i,-8.4389e-05+0.00020447i,-0.0003176-0.00046832i,-0.0007459+0.00023025i,-0.00072532+0.00058237i,-0.00033956+0.00055123i,0.00037181+0.00041483i,0.00068024+0.00052516i,0.00044977-1.5654e-06i,-0.00027539-0.00067172i,-0.00071151-0.00082195i,-0.00025073-0.00047887i,0.00049051+7.1803e-05i,0.00030341+0.00014527i,-0.00030158-0.00030549i
