-0.0010084+0.00051344i,0.00033685+0.00037875i,-0.00090601+0.00063711i,-0.0017557+0.0018024i,-0.0014809+0.0034225i,-0.00017586+0.0045028i,0.00062059+0.0031938i,0.00039906+0.0016889i,0.00084642+0.0013498i,0.00063434-4.3682e-05i,0.00067253-0.00062086i,0.0011292-0.00029557i,0.00031052-0.00029137i,-0.00057559-0.00014097i,-0.00026539+0.0001676i,0.00017795+0.00043633i,0.00015989+5.0384e-05i,-0.00032196-0.0003354i,-0.00045623-0.00021834i,-0.0001241-0.00012147i,4.5543e-05-0.00012246i,0.00050208-0.00045396i,0.00052139-0.00050028i
-0.00066253-0.00032409i,-0.0014908-0.00029419i,-0.0026339+0.00053289i,-0.0035256+0.001938i,-0.0027158+0.0030179i,-0.00048378+0.0026305i,0.00052655+0.0017143i,0.00033971+0.00063724i,0.00074384+0.00026594i,0.001051+0.00068655i,0.00065509+0.00077374i,0.00015603+0.00052459i,0.00064237+0.00015478i,0.0013508-0.00019887i,0.0012531-0.00023656i,-7.6829e-05+0.00047834i,-0.00069202+0.00059527i,-0.00053272+7.146e-05i,5.4275e-05-0.00038997i,0.00061148-5.3678e-05i,0.00070141+0.00016935i,0.00090197+0.00049961i,0.0011857+0.00035822i
-0.0023291-0.00023386i,-0.0005377+0.0017819i,-0.00092751+0.0030444i,-0.0018041+0.0039244i,-0.00083307+0.0051025i,0.0008639+0.0047462i,0.001327+0.0026873i,0.00090869+0.0013234i,0.00015652+0.00070655i,-0.00032659+0.00015615i,0.00010343+0.00010788i,0.00036232+0.00060539i,0.00036019+0.00069126i,0.00018252+0.00042751i,6.484e-05+2.3974e-05i,0.00023938-0.00049163i,0.00038974-0.0004288i,-0.00025583+0.00052858i,-0.00099453+0.00091878i,-0.0011449+0.00084413i,-0.0011833+0.00025379i,-0.00039063-8.5072e-05i,-8.195e-05+0.00015449i
-0.00018214+0.0010912i,-0.0006431+0.00011739i,-0.00017474+0.00012253i,7.354e-05+0.00127i,-0.00053264+0.0027031i,-0.001527+0.0034923i,-0.0011168+0.0022633i,-0.00077673+0.00092223i,-0.00093972+0.00019141i,5.877e-05-0.00061771i,0.00064183-0.00021613i,0.00033828-1.9094e-06i,7.521e-05-0.000553i,-0.00037784-0.00080573i,-0.00058667-0.00030699i,-2.0321e-05+0.00038162i,0.00036882+0.000666i,0.00039276+0.00039264i,0.00010727+0.00028668i,1.1338e-06+2.4374e-05i,0.00029041+7.079e-05i,0.00036161+0.00045633i,6.184e-05+0.00018752i
-0.00031407+0.00044326i,-0.00021077+0.00030821i,-0.0012361+0.00058697i,-0.0015329+0.0018986i,-0.00066176+0.0029996i,0.0012712+0.0021424i,0.0015001+0.00058534i,-0.00032561-0.00020772i,-0.0012143+0.00049989i,-0.00069167+0.00097145i,-0.00045814+0.00050181i,-0.00057399+0.00089103i,-0.00088803+0.0009818i,-0.00040235-0.00031658i,0.00069918-0.00077315i,0.0006858-0.0009251i,3.3501e-05-0.00041442i,2.2215e-05+0.00059765i,0.00073701+0.00052982i,0.00054259+0.00023453i,0.00063538-5.0574e-05i,0.00087708+0.00028962i,0.00064062+0.0010931i
-0.0010716-0.0011221i,-0.001158-0.00077267i,-0.0022355+0.00079265i,-0.0023878+0.0030288i,-0.0022331+0.0042524i,-0.0015918+0.0035641i,-0.00027842+0.0014964i,-0.00048625+0.00051771i,-0.0012233+0.00040486i,8.4727e-05-0.00027869i,0.0015367-9.9919e-05i,0.00084783-0.0002854i,0.00033626-0.0012581i,0.00036305-0.00088143i,0.00047658+0.00043861i,0.00020137+0.00072619i,0.00011385+0.00026098i,0.0006404+0.00013594i,0.00074809+0.00032937i,0.00014702+0.00051437i,-0.00059728+0.00027778i,-0.00052973-0.00027309i,-0.00035144+0.00011526i
0.00030491+0.0021687i,0.00048794+0.0027773i,-0.00013329+0.0025145i,-0.0010452+0.0028787i,-0.0011951+0.0039846i,-0.00055507+0.002915i,-0.00057761+0.0013016i,-0.00093021+0.00060179i,-0.0007477+0.0011724i,-8.7827e-05+0.0010035i,0.00054704+0.00052397i,0.00041191+7.8389e-05i,-6.2133e-06-0.00085403i,-0.0002478-0.00091796i,-8.3821e-05-0.00053405i,7.1156e-05-0.00047669i,0.00041607-0.00052472i,0.00059221-0.00068898i,0.00078354-0.00075295i,0.0011045-0.0004889i,0.00098144-0.00023995i,0.00038821-0.00038965i,-0.0001566-0.00071952i
0.00026899-0.0002015i,0.00086477+0.00025231i,-0.00033988+0.0016398i,-0.0026727+0.0037571i,-0.003005+0.0050593i,-0.0010078+0.0039071i,0.00072644+0.0018446i,0.00011305+0.00099632i,-0.00027912+0.0005459i,0.00015982-0.00013666i,-0.00033407+0.00034399i,-0.0003382+0.00049861i,1.4157e-05-0.00011131i,-0.00016023+0.00026028i,5.1005e-05+0.00036136i,0.00017096+0.00071733i,-0.00045475+0.0010144i,-0.00027335+0.00019282i,0.00023069-0.00073314i,0.00054369-0.00078777i,0.00075673-0.00062384i,0.00043563-0.00082671i,0.00079528-0.00091673i
0.0013995+0.00096126i,0.0014863-0.00012563i,0.0011985-0.00034724i,-0.00065714+0.00074876i,-0.0018326+0.0022021i,-0.0010037+0.0018968i,-0.00047885+0.0006751i,-0.00047895+6.0429e-05i,0.00019857+0.00026365i,0.00069088+0.00028578i,-0.00012288+0.00013631i,-0.0005149+0.00030635i,-0.00027995+0.00042953i,-0.00050465+0.00063348i,-0.00031865+0.00052384i,0.00017869+0.00020929i,0.00023153+4.6305e-06i,-0.00016262-0.00033681i,0.00034066-0.00022473i,0.00089027-0.00043257i,0.0011023-0.00064269i,0.0010987-0.00031847i,0.00040202-0.0003857i
0.00068131+0.0019505i,0.00085924+0.0013184i,0.00029702+0.00062664i,0.00033381+0.0017521i,0.00057038+0.0035723i,0.0002403+0.0032541i,-0.00071313+0.0015966i,-0.00070464+0.00080047i,0.00031021+0.0010886i,0.00077724+0.0011512i,0.00068628+0.00045606i,4.3041e-05+0.00039391i,-0.00037468-5.5954e-05i,8.0877e-05-0.00022055i,0.00041604+0.00040189i,0.00024908+0.00052559i,0.00018364+3.5591e-05i,-0.00013678-0.00017962i,0.00015797+0.0001115i,0.00031251+0.0003951i,0.0007921+0.00072902i,0.00092988+0.00074385i,0.00028394+0.00019819i
0.0019233-0.00013071i,0.00082293-8.8027e-05i,-0.0010087+0.00054861i,-0.0012884+0.002034i,-0.00057553+0.0030154i,0.00030148+0.0030494i,1.7825e-05+0.0026739i,-0.00012292+0.00164i,0.00084088-6.9313e-06i,0.00077916-0.00074117i,-1.4197e-05-9.9628e-05i,-0.00091956+0.00053547i,-0.0011741+0.00018065i,-0.0008081-0.00027751i,-0.00068373-0.00060106i,-5.8736e-05-0.00061361i,0.00018104-0.00087398i,-0.00016715-0.0013136i,-0.00031563-0.00052326i,-0.00070674-2.2541e-05i,-0.00034242-0.00023246i,-0.0002123-0.00032055i,-0.00015561-0.00081532i
-0.00032436+0.00056928i,-0.00045965-0.00021359i,-0.00068542+0.00083145i,-0.0012913+0.0017133i,-0.00074494+0.0020676i,0.00081374+0.0019324i,0.00034396+0.00085256i,-0.00041867+0.00023443i,0.00032698+0.00071351i,0.00070407+0.00082069i,0.00079915+0.00091904i,0.0010855+0.00064187i,0.00091196+9.3226e-05i,0.00050151+0.0001356i,0.00040676+0.00045415i,0.00030886-0.00034701i,0.00055298-0.00069126i,0.00014212-0.00039068i,-0.00038519-7.5253e-05i,-0.00050939+0.00040315i,-0.00054534-2.2769e-05i,0.00012122-0.00043352i,0.00038829-0.00056545i
0.00018076+0.0010649i,-0.0003015+0.00097958i,-0.00055115+0.0014666i,-0.0014308+0.0023191i,-0.0014673+0.0034609i,-0.00076492+0.0027138i,-0.00024384+0.0011708i,-0.00034927+0.00068615i,0.00015255+0.0012399i,0.00038827+0.00091759i,9.3054e-05+0.00026667i,0.00022113+7.6192e-05i,0.00051388+0.00011578i,-9.9807e-05-0.00020283i,-0.0004351+0.00010584i,0.00038376+0.00080372i,0.00028865+0.00086145i,-0.000875+0.00079956i,-0.0010077+0.00071283i,-0.0007847+0.00030003i,-0.00052696-0.00062807i,0.00028271-0.0011078i,0.00086868-0.00084583i
-0.00045909+0.00066616i,-0.00029714-0.00040657i,4.8673e-05-0.00014789i,-0.00015653+0.00045841i,-0.00059918+0.0011812i,-0.00017209+0.0017704i,0.00014058+0.0013312i,-0.0007879+0.00088438i,-0.00093526+0.0006098i,0.00016326+0.00066974i,0.00015062+1.8256e-05i,-0.00024388-0.00050356i,-8.2306e-05-0.00054875i,-0.00055715-0.00084913i,-0.00053813-0.00034664i,0.00030589+4.6601e-05i,0.00029537-3.7407e-05i,-0.00064861-0.00059797i,-0.00056393-0.00067792i,-0.00011234-0.00012889i,0.00055776-0.00047592i,0.00065674-0.00060753i,-6.1779e-05-0.00026058i
0.00011476+0.0021061i,0.00013935+0.0012253i,-0.0004146+0.00021082i,-0.001408+0.0010432i,-0.0011649+0.002488i,-0.00015779+0.0026142i,-0.00034198+0.0011633i,-0.0010535+0.00075116i,-0.00061712+0.0011717i,0.00024219+0.00091977i,0.00043835+0.0010269i,-4.0155e-05+0.0011517i,-0.00014083+0.00115i,-0.00027823+0.00088596i,-0.00043909+0.00025971i,-0.00033233-0.000192i,-6.4455e-05+0.00029154i,-9.5021e-05+0.00018008i,0.00010159+1.0978e-05i,0.00036825-7.6156e-06i,0.0001597+0.00042351i,0.00041356+0.00096874i,0.00088953+0.0012417i
