-0.0010673+0.001175i,0.0003909+0.0017477i,0.00099049+0.001014i,0.0013366-0.0004509i,0.00040137-0.0015184i,-0.00042618-8.8984e-05i,-0.00021608+0.0016421i,-0.0001032+0.0017149i,0.00016538+0.0011207i,4.7711e-05+0.00030762i,-0.00018686-0.00017132i,3.9932e-05-0.00017526i,-0.00018571-0.00069064i,-0.00025903-0.0014031i,0.0004501-0.00044991i,0.00010908+0.00083447i,1.5955e-06+0.00025973i,0.00011079-0.00023669i,0.00043509+0.00026238i,0.00056378-4.8908e-05i,6.8484e-06-0.00091441i,-0.00041278-0.00064645i,-0.00045272-0.00022119i
-0.001056+0.00070125i,-0.00054543+0.0012812i,0.00025212+0.00059739i,0.0011298-0.00038388i,0.0012759-4.9375e-05i,0.0013752-0.00032877i,0.0015385-0.0010702i,0.0017971-0.001223i,0.00096169-0.00068521i,-3.3733e-05-8.4947e-05i,-0.00028972-0.00010311i,5.0544e-05-5.3653e-05i,0.00019198-0.00015346i,0.00013387-0.00026044i,-6.3306e-05-0.00015272i,-0.00017097-0.00066378i,-6.3403e-05-0.00082136i,-6.2491e-05-4.6828e-05i,-8.5913e-05+0.00055822i,-0.00017126+0.00020648i,-0.00060925-0.0010079i,-0.00093691-0.0015919i,-0.00080747-0.001012i
0.001157+0.0013454i,0.00098158+0.00070085i,0.00091668+0.0016606i,0.0010895+0.0012889i,0.0013564+0.00014409i,0.0021565+5.8251e-05i,0.0018376+9.1225e-05i,0.00062849+0.00010418i,0.00052078+3.0409e-05i,0.00089695+0.00039552i,0.00039984-0.00021201i,2.0812e-05-0.00060324i,0.00010642-0.00013721i,3.1139e-05-0.00072652i,-0.00032196-0.00022275i,0.00024331+0.0004912i,0.00085829+0.00093807i,0.00034921+0.0010173i,0.00059385+0.00051182i,0.00067833+0.00042192i,-4.0311e-06+0.0003637i,-0.00022929-3.0529e-05i,-6.2091e-05-0.00051272i
-0.00047859-0.00055727i,-0.0001184+0.0010853i,0.0013364+0.0018148i,0.0024784+0.0009621i,0.0021277-6.9868e-05i,0.00072898-0.00022933i,0.0009095-0.00022772i,0.0014743-0.00035702i,0.0015184-0.00045602i,0.0010133-0.00089798i,-7.1089e-05-0.0015493i,-0.00072265-0.00094381i,-0.00041629-6.6244e-05i,0.00030482+0.00031495i,0.00024325+0.0006396i,-0.0002519+0.00025521i,3.2497e-05-0.00025309i,0.0011086-0.00028292i,0.00055989-0.00030249i,-0.00043003-0.00026486i,-0.00045007+5.1677e-05i,-0.00025917+0.00027824i,-0.0006224+0.00014998i
-0.0014455+0.0017974i,-0.00038708+0.0017293i,0.00067376+0.0018302i,0.0011721+0.0014305i,0.0014803+8.988e-05i,0.0012507-0.0014756i,0.0010381-0.001986i,0.00095544-0.0012747i,0.00040598-0.00041964i,4.4884e-05+0.00019807i,0.00025707-9.5785e-05i,0.00070669-0.00070878i,0.00096126-0.00061975i,0.00074918-8.9904e-05i,0.00031363+0.00026697i,0.00042093+0.00050263i,0.0010744+0.00031333i,0.00084462-0.00028187i,0.0007339-0.00028706i,0.00066012-0.00012357i,0.00040714-0.00037977i,0.00067464-3.4548e-05i,0.00075845+0.00043712i
0.0011039+0.00067212i,0.0010257+0.0012011i,0.00081997+0.0018193i,0.0016111+0.0010234i,0.0025666-0.00029154i,0.0023586+6.2541e-06i,0.0015883-8.5486e-05i,0.0013561+0.00034114i,0.00099425+0.00040478i,0.00013235-0.00039596i,8.7203e-05-0.00083047i,0.00046147-0.00093236i,-0.00026882-0.00089505i,-0.00061427-0.0009829i,0.00038353-0.00073386i,0.0010089-0.00018045i,0.00058728+0.00021724i,0.00080678-0.00028689i,0.00099223-0.00020151i,0.00022979-0.00014311i,0.0005828-0.00078411i,0.0010808-0.001143i,0.00033424-0.0010393i
-0.0023027+0.0018023i,-0.0019389+0.0011518i,-0.00075562+0.0013326i,6.4047e-05+0.00076955i,4.4181e-05-3.0914e-07i,-1.6508e-05-0.00072096i,0.00037072-0.00097615i,0.00061922-0.00062712i,1.0364e-05+0.00013675i,-0.00036188-0.00024742i,3.3462e-05-0.0010508i,-4.6676e-05-0.0010271i,0.0002385-6.8017e-05i,-0.00029247+0.0010915i,-0.00097876+0.0014768i,-0.00073927+0.00087572i,-0.0001151+0.00029296i,0.0001587+0.00013639i,-0.00063289+8.4921e-05i,-0.00047284+8.6504e-05i,0.00031185+0.00022416i,-1.4953e-05+0.00061432i,-0.00034992+0.00052145i
0.0011094-0.00035238i,0.0012299+0.00018279i,0.0019621-0.00011952i,0.0022652+0.00018735i,0.0015834+0.00010654i,0.001469-0.00095172i,0.0017006-0.0011152i,0.0010811-7.9284e-05i,0.00034665+7.4598e-05i,0.00019785-0.00088617i,0.00038151-0.00045056i,0.0004762+0.00018456i,9.3885e-06+0.00029283i,-0.00018909+0.00038387i,-0.0001318+0.00013333i,-0.00012608-7.4548e-06i,0.00049519+0.0003853i,0.00096768+8.0785e-05i,0.00028366-0.00055534i,-0.00016358-0.00021217i,9.3698e-05-0.00021553i,-0.00021488-0.00097289i,-0.00024964-0.0010537i
0.0012871+0.00021185i,0.00089525+0.00057855i,0.00090985+0.00063351i,0.00066389-0.00035331i,0.00077077-0.00025746i,0.00095657+0.00051442i,0.0014235+0.0005898i,0.0017771-0.00032238i,0.0010526-0.0012507i,1.4928e-05-0.0012716i,-0.00057563-0.00058286i,-0.00064682+0.00015176i,-0.00065909+0.0002506i,-0.00065521+0.00017219i,-0.00035131+0.00054746i,-0.00034733+0.00022966i,-0.00052744+3.1274e-05i,-0.00022234+0.00071007i,0.00020357+0.000247i,3.4753e-05-0.00023156i,-9.536e-05+0.00029863i,-0.00031083+0.00067566i,-0.0010232+0.00018054i
-0.0004547-0.00019509i,0.0013239+0.00062742i,0.0012934+0.0017793i,0.0013963+0.0023403i,0.0022839+0.0014566i,0.0024839+0.00063411i,0.0019497+0.00013793i,0.00086076-0.00074836i,0.00030235-0.00078775i,9.522e-05-0.00011683i,-0.00097977-0.00018178i,-0.00073927+0.00011039i,0.00023641+0.00011314i,0.00076499+0.00020326i,0.00088799+0.00095273i,0.00063911+0.00036416i,0.00057134-0.00062358i,0.00039556+0.00050043i,9.5936e-05+0.0014291i,0.00011114+0.0010062i,3.9809e-05+0.00046964i,-0.0005368+0.00059628i,-0.0009828+8.7752e-05i
-0.00078466-0.00024696i,-0.00057103+7.4279e-05i,0.00088922+3.7172e-05i,0.0017561-0.0003896i,0.0021283-3.3374e-05i,0.0026573+0.00050151i,0.0023386+0.00024807i,0.0012864-0.00012072i,0.00078361-0.00057105i,0.00020776-0.001381i,-0.00051653-0.0015899i,-0.0009577-0.0011056i,-0.00079652-0.0012132i,-0.00034395-0.00079207i,-0.00067989+0.00049568i,-0.00083566+0.00067595i,-0.00040338-0.00071033i,0.00019356-0.0017474i,0.00050071-0.0017021i,0.00056891-0.00067167i,-0.00012978+0.00082557i,-0.00077351+0.00022507i,-0.00018645-0.00081157i
-0.00071882+0.0030031i,-0.00018918+0.0022978i,0.0010517+0.0025203i,0.0013167+0.0012714i,0.001284-0.00072912i,0.0013285-0.0016737i,0.0013859-0.0011926i,0.0016145-0.0009729i,0.0012098-0.0014211i,0.00014543-0.0011626i,-0.00046351-0.00017947i,-0.00025404-1.5751e-05i,0.00021446-0.00092131i,0.00040954-0.00043452i,0.00053782+0.0011654i,0.000794+0.00093255i,0.00085223+7.9806e-05i,0.00023881-6.8797e-05i,8.274e-05-0.00031489i,0.00019532-0.000187i,0.00028315+0.00020871i,-8.3797e-05+1.2069e-05i,-0.00018904-0.00031789i
-5.2991e-05+0.00073427i,-0.00038802+0.0001343i,0.00069308+0.00013067i,0.0021699+0.00027311i,0.0023442-0.00083292i,0.0016007-0.0020173i,0.0010056-0.0014541i,0.00044465-0.00053313i,-0.00016306+4.7895e-07i,1.4085e-05-2.8882e-06i,0.00016492-0.00025067i,-3.7481e-05+0.00013719i,-0.00010872-0.00037909i,3.8024e-06-0.00051714i,0.00069374+1.6154e-05i,0.0011237+0.0002783i,0.001156+0.00025809i,0.000841-0.00025242i,0.00059346-0.00072078i,0.00028428-0.00073516i,-0.00024409-0.00082932i,-0.00053633-0.0011871i,-0.00068796-0.0011644i
-0.00042806+0.0010336i,0.00037264+0.0018343i,0.0011622+0.0017272i,0.0011634+0.00095412i,0.00085411-0.00038112i,0.0016537-0.00049533i,0.0017165-0.0001668i,0.00095355-0.00015503i,0.0011228-0.00075154i,0.0017265-0.00085107i,0.0010144-0.00019343i,0.00025467+5.3154e-05i,5.4612e-05+0.00033292i,-7.9805e-05+0.00062628i,-0.00031125+0.00094716i,-0.00054209+0.00054284i,-0.00020296+7.1951e-06i,0.00012039+0.00035118i,-0.00057012+0.00033915i,-0.00061557-0.00049667i,0.00054077-0.00055857i,0.00083205-7.9717e-05i,-0.00011459-0.00043351i
-0.00044076+0.00037056i,-0.00071222+0.00090106i,0.00078812+0.00067919i,0.0017568-8.9648e-05i,0.0016788-0.0010725i,0.0019205-0.0012096i,0.0014314-0.00056865i,0.00050987-0.00074013i,0.00020143-0.00085752i,-5.2551e-06-0.00037372i,3.9849e-05+0.00032205i,-0.00012484+0.00015769i,0.00025001-0.00010463i,0.00061723+0.00071381i,0.0001934+0.00066667i,-0.00061252-0.00014073i,-0.000243+6.8345e-05i,0.0010103-0.00025271i,0.0013748-0.00078756i,0.00074612-0.00087241i,0.00024119-0.00052278i,0.00024674+0.00026052i,0.00051221-3.4851e-08i
-0.0001271-0.00064101i,0.00086592-0.00057755i,0.0015543+0.00023595i,0.0017831+0.00062371i,0.0018162+0.00030206i,0.0015192+0.00088045i,0.0013842+0.00073267i,0.0011363-0.00035113i,-0.00010364-0.00058404i,-0.001236-0.00012611i,-0.0014879-0.00010906i,-0.0009409-0.00041803i,0.00025013-0.00026421i,0.00053641-0.00025455i,0.00050897+0.00033184i,0.0006894+0.0011869i,0.00046593+0.00089192i,0.00084476+0.00022058i,0.00033421-0.00025034i,-0.00018407-0.00074169i,0.00028304-0.0010903i,0.00069154-0.0012725i,0.00036578-0.00038681i
-0.00033469+0.0015371i,-0.0007603+0.0013748i,-0.00052833+0.0015854i,0.00040041+0.00059462i,0.0013695-0.00056421i,0.0013461-0.00059475i,0.0014503-0.00046247i,0.0015305+0.0002811i,0.0010476+0.0012488i,0.00039668+0.00095111i,-0.00027807+0.00048845i,-0.00083972-0.0002875i,-0.00094091-0.00048047i,-0.00080036-1.9504e-06i,-0.0001451+0.00017912i,8.7611e-06-0.00037161i,-0.00014799-8.4734e-05i,0.00022424+0.00040796i,4.3227e-05+1.6719e-05i,-0.00079258-0.00057053i,-0.00087619-0.00021838i,-0.00063378+0.00028558i,-0.00082736-0.00017551i
-0.00067648+3.0559e-05i,-0.00057674+0.00055706i,0.00077419+0.0015914i,0.0014355+0.0019216i,0.0021894+0.00051992i,0.002022-0.00079811i,0.0015091-0.0012596i,0.001697-0.0012141i,0.00090901-0.00091656i,0.00079628-0.00079049i,0.00048274-0.00066645i,-0.00056683+5.1135e-05i,-0.00066332+0.00011134i,-0.00027096+0.00012057i,-6.9536e-05-8.6064e-05i,0.00053951-0.0001852i,0.00036363+0.00057848i,0.00038085+0.00089904i,0.0013058+0.00010908i,0.00090651-0.00035008i,-0.00010437-0.00037136i,-0.00098778-0.00070074i,-0.00097182-0.00040206i
0.0020474+0.00061607i,0.00084524+0.0014431i,0.0011354+0.0010742i,0.0010415+0.00019036i,0.00056523-0.00020833i,0.00064335-0.00078697i,0.00086109-0.0017966i,0.0007312-0.0023745i,0.00034288-0.0017584i,0.00021915-0.0010927i,0.00051045-0.00066924i,0.00048416+0.00013495i,0.00028512+0.0010198i,0.00080769+0.0010838i,0.0010065+0.00064491i,0.00059482+0.00058728i,0.00081224+0.00030624i,0.0010339+0.00014974i,0.00056604-0.00039232i,0.00022459-0.00035975i,0.00011664-6.3563e-05i,-0.00010966-4.9281e-05i,-0.00024856-0.00047909i
0.00098199+0.00022828i,0.0011792+0.00078008i,0.0015065+0.00060827i,0.0020192+0.00082123i,0.0019814+4.2168e-05i,0.0012851-0.00035376i,0.00069215-0.00047298i,0.0006812-0.0010987i,0.00088319-0.00037803i,0.00029008+0.00038428i,-9.1617e-05+0.00015572i,-0.00016828-0.0001475i,-0.00020065-0.00037411i,8.2238e-05-0.00086422i,3.1583e-05-0.00031866i,-0.00024107+0.00027579i,7.0709e-05-0.00018444i,-0.00015511+0.00052496i,-0.00049382+0.00046754i,0.00064065-0.00045498i,0.0014887-0.0011889i,0.0014933-0.0010087i,0.0013312-0.00050342i
-5.7044e-05+0.0005037i,0.0001284+0.0011914i,0.00095976+0.0013256i,0.00066742+0.00051294i,0.0010079+0.00031824i,0.0016336-0.00019674i,0.0014422-0.0013011i,0.00094556-0.00117i,0.00089122-0.00045115i,0.00024168+0.00021595i,-0.00092025+0.00040413i,-0.0010763-6.6517e-05i,-0.00065931-0.00017117i,-0.00063126+2.4563e-05i,-0.00049328-5.7218e-05i,0.00043109-0.00037116i,0.00072085-0.00022634i,7.7931e-05-0.00036521i,-0.00045146-0.00072947i,8.079e-05-0.00075476i,0.00075512-0.0004648i,0.00027455-0.00045575i,-0.00050459-0.00056083i
0.0024999-0.00020903i,0.00204-9.9251e-05i,0.0021456-9.6185e-05i,0.0023972-0.00069853i,0.0022511-0.0013828i,0.0023125-0.00075168i,0.0024383+0.00044398i,0.0018248+0.00028461i,0.0004699-0.00089991i,-0.00079513-0.00097756i,-0.0017116-0.00031093i,-0.0012561-0.0002153i,-0.00029779+0.00010743i,0.00016074+0.00092562i,0.00010803+0.0007927i,-0.00026365+0.00075839i,0.00015361+0.0011518i,0.00059933+0.00087033i,0.00078095+0.00054227i,0.0011011+0.00039959i,0.00087444+0.00046387i,0.00068678+0.0005607i,0.0005669+0.00027949i
-0.00042033+0.00023209i,-0.0012192+0.00051796i,-6.3937e-05+0.00053183i,0.00023286-0.00023307i,0.00017521-0.00050771i,0.0011189-0.00020041i,0.00072673+8.8273e-05i,0.00012271+2.0604e-05i,0.00043139-0.00028859i,-0.00043853-0.00037176i,-0.0014217+1.8223e-05i,-0.00081332+0.00028609i,-0.00013346+0.00053232i,0.00034828+0.00010926i,0.00051866-0.00023783i,0.00096361+0.00030942i,0.00090588+0.00060316i,0.00027027+8.873e-05i,-0.00018401-0.00060659i,-0.00034268-0.00072118i,-0.00064329-0.00024011i,-0.00067571+0.00013621i,-0.00020316+0.00010519i
0.00029642+0.00026446i,0.00025239+0.00049593i,0.00072511+0.00090906i,0.0021436+0.001772i,0.0024176+0.0021324i,0.0021376+0.0013702i,0.0017049+0.00073499i,0.001121+0.00063897i,0.00057637+0.00062778i,0.00021663-0.00021449i,0.0002036-0.00064685i,0.00026165-0.00088194i,-9.6597e-06-0.00027895i,-2.6563e-05+0.00021831i,0.00046466-0.0006877i,0.00044054-0.00083614i,0.0002616-0.0004658i,0.00084547-0.00012118i,0.0007002+3.1263e-05i,-3.1905e-05+1.9618e-05i,-0.00020254+0.00031336i,-8.1919e-05+0.00040938i,-0.00042638+0.00038536i
0.0006064+9.9925e-05i,0.00091634+0.00050449i,0.0010176+0.00062244i,0.00086826+0.00065788i,0.00062452-8.5886e-05i,-0.00053659-0.00038486i,7.1192e-05+2.0107e-05i,0.0013878-3.1317e-05i,0.00069434-0.00037079i,-0.00090653-0.00039856i,-0.00081252+4.3311e-05i,-0.00018546+0.00068307i,-0.00024072+0.00022064i,-0.00023194-0.00011063i,-0.0001459-0.00010195i,0.00062145-0.00062713i,0.0011672-0.00071794i,0.00065457-0.00056899i,0.00091986-0.0010579i,0.0007923-0.00097574i,3.186e-05-0.00049728i,-0.00021117-2.1541e-06i,0.00010031+0.00062589i
0.0011657-0.0011367i,0.00041278-0.00081395i,0.00041244-0.00034659i,0.0010525+9.1666e-05i,0.0014213+8.0569e-05i,0.0016714+0.00092693i,0.0010424+0.00080102i,0.0010476-0.00023474i,0.00092705-0.00033096i,-0.00036649-0.00015098i,-0.00058156-0.0010762i,-0.00024091-0.00078086i,0.0002354+0.00034862i,0.00039775+0.00013057i,-0.00014177+0.00027358i,-0.00010704+0.00017184i,-9.8096e-05-0.00040482i,-6.0207e-05-0.0003099i,0.00026955-0.00027565i,0.00011387-0.00037346i,0.00035477+0.00077905i,0.00048636+0.0011336i,2.9607e-05+1.5441e-05i
-0.00042696-0.0020087i,0.00066986-0.0012775i,0.00056946-0.00036711i,-0.00036609-1.4265e-06i,-0.00058053+0.00026917i,0.00088629+0.00065027i,0.0021882+0.00057011i,0.0011232-7.363e-05i,-0.00027527-0.0002157i,-0.00085344+4.6197e-05i,-0.00087598-8.9173e-05i,-0.0002955+0.00045928i,6.9553e-05+5.4932e-05i,0.00025358-0.00057931i,0.00036626-0.0010291i,0.00091978-0.00044019i,0.00065189+0.00081082i,5.3372e-05-3.4923e-05i,0.00095132-0.00082422i,0.0011535+7.316e-05i,0.00020577+2.8864e-05i,0.000118-0.00075725i,0.00025924-0.0005245i
-0.00078534-0.00073721i,0.00013622+1.4595e-05i,0.00033696+0.0017002i,-0.00013637+0.0019361i,-0.00016616+0.0010923i,0.0015207+0.00068823i,0.002123+9.7109e-05i,0.00042279+8.8003e-05i,-0.00056641+0.00036099i,-0.00033907-0.00025513i,0.00023796-0.0008352i,0.00055061-0.00039928i,0.00013487-0.00034624i,-0.00027308-0.00057891i,-0.00015536+0.00012073i,-0.00035843+0.00057715i,-0.00052394+5.983e-05i,-0.00032341+7.1914e-05i,-0.00036864+0.00016354i,-0.00044087+5.6492e-05i,-0.00053218+0.00041492i,-0.00025755+0.00082282i,-0.00016982+0.00074525i
-0.0010926+0.00062202i,-0.0002399+0.00060515i,0.0013966+0.0013902i,0.0036026+0.0018862i,0.0033165+0.00096114i,0.0019324-0.00026408i,0.001823-0.001108i,0.0018852-0.0016063i,0.0018161-0.001744i,0.00070839-0.00083638i,-0.00059258-0.00018325i,3.7178e-05-0.00012858i,0.00051837+0.00010085i,-0.00071358+8.3638e-05i,-0.00064879+0.00070257i,-0.00028412+0.00074382i,0.00033307-3.1473e-05i,0.0012314-0.00030883i,0.0007478-0.00027317i,7.2023e-05-0.00069681i,0.00013486-0.00024254i,0.00061478+0.0004341i,0.00096031+5.2414e-05i
0.00076606-0.0004368i,0.00055309+2.3691e-05i,-0.00023724-0.00056995i,-0.0015235-0.0007763i,-0.0016426-0.0011183i,-0.00022638-0.00071226i,0.0010746-0.00019768i,0.00041728-0.00022526i,-0.00058611-0.00027158i,-0.00071929+0.00025217i,-0.00064338-6.2952e-05i,-1.8107e-05-0.00092251i,0.00087115-0.00051375i,0.0011672+0.0004131i,0.00077784+0.00089858i,0.000144+0.00038669i,0.0001016-0.00012551i,0.00038691-0.00039376i,0.00039469-0.00051664i,-9.4206e-05-2.6616e-05i,-0.00032022+0.00020965i,5.3574e-05-7.503e-05i,0.00027838-0.00014616i
0.0010976-0.00010469i,0.00023349+0.0012949i,0.00091974+0.00093339i,0.0017086+0.0011681i,0.0017082+0.00042699i,0.0013994+0.0002438i,0.0010329+0.00034565i,0.0011108-0.00079128i,0.00070442-0.00088363i,-3.5507e-05-0.00022699i,-0.00034218+5.4661e-05i,0.00036275-0.00013096i,0.00089975-0.00040289i,0.0007127-0.00033032i,0.00078039+0.00028988i,5.7089e-05+0.00067192i,-0.0002738+0.00036883i,0.0002244-0.00036758i,0.00068337-0.00016242i,0.00069156+0.0007773i,0.00031627+0.00068504i,0.00020632-9.4984e-05i,0.00031426-0.00051628i
-0.00029267-0.0006695i,-0.00013233-6.9108e-05i,-0.00029932+0.0009394i,0.00027418+0.0014103i,0.00040833+0.00047192i,0.0010936+5.0587e-05i,0.0020176+0.00014613i,0.0010815-0.00030096i,-3.2085e-05-0.0007827i,-0.00065567-0.00032801i,-0.0010617+0.00048209i,-0.00041384-7.0651e-05i,1.9113e-05-0.00044161i,0.00043802-0.00023632i,0.00054201-0.00020329i,0.00059432-0.00038563i,0.00095687-0.00021904i,0.00036883-0.0001858i,0.00013909-0.00044753i,0.00017622-0.00037114i,-7.1083e-05-0.00030036i,-0.00012287-0.00042072i,-8.583e-05-0.00056605i
0.00046839+0.0010398i,0.00025126+0.0011832i,0.00096166+0.00157i,0.0017862+0.00074652i,0.0023541-0.00042769i,0.0014904-0.0010299i,0.00088233-0.0011785i,0.0013261-0.00045191i,0.0017505-0.0003765i,0.00080873-0.00095529i,0.00023465-0.0011504i,0.00018494-0.00060621i,-7.6933e-05+0.00014184i,0.00021732-0.00016488i,0.0010367-9.2292e-05i,0.001162-1.1385e-05i,0.00088557-0.00021017i,0.00096449-0.00024245i,0.00098544-0.0003639i,0.0014059-0.00029095i,0.0013388-0.00017652i,0.0010887-0.00045753i,0.0014895-0.00098429i
-0.00051523+0.0014691i,-0.00084223+0.0013776i,0.00029815+0.0016635i,0.001033+0.00097614i,0.001232+2.776e-05i,0.0016956-0.00044004i,0.0013988-0.00030557i,0.00032808-3.8995e-05i,-0.00066264+0.00020341i,-0.00071648-0.00013621i,-0.00052239-0.00069769i,-0.00062985-0.00096082i,-0.00059284-0.00036384i,-7.0056e-05+0.00045854i,1.2503e-05+0.00037132i,-0.00048735+0.00046563i,-0.0002786+0.00026555i,0.00060535+0.00031608i,0.00054366+0.0008059i,0.00017247+0.00058556i,0.00023806+0.0001538i,-0.00013417-0.00065324i,-4.8013e-05-0.0011717i
0.00041365+0.00044159i,0.00069041+0.00067215i,0.0010485+0.0010987i,0.0011433+1.1048e-05i,0.0015242-0.0018733i,0.0014644-0.0024346i,0.00093321-0.0011449i,0.00072808-0.00049568i,9.3238e-05-0.00050887i,-0.00045606-0.00017351i,-0.00047814+0.00022126i,-0.00017001+0.00011733i,-0.00041452-0.00013388i,-0.00071146-0.00038317i,-0.00013344-0.00056384i,1.0314e-05-4.7961e-05i,7.6498e-05+0.00056511i,1.6421e-05+0.00092039i,-0.00010338+0.00058496i,0.00063399+0.00047471i,0.0010992+0.00010917i,0.0010785-0.0009675i,0.00057293-0.0010861i
4.5899e-05-0.00074251i,0.00098686-0.00021206i,0.00092782+0.00043794i,0.00080407+0.00045614i,0.0014282+0.00041466i,0.0025112+0.00013383i,0.0027378-0.00016805i,0.0018758-0.00057883i,0.00055243-0.0012801i,3.4426e-05-0.0015842i,-9.9845e-05-0.0011378i,-0.00046337-0.0002797i,5.2869e-05-2.1428e-07i,3.0768e-05-0.00044903i,-0.0003756+8.5216e-05i,-0.00031188+0.0008724i,0.00019353+0.0011959i,0.00049874+0.00056732i,0.00019571-0.0002032i,-0.00034272-0.00032935i,-0.00015666+1.8592e-05i,0.00060971+8.4816e-05i,4.7451e-05-8.2356e-05i
-0.00092282+8.1478e-05i,-0.00036131+0.00046571i,-0.00019868+0.00035102i,0.00017196+8.9967e-05i,0.00084359-0.00040668i,0.0022326+2.9012e-05i,0.0023824-0.00029446i,0.0020252-0.001298i,0.0013817-0.00044028i,4.7299e-05+6.0372e-05i,-0.00052791-0.00067385i,-0.00014944-0.0010542i,0.0006835-0.00066568i,0.00068538+0.00019584i,-0.00056806+0.00047074i,-0.00093922+0.00018172i,0.00027015+8.9424e-05i,0.0009726-0.00023739i,0.00068689+0.00022164i,0.00095098+0.00031517i,0.0010454+0.00027895i,0.00066384+0.00019109i,0.00068074-0.00027421i
0.00092906+0.00036521i,0.0010148+0.0010698i,0.0013728-0.00024091i,0.0019608-0.00076805i,0.0017614-0.00049695i,0.0011596+0.00037889i,0.00074664+0.0011519i,0.00033187+0.00028373i,-5.0214e-05-0.00092008i,-0.0006262-0.0010595i,-0.00088666-0.00038071i,-0.00041255-7.2872e-05i,-0.00017449-0.00019856i,0.0003347-0.00027897i,0.00021135-0.000645i,-3.3947e-05-0.00032904i,-0.00010739+2.1855e-05i,0.00010416-0.0003396i,0.00024063-0.0004896i,0.00024836-0.00030358i,0.00079843-9.3574e-05i,0.00024078+0.00060828i,-0.00060174+0.00043436i
0.0017891-0.00023558i,0.0015143+0.00033209i,0.00040678+0.0003723i,-0.0011444+0.00037383i,-0.0019334+0.00038717i,-0.00082354+0.00042049i,0.00082992+0.0010356i,0.00053192+0.00046229i,-0.00040485-0.0012172i,-0.0010088-0.0013826i,-0.00073892-0.00040289i,-0.00055148+0.00038388i,-0.0012024+6.9278e-06i,-0.0011145+0.00017707i,-0.00049148+0.0005903i,-6.9946e-05+0.00080719i,-0.00064994+0.00068823i,-0.00050163+0.00018927i,3.2865e-05-9.7605e-06i,0.00017612-0.0004988i,0.00028249-0.00084178i,-0.00015825-0.00073089i,-2.1709e-05-0.00063172i
0.0001423+0.00042522i,0.00011482+0.0011833i,0.00082313+0.0018i,0.001066+0.0010692i,0.00081083-0.00017442i,0.0007376-0.00076501i,0.00031449-0.0010446i,0.00023721-0.00081036i,0.00013479-0.00062163i,-0.0001898-0.00068594i,-0.00024958-0.0012113i,-0.00025993-0.0015277i,-0.0001207-0.00060079i,0.00028513+5.0515e-05i,0.00015153+4.5051e-06i,0.00052899-0.00069217i,0.0011837+3.0305e-05i,0.00085384+0.00058205i,0.00077406+0.00016283i,0.00066466-0.00074839i,0.00019378-0.0009752i,0.00072541+0.00023948i,0.0010259+0.00065025i
0.00017081-0.00021348i,0.00027366+0.00021834i,0.00069523+0.00067467i,0.0018576+0.00056i,0.00238+0.0010084i,0.0018195+0.0014598i,0.0011079+0.00057635i,0.00089602-0.00045034i,0.00091976-0.00052915i,-0.00035576+0.00065438i,-0.0014657+0.0015845i,-0.0011278+0.00097272i,-0.00038377+0.00031543i,-0.00016338-4.8114e-05i,-0.00056648-0.00067444i,-0.00050345-0.0003626i,0.00012327+0.00028987i,0.00092007+0.00027584i,0.0010479-0.00020664i,0.00086323-0.00081433i,0.00049566-0.00037127i,0.00073462+8.3779e-05i,0.00088515+0.00015141i
0.00035174+0.00016562i,-0.00036423+0.00066524i,-0.00019002+0.00097181i,0.00050289-0.0001088i,0.00081842-0.001383i,0.0011072-0.001182i,0.0022295-0.00062013i,0.0031766-2.7226e-05i,0.0021528+0.00017722i,0.0011078-4.5836e-05i,0.00046994-0.00017211i,-0.00056726-0.00016192i,-0.00090039-0.00020756i,-0.0004481-0.00073687i,0.00019923-0.00095452i,0.00038192-0.00031548i,5.0225e-05-5.0365e-07i,0.00083807-0.00016634i,0.0015439-0.00046351i,0.00079619-0.00032666i,3.0229e-05+0.00023064i,0.00031162-0.00019585i,2.331e-06-0.00037149i
-0.00093814-0.00070795i,0.00024203+0.00026043i,0.00081511+0.0014498i,0.001222+0.0020297i,0.0010343+0.0016845i,0.0016208+0.00071616i,0.0020305+0.00063796i,0.00097076+0.00022044i,-0.00027567-0.00093286i,-0.00016912-0.00053596i,-7.0703e-05+0.00026559i,-0.00038105-0.00068675i,-0.0003757-0.0016027i,-0.00035389-0.00096345i,0.00014065+0.00056231i,-5.778e-06+0.0012127i,0.00017686+0.00029123i,0.00060257-0.00078589i,-0.0001137-0.00066666i,-8.7158e-05-0.00032828i,0.00013837-0.00058658i,0.00019827-0.00092025i,0.00043678-0.00037502i
-0.00010685+0.0012926i,0.00055299+0.0016679i,0.0012948+0.00074555i,0.0022289-0.00092029i,0.0024339-0.0017274i,0.0016454-0.0018078i,0.001351-0.0011193i,0.0012652-0.00079894i,0.00064747-0.00028604i,-0.00032865-0.00066901i,-0.00091914-0.0011433i,-0.00088896-0.00039104i,-0.00046352+0.00012264i,0.00047167+0.00047362i,0.00049253+0.00082391i,0.00033995+0.00047577i,0.0009848-0.00010311i,0.0014449-0.000288i,0.00082556+0.00042067i,0.00043729+0.00024395i,0.00027946-0.00052673i,0.00031699-4.7239e-05i,0.00031293+0.00067038i
