-0.0010673+0.001175i,0.0003909+0.0017477i,0.00099049+0.001014i,0.0013366-0.0004509i,0.00040137-0.0015184i,-0.00042618-8.8984e-05i,-0.00021608+0.0016421i,-0.0001032+0.0017149i,0.00016538+0.0011207i,4.7711e-05+0.00030762i,-0.00018686-0.00017132i,3.9932e-05-0.00017526i,-0.00018571-0.00069064i,-0.00025903-0.0014031i,0.0004501-0.00044991i,0.00010908+0.00083447i,1.5955e-06+0.00025973i,0.00011079-0.00023669i,0.00043509+0.00026238i,0.00056378-4.8908e-05i,6.8484e-06-0.00091441i,-0.00041278-0.00064645i,-0.00045272-0.00022119i
-0.00074697-0.00087177i,-0.00017128+1.7848e-05i,0.00069278+0.00069228i,0.0018147+0.00070091i,0.0022409+0.00066114i,0.0021269+0.00044134i,0.0026075-0.00023099i,0.0023772-0.00039823i,0.00082468-0.00013376i,0.000423-0.00052306i,0.00020945-0.0013334i,-0.00082487-0.00076953i,-0.0011838-9.4785e-05i,-0.0012482-0.00027233i,-0.00053379-0.00012197i,0.00040735+0.00066627i,-0.00022732+0.00023856i,-0.00039473-0.00038753i,0.00031798+0.00010704i,0.00068174+0.00017893i,-0.00012188-3.2927e-05i,-0.00071155+3.6003e-05i,-0.0001282+0.00026571i
0.00017518+0.00096171i,-8.305e-05+0.0019056i,0.00061634+0.0029899i,6.4551e-05+0.0024892i,0.00045712+0.0010131i,0.0011542+0.00055148i,0.00090467+0.0013267i,0.00094649+0.00067037i,0.0006831-0.00026094i,0.00034743-0.00050313i,0.00038263-0.00073035i,0.00072937-0.0004899i,0.0010408-0.00072602i,0.00038066-0.0011934i,-0.00054111-0.0010189i,-0.00031442-0.00043017i,0.00033299-0.00014068i,0.00082944+3.0182e-05i,0.0012833+0.00053429i,0.00044894+0.00035011i,-0.00017232-0.00030151i,0.00026128-9.1418e-06i,0.00035316+0.00076287i
-0.00037047+0.0018142i,-0.00035541+0.0021853i,0.00070946+0.002814i,0.0016772+0.002358i,0.0022101+0.0014879i,0.0015028+0.00041841i,0.00133+0.00029469i,0.0015575+0.00038837i,0.0011788-0.00028729i,0.00086735-0.00052172i,0.0010033-0.00024646i,0.00022546-0.00020227i,-0.00082067-0.00093056i,-0.00050463-0.00052438i,-0.00040452+0.00027183i,-0.0010569+0.00011026i,-0.00031341+0.00059489i,0.0004898+0.00074166i,0.00036336-0.00026662i,0.00089275-0.00072306i,0.0015575-0.00060103i,0.00091585+5.63e-05i,0.00029187+0.00044813i
0.0010948+0.00080564i,0.00014938+0.0015802i,0.00131+0.0017457i,0.002013+0.00073423i,0.0015439-0.00012127i,0.0017143+0.00085687i,0.0020173+0.0017564i,0.0026333+0.0014037i,0.0027366+0.00055316i,0.0020612-0.00017443i,0.0012842-0.00044292i,0.00073385-0.0010866i,0.00059622-0.0010102i,0.000437+0.00047835i,-7.6981e-05+0.0014238i,-0.00036189+0.001677i,0.00020461+0.0010147i,0.00085245-8.1105e-06i,0.0016445-0.00053649i,0.0014734-0.00042944i,0.00099537-0.00026444i,0.00065408-0.00069218i,0.00042793-0.00028824i
-5.2107e-05+0.00086407i,-0.00023527+0.0012567i,-0.00040551+0.0015576i,0.001082+0.002291i,0.0025926+0.0031163i,0.0026377+0.0026415i,0.0017756+0.00051366i,0.0013005-0.00078724i,0.0006272-0.00075824i,0.00047774-0.0013209i,0.00059481-0.0020609i,-0.00010994-0.0013375i,-0.00041635-0.0001565i,-0.00037031+0.0003168i,0.00039482+0.000399i,0.0004668+0.00025282i,-0.00039815+0.00077079i,-0.00017344+0.0015696i,0.00049641+0.0011387i,0.000736-0.00053444i,0.00089609-0.00072424i,0.0004569+0.00028487i,0.00035479+0.00019242i
-0.00082857-0.00043448i,-0.00058145-0.00076897i,-0.00098172-0.00049749i,-0.00072326-0.00055939i,0.0005005-0.0013955i,0.00090882-0.00076614i,0.00066978+0.00077407i,0.00014595+0.00043089i,2.9772e-05-0.0010504i,-9.1917e-05-0.0015015i,-0.00076973-0.00073153i,-0.0011762+5.5391e-06i,-0.0011051-0.00038974i,-0.00021672-0.00089364i,1.1766e-05-0.00021474i,-0.00052206+0.00041122i,-3.5489e-05+0.00080959i,0.00055284+0.00058648i,0.0011855-6.3756e-05i,0.00070107-0.00012202i,-0.0006685+6.0766e-05i,-0.00023321+0.00036289i,0.00073452+0.00099406i
-8.3292e-05-0.00031378i,0.00047906+0.00060463i,0.00033325+0.0015155i,0.00067664+0.0029526i,0.0014523+0.0036077i,0.0019022+0.0025729i,0.0021384+0.0014406i,0.0015342+0.0017002i,0.0012446+0.0015131i,0.0009717+0.00039523i,0.0004282+0.0008332i,0.00012509+0.0011061i,0.00022369+0.00050202i,0.00041309+0.00029198i,0.00052854+0.00028836i,0.00073904+0.00028353i,0.00048633+0.00017483i,1.5426e-05+8.4165e-05i,0.00012291-0.00020826i,-0.00018283-1.4493e-05i,-0.00083156+0.00053888i,-0.00068404+0.00060193i,-0.0001002+0.0001094i
-0.0018357-0.00054083i,-0.0010498+0.00061979i,-0.0013631+0.0027364i,-0.00047543+0.0035104i,0.00080669+0.0038401i,0.0014597+0.0039732i,0.0019472+0.0025894i,0.002426+0.0012146i,0.0013041+0.0010366i,0.0005257+0.00031269i,0.00075961+1.5966e-05i,0.00066644+0.00016281i,0.0011201-0.00019253i,0.00093784-6.7861e-05i,0.00027274+0.00012403i,0.00019368+0.0003375i,8.2825e-05-1.9284e-05i,0.00017569-0.00081113i,0.00097162-0.00092521i,0.0012102+2.7461e-05i,0.00064628+0.00047323i,0.00036865-0.00016407i,0.0002643-0.00034148i
-0.00069875-0.00097795i,-0.00065861+0.00020828i,-0.00075301+0.0017007i,0.00033322+0.0023052i,0.0022331+0.0021728i,0.0023853+0.0017903i,0.0021646+0.00096878i,0.0025964+0.00042132i,0.0017265+0.00014896i,0.00056758+0.00074212i,0.00032613+0.00072887i,0.00061417-0.00012448i,0.00059862-0.00064378i,0.00064303-0.00052477i,0.00038722+1.4853e-05i,-0.00030424+0.00031797i,-0.00028431+0.00037839i,-0.00035021+0.00026112i,-0.00033275-0.00023809i,7.1922e-05-0.000503i,-0.00018257-0.00057546i,-0.00075896-0.00022682i,-0.00047336-0.00045438i
0.00063041+0.0010628i,0.0010514+0.001475i,0.0012237+0.00069784i,0.0011083-0.00017393i,0.0010631+1.5584e-05i,0.0016382+0.00073925i,0.0023806+0.00055824i,0.0020132-5.728e-05i,0.0010191-0.00062647i,0.00049986-0.001823i,-0.00034117-0.0026484i,-0.0013178-0.0017747i,-0.0015538-0.00030829i,-0.0010225+0.000503i,0.00010009+0.00078171i,0.00047574+0.0013506i,3.7131e-05+0.0011988i,4.0626e-05+0.0010393i,0.00056513+0.0009755i,0.0012209+0.00082074i,0.0012547+0.0011551i,0.0012493+0.00085345i,0.00088794+7.4111e-05i
