-0.00010872-0.00047942i,-0.00043961-0.00013004i,-0.00016997-0.00070833i,0.0010247-0.0023195i,0.00038239-0.0019838i,-0.00021823-0.00063709i,-0.0013811-0.00047446i,-0.0017814+0.00086809i,-0.00067018+0.0019247i,6.8588e-05+0.00081985i,0.00052053-0.00040769i,0.00094243-0.0001759i,0.00084564+0.00032415i,0.00043296+0.00023437i,-0.00014295-0.00025538i,-0.00091313-0.0009892i,-0.0010705-0.00077295i,0.0001334-0.00021646i,0.00038117+3.7991e-05i,-0.00036319-0.00024048i,-0.00011934-0.00061648i,0.00014433-0.00024457i,0.00036044+0.00020542i
-6.2e-05+0.00064827i,-0.00057172+0.00013762i,-0.00046691-0.00048225i,4.3177e-05-0.00082538i,0.00064808-0.00087419i,0.00070587-0.00062815i,0.0001148-0.00075071i,2.9924e-05-0.00087848i,0.00092786-0.00033801i,0.00061718+0.00031563i,5.3426e-06+0.00047087i,0.00025604+6.503e-05i,7.788e-05-0.00029362i,-3.2623e-05-2.9073e-07i,-2.4727e-05-9.3154e-06i,-0.00011882-6.2204e-05i,-6.2434e-05-1.2043e-05i,-0.00023002-0.00038274i,-0.00016968-0.00021479i,0.00056509+0.0003316i,0.00034828+0.00034112i,0.00028804+0.0002922i,0.00075133+0.00017135i
0.0011536-0.00098722i,0.0016231-0.00043322i,0.0011215-0.00068491i,0.0010779-0.0019243i,0.0016344-0.0029628i,0.0016458-0.0028019i,0.00061882-0.0019537i,-0.00037744-0.0012161i,9.1043e-05-0.00099772i,0.0011373-0.00048984i,0.00076398-3.5803e-05i,-0.00046543-0.00032296i,-0.00042219-0.00040865i,6.0076e-05-0.00047129i,0.00012569-0.00046556i,4.3028e-05+0.00012936i,-0.00027196+0.00020563i,-0.0003846-0.00027342i,-0.00026556-0.00022742i,0.00012911+8.7427e-05i,0.00017194+6.8904e-05i,0.00011268-0.00025476i,0.00022379-0.00038316i
-0.00044859-0.00015076i,-0.00092904+0.00014609i,-0.00058761+0.00053016i,-0.00060686+0.00068906i,-0.00058313+0.0014669i,0.00028466+0.00076105i,0.00060796-0.00040855i,0.00073675-8.0955e-05i,0.001036+0.0005845i,0.00030899+0.00023937i,-0.00045009+0.00014474i,-0.00031743+0.00062865i,-0.00048308+0.00013724i,-0.00057661-0.00058858i,-0.00031431-0.00038283i,-0.00018986+0.00012554i,0.00030295+0.00021426i,3.7234e-05-0.00030181i,-0.00018743-1.1887e-05i,0.00058656+0.00012808i,0.00053346-0.00066428i,-0.0002707-0.0005616i,-0.00029233-6.9811e-05i
0.0020009-0.00022987i,0.001902-0.00011069i,0.0019143-0.0010787i,0.0017952-0.0018346i,0.00087082-0.0026502i,-0.00017612-0.0022176i,-0.00046848-0.00094829i,-5.5554e-06+7.0481e-05i,5.0938e-05-0.00032609i,0.00016804-0.0012411i,0.00060379-0.00035059i,0.00082127+0.00082368i,0.0009176+0.00068154i,0.00084306+0.00059053i,0.00010073+0.00032033i,-0.00017594-0.00095983i,5.9545e-05-0.0014614i,0.00015154-0.00047317i,0.00037912+0.00023159i,0.00013379+5.3878e-05i,-9.7008e-05-0.00031699i,-2.0003e-05-0.00022467i,0.00029519+0.00041136i
-0.0003777+0.00011157i,0.00081561-0.00049105i,0.0013591-0.001724i,0.0010749-0.0014569i,0.00047788-0.0013604i,0.00063808-0.002226i,0.00072276-0.001914i,0.00029605-0.0013316i,0.00078737-0.00061451i,0.00066741+0.00024748i,0.00011655+0.00083009i,0.00018584+0.00070246i,0.00044747+0.0004442i,0.00080724+0.00053905i,0.00088279+0.00080731i,0.00045806+0.00098052i,0.0008083+0.00063455i,-3.9614e-05-0.00024717i,-0.00042407-0.00069537i,0.00035141-0.00066395i,0.00026512-0.00055268i,-0.00024527-0.00015026i,-0.00074882+8.8781e-05i
-0.00052628+9.0748e-05i,-0.0011244+2.6907e-05i,-0.0011515+0.00016978i,-0.00017918+0.00085275i,4.1626e-05+0.00080909i,4.2896e-05+0.00059221i,-3.5458e-05+0.00040704i,-0.0005307+0.00034913i,8.0695e-05+0.0003604i,8.3785e-05+0.0010241i,-0.00034495+0.0012313i,6.8435e-05+0.00053147i,0.00027753-0.00018621i,-0.00014957-0.00065221i,-0.00056694-0.00055181i,-0.00052777+0.0001394i,-0.0006811+0.00073201i,-0.00070502-0.00012142i,0.00015945-0.00077763i,-0.00023136-0.000872i,-0.00028864-0.00070195i,0.00076204-3.8813e-05i,0.00099163-0.00014107i
-0.00036112+0.00092264i,0.00065748+0.00085395i,0.0016011+0.00013753i,0.0024157+0.00022809i,0.0023788-0.00063916i,0.0016438-0.001926i,0.00053312-0.0021537i,-0.00011025-0.0010665i,0.00017592-0.00026173i,-0.00035509-0.00042372i,-0.00057216-0.00053243i,-0.00010006+0.00027842i,-0.00018451+0.00040841i,-0.00010692-0.000115i,-0.00066064+0.00015802i,-0.0012238+0.00085916i,-0.00081232+0.0011197i,-0.00068103+0.00039488i,-0.00026581+0.00023436i,-6.6016e-05-7.6526e-05i,-7.3101e-05-0.00097421i,0.00014859-0.00099355i,0.00049136-0.00041093i
0.00012899-0.0009965i,0.00015081-0.0010541i,-0.00015471-0.0011075i,0.00014786-0.0013626i,0.00031337-0.00091374i,-0.00054157-9.4418e-05i,-0.00063852-0.0008113i,-0.00054732-0.0015318i,-0.0008797-0.00051152i,-0.00040564+0.00053319i,0.00039863+0.00067956i,0.00047802+0.00061195i,5.35e-05+0.00017852i,-0.0002217+0.00033102i,0.0001234+0.00060198i,-0.00028942+4.3117e-05i,-0.00064186-0.00050635i,2.7599e-05-0.00046509i,-0.00015902-0.00012081i,-4.0196e-05-1.7812e-05i,0.00062943+5.6814e-05i,0.00040547-0.00032817i,0.00043468+5.6594e-05i
-0.00043937+0.0010598i,-0.0011937+0.0015231i,-0.00046939+0.0014602i,0.00079951+0.00096666i,0.00095722+0.00052156i,0.00051377+0.00062022i,0.00021732+0.0007774i,0.00041448+0.00021223i,0.00092204+0.00018562i,0.0010788+0.00055514i,0.00061511+0.00091665i,0.00035659+0.00041512i,-0.00010813-0.00051284i,-0.00056099-0.00096536i,-0.00056674-0.00019763i,-0.00072232+0.00023942i,-0.00057558+8.108e-05i,-0.00059317+1.1098e-05i,-0.00020489-0.00042018i,4.0922e-05-0.000163i,-6.5381e-05+5.4354e-05i,4.8306e-05-7.042e-05i,0.00027837+4.9354e-05i
0.00081158-0.00026667i,0.00085824-0.00050095i,0.001109-0.00050716i,0.00076041-0.0013469i,-0.00017184-0.0019469i,-0.0012862-0.00071824i,-0.0014917+0.00044409i,-0.00073282+0.00020005i,3.7407e-05+6.9299e-05i,6.9607e-05-0.00016379i,-0.00010172+3.1636e-05i,-0.00048077+0.00037396i,0.00012102+0.00060194i,0.00058778+0.0004227i,1.8211e-05+6.7689e-05i,4.3878e-05-0.00011673i,0.00025879+0.00026842i,-0.00018967+0.00077572i,-0.00067495+0.00060811i,-0.00066766+0.00059604i,-0.00023459+0.0007037i,-0.00028209+0.00023028i,-0.00018352-0.00016847i
0.00094016+0.00031186i,0.0006656-0.00017977i,0.00089065-0.0008037i,0.00060683-0.001684i,0.00056973-0.0017714i,0.00019774-0.001438i,-0.00081736-0.00087826i,-0.0010534-0.0005879i,-8.8283e-05-0.00017577i,0.00020972-0.00031442i,-0.00012901-0.0009002i,-0.00035511-0.001543i,-6.8305e-05-0.0016355i,1.0579e-05-0.00057955i,6.6116e-05-0.00030513i,-0.00019416-0.00048181i,-0.00053983-0.00055961i,0.00013734+0.00017742i,0.00033456+0.00051224i,-0.00031622+0.00011925i,-0.00059222+0.00028327i,6.9699e-05+0.0011476i,6.1998e-05+0.00095246i
-0.00065515+0.0003209i,-0.00069571+0.00055127i,0.00037877+0.00059698i,0.0020565-0.00011716i,0.0023011-0.001129i,0.0011483-0.0011775i,0.00081585-0.00047368i,0.00071668+0.00095572i,0.00018738+0.0013528i,-9.6738e-05-0.00025424i,-9.1865e-06-0.00032063i,0.00047796+0.0010866i,0.00055375+0.00074211i,-0.00031107-0.000557i,-0.00098672-0.00032961i,-0.00059164+0.00035459i,6.8788e-05+0.00050845i,0.00048899+0.00014523i,0.00036252-0.00037792i,0.00021198-3.9264e-05i,0.00036473+0.00025945i,0.00016322+0.00036999i,-0.00043338+0.00064232i
-2.412e-05+0.0010772i,0.001039+0.00068272i,0.00056316+5.7106e-05i,0.00049881-0.00014181i,0.0012519+2.7506e-05i,0.00034166+0.00023539i,-0.00090748+0.00040498i,-0.00090815+0.00016613i,-0.00056205-0.00069125i,-0.00017291-0.00017595i,-0.00011122+0.00093909i,0.00034304+0.00070525i,0.0005132-4.8706e-05i,-1.8387e-05+0.00014108i,0.00022628-9.3583e-05i,0.0006092-0.00049799i,0.00047323-0.00035884i,0.00039608+1.6905e-05i,0.00018072+0.0006286i,-0.00031871+7.9912e-05i,-0.0005212-1.3901e-06i,-0.00022756+0.0010022i,-0.00026764+0.0011288i
