0.0018385-0.00030666i,0.0010809-0.0017392i,0.00070999-0.0027689i,-0.00058606-0.0024059i,-0.0016518-0.00085546i,-0.0016093+0.00020609i,-0.00085315+0.00016752i,0.00049648+0.00048767i,0.00053067+9.1818e-05i,-0.00014251-0.00025145i,-7.3719e-05+9.215e-05i,5.097e-05-0.00043178i,-9.9332e-05-0.0012641i,0.00020752-0.00063014i,0.00043968-0.00012813i,-0.00023665-0.00026635i,-0.00061043-0.00076882i,-0.0004226-0.00063913i,-0.00052829+0.0003027i,-0.00057696+0.00059437i,-0.00011266-6.5317e-05i,0.00033823+0.00028974i,0.00034738+0.00075033i
0.00081893-0.00065324i,0.00064945-0.00029045i,0.00094402-0.00039604i,0.0011179-0.001705i,0.00062615-0.0024854i,0.00011192-0.0015684i,-4.1293e-06-0.0014267i,-0.00048743-0.0020292i,-0.001098-0.0021621i,-0.0012136-0.0015901i,-0.00050098-0.0012566i,-0.00062724-0.0012547i,-0.0011482-0.0012095i,-0.0010926-0.00062471i,-0.0010506+0.00014457i,-6.632e-05+0.00048381i,0.00057734+0.00087497i,0.00019376+0.0007784i,0.00010579+0.00050422i,-3.5496e-05+0.00030919i,-0.00055764+0.00034711i,-0.00070596+0.0006267i,-0.00037573+0.000705i
-0.0013474+0.00053634i,-0.0015765+0.001055i,-0.001641+0.0010048i,-0.0013672+0.00029963i,-0.00078998-0.00030918i,-8.7005e-05-0.00017242i,-0.00030138+0.00054414i,-0.00065657-0.00042575i,-0.00058717-0.001609i,-0.00039668-0.0014543i,-0.00071316-0.00066207i,4.0635e-05-0.00023191i,0.0013535-0.00044038i,0.0014178-0.00087647i,0.001246-0.00078072i,0.0012407-0.00023855i,0.00087938-0.00018802i,0.0003664-0.00032402i,0.00023429+0.00018285i,0.00038566+0.0010258i,0.00034427+0.0010304i,0.00013905+0.00035143i,0.00016805-0.00024206i
-0.00017338+0.00042629i,0.00089494+0.00056138i,0.001171+5.3732e-05i,0.00050527-0.0010717i,-0.00034236-0.001614i,-0.00024503-0.0013921i,0.00016048-0.0010257i,-3.2854e-05-0.001121i,-0.00055414-0.0019802i,-0.00019777-0.0017051i,0.0004713-0.00044431i,-0.00013845+3.3705e-05i,-0.00068203+3.6511e-05i,-0.00010345+0.00021786i,-0.00020398-0.00056201i,-0.00074903-0.0012746i,-6.5829e-05-0.00087765i,-0.00024726+9.1922e-05i,-0.0012441+0.00082421i,-0.001098+0.0001953i,-0.00022007+2.284e-05i,-1.0643e-05+0.00022669i,0.00049292+0.00045329i
-0.00063221+0.0015373i,-0.00094102+0.00098352i,-0.00059974-2.8923e-05i,0.00018416-0.0001804i,0.00032239-0.00057689i,-0.0006528-0.001442i,-0.0010965-0.0012618i,-0.00077253-0.001223i,-0.00038398-0.0014568i,-0.00011314-0.0016017i,-0.00048183-0.0013232i,0.00015365-0.00076629i,0.00018932-0.00022345i,-0.00036696-0.00011572i,-0.00026072-8.2077e-05i,-7.5786e-05-0.00087566i,-1.943e-05-0.0015178i,-0.00047079-0.0009458i,-0.0001615-7.5554e-05i,0.00029337+0.00064496i,-9.296e-05+0.0011968i,-0.00071839+0.0009347i,-0.00039919-0.0002583i
0.00036497-0.0017756i,-1.7258e-05-0.0012953i,-0.00036672-0.00057422i,9.2704e-05-0.00090171i,0.00064588-0.0018729i,-0.00032772-0.0023091i,-4.5663e-05-0.001672i,0.00058424-0.001359i,0.00010818-0.0010279i,-0.00046615-0.00094976i,-0.00017259-0.00099041i,-4.702e-05-0.00027806i,-0.00016711-0.00022872i,8.1137e-05-0.00025051i,-0.0005534+0.00036066i,-0.0010425+0.00052428i,-0.00072938+0.00010268i,-0.00053068-0.00081786i,6.196e-05-0.0015301i,3.7279e-05-0.0011267i,0.00036718-0.00062214i,1.9758e-05+0.00035636i,-0.000693+0.00049844i
-0.00082957+0.0012278i,-0.0010256+0.001202i,-0.0013434+0.0011736i,0.00023198-0.00019542i,0.0015511-0.0011869i,0.0013449-0.0020475i,0.00034882-0.0027457i,-0.00054135-0.0027099i,-0.00032683-0.002201i,-3.3095e-05-0.0011619i,4.4117e-05-1.1257e-05i,0.00098441+6.8121e-05i,0.0010014-0.00020167i,0.00015216-0.00050565i,4.3324e-07-6.7737e-06i,-0.00027535+0.00045701i,-0.00059331-0.00025457i,-0.00038101-0.00024836i,-0.00041963+0.00051699i,-0.00014024+0.00050024i,0.00047763+0.0001169i,0.00052421-0.000535i,3.8537e-05-0.00026765i
0.0018811-0.00066058i,0.0015759-0.0005486i,0.0010688-0.00162i,0.0003685-0.0020905i,-5.1759e-06-0.0016996i,0.00027735-0.0012062i,0.00046401-0.00047691i,-0.00033268-0.001082i,-0.0011334-0.0022553i,-0.0011764-0.0019958i,-0.0010536-0.0012715i,-0.0012092-0.00069673i,-0.00087925-0.00010981i,0.0004219-0.00028546i,0.00019598-0.00038934i,-0.00044578-0.00023605i,-0.00027068+0.00037772i,0.00023156+0.00096256i,0.0005378+0.00055287i,0.00019139-0.00029773i,1.8461e-05-0.00076106i,-0.00028997-0.0010546i,-0.00011039-0.0010007i
-0.00012378-0.00081999i,-2.846e-05-0.00057227i,0.00018676-0.00041011i,0.00035226-0.00043983i,-0.00073446-0.0010576i,-0.0017961-0.0015405i,-0.0019604-0.00090044i,-0.0011179-0.0011629i,-0.00037065-0.0019123i,-0.00053364-0.0017222i,-0.00054659-0.00084818i,0.00012189-0.00069017i,0.0011691-0.0013015i,0.0011299-0.0011673i,-5.0294e-05-0.00063522i,-0.00012189-3.6765e-06i,-0.00031171+0.00028283i,-0.00082942+0.00039316i,-0.0007991+0.00075389i,-0.00028827+0.00054739i,0.00037919+0.00041854i,0.00014651+0.0010883i,0.00022579+0.0011821i
-0.00088018-0.00020539i,-0.00089749-0.00038769i,-0.00093296-0.0012579i,-0.00052156-0.0012553i,7.7059e-05-0.00086894i,0.0003392-0.0011287i,5.6848e-05-0.0014592i,-0.00044378-0.0014142i,-0.00069782-0.0017019i,-0.00035697-0.00053265i,-0.00020126+0.0010565i,3.6034e-05+0.00098662i,0.00032726+0.00033256i,0.00059075-0.00060486i,0.00092595-0.00059696i,0.00045208-0.00049212i,-1.9278e-05-0.0009962i,0.00049052-0.00085464i,0.00057484-0.0007213i,-0.00011766-0.00040178i,0.00065686+0.00066812i,0.001326+0.001246i,0.00050936+0.00084892i
-0.0013052-0.00041664i,-0.002199-0.00016592i,-0.0032903-0.00019935i,-0.0023655+1.8933e-05i,-0.0014047-0.00047885i,-0.00077664-0.0010828i,-0.00052266-0.001084i,-0.00047398-0.0015403i,-0.00090417-0.0014868i,-0.0012903-0.0012032i,-0.00016712-0.00078099i,0.00079661-0.00064304i,0.0010813-0.00084354i,0.00058757-0.0010489i,8.98e-05-0.0011028i,0.00058151-0.00078632i,0.0011336+1.6265e-05i,0.0010049+0.00065042i,0.00063628+0.0010023i,0.0010881+0.0014504i,0.00089399+0.00067616i,0.00077258-0.0006428i,0.0002144-0.0012414i
0.0011648-0.0039698i,-5.7186e-05-0.0039638i,-0.001322-0.0038897i,-0.0024263-0.0029713i,-0.0025697-0.0017003i,-0.0018587-0.0012343i,-0.00076323-0.0012498i,-0.00047461-0.0017636i,0.00026472-0.002092i,0.00018299-0.0011885i,-0.0010092+0.00016513i,-0.0011313+0.00076437i,-0.0004864+0.00066099i,0.00021059+0.0010261i,5.9769e-05+0.00052548i,-0.00016697-0.00034927i,0.00026323-0.0010035i,0.00063202-0.0011336i,0.00054352-0.00022333i,-0.000577-5.5354e-05i,-0.00050457-0.00011151i,3.6846e-05+7.7223e-05i,-0.0005582+5.1666e-05i
0.0011558-0.00091671i,0.0012703-0.000913i,0.0014845-0.0005205i,0.00093778-0.00046649i,-0.00058565-0.0016406i,-0.00094061-0.0022686i,0.0001609-0.00096378i,0.00087336+0.00036678i,0.00068013-0.00011559i,-0.0004371-0.00019586i,-0.0012126-0.00018588i,-0.00067804+0.00011166i,-0.00068247-5.7787e-05i,-2.8019e-05-0.0011726i,0.00095227-0.00082925i,0.00069141+5.8781e-05i,7.5868e-06+0.00023981i,-0.00052544-0.00029729i,-0.00045374-0.00092898i,-8.646e-05-0.00083431i,9.9857e-05-3.1162e-05i,0.00021364+0.00053365i,-4.9367e-05+0.00012132i
-0.00074553+0.0011388i,-0.00025652+0.0012203i,-0.00063195+0.00065739i,-0.00055695-0.00014692i,0.00010798-8.0341e-05i,-0.00025907-0.00020628i,-0.00098836-0.00024902i,-0.0014881-0.00035167i,-0.00093553-0.0007938i,-0.00084546-0.00028797i,-0.00083902+0.00059491i,6.6937e-05+0.00089285i,0.00016127+9.7621e-05i,0.00025732-0.00053218i,0.00024961+0.00011301i,-0.00011306+0.00015952i,-0.0010993-0.00045659i,-0.0013517-0.00018422i,-4.5768e-05+0.00064405i,0.00086402+0.0010834i,0.00055786+0.0010419i,-0.00030734+0.00032366i,-0.00062821-0.00040061i
0.00064559-0.0010863i,2.4642e-05-0.0012927i,-0.001451-0.0018612i,-0.0017321-0.0014013i,-0.0015641-0.0018748i,-0.001007-0.0020832i,-0.00015203-0.0018126i,-0.00022448-0.002582i,-0.00059607-0.0027178i,-0.00064361-0.0015123i,-0.00039932-0.0004531i,-0.00038266+5.0315e-06i,-0.00055376-7.2874e-06i,-0.00056176-0.00013324i,-0.00020598+0.00015444i,0.00020753+0.00037506i,-9.7083e-05+0.00024566i,-4.0245e-05+7.3816e-05i,-9.9377e-05+0.00020323i,-0.00084105+0.00050656i,-0.0008515+0.00066556i,-0.00064954+0.00066282i,-0.00026375+0.00048533i
-0.0017181-0.00089503i,-0.001455-0.00082219i,-0.0021459-0.0016675i,-0.0012494-0.0019429i,-0.00049578-0.0012648i,-0.00037808-0.0012166i,0.00039327-0.00079706i,0.00063903-0.0014928i,0.00022341-0.0025292i,-3.5047e-05-0.0014937i,0.00035769-1.7558e-05i,0.0012596+0.0001079i,0.0014664-0.00037316i,0.0014085-0.00095073i,0.001121-0.00075513i,0.00064917-0.0011337i,0.00032943-0.001333i,0.00014507+1.5149e-05i,-0.00024419+0.00095081i,-0.0001253+0.0008392i,0.00023709+0.00039301i,0.00042554+0.00015901i,-5.2383e-05-0.00014661i
0.0007281-0.0029561i,7.2745e-05-0.0031188i,-0.00050767-0.0030561i,-0.0013634-0.0023806i,-0.0020399-0.0014451i,-0.0016468-0.0002108i,-0.0012854+2.0043e-05i,-0.00087461-0.000938i,-0.00024048-0.0021518i,-0.00089272-0.0021848i,-0.0011029-0.00026542i,-0.00023802+0.0010504i,0.00041405+0.00044252i,0.00032202+0.00053111i,-0.00012697+0.00090264i,-0.00015945+0.00049485i,-0.00017138+4.5456e-05i,-0.00058666+0.00017467i,-0.00090379+0.00025221i,-0.00084893-3.9372e-05i,-0.00037983+0.00020327i,0.00016453+0.00054408i,0.0003019+0.00069624i
-0.00066201+0.0025485i,-2.7929e-05+0.0022323i,0.00095901+0.0019566i,0.0014319-5.7318e-05i,0.0013345-0.0025273i,0.00059618-0.0032865i,-0.0002396-0.0022463i,-0.00060323-0.0019006i,8.461e-05-0.0011972i,0.0008673-0.00010778i,0.000876+0.00064082i,0.00033497-0.00052556i,-0.0005035-0.0016166i,-0.00099141-0.0013187i,-4.2001e-05-0.00068921i,0.000229+0.00023203i,-0.000541+0.00036954i,-0.00073387+0.00054294i,-0.00061714+0.00062305i,3.5726e-05+0.00029734i,0.00048722+0.00048666i,0.00028505+0.00018821i,-0.00012453-0.00027193i
-0.000113-0.0022484i,-6.8441e-05-0.0015026i,-0.0019578-0.0018794i,-0.0031468-0.0011082i,-0.0027469+0.00016106i,-0.00097172-0.00021667i,0.00016136-0.0017833i,-0.00062416-0.0018313i,-0.0017586-0.00096087i,-0.0021559-0.0010392i,-0.001737-0.0009959i,-0.0010875-0.00017655i,0.00013124+0.00045188i,0.0005074+0.00023283i,0.00048708-6.0266e-05i,0.00018205+0.00015392i,-0.00013814+0.00014249i,-0.00036455-0.00083167i,-0.0006885-0.001044i,-0.00066165-0.00011397i,-0.00036338+0.0006203i,0.00025396+0.00051288i,0.00031206+0.00069585i
-0.00063828-0.00014862i,-0.00040511-0.0011997i,-0.00099909-0.0010365i,-0.00064855-0.00071131i,-0.00016358-0.00031771i,-0.00062244+0.00039114i,-0.00057663+0.00027125i,-0.00030665-0.0011846i,-0.0011164-0.002573i,-0.0015508-0.0020978i,-0.0010377-0.00057671i,-5.1484e-05+0.00010909i,0.00068576+0.00032686i,0.00075617+0.00093824i,4.6868e-07+0.00059468i,-0.00070351-0.00062217i,-0.00068541-0.00066588i,-0.0012505+0.00018414i,-0.0014689+0.00072243i,-0.00046122+0.00066481i,-0.00022955+0.00050316i,-0.00046219+0.00055897i,-0.00020319+0.00071036i
-0.0014488-4.1516e-06i,0.00029537-4.0907e-06i,0.0013645+0.00015624i,0.00079161-0.00012108i,-8.6707e-05-0.0010249i,-7.2268e-05-0.0014887i,-0.00035511-0.002105i,-0.00030189-0.0018689i,0.00013818-0.00051228i,-7.7402e-05+0.00028183i,-0.00050111+0.00016723i,0.00047623+8.009e-05i,0.00094383-0.00035531i,0.00084068-7.7453e-06i,0.00078398-0.00016683i,0.00010498-0.00066495i,-0.0006572-0.0010666i,-0.00078672-0.0007253i,-0.00062502-5.0951e-05i,-0.0004927+0.00041675i,-0.00045848+0.00036917i,-0.00019175+0.00021559i,-2.8917e-05+5.7799e-06i
